Code,Discription,Price list,price of 01/02/2021
ET003,AHMED ADLY MOHMED,consultation fee,consultation fee
ET015,AMR FATHALLA ,consultation fee,consultation fee
ET016,KHALED AHMED MOHIE SAIF,consultation fee,consultation fee
ET025,AHMED ABDEL KHALEQ AL SAFTI ,consultation fee,consultation fee
ET028,ROBERT  DENNERLEIN,consultation fee,consultation fee
ET029,HANY  AMEIN,consultation fee,consultation fee
ET031,TALAL MOHAMMAD AL JERAISI ,consultation fee,consultation fee
ET032,AYMAN AMIN EL SAYED ,consultation fee,consultation fee
EX050,OSAMA EL TOHAMI,consultation fee,consultation fee
EX053,ABD AL RAHMAN  MAHROUS,consultation fee,consultation fee
EX088,HAMDI H. AL MARAMHY,consultation fee,consultation fee
EX105,YOUSEF  EL BOOQ,consultation fee,consultation fee
EX107,MOHAMMED BASHAR  QABANI,consultation fee,consultation fee
FMPSYA0000,PSYCHIATRIC CONSULTATION-IN-PT,55,61
FMACU-1000,DAY CARE SUPERVISION,200,220
FMACU-1001,DOCTOR'S DAYCARE SUPERVISION,100,110
FMDNTD0005,DENTAL CONSULTATION O.P.D.,60,66
FMACUA0002,ACUPUNCTURE THERAPY,200,220
FMACUA0003,TRIGGER POINT INJECTION,200,220
FMACUA0006,HYPNOSIS,125,138
FMACUA0010,STELLATE GANGLION BLOCK,1200,1320
FMACUA0011,SIMPLE PER.NERVE INJECTION,1200,1320
FMACUA0016,ACUPUNCTURE PER SESSION,150,165
FMACUA0017,ACUPUNCTURE COURSE 10 SESSIONS,1215,1337
FMACUA0018,ACUPUNCTURE COURSE 7 SESSION,985,1084
FMACUA0019,ACUPUNCTURE COURSE 5 SESSION,700,770
FMACUA0020,MOXIBUSTION / STICK,150,165
FMACUA0021,CUPPING - AREA,85,94
FMACUA0022,TRIGGER POINT STIMULATION,125,138
FMACUA0023,TRANSNERVE STIMULATION,210,231
FMACUA0024,SLEEP INDUCING ACUPUNCTURE FOR INSOMNIA,210,231
FMACUA0025,ACUPUNCTURE MEDEL,10,11
FMACUA0026,ACUPUNCTURE FOR OBESCITY,400,440
FMACUA0028,DEPILATION H REMOVAL 30 MINS,225,248
FMADM-0001,LOST PIN CARD,10,11
FMADM-0002,PIN CHARGE,25,28
FMADM-0003,BREAK OF INSTRUMENT,1500,1650
FMADM-0005,MEDICAL SERVICES (TAV),36763,40440
FMADM-0006,MEDICAL SERVICES (YAPI),36763,40440
FMADM-1004,PACKAGEDEAL PROCEDURE,5,6
FMADU-0001,FULL AUDIOVISUAL AND RECORDING PER DAY,4060,4466
FMADU-0002,ONLY SET UP CONFERENCE ROOM PER DAY,700,770
FMADU-0003,WITH DATA SHOW CONFERENCE ROOM PER DAY,1030,1133
FMADU-0004,WITH TV TRANSMISSION CONFERENCE ROOM PER DAY,1350,1485
FMADU-0005,TV TRANSMISSION WITH RECORDING CONFRENCE ROOM /DAY,1700,1870
FMANA-0002,LUMBAR PUNCTURE,280,308
FMANA-0003,C.P.R. 1ST FOR THE DAY,1250,1375
FMANA-0004,C.P.R. 2ND FOR THE DAY,760,836
FMANA-0005,C.P.R. 3RD FORTHE DAY,480,528
FMANA-0006,CARDIAC MONITORING/30 MINS,40,44
FMANA-0007,PERICARDIAL TAP,620,682
FMANA-0008,AXILLARY PLEXUS - ANESTHESIA,320,352
FMANA-0009,BRACHIAL PLEXUS - ANESTHESIA,320,352
FMANA-0010,SPINAL ANESTHESIA,320,352
FMANA-0011,CAUDAL ANESTHESIA,320,352
FMANA-0012,EPIDURAL ANESTHESIA,810,891
FMANA-0013,EPIDURAL ANALGESIA (LABOUR -   PAIN RELIEF),810,891
FMANA-0014,OXYGEN (O2)  PER HOUR,50,55
FMANA-0015,NITROUS OXIDE (N2O/30 MINS),40,44
FMANA-0016,ENFLURANE (ETHRANE) PER CC,10,11
FMANA-0017,INSERTION OF SUB-CLAVIAN CATH.,280,308
FMANA-0018,ARTERIAL LINE,380,418
FMANA-0019,TRACHIAL INTUBATION,130,143
FMANA-0020,ARTIFICIAL VENTILATION / HOUR,80,88
FMANA-0021,NASOGASTRIC TUBE INSERTION,130,143
FMANA-0022,SUPRA-PUBIC CATHETERIZATION,320,352
FMANA-0023,URINE CATHETER INSERTION,60,66
FMANA-0024,SWAN GAUZE CATHETER (PULMONARY CATHETERIZATION),1530,1683
FMANA-0025,EXTERNAL CARDIAC PACING,2050,2255
FMANA-0026,BLOOD GAS ANALYSIS,340,374
FMANA-0027,TRACHEAL SUCTION PROCEDURE-DAY,50,55
FMANA-0028,TRACHEOTOMY CARE,50,55
FMANA-0030,OPD ASSISTANT ANAESTHETIST,150,165
FMANA-0031,MASK G. ANAESTHESIA,340,374
FMANA-0032,LOCAL ANAESTHESIA ASSISTANT/HR,80,88
FMANA-0033,HALOTHANE PER CC,10,11
FMANA-0034,PREMEDICATION VISIT,80,88
FMANA-0035,I.V. ANAESTHESIA,340,374
FMANA-0036,I.V. REGIONAL ANAESTHESIA,340,374
FMANA-0037,FORANE INHALATION PER CC,10,11
FMANA-0038,PULSE OXIMETER MONITOR (OXYGEN MONITORING),20,22
FMANA-0039,LUMBAR SYMPATHETIC BLOCK,450,495
FMANA-0040,MECHANICAL VENTILATION 24/HRS,700,770
FMANA-0041,EXAMINATION UNDER ANESTHESIA,340,374
FMANA-0042,MODERATE RISK ANESTHESIA,560,616
FMANA-0043,HIGH RISK ANESTHESIA,1140,1254
FMANA-0044,STELLATE GANGLION BLOCK,260,286
FMANA-0045,DINAMAP PER HOUR,40,44
FMANA-0046,NORMOCAP 200 PER HOUR,40,44
FMANA-0047,NORMOCAP 200 PER 30 MINUTES,20,22
FMANA-0048,EPIDURAL INJECTION,40,44
FMANA-0049,CELL SAVER MACHINE,560,616
FMANA-0050,I.V. SEDATION,150,165
FMANA-0051,CAPNOGRAPH II PER 30 MINUTES,80,88
FMANA-0052,NITROUS OXIDE-FULL TANK,490,539
FMANA-0053,NITROUS OXIDE - 3/4 TANK,380,418
FMANA-0054,NITROUS OXIDE - 1/2 TANK,280,308
FMANA-0055,NITROUS OXIDE - 1/4 TANK,120,132
FMANA-0056,BICORE MONITORING/DAY (PULM.),630,693
FMANA-0057,EPIDURAL ANAESTHESIA - OPD (PAIN RELIEF),810,891
FMANA-0058,SEVOFURANE PER ML.,10,11
FMANA-0060,GA LMA (Laringeal Mask Airway),540,594
FMANA-9901,OPERATION ROOM,160,176
FMANA-9902,ANAESTHETIC DOCTOR,160,176
FMANA-9903,ULTRASOUND GUIDE NERVE BLOCK,300,330
FMANA-9904,ULTRA SOUND GUIDED C.V.P INSERTION,150,165
FMANA-9908,ENDOTRACHEAL INTUBATION,260,286
FMANAC0001,ACUPUNCHURE/SESSION,130,143
FMANAC0002,ACUPUNTURE NEEDLE EACH,10,11
FMANAP0060,G.A. ETT ANAESTHESIA,330,363
FMANAP0061,LMA ANAESTHESIA,680,748
FMANAX0002,CT/MRI UNDER SEDATIONS,320,352
FMCAR-0000,CARDIOLOGY CONSULTATION- IN PT,80,88
FMCAR-0002,E.C.G.,90,99
FMCAR-0003,E.C.G. WITH ERGOMETRY,775,853
FMCAR-0004,ECHO CARDIOGRAM 2D + M MODE,610,671
FMCAR-0005,ECHO CARDIOGRAM 2D + M MODE +  DOPPLER (FULL STUDY),850,935
FMCAR-0006,HOLTER MONITOR 24 HOURS ECG,610,671
FMCAR-0007,TREADMILL EXERCISE STRESS TEST,610,671
FMCAR-0009,E.C.G. FOR INPATIENT,110,121
FMCAR-0010,VENOUS DUPLEX,220,242
FMCAR-0011,SURFACE PACEMAKER(NON-INVASIVE,1655,1821
FMCAR-0012,EXTERNAL TEMPORARY PACEMAKER,2020,2222
FMCAR-0013,PERICARDIOCENTESIS,2205,2426
FMCAR-0014,ECHO M-MODE ONLY,315,347
FMCAR-0015,HYPERTENSION CHECK-UP I,500,550
FMCAR-0016,HYPERTENSION CHECK-UP II,1050,1155
FMCAR-0017,PERMANENT  PACEMAKER,4000,4400
FMCAR-0018,HYPERTENSION CLINIC,450,495
FMCAR-0019,CARDIALOGY CHECK-UP (ABV-ROCK),350,385
FMCAR-0500,SECOND OPINION CONSULTATION,80,88
FMCAR-1000,DAY CARE SUPERVISION,115,127
FMCAR-1001,DOCTORS DAYCARE SUPERVISION,110,121
FMCAR-1002,REPROGRAMING OF PERMANET PACEMAKER,630,693
FMCAR-1003,CARDIOLOGY CHECK UP,810,891
FMCAR-1004,AMBULATORY BLOOD PRESSURE 'ABP',1125,1238
FMCARS0001,CARDIO VERSION (DC SHOCK),1000,1100
FMCARS0002,TEMPORARY PACEMAKER,1000,1100
FMCARS0003,EXTERNAL PACEMAKER USE /DAY,150,165
FMCARS0004,ATRIAL PACING,1000,1100
FMCARS0005,PERMANENT PACEMAKER IMPLANTATI ON (DDD),6000,6600
FMCARS0006,TRANSESOPHAGEAL ECHOCARDIOGRAP HY (TEE),1200,1320
FMCARS0007,PHARMACOLOGICAL TEST,700,770
FMCARS0008,PHARMACOLOGICAL STRESS ECHOCAR DIOGRAPHY,1500,1650
FMCARS0009,ABULATORY BP MONITORING,7000,7700
FMCARS0010,INTRA-AROTIC BALLOON INSERTION,2000,2200
FMCARS0011,INTRA-AORTIC BALLOON PUMP USE  / DAY,600,660
FMCARS0012,RIGHT HEART CATHETERIZATION,1500,1650
FMCARS0013,LEFT HEART CATHETERIZATION,1500,1650
FMCARS0014,CORONARY ANGIOGRAPHY,2000,2200
FMCARS0015,BALLON VALVULOPLASTY,5000,5500
FMCARS0016,P.T.C.A. (SINGLE VESSEL),3500,3850
FMCARS0017,P.T.C.A. (MULTI VESSEL),5000,5500
FMCARS0018,CORONARY STENTING,1000,1100
FMCARS0019,BALOON ATRIAL SEPTOSTOMY,2500,2750
FMCARS0020,STRESS TRANOESPHAGEAL ECHO,1200,1320
FMCARS0021,ECHO FULL STUDY,800,880
FMCARS0024,ECHOCARDIOGRAM,680,748
FMCAT-0001,EXTERNAL PACEMAKER USE/DAY,200,220
FMCAT-0002,TEMPORARY PACEMAKER LEAD REPO,1000,1100
FMCAT-0003,PERMANENT PACEMAKER IMPLANTATI ON,10000,11000
FMCAT-0004,ATRIAL PACING,1000,1100
FMCAT-0005,INTRA-AORTIC BALLOON INSERTION,2000,2200
FMCAT-0006,INTRA-AORTIC BALLOON PUMP USE,600,660
FMCAT-0007,RIGHT HEART CATHETERIZATION,1500,1650
FMCAT-0008,LEFT HEART CAHTETERIZATION,1500,1650
FMCAT-0009,CORONARY ANGIOGRAPHY,2000,2200
FMCAT-0010,BALLON VALVULOPLASTY,2000,2200
FMCAT-0011,P.T.C.A. (SINGLE VESSEL),3500,3850
FMCAT-0012,P.T.C.A. (MULTI VESSEL),5000,5500
FMCAT-0013,CORONARY STENTING,1061,1168
FMCAT-0014,BALLON ATRIAL SEPTOSTOMY,2500,2750
FMCAT-0015,RENAL ANGIOGRAPHY,1510,1661
FMCAT-0016,PERIPHERAL ANGIOGRAPHY,1510,1661
FMCAT-0017,REMOVAL OF FOREIGN BODY BY SNA RE,1000,1100
FMCAT-0018,PERICARDIAL TAPPING,5000,5500
FMCAT-0030,CORONARY STENTING PTCA TV (1 STENT),12000,13200
FMCAT-0031,CORONARY STENTING PTCA TV (2 STENTS),13000,14300
FMCAT-0032,CORONARY STENTING PTCA TV (3 STENTS),15000,16500
FMCAT-0033,CORONARY STENTING PTCA TV (4 STENTS),17000,18700
FMCAT-0035,DR. ALAMRI DIAGNOSTICS CATHLAB,2000,2200
FMCAT-0036,DR. ALAMRI THERAPEUTIC CATHLAB(SINGLE),3000,3300
FMCAT-0037,DR. ALAMRI THERAEUTIC CATHLAB(MULTIPLE),4000,4400
FMCAT-0038,Temporary Pacemaker Implantation,2000,2200
FMCAT-0039,VASCULAR STENT PLACEMENT SINGLE VESSAL ONE STENT,30000,33000
FMCAT-0040,AORTIC ILIAC ANGIOPLASTY SINGLE VESSAL,18000,19800
FMCAT-0041,CATHETER CLOSURE OF PDA,5305,5836
FMCAT-0042,HEMOCHROME ACT MACHINE,62,69
FMCAT-0043,CORONARY STENTING PTCA SV (1 STENT),7725,8498
FMCAT-0044,CORONARY STENTING PTCA SV (2 STENTS),9270,10197
FMCAT-0045,CORONARY STENTING PTCA SV (3 STENTS),10750,11825
FMCAT-0046,CORONARY STENTING PTCA DV (1 STENT),9270,10197
FMCAT-0047,CORONARY STENTING PTCA DV (2 STENTS),10300,11330
FMCAT-0048,CORONARY STENTING PTCA DV (3 STENTS),12360,13596
FMCAT-0049,CORONARY STENTING PTCA DV (4 STENTS),14420,15862
FMCAT-0051,IVC FILTER INSERSION,5000,5500
FMCAT-0052,CARDIAC CATHERIZATION (CORONARY ANGIOGRAPHY),7000,7700
FMCAT-0053,PTCA SV + ONE STENT (NORMAL STENT) B.M.S,18000,19800
FMCAT-0054,PTCA SV + ONE STENT (DRUG ELUTING DES),30000,33000
FMCAT-0055,PTCA DV + ONE STENT (DRUG ELUTING DES),35000,38500
FMCAT-0056,PTCA TV + ONE STENT (DRUG ELUTING DES),45000,49500
FMCAT-0057,INFERIOR VENA CAVA FILTER,25000,27500
FMCAT-0058,PERMANENT PACEMAKER INSERTION WITH V.V.I PACEMAKER SINGLE CHAMB,20000,22000
FMCAT-0059,PERMANENT PACEMAKER INSERTION WITH DDDR PACEMAKER DOUBLE CHA,35000,38500
FMCAT-0060,PERMANENT PACEMAKER INSERTION WITH DDDR-ICD PACEMAKER DOUBLE C,70000,77000
FMCAT-0061,PERMANENT PACEMAKER INSERTION WITH CRT-D PACEMAKER TRIPLE CHAM,95000,104500
FMCAT-0062,PERMANENT PACEMAKER INSERTION WITH CRT-B PACEMAKER TRIPLE CHAM,80000,88000
FMCAT-0063,ADDITIONAL STENT,12500,13750
FMCAT-0070,DIAGNOSTIC CEREBRAL ANGIOGRAPHY 4 VESSELS,4000,4400
FMCAT-0071,4 INTRACRANIAL ARTERIES/ 4 VESSEL CEREBRAL ANGIOGRAM,10500,11550
FMCAT-0072,VERTEBRAL ARTERY 1ST RUN / ANGIOGRAPHY CAROTID CERVICAL,5526.73,6080
FMCAT-0073,ARCH AORTOGRAM,4113.29,4525
FMCAT-0074,FLOW DIVERTER ASSISTED EMBOLIZATION + COILING,75000,82500
FMIVF-0039,IVF CONSULTATION,80,88
FMCTS-0002,THORACOTOMY PLUS BIOPSY,5000,5500
FMCTS-0003,LOBECTOMY,6000,6600
FMCTS-0004,PNEUMONECOMY,6000,6600
FMCTS-0005,SEGMENTECTOMY,7000,7700
FMCTS-0006,STERNOTOMY PLUS BIOPSY,5000,5500
FMCTS-0007,STERNOTOMY + EXCISION OF MASS,7000,7700
FMCTS-0008,REPAIR OF DIAPHERNIA,5000,5500
FMCTS-0009,EXCISION OF CHEST WALL TUMOUR,10000,11000
FMCTS-0010,DECORTICATION,7000,7700
FMCTS-0011,EXCISION OF LUNG CYST,7000,7700
FMCTS-0012,REP.OF RUPTURE BRONC./TRACHEA,10000,11000
FMCTS-0013,THORACOPLASTY,10000,11000
FMCTS-0014,REPAIR OF OESOP. INJ.,8000,8800
FMCTS-0015,RESECTION OF SUP.SULCUS T.,10000,11000
FMCTS-0016,SCALENE L.N. BIOPSY,2500,2750
FMCTS-0017,CERVICAL RIB EXCISION,5000,5500
FMCTS-0018,HELLER'S OP. FOR ACHOLASIA,6000,6600
FMCTS-0019,MEDIASTINOSCOPY DIAGNOSTIC,3000,3300
FMCTS-0020,MEDIASTINOSCOPY OPERATIVE,5000,5500
FMCTS-0021,THORACOSCOPY,7000,7700
FMCTS-0022,INTERNAL PACE-MAKER,7000,7700
FMCTS-0023,EXTERNAL PACE-MAKER,5000,5500
FMCTS-0024,PERICARDIECTOMY,8000,8800
FMCTS-0025,EXCISION OF PERICARDIAL CYST,6000,6600
FMCTS-0026,ONE-WAY VALVE FOR CHEST TUBE   (HEIMLICH'S VALVE),150,165
FMCTS-0027,DIAGNOSTIC ASPIRATION,450,495
FMCTS-0028,EXCISION OF MEDIASTINAL MASS,7350,8085
FMCTS-0030,DIAGNOSTIC THORACOSCOPY,5250,5775
FMCTS-0031,EXTRAPLEURAL PNEUMONECTOMY,8400,9240
FMCTS-0032,EXCISION OF SUPERIOR SULCU TUMUR,8000,8800
FMCTS-0033,DRAINAGE OF LUNG ABSCESS,2625,2888
FMCTS-0034,MUSCLE FLAP FOR CLOSURE OF PLEURAL POUCH,10500,11550
FMCTS-0035,DRAINAGE OF CHEST WALL ABSCESS,525,578
FMCTS-0036,EXCISION OF CHEST WALL SINUS,5250,5775
FMCTS-0037,RESECTION OF PHARYNGEAL DIVERT ICULUM,7350,8085
FMCTS-0038,REPAIR OF EVENTIATION OF DIAPH RAGM,7350,8085
FMCTS-0039,REPAIR OF TRACHEO-OESOPHAGEAL  FISTULA,7350,8085
FMCTS-0040,WOUND SUTURING,105,116
FMCTS-0041,MINI THORACOTOMY,1575,1733
FMCTS-0042,ASPIRATION OF COLD ABSCESS,210,231
FMCTS-0043,EXCISION OF LYMPH NODE,315,347
FMCTS-0044,THORACOSTOMY,1350,1485
FMCTS-0045,ASPIRATION BIOPSY,315,347
FMCTS-0046,LIGATION OF PATENT DUCTUS ARTERIOSOUS,5000,5500
FMCTS-0047,RIBRESECTION,4000,4400
FMCTS-0048,EXPLORATORY THORACOTOMY,3000,3300
FMCTS-0049,CORONARY ARTERY BYPASS GRAFTING (CABG),5000,5500
FMCTS-0050,CABG + VALVE SURGERY,5000,5500
FMCTS-0051,SINGLE VALVE SURGERY,5000,5500
FMCTS-0052,MORE THAN SINGLE VALVE SURGERY,5000,5500
FMCTS-0053,CORRECTION OF SIMPLE CONGENITAL HEART DISEASE,6790,7469
FMCTS-0054,REMOVAL OF STERNAL STAINLESS STEEL WIRE,1310,1441
FMCTS-0055,AORTIC DISSECTION GRAFT,9000,9900
FMCTS-0056,REPAIR OF EPIGASTRIC HERNIA,1250,1375
FMCTS-0057,WOUND RECLOSURE,600,660
FMCTS-0058,STERNAL REWIRING,2500,2750
FMCTS-0059,EXPLORATION OF STERNAL SINUS AFTER OPEN HEART SURGERY,1200,1320
FMCTS-0060,TRANS ESOPHAGEAL ECHO UNDER G.A,560,616
FMCTS-0079,SUPERFICIAL LYMPHNODE BIOPSY,315,347
FMCTS-0080,RE-EXPLORATION AFTER OPENHEART SURGERY,12500,13750
FMCTS-0081,RIB FIXATION BY PLATE AND SCREWS,12500,13750
FMCTS-0082,REDO CABG (PREVIUSLY OPERATED OPEN FOR TECHNICAL DIFFICULTY),7000,7700
FMCTS-0083,SUBAORTIC MEMBRANE EXCISION VIA OPEN HEART SURGERY,5000,5500
FMCTS-0084,CORONARY ARTERY BYPASS GRAFTING + REPAIR OF VENTICULAR SEPTUM &,80000,88000
FMCTS-1000,DAY CARE SUPERVISION,115,127
FMCTS-1001,DOCTOR'S DAYCARE SUPERVISION,55,61
FMCTS-1002,ATRIAL SEPTAL DEFECT CLOSURE,6250,6875
FMCTS-1003,RE-OPENING THE STERNUM,625,688
FMCTSS0001,CHEST TUBE INSERTION,2700,2970
FMCTSS0002,GAUZE FIXATION OF FLAIL CHEST,2100,2310
FMCTSS0003,SURGICAL FIX. OF FLAIL CHEST,6300,6930
FMCTSS0004,INTERCOSTAL NERVE BLOCK,1050,1155
FMCTSS0005,CHEMICAL PLEUROCTESIS,2100,2310
FMCTSS0006,CLS OF BRONCHO-PLEURAL FISTULA,10500,11550
FMCTSS0007,ELOESSER FLAP,3150,3465
FMCTSS0008,REPAIR OF CHEST WALL DEFECT,12600,13860
FMCTSS0009,DIAGNOSTIC RIGID BRONCHOSCOPY,3150,3465
FMCTSS0010,THERAPEUTIC RIGID BRONCHOSCOPY,3675,4043
FMCTSS0011,DIAG. RIGID OESOPHAGOSCOPY,2100,2310
FMCTSS0012,THERA. RIGID OESOPHAGOSCOPY,2625,2888
FMCTSS0013,NEEDLE LUNG BIOPSY,2100,2310
FMCTSS0014,NEEDLE PLEURAL BIOPSY,2100,2310
FMCTSS0015,THORACENTESIS,1575,1733
FMCTSS0016,CLOSURE OF PATENT DUCTUS,7350,8085
FMCTSS0017,SHUNTING PROCEDURE,7350,8085
FMCTSS0018,PERICARDIOTHENTESIS,2625,2888
FMCTSS0019,PERICARDIAL WINDOW,5250,5775
FMCTSS0020,MONALDI'S PROCEDURE,3150,3465
FMCTSS0021,INTERNAL PACE MAKER,4200,4620
FMCTSS0022,REPAIR OF WOUND DEHESENCE,5250,5775
FMCTSS0026,OPEN HEART SURGERY BY EXTERNAL TEAM,25000,27500
FMCTSS0027,EXTRACTION OF UNDER SKIN FOREIGN BODY,2500,2750
FMCTSS0028,RUPTURE CORONARY SINUS OF VALSALVA,8750,9625
FMCTSS0029,EXCISION OF LEFT ATRIAL MYOXANA,50000,55000
FMPSD-0000,PLASTIC SURGERY CONSULTATION   (IN-PATIENT),90,99
FMDER-0001,REFERRAL FROM OTHER DOCTOR-OP,50,55
FMDER-0002,PROSTATIC MASSAGE,65,72
FMDER-0003,SVD INJECTION,35,39
FMDER-0004,SKIN BIOPSY,235,259
FMDER-0005,LYMPH NODE BIOPSY,350,385
FMDER-0006,"SKIN ALLERGY TEST ""PATCH""",350,385
FMDER-0008,CHEMICAL CAUTERY,60,66
FMDER-0009,AUTO VACCINATION,65,72
FMDER-0010,TESTICULAR BIOPSY,1040,1144
FMDER-0011,SKIN BIOPSY FOR EM,1160,1276
FMDER-0012,WOOD'S LIGHT EXAM,65,72
FMDER-0013,ELECTRO-CAUTERY,560,616
FMDER-0014,INCISION & CRRETAGE,585,644
FMDER-0015,BASED CELL CARCINOMA,3250,3575
FMDER-0016,SOLAR KERATOSIS,1950,2145
FMDER-0017,DISSEM SUPER KERATOSIS,1740,1914
FMDER-0018,BOWN'S DESEASE,1950,2145
FMDER-0019,CALLOSITIES,650,715
FMDER-0020,PLANTER WART,150,165
FMDER-0021,TZANK SHEAR TEST,95,105
FMDER-0022,PHOTOPATCH TEST,235,259
FMDER-0023,SKIN PATCH TEST,350,385
FMDER-0024,ICE CUBE TEST,260,286
FMDER-0025,PATHOLOGY TEST,235,259
FMDER-0026,URETHERAL SCRAPPING,115,127
FMDER-0027,GONOZYME SWAB,300,330
FMDER-0028,BUCCAL SMEAR,65,72
FMDER-0029,LESION SMEAR,65,72
FMDER-0030,VAPOSONE SESSION,115,127
FMDER-0031,DERMO TEST,115,127
FMDER-0032,PUVA THERAPY,170,187
FMDER-0033,NARROW BAND THERAPY,130,143
FMDER-0034,TRICHOGRAM,300,330
FMDER-0035,DERMABRASION UNIT,1300,1430
FMDER-0036,SKIN TAG EXCISION PER UNIT,585,644
FMDER-0037,LOC. SEROFAL VARICOCELECTOMY,585,644
FMDER-0038,MILIA EXTRACTION,560,616
FMDER-0039,PODOPHYLLIN APPLICATION,40,44
FMDER-0040,PHENOL APPLICATION 40%,40,44
FMDER-0041,INTRADERMAL INJECTION,75,83
FMDER-0042,ELECTRO-CAUTERY PER/UNIT,60,66
FMDER-0043,KERATOLITIC APPLICATION - FACE,180,198
FMDER-0044,KERATOLITIC APPLICATION - ARM,295,325
FMDER-0045,KERATOLITIC APPLICATION - LEGS,470,517
FMDER-0046,ACNE SURGERY (COMEDONE EXTRACT,295,325
FMDER-0047,ULTRAVIOLET EXPOSE,130,143
FMDER-0048,ZYDERM IMPLANT TEST,385,424
FMDER-0049,COLLAGEN APPLICATION - ACNE,180,198
FMDER-0050,COLLAGEN APPLICATION - REGENE- RATION,180,198
FMDER-0051,HERBAL MASK APPLICATION,130,143
FMDER-0052,TOPICAL APPLICATION - ALOPECIA LOTION,75,83
FMDER-0053,TOPICAL APPLICATION - VITILIGO LOTION,75,83
FMDER-0054,ALOPECIA LOTION 2% - 100CC,1025,1128
FMDER-0055,ALOPECIA LOTION 3% - 100CC,1535,1689
FMDER-0056,ALOPECIA LOTION 5% - 100CC,2420,2662
FMDER-0057,OIL OF BERGAMOT 100CC,260,286
FMDER-0058,INFRARED EXPOSURE,130,143
FMDER-0059,ZYDERM IMPLANT INJECTION,1740,1914
FMDER-0061,SAMPLE FR. TESTISE BY NEEDLE,180,198
FMDER-0062,PATHERGY,260,286
FMDER-0063,DIATHERMY CURRETAGE,115,127
FMDER-0064,URETHERAL IRRIGATION,65,72
FMDER-0065,HAIR SHAFT,65,72
FMDER-0066,VARICOCELE,2085,2294
FMDER-0067,TESTICULAR EXPLORATION,1160,1276
FMDER-0068,SENSITIVITY TEST,295,325
FMDER-0069,SEBACEOUS CYST EXCISSION SMALL,220,242
FMDER-0070,SEBACEOUS CYST EXCISSION LARGE,585,644
FMDER-0071,DEPILATION-SMALL AREA,190,209
FMDER-0072,DEPILATION -MEDIUM AREA,375,413
FMDER-0073,DEPILATION-LARGE AREA.,620,682
FMDER-0075,PUVA/NBUVB THERAPY (PKGD 10 SESSIONS),1310,1441
FMDER-0076,CAPILSTIMULATOR  PER SESSION,190,209
FMDER-0077,CAPILSTIMULATOR PACKAGE DEAL (10 SESSIONS ).,1215,1337
FMDER-0079,PUVA/NBUVB SECOND COURSE,930,1023
FMDER-0080,PUVA/NBUVB SVC. COURSE,680,748
FMDER-0081,INCISSI.& DRAIN.ABCS.SUPERFCL.,85,94
