Internal Code,Item Name,Internal Code.1,Service Type,Department,Price (Gross),Disc,LOS,NPHIES Code,NPHIES Short Name,Comment,Department.1,ServiceCode,Service Description,LOS.1,Type,NPHIES Code (Hyphenated )2,Unified price,Internal Code.2,Item Name.1,Price,Internal Code.3,Item Name.2,Internal Code.4,Item Name.3,Internal Code.5,Item Name.4,Price.1,Similarity
FMXRAY1139,CT. ABDOMEN & PELVIS (Urography protocol),FMXRAY1139,Service,Radiology ,2250.0,,,56507-00-00,CT abd & pelv w/ I.V con medium,,Cardiology,FMCAR-0023,Thallium W/O Exercise (Cardiology ),,Service,61458-00-00,4550,,,,FMCAR-0551,GLENN SHUNT,FMCAR-0551,GLENN SHUNT,,,,0.0
FMXRAY1140,CT. ABDOMEN & PELVIS (Virtual Colonoscopy protocol),FMXRAY1140,Service,Radiology ,2250.0,,,56549-01-00,Computerised tomography of colon,,Cardiology,FMCARS0001,Cardioversion(Dc Shock),,Service,13400-00-00,2190,,,,FMCAR-0553,COARCTATION REPAIR,FMCAR-0553,COARCTATION REPAIR,,,,0.0
FMXRAY1115,CT. BRAIN WITH CONTRAST (Standard protocol),FMXRAY1115,Service,Radiology ,2250.0,,,56007-00-00,CT of brain with IV contrast medium,,Cardiology,FMCARS0008,Pharmacological Stress Echocardiography,,Service,55113-00-00,1705,,,,FMCAR-0556,Total anomalous pulmonary venous drainage repair (TAPVD) REPAIR,FMCAR-0556,Total anomalous pulmonary venous drainage repair (TAPVD) REPAIR,,,,0.0
FMXRAY1130,CT. CHEST (Virtual bronchoscopy protocol),FMXRAY1130,Service,Radiology ,2250.0,,,56307-00-00,CT of chest w IV contrast medium,,Cardiology,FMCARS0016,Ptca (Percutaneous Transluminal Coronary Angioplasty),,Service,38300-00-00,5440,,,,FMCAR-0574,TETRALOGY OF FALLOT REPAIR ,FMCAR-0574,TETRALOGY OF FALLOT REPAIR ,,,,0.0
FMXRAY1123,CT. SKULL (Dental Protocol),FMXRAY1123,Service,Radiology ,2250.0,,,56030-00-00,CT facial bone paranasal sinus and brain,,Cardiology,FMCARS0022,Echo Follow Up (Within One Week) -Cardiology,,Service,11700-00-00,1200,,,,FMCAR-0575,VSD REPAIR ,FMCAR-0575,VSD REPAIR ,,,,0.0
FMXRAY1117,CT. SKULL (Sella protocol),FMXRAY1117,Service,Radiology ,2250.0,,,56010-00-00,Computerised tomography pituitary fossa,,Cardiology,FMCARS0034,48 Hours Ecg Monitoring (Holter ),,Service,11709-00-00,1515,,,,FMNEU-0204,Microneurosurgical Cervical Discectomy And Fusion Four Level,FMNEU-0204,Microneurosurgical Cervical Discectomy And Fusion Four Level,,,,0.0
FMXRAY1122,CT. SKULL (TMJ protocol),FMXRAY1122,Service,Radiology ,2250.0,,,57362-00-00,CT of temporo-mandibular joint,,Cardiology,FMCAT-0006,Intra-Aortic Balloon Pump Use,0,Service,38609-00-00,800,,,,FMXRAY1731,IR. EXTRACRANIAL ANGIOPLASTY + STENTING,FMXRAY1731,IR. EXTRACRANIAL ANGIOPLASTY + STENTING,,,,0.0
FMXRAY1138,CT. ABDOMEN & PELVIS (KUB protocol),FMXRAY1138,Service,Radiology ,1650.0,,,56501-00-00,CT abd & pelv,,Cardiology,FMCAR-0018,Portable Echo Screening,0,Service,11700-00-00,1980,,,,CAR-2101,Intra Cardiac Tumor Excision,CAR-2101,Intra Cardiac Tumor Excision,,,,0.0
FMXRAY1116,CT. BRAIN WITH CONTRAST (Trauma protocol),FMXRAY1116,Service,Radiology ,1650.0,,,56007-00-00,CT of brain with IV contrast medium,,Cardiology,FMCAR-0025,Ppm Interrogation,0,Service,11718-00-00,435,,,,FMXRAY1735,Bilateral Ovarian Vein Embolization,FMXRAY1735,Bilateral Ovarian Vein Embolization,,,,0.0
FMXRAY1114,CT. BRAIN WITHOUT CONTRAST (Standard protocol),FMXRAY1114,Service,Radiology ,1650.0,,,56001-00-00,Computerised tomography of brain,,Cardiology,FMCAR-0100,Tilt Table Test (Ttt),0,Service,11724-00-00,2100,,,,FMXRAY-1509,MALFORMATION,FMXRAY-1509,MALFORMATION,,,,0.0
FMXRAY1152,CT. MSK (ANKLE JOINT PROTOCOL),FMXRAY1152,Service,Radiology ,1650.0,,,56619-00-01,CT limb  uni,,Cardiology,FMCAR-9910,Cardiac Monitoring / Day,0,Service,92056-00-00,800,,,,FMNEU-0203,Microneurosurgical Cervical Discectomy And Fusion Three Level,FMNEU-0203,Microneurosurgical Cervical Discectomy And Fusion Three Level,,,,0.0
FMXRAY1147,CT. MSK (ELBOW JOINT PROTOCOL),FMXRAY1147,Service,Radiology ,1650.0,,,56619-00-01,CT limb  uni,,Cardiology,FMCAR-9954,Loop Recorder Insertion,0,Service,90223-01-00,28865,,,,FMORT-2323,Reverse Total Shoulder Replacement  with implant (pediatric),FMORT-2323,Reverse Total Shoulder Replacement  with implant (pediatric),,,,0.0
FMXRAY1160,CT. MSK (FOOT BONES PROTOCOL),FMXRAY1160,Service,Radiology ,1650.0,,,56619-00-02,CT limb  bil,,Cardiology,FMCARH-0002,Cardiac Profile,0,Service,92204-00-00,700,,,,FMCAR-0550,PULMONARY ARTERY BAND,FMCAR-0550,PULMONARY ARTERY BAND,,,,0.0
FMXRAY1155,CT. MSK (FOREARM BONES PROTOCOL),FMXRAY1155,Service,Radiology ,1650.0,,,56619-00-02,CT limb  bil,,Cardiology,FMCARS0009,Ambulatory Bp Monitoring,0,Service,11708-00-00,1000,,,,FMCAR-0580,ASD REPAIR,FMCAR-0580,ASD REPAIR,,,,0.0
FMXRAY1156,CT. MSK (HAND BONES PROTOCOL),FMXRAY1156,Service,Radiology ,1650.0,,,56619-00-02,CT limb  bil,,Cardiology,FMCARS0012,Right Heart Catheterization,0,Service,38200-00-00,2335,,,,FMCAT-0042 ,Diagnostic EP study and ablation of Slow pathways (conventional kit) ,FMCAT-0042 ,Diagnostic EP study and ablation of Slow pathways (conventional kit) ,FMCAT-0042,"DIAGNOSTIC EP STUDY AND ABLATION OF SLOW PATHWAYS (CONVENTIONAL KIT) ,4DAY/S",92500.0,0.980952380952381
FMXRAY1150,CT. MSK (HIP JOINT PROTOCOL),FMXRAY1150,Service,Radiology ,1650.0,,,56619-00-01,CT limb  uni,,Cardiology,FMCARS0025,48 Hours Holter,0,Service,11709-00-00,2500,,,,FMCAR-3121,Total Aortic Arch Replacement WITHOUT PROTHESIS,FMCAR-3121,Total Aortic Arch Replacement WITHOUT PROTHESIS,,,,0.0
FMXRAY1154,CT. MSK (HUMEROUS BONE PROTOCOL),FMXRAY1154,Service,Radiology ,1650.0,,,56619-00-01,CT limb  uni,,Cardiology,FMCARS0033,Wireless Ecg Monitoring Per Day,0,Service,11708-00-00,845,,,,FMNEU-0207,MICRONEUROSURGICAL lumbar DISCECTOMY AND FUSION THREE LEVEL,FMNEU-0207,MICRONEUROSURGICAL lumbar DISCECTOMY AND FUSION THREE LEVEL,,,,0.0
FMXRAY1151,CT. MSK (KNEE JOINT PROTOCOL),FMXRAY1151,Service,Radiology ,1650.0,,,56619-00-01,CT limb  uni,,Cardiology,FMCARS0035,72 Hours Ecg Monitoring (Holter ),0,Service,11709-00-00,2330,,,,FMORW-0156,Above Knee Prosthesis,FMORW-0156,Above Knee Prosthesis,,,,0.0
FMXRAY1159,CT. MSK (LEG BONES PROTOCOL),FMXRAY1159,Service,Radiology ,1650.0,,,56619-00-02,CT limb  bil,,Cardiology,FMCAT-0044,Cardiac Device Check And Programming With Troubleshooting ,0,Service,11718-00-00,1800,,,,FMORT-2324,Reverse Total Shoulder Replacement   (ADULT),FMORT-2324,Reverse Total Shoulder Replacement   (ADULT),,,,0.0
FMXRAY1157,CT. MSK (PELVIC BONE PROTOCOL),FMXRAY1157,Service,Radiology ,1650.0,,,56409-00-00,Computerised tomography of pelvis,,Cardiology,fmcar-1010,Hemodynamic Monitoring,0,Service,61417-00-00,1800,,,,FMORT-2033,ARTHRSCOPIC  VS OPEN  BURSECTOMY ANDGREATER TUBERSOITY OSTEOTOMY,FMORT-2033,ARTHRSCOPIC  VS OPEN  BURSECTOMY ANDGREATER TUBERSOITY OSTEOTOMY,,,,0.0
FMXRAY1146,CT. MSK (SHOULDER JOINT PROTOCOL),FMXRAY1146,Service,Radiology ,1650.0,,,56619-00-01,CT limb  uni,,Cardiology,fmcar-3098,Eecp 35 Sissions,0,Service,99999-99-99,27936,,,,VAS-0029,INTRACRANIAL ANGIOPLASTY FOR VASOSPASM,VAS-0029,INTRACRANIAL ANGIOPLASTY FOR VASOSPASM,,,,0.0
FMXRAY1148,CT. MSK (WRIST JOINT PROTOCOL),FMXRAY1148,Service,Radiology ,1650.0,,,56619-00-01,CT limb  uni,,Cardiology,FMCAR-3040,Catheterization Right + Left Heart ( Day Case ),DAY CASE,PKG,38200-00-00,13000,,,,FMCAT-0052 ,Subcutaneous ICD implantation,FMCAT-0052 ,Subcutaneous ICD implantation,FMCAT-0052,"SUBCUTANEOUS ICD IMPLANTATION,5DAY/S",77000.0,0.9428571428571428
FMXRAY1158,CT. MSK FEMUR BONE PROTOCOL),FMXRAY1158,Service,Radiology ,1650.0,,,56619-00-01,CT limb  uni,,Cardiology,FMCAR-3000,Coronary Bypass (Cabg),7,PKG,38497-04-00,60000,,,,PKORT-0007,Genu Varus Bilateral Femur Correction with 8-plate fixations,PKORT-0007,Genu Varus Bilateral Femur Correction with 8-plate fixations,,,,0.0
FMXRAY1121,CT. SKULL (Facial bones protocol),FMXRAY1121,Service,Radiology ,1650.0,,,56022-00-00,CT of facial bone,,Cardiology,FMCAR-3045,"Ptca (Percutaneous Transluminal Coronary Angioplasty) – Dv , (One Day Ccu + One Day Ward)",2,PKG,38303-00-00,41800,,,,FMCAT-0053  ,Leadless Pacemaker insertion ,FMCAT-0053  ,Leadless Pacemaker insertion ,,,,0.0
FMXRAY1119,CT. SKULL (Orbits protocol),FMXRAY1119,Service,Radiology ,1650.0,,,56013-00-00,Computerised tomography of orbit,,Cardiology,FMCAR-3046,"Ptca (Percutaneous Transluminal Coronary Agioplasty) – Sv + Stent , (Price Is Without Stent) (One Day Ccu + One Day Ward)",2,PKG,38306-00-00,38000,,,,FMNEU-0201,Microneurosurgical Decompression At Two Level Lumbar Spine - 3Days,FMNEU-0201,Microneurosurgical Decompression At Two Level Lumbar Spine - 3Days,,,,0.0
FMXRAY1118,CT. SKULL (Petrous bone protocol),FMXRAY1118,Service,Radiology ,1650.0,,,56016-00-00,CT middle ear & temporal bone unilateral,,Cardiology,CAR-0025,Cath Lab With Ptca Multi-Vessel (Without Stent Price) (2-3 Days).,3,PKG,38303-00-00,21931.2,,,,FMNEU-0206,Microneurosurgical Cervical Discectomy And Fusion Two Level,FMNEU-0206,Microneurosurgical Cervical Discectomy And Fusion Two Level,,,,0.0
FMXRAY1143,CT. SPINE (DORSAL REGION),FMXRAY1143,Service,Radiology ,1650.0,,,56221-00-00,CT of spine thoracic region,,Cardiology,FMVAS-0122,Angioplasty  - Two  Vessels,1,PKG,38303-00-00,27272.7,,,,FMONC-0204,IMRT FULL COURSE,FMONC-0204,IMRT FULL COURSE,,,,0.0
FMXRAY1144,CT. SPINE (LUMBO-SACRAL REGION),FMXRAY1144,Service,Radiology ,1650.0,,,56223-00-00,CT of spine lumbosacral region,,Cardiology,FMCAR-3024,Mitral Balloon Valvuloplasty,2,PKG,38485-01-00,54850,,,,FMSUR-0340,LIVER TRANSPLANTATION DONOR,FMSUR-0340,LIVER TRANSPLANTATION DONOR,,,,0.0
FMXRAY1650,CTA HEAD & NECK WITH CONTRAST - Excluding contrast charges,FMXRAY1650,Service,Radiology ,1200.0,,,56007-00-00,CT of brain with IV contrast medium,,Cardiology,FMCAR-3076,Thoracotomy Drainage Loculated Collection Empyema Or Effusion,2,PKG,38415-00-00,40800,,,,FMCAR-0578,VSD DEVICE,FMCAR-0578,VSD DEVICE,,,,0.0
FMNEU-3536,EXCISION OF SPINAL CORD TUMOUR,FMNEU-3536,PKG,NEUROSURGERY,32000.0,,2,99999-99-99,Unlist ambulatory,,Cardiology,FMCAT-0053 ,Leadless Pacemaker Insertion ,4,PKG,38353-00-00,75000,,,,MS-P-005010,PUMP INSULIN DEVICE KIT MINIMED 780G SYSTEM MEDTRONIC #MMT-1896WWA,MS-P-005010,PUMP INSULIN DEVICE KIT MINIMED 780G SYSTEM MEDTRONIC #MMT-1896WWA,,,,0.0
FMCAR-3000,Coronary Bypass (CABG),FMCAR-3000,PKG,Cardiology,55000.0,,7,38497-04-00,Coron art byps using 1 other venous graft,,Cardiology,FMCAR-3043,Temporary Pacemaker ( Day Case ),DAY CASE,PKG,38456-25-00,9000,,,,MS-T-001968,t:slim X2™ insulin pump with Control-IQ™ technology mg/dL - Tandem Diabetes Care INC. #1005615 (EACH),MS-T-001968,t:slim X2™ insulin pump with Control-IQ™ technology mg/dL - Tandem Diabetes Care INC. #1005615 (EACH),,,,0.0
FMORT-0434,TOTAL KNEE REPLACEMENT (UNILATERALL)/hinged,FMORT-0434,PKG,Orthopedics,5309.0,,2,49518-00-00,Total arthroplasty of knee  unilateral,,Cardiology,VAS-0001,Angioplasty One Vessel,1,PKG,38300-00-00,18798,,,,FMCAR-0566,PULMONARY ATERIOVENOUS FISTULA OCCLUSION ,FMCAR-0566,PULMONARY ATERIOVENOUS FISTULA OCCLUSION ,,,,0.0
ORT-0058,"Excision of Malignant Tumors, Bone Graft",ORT-0058,PKG,Orthopedics,24723.0,,2,31205-00-10,Exc lesn SSCT other site  small,,Cardiology,FMCAR-3092,Pericardiectomy,3,PKG,38447-00-00,25000,,,,MS-S-48981,Total Hip prosthesis implant cast Germany #00135,MS-S-48981,Total Hip prosthesis implant cast Germany #00135,,,,0.0
FMORT-0614,EXPLORATION OF NERVE & NEUROLY SIS OR REPAIR,FMORT-0614,PKG,Orthopedics,6738.0,,1,39330-00-00,Open neurolysis of peripheral nerve  NEC,,Cardiology,FMCAR-3006,Cabg & Double Mechanical Valve,7,PKG,38497-04-00,88850,,,,FMCTS-1017,VATS LOBECTOMY,FMCTS-1017,VATS LOBECTOMY,,,,0.0
