Department,SGH - CODE  ,SGH NAME ,Price 2021,SGH Service type,LOS
CARDIO THORACIC SURGERY,FMCTSS0015,THORACENTESIS,1816.9199999999998,service,
CARDIO THORACIC SURGERY,FMCTSS0016,CLOSURE OF PATENT DUCTUS,6677.1810000000005,service,
CARDIO THORACIC SURGERY,FMCTSS0018,PERICARDIOTHENTESIS,3049.83,service,
CARDIO THORACIC SURGERY,FMCTSS0019,PERICARDIAL WINDOW,4769.414999999999,service,
CARDIO THORACIC SURGERY,FMCTSS0020,MONALDI'S PROCEDURE,2861.649,service,
CARDIO THORACIC SURGERY,FMCTSS0021,INTERNAL PACE MAKER,3815.5319999999997,service,
CARDIO THORACIC SURGERY,FMCTSS0022,REPAIR OF WOUND DEHESENCE,4769.414999999999,service,
CARDIO THORACIC SURGERY,FMCTSS0023,SMALL DRESSING,64.89,service,
CARDIO THORACIC SURGERY,FMCTSS0024,MEDIUM DRESSING,77.868,service,
CARDIO THORACIC SURGERY,FMCTSS0025,LARGE DRESSING,116.802,service,
CARDIO THORACIC SURGERY,FMCTSS0026,PDA CLOSURE BY COIL,2310.0840000000003,service,
CARDIO THORACIC SURGERY,FMCTSS0027,ASD CLOSURE BY DEVICE,3461.2326000000003,service,
CARDIO THORACIC SURGERY,FMCTSS0028,PDA CLOSURE BY DEVICE,3461.2326000000003,service,
CARDIO THORACIC SURGERY,MTCTS-0001,SUPERFICIAL LYMPHNODE BIOPSY,408.807,service,
CARDIO THORACIC SURGERY,FMCTS-0023,EXTERNAL PACE-MAKER,5775.21,service,
CARDIO THORACIC SURGERY,FMCTS-0027,DIAGNOSTIC ASPIRATION,538.587,service,
CARDIO THORACIC SURGERY,FMCTS-0045,ASPIRATION BIOPSY,538.587,service,
CARDIO THORACIC SURGERY,FMCTS-1000,DAY  CARE  SUPERVISION,136.269,service,
CARDIO THORACIC SURGERY,FMCTSS0002,GAUZE FIXATION OF FLAIL CHEST,2439.864,service,
CARDIO THORACIC SURGERY,FMCTSS0017,SHUNTING PROCEDURE,6677.1810000000005,service,
CARDIOLOGY,FMCAR-0000,CARDIOLOGY CONSULTATION- IN PT,129.78,Consultation,
CARDIOLOGY,FMCAR-0001,REFERAL FROM OTHER DOCOR,129.78,service,
CARDIOLOGY,FMCAR-0002,E.C.G.,194.67,service,
CARDIOLOGY,FMCAR-0003,E.C.G. WITH ERGOMETRY,1038.24,service,
CARDIOLOGY,FMCAR-0004,ECHO CARDIOGRAM 2D + M MODE,1297.8,SERVICE,
CARDIOLOGY,FMCAR-0005,ECHO CARDIOGRAM 2D + M MODE + DOPPLER (FULL STUDY),1427.5800000000002,service,
CARDIOLOGY,FMCAR-0006,HOLTER MONITOR 24 HOURS ECG,1297.8,SERVICE,
CARDIOLOGY,FMCAR-0007,TREADMILL EXERCISE STRESS TEST,1460.025,SERVICE,
CARDIOLOGY,FMCAR-0008,CARDIAC CATHETERIZATION,10382.4,PACKAGE DEAL,
CARDIOLOGY,FMCAR-0009,E.C.G. FOR INPATIENT,194.67,SERVICE,
CARDIOLOGY,FMCAR-0010,VENOUS DUPLEX,324.45,service,
CARDIOLOGY,FMCAR-0011,SURFACE PACEMAKER(NON-INVASIVE,2185.4952000000003,service,
CARDIOLOGY,FMCAR-0012,EXTERNAL TEMPORARY PACEMAKER,3633.8399999999997,service,
CARDIOLOGY,FMCAR-0013,PERICARDIOCENTESIS-6,2855.1600000000003,service,
CARDIOLOGY,FMCAR-0014,ECHO M-MODE ONLY,713.7900000000001,SERVICE,
CARDIOLOGY,FMCAR-0015,HYPERTENSION CHECK-UP I,664.4736,SERVICE,
CARDIOLOGY,FMCAR-0016,HYPERTENSION CHECK-UP II,1396.4328,SERVICE,
CARDIOLOGY,FMCAR-0017,PERMANENT  PACEMAKER-7,5269.068,service,
CARDIOLOGY,FMCAR-0018,PORTABLE ECHO SCREENING,519.12,SERVICE,
CARDIOLOGY,FMCAR-0019,PORTABLE ECHO FULL STUDY,908.4599999999999,SERVICE,
CARDIOLOGY,FMCAR-0020,24 HOURS AMBULATORY BP MONITORING,648.9,SERVICE,
CARDIOLOGY,FMCAR-0021,48 HOURS AMBULATORY BY MONITORING,908.4599999999999,SERVICE,
CARDIOLOGY,FMCAR-0500,SECOND OPINION CONSULTATION,129.78,service,
CARDIOLOGY,FMCAR-1000,DAY CARE SUPERVISION,194.67,service,
CARDIOLOGY,FMCAR-1001,DOCTOR'S DAYCARE SUPERVISION,110.31299999999999,service,
CARDIOLOGY,FMCARS0001,CARDIO VERSION (DC SHOCK),1323.7559999999999,SERVICE,
CARDIOLOGY,FMCARS0002,TEMPORARY PACEMAKER LEVEL REPOSITIONING,1323.7559999999999,SERVICE,
CARDIOLOGY,FMCARS0005,PERMANENT PACEMAKER IMPLANTATION (DDD),7786.8,service,
CARDIOLOGY,FMCARS0006,TRANSESOPHAGEAL ECHOCARDIOGRAPHY (TEE),1687.14,SERVICE,
CARDIOLOGY,FMCARS0007,PHARMACOLOGICAL TEST,1038.24,SERVICE,
CARDIOLOGY,FMCARS0008,PHARMACOLOGICAL STRESS ECHOCARDIOGRAPHY,2076.48,SERVICE,
CARDIOLOGY,FMCARS0009,ABULATORY BP MONITORING,9733.5,service,
CARDIOLOGY,FMCARS0010,INTRA-AROTIC BALLOON INSERTION,2076.48,SERVICE,
CARDIOLOGY,FMCARS0011,INTRA-AORTIC BALLOON PUMP USE / DAY,908.4599999999999,SERVICE,
CARDIOLOGY,FMCARS0012,RIGHT HEART CATHETERIZATION,1557.36,service,
CARDIOLOGY,FMCARS0013,LEFT HEART CATHETERIZATION,1557.36,service,
CARDIOLOGY,FMCARS0014,CORONARY ANGIOGRAPHY,2855.1600000000003,service,
CARDIOLOGY,FMCARS0018,CORONARY STENTING,1297.8,service,
CARDIOLOGY,FMCARS0020,STRESS TRANOESPHAGEAL ECHO,1687.14,SERVICE,
CARDIOLOGY,FMCARS0021,ECHO FULL STUDY,1297.8,service,
CARDIOLOGY,FMCARS0022,ECHO REPEAT,713.7900000000001,service,
CARDIOLOGY,FMCARS0023,ECHO FOLLOW UP,713.7900000000001,SERVICE,
CARDIOLOGY,FMCARS0030,EXTENDED AMBULATORY ECG MONITORING FOR SEVEN DAYS,2138.7744000000002,SERVICE,
cardiology,FMMTR-0001,E.C.G.,194.67,service,
cardiology,FMMTR-0002,E.E.G.,480.18600000000004,service,
cardiology,FMMTR-0003,E.C.G. WITH ERGOMETRY,1291.311,service,
cardiology,FMMTR-0004,ECHO CARDIOGRAM 2D + M MODE,1129.086,service,
cardiology,FMMTR-0005,ECHO CARDIOGRAM 2D + M MODE + DOPPLER (FULL STUDY),1550.8709999999999,service,
cardiology,FMMTR-0006,HOLTER MONITOR 24 HOURS ECG,1129.086,service,
cardiology,FMMTR-0007,TREADMILL EXERCISE STRESS TEST,1129.086,service,
CARDIOLOGY,FMCARS0003,EXTERNAL PACEMAKER USE /DAY,324.45,SERVICE,
CARDIOLOGY,FMCARS0004,ATRIAL PACING,1323.7559999999999,SERVICE,
CARDIOLOGY,FMCARS0024,EECP FULL COURSE,20764.8,service,
CARDIOLOGY,FMCARS0025,EECP 35 SISSIONS,16871.4,service,
CARDIOLOGY,FMCARS0026,EECP ONE SESSION,519.12,SERVICE,
CARDIOLOGY,FMCARS0027,EECP 12 SESSIONS,5840.1,SERVICE,
CARDIOLOGY,FMCARS0028,EECP,14275.8,service,
CATH LAB,FMCAT-0001,EXTERNAL PACEMAKER USE/DAY,259.56,service,
CATH LAB,FMCAT-0002,TEMPORARY PACEMAKER LEAD REPO,1297.8,service,
CATH LAB,FMCAT-0003,PERMANENT PACEMAKER IMPLANTATI ON,5191.2,service,
CATH LAB,FMCAT-0005,INTRA-AORTIC BALLOON INSERTION,2076.48,service,
CATH LAB,FMCAT-0006,INTRA-AORTIC BALLOON PUMP USE,648.9,service,
CATH LAB,FMCAT-0007,RIGHT HEART CATHETERIZATION,1557.36,service,
CATH LAB,FMCAT-0008,LEFT HEART CAHTETERIZATION,1557.36,service,
CATH LAB,FMCAT-0009,CORONARY ANGIOGRAPHY,2595.6,service,
CATH LAB,FMCAT-0010,BALLON VALVULOPLASTY,2076.48,service,
CATH LAB,FMCAT-0011,P.T.C.A. (SINGLE VESSEL),3633.8399999999997,service,
CATH LAB,FMCAT-0012,P.T.C.A. (MULTI VESSEL),5191.2,service,
CATH LAB,FMCAT-0013,CORONARY STENTING,1297.8,service,
CATH LAB,FMCAT-0014,BALLON ATRIAL SEPTOSTOMY,2595.6,service,
CATH LAB,FMCAT-0015,RENAL ANGIOGRAPHY,2336.04,service,
CATH LAB,FMCAT-0016,PERIPHERAL ANGIOGRAPHY,1959.678,service,
CATH LAB,FMCAT-0017,REMOVAL OF FOREIGN BODY BY SNARE,1401.624,service,
CATH LAB,FMCAT-0020,FOLLOW UP CORONARY AGIOGRAPHY,1401.624,service,
CATH LAB,FMCAT-0021,FLOUROSCOPY LIGHT SCREANING,259.56,service,
CATH LAB,FMCAT-0022,RENAL ANGIOPLASTY AND OR STENTING,2790.27,service,
CATH LAB,FMCAT-0023,PERIPHERAL ANGIOPLASTY  AND OR STEN,2790.27,service,
CATH LAB,FMCAT-0024,PDA CLOSURE BY COIL,2790.27,service,
CATH LAB,FMCAT-0025,PER CARDIAL SINTHESIS,1362.69,service,
CATH LAB,FMCAT-0026,PDA CLOSURE BY DEVICE,4152.96,service,
CATH LAB,FMCAT-0027,ASD CLOSURE BY DEVICE,4152.96,service,
CATH LAB,FMCAT-0028,SINGLE VESSEL PCI,5191.2,service,
CATH LAB,FMCAT-0029,TWO VESSEL PCI,7786.8,service,
CATH LAB,FMCAT-0030,MULTI VESSEL PCI,9473.94,service,
CATH LAB,FMCAT-0031,DIRECT CORONARY STENTING (SINGLE) V,2790.27,service,
CATH LAB,FMCAT-0032,MULTI VESSEL DIRECT CORONARY STENTI,5580.54,service,
CATH LAB,FMCAT-0033,CAROTID ANGIOGRAPHY,2615.067,service,
CATH LAB,FMCAT-0034,CAROTID ANGIOGRAPHY/STENTING,4152.96,service,
CATH LAB,FMCAT-0035,CEREBRAL ANGIOGRAPHY,2141.37,service,
CATH LAB,FMCAT-0036,CEREBRAL ANGIOPLASTY OR STENTING,4152.96,service,
CATH LAB,FMCAT-0037,CAT LAB PROCEDURE EXTRA COPY,58.401,service,
CATH LAB,FMCAT-0038,PERMANENT PACEMAKER PROGRAMMING,259.56,service,
CATH LAB,FMCAT-0039,CORONARY THROMBECTOMY 1,1297.8,service,
CATH LAB,FMCAT-0004,ATRIAL PACING,1297.8,service,
DELIVERY ROOM,FMOBGZ9999,USE OF DELIVERY ROOMS,519.12,service,
DENTAL,FMDNT-0001,REFERAL FROM OTHER DOCTOR -OP,123.291,service,
DENTAL,FMDNT00038,REMOVAL OF FIX APPLIANCE,596.988,service,
DENTAL,FMDNT-0079,BIOPSY OF BONE (MEDIUM),1576.827,service,
DENTAL,FMDNT-1000,DAY CARE SUPERVISION,330.93899999999996,service,
DENTAL,FMDNT-1001,DOCTOR'S DAYCARE SUPERVISION,116.802,service,
DENTAL,FMDNT-2000,ADDITIONAL FEE FOR COMPLICATEDOPERATIONS G.A.,2018.0790000000002,service,
DENTAL,FMDNTC0002,ENUCLEATION OF MODERATE CYST,1265.355,service,
DENTAL,FMDNTC0003,ENUCLEATION OF LARGE CYST,2361.996,service,
DENTAL,FMDNTC0005,PLASTIC CLOSURE OF CHRONIC    SKIN  FISTULA,1576.827,service,
DENTAL,FMDNTC0006,CLOSURE OF ACCIDENTAL OPENING OF MAX. SINUS (SMALL),791.6579999999999,service,
DENTAL,FMDNTC0007,CLOSURE OF ACCIDENTAL OPENING OF MAX. SINUS (LARGE),1576.827,service,
DENTAL,FMDNTC0008,CLOSURE OF CHRONIC  ORO-ANTRALFISTULA,2360.37375,service,
DENTAL,FMDNTC0009,CALDWELL-LUC OPERATION,2958.9840000000004,service,
DENTAL,FMDNTC0010,ALVEOLOPLASTY ONE JAW,1421.091,service,
DENTAL,FMDNTC0011,ALVEOLOPLASTY 1/2 JAW,635.9219999999999,service,
DENTAL,FMDNTC0012,MAX. TUBEROSITY REDUCTION SOFTTISSUE,317.96099999999996,service,
DENTAL,FMDNTC0013,MAX.TUBEROSITY PLASTIC REDUC- TION (BONY),473.697,service,
DENTAL,FMDNTC0014,REMOVAL OF FLABBY TISSUE ONE  JAW,1421.091,service,
DENTAL,FMDNTC0015,REMOVAL OF FLABBY TISSUE 1/2  JAW,635.9219999999999,service,
DENTAL,FMDNTC0016,LABIAL FRENECTOMY,791.6579999999999,service,
DENTAL,FMDNTC0017,LINGUAL FRENECTOMY (TONGUE TIE),953.8829999999999,service,
DENTAL,FMDNTC0018,REMOVAL OF DENTURE FISSURATUM SMALL,791.6579999999999,service,
DENTAL,FMDNTC0019,REMOVAL OF DENTURE FISSURATUM WITH GRAFT (M.M.),1576.827,service,
DENTAL,FMDNTC0020,REMOVAL OF TORES PALATINUS SML,473.697,service,
DENTAL,FMDNTC0021,REMOV. OF TORES PALATINUS LRGE,791.6579999999999,service,
DENTAL,FMDNTC0022,REMOV. OF MANDIBULAR TOR.SMLL.,473.697,service,
DENTAL,FMDNTC0023,REMOV. OF MADIBULAR  TOR. LRGE,791.6579999999999,service,
DENTAL,FMDNTC0024,VESTIBULOPLASTY 1/2 JAW,953.8829999999999,service,
DENTAL,FMDNTC0025,VESTIBULOPLASTY WITH GRAFT(MM),953.8829999999999,service,
DENTAL,FMDNTC0026,LOWERING OF THE FLOOR OF MOUTH,2360.37375,service,
DENTAL,FMDNTC0027,RIDGE AUGEMENTATION,3650.0625,service,
DENTAL,FMDNTC0028,REMOVAL OF SALIVARY CALCUL.ANT,791.6579999999999,service,
DENTAL,FMDNTC0029,REMVAL OF SALIVARY CALCUL.POST,2915.18325,service,
DENTAL,FMDNTC0031,MARSUPIALIZATION OF RANULA,791.6579999999999,service,
DENTAL,FMDNTC0032,THYROGLOSSAL CYST ENUCL./BRAN P CYST,1265.355,service,
DENTAL,FMDNTC0033,MANIPULATION OF DISLOCATED TMJ,616.4549999999999,service,
DENTAL,FMDNTC0035,SURGICAL EXCISION  OF INTRA-  ORAL TUMOUR SMALL,473.697,service,
DENTAL,FMDNTC0038,STICHES  FOR DEEP WOUND,415.29600000000005,service,
DENTAL,FMDNTC0039,STICHES FOR SUPERFICIAL WOUND,162.225,service,
DENTAL,FMDNTC0040,REMOVAL OF FOREIGN BODY,1427.5800000000002,service,
DENTAL,FMDNTC0041,REMOVAL OF PLATE OR WIRES OF  OLD FRACTURE,791.6579999999999,service,
DENTAL,FMDNTC0043,SIMPLE FRACTURE,2361.996,service,
DENTAL,FMDNTC0047,BIOPSY OF SOFT TISSUE,402.318,service,
DENTAL,FMDNTC0048,BIOPSY OF BONE,473.697,service,
DENTAL,FMDNTC0049,EXCISION OF TONGUE (PARTIAL),1576.827,service,
DENTAL,FMDNTC0050,HEMIGLOSSECTOMY,2361.996,service,
DENTAL,FMDNTC0051,TOTAL GLOSSECTOMY,2360.37375,service,
DENTAL,FMDNTC0052,SCAR CORRECTION (SMALL),791.6579999999999,service,
DENTAL,FMDNTC0053,SCAR CORRECTION (MODERATE),1576.827,service,
DENTAL,FMDNTC0054,SCAR CORRECTION (LARGE),2361.996,service,
DENTAL,FMDNTC0055,ROTATION FLAP (SMALL),791.6579999999999,service,
DENTAL,FMDNTC0056,ROTATION FLAP (MODERATE),1576.827,service,
DENTAL,FMDNTC0057,ROTATION FLAP (LARGE),2361.996,service,
DENTAL,FMDNTC0058,TRANSPOSITION FLAP (SMALL),791.6579999999999,service,
DENTAL,FMDNTC0059,TRANSPOSITION FLAP (MODERATE),1576.827,service,
DENTAL,FMDNTC0060,TRANSPOSITION FLAP (LARGE),2361.996,service,
DENTAL,FMDNTC0061,CLEFT LIP CORRECTN UNILATERAL INCOMPLETE,1576.827,service,
DENTAL,FMDNTC0062,CLEFT LIP CORRECTN UNILATERAL COMPLETE,2361.996,service,
DENTAL,FMDNTC0063,CLEFT LIP CORRECTION BILATERALINCOMPLETE,2360.37375,service,
DENTAL,FMDNTC0064,CLEFT LIP CORRECTION BILATERALCOMPLETE,2958.9840000000004,service,
DENTAL,FMDNTC0065,REPAIR OF 2ND CORRECTION OF   CLEFT LIP,2958.9840000000004,service,
DENTAL,FMDNTC0066,CLEFT PALATE CORRECTION (HARD & SOFT),2997.9180000000006,service,
DENTAL,FMDNTC0067,CLEFT PALATE CORRECTION -     (ISOLATED),2361.996,service,
DENTAL,FMDNTC0068,REPAIR OF 2ND CORRECTION OF   CLEFT PALATE,2958.9840000000004,service,
DENTAL,FMDNTC0070,PHARYNGOPLASTIC (WITH/WITHOUT\ISOLATED CLEFT PALATE),2360.37375,service,
DENTAL,FMDNTC0071,OSTEOTOMY IN THE CONDYLAR NECK,2958.9840000000004,service,
DENTAL,FMDNTC0072,EXTRA-ORAL VERTICAL OSTEOTOMY IN THE RAMI,2360.37375,service,
DENTAL,FMDNTC0074,INTRA-ORAL SUBCONDYLAR  -     OSTEOTOMY (OBLIQUE),2361.996,service,
DENTAL,FMDNTC0075,HORIZONTAL OSTEOTOMY IN THE   RAMI,2126.76975,service,
DENTAL,FMDNTC0076,INTRA-ORAL SAGITTAL OSTEOTOMY,934.416,service,
DENTAL,FMDNTC0077,OSTECTOMY IN THE BODY OF      MADIBLE (Z),2360.37375,service,
