Service Code,Desc.,Price as of 01/08/2024,Price as of 01/08/2025 and onward,Gross/Net,Discount % Yes/No,MCA Category Code,Service Category Description,Nphies Code,Nphies Description
1112032,INTERVENTIONAL RADIOLOGY CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-01-60,Assessment by Licensed Radiologist
1112033,IVF CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-00-20,Office Assessment  for diagnosis and treatment  and counselling of a new or established patient by Consultant
1112034,IVF CONSULTATION FOLLOW UP VISIT,0,0,Net,no,11.0,Portal Professional Fees,83600-00-20,Office Assessment  for diagnosis and treatment  and counselling of a new or established patient by Consultant
1112035,NEPHROLOGY CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112036,NEURO SURGERY CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112037,NEUROLOGY CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112038,ONCOLOGY CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112039,OPHTHALMOLOGY CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112040,ORTHODONTIST CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112041,ORTHOPAEDIC CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112042,OUTSIDE CONSULTATION CONSULTANT,787.5,825.0000000000001,Gross,yes,11.0,Portal Professional Fees,83600-00-20,Office Assessment  for diagnosis and treatment  and counselling of a new or established patient by Consultant
1112043,OUTSIDE CONSULTATION SPECIALIST,472.5,495.00000000000006,Gross,yes,11.0,Portal Professional Fees,83600-00-20,Office Assessment  for diagnosis and treatment  and counselling of a new or established patient by Consultant
1112044,PAEDIATRIC CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112045,PEDIATRIC CARDIOLOGY CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-01-20,Assessment by Licensed Cardiopulmonologist
1112046,PEDIATRIC SURGERY CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112047,PSYCHIATRIC CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-01-70,"Assessment by Licensed Psychiatrist for an adult (age, 18 and above)"
1112048,PSYCHIATRIC FOLLOW-UP (WITHIN 7 DAYS),0,0,Net,no,11.0,Portal Professional Fees,83600-00-40,Secondary follow up treatment with the same condition within the mandated timelines for specialist
1112049,PSYCHO THERAPY (PER SESSION),147,154,Net,no,11.0,Portal Professional Fees,83600-01-70,"Assessment by Licensed Psychiatrist for an adult (age, 18 and above)"
1112050,RHEUMATOLOGY  CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112051,SURGERY CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112052,UROLOGY CONSULTATION,190,190,Net,no,11.0,Portal Professional Fees,83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112053,CONSULTANT OR SPECIALIST CALL BY NAME FOR DELIVERY REQUESTED BY THE PATIENT,1050,1100,Gross,yes,11.0,Portal Professional Fees,83600-03-60,Telemedicine Assessment  for diagnosis  treatment  and counselling of a new or established patient by Consultant
1112057,PREANESTHESIA CLINIC CONSULTATION,0,0,Net,no,11.0,Portal Professional Fees,96037-00-00,"Other assessment, consultation or evaluation"
1112058,CONSULTATION FOR OPD SERVICES,190,190,Net,no,11.0,Portal Professional Fees,96037-00-00,"Other assessment, consultation or evaluation"
1112059,HOME VISIT / NURSE,210,220.00000000000003,Net,no,11.0,Portal Professional Fees,83620-00-00,"Include  all medical services and transportation - Supportive services: includes Physiotherapy, Speech Therapy, Occupational Therapy, Respiratory Therapy. Exclude medication, consumables and equipment which will be paid separately. Billed on daily basis each day is for 8 hours work"
1112060,HOME VISIT / G.P. WITH NURSE,315,330,Net,no,11.0,Portal Professional Fees,83620-00-50,Home Assessment  for diagnosis  treatment  and counselling of a new or established patient by General Practitioner
1112061,HOME VISIT / SPECIALIST WITH NURSE,420,440.00000000000006,Net,no,11.0,Portal Professional Fees,96237-00-40,Comprehensive mental health assessment - Home visit - Established Patient
1112062,HOME VISIT / CONSULTANT WITH NURSE,525,550,Net,no,11.0,Portal Professional Fees,83620-00-00,"Include  all medical services and transportation - Supportive services: includes Physiotherapy, Speech Therapy, Occupational Therapy, Respiratory Therapy. Exclude medication, consumables and equipment which will be paid separately. Billed on daily basis each day is for 8 hours work"
1112066,HOME VISIT / GENERAL PRACTITIONER,157.5,165,Net,no,11.0,Portal Professional Fees,83620-00-50,Home Assessment  for diagnosis  treatment  and counselling of a new or established patient by General Practitioner
1112067,HOME VISIT / VACCINATION,157.5,165,Net,no,11.0,Portal Professional Fees,92157-00-00,"Vaccination against viral diseases, not elsewhere classified"
FMERDA0023,HOME VISIT - CONSULTANT ON DUTY,420,440.00000000000006,Net,no,11.0,Portal Professional Fees,83620-00-70,Home Assessment  for diagnosis  treatment  and counselling of a new or established patient by Consultant
FMERDA0024,HOME VISIT - CONSULTANT OFF DUTY,420,440,Net,no,11.0,Portal Professional Fees,83620-00-70,Home Assessment  for diagnosis  treatment  and counselling of a new or established patient by Consultant
FMERDA0077,HOME VISIT - SPECIALIST ON DUTY,288.75,302.5,Net,no,11.0,Portal Professional Fees,96028-00-00,Home management assessment
FMERDA0078,HOME VISIT - SPECIALIST OFF DUTY,288.75,302.5,Net,no,11.0,Portal Professional Fees,83620-00-60,Home Assessment  for diagnosis  treatment  and counselling of a new or established patient by Specialist
SGHTELC,TELE MEDICINE CONSULTANT,157.5,165,Net,no,11.0,Portal Professional Fees,83600-03-60,Telemedicine Assessment  for diagnosis  treatment  and counselling of a new or established patient by Consultant
SGHTELE,TELE MEDICINE SPECIALIST,105,110.00000000000001,Net,no,11.0,Portal Professional Fees,83600-03-50,Telemedicine Assessment  for diagnosis  treatment  and counselling of a new or established patient by Specialist
2142001,PHYSIOTHERAPY  (PER PROCEDURE),63,66,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142002,PHYSIOTHERAPY HYDROTHERAPY,63,66,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142003,PHYSIOTHERAPY EXERCISES,63,66,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142004,PHYSIOTHERAPY CRYOTHERAPY,63,66,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142005,PHYSIOTHERAPY MUSCLE STIMULATION,63,66,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142006,PHYSIOTHERAPY MASSAGE,63,66,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142007,PHYSIOTHERAPY HOT PACKS,63,66,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142008,NERVE CONDUCTION,472.5,495.00000000000006,Gross,yes,14.0,Portal Physiotherapy,11012-01-00,Conduction studies on 1 nerve
2142009,PHYSIOTHERAPY ULTRASOUND,63,66,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142010,PHYSIOTHERAPY WAX,63,66,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142011,PHYSIOTHERAPY SHORTWAVE DIATHERMY,63,66,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142012,PHYSIOTHERAPY TRACTION,63,66,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142013,PHYSIOTHERAPY ULTRA VIOLET,63,66,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142014,PHYSIOTHERAPY STEAM INHALATION,63,66,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142015,PHYSIOTHERAPY OTHERS,63,66,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142016,PHYSIOTHERAPY CHEST,63,66,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142017,PHYSIOTHERAPY LAZER,63,66,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142018,PHYSIOTHERAPY INTEREFERENTIAL,63,66,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142019,PHYSIOTHERAPY TENS,63,66,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142020,PHYSIOTHERAPY RUSSIAN CURRENT,63,66,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142021,SHOCK WAVE THERAPY,210,220.00000000000003,Gross,yes,14.0,Portal Physiotherapy,96155-00-00,"Stimulation therapy, not elsewhere classified"
2142022,SCANNER LASER,131.25,137.5,Gross,yes,14.0,Portal Physiotherapy,96155-00-00,"Stimulation therapy, not elsewhere classified"
2142023,MAGNA THERAPY,105,110.00000000000001,Gross,yes,14.0,Portal Physiotherapy,96155-00-00,"Stimulation therapy, not elsewhere classified"
2142024,VASOTRAIN,210,220.00000000000003,Gross,yes,14.0,Portal Physiotherapy,96152-00-00,Biofeedback
2142025,HYDROTHERAPY (WHOLE BODY),105,110.00000000000001,Gross,yes,14.0,Portal Physiotherapy,96153-00-00,Hydrotherapy
2142026,HYDROTHERAPY (PART OF BODY),52.5,55.00000000000001,Gross,yes,14.0,Portal Physiotherapy,96153-00-00,Hydrotherapy
2142027,OCCUPATIONAL THERAPY (MORE THAN ONE PART),210,220.00000000000003,Gross,yes,14.0,Portal Physiotherapy,95550-02-00,"Allied health intervention, occupational therapy"
2142028,OCCUPATIONAL THERAPY (ONE PART),157.5,165,Gross,yes,14.0,Portal Physiotherapy,95550-02-00,"Allied health intervention, occupational therapy"
2142029,OCCUPATIONAL THERAPY & PHYSIOTHERAPY (ONE SITTING),288.75,302.5,Gross,yes,14.0,Portal Physiotherapy,95550-02-00,"Allied health intervention, occupational therapy"
2142030,OCCUPATIONAL THERAPY (SPEECH / SWALLOWING),433.65000000000003,454.3,Gross,yes,14.0,Portal Physiotherapy,95550-02-00,"Allied health intervention, occupational therapy"
2142031,PHYSIOTHERAPY  SESSION (MULTIPLE MODALITIES),294,308,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142033,PHYSIOTHERAPY INITIAL EVALUATION,262.5,275,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142034,PHYSIOTHERAPY RE- EVALUATION,157.5,165,Gross,yes,14.0,Portal Physiotherapy,95550-03-00,"Allied health intervention, physiotherapy"
2142035,EXERCISE ONLINE (6 SESSIONS)+DIETITIAN (3 SESSIONS),1048.95,1098.9,Gross,yes,14.0,Portal Physiotherapy,83600-01-00,"Assessment of regulated healthcare professionals licensed to assess, diagnose, and treat nutritional problems."
FMHC-0062,Home Visit - Physiotherapist  Physiotherapy / Visit + evaluation (Transportation + Providing Servi,210,220.00000000000003,Gross,yes,14.0,Portal Physiotherapy,83620-00-80,"Bundled Base Payment of home care (Simple)  .Includes all medical services and transportation - Supportive services: includes Physiotherapy, Speech Therapy, Occupational Therapy, Respiratory Therapy . Exclude medication, consumables and equipment which will be paid separately"
FMHC-0063,HOME PHYSIOTHERPY OF HEMIPLEGIA ( 1 SESSION ),294,308,Gross,yes,14.0,Portal Physiotherapy,83620-00-10,to be billed per seeion
FMHC-0064,HOME PHYSIOTHERPY OF HEMIPLEGIA ( 6 SESSION ),1732.5,1815.0000000000002,Gross,yes,14.0,Portal Physiotherapy,83620-00-10,to be billed per seeion
FMHC-0065,HOME PHYSIOTHERPY OF HEMIPLEGIA (12 SESSION/MONTH ),3465,3630.0000000000005,Gross,yes,14.0,Portal Physiotherapy,83620-00-10,to be billed per seeion
FMHC-0066,HOME PHYSIOTHERPY FACIAL PALSY ( 1SESSION ),210,220.00000000000003,Gross,yes,14.0,Portal Physiotherapy,83620-00-10,to be billed per seeion
FMHC-0067,HOME PHYSIOTHERPY FACIAL PALSY (6 SESSIONS ),1575,1650.0000000000002,Gross,yes,14.0,Portal Physiotherapy,83620-00-10,to be billed per seeion
FMHC-0068,HOME PHYSIOTHERPY FACIAL PALSY ( 12 SESSION /MONTH ),2520,2640,Gross,yes,14.0,Portal Physiotherapy,83620-00-10,to be billed per seeion
FMHC-0069,HOME PHYSIOTHERPY CEREBERAL PALSY ( 1 SESSION,294,308,Gross,yes,14.0,Portal Physiotherapy,83620-00-10,to be billed per seeion
FMHC-0070,HOME PHYSIOTHERPY CEREBERAL PALSY( 6 SESSIONS),1732.5,1815.0000000000002,Gross,yes,14.0,Portal Physiotherapy,83620-00-10,to be billed per seeion
FMHC-0071,HOME PHYSIOTHERPY CEREBERAL PALSY( 12 SESSION),3465,3630.0000000000005,Gross,yes,14.0,Portal Physiotherapy,83620-00-10,to be billed per seeion
FMNEU-4001,POST STROKE CARE HOME VISIT (OTHER CONSULTATION),525,550,Gross,yes,14.0,Portal Physiotherapy,83620-00-80,"Bundled Base Payment of home care (Simple)  .Includes all medical services and transportation - Supportive services: includes Physiotherapy, Speech Therapy, Occupational Therapy, Respiratory Therapy . Exclude medication, consumables and equipment which will be paid separately"
FMPTD-0101,Electromagnetic Therapy Session,420,440.00000000000006,Gross,yes,14.0,Portal Physiotherapy,11012-00-00,Electromyography [EMG]
FMPTD-2601,HIGH INTENSITY SCANNING LASER,183.75,192.50000000000003,Gross,yes,14.0,Portal Physiotherapy,96234-00-00,"Technology-assisted intervention, not elsewhere classified"
FMPTD-2602,RADIOFREQUANCY SESSION,404.25,423.50000000000006,Gross,yes,14.0,Portal Physiotherapy,96234-00-00,"Technology-assisted intervention, not elsewhere classified"
FMPTD-2603,DECONGESTIVE THERAPY SESSION,173.25,181.50000000000003,Gross,yes,14.0,Portal Physiotherapy,96234-00-00,"Technology-assisted intervention, not elsewhere classified"
FMPTD-2604,MULTILAYER DECONGESTIVE LYMPHATIC COMPRESSION,404.25,423.50000000000006,Gross,yes,14.0,Portal Physiotherapy,96234-00-00,"Technology-assisted intervention, not elsewhere classified"
FMPTD-2605,KINESIOTAPE,115.5,121.00000000000001,Gross,yes,14.0,Portal Physiotherapy,99999-99-99,Unlisted Procedure
7121001,11-DEOXYCORTISOL (COMPOUND S),498.75,522.5,Gross,yes,31.0,Portal Laboratory,73000-03-10,"Metyrapone Panel, includes  cortisol x 2 and 11 deoxycortisol x 2"
7121002,17 OH PROGESTRON,477.75,500.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-20-10,Progesterone 17 hydroxy 17ohp
7121003,17-HYDROXYCORTISOTERIODS  URINE,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-19-90,"Measurement of (Quantitative) hydroxycorticosteroids, 17- (17-OHCS)"
7121004,17-KETOSTERIODS  URINE,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-21-50,Measurement of (Quantitative) ketosteroids 17- total
7121005,17-OH-PREGNENOLONE,840,880.0000000000001,Gross,yes,31.0,Portal Laboratory,73050-29-50,Measurement of (Quantitative) pregnenolone
7121006,21 HYDROXYLASE ABS,504,528,Gross,yes,31.0,Portal Laboratory,73000-01-20,"ACTH 21 hydroxylase deficiency Profile, includes cortisol x2 and"
7121007,5-HIAA ,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-20-00,5HIAA (5 OH-INDOLE ACETIC Acid) in urine - s.o
7121008,5-NUCLEOTIDASE,430.5,451.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-25-60,Measurement of (Quantitative) nucleotidase 5'-
7121009,5-OH TRYPTOPHAN,519.75,544.5,Gross,yes,31.0,Portal Laboratory,73050-39-70,Chemistry tests unlisted
7121010,ACETONE (BLOOD),546,572,Gross,yes,31.0,Portal Laboratory,73350-00-40,Acetaldehyde Quantitative; blood
7121011,ACETYCHOLINESTERATE(B),120.75,126.50000000000001,Gross,yes,31.0,Portal Laboratory,73050-00-20,Measurement of (Quantitative) acetylcholinesterase
7121012,ACETYLCHOLINE RECEPTOR ANTIBODY,1155,1210,Gross,yes,31.0,Portal Laboratory,73050-00-20,Measurement of (Quantitative) acetylcholinesterase
7121013,ACTH,682.5,715.0000000000001,Gross,yes,31.0,Portal Laboratory,73050-00-50,Measurement of Adrenocorticotropic Hormone (ACTH)
7121014,ACTIVATED PROTIEN C RESISTANCE,640.5,671,Gross,yes,31.0,Portal Laboratory,73100-04-50,Assay for activated Protein c (APC) resistance
7121015,ADENO VIRUS ABS,105,110.00000000000001,Gross,yes,31.0,Portal Laboratory,73100-19-00,Detection of antibody; Adenovirus
7121016,ADENOSINE DEAMINASE,1842.75,1930.5000000000002,Gross,yes,31.0,Portal Laboratory,73050-00-60,Measurement of (Quantitative) adenosine 5-monophosphate cyclic
7121017,ADH & OSMOLALITY,777,814.0000000000001,Gross,yes,31.0,Portal Laboratory,73050-38-50,"Measurement of vasopressin (antidiuretic Hormone, ADH)"
7121018,ADRENAL CORTEX ABS,341.25,357.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-39-70,Chemistry tests unlisted
7121019,ALBUMIN,78.75,82.5,Gross,yes,31.0,Portal Laboratory,73050-00-80,Measurement of Albumin Quantitaive;urine
7121020,ALBUMIN/GLOBUMIN RATIO,63,66,Gross,yes,31.0,Portal Laboratory,73050-00-80,Measurement of Albumin Quantitaive;urine
7121021,ALDOLASE,236.25,247.50000000000003,Gross,yes,31.0,Portal Laboratory,73050-01-30,Measurement of Aldolase Profile
7121022,ALDOSTERONE (URINE  SERUM),614.25,643.5,Gross,yes,31.0,Portal Laboratory,73000-01-40,"Aldosterone suppression evaluation Panel(Aldosterone x2,Renin x 2)"
7121023,ALKA PHASE B (BONE ALKALINE PHOSPHATES),446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-27-60,Measurement of Alkaline phosphatas
7121024,ALKALINE LEUOCYTE PHOSPHATASE,147,154,Gross,yes,31.0,Portal Laboratory,73050-27-60,Measurement of Alkaline phosphatas
7121025,ALKALINE PHOSPHATASE,63,66,Gross,yes,31.0,Portal Laboratory,73100-07-70,Leukocyte alkaline phosphatase with count
7121026,ALKALINE PHOSPHATASE ISOENZYMES,567,594,Gross,yes,31.0,Portal Laboratory,73050-27-80,"Measurement of Alkaline phosphatase isoenMeasurement ofymes, serum"
7121027,ALPHA I ANTITRYPSIN,525,550,Gross,yes,31.0,Portal Laboratory,73050-01-50,Measurement of (Quantitative) total alpha-1-antitrypsin
7121028,ALPHA-1 ANTI-TRIPSIN PHENOTYPE,546,572,Gross,yes,31.0,Portal Laboratory,73050-01-60,"Measurement of (Quantitative) phenotype, alpha-1-antitrypsin"
7121029,ALPHA-FETOPROTEIN,262.5,275,Gross,yes,31.0,Portal Laboratory,73050-01-80,"Measurement of (Quantitative) amniotic fluid, alpha-fetoProtein"
7121030,ALUMINIUM,367.5,385.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-02-00,Measurement of Aluminum Profile
7121031,AMACR,840,880.0000000000001,Gross,yes,31.0,Portal Laboratory,73050-25-20,Measurement of Myeloperoxidase mpo
7121032,AMEBA ANTIBODY,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-48-60,Detection of entamoeba histolytica antigen in stool
7121033,AMIKACIN,420,440.00000000000006,Gross,yes,31.0,Portal Laboratory,73300-00-00,Drug Profile screening (Amikacin)
7121034,AMINO ACID QUANT,1023.75,1072.5,Gross,yes,31.0,Portal Laboratory,73050-02-60,Measurement of Amino Acid Quantitative 2-5
7121035,AMINO ACID SCREENING,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-02-60,Measurement of Amino Acid Quantitative 2-5
7121036,AMIODARONE,388.5,407.00000000000006,Gross,yes,31.0,Portal Laboratory,73300-03-60,Drug Profile screening (therapeutic drug)
7121037,AMMONIA,63,66,Gross,yes,31.0,Portal Laboratory,73050-02-80,Measurement of ammonia
7121038,AMOEBIC ABS (IHA),246.75,258.5,Gross,yes,31.0,Portal Laboratory,73250-00-20,"Antibody screen, (Identification and titter)"
7121039,AMPHETAMINES,262.5,275,Gross,yes,31.0,Portal Laboratory,73300-04-50,Drug Quantitative/Qualitative or both screening (Amphetamines;1 or 2)
7121040,AMYLASE  SERUM,105,110.00000000000001,Gross,yes,31.0,Portal Laboratory,73050-03-00,Measurement of amylase
7121041,AMYLASE  URINE,105,110.00000000000001,Gross,yes,31.0,Portal Laboratory,73050-03-00,Measurement of amylase
7121042,AMYLOID A,441,462.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-39-70,Chemistry tests unlisted
7121043,ANDROSTENDIONE,540.75,566.5,Gross,yes,31.0,Portal Laboratory,73050-03-20,Measurement of Androstenedione level Profile
7121044,ANDROSTERONE,315,330,Gross,yes,31.0,Portal Laboratory,73050-03-30,Measurement of (Quantitative) androsterone
7121045,ANGIOTENSIN-1-CONVERTING ENZYME,467.25,489.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-03-50,Measurement of Angiotensin i-converting enzyme test
7121046,ANTI CENTROMERE ABS,241.5,253.00000000000003,Gross,yes,31.0,Portal Laboratory,73100-10-70,Measurement of antinuclear antibodies  (ANA)
7121047,ANTI DS DNA,614.25,643.5,Gross,yes,31.0,Portal Laboratory,73100-12-90,Streptococcal ab (anti dnase) - s.o
