SER,SERVICE CODE,CATEGORY,SUB-CATEGORY,SERVICE DESCRIPTION,الـوصـــــــــــــــــــف ,VIP & A,B,Unnamed: 8
25.0,1112025,CONSULTATION,CONSULTATION,FOLLOW UP (IVF) WITHIN 7 DAYS, زيارة متابعة إستشاري العقم - خلال سبعة أيــــام,0,0,FLAT RATE
26.0,1112026,CONSULTATION,CONSULTATION,FOLLOW-UP CONSULTATION (WITHIN 14 DAYS), زيارة مجانية خلال اربعة عشر يــــوم,0,0,FLAT RATE
27.0,1112027,CONSULTATION,CONSULTATION,FREE FOLLOW UP ( DENTAL ), متابعة مجانيـة لطـبيب الأسنـان,0,0,FLAT RATE
28.0,1112028,CONSULTATION,CONSULTATION,CONSULTATION FEE GASTROENTEROLOGY,كشف أستشاري جهازهضمي,160,100,FLAT RATE
29.0,1112029,CONSULTATION,CONSULTATION,CONSULTATION FEE GYNECOLOGY, كشف اسـتـشــاري أمـراض النساء و  الولادة,160,100,FLAT RATE
30.0,1112030,CONSULTATION,CONSULTATION,INPATIENT VISIT - NEURO SURGEON, كشف استشاري جراحة المخ والأعصاب لمرضى التنويم ,160,100,FLAT RATE
31.0,1112031,CONSULTATION,CONSULTATION,INTERNAL MEDICINE CONSULTATION, كشف أستشاري الأمراض الباطنه,160,100,FLAT RATE
32.0,1112032,CONSULTATION,CONSULTATION,INTERVENTIONAL RADIOLOGY CONSULTATION,كشفية استشارى اشعة تداخلية,160,100,FLAT RATE
33.0,1112033,CONSULTATION,CONSULTATION,IVF CONSULTATION, كشفية استشاري العقم ,160,100,FLAT RATE
34.0,1112034,CONSULTATION,CONSULTATION,IVF CONSULTATION CONSEQUENT VISIT, متابعة استشاري العقم ,160,100,FLAT RATE
35.0,1112035,CONSULTATION,CONSULTATION,NEPHROLOGY CONSULTATION, كشف اسـتـشـاري أمـراض الـكـلــى,160,100,FLAT RATE
36.0,1112036,CONSULTATION,CONSULTATION,NEURO SURGERY CONSULTATION, كشف  استـشـاري جراحة المخ و الأعصاب ,160,100,FLAT RATE
37.0,1112037,CONSULTATION,CONSULTATION,NEUROLOGY CONSULTATION, كشف استشاري الأعـصـاب,160,100,FLAT RATE
38.0,1112038,CONSULTATION,CONSULTATION,ONCOLOGY CONSULTATION,كشف استشاري اورام,160,100,FLAT RATE
39.0,1112039,CONSULTATION,CONSULTATION,OPHTHALMOLOGY CONSULTATION, كشف استـشــاري العـيــون,160,100,FLAT RATE
40.0,1112040,CONSULTATION,CONSULTATION,ORTHODONTIST CONSULTATION, استشارة طبيب التقويم,160,100,FLAT RATE
41.0,1112041,CONSULTATION,CONSULTATION,ORTHOPAEDIC CONSULTATION, كشف استـشاري العـظــام,160,100,FLAT RATE
44.0,1112044,CONSULTATION,CONSULTATION,PAEDIATRIC CONSULTATION, كشف اسـتشـاري الأطـفــال,160,100,FLAT RATE
45.0,1112045,CONSULTATION,CONSULTATION,PEDIATRIC CARDIOLOGY CONSULTATION,كشفية استشاري قلب أطفال,160,100,FLAT RATE
46.0,1112046,CONSULTATION,CONSULTATION,PEDIATRIC SURGERY CONSULTATION,كشفية استشاري جراحة أطفال,160,100,FLAT RATE
47.0,1112047,CONSULTATION,CONSULTATION,PSYCHIATRIC CONSULTATION, كشف استشاري النفسيـــة,160,100,FLAT RATE
48.0,1112048,CONSULTATION,CONSULTATION,PSYCHIATRIC FOLLOW-UP (WITHIN 7 DAYS), متابعة استشاري النفسية (7 أيــام ),160,100,FLAT RATE
49.0,1112049,CONSULTATION,CONSULTATION,PSYCHO THERAPY (PER SESSION), جلسة لـدى استشـاري النفسيــة,160,100,FLAT RATE
50.0,1112050,CONSULTATION,CONSULTATION,RHEUMATOLOGY  CONSULTATION, كشف أستشـاري العـلاج الـطبيعـي,160,100,FLAT RATE
51.0,1112051,CONSULTATION,CONSULTATION,SURGERY CONSULTATION, كشف استـشـاري الجـراحـة ,160,100,FLAT RATE
52.0,1112052,CONSULTATION,CONSULTATION,UROLOGY CONSULTATION, كشف استـشـاري المسالك البولية,160,100,FLAT RATE
240.0,2014051,GENERAL SURG.,FINE MAJOR SURG,PRE-OPERATIVE INVESTIGATION,الفحوصات ما قبل العملية,400,400,FLAT RATE
1760.0,7122005,LABORATORY,HEMATOLOGY,CBC WITH DIFFERENTIAL COUNT, صورة دم كاملة مع عدد كرات دم بيضاء نوعى,95,89,FLAT RATE
2178.0,7131001,BLOOD BANK,BLOOD COMPONENTS,BLOOD GROUP (ABO & RH),فصيلــة الــدم + ار اتش ( معامل ريزوس ),62,58,FLAT RATE
1764.0,7122009,LABORATORY,HEMATOLOGY,ERYTHROCYTE SEDIMENTATION RATE (ESR), سرعة الترسيب ( سرعة التثفل ),29,27,FLAT RATE
1408.0,7121308,LABORATORY,CHEMISTRY,GLUCOSE (SERUM) FASTING, أختبار سكر صائــم,55,51,FLAT RATE
1725.0,7121625,LABORATORY,CHEMISTRY,URIC ACID (SERUM), حمض البول ( في المصل ),55,51,FLAT RATE
1662.0,7121562,LABORATORY,CHEMISTRY,"SODIUM, SERUM ", عيار الصوديوم في الدم ,55,51,FLAT RATE
1597.0,7121497,LABORATORY,CHEMISTRY,"POTASSIUM, SERUM", بوتاسيوم دم  او بول,48,44,FLAT RATE
1697.0,7121597,LABORATORY,CHEMISTRY,TOTAL BILIRUBIN, الصفراء الكليـة,55,51,FLAT RATE
1655.0,7121555,LABORATORY,CHEMISTRY,SGOT (AST), أنزيم كبدي اس. جي. أوتي.,55,51,FLAT RATE
1656.0,7121556,LABORATORY,CHEMISTRY,SGPT (ALT), أنزيم كبدي أس. جي. بي. تي.,55,51,FLAT RATE
1125.0,7121025,LABORATORY,CHEMISTRY,ALKALINE PHOSPHATASE, تحليل الفوسفات القلوي,44,41,FLAT RATE
1698.0,7121598,LABORATORY,CHEMISTRY,TOTAL CHOLESTEROL, الكوليسترول الكلي بالــدم,73,68,FLAT RATE
1712.0,7121612,LABORATORY,CHEMISTRY,TRIGLYCERIDES, الدهنيات الثلاثـيـة,146,136,FLAT RATE
1208.0,7121108,LABORATORY,CHEMISTRY,BUN, البولينا في الــدم,55,51,FLAT RATE
1819.0,7124001,LABORATORY,URINE AND STOOL ANALYSIS,ROUTINE URINE ANALYSIS, فحص البول العادي,55,51,FLAT RATE
1853.0,7125009,LABORATORY,IMMUNO/SEROLOGY,"HBSAG, SCREEN", فحص الكبد الوبائي ( العامل الأسترالي ),146,136,FLAT RATE
1302.0,7121202,LABORATORY,CHEMISTRY,"CREATININE, SERUM", الكرياتيينـن ( بالمصـل ),55,51,FLAT RATE
1720.0,7121620,LABORATORY,CHEMISTRY,TSH, تي اس اتش / الهرمون المحرض للدرق,420,391,FLAT RATE
444.0,3112043,GENERAL ,GENERAL  SERVICES,E.K.G. / E.C.G. WITH REPORT,رسـم الـقـلـب مـع تـقـريـر,146,136,FLAT RATE
446.0,3112045,GENERAL ,GENERAL  SERVICES,ECHO CARDIOGRAM, رسـم قلب بالموجـات فـوق الصوتـيـة ,548,510,FLAT RATE
445.0,3112044,GENERAL ,GENERAL  SERVICES,TREADMILL EXERCISE TEST (STRESS TEST), تريدميل ( رسـم قلب بالـجـهـد ),584,544,FLAT RATE
2340.0,8121001,RADIOLOGY,X-RAY,ABDOMEN X-RAY 1 VIEW, اشعة للبطن وضعية واحدة,175,165,FLAT RATE
2341.0,8121002,RADIOLOGY,X-RAY,ABDOMEN X-RAY 2 VIEW, اشعة للبطن وضعيتان,175,165,FLAT RATE
2342.0,8121003,RADIOLOGY,X-RAY,ANKLE - 2 VIEWS, أشعة عنق القـدم / وضعين,175,165,FLAT RATE
2343.0,8121004,RADIOLOGY,X-RAY,ANKLE -3 TO 4 VIEWS, اشعة عنق القدم / 3 أوضـاع,175,165,FLAT RATE
2348.0,8121009,RADIOLOGY,X-RAY,BILATERAL LOWER EXTERIMETIES , اشعة للاطراف السفلية (طرفين) ,175,165,FLAT RATE
2349.0,8121010,RADIOLOGY,X-RAY,BILATERAL UPPER EXTERIMETIES , اشعة للاطراف العلوية (طرفين) ,175,165,FLAT RATE
2350.0,8121011,RADIOLOGY,X-RAY,BONE AGE (CHILDREN), تحديد العمر العظمي شعاعياً / الأطفال,175,165,FLAT RATE
2351.0,8121012,RADIOLOGY,X-RAY,BOTH KNEES, اشعة للركبتين اربع وضعيات,175,165,FLAT RATE
2352.0,8121013,RADIOLOGY,X-RAY,BOTH KNEES STANDING, اشعة للركبتين وضعيتان (وقوف),175,165,FLAT RATE
2353.0,8121014,RADIOLOGY,X-RAY,CERVICAL SPINE - 2 VIEWS, اشعة الفقـرات العنقية وضعين,175,165,FLAT RATE
2354.0,8121015,RADIOLOGY,X-RAY,CERVICAL SPINE - 4 VIEWS, اشعة الفقرات العنقية 4 أوضـاع,175,165,FLAT RATE
2355.0,8121016,RADIOLOGY,X-RAY,CHEST - 1 VIEW, اشعة الصـدر وضـع واحـد,175,165,FLAT RATE
2356.0,8121017,RADIOLOGY,X-RAY,CHEST - 2 VIEWS, أشعة الصـدر وضعيـن,175,165,FLAT RATE
2357.0,8121018,RADIOLOGY,X-RAY,CHEST - 3 VIEWS, اشعة الصـدر 3 أوضــاع,175,165,FLAT RATE
2358.0,8121019,RADIOLOGY,X-RAY,CLAVICLE - 2 VIEWS, أشعة الترقـوة وضعيـن,175,165,FLAT RATE
2361.0,8121022,RADIOLOGY,X-RAY,DORSAL SPINE/THORACIC SPINE - 2 VIEWS, اشعة الفقرات الظهرية وضعين,175,165,FLAT RATE
2362.0,8121023,RADIOLOGY,X-RAY,DORSAL SPINE/THORACIC SPINE 4 VIEWS, اشعة لفقرات الظهر اربع وضعيات,175,165,FLAT RATE
2363.0,8121024,RADIOLOGY,X-RAY,ELBOW - 2 VIEWS, اشعة المرفـق / وضعيـن,175,165,FLAT RATE
2364.0,8121025,RADIOLOGY,X-RAY,ELBOW - 3 VIEWS, اشعـة المرفـق / 3 أوضــاع,175,165,FLAT RATE
2365.0,8121026,RADIOLOGY,X-RAY,FEMUR/THIGH - 2 VIEWS, أشعة الفخذ / عظم الفخذ / وضعين,175,165,FLAT RATE
2366.0,8121027,RADIOLOGY,X-RAY,FEMUR/THIGH - 3 VIEWS, اشعة الفخذ / عظم الفخذ / 3 أوضـاع,175,165,FLAT RATE
2367.0,8121028,RADIOLOGY,X-RAY,FINGER/THUMB - 2 VIEWS, اشعة اصابع الإبهام / اليد / القدم / وضعيـن,175,165,FLAT RATE
2371.0,8121032,RADIOLOGY,X-RAY,FOOT - 2 VIEWS, اشعة القدم وضعيـن,175,165,FLAT RATE
2372.0,8121033,RADIOLOGY,X-RAY,FOOT - 3 TO 4 VIEWS, اشعة القدم / 3 - 4 أوضـاع,175,165,FLAT RATE
2373.0,8121034,RADIOLOGY,X-RAY,FOREARM (ULNA/RADIUS) 1 VIEW, أشعة الذراع الزنـد و الكعبره وضع واحد,175,165,FLAT RATE
2376.0,8121037,RADIOLOGY,X-RAY,HAND - 2 VIEWS, اشعة الـيـد كاملـة - وضعيـن,175,165,FLAT RATE
2377.0,8121038,RADIOLOGY,X-RAY,HAND - 3 VIEWS, اشعة اليـد كاملـة - 3 أوضـاع,175,165,FLAT RATE
2378.0,8121039,RADIOLOGY,X-RAY,HAND - 4 VIEWS, أشعة اليـد كاملـة - 4 أوضـاع,175,165,FLAT RATE
2379.0,8121040,RADIOLOGY,X-RAY,HEEL (CALCANEUM) - 1 VIEW, أشعة لكعب القدم / وضع واحد,175,165,FLAT RATE
2380.0,8121041,RADIOLOGY,X-RAY,HEEL (CALCANEUM) - 2 VIEWS, اشعة كعب القدم / وضعين,175,165,FLAT RATE
2381.0,8121042,RADIOLOGY,X-RAY,HIP - 1 VIEW, اشعة الـورك  - وضـع واحـد,175,165,FLAT RATE
2382.0,8121043,RADIOLOGY,X-RAY,HIP - 2 VIEWS, أشعة الـورك - وضعيــن,175,165,FLAT RATE
2383.0,8121044,RADIOLOGY,X-RAY,HIP - 3 TO 4 VIEWS, أشعة الـورك - 3 أوضاع,175,165,FLAT RATE
2384.0,8121045,RADIOLOGY,X-RAY,HUMERUS UPPER ARM - 2 VIEWS, أشعـة العضـد / الـذراع وضعيـن,175,165,FLAT RATE
2385.0,8121046,RADIOLOGY,X-RAY,HUMERUS UPPER ARM - 3 VIEWS, أشعة العضد / على الذراع 3 أوضـاع,175,165,FLAT RATE
2390.0,8121051,RADIOLOGY,X-RAY,KNEE - 2 VIEWS, أشـعة الركبـة وضعيـن,175,165,FLAT RATE
2391.0,8121052,RADIOLOGY,X-RAY,KNEE - 3 VIEWS, اشعة الركبة  3  أوضــاع,175,165,FLAT RATE
2392.0,8121053,RADIOLOGY,X-RAY,KUB/ABDOMEN - 1 VIEW, أشعة المعدة  - البطن - وضع واحـد,175,165,FLAT RATE
2393.0,8121054,RADIOLOGY,X-RAY,KUB/ABDOMEN - 2 VIEWS, اشعة المعدة - البطن - وضعيـن,175,165,FLAT RATE
2394.0,8121055,RADIOLOGY,X-RAY,LEG - 2 VIEWS, أشعة السـاق / وضعيــن,175,165,FLAT RATE
2395.0,8121056,RADIOLOGY,X-RAY,LEG - 3 VIEWS, اشعة السـاق / 3 أوضــاع,175,165,FLAT RATE
2396.0,8121057,RADIOLOGY,X-RAY,LUMBAR/LUMBO SACRAL SPINE - 2 VIEWS, اشعة العمود الفقري القطني / القطني العجزي وضعين ,175,165,FLAT RATE
2397.0,8121058,RADIOLOGY,X-RAY,LUMBAR/LUMBO SACRAL SPINE - 4 VIEWS, أشعة العمود الفقري القطني العجزي 4 اوضاع,175,165,FLAT RATE
2401.0,8121062,RADIOLOGY,X-RAY,MANDIBLE/JAW - 1 VIEW, أشعة الفك - وضع واحد السفلي و العلوي,175,165,FLAT RATE
2402.0,8121063,RADIOLOGY,X-RAY,MANDIBLE/JAW - 2 VIEWS, اشعة الفك - وضعين السفلي و العلوي,175,165,FLAT RATE
2403.0,8121064,RADIOLOGY,X-RAY,MANDIBLE/JAW - 3 VIEWS, أشعة الفك - 3 أوضاع السفلي و العلوي,175,165,FLAT RATE
2404.0,8121065,RADIOLOGY,X-RAY,MASTOIDS - 2 VIEWS, أشعة لعظم الخشائي - وضعين,175,165,FLAT RATE
2405.0,8121066,RADIOLOGY,X-RAY,MASTOIDS - 3 VIEWS, اشعة للعظم الخشائي - 3 اوضــاع,175,165,FLAT RATE
2406.0,8121067,RADIOLOGY,X-RAY,MASTOIDS - 4 VIEWS, أشعة للعظم الخشائي  - 4 أوضــاع,175,165,FLAT RATE
2409.0,8121070,RADIOLOGY,X-RAY,NASAL BONES/SINUSES - 1 VIEW, أشعة الأنف / الجيوب الأنفية وضع واحد,175,165,FLAT RATE
2410.0,8121071,RADIOLOGY,X-RAY,NASAL BONES/SINUSES - 2 VIEWS, اشعة الأنف / الجيوب الأنفية وضعين,175,165,FLAT RATE
2411.0,8121072,RADIOLOGY,X-RAY,NASAL BONES/SINUSES - 4 VIEWS, أشعة الأنف / الجيوب الأنفية 4 أوضـاع,175,165,FLAT RATE
2412.0,8121073,RADIOLOGY,X-RAY,NECK - 1 VIEW, اشعة الرقبة / وضع واحــد,175,165,FLAT RATE
2413.0,8121074,RADIOLOGY,X-RAY,NECK - 2 VIEWS, أشعة الرقبة / وضعين,175,165,FLAT RATE
2415.0,8121076,RADIOLOGY,X-RAY,ORBIT - 2 VIEWS, أشعة حجاج العين - وضعين,175,165,FLAT RATE
2416.0,8121077,RADIOLOGY,X-RAY,ORBIT - 4 VIEWS, أشعة حجاج العين - 4 أوضاع,175,165,FLAT RATE
2417.0,8121078,RADIOLOGY,X-RAY,PATTELA - 1 VIEW, صورة واحدة لعظمة الرضفة ( في الركبة ) وضع واحد,175,165,FLAT RATE
2418.0,8121079,RADIOLOGY,X-RAY,PELVIS - 1 VIEW, أشعة الحوض وضع واحـد,175,165,FLAT RATE
2419.0,8121080,RADIOLOGY,X-RAY,PELVIS - 2 VIEWS, أشعة الحوض وضعيــن,175,165,FLAT RATE
2429.0,8121090,RADIOLOGY,X-RAY,POSTIRIOR NASAL SPACE/FACIAL (NASOPHARYNX), اشعة الوجه/ تجويف عظمة الأنف,175,165,FLAT RATE
2433.0,8121094,RADIOLOGY,X-RAY,RIBS - 1 VIEW, أشعة الاضلاع وضع واحد,175,165,FLAT RATE
2434.0,8121095,RADIOLOGY,X-RAY,RIBS - 2 VIEWS, أشعة الاضــلاع وضعيـن,175,165,FLAT RATE
2435.0,8121096,RADIOLOGY,X-RAY,SACRO ILIAC JOINT - 2VIEWS, أشعة للمفصل الحرقفي العجزي وضعين,175,165,FLAT RATE
2436.0,8121097,RADIOLOGY,X-RAY,SACRUM - 2 VIEWS,  اشـعـة الـعـجـز وضعيــن,175,165,FLAT RATE
2437.0,8121098,RADIOLOGY,X-RAY,SCAPHOID - 1 VIEW, تصوير العظم الزورقي / وضع واحـد,175,165,FLAT RATE
2438.0,8121099,RADIOLOGY,X-RAY,SCAPHOID SERIES, اشعة العظمة الزورقية اربع وضعيات,175,165,FLAT RATE
2439.0,8121100,RADIOLOGY,X-RAY,SHOULDER/SCAPULA - 1 VIEW, أشعة الكتف / عظمة الكتف وضع واحد,175,165,FLAT RATE
2440.0,8121101,RADIOLOGY,X-RAY,SHOULDER/SCAPULA - 2 VIEWS, أشعة الكتف / عظمة لوح الكتف وضعين,175,165,FLAT RATE
2441.0,8121102,RADIOLOGY,X-RAY,SHOULDER/SCAPULA - 3 VIEWS, اشعة الكتف / عظمة لوح الكتف 3 أوضاع,175,165,FLAT RATE
2446.0,8121107,RADIOLOGY,X-RAY,SKULL - 1 VIEW, اشعة الجمجمة وضع واحــد,175,165,FLAT RATE
2447.0,8121108,RADIOLOGY,X-RAY,SKULL - 2 VIEWS, أشعة الجمجمة وضعين,175,165,FLAT RATE
2448.0,8121109,RADIOLOGY,X-RAY,SKULL - 3 VIEWS, اشعة الجمجمة ثلاث أوضاع,175,165,FLAT RATE
2449.0,8121110,RADIOLOGY,X-RAY,SKULL - 4 VIEWS, أشعة الجمجمة أربع أوضاع,175,165,FLAT RATE
2451.0,8121112,RADIOLOGY,X-RAY,STERNUM - 2 VIEWS, اشعـة القـص / وضعيـن,175,165,FLAT RATE
2452.0,8121113,RADIOLOGY,X-RAY,SUBMANDIBULAR GLAND - 1 VIEW, أشعة الغدة تحت الفك / وضع واحد,175,165,FLAT RATE
2453.0,8121114,RADIOLOGY,X-RAY,SUBMANDIBULAR GLAND - 3 VIEWS, أشعة الغدة تحت الفك / ثلاث أوضاع,175,165,FLAT RATE
2456.0,8121117,RADIOLOGY,X-RAY,TEMPMANDIBULAR JOINT IMAGE - 2 VIEWS, أشعة المفصل الفكي الصدغي / وضعين,175,165,FLAT RATE
2457.0,8121118,RADIOLOGY,X-RAY,UNILATERAL LOWER EXTERIMETIES , اشعة للاطراف السفلية (طرف واحد) ,175,165,FLAT RATE
2458.0,8121119,RADIOLOGY,X-RAY,UNILATERAL UPPER EXTERIMETIES , اشعة للاطراف العلوية (طرف واحد) ,175,165,FLAT RATE
2460.0,8121121,RADIOLOGY,X-RAY,WRIST - 2 VIEWS, اشعـة الرسـغ / وضعيـن,175,165,FLAT RATE
2461.0,8121122,RADIOLOGY,X-RAY,WRIST - 4 VIEWS, اشـعـة الرسـغ / 4 أوضــاع,175,165,FLAT RATE
2462.0,8121123,RADIOLOGY,X-RAY,ZYGOMATIC ARCHS - 2 VIEWS, اشعة عظمة الخـد وضعيـن,175,165,FLAT RATE
2464.0,8122001,RADIOLOGY,ULTRASOUND,ULTRASOUND ONE ORGAN, أشعة الموجات فوق الصوتية لعضو واحد,325,300,FLAT RATE
2466.0,8122003,RADIOLOGY,ULTRASOUND,ANTENATAL SCAN, أشعة الموجات فوق الصوتية قبل الولادة ( الفحص الأول ),325,300,FLAT RATE
2470.0,8122007,RADIOLOGY,ULTRASOUND,TRANSRECTAL ULTRASOUND OF PROSTATE / SEMINAL VESCICLES, أشعة تلفزيزنية عن طريق فتحة الشرج للبروستات والحويصلات المنوية,325,300,FLAT RATE
2472.0,8122009,RADIOLOGY,ULTRASOUND,TRANSVAGINAL ULTRASOUND, فحص بالموجات الصوتية عن طريق المهبل,325,300,FLAT RATE
2473.0,8122010,RADIOLOGY,ULTRASOUND,ULTRASOUND ABDOMEN , أشعـة تليفـزيونيـة للبطن  ,325,300,FLAT RATE
2474.0,8122011,RADIOLOGY,ULTRASOUND,ULTRASOUND PELVIS, اشعة تليفزيونيـة للحوض,325,300,FLAT RATE
2476.0,8122013,RADIOLOGY,ULTRASOUND,ULTRASOUND BRAIN, أشعـة تليفـزيونيـة للـدمــاغ,325,300,FLAT RATE
2477.0,8122014,RADIOLOGY,ULTRASOUND,ULTRASOUND CHEST , أشعـة تليفـزيونيـة للـصــدر,325,300,FLAT RATE
2478.0,8122015,RADIOLOGY,ULTRASOUND,ULTRASOUND GALL BLADDER , أشعة تلفزيونية للمرارة,325,300,FLAT RATE
2479.0,8122016,RADIOLOGY,ULTRASOUND,ULTRASOUND HIP , أشعـة تليفـزيونيـة لمفصل الحوض,325,300,FLAT RATE
2480.0,8122017,RADIOLOGY,ULTRASOUND,ULTRASOUND KIDNEY, أشعة تلفزيونية للكلى,325,300,FLAT RATE
2481.0,8122018,RADIOLOGY,ULTRASOUND,Ultrasound KUB , أشعـة تليفـزيونيـة للقنوات اليولية ,325,300,FLAT RATE
2482.0,8122019,RADIOLOGY,ULTRASOUND,ULTRASOUND LIVER, أشعة تلفزيونية للكبد,325,300,FLAT RATE
2483.0,8122020,RADIOLOGY,ULTRASOUND,ULTRASOUND LYMPHHONODES , أشعـة تليفـزيونيـة للعقد اللمفاوية,325,300,FLAT RATE
2484.0,8122021,RADIOLOGY,ULTRASOUND,ULTRASOUND NECK, أشعـة تليفـزيونيـة للرقبة,325,300,FLAT RATE
2485.0,8122022,RADIOLOGY,ULTRASOUND,ULTRASOUND ONE BREAST, أشعـة تليفـزيونيـة للثدي واحد,325,300,FLAT RATE
2486.0,8122023,RADIOLOGY,ULTRASOUND,ULTRASOUND PANCREAS, أشعة تلفزيونية للبنكرياس,325,300,FLAT RATE
2487.0,8122024,RADIOLOGY,ULTRASOUND,ULTRASOUND PARATHYROID, أشعـة تليفـزيونيـة للـغــدد جـارات الــدرق,325,300,FLAT RATE
2488.0,8122025,RADIOLOGY,ULTRASOUND,ULTRASOUND PELVIS FOR FOLLICLE MONITORING, اشعة تلفزيونية للحوض لمتابعة التبويض ,325,300,FLAT RATE
2489.0,8122026,RADIOLOGY,ULTRASOUND,ULTRASOUND PROSTATE, أشعـة تليفـزيونيـة للـبـروسـتـات,325,300,FLAT RATE
2490.0,8122027,RADIOLOGY,ULTRASOUND,ULTRASOUND RETRO PERITONEUM, أشعـة تليفـزيونيـة لخـلـف الـصـفـاق,325,300,FLAT RATE
2491.0,8122028,RADIOLOGY,ULTRASOUND,ULTRASOUND SHOULDER , أشعـة تليفـزيونيـة للكتف,325,300,FLAT RATE
2492.0,8122029,RADIOLOGY,ULTRASOUND,ULTRASOUND SPLEEN, أشعة تلفزيونية للطحال,325,300,FLAT RATE
2493.0,8122030,RADIOLOGY,ULTRASOUND,ULTRASOUND TENDON & JOINT (ONE), أشعة الموجات فوق الصوتية لوتر ومفصل (واحد),325,300,FLAT RATE
2494.0,8122031,RADIOLOGY,ULTRASOUND,ULTRASOUND TENDON & JOINT (TWO), أشعة الموجات فوق الصوتية لوتر ومفصل (اثنين),325,300,FLAT RATE
2495.0,8122032,RADIOLOGY,ULTRASOUND,ULTRASOUND TESTES , أشعة تلفزيونية للخصية,325,300,FLAT RATE
2496.0,8122033,RADIOLOGY,ULTRASOUND,ULTRASOUND THYROID , أشعة تلفزيونية للغدة الدرقية,325,300,FLAT RATE
2497.0,8122034,RADIOLOGY,ULTRASOUND,ULTRASOUND TWO BREAST , أشعـة تليفـزيونيـة للثديان,325,300,FLAT RATE
2498.0,8122035,RADIOLOGY,ULTRASOUND,ULTRASOUND URINARY BLADDER, أشعة تلفزيونية للمثانة,325,300,FLAT RATE
2499.0,8122036,RADIOLOGY,ULTRASOUND,ULTRASOUND UTEREUS & OVARIES , أشعة تلفزيونية للرحم والمبيض,325,300,FLAT RATE
