STANDARD SERVICE CODE,PROVIDERSERVICECODE,PROVIDER SERVICE DESCRIPTION,price 2022,EFFECTIVE DATE,DISCOUNT,Category Code,Group Code
,CAR-0024,Vvir(Permanentpacemaker),60637.5,2022-01-01,0,P,200
,CAR-0025,Valvereplacementwithoutcostofvalve,55125.0,2022-01-01,0,P,200
,CAR-0026,Dddi(Permanentpacemaker),66150.0,2022-01-01,0,P,200
,CAR-0027,Asdclosure,55125.0,2022-01-01,0,P,200
,CAR-0028,Percardiocentesis,1653.75,2022-01-01,0,P,200
,CAR-0029,Ptcatv+4stents,88200.0,2022-01-01,0,P,200
,CAR-0031,Aorticaneurysm,22050.0,2022-01-01,0,P,200
,CAR-0032,Aortobifemoralbypass(Excludingsytheticbypassgraft),44100.0,2022-01-01,0,P,200
,CAR-0033,Arterialembolectomy&Venousthumbectomy,16537.5,2022-01-01,0,P,200
,CAR-0034,Cardiaccatheterizationpeadia,9922.5,2022-01-01,0,P,200
,CAR-0035,Congenitalheart(Excludingprosthesiscost),44100.0,2022-01-01,0,P,204
,CAR-0036,Femoroposttibialbypass(Excludingsytheticbypassgraft),33075.0,2022-01-01,0,P,200
,CAR-0037,Intra-Aorticballooninsertion,6615.0,2022-01-01,0,P,200
,CAR-0038,Leftcommonilliacfemoralbypass(Excludingsytheticbypassgraft),27562.5,2022-01-01,0,P,200
,CAR-0039,Ligationofpatientductsarteriousthroughleftthoracutomy(Closeheartsurgery,33075.0,2022-01-01,0,P,200
,CAR-0040,Openlungbiopsy,7717.5,2022-01-01,0,P,200
,CAR-0041,Thaliumstresstest,2756.25,2022-01-01,0,I,200
,CAR-0042,Thoracoscopydiagnostic,11025.0,2022-01-01,0,P,200
,CAR-0043,Thoracoscopytherapeutic,16537.5,2022-01-01,0,P,200
,CAR-0044,Thoractomyevacutationofhemothorax&Suturingoflungblebs,33075.0,2022-01-01,0,P,200
,CAR-2101,Intra Cardiac Tumor Excision,71662.5,2022-01-01,0,P,200
,ENT-0001,Adenoidectomy,3307.5,2022-01-01,0,P,200
,ENT-0002,Smd,2205.0,2022-01-01,0,P,200
,ENT-0003,Excisionoflumpsfromneck&Head,3307.5,2022-01-01,0,P,200
,ENT-0004,Drainageofabscessneck,2425.5,2022-01-01,0,P,200
,ENT-0005,Upperendoscopybiopsy,3307.5,2022-01-01,0,P,200
,ENT-0006,Drainageofquinzy,2425.5,2022-01-01,0,P,200
,ENT-0007,Nasalpolypectomy,4299.75,2022-01-01,0,P,200
,ENT-0008,Directlaryngoscopywithbiopsy,5512.5,2022-01-01,0,P,200
,ENT-0009,Myringotomy&Insertofeargromets,3307.5,2022-01-01,0,P,200
,ENT-0010,Antralwashout,1984.5,2022-01-01,0,P,200
,ENT-0011,Myringotomy&Gromettubeinsertion(Bilateral),2894.0625,2022-01-01,0,P,200
,ENT-0012,Excisionofuvulaa292,3307.5,2022-01-01,0,P,200
,ENT-0013,Gromettube,551.25,2022-01-01,0,P,200
,ENT-0014,Tonsillectomywithorwithoutadenoidectomy,3969.0,2022-01-01,0,P,200
,ENT-0015,Reductionoffracturenasalbone,3307.5,2022-01-01,0,P,200
,ENT-0016,Smrsubmucusresection,6063.75,2022-01-01,0,P,200
,ENT-0017,Tracheostomy,5512.5,2022-01-01,0,P,200
,ENT-0018,Foreignbodyoesophagus,3307.5,2022-01-01,0,P,200
,ENT-0019,Nasalcautherizationforepistaxis,1653.75,2022-01-01,0,P,200
,ENT-0020,Partialinferiorturbinectomy(Unilateral/Bilateral),3307.5,2022-01-01,0,P,200
,ENT-0021,Bronchoscopy(Foreignbodyremovalfromtrachea),4410.0,2022-01-01,0,P,200
,ENT-0022,Turbinectomy,3307.5,2022-01-01,0,P,200
,ENT-0023,Simplemastoidectomy,6615.0,2022-01-01,0,P,200
,ENT-0024,Bronchoscopy,3307.5,2022-01-01,0,P,200
,ENT-0025,Intranasalantrostomy,3969.0,2022-01-01,0,P,200
,ENT-0026,Suctionclearanceears,1984.5,2022-01-01,0,P,200
,ENT-0027,Removalofforeignbodyfromtrachea,3307.5,2022-01-01,0,P,200
,ENT-0028,Removalofforeignbodyfromear,1433.25,2022-01-01,0,P,200
,ENT-0029,Auralpolypectomy,3638.25,2022-01-01,0,P,200
,ENT-0030,Cordalnoduleofbenigntumourfromthevocalcord,6615.0,2022-01-01,0,P,200
,ENT-0031,Radicalmastoidectomy,9261.0,2022-01-01,0,P,200
,ENT-0032,Septoplasty,5512.5,2022-01-01,0,P,200
,ENT-0033,Caldwell-Lucoperation,6394.5,2022-01-01,0,P,200
,ENT-0034,Turbinectomy/Unilateral,3307.5,2022-01-01,0,P,200
,ENT-0035,Oro-Antralfistula,6394.5,2022-01-01,0,P,200
,ENT-0036,Cordopexy,6063.75,2022-01-01,0,P,200
,ENT-0037,Functionalendoscopysinussurgerygrade1(F.E.S.S.),7717.5,2022-01-01,0,P,200
,ENT-0038,Operationformalignanttumourinent,15435.0,2022-01-01,0,P,200
,ENT-0039,Functionalendoscopysinussurgerygrade2(F.E.S.S.),9922.5,2022-01-01,0,P,200
,ENT-0040,Tympanoplasty,10584.0,2022-01-01,0,P,200
,ENT-0041,Functionalendoscopysinussurgerygrade3(F.E.S.S.),9922.5,2022-01-01,0,P,200
,ENT-0042,Externalfrontaloperation,10584.0,2022-01-01,0,P,200
,ENT-0043,Bilaterallinearcauteinferiorturbinate,2205.0,2022-01-01,0,P,200
,ENT-0044,Externalethmoidoperation,10584.0,2022-01-01,0,P,200
,ENT-0045,Correctionofdeviatednasalseptum,6615.0,2022-01-01,0,P,200
,ENT-0046,Stapedectomy,11686.5,2022-01-01,0,P,200
,ENT-0047,Laserassiteduveloplatoplasty(Laup),5512.5,2022-01-01,0,P,200
,ENT-0048,Operationonvocalcorde.G.Woodman,13230.0,2022-01-01,0,P,200
,ENT-0049,Microlaryngoscopywithprocedure,6615.0,2022-01-01,0,P,200
,ENT-0050,Arytenoidectomy,12733.875,2022-01-01,0,P,200
,ENT-0051,Radicalmastoidectomy+Tympanoplasty,13230.0,2022-01-01,0,P,200
,ENT-0052,Tumourofthevocalcords,9922.5,2022-01-01,0,P,200
,FMACUA0000,Acupunctureconsultation-In-Pt,110.25,2022-01-01,20,P,101
,FMACUA0002,Acupuncturetherapy,220.5,2022-01-01,20,P,216
,FMACUA0003,Triggerpointinjection,220.5,2022-01-01,20,P,216
,FMACUA0006,Hypnosis,137.8125,2022-01-01,20,P,216
,FMACUA0010,Stellateganglionblock,1323.0,2022-01-01,20,P,216
,FMACUA0011,Simpleper.Nerveinjection,1323.0,2022-01-01,20,P,216
,FMACUA0016,Acupuncturepersession,165.375,2022-01-01,20,P,216
,FMACUA0017,Acupuncturecourse10sessions,1339.5375000000001,2022-01-01,20,P,216
,FMACUA0018,Acupuncturecourse7session,1085.9625,2022-01-01,20,P,216
,FMACUA0019,Acupuncturecourse5session,771.75,2022-01-01,20,P,216
,FMACUA0020,Moxibustion/Stick,165.375,2022-01-01,20,P,216
,FMACUA0021,Cupping-Area,93.7125,2022-01-01,20,P,216
,FMACUA0022,Triggerpointstimulation,137.8125,2022-01-01,20,P,216
,FMACUA0023,Transnervestimulation,231.525,2022-01-01,20,P,216
,FMACUA0024,Sleepinducingacupunctureforinsomnia,231.525,2022-01-01,20,P,216
,FMACUA0025,Acupuncturemedel,11.025,2022-01-01,20,P,216
,FMACUA0026,Acupunctureforobescity,441.0,2022-01-01,20,P,216
,FMACUA0028,Depilationhremoval30mins,248.0625,2022-01-01,20,P,216
,FMADM-9901,Use Of Facility - Second Class,385.875,2022-01-01,20,P,130
,FMADM-9902,Use Of Facility - First Class,661.5,2022-01-01,20,P,130
,FMADM-9904,Use Of Facility - Normal Suite,1102.5,2022-01-01,20,P,130
,FMADM-9906,Use Of Facility - Icu,1212.75,2022-01-01,20,P,209
,FMADM-9907,Use Of Facility - Ccu,1323.0,2022-01-01,20,P,209
,FMADM-9908,Use Of Facility - Neonatal / Peadiatric Icu,1323.0,2022-01-01,20,P,212
,FMANAP0002,Lumbarpuncture,270.1125,2022-01-01,20,P,200
,FMANAP0003,C.P.R.1stfortheday,1339.5375000000001,2022-01-01,20,P,200
,FMANAP0004,C.P.R.2ndfortheday,810.3375000000001,2022-01-01,20,P,200
,FMANAP0005,C.P.R.3rdfortheday,540.225,2022-01-01,20,P,200
,FMANAP0006,Cardiacmonitoring/30mins,55.125,2022-01-01,20,P,200
,FMANAP0007,Pericardialtap,661.5,2022-01-01,20,P,200
,FMANAP0008,Axillaryplexus-Anesthesia,330.75,2022-01-01,20,P,200
,FMANAP0009,Brachialplexus-Anesthesia,330.75,2022-01-01,20,P,200
,FMANAP0010,Spinalanesthesia,330.75,2022-01-01,20,P,200
,FMANAP0011,Caudalanesthesia,330.75,2022-01-01,20,P,200
,FMANAP0012,Epiduralanesthesia,882.0,2022-01-01,20,P,200
,FMANAP0013,Epiduralanalgesia(Labour-Painrelief),882.0,2022-01-01,20,P,200
,FMANAP0014,Oxygen(O2)Perhour,66.15,2022-01-01,20,P,200
,FMANAP0015,Nitrousoxide(N2o/30mins),55.125,2022-01-01,20,P,200
,FMANAP0016,Enflurane(Ethrane)Percc,5.5125,2022-01-01,20,P,200
,FMANAP0017,Insertionofsub-Claviancath.,270.1125,2022-01-01,20,P,200
,FMANAP0018,Arterialline,402.4125,2022-01-01,20,P,200
,FMANAP0019,Trachialintubation,165.375,2022-01-01,20,P,200
,FMANAP0020,Artificialventilation/Hour,110.25,2022-01-01,20,P,200
,FMANAP0021,Nasogastrictubeinsertion,165.375,2022-01-01,20,P,200
,FMANAP0022,Supra-Pubiccatheterization,330.75,2022-01-01,20,P,200
,FMANAP0023,Urinecatheterinsertion,82.6875,2022-01-01,20,P,200
,FMANAP0024,Swangauzecatheter(Pulmonarycatheterization),1653.75,2022-01-01,20,P,200
,FMANAP0025,Externalcardiacpacing,2205.0,2022-01-01,20,P,200
,FMANAP0026,Bloodgasanalysis,363.825,2022-01-01,20,P,200
,FMANAP0027,Trachealsuctionprocedure-Day,66.15,2022-01-01,20,P,200
,FMANAP0028,Tracheotomycare,66.15,2022-01-01,20,P,200
,FMANAP0030,Opdassistantanaesthetist,181.9125,2022-01-01,20,P,200
,FMANAP0031,Maskg.Anaesthesia,363.825,2022-01-01,20,P,200
,FMANAP0032,Localanaesthesiaassistant/Hr,121.275,2022-01-01,20,P,200
,FMANAP0033,Halothanepercc,5.5125,2022-01-01,20,P,200
,FMANAP0034,Premedicationvisit,121.275,2022-01-01,20,P,200
,FMANAP0035,I.V.Anaesthesia,363.825,2022-01-01,20,P,200
,FMANAP0036,I.V.Regionalanaesthesia,363.825,2022-01-01,20,P,200
,FMANAP0037,Foraneinhalationpercc,16.5375,2022-01-01,20,P,200
,FMANAP0038,Pulseoximetermonitor(Oxygenmonitoring),33.075,2022-01-01,20,P,200
,FMANAP0039,Lumbarsympatheticblock,490.6125,2022-01-01,20,P,200
,FMANAP0040,Mechanicalventilation24/Hrs,733.1625,2022-01-01,20,P,200
,FMANAP0041,Examinationunderanesthesia,363.825,2022-01-01,20,P,200
,FMANAP0042,Moderateriskanesthesia,611.8875,2022-01-01,20,P,200
,FMANAP0043,Highriskanesthesia,1218.2625,2022-01-01,20,P,200
,FMANAP0045,Dinamapperhour,60.6375,2022-01-01,20,P,200
,FMANAP0046,Normocap200perhour,60.6375,2022-01-01,20,P,200
,FMANAP0047,Normocap200per30minutes,33.075,2022-01-01,20,P,200
,FMANAP0048,Epiduralinjection,60.6375,2022-01-01,20,P,200
,FMANAP0049,Cellsavermachine,611.8875,2022-01-01,20,P,200
,FMANAP0050,I.V.Sedation,181.9125,2022-01-01,20,P,200
,FMANAP0051,Capnographiiper30minutes,121.275,2022-01-01,20,P,200
,FMANAP0052,Nitrousoxide-Fulltank,551.25,2022-01-01,20,P,200
,FMANAP0053,Nitrousoxide-3/4tank,413.4375,2022-01-01,20,P,200
,FMANAP0054,Nitrousoxide-1/2tank,275.625,2022-01-01,20,P,200
,FMANAP0055,Nitrousoxide-1/4tank,137.8125,2022-01-01,20,P,200
,FMANAP0056,Bicoremonitoring/Day(Pulm.),672.525,2022-01-01,20,P,200
,FMANAP0057,Epiduralanaesthesia-Opd(Painrelief),893.0250000000001,2022-01-01,20,P,200
,FMANAP0058,Sevofuraneperml.,6.615,2022-01-01,20,P,200
,FMANAP0060,G.A.Ettanaesthesia,270.1125,2022-01-01,20,P,200
,FMANAP0061,Lmaanaesthesia,551.25,2022-01-01,20,P,200
,FMANAP9901,Operationroom,198.45000000000002,2022-01-01,20,P,200
,FMANAP9902,Anaestheticdoctor,198.45000000000002,2022-01-01,20,P,200
,FMANAP9908,Endotrachealintubation,242.55,2022-01-01,20,P,200
,FMANAP9909,Acupunchure/Session,159.8625,2022-01-01,20,P,200
,FMANAP9910,Acupuntureneedleeach,16.5375,2022-01-01,20,P,200
,FMANAP9911,Ct/Mrig.A.Charges,551.25,2022-01-01,20,P,200
,FMANAP9912,Ct/Mriundersedations,330.75,2022-01-01,20,P,200
,FMCAR-0002,E.C.G.,99.22500000000001,2022-01-01,20,I,200
,FMCAR-0003,E.C.G.Withergometry,854.4375,2022-01-01,20,I,200
,FMCAR-0004,Echocardiogram2d+Mmode,672.525,2022-01-01,20,I,200
,FMCAR-0005,Echocardiogram2d+Mmode+Doppler(Fullstudy),937.125,2022-01-01,20,I,200
,FMCAR-0006,Holtermonitor24hoursecg,672.525,2022-01-01,20,I,200
,FMCAR-0007,Treadmillexercisestresstest,672.525,2022-01-01,20,P,200
,FMCAR-0009,E.C.G.Forinpatient,121.275,2022-01-01,20,I,200
,FMCAR-0010,Venousduplex,242.55,2022-01-01,20,P,200
,FMCAR-0011,Surfacepacemaker(Non-Invasive,1824.6375,2022-01-01,20,P,200
,FMCAR-0013,Pericardiocentesis,2431.0125000000003,2022-01-01,20,P,200
,FMCAR-0014,Echom-Modeonly,347.2875,2022-01-01,20,I,200
,FMCAR-0015,Hypertensioncheck-Upi,551.25,2022-01-01,20,I,200
,FMCAR-0016,Hypertensioncheck-Upii,1157.625,2022-01-01,20,I,200
,FMCAR-0017,Permanentpacemaker,4410.0,2022-01-01,20,P,200
,FMCAR-0018,Echorepeat,496.125,2022-01-01,20,I,200
,FMCAR-0019,Echofollowup,385.875,2022-01-01,20,I,200
,FMCAR-0020,Reprogramingofpermanetpacemaker,909.5625,2022-01-01,20,P,200
,FMCAR-0021,Dobutaminestressnuclearscanning,3528.0,2022-01-01,20,P,200
,FMCAR-0022,Thalliumw/Exercise(Forcardiology),3087.0,2022-01-01,20,P,200
,FMCAR-0023,Thalliumw/Oexercise(Forcardiology),3528.0,2022-01-01,20,P,200
,FMCAR-0024,Thaliumw/Pharmacologicalstress(Cardio),1764.0,2022-01-01,20,P,200
,FMCAR-0025,Thaliumexercisestresstest(Cardio),1543.5,2022-01-01,20,P,200
,FMCAR-1000,Daycaresupervision,126.78750000000001,2022-01-01,20,P,200
,FMCAR-1002,Pacemakerfollowup-Removalofstiches,165.375,2022-01-01,20,P,200
,FMCAR-1003,Pacemakerprograming,441.0,2022-01-01,20,P,200
,FMCARS0001,Cardioversion(Dcshock),1102.5,2022-01-01,20,P,200
,FMCARS0004,Atrialpacing,1102.5,2022-01-01,20,P,200
,FMCARS0005,Permanentpacemakerimplantation(Ddd),6615.0,2022-01-01,20,P,200
,FMCARS0006,Transesophagealechocardiography(Tee),1323.0,2022-01-01,20,P,200
,FMCARS0007,Pharmacologicaltest,771.75,2022-01-01,20,P,200
,FMCARS0008,Pharmacologicalstressechocardiography,1653.75,2022-01-01,20,P,200
,FMCARS0009,Abulatorybpmonitoring,7717.5,2022-01-01,20,P,200
,FMCARS0010,Intra-Aroticballooninsertion,2205.0,2022-01-01,20,I,200
,FMCARS0011,Intra-Aorticballoonpumpuse/Day,661.5,2022-01-01,20,I,200
,FMCARS0012,Rightheartcatheterization,1653.75,2022-01-01,20,P,200
,FMCARS0013,Leftheartcatheterization,1653.75,2022-01-01,20,I,200
,FMCARS0014,Coronaryangiography,2205.0,2022-01-01,20,P,200
,FMCARS0015,Ballonvalvuloplasty,5512.5,2022-01-01,20,P,200
,FMCARS0016,P.T.C.A.(Singlevessel),3858.75,2022-01-01,20,P,200
,FMCARS0017,P.T.C.A.(Multivessel),5512.5,2022-01-01,20,P,200
,FMCARS0018,Coronarystenting,1102.5,2022-01-01,20,P,200
,FMCARS0019,Baloonatrialseptostomy,2756.25,2022-01-01,20,P,200
,FMCARS0020,Stresstranoesphagealecho,1323.0,2022-01-01,20,P,200
,FMCARS0021,Echofullstudy,882.0,2022-01-01,20,I,200
,FMCARS0022,Echocardiogramforpediatric,1598.625,2022-01-01,20,I,200
,FMCARS0023,Transoesophagalechoprosthesis(Tee2),3307.5,2022-01-01,20,P,200
,FMCAT-0001,Externalpacemakeruse/Day,220.5,2022-01-01,20,P,200
,FMCAT-0002,Temporarypacemakerleadrepo,1102.5,2022-01-01,20,P,200
,FMCAT-0003,Permanentpacemakerimplantation,11025.0,2022-01-01,20,P,200
,FMCAT-0006,Intra-Aorticballoonpumpuse,661.5,2022-01-01,20,P,200
,FMCAT-0008,Leftheartcahteterization,1653.75,2022-01-01,20,P,200
,FMCAT-0014,Ballonatrialseptostomy,2756.25,2022-01-01,20,P,200
,FMCAT-0015,Renalangiography,1664.775,2022-01-01,20,P,200
,FMCAT-0016,Peripheralangiography,1664.775,2022-01-01,20,P,200
,FMCAT-0017,Removalofforeignbodybysnare,1102.5,2022-01-01,20,P,200
,FMCAT-0018,Pericardialtapping,5512.5,2022-01-01,20,P,200
,FMCAT-0021,Catheterclosureofpda,5512.5,2022-01-01,20,P,200
,FMCAT-0022,Hemochromeactmachine,66.15,2022-01-01,20,P,200
,FMCAT-0023,Coronarystentingptcasv(1stent),8268.75,2022-01-01,20,P,200
,FMCAT-0024,Coronarystentingptcasv(2stents),9922.5,2022-01-01,20,P,200
,FMCAT-0025,Coronarystentingptcasv(3stents),11025.0,2022-01-01,20,P,200
,FMCAT-0026,Coronarystentingptcadv(1stent),9922.5,2022-01-01,20,P,200
,FMCAT-0027,Coronarystentingptcadv(2stents),11025.0,2022-01-01,20,P,200
,FMCAT-0028,Coronarystentingptcadv(3stents),13230.0,2022-01-01,20,P,200
,FMCAT-0029,Coronarystentingptcadv(4stents),15435.0,2022-01-01,20,P,200
,FMCAT-0030,Coronarystentingptcatv(1stent),13230.0,2022-01-01,20,P,200
,FMCAT-0031,Coronarystentingptcatv(2stents),14332.5,2022-01-01,20,P,200
,FMCAT-0032,Coronarystentingptcatv(3stents),16537.5,2022-01-01,20,P,200
,FMCAT-0033,Coronarystentingptcatv(4stents),18742.5,2022-01-01,20,P,200
,FMCAT-0034,Infusionpump,60.6375,2022-01-01,20,P,200
,FMCAT-0035,Dr.Alamridiagnosticscathlab,2205.0,2022-01-01,20,P,200
,FMCAT-0037,Dr.Alamritheraeuticcathlab(Multiple),4410.0,2022-01-01,20,P,200
,FMCAT-0041,Ptcadv+2drugellutingstents,17088.75,2022-01-01,20,P,200
,FMCAT-0042,Ptcasv+1drugellutingstent,9922.5,2022-01-01,20,P,200
,FMCAT-0043,Ptcasv+2drugellutingstents,14608.125,2022-01-01,20,P,200
,FMCAT-0044,Ptcasv+3drugellutingstent,19293.75,2022-01-01,20,P,200
,FMCAT-0045,Ptcadv+1drugellutingstent,11851.875,2022-01-01,20,P,200
,FMCAT-0046,Ptcadv+3drugellutingstent,20671.875,2022-01-01,20,P,200
,FMCAT-0047,Ptcatv+1drugellutingstent,13781.25,2022-01-01,20,P,200
,FMCAT-0048,Ptcatv+2drugellutingstent,17915.625,2022-01-01,20,P,200
,FMCAT-0049,Ptcatv+3drugellutingstent,22050.0,2022-01-01,20,P,200
,FMCAT-0050,Permanentpacemakerleadrepositioning,5512.5,2022-01-01,20,P,200
,FMCAT-0051,Ptcadv+2drug+1nondrugellutingstent,77175.0,2022-01-01,20,P,200
,FMCAT-0052,Coronaryangiography(Radialapproach),3031.875,2022-01-01,20,P,200
,FMCAT-0053,Diag.Coronaryangio+Bypassgrafts,4410.0,2022-01-01,20,P,200
,FMCAT-0054,Primarycoronaryangioplastysv+1des,16537.5,2022-01-01,20,P,200
,FMCAT-0055,Ptcadv+4drugelutingstants,24255.0,2022-01-01,20,P,200
,FMCAT-0056,Primaryptcasv+2d.E.S,19845.0,2022-01-01,20,P,200
,FMCAT-0057,Primrycoronoryangioplasty+4nondrugelutstent,11025.0,2022-01-01,20,P,200
,FMDER-0000,Dermatologyconsultation-In-Pt,110.25,2022-01-01,20,P,217
,FMDER-0001,Referralfromotherdoctor-Op,55.125,2022-01-01,20,P,100
,FMDER-0002,Prostaticmassage,71.66250000000001,2022-01-01,20,P,217
,FMDER-0003,Svdinjection,38.5875,2022-01-01,20,P,217
,FMDER-0004,Skinbiopsy,259.08750000000003,2022-01-01,20,P,200
,FMDER-0005,Lymphnodebiopsy,385.875,2022-01-01,20,P,217
,FMDER-0006,"Skinallergytest""Patch""",385.875,2022-01-01,20,P,200
,FMDER-0008,Chemicalcautery,66.15,2022-01-01,20,P,217
,FMDER-0009,Autovaccination,71.66250000000001,2022-01-01,20,P,217
,FMDER-0010,Testicularbiopsy,1146.6000000000001,2022-01-01,20,P,200
,FMDER-0011,Skinbiopsyforem,1278.9,2022-01-01,20,P,200
,FMDER-0012,Wood'Slightexam,71.66250000000001,2022-01-01,20,P,217
,FMDER-0013,Electro-Cautery,617.4,2022-01-01,20,P,217
,FMDER-0014,Incision&Crretage,644.9625,2022-01-01,20,P,217
,FMDER-0015,Basedcellcarcinoma,3583.125,2022-01-01,20,P,217
,FMDER-0016,Solarkeratosis,2149.875,2022-01-01,20,P,217
,FMDER-0017,Dissemsuperkeratosis,1918.3500000000001,2022-01-01,20,P,217
,FMDER-0018,Bown'Sdesease,2149.875,2022-01-01,20,P,217
,FMDER-0019,Callosities,716.625,2022-01-01,20,P,217
,FMDER-0020,Planterwart,165.375,2022-01-01,20,P,217
,FMDER-0021,Tzanksheartest,104.73750000000001,2022-01-01,20,P,217
,FMDER-0022,Photopatchtest,259.08750000000003,2022-01-01,20,P,217
,FMDER-0023,Skinpatchtest,385.875,2022-01-01,20,P,217
,FMDER-0024,Icecubetest,286.65000000000003,2022-01-01,20,P,217
,FMDER-0025,Pathologytest,259.08750000000003,2022-01-01,20,P,217
,FMDER-0026,Uretheralscrapping,126.78750000000001,2022-01-01,20,P,200
,FMDER-0027,Gonozymeswab,330.75,2022-01-01,20,P,217
,FMDER-0028,Buccalsmear,71.66250000000001,2022-01-01,20,P,217
,FMDER-0029,Lesionsmear,71.66250000000001,2022-01-01,20,P,217
,FMDER-0030,Vaposonesession,126.78750000000001,2022-01-01,20,P,217
,FMDER-0031,Dermotest,126.78750000000001,2022-01-01,20,P,217
,FMDER-0032,Puvatherapy,187.425,2022-01-01,20,P,217
,FMDER-0033,Narrowbandtherapy,143.32500000000002,2022-01-01,20,P,217
,FMDER-0034,Trichogram,330.75,2022-01-01,20,P,217
,FMDER-0035,Dermabrasionunit,1433.25,2022-01-01,20,P,217
,FMDER-0036,Skintagexcisionperunit,644.9625,2022-01-01,20,P,217
,FMDER-0037,Loc.Serofalvaricocelectomy,644.9625,2022-01-01,20,P,217
,FMDER-0038,Miliaextraction,617.4,2022-01-01,20,P,217
,FMDER-0039,Podophyllinapplication,44.1,2022-01-01,20,P,217
,FMDER-0040,Phenolapplication40,44.1,2022-01-01,20,P,217
,FMDER-0041,Intradermalinjection,82.6875,2022-01-01,20,P,200
,FMDER-0042,Electro-Cauteryper/Unit,66.15,2022-01-01,20,P,217
,FMDER-0043,Keratoliticapplication-Face,198.45000000000002,2022-01-01,20,P,217
,FMDER-0044,Keratoliticapplication-Arm,325.2375,2022-01-01,20,P,217
,FMDER-0045,Keratoliticapplication-Legs,518.1750000000001,2022-01-01,20,P,217
,FMDER-0046,Acnesurgery(Comedoneextract,325.2375,2022-01-01,20,P,217
,FMDER-0047,Ultravioletexpose,143.32500000000002,2022-01-01,20,P,217
,FMDER-0048,Zydermimplanttest,424.46250000000003,2022-01-01,20,P,217
,FMDER-0049,Collagenapplication-Acne,198.45000000000002,2022-01-01,20,P,217
,FMDER-0050,Collagenapplication-Regene-Ration,198.45000000000002,2022-01-01,20,P,217
,FMDER-0051,Herbalmaskapplication,143.32500000000002,2022-01-01,20,P,217
,FMDER-0052,Topicalapplication-Alopecialotion,82.6875,2022-01-01,20,P,217
,FMDER-0053,Topicalapplication-Vitiligolotion,82.6875,2022-01-01,20,P,217
,FMDER-0054,Alopecialotion2-100cc,1130.0625,2022-01-01,20,P,217
,FMDER-0055,Alopecialotion3-100cc,1692.3375,2022-01-01,20,P,217
,FMDER-0056,Alopecialotion5-100cc,2668.05,2022-01-01,20,P,217
,FMDER-0057,Oilofbergamot100cc,286.65000000000003,2022-01-01,20,P,217
,FMDER-0058,Infraredexposure,143.32500000000002,2022-01-01,20,P,200
,FMDER-0059,Zydermimplantinjection,1918.3500000000001,2022-01-01,20,P,217
,FMDER-0061,Samplefr.Testisebyneedle,198.45000000000002,2022-01-01,20,P,200
,FMDER-0062,Pathergy,286.65000000000003,2022-01-01,20,P,217
,FMDER-0063,Diathermycurretage,126.78750000000001,2022-01-01,20,P,217
,FMDER-0064,Uretheralirrigation,71.66250000000001,2022-01-01,20,P,200
,FMDER-0065,Hairshaft,71.66250000000001,2022-01-01,20,P,217
,FMDER-0066,Varicocele,2298.7125,2022-01-01,20,P,217
,FMDER-0067,Testicularexploration,1278.9,2022-01-01,20,P,217
,FMDER-0068,Sensitivitytest,325.2375,2022-01-01,20,P,200
,FMDER-0070,Sebaceouscystexcissionlarge,644.9625,2022-01-01,20,P,200
,FMDER-0071,Depilation-Smallarea,209.47500000000002,2022-01-01,20,P,217
