CCHI No.  1014,مستشفي السعودي الألماني - جدة,Effective: 01-Jun-2021
FMDNTP0029,ACRYLIC DENTURE UPPER/LOWER  I,service
FMDNTP0030,ACRYLIC DENTURE UPPER/LOWER II,service
FMDNTP0031,ACRYLIC DENT. UPPER/LOWER III,service
FMDNTP0032,PARTIAL DENT. ACRYLIC 1 TOOTH,service
FMDNTP0033,PARTIAL DENT. ACRYLIC 2 TEETH,service
FMDNTP0034,PARTIAL DENT. ACRYLIC 3 TEETH,service
FMDNTP0035,PARTIAL DENT. ACR. EXTRA TEETH,service
FMDNTP0036,COMPLETE DENT. VITALIUM TYPE I,service
FMDNTP0037,COMPLETEL DENT.VITAL.TYPE II,service
FMDNTP0038,COMPLETE DENT.VITAL. TYPE III,service
FMDNTP0039,UPPER/LOWER DENT.VITAL.TYPE I,service
FMDNTP0040,UPPER/LOWER DENT.VITAL.TYPE II,service
FMDNTP0041,UPPER/LOWER DENT.VIT.TYPE III,service
FMDNTP0042,VITALIUM CHROME COB. ONE TOOTH,service
FMDNTP0043,VITAL. CHROME COBALT TWO TOOTH,service
FMDNTP0044,EXTRA VITAL. TEETH,service
FMDNTP0045,VITALIUM CLASP,service
FMDNTP0046,VITALIUM BAR,service
FMDNTP0047,RELINING OF PARTIAL DENTURE,service
FMDNTP0048,RELINING OF UPPER/LOWER DENT.,service
FMDNTP0049,RELINING OF COMPLETE DENTURE,service
FMDNTP0050,REPAIR OF BROKEN PARTIAL       DENTURE,service
FMDNTP0051,REPAIR OF BROKEN DENTURE,service
FMDNTP0052,REPAIR OF CLASP,service
FMDNTP0053,REPAIR OF CASTING CLASP,service
FMDNTP0060,SPLINT - ACRYLIC I,service
FMDNTP0061,SPLINT ACYLIC II,service
FMDNTP0062,SPLINT ACYLIC III,service
FMDNTP0063,ONE SURFACE CERAMIC FILLING,service
FMDNTP0064,TWO SURFACES CERAMIC FILLING,service
FMDNTP0065,THREE SURFACES CERAMIC FILLING,service
FMDNTP0066,VENER FACE CERAMIC,service
FMDNTP0067,VENER CEREC FILLING,service
FMDNTP0068,STUDY MODEL,service
FMDNTP0069,VEENER FACE CERAMIC,service
FMDNTP0070,VENEER CEREC FILLING,service
FMDNTM0001,SCALING,service
FMDNTM0002,POLISHING,service
FMDNTM0003,SCALING AND POLISHING,service
FMDNTM0004,GUM TREATMENT QUAD. (MILD),service
FMDNTM0005,GUM TREATMENT QUAD. (MODERATE),service
FMDNTM0006,GUM TREATMENT QUAD. (SEVERE),service
FMDNTM0007,ROOT PLANNING CURRETAGE QUAD.,service
FMDNTM0013,LOC.TREAT.OF ORAL LESION SMALL,service
FMDNTM0014,LOCAL TREAT. ORAL LESION MED.,service
FMDNTM0015,LOCAL TREAT. ORAL LESION LARGE,service
FMDNTM0016,OCCLUSSAL ADJUSTMENT,service
FMDNTM0017,SMOOTHING OF SHARP EDGE,service
FMDNTR0001,ROOT CANAL TREATMENT 1RC,service
FMDNTR0002,ROOT CANAL TREATMENT 2RC,service
FMDNTR0003,ROOT CANAL TREATMENT 3RC OR    MORE,service
FMDNTR0004,ROOT CANAL TREATMENT INFECTED  TOOTH 1RC,service
FMDNTR0005,ROOT CANAL TREATMENT INFECTED  TOOTH 2RC,service
FMDNTR0006,ROOT CANAL TREATMENT INFECTED  TOOTH 3RC OR MORE,service
FMDNTR0007,RCT AND FILLING ONE RC,service
FMDNTR0008,RCT AND FILLING TWO RC,service
FMDNTR0009,RCT AND FILLING THREE RC,service
FMDNTR0010,RCT DECIDIOUS MOLAR,service
FMDNTR0011,RCT DECIDIOUS TEETH,service
FMDNTR0012,PULPOTOMY (CHILDREN),service
FMDNTR0013,READY MADE POST,service
FMPDT-0164,ADD'L FEE FOR COM.OR OVER 3HRS,service
FMPSDJ0018,ADD'L FEE FOR COM.OR OVER 3HRS,service
FMENTP0003,ADENOIDECTOMY,service
ENT-0001,Adenoidectomy,PKG
FMDNTP0056,SPACE MAINTAINER,service
FMDNTP0057,NIGHT GAURD,service
FMDNTP0058,MOUTH GAURD,service
FMDNTS0004,SIMPLE EXT.DECIDIOUS,service
FMDNTS0005,SIMPLE EXT. PERMANENT TEETH,service
FMDNTS0006,SIMPLE EXT. PRE OR POST MOLAR,service
FMINTR0014,ADULT ABG EXTRACTION,service
FMPTD-0123,ADULT ABG EXTRACTION,service
FMDNTS0020,INCISION FOR ERUPTING TOOTH,service
FMDNTS0021,OPERCULECTOMY,service
FMDNTS0022,"I & D OF INTRA-ORAL ABSCESS    ""SUPERFACIAL""",service
FMDNTS0122,DRESSING OF WOUND (SMALL),service
FMDNTS0125,STITCHES REMOVAL (SMALL),service
FMDNTS0126,STITCHES REMOVAL (MEDIUM),service
FMDNTS0127,STITCHES REMOVAL (LARGE),service
FMDNTX0001,PERIAFICAL X-RAY,service
FMDNTX0002,BITEWING X-RAY,service
FMDNTX0003,OCCLUSAL X-RAY,service
FMDNTX0004,PEDIATRIC X-RAY,service
FMDNTX0005,PANORAMIC X-RAY,service
FMDNTX0006,ADDITIONAL X-RAY,service
FMDNTX0007,PANORAMIC & CEPHALOMETRIC,service
FMDNTS0075,BIOPSY OF SOFT TISSUE - SMALL,service
FMDNTS0076,BIOPSY OF SOFT TISSUE - MEDIUM,service
FMDNTS0077,BIOPSY OF SOFT TISSUE - LARGE,service
FMDNTS0078,BIOPSY OF BONE (SUPERFACIAL),service
FMDNTS0079,BIOPSY OF BONE (MODERATE),service
FMDNTS0080,BIOPSY OF BONE (DEEP),service
FMDNTS0091,STICHES FOR SUPERFICIAL WOUND,service
FMDNTS0092,STICHES  FOR DEEP WOUND,service
FMDNTS0024,I & D EXTRA ORAL ABCESS,service
FMDNTS0025,I&D INTRA ORAL ABCESS CHILDREN,service
FMDNTS0026,IRRIGATION OR CHANGE DRAIN OF  ABCESS/SOCKET,service
FMDNTS0225,I.D.F.,service
FMDNTS0226,I.D.F. + CORE,service
FMDNTS0227,I.D.F. WITH H.A. FILLER (SMALL CAVITY),service
FMDNTS0228,I.D.F. W/ H.A. FILLER(MODERATE CAVITY),service
FMDNTS0229,I.D.F. WITH H.A. FILLER (LARGE CAVITY),service
FMDNTS0230,REMOVAL OF I.D.F.,service
FMDNTS0231,H.A. GRANULES FILLER IN SMALL  CAVITY,service
FMDNTS0232,H.A. GRANULESS FILLER IN LARGE CAVITY,service
FMDNTP0071,BLEACHING TEETH,service
FMDNTP0072,ORAL MUCOSAL LESIONS,service
FMDNTP0073,FISSURE SEALENT TEETH,service
FMDNTS0015,"IMPACTED 3RD MOLAR ""MOD. CASE""",service
FMDNTS0016,"IMPACTED 3RD MOLAR ""SEVERE CASE""",service
FMDNTS0013,S.TISSUE IMPAC LOWER 3RD MOLAR,service
FMDNTM0008,GINGIVECTOMY ORGINGIVOPLASTY/QUADRANT,service
FMDNTM0009,REVERSE BEVEL GINGIVECTOMY/QUADRANT,service
FMDNTS0014,IMPACTED 3RD MOLAR (Middle Case),service
FMDNTM0010,SLIDING FLAP OPERATION 1/4 JAW,service
FMDNTM0012,RECONST OF PERIODONTAL BONE DEFECT QUADRANT,service
FMENTN006,ALLERGY PRICK TEST,service
FMDNTP0074,SINGLE PORCELAIN TOOTH,service
FMDNT-2000,ADDITIONAL FEE FOR COMPLICATEDOPERATIONS G.A.,service
FMDNT-0079,BIOPSY OF BONE (MEDIUM),service
FMDNTK0001,"PKG.GRP. A CONSULT.EVERY 6 MOSFULL MOUTH XRY,PROPHYL EV.6MOS",service
FMDNTK0002,"PKG.GRP B CONSUL;T 6 MOS.FULL XRY,PROPH,6 MO,AMALG. 2 TEETH",service
FMDNTK0003,"PKG.GRP C CONSULT 6 MOS. FULL XRY,PROPH 6 MOS.,AMG. + RT.C",service
FMDNTK0004,"PKG GRP D CONSULT. 6MOS, FULL XRY,PROPH.,6MO AMAL.,2RT.C 1CO",service
FMDNTK0005,"PKG.GRP E CONSULT 6 MOS FULL  XRY,PROPH.,6M CAR,RT.CAN,4FILL",service
FMDNTK0006,"PKG.CHLDR.CONS.6 MOS, XRY,PROP6M, APPLIED PROTECT FLOUR",service
FMDNTK0007,"PKG GROUP B,CHILDR.CONS. 6MOS.XRY,PROPHYL,6M, FLOUR.AML.FIL",service
FMDNTK0008,"PKG.GRP. C-CHILDREN CONSLT. 6MXRY,PROPHYL,FILL+ROOT 2T,FLUOR",service
FMDNTK0009,"PKG GRP D-CHILDREN CONSLT 6M  XRY,PROPH 6M,FL.,4HR+RT,T CRWN",service
FMDNTK0010,"PKG GRP E-CHILDREN CONSLT 6M  XRY,PROPHY 6M,FL.,ALL TEHT+CR",service
FMDNTM0011,SLIDING FLAP OPERATION 1/2 JAW,service
FMDNTS0002,ADDL FEE FOR COMPL. OP. -LA,service
FMDNTS0003,ADD'L FEE FOR COMPL. OP. - GA,service
FMDNTP0055,LATERAL TRAINING FLANGE,service
FMDNL-0051,APPLIANCE,service
FMDNTO0002,GRADE I MALOCCL. 1ST DEPOTSIT,service
FMDNL-0057,APPLIANCE,service
FMDNTO0004,GRADE I MALOCCL. 3RD DEPOSIT,service
FMDNTO0005,GRADE II MALOCCL. TOTAL REM.  STAGE I,service
FMDNTO0044,APPOINTMENT CANCELL.W/O NOTICE,service
FMODT-0044,APPOINTMENT CANCELL.W/O NOTICE,service
FMDNTO0009,GRADE III MALOCCL. TOTAL,service
ORT-0070,Arthroplasties,PKG
FMDER-0097,B.H. ELECTRO - CAUTERY,service
FMDNTO0013,GRADE IV MALOCCL. TOTAL,service
FMDNTO0036,BITE PLANE,service
FMODT-0036,BITE PLANE,service
FMPDT-0041,BONE MARROW ASPIRATION,service
FMDNTO0017,GRADE V MALOCCL. TOTAL,service
MTSUR-0078,BONE MARROW ASPIRATION,service
FMDNTO0039,"BRACKET, BAND OR ARCH WIRE",service
FMODT-0039,"BRACKET, BAND OR ARCH WIRE",service
FMDNTO0021,GRADE VI MALOCCL. TOTAL,service
ENT-0023,Bronchoscopy,PKG
FMENDA0001,BRONCHOSCOPY,service
FMERDA0009,BURN DRESSING 10 - 20%,service
FMDNTO0025,GRADE VII MALOCCL TOTAL,service
FMPSDH0006,BURN DRESSING 10 - 20%,service
FMERDA0010,BURN DRESSING 20 - 30%,service
FMPSDH0005,BURN DRESSING 20 - 30%,service
FMDNTO0029,CLICKING TMJ [FJO],service
FMDNTO0030,RETAINER UPPER OR LOWER,service
FMERDA0011,BURN DRESSING 5 - 10%,service
FMPSDH0007,BURN DRESSING 5 - 10%,service
FMNEU-9000,C.P. PROGRAM - 2 SESSION (P.D),service
FMDNTO0034,SPACE MAINTAINER SIMPLE,service
FMORT-9000,C.P. PROGRAM - 2 SESSION (P.D),service
FMPDT-9000,C.P. PROGRAM - 2 SESSION (P.D),service
FMDNTS0041,CALDWELL-LUC OPERATION,service
FMENTS0009,CALDWELL-LUC OPERATION,service
FMDNTS0017,IMPAC.CANINE/PREMOLAR LABIALY,service
FMDNTS0018,IMPAC.CANINE/PREMOLAR PALATALY,service
FMDNTS0019,IMPAC. CANINE LABIO - PALATALY,service
FMDNTS0023,"I & D INTRA-ORAL ABSCESS""DEEP""",service
FMENTN2014,CAUTERY - SUBMUCOSAL DIATHERMY,service
FMDNTO0043,CEPHALOMETRIC COMPUTER ANALYS.,service
FMODT-0043,CEPHALOMETRIC COMPUTER ANALYS.,service
FMENTM0030,CHILDHOOD AUTISM RATING SCALE (CARS),service
FMPSYB0044,CHILDHOOD AUTISM RATING SCALE (CARS),service
MTSPD-0030,CIRCUMCISION UNDER G.A.,service
FMDNTS0033,APICECTOMY POSTERIOR,service
FMDNTS0034,APICECTOMY & RETROGRADE       FILLING (ANTERIOR),service
FMDNTS0035,APICECTOMY &RETROGRADE FILLING(POSTERIOR),service
FMDNTS0036,PLASTIC CLOSURE OF CHRONIC    SKIN  FISTULA,service
FMDNTS0037,CLOSURE OF ACCIDENTAL OPENING OF MAX. SINUS (SMALL),service
FMDNTS0038,CLOSURE OF ACCIDENTAL OPENING OF MAXILLARY SINUS (MODERATE),service
FMDNTS0039,CLOSURE OF ACCIDENTAL OPENING OF MAX. SINUS (LARGE),service
FMDNTS0040,CLOSURE OF CHRONIC  ORO-ANTRALFISTULA,service
FMPDS-0029,CLOSURE OF COLOSTOMY,service
FMDNTS0042,ALVEOLOPLASTY LOCALIZED,service
FMDNTS0043,ALVEOLOPLASTY 1/2 JAW,service
FMDNTS0044,ALVEOLOPLASTY ONE JAW,service
FMDNTS0045,MAX. TUBEROSITY REDUCTION SOFTTISSUE,service
FMDNTS0046,MAX.TUBEROSITY REDUCTION(BONY),service
FMDNTS0047,REMOVAL OF FLABBY TISSUE ONE  JAW,service
FMDNTS0048,REMOVAL OF LOCAL FLABBY TISSUE,service
FMDNTS0049,LABIAL FRENECTOMY,service
FMDNTS0050,LINGUAL FRENECTOMY(TONGUE TIE),service
FMDNTS0051,REMOVAL OF DENTURE FISSURATUM SMALL,service
FMDNTS0052,REMOVAL OF DENTURE FISSURATUM LARGE,service
FMDNTS0053,REMOVAL OF TORES PALATINUS SML,service
FMDNTS0054,REMOV. OF TORES PALATINUS LRGE,service
FMDNTS0055,REMOV. OF MANDIBULAR TOR.SMLL.,service
FMDNTS0056,REMOV. OF MADIBULAR  TOR. LRGE,service
FMDNTS0057,VESTIBULOPLASTY HALF JAW,service
FMDNTS0058,VESTIBULOPLASTY ONE JAW,service
FMDNTS0059,DEEPNING OF SULCUS,service
FMDNTS0060,RIDGE AUGEMENTATION,service
FMDNTS0061,REMOVAL OF SAL. CALCULAI ANT. I/O,service
FMDNTS0062,REMOVAL OF SAL. CALCULAI MID. I/O,service
FMDNTS0063,REM. OF SAL. CALCULAI POST I/O,service
FMDNTS0064,ENUCLEATION OF MUCOCEL  SMALL,service
FMDNTS0065,ENUCLEATION OF MUCOCEL LARGE,service
FMDNTS0066,MARSUPIALIZATION OF RANULA SML,service
FMDNTS0067,MURSUPILALIZATION OF RANULA   LARGE,service
FMDNTS0068,REMOVAL OF SUB MANDIBULAR     SALIVARY GLAND,service
FMDNTS0069,SUPERFACIAL PAROTIDACTOMY,service
FMDNTS0070,MANIPULATION OF DISLOCATED TMJ,service
FMDNTS0071,"MANIPULATION OF LUXATED TMJ,PD",service
FMDNTS0072,"PAIN AND CLICKING  TMJ, P.D.",service
FMDNTS0073,"MYOFACIAL PAIN DISFUNCTION    SYDROME, P. D.",service
FMDNTS0074,"FACIAL PAIN, P. D.",service
FMDNTS0128,EXCISION OF TONGUE (LOCALIZED),service
FMDNTS0129,EXCISION OF TONGUE (PARTIAL),service
FMDNTS0130,HEMIGLOSSECTOMY,service
FMDNTS0131,TOTAL GLOSSECTOMY,service
FMDNTS0132,SCAR CORRECTION (SMALL),service
FMDNTS0133,SCAR CORRECTION (MODERATE),service
FMDNTS0134,SCAR CORRECTION (LARGE),service
FMDNTS0135,EXCISION OF LARGE KELOID FACE,service
FMDNTS0136,ROTATION FLAP (SMALL),service
FMDNTS0137,ROTATION FLAP (MODERATE),service
FMDNTS0138,ROTATION FLAP (LARGE),service
FMDNTS0139,TRANSPOSITION FLAP (SMALL),service
FMDNTS0140,TRANSPOSITION FLAP (MODERATE),service
FMDNTS0141,TRANSPOSITION FLAP (LARGE),service
FMDNTS0142,CLEFT LIP UNILATERAL INCOMPLET,service
FMDNTS0143,CLEFT LIP UNILATERAL COMPLETE,service
FMDNTS0144,CLEFT LIP BILATERAL INCOMPLETE,service
FMDNTS0145,CLEFT LIP BILATERAL COMPLETE,service
FMDNTS0146,REPAIR OF 2ND CLEFT LIP,service
FMDNTS0147,CLEFT UVULES,service
FMDNTS0148,CLEFT PALATE  ISOLATED,service
FMDNTS0149,CLEFT PALATE (SOFT & HARD),service
FMDNTS0150,REPAIR SECONDARY CLEFT PALATE,service
FMDNTS0151,PHARYNGOPLASTY,service
SUR-0024,Closure of Colostomy,PKG
FMDNTS0153,PARTIAL RHINOPLASTY,service
FMNSCA0005,COLCHICINE INJECTION COURSE,service
FMDNTS0155,REVISION OF SEPTOPLASTY,service
FMORT-0723,COLCHICINE INJECTION COURSE,service
FMDNTS0157,REVISION OF RHINOSEPTOPLASTY,service
FMDNTS0158,COMPLETE RHINOPLASTY,service
FMDNTS0159,NASAL BONE DEFORMITY,service
FMDNTS0160,SURGERY MODEL,service
