Departemnt,code,Discription,Price,SBS
CSS,MM01223SFDAA0002,SINOMARIN ADULT NS 125 ML,47,99999
CSS,MM01223SFDAA0003,SINOMARIN ENT NS 200 ML,60,99999
CSS,MM01223SFDAA0004,SINOMARIN BABIES SDU 5 ML -18'S,53,99999
CSS,MM01577SFDAA0001,RENEHAVIS 22.4 MG PFS 1'S,2300,99999
CSS,MM01705SFDAA0001,DUROLANE 60 MG PFS 1'S,2500,99999
CSS,MM01758SFDAA0001,EVA/QU SUP 6'S,58,99999
CSS,MM01894SFDAA0007,MEDIHONEY TUBE 20 G,60,99999
CSS,MM01894SFDAA0008,MEDIHONEY 10X10 CM DRES,66,99999
CSS,MM01996SFDAA0018,NEBULIZER EOLO FLO 220V,370,99999
CSS,MM02138SFDAA0002,FLAMINAL HYDRO GEL 30 G,80,99999
CSS,MM02138SFDAA0003,FLAMINAL FORTE GEL 30 G,80,99999
CSS,MM02246SFDAA0001,HYALUBRIX 60MG/4ML INJ,1942.5,99999
CSS,MM03028SFDAA0001,ARTELAC ADVANCED 0.2% ED SDU 30'S,69,99999
CSS,MM03073SFDAA0002,HYLO-GEL ED 10 ML,69,99999
CSS,MM03073SFDAA0004,HYLO-DUAL ED 10 ML,75.7,99999
CSS,MM03239SFDAA0001,THEALOZ DUO ED 10 ML,69,99999
CSS,MM03239SFDAA0002,HYABAK 0.15% ED 10 ML,59,99999
CSS,MM03248SFDAA0002,BURN FREE (5*15CM) STERILE DRESSING PK 3'S,186,99999
CSS,MM03430SFDAA0014,UNODROPS-HY ED 10 ML,68.25,99999
CSS,MM03552SFDAA0001,DEEP FREEZE SPRAY 150 ML,52,99999
CSS,MM03697SFDAA0001,SUPLASYN 60 MG PFS 1'S,2300,99999
CSS,MM03865SFDAA0001,LUBRIMAX TEARS MINIMS 20'S,65,99999
CSS,MM04215SFDAA0001,HYA-JOINT PLUS 60 MG PFS 3 ML 1'S,2625,99999
CSS,MM04333SFDAA0001,GELCLAIR ORAL RINSE GEL SAC 15ML 21'S,288.75,99999
CSS,MM04396SFDAA0002,Nebulizer Set,400,99999
CSS,MM04604SFDAA0002,Hemagel 15 gm.,96.15,99999
CSS,MM04666SFDAA0001,"NEWGEL+ SILICON SHEET 5""*6""",350,99999
CSS,MM04666SFDAA0002,NEWGEL+E SILICON GEL 15 GM,210,99999
CSS,MM04839SFDAA0001,GENVISC G PLUS + GOLD INJ 1'S,2500,99999
CSS,MM05006SFDAA0001,RINOSAN NS 30 ML,47.75,99999
CSS,MM05200SFDAA0005,AUGE NATURAL ED 10 ML,69,99999
CSS,MM05239SFDAA0001,NOZOIL NS 10 ML,44.1,99999
CSS,MM05239SFDAA0002,NOZOHAEM NASAL GEL TUBE 4'S,63,99999
CSS,MM05596SFDAA0001,RINOFAST NS 50 ML,49,99999
CSS,MM05596SFDAA0002,RINOFAST FLU NS 20 ML,69,99999
CSS,MM05596SFDAA0003,BOROX EAR SPRY 50 ML,49,99999
CSS,MM05924SFDAA0018,ONE TOUCH SELECT STRIP ONE PCS,99,99999
CSS,MM06351SFDAA0145,Accu Check Instant Kit,400,99999
CSS,MM06351SFDAA0148,Accu Check Instant Strips,120,99999
CSS,MM06829SFDAA0001,InsuJet,1500,99999
CSS,MM06829SFDAA0002,InsuJet Nozzles,75,99999
CSS,MM06829SFDAA0003,InsuJet adaptor,75,99999
CSS,MM07285SFDAA0001,FITO CR 32G,69,99999
CSS,MM07285SFDAA0002,FITO GAUZES ADVANCE 10'S,185.06,99999
CSS,MS00094SFDAA0048,Optium 50 strips/Box,135,99999
CSS,MS00094SFDAA0065,FreeStyle Kit,400,99999
CSS,MS00094SFDAA0077,FREESTYLE OPTIUM 50 STRIPS,99,99999
CSS,MS00094SFDAA0079,Medisense Strips,95,99999
CSS,MS00094SFDAA0082,THIN LANCETS 150 (ABBOTT),45,99999
CSS,MS01021SFDAA0002,Lumbo Sacral Support Elastic X-large,50,99999
CSS,MS01021SFDAA0003,Abdominal Binder,75,99999
CSS,MS01021SFDAA0005,Arm Sling,85,99999
CSS,MS01021SFDAA0006,Shoulder Brace-Medium,90,99999
CSS,MS01021SFDAA0007,Ankle Guard,55,99999
CSS,MS01021SFDAA0008,Cervical Collar Hard Large,60,99999
CSS,MS01021SFDAA0009,Elbow Support(S.L.XL),65,99999
CSS,MS01021SFDAA0011,Surgical Elastic Stockings Over Knees M,90,99999
CSS,MS01021SFDAA0012,Surgical Elastic Stockings Under Knees L,90,99999
CSS,MS01021SFDAA0013,Surgical Elastic Stockings Under Knees M,90,99999
CSS,MS01021SFDAA0015,Surgical Elastic Stockings Under Knees XL,90,99999
CSS,MS01021SFDAA0016,Knee Support ( open ),80,99999
CSS,MS01021SFDAA0017,Wrist Support Elastic- Medium Right,75,99999
CSS,MS01021SFDAA0022,Knee Cap (Sego),55,99999
CSS,MS01021SFDAA0027,Wrist Brace Left M/S/L,150,99999
CSS,MS01021SFDAA0028,Knee Immobilizer L,120,99999
CSS,MS01021SFDAA0032,Knee Brace ( Hingecl ),80,99999
CSS,MS01021SFDAA0036,"Knee Immobilizer Universal-22""",80,99999
CSS,MS01033SFDAA0001,OPTIVE ED SDU 30'S,55,99999
CSS,MS01521SFDAA0001,Lancets Fine Touch 200/box,85,99999
CSS,MS01521SFDAA0004,FreeStyle Test Strips,135,99999
CSS,MS02148SFDAA0003,CITIZEN DIGITAL BLOOD PRESSURE MONITOR ,379,99999
CSS,MS02292SFDAA0007,Philips Chamber,90,99999
CSS,MS02815SFDAA0001,L-MESITRAN OIN 50 G,95,99999
CSS,MS02815SFDAA0002,L-MESITRAN SOFTGEL 50 G,98,99999
CSS,MS02815SFDAA0003,L-MESITRAN HYDRO DRESSING,250,99999
CSS,MS02815SFDAA0005,L-MESITRAN NET DRESSING,250,99999
CSS,MS-A-000017,AIRWAY GUEDEL SIZE 00 STERILE DISPOSABLE.,24.51,42424
CSS,MS-A-000025,ADMISSION KIT RED F/FEMALE PATIENT,73,33961
CSS,MS-A-000029,ANTERIOR CERVICAL PLATE 45MM # 876-145,6265.88,46653
CSS,MS-A-000030,ADMISSION KIT BLUE F/MALE PATIENT,73,33961
CSS,MS-A-000037,ALLOGRAFT CANCELLOUS CRUSHED 1-4MMX30CC ISOTIS# 03-0100-300,10985.63,47967
CSS,MS-A-000038,ALLOGRAFT CANCELLOUS CRUSHED 1-4MMX15CC ISOTIS# 03-0100-150,8544.38,47967
CSS,MS-A-000077,ARTICULAR SURFACE LPS-FLEX 9MM ZIMMER #596404009,6265.88,46585
CSS,MS-A-000079,ANCHOR BIOPUSHLOCK 3.5 X 19.5MM ARTHREX #AR-1926B,4027.25,45061
CSS,MS-A-000082,AMBU BAG DISPOSABLE ADULT,343,17591
CSS,MS-A-000086,ADAPTER DRIVER SOFAMOR # 7480523,3338,33968
CSS,MS-A-000087,ACETABULAR REVISION SYSTEM 54X20MM ZIMMER #4894-054-20,20925,60516
CSS,MS-A-000109,ADHESION BARRIER REF#9380003 MEDISHIELD 46516,7957.66,64416
CSS,MS-A-000120,ADAPTOR Y-TYPE ROTATING W/ VALVE BALTON # RYVA,898.38,47483
CSS,MS-A-000121,ADAPTOR WITH VALVE ROTATING BALTON # YCONV,605.43,47483
CSS,MS-A-000122,ABLATOR ASPIRATING SIZE 50 DEG ARTHREX #AR¿9803A-50,3027.15,58039
CSS,MS-A-000123,ABLATOR ASPIRATION TOOTH BRUSH 90 DEG ARTHREX #AR-9705A-90,3047.49,58039
CSS,MS-A-000124,ARTICULAR SURFACE LPS-FLEX 14MM  ZIMMER # 5964-32-14,6265.88,46585
CSS,MS-A-000126,APPLICATOR ARISTA AH 3G EUROPE FOR HEMOSTATIC # SM0002,2604,38771
CSS,MS-A-000127,APPLICATOR ARISTA AH 5G EUROPE FOR HEMOSTATIC# SM0007,3255,58059
CSS,MS-A-000128,APPLICATOR FLEXITIP 14CM FOR HEMOSTATIC # AM0004,1674,60502
CSS,MS-A-000136,ALLOGRAFT (BONE GRAFT) BIO-IMPLANT CANCELLOUS (1-8MM) 30CC SOFAMOR # PCAN30,6476.64,47967
CSS,MS-A-000146,ASPIRATING ABLATOR 30° COOLCUT ARTHREX # AR-9803A-30,3417.75,58039
CSS,MS-A-000147,ABLATOR MENISCECTOMY 90 DEGREE COOLCUT ARTHREX # AR-9802M-90,3417.75,58039
CSS,MS-A-000155,APPLICATOR STERILE SOLU PREP 2% CHG 35ML  3M # 100.24,535.45,60502
CSS,MS-A-000481,ADAPTOR -Y 95FR DOUBLE  B/BRAUN # 5020743 B.BRAUN # 5020743,976.5,60538
CSS,MS-A-000494,ANEURYSM EMBOLIZATION SYSTEM W4-7-3 TERUMO # W4-7-3,108810,60940
CSS,MS-A-000497,AVITENE COLLAGEN HEMOSTAT 105004 N/A # 105004,1900.92,47201
CSS,MS-A-000504,AIR MATTRESS WITH PUMP N/A # *,1236.9,35183
CSS,MS-A-000513,ACETABULAR CUP SIZE 56MM HIPOKRAT # 77.2300,10985.63,34076
CSS,MS-A-000514,ANCHOR SUTURE 4.5 CORK SCREW W/ONE # 2 FIBER WIRE AND ONE #2 TIGER WIRE ARTHREX # AR-1928SF-45,2877.42,45062
CSS,MS-A-000515,ANCHOR SUTURE CORK SCREW FT II # 2 FIBER WIRE AND ONE #2 TIGER WIRE ARTHREX # AR-1928SF-2,2877.42,45062
CSS,MS-A-000517,ACT+TEST CUVETTE-SILICA KAOLIN BASED ACTIVATED CLOTTING TIME TEST CUVVETTE ACCRIVA DAIGNOSTICS # JACT,732.38,55994
CSS,MS-A-000531,ALLOGRAFT DECELLULARIZED 40 X 70 MM  ARTHREX # AFLEX101,20000,47967
CSS,MS-B-000030,BOLT FIXER W/CUT HIPOKRAT #500100910000,2893.7,16077
CSS,MS-B-000062,BALLOON CATHETER PTCA ALL SIZES.,1692.6,47732
CSS,MS-B-000068,BALLOON CAYOTE 4FR ALL SIZES,4613.96,17184
CSS,MS-B-000069,BALLOON MUSTANG 5FR ALL SIZES/INVATEC#MB-AMR,3303.83,17184
CSS,MS-B-000081,BANDAGE CREPE 4.5MTR X 15CM,21,10284
CSS,MS-B-000082,BANDAGE CREPE 4.5MTR X 7.5CM,19,10284
CSS,MS-B-000083,BANDAGE CREPE 4.5MTR X5CM,5,10284
CSS,MS-B-000147,BIT DRILL 1.1MM W/STOP L44.5/8M SYN#317.18,1953,32390
CSS,MS-B-000293,BLADE SHAVER 4.2MM STRAIGHT LINVATEC/CONMED #9247A,2197.13,45078
CSS,MS-B-000302,BIPOLAR HEMI ARTHROPLASTY DIFFERENT SIZES,8946,99999
CSS,MS-B-000306,BALLOON DILATOR URETERIC 15FR 4CM # BD4145,3027.15,38821
CSS,MS-B-000307,BLADE SAW DISP RAPID ACTION 90/19/1.27MM AESCULAP #GE241SU,1294.56,46476
CSS,MS-B-000309,BUTTON XO WITH 15MM CONTINUOUS LOOP LINVATEC #T5015,3844.97,65038
CSS,MS-B-000310,BUTTON XO WITH 20MM CONTINUOUS LOOP LINVATEC #T5020,3296,65038
CSS,MS-B-000311,BUTTON XO WITH 25MM CONTINUOUS LOOP LINVATEC #T5025,3844.97,65038
CSS,MS-B-000324,BONE CANCELLOUS CHIPS 15CC 4-10MM INTEGRA #03-0400-150,7660.74,46031
CSS,MS-B-000332,BONE CEMENT W/GENTAMICIN # TEK-040140G,2441.25,33982
CSS,MS-B-000344,BUTTON XO W/CONTINOUS LOOP DEFF.SIZE CONMED.,5861.44,65038
CSS,MS-B-000360,BLADE SHAVER 5.0MMx13CM ARTHREX #AR-8500DS/4010017409,2604,37521
CSS,MS-B-000372,BALLOON CATHETER DILATOR 600MM/18FR ECLIPSE,7486.5,32584
CSS,MS-B-000375,BLADE SCALPEL SIZE 10 STER. DISP/TROUGE TRO6310,14.81,37445
CSS,MS-B-000381,BUBBLE CPAP INFANT DELIVERY SYSTEM F&P #BC161-10,1005,35440
CSS,MS-B-000413,BOLT 12MM TIPMED #042662,170.89,16077
CSS,MS-B-000416,BAND TR 20CM RADIAL ARTERY HAEMOSTASIS DEVICE TERUMO #XX*RF06,1074.15,58704
CSS,MS-B-000420,BLADE F/LARYNGOSCOPE DISPOSABLE CURVED MACINTOSH SIZE 3 #7043000,98,46828
CSS,MS-B-000421,BLADE F/LARYNGOSCOPE DISPOSABLE CURVED MACINTOSH SIZE 4 #7044000,98,46828
CSS,MS-B-000429,BOTTLE PLASTIC HUMIDIFIER DISPOSABLE,432.92,63408
CSS,MS-B-000432,BOLT SLOTTED ORT-TIPMED# 42709,589.42,16077
CSS,MS-B-000433,BOLTS 30MM ORT-TIPMED# 42686,227.85,16077
CSS,MS-B-000434,BOLT CANNULATED MEDIUM ORT-TIPMED# 42693,589.9,16077
CSS,MS-B-000435,BOLTS M6-16MM ORT-TIPMED# 42679,135.46,16077
CSS,MS-B-000437,BONE CEMENT HV-RTM SOFAMOR #C01A,2245.95,35217
CSS,MS-B-000468,BAG COLOSTOMY 57MM CONVATEC #402534,79.75,31076
CSS,MS-B-000469,BAG COLOSTOMY 70MM CONVATEC #402535,102.53,31076
CSS,MS-B-000470,BAG COLOSTOMY STOMAHESIVE 57MM CONVATEC#125145,205.07,46206
CSS,MS-B-000471,BAG COLOSTOMY STOMAHESIVE 70MM CONVATEC#400949,227.85,46206
CSS,MS-B-000482,BALLOON CATHETER RELIANT 12FR MEDTRONIC #AB46,12084.19,17184
CSS,MS-B-000484,BLADE SABRE 4.0MMx13CM ARTHREX #AR-8400SR,2929.5,36224
CSS,MS-B-000486,BONE CEMENT GENTAFIX 140GR GENTAFIX T040140G,2441.25,33982
CSS,MS-B-000496,BOLT CANNULATED LONG TIPMED #043836,1220.63,16077
CSS,MS-B-000504,BALLON ULTRA THIN DILAT CAT 12-4-5. 8-120 BOSTON #M001165340,5140.87,47732
CSS,MS-B-000506,BLOODLINE 5008 SYSTEM FRESENIUS#F00000384,166,33309
CSS,MS-B-000507,BI-BAG 5008S 900GM FRESENIUS#5060801,166,35849
CSS,MS-B-000510,BAG VOMITING SIZE 1.5LTR GREATCARE#GCG305001,8,99999
CSS,MS-B-000526,BALLOON DRUG ELUTING 2.0X20MM INVATEC #20020B12,9276.75,47732
CSS,MS-B-000534,BIT DRILL 1.5X90MM 2-FLUTE SYNTHES #03.503.551,2311.05,32390
CSS,MS-B-000546,BASIC VPAP AUTO 25 EASY BREATHE MACHINE W/ FULL MASK RESMED #26101,9694,99999
CSS,MS-B-000572,BLADE SAW 1.47MM F/OSCILATING SAW SYN #42230211,1395,44984
CSS,MS-B-000586,BAG COLOSTOMY 32MM DRAINABLE CONVATEC #20911 / 402531,79.75,31076
CSS,MS-B-000620,BIT DRILL 1.5MM X 50/12MM SYNTHES #03.503.412,1948.12,32390
CSS,MS-B-000658,BONE CEMENT DEPUY CMN 1GM 40G 1/BOX #3315040#,1660.05,35217
CSS,MS-B-000669,BALLOON DRUG ELUTING IN-PACT FALCON ALL SIZES INVATEC # 072-FL-2002B12,8545,47732
CSS,MS-B-000671,BONE GRAFT CHRONOS BLOCK 20X20X10SYNTHES#410.047S,5653.53,61884
CSS,MS-B-000672,BONE GRAFT CHRONOS BLOCK 12.5X10 SYNTHES #710.045S,3768.07,61884
CSS,MS-B-000677,BLADE DERMATOME ZIMMER #00-8800-000-10  ,2252.46,45493
CSS,MS-B-000719,BONE GRAFTON OST MAGNIFUSE 1.0X10CMSOFAMOR#7509211INT,29085.75,61884
CSS,MS-B-000724,BONE GRAFON MAGNIFUSE 1CMX5CMSOFAMOR#7509215INT,21343.5,61884
CSS,MS-B-000731,BAG ENDO DETACHABLE 3X6 # RB002,1283.4,58982
CSS,MS-B-000732,BONE GRAFT MAGNIFUSE OST 10CMSOFAMOR # 7509141INT,35781.75,61884
CSS,MS-B-000733,BLADE SAW FOR STERNUM 34/0.7/1.1 MM AESCULAP #GC761R,1028.39,44985
CSS,MS-B-000738,BLADE F/SURGICAL HAIR REMOVAL CLIPPER 3M #9660,108,63267
CSS,MS-B-000740,BRUSH CLEANING 1.25MMSYNTHES# 319.291,1841.4,31206
CSS,MS-B-000759,BRACE HUMERAL ALL SIZE,1757.7,41455
CSS,MS-B-000769,BALLOON PACIFIC XTREME LONG REGULAR INVATEC#MB-PAR,3987.38,17184
CSS,MS-B-000771,BALLOON CONICAL AMPHIRION DEEP INVATEC#MB-AMC,7120.31,17184
CSS,MS-B-000772,BLADE F/LARYNGOSCOPE DISPOSABLE MILLER SIZE 1,262.03,46828
CSS,MS-B-000780,BALLOON DRUG ELUTING PTA PASEO-18 LUX BIOTRONIC ALL SIZES,9051,99999
CSS,MS-B-000781,BONE GRAFT MAGNIFUSE 1.75X5CM SOFAMOR # 7509145INT,29441.48,61884
CSS,MS-B-000782,BLADE F/LARYNGOSCOPE DISPOSABLE MILLER SIZE 0,262.03,46828
CSS,MS-B-000783,BLADE F/LARYNGOSCOP MILLAR DISPOABLE SIZE 00,262.03,46828
CSS,MS-B-000785,BLADES KERATOME ANCHOR 2.8MM ANGLED #AB202A,360.77,44722
CSS,MS-B-000797,BANDAGE CONTACT LENSE 6PK,203.16,36054
CSS,MS-B-000801,BONE GRAFT INFUSE X-SMALL 1.4 CCSOFAMOR# 7510100,29085.75,16966
CSS,MS-B-000806,BONE GRAFT GENEX 10CC OSTEOCONDUCTION+OSTEOINDUCTION BIOCOMPOSITES #900-010,12555,43999
CSS,MS-B-000811,BONE CEMENT STANDERD VSCOSITY SYNTHES.,2441.25,35217
CSS,MS-B-000866,BLADE SHAVER 4.2MM GREAT WHITE LINVATEC/CONMED #9299A,2115.75,41499
CSS,MS-B-000872,BONE CEMENT HI-FATIGUE G1 X 40GM ZIMMER #112114001,2441.25,35217
CSS,MS-B-000896,BONE GRAFT GENEX 5CC OSTEOCONDUCTION+OSTEOINDUCTION BIOCOMPOSITES #900-005,9642.94,16966
CSS,MS-B-000897,BLADE SHAVER 4.0 MM # SIMEX,2929.5,37521
CSS,MS-B-000898,BACTERIN  MEDTRONIC # B140117 ¿ 103415,5126.63,47257
CSS,MS-B-000903,BACTERIN CANCELLOUS 4-10 MM X 15CC # MEDTRONIC,13496.63,47257
CSS,MS-B-000906,BIT DRILL 1.8 MM  SYNTHES # 310.508,1311.3,32390
CSS,MS-B-000909,BLADE SAW 17.8 X 15.2/4 X .0.6MM LEFTSYNTHES # 03.000.403S,3469.02,63715
CSS,MS-B-000910,BLADE SAW 116 / 95 X 19 X 1.19 SYNTHES # 05.002.002S,1708.88,44984
CSS,MS-B-000914,BLADE SHAVER AGGRESSIVE RESECTOR FULL RADIUS 5.5 MM # TEKNO,3417.75,10455
CSS,MS-B-000917,BLADE SHAVER BURR 5.0MMx13CM OVAL 8FLUTE ARTHREX #AR-8500OBE,2441.25,41499
CSS,MS-B-000918,BLOCKS ATLANTIC W/GENTAMYCIN HANS BIOMED #ABG¿123,6493.73,55276
CSS,MS-B-000921,BLADE SHAVER EXCALIBUR 3.8MM X 13CM #AR-8380EX,31492.13,37521
CSS,MS-B-000924,BURR ROUND 8 FLUTE 4.0MM X 13CM #AR-8400RBE,10985.63,16669
CSS,MS-B-000930,BALLOON IN-PACT FALCON DEB ALL SIZE  MEDTRONIC # FLCP25014B12,10985.63,47732
CSS,MS-B-000945,BLUNT ELASTIC STAY HOOK SET F/PENILE 5 MM  COLOPLAST # QB3312,2473.8,42595
CSS,MS-B-000953,BAG RESERVOIR 2 LITER W/15 FR SMD #314-2-12B,136.71,58917
CSS,MS-B-000964,BONE CEMENT REGOBACIN 40 X 1  BIOMET # 3003940001,1116,33982
CSS,MS-B-000965,BLADE SAW KMS 90 X 25.4 X 1.24  KOMET # KMS2513.55 S,1674,63598
CSS,MS-B-000967,BAG BSS FOR CENTURION PHACO MACHINE ALCON # 7950176,626.59,63972
CSS,MS-B-000974,BLADE SHAVER BURROVALSJ10FLUTE 3.0MMX7CM ARTHREX # AR-7300OBT,2197.13,10455
CSS,MS-B-000976,BLADE SHAVER AGGRESSIVE RESECTOR FULL RADIUS 4.2 MM TEKNO #1142,2115.75,10455
CSS,MS-B-000990,BLANKET WARMING ADULT FULL BODY PORTEX # SW-2001,830.03,10414
CSS,MS-B-000991,BLANKET WARMING PEDIA FULL BODY PORTEX # SW-2002,830.03,10417
CSS,MS-B-000992,BLANKET WARMING PEDIA UNDERBODY PORTEX # SW¿2009,1074.15,10417
CSS,MS-B-000993,BLANKET WARMING SMALL UPPERBODY PORTEX # SW2010,830.03,10414
CSS,MS-B-000999,BLADE OSCIL FINE 5.5 X 25.5 X 0.6MM #5071246,3417.75,46476
CSS,MS-B-001008,BLADE OSCIL 25.4 X 95 X 0.9MM # 5071-121,1450.8,46476
CSS,MS-B-001031,BASE FOR URINE RESERVOIR SIZE 45 MM  CONVATEC # 125144,878.85,46206
CSS,MS-B-001032,BAG FOR URINE RESERVOIR SIZE 45 MM  CONVATEC # 2984,1171.8,58917
CSS,MS-B-001043,BIOCOMPOSITE PUSH LOCK 4.5MMX28MM ARTHREX# AR-1922BCM,4015.86,45027
CSS,MS-B-001094,BREATHING CIRCUIT DISPOSABLE VENTSTAR (N) 180 DRAEGER # MP00333 / MP02607,782,37706
CSS,MS-B-001098,BONE GRAFT CANCELLOUS 4-10MM SOFAMOR # PCAN15410,6066.51,16966
CSS,MS-B-001127,BOTTOM EXTENDED TIGHTROPE 5X20MM #AR-1589RT,3255,64640
CSS,MS-B-001136,BLADE F/LARYNGOSCOPE DISP. CURVED MACINTOSH SIZE 2 # 7042000,227.85,46828
CSS,MS-B-001139,BLADE F/NAIL PROXIMATE FEMORAL 110MM  SYNTHES # 04.027.037S,8057.35,47788
CSS,MS-B-001140,BLADE F/NAIL PROXIMATE FEMORAL 100MM  SYNTHES # 04.027.035S,4604.2,47788
