Service Code,Service Description,Service Category Description,Nphies Code,Nphies Description,Service Price Up to 2024,Service Price as of 2025,Service Discount,Service Category Code,additional date
6121021,3D CBCT IMPLANT STUDY FOR   (4-8) IMPLANTS ,Portal Dental,97039-00-10,"Cone beam computerised tomography of jaw, limited view (less than a jaw) ; each jaw",2467.5,2590.875,20.0,51.0,
6121022,3D CBCT IMPLANT STUDY FOR   (8-12) IMPLANTS ,Portal Dental,97039-00-10,"Cone beam computerised tomography of jaw, limited view (less than a jaw) ; each jaw",3150.0,3307.5,20.0,51.0,
6121020,3D CBCT IMPLANT STUDY FOR  (2-3) IMPLANTS ,Portal Dental,97039-00-10,"Cone beam computerised tomography of jaw, limited view (less than a jaw) ; each jaw",2100.0,2205.0,20.0,51.0,
6121031,3D CEPHALOMETRIC CBCT IMAGING ,Portal Dental,97081-00-00,Cephalometric analysis and interpretation,787.5,826.875,20.0,51.0,
6121018,3D HEAD CBCT IMAGING,Portal Dental,97039-00-10,"Cone beam computerised tomography of jaw, limited view (less than a jaw) ; each jaw",1680.0,1764.0,20.0,51.0,
6121032,3D PANORAMIC CBCT IMAGING ,Portal Dental,97039-00-10,"Cone beam computerised tomography of jaw, limited view (less than a jaw) ; each jaw",525.0,551.25,20.0,51.0,
6121024,3D PARA NASAL SINUSES CBCT ,Portal Dental,97039-00-10,"Cone beam computerised tomography of jaw, limited view (less than a jaw) ; each jaw",1260.0,1323.0,20.0,51.0,
6121026,3D TEMPORAL BONE CBCT IMAGING ,Portal Dental,97039-00-10,"Cone beam computerised tomography of jaw, limited view (less than a jaw) ; each jaw",1260.0,1323.0,20.0,51.0,
6121025,3D TMJ CBCT IMAGING ,Portal Dental,97039-00-10,"Cone beam computerised tomography of jaw, limited view (less than a jaw) ; each jaw",1260.0,1323.0,20.0,51.0,
8126001,3D ULTRASOUND,Portal X-Ray,90908-00-00,Ultrasound of other site,600.0,630.0,20.0,98.0,
1112026,FOLLOW-UP CONSULTATION (WITHIN 14 DAYS),Portal Professional Fees,83600-00-50,Secondary follow up treatment with the same condition within the mandated timelines Consultant,0.0,0.0,0.0,11.0,
1112034,IVF CONSULTATION FOLLOW UP VISIT,Portal Professional Fees,83600-00-20,Office Assessment  for diagnosis and treatment  and counselling of a new or established patient by Consultant,0.0,0.0,0.0,11.0,
8126002,4D ULTRASOUND,Portal X-Ray,90908-00-00,Ultrasound of other site,750.0,787.5,20.0,98.0,
7121007,5-HIAA ,Portal Laboratory,73050-20-00,5HIAA (5 OH-INDOLE ACETIC Acid) in urine - s.o,425.0,446.25,20.0,31.0,
7121008,5-NUCLEOTIDASE,Portal Laboratory,73050-25-60,Measurement of (Quantitative) nucleotidase 5'-,410.0,430.5,20.0,31.0,
7121009,5-OH TRYPTOPHAN,Portal Laboratory,73050-39-70,Chemistry tests unlisted,495.0,519.75,20.0,31.0,
FMHC-0002,8 Home Visit- Complete Nursing Care,Portal Hospital Services,83620-00-00,"Include  all medical services and transportation - Supportive services: includes Physiotherapy, Speech Therapy, Occupational Therapy, Respiratory Therapy. Exclude medication, consumables and equipment which will be paid separately. Billed on daily basis each day is for 8 hours work",550.0,577.5,0.0,62.0,
2162030,A D H D SCALE,Portal Medical Procedures,96101-00-00,Cognitive and/or behavioural therapy [CBT],325.0,341.25,20.0,85.0,
FMENTS0030,A non-instrumental swallowing assessment,Portal Medical Procedures,96010-00-00,Swallowing function assessment,250.0,262.5,25.0,85.0,
9031001,A.V FISTULA DILATION ,Portal Package Deals,34518-00-00,Repair of surgically created arteriovenous fistula,10208.0,10718.4,10.0,88.0,
2013011,A.V. FISTULA CREATION,Portal Package Deals,34509-01-00,Arteriovenous anastomosis of upper limb,14140.0,14847.0,10.0,88.0,
8121001,ABDOMEN X-RAY 1 VIEW,Portal X-Ray,58900-00-90,Radiography of abdomen,135.0,141.75,20.0,98.0,
8121002,ABDOMEN X-RAY 2 VIEW,Portal X-Ray,58900-00-90,Radiography of abdomen,170.0,178.5,20.0,98.0,
9031002,ABDOMINAL ANGIOGRAPHY,Portal Package Deals,59970-00-00,"Angiography, not elsewhere classified",2256.0,2368.8,10.0,88.0,
6113005,ABDOMINAL BINDER,Portal Medical Procedures,96092-00-00,"Application, fitting, adjustment or replacement of other assistive or adaptive device, aid or equipment",200.0,210.0,20.0,85.0,
P16ABDOM3+,ABDOMINAL BINDER ALL SIZE .,Portal Medical Supplies,,,99.0,103.95,20.0,67.0,
3014002,ABDOMINAL COLPOPEXY,Portal Package Deals,35597-01-00,Sacral colpopexy,15660.0,16443.0,10.0,88.0,
2015027,ABDOMINAL EXPLORATION / LAPARASCOPIC ,Portal Package Deals,30390-00-00,Laparoscopy,8800.0,9240.0,10.0,88.0,
3112083,ABDOMINAL PARACENTHESIS,Portal Hospital Services,30406-00-00,Abdominal paracentesis,325.0,341.25,20.0,62.0,
2015001,ABDOMINAL PROCTOPEXY WITH RESECTION,Portal Package Deals,32117-00-00,Abdominal rectopexy,17600.0,18480.0,10.0,88.0,
2015002,ABDOMINAL PROCTOPEXY WITHOUT RESECTION,Portal Package Deals,32117-00-00,Abdominal rectopexy,13200.0,13860.0,10.0,88.0,
3014004,ABDOMINAL SLING FOR CONGENITAL PROLAPSE,Portal Package Deals,35599-00-00,"Sling procedure for stress incontinence, female",14519.0,15244.95,10.0,88.0,
3014003,ABDOMINAL TOTAL HYSTERECTOMY,Portal Package Deals,35653-01-00,Total abdominal hysterectomy,14519.0,15244.95,10.0,88.0,
9031003,ABDOMINAL/PELVIC ABSCESS DRAINAGE,Portal Package Deals,30394-00-00,"Drainage of intra-abdominal abscess, haematoma or cyst",1440.0,1512.0,10.0,88.0,
2015003,ABDOMINOPERINEAL RESECTION OF RECTUM,Portal Package Deals,32039-00-00,Abdominoperineal proctectomy,40050.0,42052.5,10.0,88.0,
9044001,ABDOMINOPLASTY FULL  - SMALL ,Portal Package Deals,30177-00-00,"Lipectomy of abdominal apron, radical",16160.0,16968.0,10.0,88.0,
9044002,ABDOMINOPLASTY FULL - LARGE,Portal Package Deals,30177-00-00,"Lipectomy of abdominal apron, radical",18180.0,19089.0,10.0,88.0,
9044003,ABDOMINOPLASTY MINI  ,Portal Package Deals,30177-00-00,"Lipectomy of abdominal apron, radical",12120.0,12726.0,10.0,88.0,
fmort-1062,Above elbow open cast,Portal Medical Procedures,90595-00-61,"Application or revision of immobilisation device or support, long arm, unilateral",605.0,635.25,20.0,85.0,
6112005,ABOVE ELBOW POP - GIBSONA,Portal Medical Procedures,96092-00-00,"Application, fitting, adjustment or replacement of other assistive or adaptive device, aid or equipment",550.0,577.5,20.0,85.0,
6112002,ABOVE KNEE POP - GIBSONA,Portal Medical Procedures,96092-00-00,"Application, fitting, adjustment or replacement of other assistive or adaptive device, aid or equipment",550.0,577.5,20.0,85.0,
fmort-1063,Above  knee  open cast ,Portal Medical Procedures,90595-00-81,"Application or revision of immobilisation device or support, long leg, unilateral",605.0,635.25,20.0,85.0,
7131017,AB-TITER (ANTI-D TITER),Portal Laboratory,73250-00-50,"Antibody titer-in-direct coombs test (Quantitative), serum",425.0,446.25,20.0,31.0,
2112005,ACCOMODATION / INFANT INCUBATOR (BED ONLY),Portal Hospital Services,83610-03-50,Room and Board charges of a neonatal ( 0-22 days age) requiring of special medical attention in special care settings. Consumables  and Drugs to be billed separately,280.0,294.0,20.0,62.0,
2112007,ACCOMODATION / INTENSIVE CARE UNIT (ICU) (BED ONLY),Portal Hospital Services,83610-03-80,Room and Board for Patient in an intensive Care unit and  consumables and  drugs are charged separately,1600.0,1680.0,20.0,62.0,
2112014,ACCOMODATION / ISOLATION ROOM / ADULT (BED ONLY),Portal Hospital Services,83610-00-90,Private room or shared room with a select companion fully equipped  to prevent the spread of an infectious agent from an infected or colonized patient to susceptible persons. Inclusive of all of protective barriers and mechanical measurements taken for maintaining isolation . Charged  per day.,400.0,420.0,20.0,62.0,
2112013,ACCOMODATION / NICU - ISOLATION PER DAY (BED ONLY),Portal Hospital Services,83610-03-50,Room and Board charges of a neonatal ( 0-22 days age) requiring of special medical attention in special care settings. Consumables  and Drugs to be billed separately,1600.0,1680.0,20.0,62.0,
2112011,ACCOMODATION / NICU - PER DAY  (BED ONLY),Portal Hospital Services,83610-03-50,Room and Board charges of a neonatal ( 0-22 days age) requiring of special medical attention in special care settings. Consumables  and Drugs to be billed separately,1600.0,1680.0,20.0,62.0,
2112012,ACCOMODATION / NICU INTERMEDIATE CARE (CRIB) (BED ONLY),Portal Hospital Services,83610-03-50,Room and Board charges of a neonatal ( 0-22 days age) requiring of special medical attention in special care settings. Consumables  and Drugs to be billed separately,800.0,840.0,20.0,62.0,
2112006,ACCOMODATION / NURSERY (BED ONLY),Portal Hospital Services,83610-02-70,Room and Board charges of a neonatal ( 0-22 days age) born in the hospital requiring of special medical attention  in  special care settings.   Charged Per Day,200.0,210.0,20.0,62.0,
2112004,ACCOMODATION / PAEDIATRIC WARD (BED ONLY),Portal Hospital Services,83610-00-70,Daily Room and Board Fees for a shared accommodation in a room fit for 2 patients and more with shared bathroom.,280.0,294.0,20.0,62.0,
2112010,ACCOMODATION / PEDIATRIC ICU (PICU) (BED ONLY),Portal Hospital Services,83610-03-20,Room and Board charges of a paediatric patient ( 1-14 Years age) requiring of special medical attention in special care settings. Drugs and Consumables to be billed separately,1600.0,1680.0,20.0,62.0,
2112002,ACCOMODATION / PRIVATE PER DAY (BED ONLY),Portal Hospital Services,83610-01-50,Daily room NOT inclusive cost of care charges day 2 and further,400.0,420.0,20.0,62.0,
2112003,ACCOMODATION / SEMI-PRIVATE PER DAY (BED ONLY),Portal Hospital Services,83610-00-80,Daily Room and Board Fees for a shared accommodation in a room fit for 2 patients only with shared bathroom.,280.0,294.0,20.0,62.0,
2112001,ACCOMODATION / SUITE PER DAY (BED ONLY),Portal Hospital Services,83610-01-50,Daily room NOT inclusive cost of care charges day 2 and further,1200.0,1260.0,20.0,62.0,
2112008,ACCOMODATION / SUITE ROOM ICU PER DAY (BED ONLY),Portal Hospital Services,83610-03-90,Room and Board for VIP ( with an additional service room)  ICU Patient in an intensive Care unit and consumables and  drugs are charged separately,2800.0,2940.0,20.0,62.0,
P15ACCU13+,ACCU-CHECK SAFE-T-PRO LANCET X 200 .,Portal Medical Supplies,,,169.0,177.45000000000002,20.0,67.0,
PP15ACCUC3+,ACCU-CHECK SOFTCLIX LANCETS X 100 .,Portal Medical Supplies,,,55.0,57.75,20.0,67.0,
P15ACCUC2+,ACCU-CHEK ACTIVE SUGAR TEST STRIPS X 50 .,Portal Medical Supplies,,,70.0,73.5,20.0,67.0,
P16ACCUC2+,ACCU-CHEK GO SUGAR TEST STRIPS X 50 .,Portal Medical Supplies,,,73.5,77.175,20.0,67.0,
P15ACCUC15+,ACCU-CHEK INSTANT SUGAR TEST STRIP X 50 .,Portal Medical Supplies,,,95.0,99.75,20.0,67.0,
P15ACCU18+,ACCU-CHEK MULTICLIX LANCETS X 102 .,Portal Medical Supplies,,,62.0,65.10000000000001,20.0,67.0,
P15ACCUC1+,ACCU-CHEK MULTICLIX LANCETS X 200 .,Portal Medical Supplies,,,92.0,96.60000000000001,20.0,67.0,
P16ACCUC3+,ACCU-CHEK PERFORMA GLUCOMETER .,Portal Medical Supplies,,,199.0,208.95000000000002,20.0,67.0,
P15ACCUC6+,ACCU-CHEK PERFORMA SUGAR TEST STRIPS X 50 .,Portal Medical Supplies,,,70.0,73.5,20.0,67.0,
P16ACCUF1+,ACCU-FINE PEN NEEDLE 31GX4MM X 100 .,Portal Medical Supplies,,,89.0,93.45,20.0,67.0,
7121010,ACETONE (BLOOD),Portal Laboratory,73350-00-40,Acetaldehyde Quantitative; blood,520.0,546.0,20.0,31.0,
7121011,ACETYCHOLINESTERATE(B),Portal Laboratory,73050-00-20,Measurement of (Quantitative) acetylcholinesterase,115.0,120.75,20.0,31.0,
7121012,ACETYLCHOLINE RECEPTOR ANTIBODY,Portal Laboratory,73050-00-20,Measurement of (Quantitative) acetylcholinesterase,1100.0,1155.0,20.0,31.0,
2012001,ACHALSIA OF CARDIA,Portal Package Deals,30532-00-00,"Oesophagogastric myotomy, laparoscopic approach",9900.0,10395.0,10.0,88.0,
6012001,ACHILLES TENDON LENGTHENING,Portal Package Deals,49727-00-00,Lengthening of Achilles' tendon,7899.0,8293.95,10.0,88.0,
6013002,ACHILLES TENDON LENGTHENING (BILATERAL),Portal Package Deals,49727-00-00,Lengthening of Achilles' tendon,11726.0,12312.300000000001,10.0,88.0,
6012002,ACHILLES TENDON RELEASE (PONSETI) ,Portal Package Deals,49718-01-00,Repair of Achilles' tendon,5625.0,5906.25,10.0,88.0,
2182019,ACID CONCENTRATE ( LITRE),Portal Medical Procedures,83700-00-00,Unlisted services yet to be defined.,25.0,26.25,20.0,85.0,
7123001,ACID FAST STAINING,Portal Laboratory,73050-44-40,"Primary source smear  ; fluorescent and/or Acid fast stain for bacteria, fungi, parasites, viruses or cell types",65.0,68.25,20.0,31.0,
3182019,ACNE SURGERY (PER SESSION),Portal Dermatology,90676-00-00,Other procedures on skin and subcutaneous tissue,650.0,682.5,20.0,94.0,
6013003,ACROMIOPLASTY,Portal Package Deals,48903-00-01,"Decompression of subacromial space, unilateral",13200.0,13860.0,10.0,88.0,
6128002,ACRYLIC (PLASTIC) CROWN PER CROWN,Portal Dental,97611-01-00,"Full crown, acrylic resin, indirect",341.25,358.3125,20.0,51.0,
6128003,ACRYLIC (PLASTIC) CROWN PRE-FABRICATED,Portal Dental,97611-01-00,"Full crown, acrylic resin, indirect",136.5,143.32500000000002,20.0,51.0,
4112002,ACT HIB VACCINE,Portal Vaccination,92167-00-00,Vaccination against Haemophilus influenzae type B,130.0,136.5,5.0,92.0,
4112003,ACTACEL VACCINE,Portal Vaccination,92149-00-00,"Administration of diphtheria-tetanus-pertussis, combined",260.0,273.0,5.0,92.0,
7121013,ACTH,Portal Laboratory,73050-00-50,Measurement of Adrenocorticotropic Hormone (ACTH),650.0,682.5,20.0,31.0,
7129001,ACTIN (SMOOTH MUSCLE),Portal Laboratory,73100-13-30,Anti-smooth muscle antibody and anti-actin send out unilab,575.0,603.75,20.0,31.0,
2182009,ACTIVATED CLOTTING TIME,Portal Medical Procedures,73100-05-00,Coagulation time measurement,40.0,42.0,20.0,85.0,
7121014,ACTIVATED PROTIEN C RESISTANCE,Portal Laboratory,73100-04-50,Assay for activated Protein c (APC) resistance,610.0,640.5,20.0,31.0,
6127001,ACTIVATOR  ORAL SCREEN APPLIANCE,Portal Dental,97823-00-00,Provision of functional orthopaedic appliance,1365.0,1433.25,20.0,51.0,
2182016,ACUTE PERITONEAL CATHETER,Portal Medical Procedures,13109-00-00,Insertion and fixation of indwelling peritoneal catheter for long term peritoneal dialysis,1300.0,1365.0,20.0,85.0,
2013001,ACUTE PERITONITIS / LAPAROTOMY,Portal Package Deals,30373-00-00,Exploratory laparotomy,12120.0,12726.0,10.0,88.0,
6128004,ADDING TOOTH TO PARTIAL DENTURE TO REPLACE EXTRACTED TOOTH(INVOLVING CLASP OR ABUTMENT TOOTH),Portal Dental,97768-00-00,"Adding tooth to partial denture to replace extracted or decoronated tooth, per tooth",262.5,275.625,20.0,51.0,
6128005,ADDING TOOTH TO PARTIAL DENTURE TO REPLACE EXTRACTED TOOTH-EACH TOOTH(NOT INVOLVING CLASP OR ABUTMENT TOOTH),Portal Dental,97768-00-00,"Adding tooth to partial denture to replace extracted or decoronated tooth, per tooth",178.5,187.425,20.0,51.0,
6128006,ADDITIONAL CASTED CLASP-GOLD OR METAL,Portal Dental,97762-00-00,Replacement or addition of a new clasp to denture,525.0,551.25,20.0,51.0,
8121124,ADDITIONAL CD COPY,Portal X-Ray,83700-00-00,Unlisted services yet to be defined.,100.0,105.0,20.0,98.0,
4041023,ADDITIONAL COIL / EACH,Portal Package Deals,83700-00-00,Unlisted services yet to be defined.,8939.0,9385.95,10.0,88.0,
9031038,ADDITIONAL COIL / EACH INTERVEN'L RADIOLOGY,Portal Package Deals,99999-99-92,Unlisted Imaging Code,9346.0,9813.300000000001,10.0,88.0,
4041024,ADDITIONAL DETACHABLE BALLOON / EACH,Portal Package Deals,99999-99-99,Unlisted Procedure,8232.0,8643.6,10.0,88.0,
4041051,ADDITIONAL MICROCATHETER / EACH,Portal Package Deals,83700-00-00,Unlisted services yet to be defined.,4848.0,5090.400000000001,10.0,88.0,
4041052,ADDITIONAL MICROGUIDE WIRE / EACH,Portal Package Deals,99999-99-99,Unlisted Procedure,3889.0,4083.4500000000003,10.0,88.0,
8128089,ADDITIONAL NUCLEAR SCAN,Portal X-Ray,90910-00-00,Nuclear medicine study of other region or organ,2544.0,2671.2000000000003,20.0,98.0,
6022001,ADDUCTOR AND ILIOPSOAS RELEASE,Portal Package Deals,50375-01-00,"Release of hip contracture, unilateral",4725.0,4961.25,10.0,88.0,
6023001,ADDUCTOR TRANSFER ,Portal Package Deals,50387-02-00,Transfer of adductors to ischium,13200.0,13860.0,10.0,88.0,
7124020,ADENO VIRUS ( STOOL),Portal Laboratory,73050-45-50,Antigen detection by immunofluorescent technique; cryptosporidium,65.0,68.25,20.0,31.0,
7121015,ADENO VIRUS ABS,Portal Laboratory,73100-19-00,Detection of antibody; Adenovirus,100.0,105.0,20.0,31.0,
1012001,ADENOIDECTOMY,Portal Package Deals,41801-00-00,Adenoidectomy without tonsillectomy,2193.0,2302.65,10.0,88.0,
7121016,ADENOSINE DEAMINASE,Portal Laboratory,73050-00-60,Measurement of (Quantitative) adenosine 5-monophosphate cyclic,1755.0,1842.75,20.0,31.0,
1012002,ADENOTONSILECTOMY,Portal Package Deals,41789-01-00,Tonsillectomy with adenoidectomy,4845.0,5087.25,10.0,88.0,
7121017,ADH & OSMOLALITY,Portal Laboratory,73050-38-50,"Measurement of vasopressin (antidiuretic Hormone, ADH)",740.0,777.0,20.0,31.0,
2014007,ADHESIOLYSIS / LAPARASCOPIC,Portal Package Deals,30393-00-00,Laparoscopic division of abdominal adhesions,22725.0,23861.25,10.0,88.0,
2012002,ADHESIOLYSIS / OPEN,Portal Package Deals,30378-00-00,Division of abdominal adhesions,6764.0,7102.200000000001,10.0,88.0,
3014014,ADHESIOLYSIS WITH OVARIAN CYSTECTOMY WITH NEO-OSTIA OF FALLOPIAN TUBE / LAPAROTOMY,Portal Package Deals,30378-00-00,Division of abdominal adhesions,14645.0,15377.25,10.0,88.0,
FMDNTN0066,Adhesive Restoration Veneer Anterior Tooth Direct,Portal Dental,97582-01-00,"Bonding of veneer to surface of tooth, direct",340.0,357.0,20.0,51.0,
P16ADJUS2+,ADJUSTABLE KNEE SPORT MOISTURE CONTROL .,Portal Medical Supplies,,,69.2308,72.69234,20.0,67.0,
FMHC-0033,Administering Nasal Gastric Tube Feeding,Portal Hospital Services,83620-00-80,"Bundled Base Payment of home care (Simple)  .Includes all medical services and transportation - Supportive services: includes Physiotherapy, Speech Therapy, Occupational Therapy, Respiratory Therapy . Exclude medication, consumables and equipment which will be paid separately",55.0,57.75,20.0,62.0,
9112001,ADMINISTRATION SUBCUTANEOUS OR INTRAMUSCULAR  NON HORMONAL ANTI NEOPLASTIC,Portal Medical Procedures,96200-00-00,"Subcutaneous administration of pharmacological agent, antineoplastic agent",600.0,630.0,20.0,85.0,
836100380,ADMISSION AND MANAGEMENT FOR INTENSIVE-CARE UNIT ( ICU ),Portal Package Deals,83000-00-02,Estimated allowance for ICU admission,4500.0,4725.0,0.0,88.0,
836100130,ADMISSION AND MANAGEMENT FOR NORMAL WARD,Portal Package Deals,83000-00-01,Estimated allowance for Ward admission,2700.0,2835.0,0.0,88.0,
9031004,ADRENAL ANGIOGRAPHY,Portal Package Deals,59970-00-00,"Angiography, not elsewhere classified",3572.0,3750.6000000000004,10.0,88.0,
7121018,ADRENAL CORTEX ABS,Portal Laboratory,73050-39-70,Chemistry tests unlisted,325.0,341.25,20.0,31.0,
2014001,ADRENALECTOMY / BILATERAL,Portal Package Deals,36500-02-00,"Total adrenalectomy, bilateral",38380.0,40299.0,10.0,88.0,
2014003,ADRENALECTOMY / LAPARASCOPIC ,Portal Package Deals,36500-01-00,"Total adrenalectomy, unilateral",23375.0,24543.75,10.0,88.0,
2014002,ADRENALECTOMY / PARTIAL,Portal Package Deals,36500-00-00,Partial adrenalectomy,30300.0,31815.0,10.0,88.0,
3112118,ADVANCED VENUS ULCER/ PER DRESSING,Portal Hospital Services,30055-00-00,Dressing of wound,300.0,315.0,20.0,62.0,
P15AEROC2+,AEROCHAMBER CHILDREN DEVICE WITH MASK .,Portal Medical Supplies,,,124.6154,130.84617,20.0,67.0,
P15AEROC3+,AEROCHAMBER INFANTS DEVICE WITH MASK (ORANGE) .,Portal Medical Supplies,,,94.0,98.7,20.0,67.0,
2152003,AIR MIST THERAPY,Portal Medical Procedures,92043-00-00,Respiratory medication administered by nebuliser,35.0,36.75,20.0,85.0,
7121019,ALBUMIN,Portal Laboratory,73050-00-80,Measurement of Albumin Quantitaive;urine,75.0,78.75,20.0,31.0,
7121020,ALBUMIN/GLOBUMIN RATIO,Portal Laboratory,73050-00-80,Measurement of Albumin Quantitaive;urine,60.0,63.0,20.0,31.0,
7121021,ALDOLASE,Portal Laboratory,73050-01-30,Measurement of Aldolase Profile,225.0,236.25,20.0,31.0,
7121022,ALDOSTERONE (URINE  SERUM),Portal Laboratory,73000-01-40,"Aldosterone suppression evaluation Panel(Aldosterone x2,Renin x 2)",585.0,614.25,20.0,31.0,
7129002,ALK,Portal Laboratory,73050-27-60,Measurement of Alkaline phosphatas,575.0,603.75,20.0,31.0,
7121023,ALKA PHASE B (BONE ALKALINE PHOSPHATES),Portal Laboratory,73050-27-60,Measurement of Alkaline phosphatas,425.0,446.25,20.0,31.0,
7121024,ALKALINE LEUOCYTE PHOSPHATASE,Portal Laboratory,73100-07-70,Leukocyte alkaline phosphatase with count,140.0,147.0,20.0,31.0,
7121025,ALKALINE PHOSPHATASE,Portal Laboratory,73100-07-70,Leukocyte alkaline phosphatase with count,60.0,63.0,20.0,31.0,
7121026,ALKALINE PHOSPHATASE ISOENZYMES,Portal Laboratory,73050-27-80,"Measurement of Alkaline phosphatase isoenMeasurement ofymes, serum",540.0,567.0,20.0,31.0,
3182008,ALLERGY SIGN TEST,Portal Dermatology,12000-00-00,Skin sensitivity testing using <= 20 allergens,260.0,273.0,20.0,94.0,
7121027,ALPHA I ANTITRYPSIN,Portal Laboratory,73050-01-50,Measurement of (Quantitative) total alpha-1-antitrypsin,500.0,525.0,20.0,31.0,
7121028,ALPHA-1 ANTI-TRIPSIN PHENOTYPE,Portal Laboratory,73050-01-60,"Measurement of (Quantitative) phenotype, alpha-1-antitrypsin",520.0,546.0,20.0,31.0,
7129003,ALPHA-1-FETOPROTEIN,Portal Laboratory,73050-01-80,"Measurement of (Quantitative) amniotic fluid, alpha-fetoProtein",450.0,472.5,20.0,31.0,
7121029,ALPHA-FETOPROTEIN,Portal Laboratory,73050-01-80,"Measurement of (Quantitative) amniotic fluid, alpha-fetoProtein",250.0,262.5,20.0,31.0,
2122001,ALTERNATE BINAURAL LOUDNESS BALANCING (ABLB),Portal ENT,96056-00-00,Alternating binaural loudness balance test [ABLB],150.0,157.5,20.0,93.0,
7121030,ALUMINIUM,Portal Laboratory,73050-02-00,Measurement of Aluminum Profile,350.0,367.5,20.0,31.0,
6122001,ALVEOLECTOMY (PER QUADRANT),Portal Dental,97331-00-20,Alveoloplasty for four or more missing teeth spaces,892.5,937.125,20.0,51.0,
7121031,AMACR,Portal Laboratory,73050-25-20,Measurement of Myeloperoxidase mpo,800.0,840.0,20.0,31.0,
6124009,AMALGAM FILLING - FOUR SURFACES  DECIDUOUS,Portal Dental,97511-02-00,"Metallic restoration of tooth, each additional surface, direct",446.25,468.5625,20.0,51.0,
6124008,AMALGAM FILLING - FOUR SURFACES  PERMANENT,Portal Dental,97511-02-00,"Metallic restoration of tooth, each additional surface, direct",525.0,551.25,20.0,51.0,
6124003,AMALGAM FILLING - ONE SURFACE  DECIDUOUS,Portal Dental,97511-01-00,"Metallic restoration of tooth, 1 surface, direct",178.5,187.425,20.0,51.0,
6124002,AMALGAM FILLING - ONE SURFACE  PERMANENT,Portal Dental,97511-01-00,"Metallic restoration of tooth, 1 surface, direct",262.5,275.625,20.0,51.0,
6124007,AMALGAM FILLING - THREE SURFACES  DECIDUOUS,Portal Dental,97511-02-00,"Metallic restoration of tooth, each additional surface, direct",357.0,374.85,20.0,51.0,
6124006,AMALGAM FILLING - THREE SURFACES  PERMANENT,Portal Dental,97511-02-00,"Metallic restoration of tooth, each additional surface, direct",446.25,468.5625,20.0,51.0,
6124005,AMALGAM FILLING - TWO SURFACES  DECIDUOUS,Portal Dental,97511-02-00,"Metallic restoration of tooth, each additional surface, direct",262.5,275.625,20.0,51.0,
6124004,AMALGAM FILLING - TWO SURFACES  PERMANENT,Portal Dental,97511-02-00,"Metallic restoration of tooth, each additional surface, direct",357.0,374.85,20.0,51.0,
