Service Code,Service Description,type,Fee,1/1/2026 FEE,Discount,Effective Date,Termination Date,Schedule Name,NPHIES Code
ENT-0019,DRAINAGE OF QUINCY,P1   ,1382.95,1397.0,0.0,2022-01-01 00:00:00, ,IP Package,41807-00-00
ENDOSCOPIC,ENDOSCOPIC ASSISTED ADENOIDECTOMY day case,P1   ,2259.04,2475.0,0.0,2022-01-01 00:00:00, ,IP Package,41801-00-00
FMENTP0001,NASOPHARYNGOSCOPY AND BIOPSY ET00352213,OS   ,91.8,91.8,15.0,2022-01-01 00:00:00, ,Main Pricelist,41764-02-00
ENT-0009,NASOPHARYNGOSCOPY WITH BIOPSY,P1   ,2762.65,2986.0,0.0,2022-01-01 00:00:00, ,IP Package,41764-02-00
6128009,BITE GUARD (BITE RAISING APPLIANCE),OS   ,1250,1250.0,15.0,2024-01-09 00:00:00, ,Notifications,97151-00-00
FMOPTG0007,GONIOTOMY OT00368213,OS   ,4293.84,4293.84,15.0,2022-01-01 00:00:00, ,Main Pricelist,42758-00-01
FMOPTC0012,MINOR LID LACERATION AN00368228,OS   ,168.11,168.11,15.0,2022-01-01 00:00:00, ,Main Pricelist,42740-03-01
FMOPTH0017,MICROPULSE LASER FOR RETINA,P1   ,6903,6972.0,0.0,2024-01-01 00:00:00, ,IP Package,42809-00-01
FMOPTK0006,BIOPSY OF ORBITAL TUMORS AN00368221,OS   ,3179.26,3179.26,15.0,2022-01-01 00:00:00, ,Main Pricelist,42533-01-01
MTOPT-0004,EXC. OF BIG CHALAZION /1 EYE OT00368201,OS   ,498.78,498.78,15.0,2022-01-01 00:00:00, ,Main Pricelist,42575-00-01
FMOPTC0013,MAJOR LID LACERATION AN00368230,OS   ,1668.74,1668.74,15.0,2022-01-01 00:00:00, ,Main Pricelist,30052-01-01
FMOPTC0014,TARSORAPHY OT00368229,OS   ,1589.63,1589.63,15.0,2022-01-01 00:00:00, ,Main Pricelist,42584-00-01
MTOPT-0013,ECTROPION . OT00368225,OS   ,1668.74,1668.74,15.0,2022-01-01 00:00:00, ,Main Pricelist,45626-00-01
FMOPTD0002,REM.OF MULTIPLE CONJUNCTI.F.B. AN00368279,OS   ,248.84,248.84,15.0,2022-01-01 00:00:00, ,Main Pricelist,30061-04-01
FMOPTD0004,REPAIR MILD CONJUNCTIVAL LAC. AN00368034,OS   ,236.98,236.98,15.0,2022-01-01 00:00:00, ,Main Pricelist,42632-02-01
VAS-0021,Excision of Haemangioma (Large),P1   ,10609,11144.0,0.0,2022-01-01 00:00:00, ,IP Package,45033-00-00
SMG1025,SURGICAL HAEMOSTAT NU-KNIT 7.5X10 CM ETHICON #1943,CM,595.13,595.13,15.0,2022-01-01 00:00:00, ,Consumables,15321
SMC48,CUP MEDICINE 1 OZ,CM,0.29,0.29,15.0,2022-01-01 00:00:00, ,Consumables,12505
MS-O-000122,ORTHO PACK  DISPOSABLE KIMBARLY CLARK # 88438-23,CM,329.53,329.53,15.0,2022-01-01 00:00:00, ,Consumables,12535
SMI6067,TRANSDUCER DOUBLE KIT DISP. OHMEDA BD #071-682032,CM,394.45,394.45,15.0,2022-01-01 00:00:00, ,Consumables,14119
SMI1396,OXY-VENT PORTEX #100/575/010,CM,43.94,43.94,15.0,2022-01-01 00:00:00, ,Consumables,12875
SMC1040,WOUND DRAINAGE CH12 MEDINORM #50-11-504/50-22-504E,CM,57.11,57.11,15.0,2022-01-01 00:00:00, ,Consumables,11305
SMA168,EYE-PAD 56x70MM #415450\1,CM,1.85,1.85,15.0,2022-01-01 00:00:00, ,Consumables,11661
MS-S-005019,SUTURE PROLENE 6/0 16MMX45CM ETHICON # W8005T,CM,70,70.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,13909
SMH2800,TROCAR BLADELESS XCEL 5MM ETHICON #B5LT,CM,487.27,487.27,15.0,2022-01-01 00:00:00, ,Consumables,15275
SMI9107,"BONNET DISP,F/BABY FLOW,MEDIUM DRAGER#8418535",CM,134.9,134.9,15.0,2022-01-01 00:00:00, ,Consumables,10243
MS-B-000542,BALLOON DILATOR URETERAL 5FR X 70CM GEOTEK #GUD-05,CM,1625.69,1625.69,15.0,2022-01-01 00:00:00, ,Consumables,64677
MS-I-000201,INTRODUCER BRAIDED (COIL TYPE) DIFFERENT SIZES BALTON,CM,329.53,329.53,15.0,2022-01-01 00:00:00, ,Consumables,64145
MS-R-000688,ROD 5.5X90MM CDH PREBENT. MEDTRONIC # 8690090,CM,377.86,377.86,15.0,2022-01-01 00:00:00, ,Consumables,63875
MS-B-001198,BOLT LOCKING 20MMX95MMX95MM CEMENTLESS J&J # 1975-20-095,CM,5228.56,5228.56,15.0,2022-01-01 00:00:00, ,Consumables,16077
MS-S-005460,SUTURE FIBER LOOP W/STRAIGHT NEEDLE ARTHREX #AR-7234,CM,281.2,281.2,15.0,2022-01-01 00:00:00, ,Consumables,16584
SMH2777,SUTURE MONOCRYL 4-0 26MM ETHICON #W3212,CM,82,82.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,16584
MS-C-001453,CANCELLOUS BLOCK 20X20X30MM # T00170INT,CM,0.87,0.87,15.0,2022-01-01 00:00:00, ,Consumables,17751
SUR-0124,SPLEENECTOMY(LAP.),P1   ,15468.88,16717.0,0.0,2022-01-01 00:00:00, ,IP Package,31470-00-00
FMENTD0008,TRIPLE ENDOSCOPY & BIOPSY,P1   ,3182.7,3215.0,0.0,2022-01-01 00:00:00, ,IP Package,30473-04-00
FMSUR-0225,INJECTION OF VARICOSE VEIN GS00388018,OS   ,625.47,625.47,15.0,2022-01-01 00:00:00, ,Main Pricelist,30478-07-00
FMSUR-0210,COMPLETE RECTAL PROLAPSE . OT00388261,OS   ,4541.65,4541.65,15.0,2022-01-01 00:00:00, ,Main Pricelist,32117-00-00
MS-H-000114,HUMERAL HEAD 15 DEG. S/STEEL 38MM TIPMED #019671,CM,0.86,0.86,15.0,2022-01-01 00:00:00, ,Consumables,52522
FMSUR-0304,LAPAROSCOPIC GASTRO-JEJUNOSTROMY,OS   ,8546.7,8546.7,15.0,2022-01-01 00:00:00, ,Additional Pricelist,30515-00-00
FMSUR-0286,LAPAROSCOPIC FUNDOPLICATION.,OS   ,5914.8,5914.8,15.0,2022-01-01 00:00:00, ,Additional Pricelist,30527-00-00
SUR-0066,LAP. CLOSURE OF PERFORATED D.U.,P1   ,11601.38,11717.0,0.0,2022-01-01 00:00:00, ,IP Package,30375-10-00
FMENDE0026,ELECTROCOAGULATION OF BLEEDING,OS   ,950,1017.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,90296-00-00
SUR-0131,LAP. STOMA ADJUSTED GASTRIC BANDING,P1   ,24307.62,24551.0,0.0,2022-01-01 00:00:00, ,IP Package,30511-11-00
MTSUR-0044,ANAL DILATION OT00388277,OS   ,1609.76,1609.76,15.0,2022-01-01 00:00:00, ,Main Pricelist,32153-00-00
MS-U-000039,UNDERWEAR  DISPOSABLE F/ OR PATIENT XXL SIZE KIMBERLY CLARK#E3050,CM,12.3,12.3,15.0,2022-01-01 00:00:00, ,Consumables,37899
MS-U-000038,UNDERWEAR  DISPOSABLE F/ OR PATIENT LARGE SIZE KIMBERLY CLARK#E3030,CM,2.63,2.63,15.0,2022-01-01 00:00:00, ,Consumables,37899
P16D.ARMS8+,"ARM SLING, NAVY SPECIALITY, LARGE, (DEROYAL) X 1 # 8004-05",CM,50,50.0,15.0,2024-01-07 00:00:00, ,Notifications,99999
FMSUR-0291,ILEOSTOMY,OS   ,2459.8,2632.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,30375-01-00
FMSUR-0095,CONGENITAL INTES. STRICTURES OT00388254,OS   ,3974.62,3974.62,15.0,2022-01-01 00:00:00, ,Main Pricelist,30564-00-00
FMXRY-0826,HEAD & NECK EMBOLIZATION OF EPISTAXIS,P1   ,41375.1,41789.0,0.0,2022-01-01 00:00:00, ,IP Package,35321-03-00
SUR-0005,REMOVAL OF PERNIEL SKIN TAGS L.A.,P1   ,664.42,671.0,0.0,2022-01-01 00:00:00, ,IP Package,32142-00-00
SMI2008,DRAIN CHEST 2 BTL.SET STERILE DEKNATEL #A-8000/8888-571299,CM,522.86,522.86,15.0,2022-01-01 00:00:00, ,Consumables,37475
SMI1179,CATHETER TRO.CHESTDRAIN 28CHX40CM ARGYLE#8888-561068/211-28,CM,138.42,138.42,15.0,2022-01-01 00:00:00, ,Consumables,37482
FMSUR-0219,LYMPH NODES BIOPSY (DEEP),OS   ,1985.55,2065.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,30075-00-00
MS-E-000251,ECHELON FLEX PWRD VASCULAR STP ETHICON # PVE35A,CM,3109.47,3109.47,15.0,2022-01-01 00:00:00, ,Consumables,35615
6128072,PARTIAL DENTURE 8-12 TEETH,OS   ,1200,1200.0,15.0,2024-01-09 00:00:00, ,Notifications,97721-00-00
FMENTL0004,MICRO - LARYNGOSCOPY OT00352311,OS   ,2925.84,2925.84,15.0,2022-01-01 00:00:00, ,Main Pricelist,41855-00-00
MS-R-000538,ROPE TIGHT 14 MM ABS W/BUTTON ROUND CONCAVE ARTHREX # AR-1588TB-4,CM,1089.65,1089.65,15.0,2022-01-01 00:00:00, ,Consumables,65038
MS-D-000001,DISINFECTANT ISOPROPYL ALCOHOL 70% SPRAY 250ML SKINDESS/NAPHCARE,CM,68,68.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,65043
FMENDA0001,BRONCHOSCOPY CA00352229,OS   ,2839.81,2839.81,15.0,2022-01-01 00:00:00, ,Main Pricelist,41889-05-01
ENT-0025,BRONCHOSCOPY WITH PROCEDURE,P1   ,3866.4,4178.0,0.0,2022-01-01 00:00:00, ,IP Package,41889-05-01
FMENDA0002,BRONCHOALVEOLAR LAVAGE,OS   ,241.8,241.8,15.0,2022-01-01 00:00:00, ,Additional Pricelist,41898-02-01
MS-N-000439,NEEDLE CURVED MENISCAL REPAIR DEVICE LINVATEC #MR004C,CM,0.87,0.87,15.0,2022-01-01 00:00:00, ,Consumables,47442
FMCTSS0001,CHEST TUBE INSERTION,OS   ,1962.67,2041.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,38806-00-00
FMSUR-0262,THORACOTOMY OT00388281,OS   ,5722.15,5722.15,15.0,2022-01-01 00:00:00, ,Main Pricelist,38418-00-00
CAR-0017,THORACOTOMY EVACUATION OF HEMOTHORAX AND SUTURING OF LUNG BLEBS,P1   ,39377.79,42561.0,0.0,2022-01-01 00:00:00, ,IP Package,38418-00-00
FMNUR-0061,TACHEOSTOMY TUBE CARE,OS   ,97.65,97.65,15.0,2022-01-01 00:00:00, ,Additional Pricelist,90179-06-00
FMENTK0002,CHANGE OF TRACHEOSTOMY TUBA,OS   ,477.41,477.41,15.0,2022-01-01 00:00:00, ,Additional Pricelist,92046-00-00
FMCAT-0025,PER CARDIAL SINTHESIS,OS   ,901.77,901.77,15.0,2022-01-01 00:00:00, ,Additional Pricelist,38359-00-00
FMCAT-0040,IMPLANTATION OF TEMP.PACEMAKER CA00381220,OS   ,1549.43,1611.0,15.0,2022-01-01 00:00:00, ,Main Pricelist,38256-01-00
FMCAT-0007,R.CARD. CATH W/O ANGIOGRAPHY CA00381206,OS   ,2952.02,2952.02,15.0,2022-01-01 00:00:00, ,Main Pricelist,38200-00-00
FMCAT-0008,L.CARD. CATH ONLY W/O ANGIOGRAM CA00381204,OS   ,3691.11,3691.11,15.0,2022-01-01 00:00:00, ,Main Pricelist,38203-00-00
SMI7980,BALLOON CATHETER PTCA ALL SIZES,CM,1489.74,1489.74,15.0,2022-01-01 00:00:00, ,Consumables,38300-00-00
FMCAT-0041,PRIMARY PCI WITHOUT THROMBUS ASPIRATION (without stent),OS   ,6895.85,6895.85,15.0,2022-01-01 00:00:00, ,Additional Pricelist,38300-00-00
SMH1271,SUTURE SILK ETHICON #W667H/(D+G #1093-51)/1084-51,CM,30.85,30.85,15.0,2022-01-01 00:00:00, ,Consumables,34601
MS-B-000302,BIPOLAR HEMI ARTHROPLASTY DIFFERENT SIZES,CM,8387.44,8387.44,15.0,2022-01-01 00:00:00, ,Consumables,33695
SMA2027,BUDS COTTON J&J.,CM,0.29,0.29,15.0,2022-01-01 00:00:00, ,Consumables,33722
SMI1660,GROMMET SHEPARD 1.14MM W/TEF.XOMED#10-28012/SPIGGLE#104115F,CM,35.15,35.15,15.0,2022-01-01 00:00:00, ,Consumables,33794
MS-S-004934,SCREW REDUCTION MONOAXIAL (NS3) SIZE 7.0x45MM IRINE #T04857045,CM,1020.37,1020.37,15.0,2022-01-01 00:00:00, ,Consumables,32859
MS-S-004857,SCREW REDUCTION MONOAXIAL (NS3) 6.0 X 40MM IRINE # T04856040,CM,1020.37,1020.37,15.0,2022-01-01 00:00:00, ,Consumables,32859
MS-P-002514,"PATCH DURA SUBSTITUTE 2X2"" DUREPAIR MEDTRONIC # 61100",CM,3075.63,3075.63,15.0,2022-01-01 00:00:00, ,Consumables,32327
VAS-0008,VARICOSE VEINS STRIPPING-UNILATERAL,P1   ,5524.21,5970.0,0.0,2022-01-01 00:00:00, ,IP Package,32508-00-01
FMDNTS0075,SOFT TISSUE BIOPSY DE00366480,OS   ,650.04,650.04,15.0,2022-01-01 00:00:00, ,Main Pricelist,51
FMDNTS0077,BIOPSY OF SOFT TISSUE - LARGE,OS   ,785.39,785.39,15.0,2022-01-01 00:00:00, ,Additional Pricelist,51
MS-B-000510,BAG VOMITING SIZE 1.5LTR GREATCARE#GCG305001,CM,4.61,4.61,15.0,2022-01-01 00:00:00, ,Consumables,36258
MS-W-000268,WIRE KIRSCHNER OLIVE 1.8 X 400MM TIPMED #080954,CM,184.54,184.54,15.0,2022-01-01 00:00:00, ,Consumables,35685
SMO2580,WIRE KIR.FLAT END TRO.1.0X150MM AESCULAP #LX110S/TREU#7-222,CM,32.14,32.14,15.0,2022-01-01 00:00:00, ,Consumables,35685
URO-0052,RESECTION & ANASTOMOSIS OR REIMPLANTATION OF URETER,P1   ,10496.54,11026.0,0.0,2022-01-01 00:00:00, ,IP Package,36588-01-00
SUR-0079,EXCISION OF HEPATIC CYST,P1   ,11049.51,11160.0,0.0,2022-01-01 00:00:00, ,IP Package,30414-00-00
FMENDE0042,COLORECTAL STENT INSERTION ED00352120,OS   ,867.06,867.06,15.0,2022-01-01 00:00:00, ,Main Pricelist,30491-00-00
FMURO-0014,SUPRAPUBIC CYSTOSTOMY OT00351204,OS   ,1703.25,1703.25,15.0,2022-01-01 00:00:00, ,Main Pricelist,37011-00-00
FMINT-0006,PARACENTESIS WS00515020,OS   ,124.97,124.97,15.0,2022-01-01 00:00:00, ,Main Pricelist,30406-00-00
FMOBG-0024,LAPAROSCOPIC EXAMINATION,OS   ,1527.8,1635.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,30390-00-00
FMPDS-0032,LAPAROTOMY NS00388245,OS   ,4172.73,4465.0,15.0,2022-01-01 00:00:00, ,Main Pricelist,30373-00-00
URO-0084,ULCER BLADDER (ENDOSCOPIC),P1   ,6630.14,6696.0,0.0,2022-01-01 00:00:00, ,IP Package,36840-03-00
SUR-0135,LAP.BILATERAL INGUINAL HERNIAL REPAIR,P1   ,17949.86,19301.0,0.0,2022-01-01 00:00:00, ,IP Package,30609-03-00
FMSUR-0200,REPAIR OF UMBILICAL HERNIA    (SMALL),OS   ,1007.86,1078.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,30617-00-00
URO-0072,INSERTION OR CHANGE OF SUPRAPUBIC URINARY CATHETER,P1   ,2430.44,2627.0,0.0,2022-01-01 00:00:00, ,IP Package,36800-01-00
ENDE0002,UPPER GI ENDOSCOPY,P1   ,1536,1551.0,0.0,2024-01-01 00:00:00, ,IP Package,30473-00-00
FMENTD0007,TRIPLE ENDOSCOPY (E-B-L),OS   ,2811.39,2811.39,15.0,2022-01-01 00:00:00, ,Additional Pricelist,30473-00-00
URO-0078,TOTAL CYSTECTOMY,P1   ,14915.91,15065.0,0.0,2022-01-01 00:00:00, ,IP Package,37014-00-00
FMOBG-0041,VESICO-VAGINAL FISTULA REPAIR OT00371231,OS   ,5450.63,5450.63,15.0,2022-01-01 00:00:00, ,Main Pricelist,37029-00-00
FMNEP-0002,REGULAR HEMODIALYSIS,OS   ,739,739.0,15.0,2024-01-01 00:00:00, ,Additional Pricelist,13100-00-00
URO-0008,True Cut Needle Biopsy- Cystoscopy,P1   ,2652.25,2679.0,0.0,2022-01-01 00:00:00, ,IP Package,36836-00-00
MS-T-001524,"TROCAR VERSA OPTICAL 11MM W/FIXATION CANNULA, COVIDIEN # ONB11STF",CM,660,660.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,38456
URO-0061,CYSTOURETHROSCOPY + DILATION BLADDER NECK (DIAGNOSTIC),P1   ,3866.4,3905.0,0.0,2022-01-01 00:00:00, ,IP Package,36803-00-00
MS-H-000297,HARMONIC ACE 23CM ERGONOMIC ETHICON# ACE23E,CM,3383.19,3383.19,15.0,2022-01-01 00:00:00, ,Consumables,38727
FMURO-0055,URETHRAL CATHETERIZATION WS00710032,OS   ,179.17,179.17,15.0,2022-01-01 00:00:00, ,Main Pricelist,36824-00-00
URO-0006,Cystoscopy + Insertion of DJ Stent,P1   ,5000,5404.0,0.0,2022-01-01 00:00:00, ,IP Package,36821-01-00
URO-0058,PERCUTANEOUS ASPIRATION OF RENAL CYST,P1   ,1657.81,1674.0,0.0,2022-01-01 00:00:00, ,IP Package,36624-01-01
MS-S-005484,SUCTION FLOOR PUDDLEVAC CONMED LINVATEC # 9321,CM,153.78,153.78,15.0,2022-01-01 00:00:00, ,Consumables,63648
P15BLOOD2+,BLOOD PRESSURE MONITOR ( BEURER ) BM40,CM,270,270.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,63087
SML98,SYRINGE 20ML W/O NEEDLE STERILE BD#9661 /THERUMO SS*20L,CM,2.02,2.02,15.0,2022-01-01 00:00:00, ,Consumables,63095
MS-S-007899,SOLUTION ANTISEPTIC POVIDONE IODINE 10% 240ML,CM,0.55,0.55,15.0,2022-01-01 00:00:00, ,Additional Pricelist,58089
SMI1536,CATHETER EMBOLECTOMY CH4/80CM RUSCH #337000/ISOMED#300480,CM,592.28,592.28,15.0,2022-01-01 00:00:00, ,Consumables,58174
MS-F-000281,FIBER REUSABLE SLIMLINE 365 MICRON LUMENIS #0642-148-60,CM,4745.25,4745.25,15.0,2022-01-01 00:00:00, ,Consumables,62184
MS-D-000144,DRESSING MEBO 60 X 120MM JULPHAR #6291100087464,CM,56.61,56.61,15.0,2022-01-01 00:00:00, ,Consumables,62184
MS-B-001832,BALLOON LUMINOR 14 PACLITAXEL ELUTING PTA DILATATION CATHETER ALL SIZES#SAUDI SICLI COMP#BPDPC14M SA,CM,6500,6500.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,62218
SMJ011,ELECTRODE ECG PREGELLED ADULT STERILE DISP 3M #2222.,CM,1.07,1.07,15.0,2022-01-01 00:00:00, ,Consumables,62641
SMA1014,DIAPER LARGE MOBILE 10-20KG,CM,2.52,2.52,15.0,2022-01-01 00:00:00, ,Consumables,35008
SMA1012,DIAPER INFANT 1/SMALL BOY (3-6 KG),CM,1.39,1.39,15.0,2022-01-01 00:00:00, ,Consumables,35008
MS-M-000246,MASK N95 NIOSH HEALTH CARE & SURGICAL PARTICULATE RESPIRATOR SIZE SMALL 3M#,CM,19.99,19.99,15.0,2022-01-01 00:00:00, ,Consumables,35177
SML1689,CANNULA NASAL OXYGEN NEONATES SALTERLAB #1610,CM,9.23,9.23,15.0,2022-01-01 00:00:00, ,Consumables,35201
MS-C-000289,CATHETER URETERAL OPEN END 6FR,CM,175.31,175.31,15.0,2022-01-01 00:00:00, ,Consumables,34926
MS-G-000737,GRAFT VASCULAR FILIXIENE GRADUATED WALL PTFF WITH DOUBLE SILDER GDS 4-7MMX45CM. MAQUET # 25138,CM,10000,10000.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,35281
MS-T-001635,Thoracic Endoprosthesis Vascular Graft Gore TAG Conformable 45mmx20cm,CM,93000,93000.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,35281
SMI8599,PORT ARTERIAL ADULT PAKUMED #111247A/111251A,CM,1402.49,1402.49,15.0,2022-01-01 00:00:00, ,Consumables,47888
MS-P-000252,PUTTY 1CC GRAFTON DBM OSTEOTECH #X43102 / MEDTRONIC #T43102INT,CM,2100,2100.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,47967
MS-P-002295,PLATE SMALL DCP 3.5 x 5 HOLES TIPMED #027850,CM,307.56,307.56,15.0,2022-01-01 00:00:00, ,Consumables,46649
MS-S-003743,SCREW SET CERVICAL VERTEX M6 SOFAMOR DENAK #6950315,CM,439.38,439.38,15.0,2022-01-01 00:00:00, ,Consumables,46651
MS-S-004786,SCREW PEDICLE POLYAXIAL 6.5×45MM IRENE #T04766545,CM,1202.58,1202.58,15.0,2022-01-01 00:00:00, ,Consumables,46651
SMH1487,"SKIN STAPLE EXTRACTOR ""PROXIMATE PSX"" #8039-12",CM,93.56,93.56,15.0,2022-01-01 00:00:00, ,Consumables,47192
MS-R-000159,RING HALF ALUMINIUM 180MM TIPMED #040637,CM,632.7,632.7,15.0,2022-01-01 00:00:00, ,Consumables,46453
SMI9040,STENT URETRAL D.J 6FRX28CM MICROVASIVE #175-264-05,CM,711.79,711.79,15.0,2022-01-01 00:00:00, ,Consumables,47053
SME1418,GLOVES EXAMINATION LATEX MEDIUM NON STRILE,CM,0.36,0.36,15.0,2022-01-01 00:00:00, ,Additional Pricelist,47172
NEU-0048,CERVICAL SPINAL FRACTURE (1 Day ICU ),P1   ,33146.36,33478.0,0.0,2022-01-01 00:00:00, ,IP Package,47696-00-00
FMNEU-0080,POSTERIOR LAMINECTOMY,OS   ,10834.5,11593.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,48654-00-00
FMORT-0505,SCAPULAR OST. EXC.FOR DEFM. OT00355271,OS   ,3219.4,3219.4,15.0,2022-01-01 00:00:00, ,Main Pricelist,48406-07-01
FMORT-0428,REPAIR OF RECURR  DISLOC OF SHOULDER,OS   ,3104.86,3104.86,15.0,2022-01-01 00:00:00, ,Additional Pricelist,47009-00-01
FMURO0020,TRANS-URETHRAL MEATOTOMY OT00351200,OS   ,1032.34,1032.34,15.0,2022-01-01 00:00:00, ,Main Pricelist,37321-00-00
FMORT-0815,REPAIR OF ROTATOR CUFF SHOULDER,OS   ,5634.32,5860.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,48906-00-01
FMURO-0190,MEATOPLASTY . OT00352208,OS   ,1754.11,1754.11,15.0,2022-01-01 00:00:00, ,Main Pricelist,37342-00-00
