Service Code,Service Description,Serv ice Type,Disco unt,Gross price Applicabl eEffective 1/5/2024,Gross price ApplicableEffective 1/1/2025    ,"Gross price Applicabl e
Effective 1/1/2026",Effective Date,Naphies,Notes
P15ACCUC16+,ACCU-CHECK INSTANT KIT,OS,0.25,273.6,287.28,301.64,,,
2019-0736,ACCU-CHECK INSTANT KIT.,OS,0.25,273.6,287.28,301.64,,,
MM06351SFD AA01,ACCU-CHECK INSTANT STRIP X 50,OS,0.25,2.19,2.3,2.41,,,
"P15ACCUC15
+",ACCU-CHECK INSTANT STRIP X 50.,OS,0.25,2.19,2.3,2.41,,,
MM06351SFD AA0148,ACCU-CHECK INSTANT STRIP X 50..,OS,0.25,2.19,2.3,2.41,,,
MDMA191104 95,ACCU-CHECK SOFTCLIX LANCETS X 200,OS,0.25,0.55,0.58,0.61,,,
P15ACCUC9+,ACCU-CHECK SOFTCLIX LANCETS X 200.,OS,0.25,0.55,0.58,0.61,,,
2019-0730,ACCU-CHEK PERFORMA GLUCOSE TEST STRIP X 50,OS,0.25,2.04,2.14,2.25,,,
MM00331SFD AA0005,ACCU-CHEK PERFORMA GLUCOSE TEST STRIP X 50 .,OS,0.25,2.04,2.14,2.25,,,
P15ACCU11+,ACCU-CHEK PERFORMA GLUCOSE TEST STRIP X 50.,OS,0.25,2.04,2.14,2.25,,,
MM00331SFD AA00,ACCU-CHEK PERFORMA GLUCOSE TEST STRIP X 50..,OS,0.25,2.04,2.14,2.25,,,
P15ACCU10+,ACCU-CHEK PERFORMA KIT,OS,0.25,263.21,276.37,290.19,,,
P15ACCU12+,ACCU-CHEK PERFORMA LANCET X 204,OS,0.25,0.55,0.58,0.61,,,
P15ACCU16+,ACCU-CHEK SOFTCLIX LANCET X 200,OS,0.25,0.56,0.59,0.62,,,
FMLAB-4001,ACETAMINOPHEN (PARACETAMOL),OS,0.25,575.07,603.82,634.01,,,
FMLAB-9004,ACETYLCHOLINE RECEPTOR ANTIBODIES,OS,0.25,830,871.5,915.08,,,
ORT-0042,Achilles Tendon Length,P1,0,4500,4725,"4,961.2
5",,,
FMORT-0295,ACHILLOOTENOTOMY,OS,0.25,2169.6,2278.08,"2,391.9
8",,,
FMLAB-2002,ACID PHOSPHATASE,OS,0.25,58.48,61.4,64.47,,,
FMLAB-1011,ACID PHOSPHATASE-STAIN,OS,0.25,70,73.5,77.18,,,
FMORT-0634,ACL RECONSTRUCTION FOR ARTHRO- SCOPY GRADE 1,OS,0.25,2400,2520,"2,646.0
0",,,
ORT-0081,ACL Reconstruction Grade II ( Complete Tear ),P1,0,18489,19413.45,"20,384.
12",,,
FMORT-0725,ACL RECONSTRUCTION GRADE II (COMPLETE TEAR) BY ARTHROSCOPY,OS,0.25,8208,8618.4,"9,049.3
2",,,
ORT-0048,ACL Reconstruction of Knee Ligament,P1,0,6500,6825,"7,166.2
5",,,
FMXRY-0012,ACROMIO CLAVICULAR JOINT,OS,0.25,146.21,153.52,161.2,,,
FMXRY-0014,ACROMIO CLAVICULAR JOINT W/& W/O WHGHT.BEAR- ING,OS,0.25,200,210,220.5,,,
FMLAB-9005,ACTH-ADRENOCORTICOTROPHIC HORMONE,OS,0.25,385,404.25,424.46,,,
27615,ACTILYSE TREATMENT SET,OS,0.25,4910.13,5155.64,"5,413.4
2",,,
SUR-0081,Acute Peritonitis / Laparotomy,P1,0,6258,6570.9,"6,899.4
5",,,
FMXRY-1029,ACUTE STROKE THROMBOLYSIS AND INTRA-ARTERIAL THROMBECTOMY,P1,0,65000,68250,"71,662.
50",,,
FMLAB-1728,ADAMTS-13,OS,0.25,600,630,661.5,,,
XR-A-000019,ADAPTOR FOR FULLY AUTOMATED CO2 INJECTOR 250 CM X0.2 ?M ANGIODROID #CO2-00001,OS,0.25,2000,2100,"2,205.0
0",,,
MS-A-000526,ADAPTOR FOR NAIL EXTRACTOR GR1 IMPLANTCAST #MA.30.09.55.1800.11,OS,0.25,2188.8,2298.24,"2,413.1
5",,,
CRCA030800,ADEL ABDELGAWAD ABDELAZIM,CO,0,100,125,150,,,
PLPL011368,ADEL MAYHOUB,CO,0,100,125,150,,,
CRCA011033,ADEL MAZEN,CO,0,100,125,150,,,
EDNR091375,ADEL MOHAMED OTHMAN,CO,0,100,125,150,,,
FMLAB-9277,ADENO VIRUS ABS (CSF` S),OS,0.25,362.59,380.72,399.76,,,
FMLAB-9339,ADENO VIRUS ANTIGEN DETECTION,OS,0.25,1091.66,1146.24,"1,203.5
6",,,
ENT-0016,Adenoidectomy,P1,0,2133,2239.65,"2,351.6
3",,,
FMENTP0003,ADENOIDECTOMY.,OS,0.25,782.4,821.52,862.6,,,
FMLAB-9297,ADENOSINE DEAMINASE/ENZYME ACTIVITY,OS,0.25,1200,1260,"1,323.0
0",,,
FMLAB-9340,ADH & OSMOLALITY,OS,0.25,245,257.25,270.11,,,
FMPSYA0040,ADHD,OS,0.25,185,194.25,203.96,,,
FMOBG-0199,ADHESIOLYSIS- MILD,OS,0.25,2046.87,2149.21,"2,256.6
7",,,
FMOBG-0197,ADHESIOLYSIS-EXCESSIVE,OS,0.25,4093.74,4298.43,"4,513.3
5",,,
FMOBG-0198,ADHESIOLYSIS-MODERATE,OS,0.25,3024,3175.2,"3,333.9
6",,,
P16ADJ-C1+,ADJUSTABLE SOFT CERVICAL COLLAR FUTURO (09027EN),OS,0.25,95.3,100.07,105.07,,,
P16ADJ-A1+,ADJUSTABLEPOUCHARMSLINGADULTFUTURO(46204EN),OS,0.25,54.72,57.46,60.33,,,
MS-A-000119,ADMINISTRATION SET F.INFUSION PUMP TERUMO # TE*PA300WY01,OS,0.25,40,42,44.1,,,
17571,ADMISSION KIT BLUE F/MALE PATIENT,OS,0.25,16,16.8,17.64,,,
17570,ADMISSION KIT RED F/FEMALE PATIENT,OS,0.25,16,16.8,17.64,,,
EDPL090804,ADNAN GELIDAN,CO,0,100,125,150,,,
SUR-0101,Adrenalectomy,P1,0,11000,11550,"12,127.
50",,,
FMLAB-9006,ADRENALINE (U or S),OS,0.25,745,782.25,821.36,,,
XR-A-000022,ADVANCED SYSTEM FOR CLOT RETRIEVAL - TREVO NXT STRYKER # 90412,OS,0.25,25000,26250,"27,562.
50",,,
FMLAB-6001,AFB (ACID FAST BACILLI ) SMEAR,OS,0.25,110,115.5,121.28,,,
FMLAB-2135,AFB SMEAR 3 SUCCESSIVE SAMPLES,OS,0.25,300,315,330.75,,,
FMLAB-3003,AFP (ALPHA FETOPROTEIN),OS,0.25,220,231,242.55,,,
IMNP010732,AHMAD NASR ALGHITANY,CO,0,100,125,150,,,
CSCS031085,AHMED ABDELAZIZ AHMED MOHAMMED,CO,0,100,125,150,,,
SRPL030885,AHMED ABDELMOEZ AHMED,CO,0,100,125,150,,,
ERER011275,AHMED ABDULHALIM AHMED ELSENOUSI,CO,0,100,125,150,,,
NENR030661,AHMED ABDULHAMID MOHAMED,CO,0,100,125,150,,,
URUR031153,AHMED ABDULLAH ABDALHAMID ALREFAEY,CO,0,100,125,150,,,
EDNE090267,AHMED ANDIJANI,CO,0,100,125,150,,,
NUNS011366,AHMED ASSEM,CO,0,100,125,150,,,
ERER050835,AHMED AZZAM,CO,0,100,125,150,,,
OROP011088,AHMED FAHEEM OTHMAN SALEM,CO,0,100,125,150,,,
IMIM031112,AHMED FAYSAL ELRAWY REFAIE,CO,0,100,125,150,,,
IMIM031078,AHMED FOUAD ANWAR ISMAIL,CO,0,100,125,150,,,
ERER081023,AHMED HASSAN MOHAMMED ZAIN ASAD,CO,0,100,125,150,,,
SRGS031122,AHMED MOHAMED ABDELFATAH,CO,0,100,125,150,,,
IMNP031091,AHMED MOHAMED ABDELHAMID ELSHARKAWY,CO,0,100,125,150,,,
ERER011210,AHMED MOHAMED ELHADIDY,CO,0,100,125,150,,,
DRDE010719,AHMED MOHAMED ELTAHERY,CO,0,100,125,150,,,
NUNS030671,AHMED MOHAMED NABIL,CO,0,100,125,150,,,
EDEN091302,AHMED MOHAMMED FAISAL ALMUTAIRI,CO,0,100,125,150,,,
URURO31352,AHMED MOSTAFA MOHAMMED ELBIALY,CO,0,100,125,150,,,
ETEN011398,AHMED NABIL ABDEL HAMID AHMED,CO,0,100,125,150,,,
ERER080997,AHMED OMER ADAM,CO,0,100,125,150,,,
URUR011090,AHMED SAID HUSSEIN MOHAMED,CO,0,100,125,150,,,
SRGS011313,AHMED ZAKAREYA YOUSIF,CO,0,100,125,150,,,
MAT,AIR MATRESS,OS,0.25,3.25,3.41,3.58,,,
018625,AIRWAY NASO PHARYNGEAL 6.0MM PORTEX #100/210/060,OS,0.25,49.8,52.29,54.9,,,
OGOB011306,AISHA AZIZ USMAN HAMEED,CO,0,100,125,150,,,
ERER080986,AL GHAZALI MOHAMED AL MUKHTAR,CO,0,100,125,150,,,
PAPE031028,ALAA MOHAMMED AHMED ABDELRAZIK,CO,0,100,125,150,,,
FMLAB-2003,ALBUMIN,OS,0.25,60,63,66.15,,,
FMLAB-2004,ALBUMIN & GLOBULIN,OS,0.25,87.72,92.11,96.71,,,
FMLAB-1622,ALBUMIN CREATININE RATIO (ACR),OS,0.25,300,315,330.75,,,
FMLAB-9007,ALDOLASE,OS,0.25,152,159.6,167.58,,,
FMLAB-9008,ALDOSTERONE (S or U),OS,0.25,392,411.6,432.18,,,
CRCA010752,ALI ABDELWAHAB ALI ELSHARKAWI,CO,0,100,125,150,,,
EDPA091017,ALI ABDU NASIR,CO,0,100,125,150,,,
EDPA091052,ALI AHMED AL SHEHRI,CO,0,100,125,150,,,
OROP031057,ALI SOBHY MOHAMMED ALI ELSHATLAWY,CO,0,100,125,150,,,
FMLAB-9009,ALKALINE LEUKOCYTE PHOSPHATASE (ALP),OS,0.25,200,210,220.5,,,
FMLAB-2005,ALKALINE PHOSPHATASE,OS,0.25,60,63,66.15,,,
036997,ALPHA 3,OS,0.25,117.65,123.53,129.71,,,
FMLAB-9346,ALPHA-1-ANTITRYPSIN (S),OS,0.25,349.92,367.42,385.79,,,
PAPE031016,ALYAA ALY FATHY MOSTAFA,CO,0,100,125,150,,,
CRCA030697,AMAL TALAAT ABDELHAMID,CO,0,100,125,150,,,
FMDNTF0004,AMALGAM CORE,OS,0.25,365,383.25,402.41,,,
FMDNTF0001,AMALGAM FILLING ONE S,OS,0.25,150,157.5,165.38,,,
FMDNTF0002,AMALGAM FILLING TWO S,OS,0.25,200,210,220.5,,,
FMDNTS0261,AMALGAM SIMPLE X6,OS,0.25,1423.06,1494.21,"1,568.9
2",,,
FMERDC0001,AMBULANCE W/ OR W/OUT NURSE    (RETURN JEDDAH),OS,0.25,165,173.25,181.91,,,
FMERDC0003,AMBULANCE W/ OR W/OUT NURSE    (RETURN MECCA),OS,0.25,885,929.25,975.71,,,
FMCARS0009,AMBULATORY BP MONITORING,OS,0.25,500,525,551.25,,,
FMLAB-9191,AMIKACIN (AMIKIN),OS,0.25,100,105,110.25,,,
FMLAB-9014,AMINO ACID (QUANT) IN URINE OR BLOOD,OS,0.25,2090,2194.5,"2,304.2
3",,,
FMLAB-2127,AMINO ACIDS IN PLASMA(KFSH),OS,0.25,1560,1638,"1,719.9
0",,,
P09AMIN10I,AMINOVEN INFANT 10% 250 ML / BTL,OS,0.25,95,99.75,104.74,,,
P18AMITR1T,AMITRIPTYLINE 10 MG TAB X 28 (TRYPTIZOL),OS,0.25,71.25,74.81,78.55,,,
FMLAB-2006,AMMONIA,OS,0.25,230,241.5,253.58,,,
FMLAB-9818,AMOEBIC ABS,OS,0.25,153.9,161.6,169.67,,,
FMSUR-3026,AMPUTAION METATARSAL,OS,0.25,1740,1827,"1,918.3
5",,,
OBG-0017,Amputation of Cervix,P1,0,4000,4200,"4,410.0
0",,,
ORT-0009,Amputation of Finger/Toe,P1,0,1500,1575,"1,653.7
5",,,
SUR-0063,Amputation of Limbs Gangrene,P1,0,6258,6570.9,"6,899.4
5",,,
ORT-0055,Amputation of Long Bones (Trauma/Congenital),P1,0,13511,14186.55,"14,895.
88",,,
FMSUR-3027,AMPUTATION TOE,OS,0.25,718.2,754.11,791.82,,,
CSCS030672,AMROSALEMABDELREHIM,CO,0,100,125,150,,,
FMLAB-2007,AMYLASE,OS,0.25,50,52.5,55.13,,,
FMLAB-9359,AMYLOID A,OS,0.25,506.84,532.18,558.79,,,
FMLAB-5001,ANA (ANTI-NUCLEAR ABS),OS,0.25,220,231,242.55,,,
FMLAB-9874,ANAEROBIC CULTURE,OS,0.25,170,178.5,187.43,,,
SUR-0013,Anal Dilatation,P1,0,2200,2310,"2,425.5
0",,,
FMSUR-9139,ANAL DILATATION.,OS,0.25,1440,1512,"1,587.6
0",,,
SUR-0042,"Anal Fissure Operation ,Sphincterectomy",P1,0,3100,3255,"3,417.7
5",,,
FMLAB-9185,ANCA,OS,0.25,400,420,441,,,
MS-A-000079,ANCHOR BIOPUSHLOCK 3.5 X 19.5MM ARTHREX # AR-1926B / AR-1926PS,OS,0.25,2838.17,2980.08,"3,129.0
8",,,
FMLAB-9361,ANDROSTENDIONE,OS,0.25,385,404.25,424.46,,,
NEU-0032,Aneurysm -Clipping without coils,P1,0,26133,27439.65,"28,811.
63",,,
NEU-0033,Aneurysm- Repair (Other),P1,0,29867,31360.35,"32,928.
37",,,
MS-A-000156,ANGIOPACK ADULT F/CATHLAB KIMAL #SA-K52408,OS,0.25,853.63,896.31,941.13,,,
FMXRY-0681,ANGIOPLASTY USING THREE BALLOONS,OS,0.25,43861.5,46054.58,"48,357.
30",,,
FMXRY-0680,ANGIOPLASTY USING TWO BALLOONS,OS,0.25,29241,30703.05,"32,238.
20",,,
FMLAB-9017,ANGIOSTENSIN-1 CONVERTING ENZYME (ACE),OS,0.25,200,210,220.5,,,
FMXRY-0071,ANKLE AP LATERAL,OS,0.25,120,126,132.3,,,
FMXRY-0072,ANKLE AP LATERAL OBL.,OS,0.25,150,157.5,165.38,,,
FMORT-0778,ANKLE LIGAMENT RECONSTRUCTION,OS,0.25,5760,6048,"6,350.4
0",,,
006392,ANKLE SUPPORT M,OS,0.25,41.95,44.05,46.25,,,
FMURO-1223,Anorectal EMG,OS,0.25,700,700,700,,,
FMURO-1222,Anorectal manometry,OS,0.25,2000,2000,2000,,,
FMOBG-0016,ANTENATAL (CTG)MONITORING/HR,OS,0.25,110,115.5,121.28,,,
FMORT-9929,ANTERIOR CERVICAL CORPECTOMY,OS,0.25,4873.5,5117.18,"5,373.0
3",,,
FMORT-9911,ANTERIOR CERVICAL DISCOTOMY PL,OS,0.25,3898.8,4093.74,"4,298.4
3",,,
OBG-0018,Anterior Colpoperrineorrahphy,P1,0,5000,5250,"5,512.5
0",,,
FMNEU-0108,ANTERIOR DISSECTOMY 2 LEVELS WITH CAGE,OS,0.25,5040,5292,"5,556.6
0",,,
FMORT-9954,ANTERIOR RELEASE AND INSTRUME-,OS,0.25,6335.55,6652.33,"6,984.9
4",,,
FMOBG-1020,ANTERIOR REPAIR (ANT. COLPORRHAPHY),OS,0.25,2565,2693.25,"2,827.9
1",,,
SUR-0104,Anterior Resection,P1,0,14000,14700,"15,435.
00",,,
OPT-0028,Anterior Vitrectomy,P1,0,3000,3150,"3,307.5
0",,,
FMLAB-9365,ANTI - JO-1,OS,0.25,564.3,592.52,622.14,,,
FMLAB-9186,ANTI BASAL MEMBRANE,OS,0.25,280,294,308.7,,,
FMLAB-1085,ANTI BODY IDENTIFICATION,OS,0.25,487.35,511.72,537.3,,,
FMLAB-5005,ANTI CMV IgG,OS,0.25,315,330.75,347.29,,,
FMLAB-5006,ANTI CMV IgM,OS,0.25,315,330.75,347.29,,,
FMLAB-5011,ANTI DNA DOUBLE STRAND,OS,0.25,275,288.75,303.19,,,
FMLAB-9018,ANTI DNA SINGLE STRAND,OS,0.25,969.34,1017.81,"1,068.7
0",,,
FMLAB-1726,ANTI FACTOR Xa (Heparin Assay),OS,0.25,1559.52,1637.5,"1,719.3
7",,,
FMLAB-9364,ANTI HU,OS,0.25,280,294,308.7,,,
FMLAB-1558,ANTI MULLERIAN ANTI BODIES,OS,0.25,640,672,705.6,,,
FMLABM0002,Anti Neuromyelitis Optica Antibodies,OS,0.25,,750,750,,,
FMLAB-9159,ANTI PHOSPHOLIPIDS,OS,0.25,1130,1186.5,"1,245.8
3",,,
FMLAB-1703,ANTI PLATELET ABS(BOUND&FREE),OS,0.25,3500,3675,"3,858.7
5",,,
FMLAB-5007,ANTI RUBELLA IgG,OS,0.25,150,157.5,165.38,,,
FMLAB-5008,ANTI RUBELLA IgM,OS,0.25,150,157.5,165.38,,,
FMLAB-2141,ANTI THYROGLOBULIN,OS,0.25,194.94,204.69,214.92,,,
FMLAB-5009,ANTI TOXOPLASMA IgG,OS,0.25,200,210,220.5,,,
FMLAB-1013,ANTI-BODY SCREENING,OS,0.25,150,157.5,165.38,,,
FMLAB-8134,ANTIBODY TITRATION,OS,0.25,653.05,685.7,719.99,,,
FMLAB-5087,ANTI-CCP (CYCLIC CITROLLINATED PEPTIDE ),OS,0.25,349,366.45,384.77,,,
FMLAB-5014,ANTI-HAV IgM,OS,0.25,220,231,242.55,,,
FMLAB-5013,ANTI-HAV TOTAL,OS,0.25,165,173.25,181.91,,,
FMLAB-5016,ANTI-HBc IgM,OS,0.25,220,231,242.55,,,
FMLAB-5015,ANTI-HBc TOTAL (HBC Abs),OS,0.25,165,173.25,181.91,,,
FMLAB-5017,ANTI-HEPATITIS C (HCV),OS,0.25,315,330.75,347.29,,,
FMLAB-9019,ANTI-LIVER SPEC.PROTEIN ABS (LSP),OS,0.25,475,498.75,523.69,,,
FMLAB-5004,ANTI-MITOCHONDRIAL SUBTYPE M 1-9,OS,0.25,164,172.2,180.81,,,
FMLAB-7001,"ANTI-NATAL PROF.:RUB,TOXO,VDRL AIDS,CBC,",OS,0.25,1627,1708.35,"1,793.7
7",,,
FMLAB-5012,ANTI-SMOOTH MUSCLE,OS,0.25,275,288.75,303.19,,,
FMLAB-1014,ANTI-THROMBIN III,OS,0.25,150,157.5,165.38,,,
FMLAB-1563,ANTI-TISSUE TRANSGLUTAMINASE IgA,OS,0.25,450,472.5,496.13,,,
ENT-0002,Antral Washout,P1,0,500,525,551.25,,,
FMPSYA0036,ANXIETY FOR CHILDREN & ADULT,OS,0.25,150,157.5,165.38,,,
FMXRY-0098,ANY AREA OR ORGAN 1 VIEW,OS,0.25,145,152.25,159.86,,,
VAS-0022,Aortic Bypass,P1,0,19947,20944.35,"21,991.
57",,,
39047,AORTIC PUNCH 4.0MM QUEST #RCC-40/DP-40K,OS,0.25,638.4,670.32,703.84,,,
FMCTS-0056,AORTIC VALVE REPLACEMENT,OS,0.25,7797.6,8187.48,"8,596.8
5",,,
VAS-0025,Aorto Bifemoral Bypass Graft,P1,0,19947,20944.35,"21,991.
57",,,
FMSUR-2078,APPENDECTOMY,OS,0.25,2257.2,2370.06,"2,488.5
6",,,
FMSUR-2079,APPENDECTOMY - COMPLICATED,P1,0,6175,6483.75,"6,807.9
4",,,
SUR-0061,Appendectomy Open,P1,0,3750,3937.5,"4,134.3
8",,,
FMORT-0647,APPLICATION OF EXTERNAL FIXATO R GRADE II,OS,0.25,1692.9,1777.55,"1,866.4
2",,,
18594,APRON PLASTIC WHITE LARGE DISPOSABLE,OS,0.25,8,8.4,8.82,,,
040295,ARM SLING M/S.,OS,0.25,45.6,47.88,50.27,,,
018602,ARM SLING STRAP CHILD SMALL SCOTT #1202-01,OS,0.25,38.3,40.22,42.23,,,
17768,ARM SLING STRAP LARGE SCOTT #1203-03/80/0-01,OS,0.25,32.23,33.84,35.53,,,
18603,ARM SLING STRAP MEDIUM SCOTT #1203-02/1204-DZ03,OS,0.25,27.93,29.33,30.79,,,
EDOP090816,ARMIN SKUGINNA,CO,0,100,125,150,,,
40295,ARMSLINGM/S.,OS,0.25,45.6,47.88,50.27,,,
18602,ARMSLINGSTRAPCHILDSMALLSCOTT#1202-01,OS,0.25,38.3,40.22,42.23,,,
EDDL101429,ARSLAN ZAFAR IQBAL,CO,0,100,125,150,,,
DMDL061166,ARSLAN ZAFAR IQBAL.,CO,0,100,125,150,,,
FMXRY-0572,ARTERIAL CLOSURE DEVICE,OS,0.25,4000,4200,"4,410.0
0",,,
SUR-0067,Arterial Embolectomy and Venous Thrombectomy,P1,0,8996,9445.8,"9,918.0
9",,,
FMANAP0018,ARTERIAL LINE 0018,OS,0.25,370,388.5,407.93,,,
VAS-0002,Arterio Venous Fistula (AV Fistula),P1,0,3911,4106.55,"4,311.8
8",,,
VAS-0013,Arterio Venous Graft (for Dialysis),P1,0,6364,6682.2,"7,016.3
1",,,
FMSUR-3011,ARTERIOVENOUS FISTULA AUTOGENOUS GRAFT,OS,0.25,3411.45,3582.02,"3,761.1
2",,,
FMSUR-3010,ARTERIOVENOUS FISTULA DIRECT,OS,0.25,3898.8,4093.74,"4,298.4
3",,,
FMDNTC107,ARTHROCENTHESIS (ONE SIDE),OS,0.25,5000,5250,"5,512.5
0",,,
FMDNTC108,ARTHROCENTHESIS (TWO SIDES),OS,0.25,8100,8505,"8,930.2
5",,,
ORT-0041,Arthrodeasis of the Big Toe,P1,0,4500,4725,"4,961.2
5",,,
ORT-0079,Arthrodesis (Knee/HIP/TB),P1,0,12500,13125,"13,781.
25",,,
ORT-0080,Arthroplasties,P1,0,16128,16934.4,"17,781.
12",,,
FMORT-0764,ARTHROSCOPIC BANKART REPAIR,OS,0.25,7310.25,7675.76,"8,059.5
5",,,
ORT-0084,Arthroscopic Rotator Cuff Repair,P1,0,10667,11200.35,"11,760.
37",,,
FMORT-0763,ARTHROSCOPIC ROTATOR CUFF REPAIR.,OS,0.25,7680,8064,"8,467.2
0",,,
ORT-0082,Arthroscopic Subacromial Decompression,P1,0,10667,11200.35,"11,760.
37",,,
FMORT-0762,ARTHROSCOPIC SUBACROMIAL DECOMPRESSION.,OS,0.25,4320,4536,"4,762.8
0",,,
FMNEU-3100,Deep Brain Stimulation Including The Implants - 5days,P1 ,0,,240000,252000,18/05/2025,,
ORT-0047,Arthroscopy Menisectomy,P1,0,5000,5250,"5,512.5
0",,,
FMORT-0770,ARTHROSCOPY OF ELBOW SURGICAL,OS,0.25,5848.2,6140.61,"6,447.6
4",,,
FMORT-0430,ARTHROSCOPY OF KNEE - SURGICAL,OS,0.25,2073.6,2177.28,"2,286.1
4",,,
