Code,Discription,Price,Class VIP A,SBS Mappping
FMODT-0090,GRADE IV MALOCCL. TOTAL,25586,28145,963
FMDNTO0025,GRADE VII MALOCCL TOTAL,25410,27951,963
FMPSDH0023,SKIN GRAFT WITH INTEGRA 15% + 3 SHEET,24409,26850,90672-01-00
FMDNTO0021,GRADE VI MALOCCL. TOTAL,22869,25156,963
FMORW-0045,BELOW KNEE PROSTHESIS WITHOUT  CUFF,22682,24951,96092-00-00
FMXRY-0942,IVC FILTER PLACEMENT,22495,24745,35330-00-01
FMNEP-0017,HEMODIALYSIS TYPE C1 (48 SE),22176,24394,13100-00-00
FMODT-0091,GRADE IV MALOCCLUSION TOTAL,22165,24382,963
FMCAT-0058,PERMANENT PACEMAKER INSERTION WITH V.V.I PACEMAKER SINGLE CHAMB,22000,24200,38353-00-00
FMODT-0025,GRADE VII MALOCCL. TOTAL,22000,24200,99999-99-99
FMORT-0855,ORIF FRATCTURE SUPRACONDYLAR FEMUR,22000,24200,47528-01-01
FMORT-0856,CLOSED REDUCTION + INTERNAL FIXATION OF FRACTURE NECK FEMUR,22000,24200,47519-00-01
FMODT-0085,GRADE III MALOCCL. TOTAL,21945,24140,963
FMORW-0070,POLIO ABOVE KNEE WALKING BRACE THIGH CUFF,21346,23481,96092-00-00
FMXRY-0927,CHEMOEMBOLIZATION,21098,23208,35321-10-00
FMXRY-0964,THROMBOLYSIS,21098,23208,96206-01-00
FMORT-0852,OPEN REDUCTION & INTERNAL FIXATION OF AVALSED PCL,20625,22688,49539-01-01
FMORT-0860,ORIF FRACTURE HEAD RADIUS,20625,22688,47408-01-01
FMORT-0861,OPEN REDUCTION OF ACROMIS CLAVISCULAS JOINT DISLOCATION & RE,20625,22688,47006-00-01
FMPSD-2005,DORGALIN PEDIA ISLAND FLAP,20625,22688,45563-00-00
FMPSD-2007,REPAIR OF COMPLETE CLEFT PALATE ONE STAGE,20625,22688,45707-00-00
FMURO-2086,LASER STONE DESINTIGRATION STAG HORN SINGLE KIDNEY,20625,22688,36546-00-00
FMORT-9907,OPEN REDUCTION & INTER FIXTION OF SEGMENTAL FRACTUR OF TIBIA,20504,22555,47566-01-01
FMXRY-0977,PERCUTANEOUS DISCECTOMY LUMBAR,20471,22519,40300-00-00
FMDNTO0017,GRADE V MALOCCL. TOTAL,20328,22361,963
FMODT-0017,GRADE V MALOCCLUSION TOTAL,20328,22361,99999-99-99
FMCAT-0040,AORTIC ILIAC ANGIOPLASTY SINGLE VESSAL,19800,21780,38300-00-00
FMCAT-0053,PTCA SV + ONE STENT (NORMAL STENT) B.M.S,19800,21780,38306-00-00
FMNEU-0175,ATTEMPT ENDOVASCULAR AVM EMBOLIZATION,19800,21780,35321-10-00
FMODT-0021,GRADE VI MALOCCLUSSION TOTAL,19800,21780,99999-99-99
FMORT-9980,ORIF FRACTURE SUPRACONDULAN HUMERUS COMMUNINATED,19800,21780,47459-01-01
FMLAB-9861,ONCOTYPE DX,19250,21175,73350-05-50
FMODT-0086,GRADE III MALOCCLUSSION  TOTAL,18997,20897,963
FMDNTO0060,GRADE SVERE MALOCCLUSION TOTAL,18821,20704,963
FMODT-0102,GRADE SVERE MALOCCLUSION TOTAL,18821,20704,963
FMCAT-0033,CORONARY STENTING PTCA TV (4 STENTS),18700,20570,38306-01-00
FMORW-0028,CHENEAU SCOLIOSIS BRACE,18678,20546,96092-00-00
FMORW-0040,FOREARM PROSTHESIS COSMETIC &  WORK HOOK,18678,20546,96092-00-00
FMORW-0041,UPPERARM PROSTHESIS & ELBOW JOINT COSMETIC,18678,20546,96092-00-00
FMORT-0764,CERVICAL DISCECTOMY + CAGE INSERTION,18656,20522,40333-00-00
FMODT-0080,GRADE II MALOCCL. TOTAL REM. STAGE I,18282,20111,963
FMODT-0113,GRADE VII MALOCCL IST DEPOSIT,18282,20111,963
FMXRY-0973,RECURRENT VARICOCELE EMBOLIZATION-BILATERAL,18271,20099,35321-06-00
FMNEU-0070,STEREOTACTIC TRIGIMINAL RHIZET OMY,18194,20014,40801-00-00
FMNEU-0091,STEREOTATIC GUIDED-CRANEOTOMY,18194,20014,40801-00-00
FMORT-0683,EXPLORATION AND REPAIR OF BRAC HIAL FLEXUS.,18194,20014,39300-00-00
FMORT-0556,ORTHOSIS V,18150,19965,96092-00-00
FMXRY-0475,I-131 (MIBG),18029,19832,61426-00-00
FMDNTO0013,GRADE IV MALOCCL. TOTAL,17787,19566,963
FMSUR-2144,LAP. GASTRIC BYPASS (GBP) FOR BARIATOXIC PAT,17501,19252,30512-03-00
FMPSDH0022,SKIN FRAFT WITH INTEGRA 10% + 2 SHEET,17353,19089,90672-01-00
FMORW-0069,POLIO ABOVE KNEE WALKING BRACE WITH TUBER SYSTEM,17347,19082,96092-00-00
FMNUM-0022,5 DAYS MONITORING,17325,19058,11000-00-00
FMNEP-0016,HEMODIALYSIS TYPE B2 (36SE),17155,18871,13100-00-00
FMOBG-0222,ABDOMINAL EXPLORATION,16995,18695,30373-00-00
FMXRY-0926,BLEEDING EMBOLIZATION,16874,18562,99999-99-99
FMXRY-0929,UTERINE FIBROID EMBOLIZATION,16874,18562,35321-06-00
FMXRY-0932,INFRAPOPLITEAL ANGIOPLASTY,16874,18562,90218-01-00
FMXRY-0934,MESENTRIC ANGIOPLASTY,16874,18562,90218-01-00
FMCAT-0032,CORONARY STENTING PTCA TV (3 STENTS),16500,18150,38306-01-00
FMDER-0215,MELANOCYTE CULTURE EXTRA-LARGE,16500,18150,90665-00-30
FMENTS0049,OTO ENDOSCOPIC CHOLESTEATOMA UNILATERAL,16500,18150,90119-00-01
FMORT-0848,FOUR CORNER FUSION,16500,18150,49203-00-01
FMORT-0862,ORIF AVULSED ACL,16500,18150,47566-05-01
FMORT-0863,ORIF ANTERIOR COLUMN ACETABULAR,16500,18150,47501-00-01
FMORT-0864,ORIF POSTERIOR COLUMN ACETABULAR,16500,18150,47501-00-01
FMORT-9920,OPEN REDUCTION OF DISTAL COMMINUTED FRACTURE,16500,18150,47366-00-01
FMORT-9979,OPEN REDUCT. & INT. FIXATION OF COMMINUTED FRACT. BILT WITH BONE GR,16500,18150,99999-99-99
FMORT-9984,ORIF BILATERAL CALVICLE,16500,18150,47465-01-02
FMPSD-2009,ISLAND FOREARM FLAP,16500,18150,45563-00-00
FMPSD-2012,ISLAND SURAL FLAP,16500,18150,45563-00-00
FMPSDF0026,3 TENDON TRANSFER FOR COMPLETE RADIAL NERVE PALSY,16500,18150,46417-00-01
FMSUR-3039,AORTIC ANEURYSM REPAIR ABDOMINAL,16500,18150,33115-00-00
FMSUR-3040,AORTIC ANEURYSM REPAIR A.BI-FEMORAL,16500,18150,99999-99-99
FMURO-0200,BURCH COLPOSUSPENSION,16500,18150,37044-01-00
FMODT-0108,GRADE VI MALOCCL. IST DEPOSIT,16478,18126,963
FMDNTS0254,COMPLICATED SURGERY FOR SEVER PAN FACIAL FRACTURE,16434,18078,90530-03-00
FMCAT-0049,CORONARY STENTING PTCA DV (4 STENTS),15862,17449,38306-01-00
FMODT-0081,GRADE II MALOCCLUSSION TOTAL REMOVABLE STAGE I,15818,17400,963
FMXRY-0928,MALFORMATION EMBOLIZATION,15466,17013,35412-00-00
FMXRY-0933,SUBCLAVIAN ARTERY ANGIOPLASTY,15466,17013,90218-01-00
FMXRY-0935,RENAL ANGIOPLASTY,15466,17013,35303-06-00
FMXRY-0962,GI STENTING,15466,17013,99999-99-99
FMODT-0013,GRADE IV MALOCCLUSSION TOTAL,15400,16940,99999-99-99
FMDNTO0009,GRADE III MALOCCL. TOTAL,15246,16771,963
FMORW-0030,SPINE BACE BY SPONDYLITIS,14680,16148,96092-00-00
FMODT-0071,GRADE 1- MALOCCLUSION TOTAL,14619,16081,963
FMODT-0103,GRADE V MALOCCL. IST DEPOSIT,14619,16081,963
FMODT-0114,GRADE VII MALOCCL 2ND DEPOSIT,14619,16081,963
FMORT-0555,ORTHOSIS IV,14575,16033,96092-00-00
FMDNTO0056,GRADE MODERATE MALOCCLUSION TOTAL,14476,15924,963
FMODT-0098,GRADE MODERATE MALOCCLUSION TOTAL,14476,15924,963
FMXRY-0476,SR-86 CI,14421,15864,61421-00-00
FMDNTS0248,MANDIBULAR ORTHOGNATHIC SEVER,14377,15815,366
FMCAT-0031,CORONARY STENTING PTCA TV (2 STENTS),14300,15730,38306-01-00
FMORT-0871,CAPIRATE REDUCTION OSTEOTOMY,14300,15730,90569-00-01
FMXRY-0930,AORTOILIAC ANGIOPLASTY,14058,15464,90218-01-00
FMXRY-0931,FEMO-POPLITEAL ANGIOPLASTY,14058,15464,90218-01-00
FMXRY-0952,URETERAL STENTING-BILATERAL,14058,15464,36821-01-00
FMXRY-0953,URETERIC STRICTURE DILATATION,14058,15464,36803-01-00
FMXRY-0960,VERTEBROPLASTY,14058,15464,35400-00-00
FMXRY-0961,RADIOFREQUENCY ABLATION,14058,15464,39109-00-00
FMENTE6026,COCHLEAR IMPLANT SURGERY,14020,15422,41617-00-01
FMORW-0058,UPPER & FOREARM ORTHOSIS + ELB OW JOINT,14014,15416,96092-00-00
FMENTE6044,HEARING AID-RELAY CM-115,14003,15404,96092-00-41
FMOPT-1024,LEUCENTIS INTRAVITREAL INJECTION,14003,15404,42740-03-01
FMPSD-2010,MULTIPLE TENDON SPACERS,14003,15404,90583-00-00
FMSUR-2145,GASTRIC SLEVE (LAPOROSCOPIC ),14003,15404,30511-09-00
FMCTSS0008,REPAIR OF CHEST WALL DEFECT,13860,15246,90176-00-00
FMCAT-0063,ADDITIONAL STENT,13750,15125,99999-99-99
FMCTS-0080,RE-EXPLORATION AFTER OPENHEART SURGERY,13750,15125,38418-00-00
FMCTS-0081,RIB FIXATION BY PLATE AND SCREWS,13750,15125,48409-10-00
FMENTS0047,FUNCTIONAL ENDOSCOPIC SINUS SURGERY BILATERAL,13750,15125,41764-01-00
FMPSD-2006,ZYGOMATIC ARCH PLATING FOR CHROMIC TMJ DISLOCATION ONE SIDE,13750,15125,47762-01-01
FMPSD-2017,ANTERO LATERAL THIGH FLAP HARVEST,13750,15125,90669-00-00
FMPSD-2019,CRANIOPLASTY (BONE GRAFT OR TITAM MESH),13750,15125,40600-01-00
FMPSDF0028,ORIF SUBCONDYLAR FRACTURE,13750,15125,47789-00-01
FMPSDF0029,ORIF LEFORTE III X MAXILLA,13750,15125,47786-00-01
FMPSDK0075,SURGICAL SET BACK OF PREMAXILLA IN COMPLTE CLEFT LIP & PALAT,13750,15125,52122-02-00
FMSUR-7019,EXCISION OF HAEMANGIOMA ARTERIOVENOUS MALFORMATION,13750,15125,39803-00-00
FMXRY-0229,4 INTRACRANIAL ARTERIES 1ST RN,13651,15017,59970-02-00
FMCAT-0048,CORONARY STENTING PTCA DV (3 STENTS),13596,14956,38306-01-00
FMENTE6071,HEARING AID RELAY-124-BTE,13596,14956,96092-00-41
FMDNTP0038,COMPLETE DENT.VITAL. TYPE III,13343,14678,97719-00-00
FMORW-0029,STAGNARA SCOLIOSIS BRACE,13343,14678,96092-00-00
FMDNTS0255,COMPLICATED SURGERY FOR PANFACIAL FRACTURE,13310,14641,90530-03-00
FMODT-0076,GRADE 1 MALOCCLUSION TOTAL,13277,14605,963
FMSUR-1067,SLEEVE GASTRECTOMY,13255,14581,30523-00-00
FMORT-9904,TOTAL KNEE REPLACEMENT (BILLATERAL),13244,14569,49519-00-00
FMCAT-0030,CORONARY STENTING PTCA TV (1 STENT),13200,14520,38306-00-00
FMENTE6017,HEARING AID PHILIPS P60PP/01,13200,14520,96092-00-41
FMODT-0009,GRADE III MALOCCLUSSION TOTAL,13200,14520,963
FMORT-0865,REPAIR OF PATELLER TENDON,13200,14520,47954-00-01
FMURO-0197,RADICAL CYSTECTOMY AND LYMPHADENECTOMY,13200,14520,37014-00-00
FMURO-0198,ANTERIOR PELVIS EXANTRATION,13200,14520,90450-00-00
FMXRY-9944,6 VESSELS CEREBRAL ANGIOGRAPHY,13200,14520,59970-02-00
FMDNTO0005,GRADE II MALOCCL. TOTAL REM.   STAGE I,13057,14363,963
FMORW-0109,G-II UNLOADER OA KNEE BRACE,12964,14261,97823-00-00
FMORW-0110,G-II UNLOADER ADJ KNEE BRACE,12964,14261,96092-00-00
FMODT-0087,GRADE IV MALOCCL. IST DEPOSIT.,12793,14073,963
FMODT-0123,GRADE VI MALOCCL. 2ND DEPOSIT,12793,14073,99999-99-99
FMNEU-0042,BRACHIAL PLEXUS EXPLORATION &  NERVE TRANSPLANTATION,12744,14019,39333-00-00
FMURO-0032,PENILE PROSTHESIS,12744,14019,37426-00-00
FMURO-0103,RESISTANT STONE REMOVAL (PKG),12744,14019,99999-99-99
FMURO-0104,PERCUTANEOUS NEPHROLITHOLOPAXY + OPEN SURGERY (KIDNEY STONES),12744,14019,36639-01-01
FMDNTO0026,GRADE VII MALOCCL. 1ST DEPOSIT,12705,13976,963
FMORW-0005,ORTHOSIS V,12705,13976,96092-00-00
FMDNTP0140,BRIDGE FULL ARCH,12331,13565,643
FMOPTL0024,LASIC PROCEDURE I (OUTSIDE),12309,13540,90064-01-01
FMNEU-0071,STEREOTACTIC ASPIRATION OF HAEMATOMA,12128,13341,99999-99-99
FMNEU-0072,STEREOTACTIC BRAIN TUMOR BIOPS Y,12128,13341,39703-00-00
FMNEU-0099,TRANS-NASAL PHYSICTOMY,12128,13341,30075-06-00
FMOBG-0116,REDUCTION MAMMOPLASTY EXTEN.,12128,13341,99999-99-99
FMORW-0027,BOSTON SCOLIOSIS BRACE,12012,13214,96092-00-00
FMORW-0063,BELOW KNEE ORTHOSIS LEATHER,12012,13214,96092-00-00
FMORW-0064,ABOVE KNEE ORTHOSIS THERMOPLAS T FREE KNEE,12012,13214,96092-00-00
FMCAT-0045,CORONARY STENTING PTCA SV (3 STENTS),11825,13008,38306-01-00
FMNEP-0015,HEMODIALYSIS TYPE B1 (24SE),11781,12960,13100-00-00
FMORW-0038,FOREARM PROSTHESIS COSMETIC,11743,12918,96092-00-00
FMDNTS0325,SURGICAL EXTRACTION OF 10 IMPACTED TEETH,11688,12857,323
FMSUR-2141,REMOVAL OF GASTRIC BAND,11671,12839,90942-00-00
FMORT-0342,"FOREARM,WRIST&HAND REATTACHMNT",11600,12760,90584-01-01
FMDNTO0052,GRADE MILD MALOCCLUSION TOTAL,11583,12742,963
FMODT-0094,GRADE MILD MALOCCLUSION TOTAL,11583,12742,963
FMCAT-0071,4 INTRACRANIAL ARTERIES/ 4 VESSEL CEREBRAL ANGIOGRAM,11550,12705,59970-02-00
FMCTS-0034,MUSCLE FLAP FOR CLOSURE OF PLEURAL POUCH,11550,12705,45009-01-00
FMCTSS0006,CLS OF BRONCHO-PLEURAL FISTULA,11550,12705,90176-00-00
FMNEU-0103,STEREOTACTIC PALLIDOTOMY,11550,12705,40801-00-00
FMNEU-0104,STEREOTACTIC THALLA MOTOMY,11550,12705,40801-00-00
FMNEU-0106,STEREOTACTIC BRACHY THERAPY,11550,12705,90764-00-00
FMXRY-9943,4 VESSELS CEREBRAL ANGIOGRAPHY,11550,12705,59970-02-00
FMDNTO0022,GRADE VI MALOCCL. 1ST DEPOSIT,11435,12579,963
FMCAT-0047,CORONARY STENTING PTCA DV (2 STENTS),11330,12463,38306-01-00
FMOPT-1025,INTRAVITERIAL INJECTION OF RANIBIZUMAB,11330,12463,42740-03-01
FMOPT-1027,CATARACT EXTRACTION BY PHACO+FOLDABLE 3 PIECE INTRAOULAR LEN,11330,12463,42698-05-01
FMXRY-0619,CAVA FILTER IMPLEMENTATION,11330,12463,35330-01-01
FMDNTS0238,MAXILARY ORTHOGNATHIC,11286,12415,365
FMXRY-0950,NEPHROSTOMY-BILATERAL,11253,12379,36552-00-02
FMXRY-0951,URETERAL STENTING-UNILATERAL,11253,12379,36821-01-00
FMXRY-0972,RECURRENT VARICOCELE EMBOLIZATION-UNILATERAL,11253,12379,35321-06-00
FMPTD-0066,LOCOMOTION THERAPY - 6S/1W/3M  6 SESSION/PER WEEK/,11220,12342,96131-00-00
FMENTN2061,TRANS-NASAL HYPOPHYSECTOMY,11215,12337,39715-03-00
FMORT-0668,CERVICAL ANTERIOR CORPECTOMY   GRAFT + PLATING,11039,12143,48639-00-00
FMORT-0669,RETRO PERITONIAL ANTERIOR SPINAL FIXATION,11039,12143,48678-00-00
FMORT-0672,CERV.POST. OPEN REDUC.INTERNAL FIXATION + FUSION,11039,12143,47699-01-00
FMCAT-0003,PERMANENT PACEMAKER IMPLANTATI ON,11000,12100,38353-00-00
FMCTS-0009,EXCISION OF CHEST WALL TUMOUR,11000,12100,31350-00-01
FMCTS-0012,REP.OF RUPTURE BRONC./TRACHEA,11000,12100,38453-08-00
FMCTS-0013,THORACOPLASTY,11000,12100,38427-00-00
FMCTS-0015,RESECTION OF SUP.SULCUS T.,11000,12100,38440-01-00
FMDER-0214,MELANOCYTE CULTURE LARGE,11000,12100,99999-99-99
FMOBG-0060,GIFT IVF PACKGE DEAL IST CLASS,11000,12100,13215-03-00
FMODT-0005,GRADE II MALOCCLUSSION TOTAL   REMOVABLE STAGE I,11000,12100,97961-00-00
FMONC-0028,METASTRON C RADIOACTIVE STRON- TIUM,11000,12100,16015-00-00
FMOPTH0015,ANTERIOR VITRECTOMY W/ REVL.   OF IOL,11000,12100,42731-01-01
FMORT-0837,RECYCLING OF BONE CONTAINING MALIGNAT TUMER WITH LIQUID NITROGEN,11000,12100,99999-99-99
FMORT-0869,PLICATION OF MEDIAL PATELLA RATINACULUM,11000,12100,90598-00-01
FMORT-0880,CORRECTION OF SCOLIOSIS DEFORMITY,11000,12100,90011-02-00
FMPSD-2003,REPAIR OF BILATERAL COMPLETE CLEFT LIP,11000,12100,45683-00-00
FMPSD-2008,OR MAJOR BURN DRESSING,11000,12100,30014-00-00
FMPSD-2011,ORIF OF COMMINUTED MANDIBLE,11000,12100,47789-00-01
FMPSD-2015,ARTERIAL ANASTOMOSIS OF FREE FLAP,11000,12100,45562-00-00
FMPSD-2016,VENOUS ANASTRMOSIS FOR FREE FLAP,11000,12100,45562-00-00
FMPSD-2018,VASCULAR EXPLORATION OF DONOR SITE FOR FREE FLAP,11000,12100,45562-00-00
FMPSDF0027,ORIF ZYGOMATIC ARCH,11000,12100,47765-00-01
FMPSDK0129,ORIF OF ANGULAR FRACTURE,11000,12100,47789-00-01
FMSUR-3029,AORTA BI-FERMORAL BYPASS,11000,12100,32708-01-00
FMSUR-3056,OPEN REMOVAL OF F.B IN BLOOD VESSELS,11000,12100,35360-01-00
FMURO-0199,URETRO-COLIC DIVERSION,11000,12100,90366-00-00
FMURO-1003,CYSTOTHROMPECTOMY EVACUATION OF UB ORGANIZED HEMATOMA BY OPE,11000,12100,90230-00-00
FMURO-2093,EXPLORATION FOR SUPRA RENAL MASS AND OPEN BIOPSY,11000,12100,36537-01-01
FMODT-0082,GRADE III MALOCCL. IST DEPOSIT,10978,12076,963
FMODT-0104,GRADE V MALOCCL. 2ND DEPOSIT,10978,12076,963
FMORT-0641,PERCUTANEOUS LAZER DISCECTOMY,10940,12034,40300-00-00
FMXRY-0231,CAROTID ATERY BILATERAL 1ST.RN,10912,12004,59970-02-00
FMDNTP0037,COMPLETEL DENT.VITAL.TYPE II,10676,11744,711
FMXRY-0986,BILATERAL ABLATION OF VARICOSE VEINS,10593,11653,32520-00-00
FMXRY-0958,VARICOCELE EMBOLIZATION-BILATERAL,10549,11604,35321-06-00
FMERDC0030,AMBULANCE W / NURSE & DOCTOR (MADINAH TO RIYADH),10527,11580,83500-00-80
FMORT-0692,VASCULARISED MUSCLE PEDICLE TRANSFER,10511,11563,47966-01-00
FMENTE6035,FITTING OF SIGNIA HEARING AID,10450,11495,96092-00-41
FMNEU-0117,ANEURYSM SURGERY (POST.CIRCULA TION),10395,11435,99999-99-99
FMIVF-0020,IVF-GIFT COMBINED,10313,11345,13215-00-00
FMPSD-2021,HARVESTING CLAVARIAN BONE GRAFT,10313,11345,99999-99-99
FMORT-9906,CLOSED RED. OF DIST. COMM. FX RTIBIA ILZAROV CIRCLR FRME FX.,10252,11278,47564-00-01
FMCAT-0044,CORONARY STENTING PTCA SV (2 STENTS),10197,11217,38306-01-00
FMCAT-0046,CORONARY STENTING PTCA DV (1 STENT),10197,11217,38306-00-00
FMSUR-3028,DISTAL INFRAPOPLITEAL BY-PASSES,10192,11212,99999-99-99
FMURO-0084,ANTI-INCONTINENCE OPERATIONS,10192,11212,99999-99-99
FMURO-0105,URETERORENOSCOPY + OPN SURGERY (URETER STONE),10192,11212,36806-02-00
FMURO-0128,POST TRAUMATIC OPEN URETHROPLA STY,10192,11212,37342-00-00
FMDNTO0001,GRADE I - MALOCCLUSION TOTAL,10164,11181,963
FMDNTO0018,GRADE V MALOCCL. 1ST DEPOSIT,10164,11181,963
FMDNTO0027,GRADE VII MALOCCL. 2ND DEPOSIT,10164,11181,99999-99-99
