S/No,ItemCode,Name,Price/ Unit,price of 1/2/2021,price of 1/2/2022,GMDN 1,GMDN 2,GMDN 3
39,MS-B-000452,BURR-2 BARREL D4.0MM FOR HI-LINE XS AESCULAP #GE544R,1071.0,1179,1297,43555,,
40,MS-B-000453,BURR-2 BARREL D6.0MM FOR HI-LINE XS AESCULAP #GE546R,1071.0,1179,1297,43555,,
41,MS-B-000454,BURR-2 CONE D4.0MM FOR HI-LINE XS AESCULAP #GE540R,1455.3,1601,1762,43555,,
42,MS-B-000455,BURR-2 CONE D6.0MM FOR HI-LINE XS AESCULAP #GE542R,1455.3,1601,1762,43555,,
43,MS-B-000456,BURR-3 ROSEN D2.3MM FOR HI-LINE XS AESCULAP #GE604R,1323.0,1456,1602,43555,,
44,MS-B-000457,BURR-3 ROSEN D3.1MM FOR HI-LINE XS AESCULAP #GE606R,1323.0,1456,1602,43555,,
45,MS-B-000458,BURR-3 ROSEN D5.0MM FOR HI-LINE XS AESCULAP #GE608R,2100.0,2310,2541,43555,,
46,MS-B-000459,BURR-3 DIAMOND D2.3MM FOR HI-LINE XS AESCULAP #GE614R,1323.0,1456,1602,43555,,
47,MS-B-000460,BURR-3 DIAMOND D3.1MM FOR HI-LINE XS AESCULAP #GE616R,1323.0,1456,1602,43555,,
48,MS-B-000461,BURR-3 DIAMOND D5.0MM FOR HI-LINE XS AESCULAP #GE618R,1323.0,1456,1602,43555,,
49,MS-B-000462,BURR XL-1 ROSEN D3.1MM FOR HI-LINE XS AESCULAP #GE706R,1452.6,1598,1758,43555,,
50,MS-B-000463,BURR XL-1 ROSEN D5.0MM FOR HI-LINE XS AESCULAP #GE708R,1452.6,1598,1758,43555,,
51,MS-B-000464,BURR XL-1 DIAMOND D3.1MM FOR HI-LINE XS AESCULAP #GE716R,1452.6,1598,1758,43555,,
52,MS-B-000465,BURR XL-1 DIAMOND D5.0MM FOR HI-LINE XS AESCULAP #GE718R,1452.6,1598,1758,43555,,
53,MS-B-000467,BLADE SHAVER AGGRESSIVE BURR 4.2MM MEDIUM GRAY KARL STORZ #28205HCS,1434.0,1578,1736,41499,,
54,MS-B-000482,BALLOON CATHETER RELIANT MEDTRONIC#AB46,8225.0,9048,9953,17184,,
55,MS-B-000489,BOLT FIXATION MULTIPLE PIN TIPMED #041917,3715.25,4087,4496,16077,,
56,MS-B-000490,BOLT RETAINING KIRSCHNER HALF PIN TIPMED #041887,1059.0,1165,1282,16077,,
57,MS-B-000491,BOLT RETAINING HALF PIN KIRSCHNER AND CUBES TIPMED #041894,1059.0,1165,1282,16077,,
58,MS-B-000492,BOLT SOCKET UNIVERSAL SINGLE PIN FIXATION TIPMED #041870,1059.0,1165,1282,16077,,
59,MS-B-000493,BOLT RETAINING UNIVERSAL HALF PIN TIPMED #041900,455.0,501,552,16077,,
60,MS-B-000494,BOLT SLOTTED TIPMED #042709,217.5,240,264,16077,,
61,MS-B-000495,BOLT CANNULATED SHORT TIPMED #125211,304.5,335,369,16077,,
62,MS-B-000496,BOLT CANNULATED LONG TIPMED #043836,297.5,328,361,16077,,
63,MS-B-000497,BOLT 16MM TIPMED #042679,50.0,55,61,16077,,
64,MS-B-000498,BOLT 30MM TIPMED #042686,66.5,74,82,16077,,
65,MS-B-000499,BOLT WITH HOLE ROD RETAINING TIPMED #043928,465.5,513,565,16077,,
66,MS-B-000510,BAG VOMITING SIZE 1.5LTR GREATCARE#GCG305001,6.83,8,9,36258,,
67,MS-B-000523,"BRUSH BIPOLAR HEMOSTATIC ERASER 23G, TIP STRAIGHT F/INFINITY PHACO MACHINE",595.0,655,721,35014,,
68,MS-B-000542,BALLOON DILATOR URETERAL 5FR X 70CM GEOTEK #GUD-05,1850.0,2035,2239,64677,,
69,MS-B-000546,BASIC VPAP AUTO 25 EASY BREATHE MACHINE W/ FULL MASK RESMED #26101,8287.5,9117,10029,60711,,
70,MS-B-000578,BALLOON SEQUENT PLEASE DRUG ELUTING ALL SIZES,7175.0,7893,8683,58760,,
71,MS-B-000658,BONE CEMENT DEPUY CMN 1GM 40G 1/BOX #3315040#,750.0,825,908,35217,46059.0,
72,MS-B-000736,BOUGIE DISPOSABLE 15CH PORTEX #100/123/515,105.0,116,128,41829,,
73,MS-B-000755,BONNET DISP. NASAL CPAP BABY FLOW X-LARGE DRAGER#8418537,203.0,224,247,10243,,
74,MS-B-000756,BONNET DISP. NASAL CPAP BABY FLOW XX-LARGE DRAGER#8418538,203.0,224,247,37591,57815.0,
75,MS-B-000770,BALLOON DRUG ELUTING PACIFIC IN-PACT INVATEC#MB-PAD,6912.5,7604,8365,58760,,
76,MS-B-000779,BALLOON HIGH PRESSURE PASEO-35 BIOTRONIC ALL SIZES,2775.0,3053,3359,47732,,
77,MS-B-000780,BALLOON DRUG ELUTING PTA PASEO-18 LUX BIOTRONIC ALL SIZES,9750.0,10725,11798,62218,,
78,MS-B-000800,BOLT CONNECTOR TWX SANATMETAL #257920009,22095.0,24305,26736,16077,,
79,MS-B-000806,BONE GRAFT GENEX 10CC OSTEOCONDUCTION+OSTEOINDUCTION BIOCOMPOSITES #900-010,9000.0,9900,10890,43999,,
80,MS-B-000812,BAG RETRIVAL SYSTEM INZII  12/15MM W/GUIDE BEAD F/BAG REOPENING APPLIED MEDICAL #CD004,665.0,732,806,62143,,
81,MS-B-000814,BOWL KIT ATLS2001 BT725  & EL2402-2 MEDTRONIC #ATLS24,1700.0,1870,2057,42891,,
82,MS-B-000866,BLADE SHAVER 4.2MM GREAT WHITE LINVATEC/CONMED #9299A,720.0,792,872,41499,,
83,MS-B-000890,BOTTLE REUSABLE F/ SUCTION MACHINE WALL MOUNTED 1.8 LTR. TEL#4800,1770.0,1947,2142,42446,,
84,MS-B-000896,BONE GRAFT GENEX 5CC OSTEOCONDUCTION+OSTEOINDUCTION BIOCOMPOSITES #900-005,2950.0,3245,3570,16966,,
85,MS-B-000899,BOWL KIDNEY PLASTIC 500CC SINGLE USE,8.75,10,11,42871,,
86,MS-B-000917,BLADE SHAVER BURR 5.0MMx13CM OVAL 8FLUTE ARTHREX #AR-8500OBE,1070.0,1177,1295,41499,,
87,MS-B-000922,BURR OVAL 12 FLUTE 5.5MM X 13CM #AR-8550OBT,566.4,624,687,43555,,
88,MS-B-000958,"BALLOON EXPANDABLE COVERED STENT ATRIUM AVANTA V12 7FR, 7X59MM MAQUET #85335",11539.5,12694,13964,62965,,
89,MS-B-000997,BLADE ST OSCIL 8.5 X 38 X 0.4MM #5071127,846.0,931,1025,43665,,
90,MS-B-000998,BLADE ST OSCIL 5 X 30 X.6MM #5071135,846.0,931,1025,43665,,
91,MS-B-000999,BLADE OSCIL FINE 5.5 X 25.5 X 0.6MM #5071246,846.0,931,1025,46476,,
92,MS-B-001001,BLADE ST OSCIL 9 X 41 X 0.4MM #5071134,846.0,931,1025,43665,,
93,MS-B-001002,BLADE OSCIL 25.4 X 90 X 1.0 X 1.0MM #5071562,1148.0,1263,1390,43665,,
94,MS-B-001003,BLADE OSCIL TAPER  25.4 X 95 X 1.0 X 1.0MM # 5071538,1148.0,1263,1390,43665,,
95,MS-B-001004,BLADE OSCIL 12.7 X 90 X 0.89MM # 5071-583,900.0,990,1089,43665,,
96,MS-B-001005,BLADE OSCIL X RIBBED 19.5 X 80 X 0.9MM COATED #5071-195,846.0,931,1025,43665,,
97,MS-B-001006,BLADE OSCIL 25 X 90 X 0.9MM #5071-146,846.0,931,1025,43665,,
98,MS-B-001007,BLADE OSCIL 25.4 X 90 X 0.9MM #5071-196,846.0,931,1025,43665,,
99,MS-B-001008,BLADE OSCIL 25.4 X 95 X 0.9MM #5071-121,846.0,931,1025,46476,,
100,MS-B-001009,BLADE OSCIL 19.5 X 95 X 0.9MM #5071-120,846.0,931,1025,43665,,
101,MS-B-001027,BLADE ST OSCIL 24.5 X 90 X 1.37MM #5071163,1050.0,1155,1271,43665,,
102,MS-B-001028,BALLOON PASEO 35 PTA VASCULAR BIOTRONIK #359545,1600.0,1760,1936,47732,,
103,MS-B-001029,BALLOON PASEO 18 CATHETER VASCULAR BIOTRONIK #366098,1900.0,2090,2299,47732,,
104,MS-B-001030,BALLOON PASEO 14 CATHETER VASCULAR BIOTRONIK #380271,1960.0,2156,2372,47732,,
105,MS-B-001043,BIOCOMPOSITE PUSH LOCK 4.5MMX28MM ARTHREX# AR-1922BCM,2115.0,2327,2560,45027,,
106,MS-B-001091,BIOFOAM 5ML SYRINGE WITH 1XSYRINGE PLUNGER & 4XSTANDARD TIP CRYOLIFE # BF1005,4375.0,4813,5295,58707,,
107,MS-B-001098,BONE GRAFT CANCELLOUS  4-10MM SOFAMOR # PCAN15410,2625.0,2888,3177,16966,,
108,MS-B-001100,BOLT FIXATION STAINLESS STEEL LENGTH 15MM MI#7185.150,66.5,74,82,16077,,
109,MS-B-001106,BOTTLE AGAINST OVERFLOW VICTORIA CHEIRON# 0-52-0002,455.525,502,553,42446,,
110,MS-B-001107,BALLOON RANGER PTA CATHETER 0.018 PACLITAXEL- COATED ALL SIZES BOSTON SCIENTIFIC #H749392198,7200.0,7920,8712,47732,,
111,MS-B-001108,BAG OXYGEN RESERVOIR AUTOCLAVABLE  ADULT F/ RESUSCITATOR AMBU#304000508,375.0,413,455,34877,,
112,MS-B-001118,BURR OVAL 4.0MMX13CM ARTHREX # AR-84000BE,595.0,655,721,43555,,
113,MS-B-001133,BALLOON MONO RX VIATRAC PLUS 6X40X135 ABBOTT#1008197-40,2100.0,2310,2541,47732,,
114,MS-B-001141,BRUSH SCRUB F/SURGICAL WITH CHLORHEXIDINE GLUCONATE SOLUTION 4%,6.25,7,8,35014,,
115,MS-B-001162,BUTTON DOG BONE ARTHREX # AR-2270,1030.0,1133,1247,No codes,,
116,MS-B-001186,BLADE SHAVER EXCALIBUR 4.2 MM X 16 CM ARTHREX # AR-6420EX,1120.0,1232,1356,41499,,
117,MS-B-001191,BONEGRAFT WEDGE FLIXER OSTEOTECH 15 X 15 X40MM # 60000215INT,8760.0,9636,10600,16966,,
118,MS-B-001198,BOLT LOCKING 20MMX95MMX95MM CEMENTLESS J&J # 1975-20-095,8925.0,9818,10800,16077,,
119,MS-B-001199,BONE GRAFT WEDGE 15MM ILIAC CREST . LIFENET # PICW5,6870.0,7557,8313,16966,,
120,MS-B-001208,BONE GRAFT CANCELLOUS WEDGE 11-16MM LENGTH 7MM HEIGHT LIFENET # PTCWP7,6842.5,7527,8280,46543,,
121,MS-B-001209,BALLOON VENOUS LARGE DIAMETER ATLAS GOLD  DIFF. SIZES ATLAS BARD #ATG,3500.0,3850,4235,44794,,
122,MS-B-001210,BALLOON DRUG COATED LUTONIX CORONARY DCB DIFF. SIZES BARD #9020,9067.5,9975,10973,17521,,
123,MS-B-001211,BLADE SHAVER 4.0MM X 13CM EXCALIBUR ARTHREX # AR-8400EX,595.0,655,721,41499,,
124,MS-B-001212,BOLT EXPANSION 61MM PROSTHESIS MP RECONSTRUCTION . LINK # 172-947/58,4319.0,4751,5227,16077,,
125,MS-B-001218,BONE GRAFT 5CC OPTIUM DBM PUTTY . LIFENET # TPUT05,4375.0,4813,5295,61884,,
126,MS-B-001220,BONE GRAFT 10CC PUTTY LIFENET # TPUT10,8730.0,9603,10564,46543,,
127,MS-B-001224,BLADE SHAVER 4.0MM X 13CM DOUBLECUT ARTHREX # AR-8400DC,1060.0,1166,1283,41499,,
128,MS-B-001225,"BURR CLEARCUT ROUND 8 FLUTE,4.0MMX13CM . ARTHREX # AR-8400CRE",1120.0,1232,1356,43555,,
129,MS-B-001227,BONE GRAFT 13MMX13MMX30MM CANCELLOUS MEDTRONIC # T00150INT,5810.0,6391,7031,46543,,
130,MS-B-001617,BALL 32 + 1GR ARTICUL/EZE JOH. & JOH. # 1365-21-000,2400.0,2640,2904,33175,,
131,MS-B-001618,BURR SHEAT 4.0MM HOODLES ARTHREX # AR-8400HSO,780.0,858,944,45115,,
132,MS-B-001619,BAG ISOLATION FOR LEVER SURGERY 3M # 1003,223.475,246,271,33522,,
133,MS-B-001630,"BED HOSPITAL ELECTRIC 3 MOTIONS WITH MATTRESS, SIDE RAILS & ACCESS. ACARE#HCB-5332",4025.0,4428,4871,16917,,
134,MS-B-001635,BLADE SAW DISPOSABLES KIT TIBIAL ACL . ARTHREX # AR-1898S,1780.0,1958,2154,43376,,
135,MS-B-001636,BALDE BANANA . ARTHREX # AR-6527-05,1240.0,1364,1501,32850,,
136,MS-B-001639,BAG MULTIBIC SOLUTION FRESENIUS # N/A,288.75,318,350,35127,,
137,MS-B-001640,BONE GRAFT 1CC PUTTY. LIFENET # TPUT01,1640.0,1804,1985,61884,,
138,MS-B-001646,BURR OVAL 8 FLUTE 4.0MM X 13CM ARTHREX # AR-8400OBE,1080.0,1188,1307,45553,36249.0,
139,MS-B-001660,BONE CEMENT SMARTSTGMV ENDURANCE GENT 40G. JOH. & JOH. # 3105-040,750.0,825,908,33982,,
140,MS-B-001679,"BALLON 35""POWRFLEX PTA,4400408X#CORDIS CORDIS # 4400408X",1875.0,2063,2270,47732,,
141,MS-B-001680,"BALLON 18""SABER PTA,OPEN ALL SIZES,48002004X#CORDIS CORDIS # 48002004X",2187.5,2407,2648,47732,,
142,MS-B-001682,BOLT LOCKING 4.5X32MM. IRENE # T40054532,147.0,162,179,16077,,
143,MS-B-001683,BOLT LOCKING 4.5X36MM. IRENE # T40054536,147.0,162,179,16077,,
144,MS-B-001684,BOLT LOCKING 4.5X40MM. IRENE # T40054540,147.0,162,179,16077,,
145,MS-B-001685,BOLT LOCKING 4.5X44MM. IRENE # T40054544,147.0,162,179,16077,,
146,MS-B-001686,BOLT LOCKING 4.5X48MM. IRENE # T40054548,147.0,162,179,16077,,
147,MS-B-001687,BOLT LOCKING 4.5X52MM. IRENE # T40054552,147.0,162,179,16077,,
148,MS-B-001688,BOLT LOCKING 4.5X56MM. IRENE # T40054556,147.0,162,179,16077,,
149,MS-B-001689,BOLT LOCKING 4.5X60MM. IRENE # T40054560,147.0,162,179,16077,,
150,MS-B-001690,BOLT LOCKING 4.5X64MM. IRENE # T40054564,147.0,162,179,16077,,
151,MS-B-001692,BOLT LOCKING 4.5X72MM. IRENE # T40054572,147.0,162,179,16077,,
152,MS-B-001693,BOLT LOCKING 4.5X76MM. IRENE # T40054576,147.0,162,179,16077,,
153,MS-B-001694,BOLT LOCKING 4.5X80MM. IRENE # T40054580,147.0,162,179,16077,,
154,MS-B-001695,BOLT LOCKING 4.5X84MM. IRENE # T40054484,147.0,162,179,16077,,
155,MS-B-001706,BALL HEAD 28MMX12/14 -1.5 . JOH. & JOH. # 1365-11-500,4200.0,4620,5082,33175,,
156,MS-B-001707,BONE GRAFT PCANBLOCK CANCELLOUS 20X20X30MM. LIFENET # PCANBLOCK,5600.0,6160,6776,47872,,
157,MS-B-001711,"BONE LEVER HOHMANN 8MM,SHRT NROW . ORTHOSELECT # 6900-1-0033",500.0,550,605,35048,,
158,MS-B-001733,BIT DRILL Y-KNOT 1.8MM # Y18D / OR EQUIVALENT  SMITH & NEPHEW #72203856,1400.0,1540,1694,43390,,
159,MS-B-001745,BONE GRAFT PUTTY 10CC . LIFENET # T43110INT,8595.0,9455,10401,61884,,
160,MS-B-001750,BOTTLE F/BREAST MILK FEED STORAGE NUBY# 10367671,10.5,12,14,42446,,
161,MS-B-001755,"BONE BLOCK TRICORTICAL MEDIUM (L 20X30MM) ,(W 15X18MM),(T1 , 7MM,(T2 , 4M. MEDTRONIC # T00210INT",7305.0,8036,8840,16966,,
162,MS-B-001756,"BALHEAD 32MM+9 , 12/14 CERAMIC. JOH. & JOH. # 136532330",2625.0,2888,3177,33175,,
163,MS-B-001757,"BAL HEAD FEMORAL 28MM+5, 12/14 TAPER. JOH. & JOH. # 1365-12-000",2625.0,2888,3177,44855,,
164,MS-B-001759,BALL HEAD 36MM +12 / 12/14 TAPER . JOH. & JOH. # 1365-54-000,3600.0,3960,4356,33175,,
165,MS-B-001760,BONE ACCELL CONNEXUS 10CC Sea spine # 20-3000-100,8137.5,8952,9848,43999,,
166,MS-B-001769,BAG COLOSTOMY PREMIE POUCH CUT-TO-FIT UP TO 15MM HOLLISTER # 3777,35.6895,40,44,61021,,
167,MS-B-001770,BAG COLOSTOMY NEW BORN POUCH CUT-TO-FIT 35MMX22MM HOLLISTER # 3778,71.16,79,87,61021,,
168,MS-B-001771,"BONE GRAFT ACCELL CONNEXUS,5CC Sea spine # 02-3000-050",4896.45,5387,5926,43999,,
169,MS-B-001773,BONE GRAFT ACCELL CONNEXUS 1CC. Sea spine # 02-3000-010,1883.26,2072,2280,43999,,
170,MS-B-001776,BONE GRAFT ACH TENDON W/BLOCK 160 FROZEN . LIFENET # FATB,19500.0,21450,23595,16966,,
171,MS-B-001781,"BRUSH SCRUB SPONGE WITH POVIDONE IODINE 7,5%7.5. COREMEC ITALY # P273",2.0,3,4,47077,,
172,MS-B-001782,BALL HEAD MODULAR FOR TOTAL HIP PROTHESIS WITH NECK M. HIPOKRAT # 172.0800,1200.0,1320,1452,33175,,
173,MS-B-001784,BALL HEAD FEMORAL 28MM+8.5 / 12/14 TAPER. JOH. & JOH. # 1365-30-000,3600.0,3960,4356,33175,,
174,MS-B-001785,BANDAGE ELASTIC ADHESIVE 5CMX4.5M TENSOPLAST BSN#4037,77.0,85,94,33536,64560.0,
175,MS-B-001788,BONE GRAFT ACCELL CONNEXUS 2.5CC. FZIOMED # 02-3000-025,3544.5,3899,4289,43999,,
176,MS-B-001790,BONE GRAFT ACCELL EVO3 1CC. Sea spine # 02-5000-010,1741.5,1916,2108,43999,,
177,MS-B-001794,"BALL HEAD PROSTHESIS ""B""28MM H/N 1,49.5MM . LINK # 128-747",2275.0,2503,2754,33175,,
178,MS-B-001795,BOTTLES SUCTION WITH COVER 1800 LTR FOR SUCTION MACHINE. OXYLITRE # ESS200,2275.0,2503,2754,42446,,
179,MS-B-001798,BALL HEAD ARTICULAR/EZE 32MM+5BR . JOH. & JOH. # 1365-22-000,2625.0,2888,3177,33175,,
180,MS-B-001799,BONE GRAFT PINNACLES GRITION REVISION AUGMENT 20MM 54MM/56MM. JOH. & JOH. # 1217-20-354,8250.0,9075,9983,61780,,
181,MS-B-001802,"BALLOON EXPANDABLE VIABAHN,DIFFERENT SIZES#GORE MEDICAL USA#BXAXXXX2E GORE # BXAXXXX2E",21375.0,23513,25865,62218,,
182,MS-B-001817,BLOCKS FOR HALF PINS HOLES 3 HIPOKRAT # D176000003,1080.0,1188,1307,35897,,
183,MS-B-001819,BONE GRAFT ILIAC CREST (TRICORTICAL) 25MM WEDGE HEIGHT-PRESERVON. LIFENET # PICW2.5,7848.75,8634,9498,16966,,
184,MS-B-001823,BIPAP BI-LEVEL VENTILATOR WITH EVAPS  FEATURE AND HUMIDIFIER A30 PHILIPS # 1076491,24750.0,27225,29948,36990,,
185,MS-B-001827,BLADE SHAVER TRICUT ROTATE 4MM M4 F/ ENT SURGERY MEDTRONIC # 1884004HR,1900.0,2090,2299,41499,,
186,MS-B-001828,BLADE DERMATOME . HUMECA # 5D80BL-10,332.5,366,403,35134,37472.0,
187,MS-B-001832,BALLOON LUMINOR 14 PACLITAXEL ELUTING PTA DILATATION CATHETER ALL SIZES#SAUDI SICLI COMP#BPDPC14M SA,6650.0,7315,8047,62218,,
188,MS-B-001844,"BLADE HELICAL TFNA PERFORATED, L100MM, SYNTHES # 04.038.400S",4103.75,4515,4967,47788,,
189,MS-B-001852,BALL HEAD FEMORAL  ARTICUL/EZE SIZE 32MM+9. JOH. & JOH. # 1365-23-000,4200.0,4620,5082,33175,,
190,MS-B-001860,BOLT SHORT M6X10MM.HIPOKRAT #D149000010,7.0,8,9,16077,,
191,MS-B-001874,"BOLT SCREW EXPANSION L 41MM, COCRMO ALLOY # LINK / 172-947/38",1500.0,1650,1815,16077,,
192,MS-B-001877,BOTTLE SUCTION GYNE STORZ#20300050,1334.0,1468,1615,42446,,
193,MS-B-001880,BLADE REFLAX ULTRA 45 WAND FRO TURBINECTOMY SMITH & NEPHEW #AIC 4845-01,2100.0,2310,2541,43665,,
194,MS-B-001881,BLADE REFLAX ULTRA SP WAND SNORING & UPPP  SMITH & NEPHEW #AIC 4857-01,2800.0,3080,3388,43665,,
195,MS-B-001894,BLADE HOOK MEDIUM NARROW RAMPED THORACIC CDH LEGACY SOFAMOR DANEK. MEDTRONIC #7541143,1900.0,2090,2299,61324,,
196,MS-B-001908,BONE GRAFT CHIPS CANCELLOUS (HUMAN) 5CC. CONNECT  #GC.10005,1800.0,1980,2178,16966,,
197,MS-B-001924,BACK SUPPORT 2X3X,191.0,211,233,41443,,
198,MS-B-001925,BIFURCATED STRAIGHT INFLOW & OUTFLOWSET SET F/ HP BELMONT MEDICAL #902-00038,2900.0,3190,3509,No codes,,
199,MS-B-001927,BONE GRAFT CREST WEDGE (ACF)9MM THICKNESS #MTF ;400401,10125.0,11138,12252,58890,,
200,MS-B-001928,"BOLT ADAPTER FEMORAL OFFSET +2/-2 . JOH,JOH #96-0784",6125.0,6738,7412,16077,,
201,MS-C-000275,CATHETER EXPORT ASPIRATION 6FR,2460.5,2707,2978,37232,,
202,MS-C-000288,CUP VARIO SIZE 28MM/50MM,3000.0,3300,3630,48088,,
203,MS-C-000289,CATHETER URETERAL OPEN END 6FR,199.5,220,242,34926,,
204,MS-C-000299,CATHETER BALLOON SYMMETRY ALL SIZES.,1977.9375,2176,2394,17184,,
205,MS-C-000592,CAGE STAND ALONE 16X14X7MM SOFAMOR #4210764,5600.0,6160,6776,60762,,
206,MS-C-000618,CLIPS LIGATING YELLOW SIZE LARGE ETHICON #LT400,140.0,154,170,35649,,
207,MS-C-000634,CLIP APPLIER ENDO 12MM LARGE ETHICON #ER420/AUTOSUTURE #176625,1200.0,1320,1452,38143,,
208,MS-C-000636,CATHETER VENTRICULAR CSF MEDTRONIC #41101/01101,1500.0,1650,1815,61798,,
209,MS-C-000637,CATHETER PERITONEAL CSF MEDTRONIC/BMI #43522/03105M,1500.0,1650,1815,45694,,
210,MS-C-000640,CLIP MEDIUM PREMIUM TITANIUM  AUTOSUTURE #134031/MCM20,1329.66,1463,1610,47462,,
211,MS-C-000643,CUP ACETABULAR METAL CASING SIZE:44MM LINK# 290-300/44,6702.5,7373,8111,56642,,
212,MS-C-000656,CLIP ENDO 5MM 12M/L TITANIUM COVIDIEN #176620,1925.0,2118,2330,65058,,
213,MS-C-000658,CLIP LIGA MCA LARGE ETHICON #MCL20,1080.0,1188,1307,36126,,
214,MS-C-000725,CLAMP PIN-ROD 4.0-5.0-6.0/11 F/LOWER LIMBS TYPE 2 IRINE #F03003,465.5,513,565,44759,,
