Service Code,Description,Price 2022 ,Type,LOS
ENT-0036,Cordopexy,7019.54859375,PKG,2 days
ENT-0037,Functional Endoscopy Sinus Surgery Grade 1 (F.E.S.S.),8933.9709375,PKG,3 Days
ENT-0038,Operation for Malignant Tumour in ENT,17867.941875,PKG,5 Days
ENT-0039,Functional Endoscopy Sinus Surgery Grade 2 (F.E.S.S.),11486.534062499999,PKG,2 days
ENT-0040,Tympanoplasty,12252.303,PKG,4 Days
ENT-0041,Functional Endoscopy Sinus Surgery Grade 3 (F.E.S.S.),11486.534062499999,PKG,2 days
ENT-0042,External Frontal Operation,12252.303,PKG,4 Days
ENT-0043,"Bilateral Linear Caute, Inferior Turbinate",2552.5631249999997,PKG,day case
ENT-0044,External Ethmoid Operation,12252.303,PKG,4 Days
ENT-0045,Correction of Deviated Nasal Septum,7657.689375,PKG,3 Days
ENT-0046,Stapedectomy,13528.5845625,PKG,4 Days
ENT-0047,Laser Assited Uveloplatoplasty (Laup),6381.4078125,PKG,2 days
ENT-0048,Operation on Vocal Cord E.G. Woodman,15315.37875,PKG,4 Days
ENT-0049,Microlaryngoscopy with Procedure,7657.689375,PKG,2 days
ENT-0050,Arytenoidectomy,14741.052102,PKG,4 Days
ENT-0051,Radical Mastoidectomy + Tympanoplasty,15315.37875,PKG,4 Days
ENT-0052,Tumour of the Vocal Cords,11486.534062499999,PKG,1 day
ENT-0056,ENDOSCOPIC ASSISTED ADENOIDECTOMY,7938.0,PKG,2 DAYS
FMACUA0002,ACUPUNCTURE THERAPY,255.25631249999998,service,
FMACUA0003,TRIGGER POINT INJECTION,255.25631249999998,service,
FMACUA0006,HYPNOSIS,159.53516775,service,
FMACUA0010,STELLATE GANGLION BLOCK,1531.537875,service,
FMACUA0011,SIMPLE PER.NERVE INJECTION,1531.537875,service,
FMACUA0016,ACUPUNCTURE PER SESSION,191.4422895,service,
FMACUA0017,ACUPUNCTURE COURSE 10 SESSIONS,1550.6821260000002,service,
FMACUA0018,ACUPUNCTURE COURSE 7 SESSION,1257.1373115000001,service,
FMACUA0019,ACUPUNCTURE COURSE 5 SESSION,893.3970937500001,service,
FMACUA0020,MOXIBUSTION / STICK,191.4422895,service,
FMACUA0021,CUPPING - AREA,108.48390524999999,service,
FMACUA0022,TRIGGER POINT STIMULATION,159.53516775,service,
FMACUA0023,TRANSNERVE STIMULATION,268.01918325,service,
FMACUA0024,SLEEP INDUCING ACUPUNCTURE     FOR INSOMNIA,268.01918325,service,
FMACUA0025,ACUPUNCTURE MEDEL,12.762870750000001,service,
FMACUA0026,ACUPUNCTURE FOR OBESCITY,510.51262499999996,service,
FMACUA0028,DEPILATION H REMOVAL 30 MINS,287.163324,service,
FMADM-9901,Use Of Facility - Second Class,446.698602,service,
FMADM-9902,Use Of Facility - First Class,765.7689375,service,
FMADM-9904,Use Of Facility - Normal Suite,1276.2815624999998,service,
FMADM-9906,Use Of Facility - Icu,1403.90971875,service,
FMADM-9907,Use Of Facility - Ccu,1531.537875,service,
FMADM-9908,Use Of Facility - Neonatal / Peadiatric Icu,1531.537875,service,
FMANA-0002,LUMBAR PUNCTURE,312.68895525000005,service,
FMANA-0003,C.P.R. 1ST FOR THE DAY,1550.6821260000002,service,
FMANA-0004,C.P.R. 2ND FOR THE DAY,938.0669760000001,service,
FMANA-0005,C.P.R. 3RD FORTHE DAY,625.37802075,service,
FMANA-0006,CARDIAC MONITORING/30 MINS,63.81413325,service,
FMANA-0007,PERICARDIAL TAP,765.7689375,service,
FMANA-0008,AXILLARY PLEXUS - ANESTHESIA,382.88446875,service,
FMANA-0009,BRACHIAL PLEXUS - ANESTHESIA,382.88446875,service,
FMANA-0010,SPINAL ANESTHESIA,382.88446875,service,
FMANA-0011,CAUDAL ANESTHESIA,382.88446875,service,
FMANA-0012,EPIDURAL ANESTHESIA,1021.0252499999999,service,
FMANA-0013,EPIDURAL ANALGESIA (LABOUR -  PAIN RELIEF),1021.0252499999999,service,
FMANA-0014,OXYGEN (O2)  PER HOUR,76.57689375,service,
FMANA-0015,NITROUS OXIDE (N2O/30 MINS),63.81413325,service,
FMANA-0016,ENFLURANE (ETHRANE) PER CC,6.38138025,service,
FMANA-0017,INSERTION OF SUB_CLAVIAN CATH.,312.68895525000005,service,
FMANA-0018,ARTERIAL LINE,465.84274275,service,
FMANA-0019,TRACHIAL INTUBATION],191.4422895,service,
FMANA-0020,ARTIFICIAL VENTILATION / HOUR,127.62815624999999,service,
FMANA-0021,NASOGASTRIC TUBE INSERTION,191.4422895,service,
FMANA-0022,SUPRA-PUBIC CATHETERIZATION,382.88446875,service,
FMANA-0023,URINE CATHETER INSERTION,95.72114475,service,
FMANA-0024,SWAN GAUZE CATHETER           (PULMONARY CATHETERI,1914.42234375,service,
FMANA-0025,EXTERNAL CARDIAC PACING,2552.5631249999997,service,
FMANA-0026,BLOOD GAS ANALYSIS,421.17297075,service,
FMANA-0027,TRACHEAL SUCTION PROCEDURE-DAY,76.57689375,service,
FMANA-0028,TRACHEOTOMY CARE,76.57689375,service,
FMANA-0030,OPD ASSISTANT ANAESTHETEST,210.58643025000003,service,
FMANA-0031,MASK G. ANAESTHESIA,421.17297075,service,
FMANA-0032,LOCAL ANAESTHESIA ASSISTANT/HR,140.391027,service,
FMANA-0033,HALOTHANE PER CC,6.38138025,service,
FMANA-0034,PREMEDICATION VISIT,140.391027,service,
FMANA-0035,I.V. ANAESTHESIA,421.17297075,service,
FMANA-0036,I.V. REGIONAL ANAESTHESIA,421.17297075,service,
FMANA-0037,FORANE INHALATION PER CC,19.144251,service,
FMANA-0038,PULSE OXIMETER MONITOR        (OXYGEN MONITORING),38.288502,service,
FMANA-0039,LUMBAR SYMPATHETIC BLOCK,567.94526775,service,
FMANA-0041,EXAMINATION UNDER ANESTHESIA,421.17297075,service,
FMANA-0042,MODERATE RISK ANESTHESIA,708.33629475,service,
FMANA-0043,HIGH RISK ANESTHESIA,1410.291099,service,
FMANA-0045,DINAMAP PER HOUR,70.1955135,service,
FMANA-0046,NORMOCAP 200 PER HOUR,70.1955135,service,
FMANA-0047,NORMOCAP 200 PER 30 MINUTES,38.288502,service,
FMANA-0048,IPIDURAL INJECTION,70.1955135,service,
FMANA-0049,CELL SAVER MACHINE,708.33629475,service,
FMANA-0050,I.V SADATION,210.58643025000003,service,
FMANA-0051,CAPNOGRAPH II PER 30 MINUTES,140.391027,service,
FMANA-0052,NITROUS OXIDE-FULL TANK,638.1407812499999,service,
FMANA-0053,NITROUS OXIDE - 3/4 TANK,478.6056135,service,
FMANA-0054,NITROUS OXIDE - 1/2 TANK,319.07044575000003,service,
FMANA-0055,NITROUS OXIDE - 1/4 TANK,159.53516775,service,
FMANA-0056,BICORE MONITORING/DAY (PULM.),778.5318082499999,service,
FMANA-0057,EPIDURAL ANAESTHESIA - OPD (PAIN RELIEF),1033.78812075,service,
FMANA-0058,SEVOFURANE PER ML.,7.657744500000001,service,
FMANA-9901,OPERATION ROOM,229.73068125,service,
FMANA-9902,ANAESTHETIC DOCTOR,229.73068125,service,
FMCAR-0002,E.C.G.,114.86539575,service,
FMCAR-0003,E.C.G. WITH ERGOMETRY,989.1182385000001,service,
FMCAR-0004,ECHO CARDIOGRAM 2D + M MODE,778.5318082499999,service,
FMCAR-0005,ECHO CARDIOGRAM 2D + M MODE + DOPPLER (FULL STUDY),1084.8393832499999,service,
FMCAR-0006,HOLTER MONITOR 24 HOURS ECG,778.5318082499999,service,
FMCAR-0009,E.C.G. FOR INPATIENT,140.391027,service,
FMCAR-0010,VENOUS DUPLEX,280.78194375000004,service,
FMCAR-0011,SURFACE PACEMAKER(NON-INVASIVE,2112.2460135,service,
FMCAR-0013,PERICARDIOCENTESIS-6,2814.2008177499997,service,
FMCAR-0014,ECHO M-MODE ONLY,402.02871975,service,
FMCAR-0015,HYPERTENSION CHECK-UP I,638.1407812499999,service,
FMCAR-0016,HYPERTENSION CHECK-UP II,1340.09569575,service,
FMCAR-0017,PERMANENT  PACEMAKER-7,5105.126249999999,service,
FMCARS0001,CARDIO VERSION (DC SHOCK),1276.2815624999998,service,
FMCARS0004,ATRIAL PACING,1276.2815624999998,service,
FMCARS0005,PERMANENT PACEMAKER IMPLANTATION (DDD),7657.689375,service,
FMCARS0006,TRANSESOPHAGEAL ECHOCARDIOGRAPHY (TEE),1531.537875,service,
FMCARS0007,PHARMACOLOGICAL TEST,893.3970937500001,service,
FMCARS0008,PHARMACOLOGICAL STRESS ECHOCARDIOGRAPHY,1914.42234375,service,
FMCARS0009,ABULATORY BP MONITORING,8933.9709375,service,
FMCARS0010,INTRA-AROTIC BALLOON INSERTION,2552.5631249999997,service,
FMCARS0011,INTRA-AORTIC BALLOON PUMP USE / DAY,765.7689375,service,
FMCARS0012,RIGHT HEART CATHETERIZATION,1914.42234375,service,
FMCARS0014,CORONARY ANGIOGRAPHY,2552.5631249999997,service,
FMCARS0015,BALLON VALVULOPLASTY,6381.4078125,service,
FMCARS0016,P.T.C.A. (SINGLE VESSEL),4466.98546875,service,
FMCARS0017,P.T.C.A. (MULTI VESSEL),6381.4078125,service,
FMCARS0018,CORONARY STENTING,1276.2815624999998,service,
FMCARS0019,BALOON ATRIAL SEPTOSTOMY,3190.70390625,service,
FMCARS0021,ECHO FULL STUDY,1021.0252499999999,service,
FMCARS0022,ECHO REPEAT,1850.60832075,service,
FMCARS0023,ECHO FOLLOW UP,3828.8446875,service,
FMCAT-0001,EXTERNAL PACEMAKER USE/DAY,255.25631249999998,service,
FMCAT-0002,TEMPORARY PACEMAKER LEAD REPO,1276.2815624999998,service,
FMCAT-0003,PERMANENT PACEMAKER IMPLANTATION,12762.815625,SERVICE,
FMCAT-0006,INTRA-AORTIC BALLOON PUMP USE,765.7689375,service,
FMCAT-0008,LEFT HEART CAHTETERIZATION,1914.42234375,service,
FMCAT-0014,BALLON ATRIAL SEPTOSTOMY,3190.70390625,service,
FMCAT-0015,RENAL ANGIOGRAPHY,1927.1852144999998,service,
FMCAT-0016,PERIPHERAL ANGIOGRAPHY,1927.1852144999998,service,
FMCAT-0017,REMOVAL OF FOREIGN BODY BY SNARE,1276.2815624999998,service,
FMDER-0003,SVD INJECTION,44.66988224999999,service,
FMDER-0004,SKIN BIOPSY,299.92619475000004,service,
FMDER-0005,LYMPH NODE BIOPSY,446.698602,service,
FMDER-0006,"SKIN ALLERGY TEST ""PATCH""",446.698602,service,
FMDER-0008,CHEMICAL CAUTERY,76.57689375,service,
FMDER-0009,AUTO VACCINATION,82.958274,service,
FMDER-0010,TESTICULAR BIOPSY,1327.3328250000002,service,
FMDER-0011,SKIN BIOPSY FOR EM,1480.4866125,service,
FMDER-0012,WOOD'S LIGHT EXAM,82.958274,service,
FMDER-0013,ELECTRO-CAUTERY,714.717675,service,
FMDER-0014,INCISION & CRRETAGE,746.6246865,service,
FMDER-0015,BASED CELL CARCINOMA,4147.9151332500005,service,
FMDER-0016,SOLAR KERATOSIS,2488.749102,service,
FMDER-0017,DISSEM SUPER KERATOSIS,2220.72991875,service,
FMDER-0018,BOWN'S DESEASE,2488.749102,service,
FMDER-0019,CALLOSITIES,829.58307075,service,
FMDER-0020,PLANTER WART,191.4422895,service,
FMDER-0021,TZANK SHEAR TEST,121.24677600000001,service,
FMDER-0022,PHOTOPATCH TEST,299.92619475000004,service,
FMDER-0023,SKIN PATCH TEST,446.698602,service,
FMDER-0024,ICE CUBE TEST,331.83320625000005,service,
FMDER-0025,PATHOLOGY TEST,299.92619475000004,service,
FMDER-0026,URETHERAL SCRAPPING,146.77240725,service,
FMDER-0027,GONOZYME SWAB,382.88446875,service,
FMDER-0028,BUCCAL SMEAR,82.958274,service,
FMDER-0029,LESION SMEAR,82.958274,service,
FMDER-0030,VAPOSONE SESSION,146.77240725,service,
FMDER-0031,DERMO TEST,146.77240725,service,
FMDER-0032,PUVA THERAPY,216.96792075000002,service,
FMDER-0033,NARROW BAND THERAPY,165.91665824999998,service,
FMDER-0034,TRICHOGRAM,382.88446875,service,
FMDER-0035,DERMABRASION UNIT,1659.1660312499998,service,
FMDER-0036,SKIN TAG EXCISION PER UNIT,746.6246865,service,
FMDER-0037,LOC. SEROFAL VARICOCELECTOMY,746.6246865,service,
FMDER-0038,MILIA EXTRACTION,714.717675,service,
FMDER-0039,PODOPHYLLIN APPLICATION,51.0512625,service,
FMDER-0040,PHENOL APPLICATION 40%,51.0512625,service,
FMDER-0041,INTRADERMAL INJECTION,95.72114475,service,
FMDER-0042,ELECTRO-CAUTERY PER/UNIT,76.57689375,service,
FMDER-0043,KERATOLITIC APPLICATION - FACE,229.73068125,service,
FMDER-0044,KERATOLITIC APPLICATION - ARM,376.5030885,service,
FMDER-0045,KERATOLITIC APPLICATION - LEGS,599.8523895000001,service,
FMDER-0046,ACNE SURGERY COMEDONE EXTRACT,376.5030885,service,
FMDER-0047,ULTRAVIOLET EXPOSE,165.91665824999998,service,
FMDER-0048,ZYDERM IMPLANT TEST,491.3683740000001,service,
FMDER-0049,COLLAGEN APPLICATION - ACNE,229.73068125,service,
FMDER-0050,COLLAGEN APPLICATION - REGENE- RATION,229.73068125,service,
FMDER-0051,HERBAL MASK APPLICATION,165.91665824999998,service,
FMDER-0052,TOPICAL APPLICATION - ALOPECIA LOTION,95.72114475,service,
FMDER-0053,TOPICAL APPLICATION - VITILIGO LOTION,95.72114475,service,
FMDER-0054,ALOPECIA LOTION 2% - 100CC,1308.1885739999998,service,
FMDER-0055,ALOPECIA LOTION 3% - 100CC,1959.092226,service,
FMDER-0056,ALOPECIA LOTION 5% - 100CC,3088.6013812499996,service,
FMDER-0057,OIL OF BERGAMOT 100CC,331.83320625000005,service,
FMDER-0058,INFRARED EXPOSURE,165.91665824999998,service,
FMDER-0059,ZYDERM IMPLANT INJECTION,2220.72991875,service,
FMDER-0061,SAMPLE FR. TESTISE BY NEEDLE,229.73068125,service,
FMDER-0062,PATHERGY,331.83320625000005,service,
FMDER-0063,DIATHERMY CURRETAGE,146.77240725,service,
FMDER-0064,URETHERAL IRRIGATION,82.958274,service,
FMDER-0065,HAIR SHAFT,82.958274,service,
FMDER-0066,VARICOCELE,2661.04703025,service,
FMDER-0067,TESTICULAR EXPLORATION,1480.4866125,service,
FMDER-0068,SENSITIVITY TEST,376.5030885,service,
FMDER-0070,SEBACEOUS CYST EXCISSION LARGE,746.6246865,service,
FMDER-0071,DEPILATION-SMALL AREA,242.49355200000002,service,
FMDER-0072,DEPILATION -MEDIUM AREA,478.6056135,service,
FMDER-0073,DEPILATION-LARGE AREA.,791.29456875,service,
FMDER-0075,PUVA THERAPY PKG 10 SESSIONS,1633.6404,service,
FMDER-0076,CAPILSTIMULATOR  PER SESSION,242.49355200000002,service,
FMDER-0077,CAPILSTIMULATOR PACKAGE DEAL   (10 SESSIONS ).,1550.6821260000002,service,
FMDER-0079,PUVA SECOND COURSE,1148.65340625,service,
FMDER-0080,PUVA SUCCEEDING COURSE,823.20158025,service,
FMDER-0081,INCISSI.& DRAIN.ABCS.SUPERFCL.,108.48390524999999,service,
FMDER-0082,INCISSI.& DRAIN ABCSS.-DEEP,216.96792075000002,service,
FMDER-0083,OCCLUSIVE DRESSING SMALL,76.57689375,service,
FMDER-0084,OCCLUSIVE DRESSING MEDIUM,108.48390524999999,service,
FMDER-0085,OCCLUSIVE DRESSING LARGE,216.96792075000002,service,
FMDER-0086,EXTRACTION OF MOLLUSCA BODIES  AREA,146.77240725,service,
FMDER-0087,DERMOJECT INJECTION,76.57689375,service,
FMDER-0089,INTRALESIONAL INJECTION,76.57689375,service,
FMDER-0090,SUBCUTANEOUS INJECTION,76.57689375,service,
FMDER-0091,I.V. INJECTION,108.48390524999999,service,
FMDER-0095,ERECTILE DISORDERS DETECTION   USING DUPPLER APPARATUS,146.77240725,service,
FMDER-0096,HYPERPIGMENTATION COURSE,1480.4866125,service,
FMDER-0099,DOPPLER PROCEDURE,191.4422895,service,
FMDER-0100,LASER THERAPY APPLICATION FOR  DERMA. & ACUPUNCTURE 10 SESS.,2444.07921975,service,
FMDER-0101,LASER THERAPY APPLICATION FOR  DERMA.& ACUPUNCTURE  7 SESSION,1391.1469582500001,service,
FMDER-0102,LASER THERAPY APPLICATION FOR  DERMA. & ACUPUNCTURE 5 SESSION,1072.0765124999998,service,
FMDER-0103,ACU BLITZ ACUPUNCTURE THERAPY  10 SESSIONS,1633.6404,service,
FMDER-0104,ACU BLITZ ACUPUNCTURE THERAPY  7 SESSIONS,1148.65340625,service,
FMDER-0105,ACU BLITZ ACUPUNCTURE THERAPY  5 SESSIONS,823.20158025,service,
FMDER-0106,EUROPEAN ACNE - FACIAL,823.20158025,service,
FMDER-0107,THERMAL HOT - MASK TREATMENT   FOR MATURE SKIN,414.79148024999995,service,
FMDER-0108,HOT OIL SCALP TREATMENT 10 SES,1480.4866125,service,
FMDER-0109,HOT OIL SCALP TREATMENT 5 SESS,823.20158025,service,
FMDER-0110,HOT OIL SCALP TREATMENT PER    SESSION,255.25631249999998,service,
FMDER-0111,DESINCRUSTATION LARGE AREA,580.7081384999999,service,
FMDER-0112,DESINCRUSTATION MEDIUM AREA,414.79148024999995,service,
FMDER-0113,DESINCRUSTATION SMALL AREA,255.25631249999998,service,
FMDER-0114,STRETCH MARK TREATMENT 10 SESS,2220.72991875,service,
FMDER-0115,STRETCH MARK TREATMENT 5 SESS.,1263.518802,service,
FMDER-0116,STRETCH MARK TREATMENT PER     TREATMENT,376.5030885,service,
FMDER-0117,CELLULITE TREATMENT 10 SESSION,2220.72991875,service,
FMDER-0118,CELLULITE TREATMENT 5 SESSIONS,1263.518802,service,
FMDER-0119,CELLULITE TREATMENT PER TREAT.,376.5030885,service,
FMDER-0120,NON - SURGICAL FACE LIFT,746.6246865,service,
FMDER-0121,WEIGHT REDUC. BY DEEP HEAT     METHOD AND BODY WRAP 10 SESS.,2220.72991875,service,
FMDER-0123,WEIGHT REDUC. BY DEEP HEAT     METHOD AND BODY WRAP PER TREAT,376.5030885,service,
FMDER-0124,UVL 15 SESSIONS,1480.4866125,service,
FMDER-0125,NARROW BAND REGIONAL 1ST COURSE 15 SESSIONS,1480.4866125,service,
FMDER-0126,NARROW BAND REGIONAL 2ND COURSE 15 SESSIONS,1040.1695009999999,service,
FMDER-0127,UVA REGIONAL SUCEEDING COURSE,746.6246865,service,
FMDER-0128,LASER THERAPY CELLOTHERM SOFT  LASER UNILASER 10 SESSIONS,1633.6404,service,
FMDER-0129,LASER THERAPY CELLOTHERM SOFT  LASER UNILASER 7 SESSIONS,1148.65340625,service,
FMDER-0130,MICROPUNCTURE TATTOOING LARGE  P.D.,2220.72991875,service,
FMDER-0131,MICROPUNCTURE TATTOING MEDIUM  P.D.,1480.4866125,service,
FMDER-0132,MICROPUNCTURE TATTOING SMALL   P.D.,746.6246865,service,
FMDER-0133,LASER TREATMENT  LARGE AREA,2680.1912812499995,service,
FMDER-0134,LASER TREATMENT  MEDIUM AREA,2335.5953144999994,service,
FMDER-0135,LASER TREATMENT  SMALL AREA,740.24330625,service,
FMDER-0136,LASER TEST DOSE,146.77240725,service,
FMDER-0137,ADD'L FEE FOR COM.OR OVER 3HRS,746.6246865,service,
FMDER-0138,LIQUID NIRTOGEN APPL. SMALL,76.57689375,service,
FMDER-0139,LIQUID NITROGEN APPL. MEDIUM,146.77240725,service,
FMDER-0140,LIQUID NITROGEN APPL. LARGE,280.78194375000004,service,
FMDER-0141,PODOPHYLLIN APPL. SMALL AREA,76.57689375,service,
FMDER-0142,PODOPHYLLIN APPL. MEDIUM AREA,108.48390524999999,service,
FMDER-0143,PODOPHYLLIN APPL. LARGE AREA,146.77240725,service,
FMDER-0144,INTRALESIONAL(IL)INJ.SMALL AR.,82.958274,service,
FMDER-0145,INTRALESIONLA(IL)INJ.MED.AREA,108.48390524999999,service,
FMDER-0146,INTRALESIONAL(IL)INJ.LRGE.AREA,146.77240725,service,
FMDER-0147,DERMOJET INJECTION-SMALL AREA,127.62815624999999,service,
FMDER-0148,DERMOJET INJECTION-MEDIUM AREA,191.4422895,service,
FMDER-0149,DERMOJET INJECTION-LARGE AREA,319.07044575000003,service,
FMDER-0150,I.M. INJECTION WITH MEDICINE,76.57689375,service,
FMDER-0151,ANTI-ALLERGIC INJ.COCKTAIL I,108.48390524999999,service,
FMDER-0152,ANTI-ALLERGIC INJ.COCKTAIL II,146.77240725,service,
FMDER-0153,INCISS.&DRAIN.ABSCESS-SMALL,165.91665824999998,service,
FMDER-0154,INCISS.&DRAIN. ABSCESS-MEDIUM,280.78194375000004,service,
FMDER-0155,INCISS.&DRAIN. ABSCESS-LARGE,433.93573124999995,service,
FMDER-0156,SEBACEOUS CYST EXISSION SMALL,280.78194375000004,service,
FMDER-0157,SEBACEOUS CYST EXCISSION MED.,714.717675,service,
FMDER-0158,SEBACEOUS CYST EXCISSION-LARGE1,1410.291099,service,
FMDER-0159,ELECTROCAUTERY SMALL  AREA,146.77240725,service,
FMDER-0160,ELECTROCAUTERY MEDIUM AREA,357.3588375,service,
FMDER-0161,ELECTROCAUTERY LARGE AREA,714.717675,service,
FMDER-0162,ELECTROCAUTERY-EXTRA LARGE,1410.291099,service,
FMDER-0163,MOLLUSCA BODIES EXTRAC. SMALL,108.48390524999999,service,
FMDER-0164,MOLLUSCA BODIES EXTRAC. MEDIUM,216.96792075000002,service,
FMDER-0165,MOLLUSCA BODIES EXTRAC.LARGE,280.78194375000004,service,
FMDER-0166,MILIA EXTRACTION - SMALL,255.25631249999998,service,
FMDER-0167,MILIA EXTRACTION - MEDIUM,510.51262499999996,service,
