SERVICE CODE,CATEGORY,SERVICE DESCRIPTION,SGH DMM Price,type,Department,Unified code ,Service Description2,LOS,Type3,NPHIES Code (Hyphenated )2
6112013,ORTHOPAEDIC ,SKIN TRACTION,450.0,service,Orthopedics,FMORT-0445,Skin Traction,,Service,90531-00-00
6113001,ORTHOPAEDIC ,CERVICAL COLLAR,200.0,service,Home Care ,FMHC-0059,Cervical Collar,0,Service,83620-00-00
6121005,DENTAL,X-RAY PANORAMIC,340.0,service,Dental,FMDNTX0005,Panoramic X-Ray,,Service,57960-00-00
6122038,DENTAL,REMOVAL OF TEETH (PARTIALLY BONY) + L.A.,550.0,service,Dental,fmden-0102,Removal Of Teeth (Partially Bony) + L.A.,0,Service,97324-01-10
6122044,DENTAL,SURGICAL EXTRACTION - COMPLEX  (BONE REMOVAL),675.0,service,Dental,fmden-0103,Surgical Extraction - Complex  (Bone Removal),0,Service,97324-01-10
6122045,DENTAL,SURGICAL EXTRACTION - SIMPLE,500.0,service,Dental,fmden-0104,Surgical Extraction - Simple,0,Service,97311-01-00
6124001,DENTAL,TEMPORARY FILLING,85.0,service,Dental,FMDNTF0009,Temporary Filling,0,Service,97572-01-00
6124026,DENTAL,COMPOSITE RESIN (INVOLVING INCISAL EDGE),675.0,service,Dental,fmden-0100,Composite Resin (Involving Incisal Edge),0,Service,97521-01-00
6126001,DENTAL,BLEACHING TEETH,1500.0,service,Dental,FMDNTP0071,Bleaching Teeth,0,Service,97118-00-00
6128101,DENTAL,STAINLESS STEEL CROWN,260.0,service,Dental,FMDNTP0089,Stainless Steel Crown,0,Service,97613-04-00
7112009,NEUROSCIENCE,F-RELFEX - EACH NERVE,350.0,service,Neurology ,7112009,F-Relfex - Each Nerve,0,Service,96052-00-01
7112014,NEUROSCIENCE,SOMATO SENSORY EVOKED POTENTIAL - BOTH UPPER OR LOWER LIMB,1100.0,service,NEUROLOGY,fmneu-1017,Somato Sensory Evoked Potential - Both Upper Or Lower Limb,0,Service,96112-00-00
7112017,NEUROSCIENCE,VISUAL EVOKED POTENTIAL,800.0,service,NEUROLOGY,FMNUM-0032,Visual Evoked Potential,0,Service,92015-00-01
7121013,LABORATORY,ACTH,650.0,service,LABORATORY,FMLAB-9005,Acth,,Service,73050-00-50
7121014,LABORATORY,ACTIVATED PROTIEN C RESISTANCE,610.0,service,LABORATORY,fmlab-1320,Activated Protien C Resistance,0,Service,73100-04-20
7121016,LABORATORY,ADENOSINE DEAMINASE,1755.0,service,LABORATORY,FMLAB-9297,Adenosine Deaminase,,Service,73050-00-60
7121018,LABORATORY,ADRENAL CORTEX ABS,325.0,service,LABORATORY,FMLAB-9341,Adrenal Cortex Abs,,Service,73250-00-20
7121019,LABORATORY,ALBUMIN,75.0,service,LABORATORY,FMLAB-2003,Albumin,,Service,73050-00-80
7121021,LABORATORY,ALDOLASE,225.0,service,LABORATORY,FMLAB-9007,Aldolase,,Service,73050-01-30
7121025,LABORATORY,ALKALINE PHOSPHATASE,60.0,service,LABORATORY,FMLAB-2005,Alkaline Phosphatase,,Service,73100-07-70
7121042,LABORATORY,AMYLOID A,420.0,service,LABORATORY,FMLAB-9359,Amyloid A,,Service,73050-23-11
7121043,LABORATORY,ANDROSTENDIONE,515.0,service,LABORATORY,FMLAB-9361,Androstendione,,Service,73050-03-20
7121046,LABORATORY,ANTI CENTROMERE ABS,230.0,service,LABORATORY,FMLAB-9160,Anti Centromere Abs,,Service,73250-00-20
7121047,LABORATORY,ANTI DS DNA,585.0,service,LABORATORY,FMLAB-5011,Anti- Ds Dna,,Service,73100-12-90
7121050,LABORATORY,ANTI JO-1,342.0,service,LABORATORY,FMLAB-9365,Anti Jo-1,,Service,73100-10-80
7121058,LABORATORY,ANTI-HAV IGM,200.0,service,LABORATORY,FMLAB-5014,Anti-Hav Igm,,Service,73100-24-10
7121061,LABORATORY,ANTI-HBS QUANTITATIVE WITH TITRE,250.0,service,LABORATORY,fmlab-1302,Anti-Hbs Quantitative With Titre,,Service,73100-23-80
7121065,LABORATORY,APOLIPOPROTEIN A1,120.0,service,LABORATORY,FMLAB-9169,Apolipoprotein A1,,Service,73050-03-60
7121067,LABORATORY,AQUAPORIN  - 4 (CSF),600.0,service,LABORATORY,fmlab-1323,Aquaporin - 4 (Csf),0,Service,73050-61-60
7121081,LABORATORY,BARBITURATES,250.0,service,LABORATORY,FMLAB-4004,Barbiturates,,Service,73300-06-60
7121082,LABORATORY,BENZODIAZEPINES,250.0,service,LABORATORY,FMLAB-4005,Benzodiazepines,,Service,73300-06-70
7121085,LABORATORY,BETA HCG,425.0,service,LABORATORY,FMLAB-3016,Beta Hcg,,Service,73000-01-70
7121088,LABORATORY,BETA-2 MICROGLOBULIN,270.0,service,LABORATORY,FMLAB-9183,Beta 2 Microglobulin,,Service,73050-04-00
7121090,LABORATORY,BILE ACIDS TOTAL,230.0,service,LABORATORY,FMLAB-9388,Total Bile Acids,,Service,73050-04-10
7121092,LABORATORY,BIOTIN (VITAMIN H),370.0,service,LABORATORY,fmlab-1325,Biotin (Vitamin H),0,Service,73050-38-70
7121097,LABORATORY,BODY FLUID + CYTOLOGY,340.0,service,LABORATORY,FMLAB-8002,Body Fluid Cytology,,Service,73200-00-00
7121103,LABORATORY,BRAIN NATRIURETIC PEPTIDE,800.0,service,LABORATORY,FMLAB-9850,Brain Natriuretic Peptide,,Service,73050-25-30
7121104,LABORATORY,BRCA I & II (BREAST CANCER I & II),22500.0,service,LABORATORY,fmlab-1342,Brca I & Ii (Breast Cancer I & Ii),0,Service,73350-00-50
7121113,LABORATORY,C3 COMPLEMENT,340.0,service,LABORATORY,FMLAB-2021,Complement C3,,Service,73100-12-50
7121114,LABORATORY,C4 COMPLEMENT,340.0,service,LABORATORY,FMLAB-2022,Complement C4,,Service,73100-12-40
7121119,LABORATORY,CA 15-3,485.0,service,LABORATORY,FMLAB-3006,Ca 15-3,,Service,73100-13-80
7121120,LABORATORY,CA 19-9,545.0,service,LABORATORY,FMLAB-3007,Ca 19-9,,Service,73100-13-90
7121122,LABORATORY,CA 72-4,485.0,service,LABORATORY,FMLAB-1319,Ca 72.4,0,Service,73100-13-70
7121125,LABORATORY,CALCITONIN,575.0,service,LABORATORY,FMLAB-9027,Calcitonin,,Service,73050-05-40
7121135,LABORATORY,CARDIOLIPEN ANTIBODIES,625.0,service,LABORATORY,fmlab-1304,Cardiolipen Antibodies,,Service,73100-11-70
7121138,LABORATORY,CAROTENE,465.0,service,LABORATORY,FMLAB-9031,Carotene,0,Service,73050-06-90
7121139,LABORATORY,CATECHOLAMINES(BLOOD),1100.0,service,LABORATORY,fmlab-1326,Catecholamines(Blood),0,Service,73050-07-00
7121156,LABORATORY,CENTROMERE ABS,300.0,service,LABORATORY,FMLAB-9283,Centromere Abs,,Service,73250-00-20
7121161,LABORATORY,CHLAMYDIA ANTIGEN DETECTION TEST,250.0,service,LABORATORY,FMLAB-6265,Chlamydia Antigen Detection Test,0,Service,73050-61-60
7121174,LABORATORY,CITRATE,235.0,service,LABORATORY,FMLAB-9042,Citrate,,Service,73050-08-60
7121183,LABORATORY,CLOSTRIDIUM DIFFICILE TOXIN,325.0,service,LABORATORY,FMLAB-9433,Clostridium Difficile Toxin,,Service,73050-59-70
7121185,LABORATORY,COCAINE,250.0,service,LABORATORY,FMLAB-4009,Cocaine,,Service,73300-07-40
7121188,LABORATORY,COPEPTIN  PRO AVP,685.0,service,LAPORATORY,FMLAB-8231,COPEPTIN PRO AVP,,SERVICE,73100-09-80
7121189,LABORATORY,COPPER SERUM,170.0,service,LABORATORY,FMLAB-9045,Copper (Serum),,Service,73050-08-80
7121200,LABORATORY,CREATININE CLEARANCE,200.0,service,LABORATORY,FMLAB-2024,Creatinine Clearance,,Service,73050-10-00
7121202,LABORATORY,"CREATININE, SERUM",75.0,service,LABORATORY,FMLAB-2023,Creatinine ( Serum ),,Service,73050-09-80
7121207,LABORATORY,CYSTATIN C,210.0,service,LABORATORY,fmlab-1328,Cystatin C,0,Service,73050-10-60
7121213,LABORATORY,CYTOMEGALO VIRUS IGG,260.0,service,LABORATORY,FMLAB-9454,Cytomegalo Virus Igg,,Service,73100-20-70
7121228,LABORATORY,DIRECT BILIRUBIN,75.0,service,LABORATORY,FMLAB-2010,"Bilirubin, Direct",,Service,73050-04-40
7121255,LABORATORY,FACTOR II,230.0,service,LABORATORY,FMLAB-9482,Factor Ii,,Service,73100-02-30
7121257,LABORATORY,FACTOR V,230.0,service,LABORATORY,FMLAB-1025,Factor V,,Service,73100-02-40
7121259,LABORATORY,FACTOR VII,230.0,service,LABORATORY,FMLAB-1026,Factor Vii,,Service,73100-02-50
7121260,LABORATORY,FACTOR VIII,500.0,service,LABORATORY,FMLAB-1027,Factor Viii,,Service,73100-02-70
7121264,LABORATORY,FACTOR XI,230.0,service,LABORATORY,FMLAB-1030,Factor Xi,,Service,73100-03-30
7121266,LABORATORY,FACTOR XIII,965.0,service,LABORATORY,FMLABH0001,Factor Xiii,0,Service,73100-03-50
7121278,LABORATORY,FOLATE ( RED CELL ),600.0,service,LABORATORY,fmlab-1310,Folate ( Red Cell ),,Service,73050-13-50
7121279,LABORATORY,"FOLIC ACID, SERUM",425.0,service,LABORATORY,FMLAB-9062,Folic Acid Serum,,Service,73050-13-50
7121280,LABORATORY,FOOD PANEL 20 IGE ,950.0,service,LABORATORY,FMLAB-2123,Food Panel 20 Ige,,Service,12018-00-00
7121283,LABORATORY,FREE LIGHT CHAINS STRUCTURE ,450.0,service,LABORATORY,FMLAB-1624,Free Light Chains Structure,0,Service,99999-99-99
7121284,LABORATORY,FREE PSA,325.0,service,LABORATORY,FMLAB-3034,Psa (Free),,Service,73050-30-30
7121286,LABORATORY,FREE TESTOSTERONE,425.0,service,LABORATORY,FMLAB-9130,Testosterone (Free),,Service,73050-34-50
7121287,LABORATORY,FRUCTOSAMINE,500.0,service,LABORATORY,FMLAB-2036,Fructosamine,,Service,73050-16-80
7121299,LABORATORY,GASTRIN,415.0,service,LABORATORY,FMLAB-9066,Gastrin,,Service,73050-15-10
7121313,LABORATORY,GONOCOCCAL ABS,220.0,service,LABORATORY,FMLAB-9069,Gonococcal Abs,,Service,73100-19-20
7121318,LABORATORY,HAPTOGLOBIN,425.0,service,LABORATORY,FMLAB-9071,Haptoglobin,,Service,73050-17-40
7121321,LABORATORY,HBE AG,200.0,service,LABORATORY,FMLAB-5030,Hbe Ag,,Service,73050-49-10
7121330,LABORATORY,HDL-CHOLESTEROL,135.0,service,LABORATORY,FMLAB-2018,Hdl Cholesterol,,Service,73050-23-60
7121332,LABORATORY,HEPARIN INDUCED THROMBOCYTOPHENIA,790.0,service,LABORATORY,FMLAB-9986,Heparin Induced Thrombocytophenia,0,Service,73100-07-30
7121346,LABORATORY,HISTONE ABS,590.0,service,LABORATORY,FMLAB-9527,Histone Abs,,Service,73100-10-70
7121365,LABORATORY,IGF 1,825.0,service,LABORATORY,FMLAB-9542,Igf 1,,Service,73050-17-10
7121369,LABORATORY,IgG4,800.0,service,LABORATORY,fmlab-1334,Igg4,0,Service,73050-14-30
7121372,LABORATORY,IMMUNOGLOBULIN D (IGD),320.0,service,LABORATORY,fmlab-3071,Immunoglobulin D (Igd),0,Service,73050-61-60
7121375,LABORATORY,INFLUENZA A,110.0,service,LABORATORY,fmlab-1335,Influenza A,0,Service,73050-52-60
7121383,LABORATORY,INTERLEUKIN 6,740.0,service,LABORATORY,fmlab-1336,Interleukin 6,0,Service,73350-06-00
7121384,LABORATORY,INTRINSIC FACTOR ABS,400.0,service,LABORATORY,FMLAB-9552,Intrinsic Factor Abs,,Service,73050-21-00
7121386,LABORATORY,IONIZED CALCIUM,250.0,service,LABORATORY,FMLAB-9154,Ionized Calcium,,Service,73050-05-40
7121388,LABORATORY,ISLET CELL  ABS,325.0,service,LABORATORY,FMLAB-9086,Islet Cell Abs,,Service,73100-16-00
7121397,LABORATORY,LDL-CHOLESTEROL,135.0,service,LABORATORY,Fmlab-9913,Ldl Cholesterol,,Service,73050-23-80
7121399,LABORATORY,LEGIONELLA ABS.,1170.0,service,LABORATORY,FMLAB-9567,Legionella Abs,,Service,73100-24-30
7121403,LABORATORY,LEPTOSPIRA ABS,750.0,service,LABORATORY,FMLAB-9202,Leptospira Abs,,Service,73100-24-50
7121404,LABORATORY,LEVETIRAZETAM,445.0,service,LABORATORY,FMLAB-1588,Levetirazetam,0,Service,73300-01-70
7121406,LABORATORY,LIPASE,100.0,service,LABORATORY,FMLAB-2055,Lipase,,Service,73050-23-00
7121408,LABORATORY,LIPOPROTEIN A,250.0,service,LABORATORY,FMLAB-9572,Lipoprotein A,,Service,73050-23-10
7121409,LABORATORY,LIPOPROTEIN ELECTROPHORESIS,425.0,service,LABORATORY,FMLAB-2035,Lipoprotein Electrophoresis,,Service,73050-23-30
7121411,LABORATORY,LITHIUM,200.0,service,LABORATORY,FMLAB-4013,Lithium,,Service,73300-01-80
7121417,LABORATORY,MAGNESIUM (SERUM),80.0,service,LABORATORY,FMLAB-2056,Magnesium (Serum),,Service,73050-24-00
7121431,LABORATORY,MICROALBUMINURIA,130.0,service,LABORATORY,FMLAB-2057,Microalbuminuria,0,Service,73050-00-90
7121450,LABORATORY,MYELOPEROXIDASE ABS (MPO),370.0,service,LABORATORY,FMLAB-9607,Myeloperoxidase Abs (Mpo),,Service,73050-25-20
7121457,LABORATORY,NT-PRO-BNP,450.0,service,LABORATORY,FMLAB10137,Nt-Pro-Bnp,0,Service,73050-25-30
7121462,LABORATORY,OPIATES,250.0,service,LABORATORY,FMLAB-4014,Opiates,,Service,73300-08-20
7121469,LABORATORY,PANCREATIC ELASTASE (FAECES),500.0,service,LABORATORY,FMLAB-9628,Pancreatic Elastase (Faeces),,Service,73050-11-40
7121498,LABORATORY,"POTASSIUM, STOOL",130.0,service,Radiology ,FMXRAY1632,"Potassium, Stool",0,Service,73050-39-70
7121503,LABORATORY,PRESEPSIN,350.0,service,LABORATORY,FMLAB-1781,Presepsin,0,Service,73050-39-70
7121506,LABORATORY,PROGESTERONE,200.0,service,LABORATORY,FMLAB-3020,Progesterone,,Service,73050-29-70
7121515,LABORATORY,PROTEIN S ACTIVITY,650.0,service,LABORATORY,FMLAB-1064,Protein S Activity,,Service,73100-04-30
7121516,LABORATORY,PROTEIN TOTAL,150.0,service,LABORATORY,FMLAB-2070,Total Protein,,Service,73050-30-70
7121517,LABORATORY,PROTHROMBIN MUTATION ,920.0,service,LABORATORY,FMLAB-9691,Prothrombin Mutation,,Service,73100-02-30
7121522,LABORATORY,PTH INTACT,615.0,service,LABORATORY,FMLAB-9694,Pth Intact,,Service,73050-26-70
7121524,LABORATORY,PYRUVATE KINASE,130.0,service,LABORATORY,FMLAB-9205,Pyruvate Kinase,,Service,73050-31-80
7121538,LABORATORY,RIBOSOMAL ABS,565.0,service,LABORATORY,fmlab-1340,Ribosomal Abs,0,Service,73100-09-80
7121549,LABORATORY,SCL 70 ABS,350.0,service,LABORATORY,FMLAB-9715,Scl 70 Abs,,Service,73250-00-20
7121551,LABORATORY,SELENIUM,410.0,service,LABORATORY,FMLAB-9716,Selenium,,Service,73050-32-60
7121552,LABORATORY,SEMEN ANALYSIS,120.0,service,LABORATORY,FMLAB-6014,Semen Analysis,,Service,73400-03-30
7121555,LABORATORY,SGOT (AST),75.0,service,LABORATORY,FMLAB-2064,Sgot(Ast),,Service,73050-35-90
7121556,LABORATORY,SGPT (ALT),75.0,service,LABORATORY,FMLAB-2065,Sgpt (Alt),,Service,73050-36-00
7121557,LABORATORY,SHBG (SEX HORMONE BINDING GLOBULIN),430.0,service,LABORATORY,FMLAB-9121,Sex Hormone Binding Globulin (Shbg),,Service,73050-32-80
7121558,LABORATORY,SHIGELLA ABS,400.0,service,LABORATORY,FMLAB-9717,Shigella Abs,,Service,73100-26-30
7121561,LABORATORY,SODIUM URINE,65.0,service,LABORATORY,FMLAB-2086,Sodium Urine,,Service,73050-33-20
7121591,LABORATORY,THYROID MICROSOMAL ABS,120.0,service,LABORATORY,FMLAB-9750,Thyroid Microsomal Abs,,Service,73100-17-20
7121597,LABORATORY,TOTAL BILIRUBIN,75.0,service,LABORATORY,FMLAB-2011,"Bilirubin, Total",,Service,73050-04-30
7121598,LABORATORY,TOTAL CHOLESTEROL,100.0,service,LABORATORY,FMLAB-2017,"Cholesterol, Total",,Service,73050-23-60
7121601,LABORATORY,TOTAL IRON BINDING CAPACITY (TIBC),170.0,service,LABORATORY,FMLAB-2069,Tibc (Total Iron Binding Capacity),,Service,73050-21-20
7121609,LABORATORY,TRANSFERRIN,315.0,service,LABORATORY,FMLAB-9133,Transferrin,,Service,73050-36-10
7121611,LABORATORY,TREPONEMAL PALLIDUM ANTIBODIES,380.0,service,LABORATORY,fmlab-1309,Treponemal Pallidum Antibodies,0,Service,73100-18-80
7121612,LABORATORY,TRIGLYCERIDES,200.0,service,LABORATORY,FMLAB-2072,Triglycerides,,Service,73050-36-20
7121616,LABORATORY,TRYPTASE,575.0,service,LABORATORY,FMLAB-9998,Tryptase,0,Service,73050-20-60
7121617,LABORATORY,TRYPTASE,575.0,service,LABORATORY,FMLAB-9998,Tryptase,0,Service,73050-20-60
7121623,LABORATORY,TSH-NEONATAL,200.0,service,LABORATORY,FMLAB-3031,Neonatal Tsh,,Service,73050-35-20
7121631,LABORATORY,VASOPRESSIN (ADH),950.0,service,LABORATORY,FMLAB-9340,Adh (Vasopressin),,Service,73050-38-50
7121637,LABORATORY,VITAMIN A (RETINOL),260.0,service,LABORATORY,FMLAB-9190,Vitamin A (Retinol),,Service,73050-38-60
7121639,LABORATORY,VITAMIN C (ASCORBIC ACID),725.0,service,LABORATORY,FMLAB-9140,Vitamin C (Ascorbic Acid),,Service,73050-03-80
7121642,LABORATORY,VITAMIN K1,460.0,service,LABORATORY,FMLAB-9779,Vitamin K1,,Service,73050-38-80
7122002,LABORATORY,BLEEDING TIME,40.0,service,LABORATORY,FMLAB-1016,Bleeding Time,,Service,73100-00-00
7122008,LABORATORY,D-DIMER,250.0,service,LABORATORY,FMLAB-1084,D-Dimer,,Service,73100-05-50
7122009,LABORATORY,ERYTHROCYTE SEDIMENTATION RATE (ESR),40.0,service,LABORATORY,FMLAB-1038,Erythrocyte Sedimentation Rate (Esr ),,Service,73100-09-00
7122010,LABORATORY,FIBRINOGEN,250.0,service,LABORATORY,FMLAB-1042,Fibrinogen,,Service,73100-05-80
7122012,LABORATORY,G6PD (QUANTITATIVE),170.0,service,LABORATORY,FMLAB-2038,G6Pd Quantitative,,Service,73050-16-00
7122016,LABORATORY,HEMOGLOBIN,35.0,service,LABORATORY,FMLAB-1044,Hemoglobin,,Service,73050-18-00
7122026,LABORATORY,PERIPHERAL SMEAR,65.0,service,LABORATORY,FMLAB-9886,Peripheral Smear,,Service,73100-00-30
7122027,LABORATORY,PLATELET COUNT,35.0,service,LABORATORY,FMLAB-1058,Platelet Count,,Service,73100-01-60
7122029,LABORATORY,RETICULOCYTE COUNT,35.0,service,LABORATORY,FMLAB-1066,Reticulocyte Count,,Service,73100-01-30
7123003,LABORATORY,BLOOD CULTURE,170.0,service,LABORATORY,fmlab-1303,Blood Culture,0,Service,73050-40-00
7123006,LABORATORY,C & S BLOOD,135.0,service,LABORATORY,FMLAB-6003,Blood C/S,,Service,73050-40-00
7123014,LABORATORY,C & S SEMEN,135.0,service,LABORATORY,FMLAB-6015,Semen C/S,,Service,73400-03-30
7123015,LABORATORY,C & S SKIN,135.0,service,LABORATORY,EXOBG-0016,C & S Skin,0,Service,73050-41-30
7123016,LABORATORY,C & S SPUTUM,135.0,service,LABORATORY,FMLAB-6017,Sputum C/S,,Service,73400-01-30
7123017,LABORATORY,C & S STOOL,135.0,service,LABORATORY,FMLAB-6018,Stool C/S,,Service,73050-40-10
7123020,LABORATORY,C & S UMBILICAL,135.0,service,LABORATORY,fmlab-1343,C & S Umbilical,0,Service,73050-40-90
7123029,LABORATORY,NASAL SWAB FOR MRSA AND S. AUREUS BY PCR,500.0,service,LABORATORY,fmlab-1308,Nasal Swab For Mrsa And S. Aureus By Pcr,0,Service,99999-99-99
7124002,LABORATORY,"GLUCOSE, URINE",65.0,service,LABORATORY,FMLAB-2085,Glucose Urine,,Service,73050-15-30
7124003,LABORATORY,"KETONES, URINE",35.0,service,LABORATORY,FMLAB-2084,Urine Ketones,,Service,73050-00-00
7124020,LABORATORY,ADENO VIRUS ( STOOL),65.0,service,LABORATORY,fmlab-1301,Adeno Virus ( Stool),0,Service,73050-45-50
7124026,LABORATORY,"MAGNESIUM, 24 HOURS URINE",200.0,service,LABORATORY,fmlab-1338,"Magnesium, 24 Hours Urine",0,Service,73050-24-00
7125016,LABORATORY,"PREGNANCY TEST, SERUM",130.0,service,LABORATORY,FMLAB-2063,Pregnancy Test Serum,,Service,73150-01-00
7125017,LABORATORY,"PREGNANCY TEST, URINE",65.0,service,LABORATORY,FMLAB-2062,Urine Pregnancy Test,,Service,73150-01-00
7125020,LABORATORY,TPHA,200.0,service,LABORATORY,FMLAB-5053,Tpha,,Service,73100-18-80
7125021,LABORATORY,UREA BREATH TEST,675.0,service,LABORATORY,FMLAB-9911,Urea Breath Test,0,Service,73050-17-60
7126001,LABORATORY,HEMOGLOBIN ELECTROPHORESIS,250.0,service,LABORATORY,FMLAB-2034,Hemoglobin Electrophoresis,0,Service,73050-18-00
