Service Code,Service Name, Price,NPHIES ID
FMLAB-9159,ANTI PHOSPHOLIPIDS,1579,73100-11-80
FMLAB-9370,ANTI PLATELETS ABS ,1028,73100-10-50
FMLAB-9372,ANTI STAPHYLOLYSIN,110,73050-58-20
FMLAB-9374,ANTI STREPTOKINASE,150,73100-18-60
FMLABM0037,ANTI-CCP (CYCLIC CITRULLINATED PEPTIDE),538,73100-12-80
FMLAB-9018,ANTI-DNA SINGLE STRANDED ABS.,1072,73100-13-10
FMLAB-5014,ANTI-HAV IgM,402,73100-24-10
FMLAB-5013,ANTI-HAV TOTAL,207,73100-24-00
FMLAB-5018,ANTI-HEPATITIS DELTA (IgM),469,73050-49-20
FMURO-0084,ANTI-INCONTINENCE OPERATIONS,8172,90366-00-00
FMLAB-9019,ANTI-LIVER SPEC.PROTEIN ABS.,675,90318-00-00
FMLABM0038,ANTI-MULLERIAN HORMONE,476,73050-07-50
ENT-0002,Antral Washout,2135,41704-00-00
VAS-0022,Aortic Bypass,31514,32763-06-00
VAS-0025,Aorto Bifemoral Bypass Graft,31514,33160-00-00
FMDNTS0034,APICECTOMY & RETROGRADE       FILLING (ANTERIOR),2007,97434-00-00
FMORT-0720,APPLICATION OF SKULL TRACTION ( HALO TRACTION ),706,47717-00-00
FMENDE0075,ARGON PLASMA COAGULATION (APC),1477,30478-20-00
FMLAB-9375,"ARSENIC (B, HAIR, NAILS, U)",463,73050-03-70
FMVAS-0009,ARTERIO VENOUS FISTULA,1654,34509-01-00
FMSUR-0070,ARTERIOVENOUS SHUNT,3210,34500-00-00
FMXRY-0259,ARTHOGRAM,1301,59751-00-00
FMORT-0212,ARTHRODESIS OF ELBOW,3065,49106-00-01
FMORT-0209,ARTHRODESIS OF HIP,3065,49306-00-00
FMORT-0210,ARTHRODESIS OF KNEE,3065,49509-01-00
FMORT-0211,ARTHRODESIS OF SHOULDER,3065,48939-00-01
ORT-0080,Arthroplasties,25481,50127-00-01
FMORT-0217,ARTHROPLASTY OF FOOT & TOE W/ SYNTHETIC PROSTHESIS,3890,49839-00-00
FMORT-0233,ARTHROPLASTY OF SHOULDER W/   SYNTHETIC PROSTHESIS,5186,48918-00-01
ORT-0032,"Arthroscopy Washout, Trimming, Removal of Loose Body",6179,49560-00-01
FMORT-0138,ARTHROTOMY FOR REMOVAL OF      PROSTHESIS AT KNEE,1918,49515-00-01
FMURO-0138,ARTIFICIAL SEMINAL ASPIRATION,1637,37605-01-01
MTORT-0004,ARTROSCOPIC ANKLE DIAGNOSTIC,2205,49700-00-01
FMCAT-0027,ASD CLOSURE BY DEVICE,3528,38742-00-00
FMLAB-8001,ASPIRATION BIOPSY CYTOLOGY,441,73200-02-60
FMCTS-0042,ASPIRATION OF COLD ABSCESS,298,30216-01-00
OBG-0002,Aspiration of Ovarian Cyst,3371,35518-00-00
FMCARS0004,ATRIAL PACING,1125,38256-00-00
FMENTE0040,AUDITORY TRAINING SESSION,298,96132-00-00
FMPSDG0006,AUGMENTATION MAMMOPLASTY (TWO  SIDES),3934,45528-00-00
FMPSDB0007,AUGMENTATION RHINOPLASTY(BONE- GRAFT),3934,45641-01-00
FMNEU-0031,AV MALFORMATION OF BRAIN & SPINAL CORD,7779,45039-00-00
FMSUR-0125,AXILLARY BLOCK DISSECTION,2558,30332-00-00
FMNEU-0004,B.H. BIOPSY OF BRAIN TUMOUR,1918,39703-00-00
FMNEU-0003,B.H. VENTRICULAR DRAIN,1918,39015-00-00
FMXRY-0102,BABYGRAM,474,55700-01-00
FMPSYA0035,BACK DEPRSS'N INVENTORY TEST,160,96236-00-00
FMCAT-0014,BALLON ATRIAL SEPTOSTOMY,2205,38270-00-00
FMCAT-0010,BALLON VALVULOPLASTY,1764,38270-03-00
FMLAB-4004,BARBITURATES,380,73300-06-60
FMLAB-9384,BARIUM,878,73050-17-80
FMPSYA0060,BENDER GESTALT TEST,149,95550-10-00
FMLABM0053,"BETA 2 MICROGLOBULIN (U, S)",445,73050-04-00
MTURO-0008,BIL. SUBCOPSULAR ORCHIDECTOMY,7052,30641-01-00
FMPDS-0073,BILATERAL INGUINAL HERNIOTOMY,3677,30614-03-00
FMURO-0127,BILATERAL LIGATION OF THE INT- ERNAL ILIAC VEIN,4084,34103-17-02
FMSUR-0302,BILIARY PANCREATIC DIVERSION,4498,30512-02-00
FMXRY-0415,BILIARY TREE SCAN,882,61360-00-00
FMENDE0052,BILIARY/PANCREATIC STRICTURE   DILATATION,1483,30494-00-00
FMLAB-2010,BILIRUBIN DIRECT,121,73050-04-40
MTOPT-0017,BIOPSY OF CONJUNCTIVA,838,42676-00-01
FMENTE3016,BIOPSY OF EXTERNAL EAR,452,30075-28-01
FMENTS0011,BIOPSY OF MAXILLIARY SINUS,1279,41716-05-00
FMOPTK0006,BIOPSY OF ORBITAL TUMOUR,2299,42533-01-01
OPT-0016,Biopsy of Orbital Tumours,6488,42533-01-02
FMORT-0302,BIOPSY OF SOFT TISSUE OF HAND,1279,30075-01-02
NEU-0012,Biopsy- Pineal Gland,21234,30075-08-00
FMORT-0141,BIOPSY-JOINT STRUCTURE  OF -   SHOULDER,1279,48945-01-01
FMORT-0148,BIOPSY-JOINT STRUCTURE OF      ANKLE,1025,49700-01-01
FMORT-0143,BIOPSY-JOINT STRUCTURE OF      ELBOW,1279,49118-01-01
FMORT-0144,BIOPSY-JOINT STRUCTURE OF      WRIST,1025,49218-01-01
FMORT-0146,BIOPSY-JOINT STRUCTURE OF HIP,1538,49303-00-00
FMORT-0147,BIOPSY-JOINT STRUCTURE OF KNEE,1279,49500-00-01
FMLAB-9391,BIOTIN,701,73050-04-60
FMURO-0085,BLADDER AUGMENTATION OR        DILATATION,4084,37047-01-00
FMLAB-1016,BLEEDING TIME (B.T) TEMPLATE,83,73100-00-00
FMLAB-6003,"BLOOD C/S ( AEROBIC, ANAEROBIC)",353,73050-40-00
FMNUR-0024,BLOOD EXTRACTION,44,732500070
FMLAB-1018,BLOOD FILM FOR MALARIA,110,73100-25-40
MTNUR-0019,"BLOOD TRANSFUSION (BT SET,IV C",303,13709-00-00
MTSUR-0078,BONE MARROW ASPIRATION,854,13700-00-00
FMLAB-1019,BONE MARROW EXAMINATION,1750,30087-00-00
FMLAB-1020,BONE MARROW SAMPLING PROCEDURE,469,90280-00-00
FMLAB-1021,BONE MARROW TREPHINE SAMPLING,450,30084-00-00
FMLAB-9394,"BORDETELLA PERTUSSIS ABS(WHOOPING COUGH) IGA, IGG, IGM",441,73100-19-50
FMLAB-9242,"BORRELIA ABS (IGG, IGM)",1058,73100-19-80
FMXRY-0052,BOTH HANDS AP,276,57506-04-12
FMXRY-0065,"BOTH KNEES AP.,LAT.",364,57518-01-12
FMDER-0235,BOTOX INJ.HYPERHYDROSIS BOTH FEET,3500,92163-00-00
FMNUM-0050,BOTOX INJECTION 2 LIMBS,375,18360-01-02
FMDNTO0039,"BRACKET, BAND OR ARCH WIRE",270,97846-01-00
FMNUM-0004,BRAIN MAPPER,1637,90007-02-00
NEU-0022,Brain Tumour Post Fossa,41289,39709-00-00
FMENTE0009,BRAINSTEM EVOKED RESP. A.,1472,11300-00-00
FMPSDE0019,BRANCHIAL FISTULA,2558,30289-00-00
FMOBG-0075,BREECH DELIVERY,2260,90470-00-00
ENT-0025,Bronchoscopy (Foreign Body Removal from Trachea),4382,41886-00-00
FMENTD0004,BRONCHOSCOPY FOR F.B. REMOVAL,3197,41895-02-01
FMDER-0028,BUCCAL SMEAR,138,73200-05-30
FMORT-0256,BURSECTOMY OF HAND,1665,30107-01-01
FMORT-0247,BURSOTOMY OF HAND,1279,90568-01-01
NEU-0025,"Bypass, Vascular-Aorto-Subclavian-Carotid without Graft",41289,34812-00-00
NEU-0026,"Bypass, Vascular-Peripheral Artery without Graft",37750,32766-00-00
FMLAB-3004,C.E.A.,386,73050-06-70
FMLAB-2013,C.K. (CPK),182,73050-09-40
FMLAB-2096,C.K. ISOENZYMES,203,73050-09-50
FMLAB-2014,C.K.MB,182,73050-09-60
FMIVF-0067,C.S. AFTER ICSI (SINGLE BABY),10534,16520-00-00
FMLAB-6044,C/S OTHER SP. ANAEROBIC,297,73050-40-50
FMLAB-3007,CA  19-9,467,73100-13-90
FMLAB-9407,"CADMIUM (B, U)",579,73050-05-20
FMLAB-9408,CAFFEINE,562,73300-00-10
FMORT-0501,CALCANEUM OSTEOTOMY FOR CORREC TION OF FOOT DEFORMITIES,2558,50333-00-01
FMLAB-9027,CALCITONIN,1003,73000-01-50
FMLAB-2112,CALCIUM,127,73050-05-50
FMENTE0020,CALORIC TEST FOR VERTIGO,695,11333-00-00
FMOBG-0210,CALPOSACROPEXY,3212,35568-00-00
FMLAB-1507,CALPROTECTIN FECAL,1301,73050-27-10
FMLAB-5024,CAMPYLOBACTOR ABS. (JEJUNI & INTESTINALIS),675,73100-20-00
FMENTE0035,CANALITH REPOSITIONING MANEUVE R FOR BENIGH PAROXYSMAL POSTIO,606,90118-00-01
FMLAB-9028,"CANDIDA ALBICANS ABS (IGA, IGG, IGM)",895,73100-20-10
FMLAB-4006,CANNABINOID,379,73300-07-00
FMLAB-9197,CARBOXY HAEMOGLOBIN,386,73400-00-20
CAR-0004,Cardiac Catherization Peadia,8426,38206-00-00
FMLAB-9030,CARNITINE TOTAL,525,73050-06-80
FMLAB-9031,CAROTENE,992,73050-06-90
FMVAS-0026,CAROTID ANGIOPLASTY AND STENTING,5570,35307-00-00
VAS-0019,Carotid Body Tumour,18875,33827-00-01
FMCAT-0037,CAT LAB PROCEDURE EXTRA COPY,50,83640-00-10
FMLABM0006,CATECHOLAMINES (ADRENALIN & NORADENALIN),975,73050-07-00
FMLAB-9413,CATHERPSIN D,569,73050-07-30
FMENTE6002,CATHETERIZATION OF EUSTACHIAN  TUBE,452,41755-00-01
FMENTO0011,CAUTERIZATION OF MOUTH ULCER - CHEMICAL,386,90143-00-00
FMOPTE0006,CAUTERY & SCRAPING OF CORNEAL  ULCER,198,42797-03-01
FMXRY-0619,CAVA FILTER IMPLEMENTATION,17640,35330-01-01
FMLAB-9127,"CD3, CD4, CD8 (T4/T8 LYMPHOCYTES Ratio) ",1226,73100-17-10
FMLAB-9289,CD4 AND CD8 (T4 & T8),1054,73100-16-90
FMLAB-9415,CDT (CARBOHYDRATE DEFICIENT TRANSFERRIN),684,73050-06-30
FMSUR-0139,CECOSTOMY,3197,30375-00-00
FMSUR-0158,CELESTINE TUBE IMPLANTATION,3258,30490-00-00
FMDER-0119,CELLULITE TREATMENT PER TREAT.,430,90675-00-00
FMDNTO0043,CEPHALOMETRIC COMPUTER ANALYS.,430,97081-00-00
FMLAB-9034,CERULOPLASMIN (S),485,73050-07-40
FMSUR-0199,CERVICAL DISC W/PLATE FUSION,5186,40332-00-00
MTOBG-0008,CERVICAL POLYPECTOMY,1480,35611-01-00
FMORT-0568,CERVICAL TRACTION,507,47684-00-00
FMCTSS0005,CHEMICAL PLEUROCTESIS,2073,38424-02-01
FMXRY-0083,CHEST PA LAT. OBL.,331,58500-00-30
FMXRY-0081,CHEST PA LAT. VIEWS,351,58500-00-20
FMXRY-0080,CHEST PA VIEW OR LAT.,262,55812-00-00
FMDNTF0015,CHILD. KETAC FILLING 1 SURFACE,281,97531-00-00
FMLAB-9991,CHLAMYDIA IgM,496,73100-20-30
SUR-0100,Cholecystostomy ,9550,30375-05-00
FMSUR-0171,CHOLEDOCHOJEJUNOSTOMY,3065,30460-04-00
FMLAB-9780,CHOLESTEROL (LDL),270,73050-23-80
FMLAB-9039,CHROMOSOMAL ANALYSIS,2426,73200-05-00
FMLAB-9042,CITRATE (URINE OR SERUM),1138,73050-08-60
FMXRY-0011,CLAVICLE  5% AO OR PA,221,57706-00-01
SUR-0039,Clearance of Fatty Hernia of Linea Alba,4719,30617-02-00
FMDNTC0063,CLEFT LIP CORRECTION BILATERALINCOMPLETE,2005,45701-00-00
FMDNTS0147,CLEFT UVULES,2005,90143-02-00
FMDNTC0069,CLEFT UVULES CORECTION  -     SUBMUCOSAL,1340,90142-02-00
FMORT-0565,CLOSE REDUCTION U.G.A. FOR    FRACTURE HUMERUS,1075,47456-00-01
ORT-0026,Close Reduction-Disclocate Phalanges GA,1685,47036-00-01
ORT-0021,Close Reduction-Fracture Tibia,4269,47564-00-01
FMORT-0123,CLOSED REDUCT OF DISLOCATN AT  ANKLE,645,47063-00-01
FMORT-0124,CLOSED REDUCT OF DISLOCATN AT  FOOT & TOE,684,47069-00-01
FMORT-0120,CLOSED REDUCT OF DISLOCATN AT  HAND & FINGER,386,47042-00-01
FMORT-0122,CLOSED REDUCT OF DISLOCATN AT  KNEE,1025,47054-00-01
FMORT-0119,CLOSED REDUCT OF DISLOCATN AT  WRIST,518,47024-02-01
FMORT-0117,CLOSED REDUCT OF DISLOCATN AT SHOULDER,1075,47009-00-02
FMORT-0074,CLOSED REDUCT OF FRACT W/ INT. FIX AT HUMERUS,1538,47456-01-01
FMORT-0079,CLOSED REDUCT OF FRACT W/ INT. FIX AT TARSALS & METATARSALS],1152,47621-01-01
FMORT-0077,CLOSED REDUCT OF FRACT W/ INT.FIX AT FEMUR,1643,47531-00-01
FMORT-0069,CLOSED REDUCT OF FRACT W/O INT FIX AT FEMUR,1025,47516-01-01
FMORT-0068,CLOSED REDUCT OF FRACT W/O INT FIX AT PHALANGES - HAND,259,47300-00-01
FMORT-0072,CLOSED REDUCT OF FRACT W/O INT FIX AT PHALANGES-FOOT,695,47672-00-01
FMORT-0071,CLOSED REDUCT OF FRACT W/O INT FIX AT TARSALS & MATATARSALS,353,47621-00-01
FMORT-0105,CLOSED REDUCT OF SEPARATED -   EPIPHYSIS AT FEMUR,1025,47525-00-01
FMDNTS0115,CLOSED REDUCTION,1741,47756-00-01
FMORT-0461,CLOSED REDUCTION OF P.O.P. OF  FRACTURE OF THE CALCANEUM,645,47609-00-01
FMORT-0619,CLOSED REDUCTION WITH INTERNAL FIXATION RADIUS ULNA,2144,47363-02-01
FMLAB-9433,CLOSTRIDIUM DIFFICILE TOXIN,400,73050-59-70
FMDNTS0039,CLOSURE OF ACCIDENTAL OPENING OF MAX. SINUS (LARGE),2005,41716-04-00
FMSUR-0118,CLOSURE OF GASTROSTOMY,3197,90339-00-00
FMENTE4012,CLOSURE OF MASTOID FISTULA,4084,90117-00-01
FMURO-0018,CLOSURE OF PENAL URETHROSTOMY,2558,36621-00-00
FMSUR-0150,CLOSURE OF STOMA OF LARGE     INTESTINE,3577,30562-05-00
FMLAB-1024,CLOTTING TIME (C.T),66,73100-08-50
ORT-0064,CLR w/ Ligament Patella Band + P.T./I.P.,15954,49539-00-01
FMLAB-1032,COLD AGGLUTININS TITRE,243,73100-12-30
FMLABM0012,COMPLEMENT COMPONENT (C1Q),441,73100-04-10
FMLAB-9035,COMPLEMENT TOTAL (CH100 /CH50),728,73100-12-60
FMORT-0167,COMPLETE OR PARTL.RESECTION OF SYNOVIAL MEMB.-ELBOW,1918,49109-01-01
FMORT-0168,COMPLETE OR PARTL.RESECTION OF SYNOVIAL MEMB.-WRIST,1279,46342-00-01
FMORT-0166,COMPLETE OR PARTL.RESECTION OF SYNOVIAL MEMBR.-SHOULDER,2299,48936-00-01
FMDNTP0037,COMPLETEL DENT.VITAL.TYPE II,10175,97711-00-00
FMOBG-0088,CONIZATION,914,35618-00-00
FMOPTD0006,CONJUNTIVOPLASTY,1025,90093-00-01
FMPDT-0079,"CONT. CONTROL PULSE,ECG,RESP.  TEMP.ETC.BY MONITOR UPTO 24HRS",1097,11512-00-00
FMINT-0033,CONT.SUBCUTA.INSULIN INFU.PUMP,794,96209-06-00
FMPSDF0003,CONTRACTED FINGERS(ONE FINGER),2111,46492-00-01
FMENTP2014,CONTROL OF HAEMORRHAGE AFTER -,1918,41797-00-00
FMSUR-0019,CONTROL OF POST-OF HAEMORHAGE ANUS(STOP BLEEDING),838,90345-00-00
FMLAB-1033,COOMBS TEST-DIRECT,165,73250-00-30
FMOPTE0013,CORNEAL DERMATOID EXCISION,1839,90067-00-01
OPT-0036,Corneal Graft (P. Keratoplasty),19100,90064-00-01
FMOPTA0018,CORNEAL TOPOGRAPHY,507,90067-00-31
CAR-0018,Coronary Artery Bypass Grafting (CABG),35000,38500-02-00
FMCAT-0039,CORONARY THROMBECTOMY 1,1103,90218-00-00
FMNEU-0137,CORPUS CALLOSOTOMY FOR EPILEPSY,4167,40700-00-00
FMORT-0152,CORRECTIN OF METATARSUS VARUS,1918,48400-02-01
FMORT-0510,CORRECTION OF CAVUS FOOT DUE   TO PARALYSIS OR IDIOPATHIC,1918,90599-00-01
FMOPTI0003,CORRECTION OF EVERTED PUNCTUM,645,90092-00-01
ORT-0040,Correction of Hallux Valgus,7471,49821-00-00
FMOBG-0058,CORRECTN OF RETROVERTED UTERUS,1823,90435-00-00
FMLAB-9241,CORTISOL FREE (U),300,73050-09-00
FMURO-0180,COVERNOSO-SPONGEAL SHUNT(MICROSCOPIC),3131,37396-00-00
FMNEU-0017,CRANIO-FACIAL RESECTION,5107,90678-02-00
FMSUR-0073,CRANIOTOMY,3255,39640-00-00
NEU-0017,"Craniotomy for Hemorrhage, Subarachnoid, Subdural & Extradural, following Injury",33031,39615-01-00
FMNEU-0016,CRANIOTOMY R/L FRONTAL,6134,39721-00-00
FMLAB-2024,CREATININE CLEARANCE,314,73050-10-00
FMENTP3008,CRICO-PHARYNGEAL MYOTOMY,3374,41776-00-00
FMLAB-5023,CRP (C-REACTIVE PROTEIN),232,73100-11-40
FMPDS-0017,"CRYO-CAUTERY OF HAEMANGIOMA,",1257,45027-00-00
FMLAB-9047,"CRYOGLOBULIN, QUALITATIVE (S)",207,73050-10-20
FMXRY-0430,CSF FLOW STUDY,992,61409-00-00
FMLAB-2025,CSF GLUCOSE,137,73400-00-70
FMXRY-0363,CT WHOLE BODY W/O CONTRAST,2756,61425-00-00
FMLABM0058,CYCLOSPORIN ASSAY,706,73300-00-40
FMLAB-9985,CYSTATIN-C,402,73050-10-60
FMLAB-9453,CYSTINE (U),423,73050-10-70
FMXRY-0218,CYSTOGRAM,662,58718-00-00
FMURO-0004,CYSTOSCOPY & CAUTERY - BLADDER,1918,36840-02-00
FMURO-0174,CYSTOSCOPY AND BLADDER HYDRO DISTENTION,1714,36827-00-00
MTURO-0015,CYSTOSCOPY AND BLADDER NECK,4123,36854-00-00
FMURO-0178,CYSTOSCOPY AND BOTOX INJECTION,2310,36851-00-00
FMLAB-9792,CYTOGENETICS LEUKEMIC BLOOD / BONE MARROW,2549,73200-04-80
FMLAB-8003,CYTOLOGY-PAP SMEAR,380,73200-01-20
FMLAB-9455,CYTOMEGALOVIRUS CMV (PCR),1130,73050-52-10
FMLAB-9243,CYTOTOXIC ABS. (HLA ABS),1235,73100-28-70
FMXRY-0601,D.S.A.,2756,59970-01-00
MTOPT-0028,DACROSYSTECTOMY,3528,42596-01-01
FMXRY-0261,DACRYCYSTOGRAM,662,59703-00-00
FMLAB-9456,DALA/DELTA AMNOLAEVULINIC ACID,221,73050-02-50
FMNEP-1000,DAY CARE SUPPERVISION,248,83610-00-30
FMPSDH0026,DEBRIDEMENT PROCEDURE MODERATE,1962,90665-00-20
FMENTE5002,DECOMPRESSION OF TEMPORAL,6134,40015-00-00
FMPTD-0124,DEEP BREATHING AND COUGHING EXERCISES,110,96139-00-00
FMNUR-0017,DEEP CUT WOUND - MEDIUM        (5 - 10 STITCHES),243,30029-00-20
MTSUR-0010,DEEP CUT WOUND LARGE (10-20 STITICHES),342,30029-00-30
FMLAB-9049,DEHYDROEPIANDROSTERONE SULPHATE  DHEA (S),750,73050-10-90
FMORT-0266,DELAYED SUTURE OF FLEXOR TENDN OF HAND,2558,46435-00-01
FMPSDE0031,DELTOPECTORAL FLAP TO ORAL     CAVITY,3934,45206-02-00
FMLABM0017,"Dengue fever Virus Abs (IgG, IgM)",538,73100-27-20
NEU-0003,Depressed Fracture of Skull & Decompression,14926,90007-01-00
FMINT-0065,DIABETIC FOOT CARE,152,95550-04-00
FMXRY-0511,DIAGONOSTIC U/S ONE ORGAN,551,55038-00-00
FMPDS-0049,DIAPHRAGMATIC HERNIA,6465,43837-02-00
FMDER-0063,DIATHERMY CURRETAGE,127,30195-00-00
FMENTL0011,DIATHERMY TREATMENT OF,3197,41864-00-00
FMLAB-9462,DIBUCAINE INHIBITION. OF PSEUDO-CHOLE,207,73050-11-20
FMINT-0056,DIFFUSION,386,73100-15-20
FMNUM-0033,DIGITAL EEG,827,11003-00-00
FMLAB-9468,DIHYDROTESTOSTERONE,626,73050-10-80
FMLAB-9311,DIPTHERIA ABS.,428,73100-20-90
FMORT-0333,DISARTICULATION OF ANKLE,2558,44361-00-01
FMORT-0338,DISARTICULATION OF HIP,4084,44370-00-00
FMORT-0334,DISARTICULATION OF KNEE,3065,44367-01-00
FMORT-0324,DISARTICULATION OF SHOULDER,3065,44331-00-01
FMORT-0321,DISARTICULATION OF WRIST,2558,44328-02-01
FMURO-0025,DIVERTICULECTOMY,3065,37020-01-00
URO-0036,Diverticulum (Excision of Bladder),8651,37020-00-00
FMLAB-1037,DONOR SCREENING,937,73250-01-00
FMLAB-9291,DOPAMINE-BETA-HYDROXYLASE,415,73000-01-20
FMXRY-0517,DOPPLER FOR PERIP.ARTER.BOTH,992,55238-01-00
FMXRY-0519,DOPPLER FOR PERIP.VEINS BOTH,992,55244-01-00
FMXRY-0518,DOPPLER FOR PERIP.VEINS ONE,882,55244-00-00
FMXRY-0516,DOPPLER FOR PERIPHERAL ART.ONE,882,55238-00-00
FMXRY-0524,DOPPLER FOR UMBLICAL ARTERY,243,55729-01-00
FMORT-0194,DORSO-LUMBAR SPINAL FUSION W/  HARRINGTON ROD LONG SEGMENT,6134,48681-00-00
FMOPTG0011,DOUBLE MOLTENO IMPLANT,1108,42752-00-02
OBG-0009,Douglas Pouch Abcess Drainage,3539,30394-02-00
FMCTS-0035,DRAINAGE OF CHEST WALL ABSCESS,579,90175-04-00
MTSUR-0015,DRAINAGE SMALL ABSCESS (L.A.),243,30223-01-10
FMNEP-0039,DRESSING OF DOUBLE LUMEN CATHETER,116,92058-01-00
MTPSY-0003,E.C.T SIX SETS,3241,14224-02-00
FMNUM-0012,E.M.G. FOR 1 MUSCLE OR NERVE,320,97086-00-00
FMENDE0039,E.S. WITH STONE CRUSHING,4636,90956-00-00
FMENTE3001,EAR WASH - UNILATERAL,171,41647-00-00
FMPSYA0053,EATING DISORDER TEST (E.D.T.),149,96026-00-00
FMCARS0023,ECHO FOLLOW UP,606,38213-00-00
FMLAB-9475,ECP (EOSINOPHIL CATIONIC PROTEIN),441,73400-01-20
FMOBG-0032,ECTOPIC PREGNANCY OPERATION,2431,35677-00-00
FMXRY-0044,ELBOW FOR SULCRUS ULNARIS,165,57506-01-11
FMDER-0162,ELECTROCAUTERY-EXTRA LARGE,1555,30195-07-20
FMENTE0010,ELECTROCHOCHLEOGRAPHY,1152,11303-00-00
FMOPTC0018,ELECTROLYSIS (BOTH EYELIDS),317,42587-04-02
FMPTD-2069,ELECTROTHERAPY,232,30195-07-10
FMNEU-0013,ELEVATION OF DEPRESSED SKULL  FRACTURE,1918,39609-01-00
FMVAS-0017,EMBOLECTOMY,5821,33806-10-01
FMNUM-0048,EMG AND NCV 4 UNTIS,1378,11018-01-00
