DEPARTMENT,CODE,SERVICE DESCRIPTION,Price 2022,TYPE
X-RAY,FMXRY-0625,MRI SPECIAL SEQUENCE,1852.0320000000002,SERVICE
X-RAY,FMXRY-1001,MRI W/O CONTRAST,1500.0,SERVICE
X-RAY,FMXRY-0643,MRI WHOLE SPINE,3307.2,service
X-RAY,FMXRY-0617,MRI WITH 15% DISCOUNT,1500.0,SERVICE
X-RAY,FMXRY-0650,MRI WITH ANESTHESIA (PACKAGE DEAL),3116.275344,SERVICE
X-RAY,FMXRY-1002,MRI WITH CONTRAST,1700.0,SERVICE
X-RAY,FMXRY-0616,MRI WITH GADOLONIUM,1700.0,SERVICE
X-RAY,FMXRY-0622,OPEN MRI,1944.6336,SERVICE
X-RAY,FMXRY-0623,OPEN MRI WITH CONTRAST,2552.3316,SERVICE
X-RAY,FMXRY-0304,ORBIT/SELLA/INNER EAR W/ CONT,1250.0,SERVICE
X-RAY,FMXRY-0303,ORBIT/SELLA/INNER EAR W/O CONT,1050.0,SERVICE
X-RAY,FMXRY-0326,OSTEO - CT.,1050.0,SERVICE
X-RAY,FMXRY-0329,OSTEO C.T. FOLLOW UP,1215.396,SERVICE
X-RAY,FMXRY-0484,PARATHYROID SPECT/CT LOCALIZATION S,3731.6240000000003,service
X-RAY,FMXRY-0493,PRELIMIMARY SPECT/CT ORGAN STUDY,1730.768,service
X-RAY,FMXRY-0321,PRELIMINARY C.T. ANY ORGAN,1050.0,SERVICE
X-RAY,FMXRY-0620,PRELIMINARY MRI,1944.6336,SERVICE
X-RAY,FMXRY-0487,REST MYOCARDIAL PERFUSION SPECT (T1,3996.2,service
X-RAY,FMXRY-0491,SPECT/CT LIMITED STUDY,2662.296,service
X-RAY,FMXRY-0315,SPINE W/CONTRAST 2 SEGMENTS,2552.3316,SERVICE
X-RAY,FMXRY-0314,SPINE W/O CONTRAST(2 SEGMENTS),2187.7128000000002,SERVICE
X-RAY,FMXRY-0604,TEL-RAD CONS. - CT SCAN,1434.1672800000001,SERVICE
X-RAY,FMXRY-0603,TEL-RAD. CONS. - MRI SCAN,2248.4826,SERVICE
X-RAY,FMXRY-0489,V/Q SPECT/CT LUNG SCAN,5324.592,service
X-RAY,FMXRY-0635,WHOLE BODY DIFFUSION MRI,2662.296,service
X-RAY,FMXRY-0636,WHOLE BODY MRI,3996.2,service
