Code,Name,Gross Price
FMINT-0500,SECOND OPINION CONSULTATION,160
FMNEU-0000,NEURO-SURGERY CONSULTATION-IP,160
FMNEU-0500,SECOND OPINION CONSULTATION,160
FMNUM-0000,NEUROLOGY CONSULTATION (IN-PT),160
FMNUM-0500,SECOND OPINION CONSULTATION,160
FMOBG-0000,OB-GYNE CONSULTATION - (IN-PT),160
FMOBG-0500,SECOND OPINION CONSULTATION,160
FMODT-0500,SECOND OPINION CONSULTATION,160
FMONC-0500,SECOND OPINION CONSULTATION,160
FMOPT-0000,OPHTHALMOLOGY CONSULTATION(IP),160
FMPDS-0000,PAED. SURGERY CONSULTATION IP,160
FMPDS-0081,EMERGENCY P.SURGERY CONSUL.,160
FMPDT-0000,PAEDIATRIC CONSULTATION(IN-PT),160
FMPDT-0094,INTERPARTMENT CONSULT & EXAM OF PATIENT,160
FMPDT-0099,PSYCHP. CONS.INCLUDING PRNTS. DISTURBED BEHAVIOR 1 SESSION,160
FMPDT-0100,CONSULTATION OF PARENTS,160
FMPDT-0500,SECOND OPINION CONSULTATION,160
FMPSD-0000,PLASTIC SURGERY CONSULTATION (IN-PATIENT),160
FMPSY-0500,SECOND OPINION CONSULTATION,160
FMPSYA0000,PSYCHIATRIC CONSULTATION-IN-PT,160
FMPTD-0023,PHYSIOTHERAPY HOME VISIT,160
FMSUR-1003,SECOND OPINION CONSULTATION,160
FMURO-0000,UROLOGY CONSULTATION - IN-PT.,160
FMURO-0500,SECOND OPINION CONSULTATION,160
IMIM010634,HOSSAMELDIN MOHAMED ABDEL RAHMAN,160
IMIM010637,AMAL EMAM EMAM ALAWAM,160
IMIM030676,AZHAR ALAM KHAN,160
IMIM040490,MAMDOUCH ABDEL RAHEEM,160
IMIM050523,MARYAM ZAFAR,160
IMNP030569,HISHAM MOHAMED KAMEL,160
IMPU010640,HALA MOHAMED SHALABI SAMAHA,160
IMPU016092,EHSAN YAHIA YOUSSEF SABRY,160
NENE010308,MAHMOUD MOHAMMAD SABRY,160
NENE040440,MOHAMMED ZAKARIA MOHAMMED,160
NENR030661,AHMED ABDULHAMID MOHAMED,160
NENR036100,MOHAMMED EL HOSSINY TAWFIK,160
NENS100636,AMR MOHAMED HAZEM MOHAMED,160
NUNS010674,MOHAMMED ADEL YEHIA,160
NUNS030671,AHMED MOHAMED NABIL,160
OGOB010454,MESBAH ABDELRAHMAN KOTB,160
OGOB016113,NASRAT MOHAMED ABDELBAKI YOUSSEF,160
OGOB030647,MAHNAZ FAZAL,160
OGOB030655,ESMAT ABDELMEGUID ABOELMOATY,160
OGOB040420,IMAN MOHD MAHMOUD SHARARA,160
OGOB040441,FATEN KHAIR ALLA,160
OGOB050214,GEHAN MAHMOUD EL AIDI,160
OGOB060618,ZEINAB SAID ELBANA,160
OGOB080638,BASSMA MOHAMED IBRAHIM,160
ONON010578,WALEED HAMMAM ABD MANAF MOSA,160
ONON010600,MOHAMED EL SHERBINI AHMED,160
OPOT010608,MOHAMMAD IDREES,160
OPOT066115,PASSANT MOHAMMAD MAHMOUD,160
OROP030628,MOHAMED SAMY ELHADIDY,160
OROP030646,BASSEM EZZELDINE MOUSSA ABDELHALIM,160
OROP030649,MARWAN MOSTAFA MOHAMED,160
OROP036102,AL SAYED AHMED EL SAYED,160
OROP036114,SAAD IBRAHIM MOHAMMED,160
OROP036134,MOHAMMAD METWALY ABDELSALAM,160
OROP040419,MOHAMMED FAWZI MOHD EMAM SHAABAN,160
PAPE010614,NAEMA AHMED HASSANY,160
PAPE016119,AWATEF ABDELHAMED AHMED,160
PAPE030574,SHERIF A. MONEM SHARAKA,160
PAPE030665,MOHAMED LOTFY ALI AHMED,160
PAPE080613,NAMRAH KHALID,160
PAPE100530,AHMED HAMZAH,160
PDPE040004,KHALED MOHAMED A. AZIZ,160
PDPE040425,DINA MEDHAT MOSTAFA AWAD,160
PDPE050002,MOHAMED KAMAL ABDELMAJEED,160
PLPL010461,TAREK ELBANOBY,160
PLPL016004,KHALED HASSAN A. M. ELDARDIRY,160
PSPY010142,MOSTAFA KAMEL OMAR,160
PSPY030651,RASHA AHMED ABDELFATTAH AHMED,160
RHRH010500,KHALED FATHY EL HASSANAIN,160
RHRH010617,SAFAA SAYED ABD ELRASOL,160
S1,Consultant Consultation,160
SRGS030660,MOHAMED RAGAB SAAD,160
SRGS030678,MAHMOUD IBRAHIM ELKADI,160
SRGS036105,MOHAMMED AHMED ALI,160
SRGS040543,ESSAM FARID ZAKI,160
SRVS016143,HESHAM ELSAYED LABIB,160
URGU010001,HISHAM MOHAMMED FATTHY ELSHAWAF,160
URGU010664,NASSER FOUAD MOHAMED SABET,160
URGU030669,OSAMA MEGAHE ELHOSARY,160
VSSR010376,MOHAMMED MOHAMMED TAWFIK,160
WDIM060242,IBRAHIM MOHAMED AL HUSSEINY,160
FMLAB-9842,PRE-OPER SCREEEN,700
EDOP090675,GUIDO ALEXANDER WAHLER,330
FMACU-1000,DAY CARE SUPERVISION,286
FMACU-1001,DOCTOR S DAYCARE SUPERVISION,143
FMACUA0000,ACUPUNCTURE CONSULTATION-IN-PT,110
FMACUA0002,ACUPUNCTURE THERAPY,286
FMACUA0003,TRIGGER POINT INJECTION,286
FMACUA0006,HYPNOSIS,179.3
FMACUA0010,STELLATE GANGLION BLOCK,1716
FMACUA0011,SIMPLE PER.NERVE INJECTION,1716
FMACUA0016,ACUPUNCTURE PER SESSION,214.5
FMACUA0017,ACUPUNCTURE COURSE 10 SESSIONS,1738
FMACUA0018,ACUPUNCTURE COURSE 7 SESSION,1409.1
FMACUA0019,ACUPUNCTURE COURSE 5 SESSION,1001
FMACUA0020,MOXIBUSTION / STICK,214.5
FMACUA0021,CUPPING - AREA,122.1
FMACUA0022,TRIGGER POINT STIMULATION,179.3
FMACUA0023,TRANSNERVE STIMULATION,300.3
FMACUA0024,SLEEP INDUCING ACUPUNCTURE FOR INSOMNIA,300.3
FMACUA0025,ACUPUNCTURE MEDEL,14.3
FMACUA0026,ACUPUNCTURE FOR OBESCITY,572
FMACUA0028,DEPILATION H REMOVAL 30 MINS,322.3
FMADM-0001,LOST PIN CARD,14.3
FMADM-0002,PIN CHARGE,36.3
FMADM-0003,BREAK OF INSTRUMENT,2145
FMADM-1004,PACKAGEDEAL PROCEDURE,1.1
FMADM-1005,LOST AND BROKEN ITEMS,14.3
FMADM-1006,COVER SEAT TOILET PVC HARD - LOULOU - MT9202,50.6
FMADM-1007,BROKEN THERMOS CHINA,28.6
FMADM-1008,PLATE LUNCH ON SALAD,22
FMANAP0002,LUMBAR PUNCTURE,350.9
FMANAP0003,C.P.R. 1ST FOR THE DAY,1738
FMANAP0004,C.P.R. 2ND FOR THE DAY,1051.6
FMANAP0005,C.P.R. 3RD FORTHE DAY,700.7
FMANAP0006,CARDIAC MONITORING/30 MINS,71.5
FMANAP0007,PERICARDIAL TAP,858
FMANAP0008,AXILLARY PLEXUS - ANESTHESIA,429
FMANAP0009,BRACHIAL PLEXUS - ANESTHESIA,429
FMANAP0010,SPINAL ANESTHESIA,429
FMANAP0011,CAUDAL ANESTHESIA,429
FMANAP0012,EPIDURAL ANESTHESIA,1144
FMANAP0013,EPIDURAL ANALGESIA (LABOUR - PAIN RELIEF),1144
FMANAP0014,OXYGEN (O2) PER HOUR,85.8
FMANAP0015,NITROUS OXIDE (N2O/30 MINS),71.5
FMANAP0016,ENFLURANE (ETHRANE) PER CC,7.7
FMANAP0017,INSERTION OF SUB-CLAVIAN CATH.,350.9
FMANAP0018,ARTERIAL LINE,522.5
FMANAP0019,TRACHIAL INTUBATION,214.5
FMANAP0020,ARTIFICIAL VENTILATION / HOUR,143
FMANAP0021,NASOGASTRIC TUBE INSERTION,214.5
FMANAP0022,SUPRA-PUBIC CATHETERIZATION,429
FMANAP0023,URINE CATHETER INSERTION,107.8
FMANAP0024,SWAN GAUZE CATHETER (PULMONARY CATHETERIZATION),2145
FMANAP0025,EXTERNAL CARDIAC PACING,2860
FMANAP0026,BLOOD GAS ANALYSIS,471.9
FMANAP0027,TRACHEAL SUCTION PROCEDURE-DAY,85.8
FMANAP0028,TRACHEOTOMY CARE,85.8
FMANAP0030,OPD ASSISTANT ANAESTHETIST,236.5
FMANAP0031,MASK G. ANAESTHESIA,471.9
FMANAP0032,LOCAL ANAESTHESIA ASSISTANT/HR,157.3
FMANAP0033,HALOTHANE PER CC,7.7
FMANAP0034,PREMEDICATION VISIT,157.3
FMANAP0035,I.V. ANAESTHESIA,471.9
FMANAP0036,I.V. REGIONAL ANAESTHESIA,471.9
FMANAP0037,FORANE INHALATION PER CC,22
FMANAP0038,PULSE OXIMETER MONITOR (OXYGEN MONITORING),42.9
FMANAP0039,LUMBAR SYMPATHETIC BLOCK,636.9
FMANAP0040,MECHANICAL VENTILATION 24/HRS,951.5
FMANAP0041,EXAMINATION UNDER ANESTHESIA,471.9
FMANAP0042,MODERATE RISK ANESTHESIA,794.2
FMANAP0043,HIGH RISK ANESTHESIA,1580.7
FMANAP0044,STELLATE GANGLION BLOCK,314.6
FMANAP0045,DINAMAP PER HOUR,79.2
FMANAP0046,NORMOCAP 200 PER HOUR,79.2
FMANAP0047,NORMOCAP 200 PER 30 MINUTES,42.9
FMANAP0048,EPIDURAL INJECTION,79.2
FMANAP0049,CELL SAVER MACHINE,794.2
FMANAP0050,I.V. SEDATION,236.5
FMANAP0051,CAPNOGRAPH II PER 30 MINUTES,157.3
FMANAP0052,NITROUS OXIDE-FULL TANK,715
FMANAP0053,NITROUS OXIDE - 3/4 TANK,536.8
FMANAP0054,NITROUS OXIDE - 1/2 TANK,357.5
FMANAP0055,NITROUS OXIDE - 1/4 TANK,179.3
FMANAP0056,BICORE MONITORING/DAY (PULM.),872.3
FMANAP0057,EPIDURAL ANAESTHESIA - OPD (PAIN RELIEF),1158.3
FMANAP0058,SEVOFURANE PER ML.,8.8
FMANAP0060,G.A. ETT ANAESTHESIA,350.9
FMANAP0061,LMA ANAESTHESIA,715
FMANAP9901,OPERATION ROOM,257.4
FMANAP9902,ANAESTHETIC DOCTOR,257.4
FMANAP9908,ENDOTRACHEAL INTUBATION,314.6
FMANAP9909,ACUPUNCHURE/SESSION,207.9
FMANAP9910,ACUPUNTURE NEEDLE EACH,22
FMANAP9911,CT/MRI G.A. CHARGES,715
FMANAP9912,CT/MRI UNDER SEDATIONS,429
FMCAR-0002,E.C.G.,128.7
FMCAR-0003,E.C.G. WITH ERGOMETRY,1108.8
FMCAR-0004,ECHO CARDIOGRAM 2D + M MODE,872.3
FMCAR-0005,ECHO CARDIOGRAM 2D + M MODE + DOPPLER (FULL STUDY),1215.5
FMCAR-0006,HOLTER MONITOR 24 HOURS ECG,4290
FMCAR-0007,TREADMILL EXERCISE STRESS TEST,872.3
FMCAR-0009,E.C.G. FOR INPATIENT,157.3
FMCAR-0010,VENOUS DUPLEX,314.6
FMCAR-0011,SURFACE PACEMAKER(NON-INVASIVE,2367.2
FMCAR-0014,ECHO M-MODE ONLY,451
FMCAR-0015,HYPERTENSION CHECK-UP I,715
FMCAR-0016,HYPERTENSION CHECK-UP II,1501.5
FMCAR-0018,ECHO REPEAT,643.5
FMCAR-0019,ECHO FOLLOW UP,500.5
FMCAR-0020,REPROGRAMING OF PERMANET PACEMAKER,1144
FMCAR-0021,DOBUTAMINE STRESS NUCLEAR SCANNING,4576
FMCAR-0022,THALLIUM W/EXERCISE ( FOR CARDIOLOGY),4004
FMCAR-0023,THALLIUM W/O EXERCISE(FOR CARDIOLOGY),4576
FMCAR-0024,THALIUM W/PHARMACOLOGICAL STRESS(CARDIO),2288
FMCAR-0025,THALIUM EXERCISE STRESS TEST(CARDIO),2002
FMCAR-1000,DAY CARE SUPERVISION,165
FMCAR-1002,PACE MAKER FOLLOW UP - REMOVAL OF STICHES,214.5
FMCAR-1003,PACE MAKER PROGRAMING,572
FMCARS0002,TEMPORARY PACEMAKER,1430
FMCARS0006,TRANSESOPHAGEAL ECHOCARDIOGRAP HY (TEE),1716
FMCARS0007,PHARMACOLOGICAL TEST,1001
FMCARS0008,PHARMACOLOGICAL STRESS ECHOCAR DIOGRAPHY,2145
FMCARS0009,ABULATORY BP MONITORING,1573
FMCARS0010,INTRA-AROTIC BALLOON INSERTION,2860
FMCARS0011,INTRA-AORTIC BALLOON PUMP USE / DAY,858
FMCARS0020,STRESS TRANOESPHAGEAL ECHO,1716
FMCARS0021,ECHO FULL STUDY,1144
FMCARS0022,ECHO CARDIOGRAM FOR PEDIATRIC,2073.5
FMCARS0023,TRANSOESOPHAGAL ECHO PROSTHESIS (TEE2),4290
FMCAT-0001,EXTERNAL PACEMAKER USE/DAY,286
FMCAT-0006,INTRA-AORTIC BALLOON PUMP USE,858
FMCAT-0022,HEMOCHROME ACT MACHINE,85.8
FMCAT-0033,SYRINGE PUMP,79.2
FMCAT-0034,INFUSION PUMP,79.2
FMCAT-0035,HEMOCHROME ACT MACHINE,85.8
FMCAT-0036,DR. ALAMRI THERAPEUTIC CATHLAB(SINGLE),4290
FMCTS-0019,MEDIASTINOSCOPY DIAGNOSTIC,4290
FMCTS-0020,MEDIASTINOSCOPY OPERATIVE,7150
FMCTS-0027,DIAGNOSTIC ASPIRATION,451
FMCTS-0030,DIAGNOSTIC THORACOSCOPY,7507.5
FMCTS-0033,DRAINAGE OF LUNG ABSCESS,3754.3
FMCTS-0035,DRAINAGE OF CHEST WALL ABSCESS,751.3
FMCTS-0054,BROCHOSCOPY,2367.2
FMCTS-0055,BRONCHOALVEOLAR LAVAGE,157.3
FMCTS-1000,DAY CARE SUPERVISION,165
FMCTS-1001,DOCTOR S DAYCARE SUPERVISION,79.2
FMCTSS0009,DIAGNOSTIC RIGID BRONCHOSCOPY,4504.5
FMDER-0001,REFERRAL FROM OTHER DOCTOR-OP,85.8
FMDER-0002,PROSTATIC MASSAGE,185.9
FMDER-0003,SVD INJECTION,143
FMDER-0004,SKIN BIOPSY,572
FMDER-0005,LYMPH NODE BIOPSY,557.7
FMDER-0006,SKIN ALLERGY TEST PATCH,557.7
FMDER-0008,CHEMICAL CAUTERY,171.6
FMDER-0009,AUTO VACCINATION,107.8
FMDER-0010,TESTICULAR BIOPSY,1630.2
FMDER-0011,SKIN BIOPSY FOR EM,1816.1
FMDER-0012,WOOD S LIGHT EXAM,185.9
FMDER-0013,ELECTRO-CAUTERY,880
FMDER-0014,INCISION & CRRETAGE,922.9
FMDER-0015,BASED CELL CARCINOMA,5084.2
FMDER-0016,SOLAR KERATOSIS,3053.6
FMDER-0017,DISSEM SUPER KERATOSIS,2724.7
FMDER-0018,BOWN S DESEASE,3053.6
FMDER-0019,CALLOSITIES,1023
FMDER-0020,PLANTER WART,236.5
FMDER-0021,TZANK SHEAR TEST,271.7
FMDER-0022,PHOTOPATCH TEST,371.8
FMDER-0023,SKIN PATCH TEST,557.7
FMDER-0024,ICE CUBE TEST,414.7
FMDER-0025,PATHOLOGY TEST,371.8
FMDER-0026,URETHERAL SCRAPPING,185.9
FMDER-0027,GONOZYME SWAB,471.9
FMDER-0028,BUCCAL SMEAR,185.9
FMDER-0029,LESION SMEAR,185.9
FMDER-0030,VAPOSONE SESSION,185.9
FMDER-0031,DERMO TEST,185.9
FMDER-0032,PUVA THERAPY,265.1
FMDER-0033,NARROW BAND THERAPY,207.9
FMDER-0034,TRICHOGRAM,471.9
FMDER-0035,DERMABRASION UNIT,2038.3
FMDER-0036,SKIN TAG EXCISION PER UNIT,922.9
FMDER-0037,LOC. SEROFAL VARICOCELECTOMY,922.9
FMDER-0038,MILIA EXTRACTION,880
FMDER-0039,PODOPHYLLIN APPLICATION,143
FMDER-0040,PHENOL APPLICATION 40%,143
FMDER-0041,INTRADERMAL INJECTION,214.5
FMDER-0042,ELECTRO-CAUTERY PER/UNIT,171.6
FMDER-0043,KERATOLITIC APPLICATION - FACE,286
FMDER-0044,KERATOLITIC APPLICATION - ARM,465.3
FMDER-0045,KERATOLITIC APPLICATION - LEGS,737
FMDER-0047,ULTRAVIOLET EXPOSE,207.9
FMDER-0048,ZYDERM IMPLANT TEST,608.3
FMDER-0049,COLLAGEN APPLICATION - ACNE,286
FMDER-0050,COLLAGEN APPLICATION - REGENE- RATION,286
FMDER-0051,HERBAL MASK APPLICATION,207.9
FMDER-0052,TOPICAL APPLICATION - ALOPECIA LOTION,214.5
FMDER-0053,TOPICAL APPLICATION - VITILIGO LOTION,214.5
FMDER-0054,ALOPECIA LOTION 2% - 100CC,1609.3
FMDER-0055,ALOPECIA LOTION 3% - 100CC,2410.1
FMDER-0056,ALOPECIA LOTION 5% - 100CC,3789.5
FMDER-0057,OIL OF BERGAMOT 100CC,409.2
FMDER-0058,INFRARED EXPOSURE,207.9
FMDER-0059,ZYDERM IMPLANT INJECTION,2724.7
FMDER-0061,SAMPLE FR. TESTISE BY NEEDLE,286
FMDER-0062,PATHERGY,414.7
FMDER-0063,DIATHERMY CURRETAGE,185.9
FMDER-0064,URETHERAL IRRIGATION,185.9
FMDER-0065,HAIR SHAFT,185.9
FMDER-0066,VARICOCELE,3268.1
FMDER-0068,SENSITIVITY TEST,465.3
FMDER-0071,DEPILATION-SMALL AREA,308
FMDER-0072,DEPILATION -MEDIUM AREA,594
FMDER-0073,DEPILATION-LARGE AREA.,972.4
FMDER-0075,PUVA THERAPY PKG 10 SESSIONS,2009.7
FMDER-0076,CAPILSTIMULATOR PER SESSION,308
FMDER-0077,CAPILSTIMULATOR PACKAGE DEAL (10 SESSIONS ).,1909.6
FMDER-0079,PUVA SECOND COURSE,1415.7
FMDER-0080,PUVA SUCCEEDING COURSE,1015.3
FMDER-0083,OCCLUSIVE DRESSING SMALL,171.6
FMDER-0084,OCCLUSIVE DRESSING MEDIUM,243.1
FMDER-0085,OCCLUSIVE DRESSING LARGE,265.1
FMDER-0086,EXTRACTION OF MOLLUSCA BODIES AREA,185.9
FMDER-0087,DERMOJECT INJECTION,171.6
FMDER-0089,INTRALESIONAL INJECTION,171.6
FMDER-0090,SUBCUTANEOUS INJECTION,171.6
FMDER-0091,I.V. INJECTION,143
FMDER-0095,ERECTILE DISORDERS DETECTION USING DUPPLER APPARATUS,185.9
FMDER-0096,HYPERPIGMENTATION COURSE,1816.1
FMDER-0097,B.H. ELECTRO - CAUTERY,214.5
FMDER-0098,B.H. ELECTRO - CAUTERY,1015.3
FMDER-0099,DOPPLER PROCEDURE,236.5
FMDER-0100,LASER THERAPY APPLICATION FOR DERMA. & ACUPUNCTURE 10 SESS.,2996.4
FMDER-0101,LASER THERAPY APPLICATION FOR DERMA.& ACUPUNCTURE 7 SESSION,1709.4
FMDER-0102,LASER THERAPY APPLICATION FOR DERMA. & ACUPUNCTURE 5 SESSION,1315.6
FMDER-0103,ACU BLITZ ACUPUNCTURE THERAPY 10 SESSIONS,2002
FMDER-0104,ACU BLITZ ACUPUNCTURE THERAPY 7 SESSIONS,1415.7
FMDER-0105,ACU BLITZ ACUPUNCTURE THERAPY 5 SESSIONS,1015.3
FMDER-0106,EUROPEAN ACNE - FACIAL,1015.3
FMDER-0107,THERMAL HOT - MASK TREATMENT FOR MATURE SKIN,508.2
FMDER-0108,HOT OIL SCALP TREATMENT 10 SES,1816.1
FMDER-0109,HOT OIL SCALP TREATMENT 5 SESS,1015.3
FMDER-0110,HOT OIL SCALP TREATMENT PER SESSION,322.3
FMDER-0111,DESINCRUSTATION LARGE AREA,715
FMDER-0112,DESINCRUSTATION MEDIUM AREA,508.2
FMDER-0113,DESINCRUSTATION SMALL AREA,322.3
FMDER-0114,STRETCH MARK TREATMENT 10 SESS,2724.7
FMDER-0115,STRETCH MARK TREATMENT 5 SESS.,1552.1
FMDER-0116,STRETCH MARK TREATMENT PER TREATMENT,465.3
FMDER-0117,CELLULITE TREATMENT 10 SESSION,2724.7
FMDER-0118,CELLULITE TREATMENT 5 SESSIONS,1552.1
FMDER-0119,CELLULITE TREATMENT PER TREAT.,465.3
FMDER-0120,NON - SURGICAL FACE LIFT,922.9
FMDER-0121,WEIGHT REDUC. BY DEEP HEAT METHOD AND BODY WRAP 10 SESS.,2724.7
FMDER-0123,WEIGHT REDUC. BY DEEP HEAT METHOD AND BODY WRAP PER TREAT,465.3
FMDER-0124,UVL 15 SESSIONS,1816.1
FMDER-0125,NARROW BAND REGIONAL 1ST COURSE 15 SESSIONS,1816.1
FMDER-0126,NARROW BAND REGIONAL 2ND COURSE 15 SESSIONS,1280.4
FMDER-0127,UVA REGIONAL SUCEEDING COURSE NARROW BAND 10 S,922.9
FMDER-0128,LASER THERAPY CELLOTHERM SOFT LASER UNILASER 10 SESSIONS,2009.7
FMDER-0129,LASER THERAPY CELLOTHERM SOFT LASER UNILASER 7 SESSIONS,1415.7
FMDER-0130,MICROPUNCTURE TATTOOING LARGE P.D.,2724.7
FMDER-0131,MICROPUNCTURE TATTOING MEDIUM P.D.,1816.1
FMDER-0132,MICROPUNCTURE TATTOING SMALL P.D.,922.9
FMDER-0133,LASER TREATMENT LARGE AREA,3289
FMDER-0134,LASER TREATMENT MEDIUM AREA,2860
FMDER-0135,LASER TREATMENT SMALL AREA,915.2
FMDER-0136,LASER TEST DOSE,185.9
FMDER-0137,ADD L FEE FOR COM.OR OVER 3HRS,929.5
FMDER-0138,LIQUID NIRTOGEN APPL. SMALL,171.6
FMDER-0139,LIQUID NITROGEN APPL. MEDIUM,185.9
FMDER-0140,LIQUID NITROGEN APPL. LARGE,350.9
FMDER-0141,PODOPHYLLIN APPL. SMALL AREA,171.6
FMDER-0142,PODOPHYLLIN APPL. MEDIUM AREA,243.1
FMDER-0143,PODOPHYLLIN APPL. LARGE AREA,185.9
FMDER-0144,INTRALESIONAL(IL)INJ.SMALL AR.,185.9
FMDER-0145,INTRALESIONLA(IL)INJ.MED.AREA,243.1
FMDER-0146,INTRALESIONAL(IL)INJ.LRGE.AREA,185.9
FMDER-0147,DERMOJET INJECTION-SMALL AREA,165
FMDER-0148,DERMOJET INJECTION-MEDIUM AREA,236.5
FMDER-0149,DERMOJET INJECTION-LARGE AREA,400.4
FMDER-0150,I.M. INJECTION WITH MEDICINE,100.1
FMDER-0151,ANTI-ALLERGIC INJ.COCKTAIL I,243.1
FMDER-0152,ANTI-ALLERGIC INJ.COCKTAIL II,185.9
FMDER-0159,ELECTROCAUTERY-SMALL AREA,185.9
FMDER-0160,ELECTROCAUTERY-MEDIUM,443.3
FMDER-0161,ELECTROCAUTERY-LARGE AREA,880
FMDER-0162,ELECTROCAUTERY-EXTRA LARGE,1730.3
FMDER-0163,MOLLUSCA BODIES EXTRAC. SMALL,243.1
FMDER-0164,MOLLUSCA BODIES EXTRAC. MEDIUM,322.3
FMDER-0165,MOLLUSCA BODIES EXTRAC.LARGE,350.9
FMDER-0166,MILIA EXTRACTION - SMALL,322.3
FMDER-0167,MILIA EXTRACTION - MEDIUM,629.2
FMDER-0168,MILIA EXTRACTION - LARGE,1023
FMDER-0169,K.O.H. EXAMINATION,393.8
FMDER-0170,REGIONAL PUVA MOBILE/SESSION,207.9
FMDER-0171,MICROPIGMENTATION TEST,143
FMDER-0173,BLEACHING - FACE,200.2
FMDER-0174,BLEACHING - ARMS,214.5
FMDER-0175,BLEACHING - LEGS,308
FMDER-0176,BLEACHING - TRUNK,393.8
FMDER-0177,BLEACHING - WHOLE BODY,486.2
FMDER-0178,CELLULAR BODY WRAP,486.2
FMDER-0179,LASER TREATMENT CELLATH./SESS.,308
FMDER-0180,MELANOCYTE CULTURE SMALL,829.4
FMDER-0181,SKIN GRAFTING SMALL AREA,2596
FMDER-0182,SKIN GRAFTING MEDIUM AREA,3797.2
FMDER-0183,SKIN GRAFTING LARGE AREA,4769.6
FMDER-0184,SKIN GRAFTING EXTRA LARGE AREA,5699.1
FMDER-0185,MELANOCYTE CULTURE SMALL,829.4
FMDER-0186,MYLANOCYTE CULTURE MEDIUM,1272.7
FMDER-0189,MICRO-DERMABRADER PROCEDURE SMALL,465.3
FMDER-0190,MICRO-DERMABRADER PROC. MEDIUM,915.2
FMDER-0191,MICRO-DERMABRADER PROC. LARGE,1809.5
FMDER-0192,MICRO-DERMABRADER PROC. E-LARG,2717
FMDER-0193,INTRACORPORAL INJECTION I.C.I,286
FMDER-0194,LASER TREATMENT EXTRA LARGE,4526.5
FMDER-0195,VASCULAR LASER TREATMENT TEST DOSE,185.9
FMDER-0196,VASCULAR LASER TREATMENT SMALL AREA,1909.6
FMDER-0197,VASCULAR LASER TREATMENT MEDIUM AREA,2860
FMDER-0198,VASCULAR LASER TREATMENT LARGE AREA,3611.3
FMDER-0199,BLISTER SCTN DIV. MELANOCYTE CULTURING,465.3
FMDER-0200,LASER ABLATION SMALL AREA,915.2
FMDER-0201,LASER ABLATION MEDIUM AREA,1272.7
FMDER-0202,LASER ABLATION LARGE AREA,1809.5
FMDER-0203,LASER ABLATION EXTRA LARGE,3611.3
FMDER-0204,BLISTER TRANSFORMATION SMALL AREA,915.2
FMDER-0205,BLISTER TRANSFORMATION MEDIUM AREA,1272.7
