PACKAGE CODE ,CATEGORY,SUB-CATEGORY,SERVICE DESCRIPTION,TCS /TOTAL CARE SAUDI
1011003,E.N.T.,NOSE SURG.,SINSUS PUNCTURE (U.G.A.) / BILATERAL,2543.0
1011004,E.N.T.,NOSE SURG.,CRYO-TURBINECTOMY,4654.0
1011005,E.N.T.,NOSE SURG.,CAUTERIZATION OF THE NOSE / ENDOSCOPIC ,6237.0
1011006,E.N.T.,NOSE SURG.,ETHMOIDECTOMY / ENDOSCOPIC ,11514.0
1011007,E.N.T.,NOSE SURG.,TURBINECTOMY / PARTIAL / ENDOSCOPIC ,4654.0
1011008,E.N.T.,NOSE SURG.,POLYPECTOMY AND ETHMOIDECTOMY / ENDOSCOPIC ,9835.0
1011009,E.N.T.,NOSE SURG.,POLYPECTOMY AND ETHMOIDECTOMY / RECURRENT / ENDOSCOPIC ,11994.0
1011010,E.N.T.,NOSE SURG.,EXAMINATION UNDER GENERAL ANESTHESIA,1212.0
1011011,E.N.T.,NOSE SURG.,NASAL SINUS SURGERY / EXTERNAL ,11514.0
1011012,E.N.T.,NOSE SURG.,NOSE FRACTURE,3695.0
1011013,E.N.T.,NOSE SURG.,FUNCTIONAL ENDOSCOPIC SINUS SURGERY (FESS SURGERY),11628.0
1011014,E.N.T.,NOSE SURG.,NASAL LASER SURGERY,4654.0
1011015,E.N.T.,NOSE SURG.,NOSE MICROSURGERY,7533.0
1011016,E.N.T.,NOSE SURG.,NASAL BIOPSY,2181.0
1011017,E.N.T.,NOSE SURG.,NASAL CAUTERY UNDER (U.G.A.),1842.0
1011018,E.N.T.,NOSE SURG.,NASAL FOREIGN BODY REMOVAL (U.G.A.),1890.0
1011019,E.N.T.,NOSE SURG.,NASAL SEPTAL CORRECTION,5344.0
1011020,E.N.T.,NOSE SURG.,OPEN REDUCTION / FRACTURED NOSE,10868.0
1011021,E.N.T.,NOSE SURG.,ORO-ANTRAL FISTULA REPAIR,7916.0
1011022,E.N.T.,NOSE SURG.,POSTERIOR NASAL PACK  (U.G.A.),2084.0
1011023,E.N.T.,NOSE SURG.,ANTRAL FOREIGN BODY REMOVAL,3743.0
1011024,E.N.T.,NOSE SURG.,RHINOPLASTY / REVISION (MEDIUM),4275.0
1011025,E.N.T.,NOSE SURG.,RHINOPLASTY / MAJOR,12113.0
1011026,E.N.T.,NOSE SURG.,RHINOPLASTY / MEDIUM,6595.0
1011027,E.N.T.,NOSE SURG.,SEPTOPLASTY,5997.0
1011028,E.N.T.,NOSE SURG.,SEPTORHINOPLASTY,11994.0
1011029,E.N.T.,NOSE SURG.,TURBINECTOMY WITH SUBMUCOUS DIATHERMY,4654.0
1011030,E.N.T.,NOSE SURG.,SUBMUCOUS RESECTION OF NASAL SPETUM,4092.0
1011031,E.N.T.,NOSE SURG.,SINSUS PUNCTURE / UNILATERAL (U.G.A.),1938.0
1012001,E.N.T.,THROAT SURG.    ,ADENOIDECTOMY,2084.0
1012003,E.N.T.,THROAT SURG.    ,BRONCHOSCOPY,5278.0
1012004,E.N.T.,THROAT SURG.    ,CLEFT PALATE REPAIR,11514.0
1012005,E.N.T.,THROAT SURG.    ,ESOPHAGOSCOPY,2811.0
1012006,E.N.T.,THROAT SURG.    ,HYPOPHARYNGOSCOPY DIAGNOSTIC,3049.0
1012007,E.N.T.,THROAT SURG.    ,HYPOPHARYNGOSCOPY THERAPUTIC /  FOREIGN BODY REMOVAL ,4654.0
1012008,E.N.T.,THROAT SURG.    ,QUINSY INCISION WITH DRAINAGE (U.G.A.),2084.0
1012009,E.N.T.,THROAT SURG.    ,LASER ASSISTED UVULOPALATOPLASTY (L.A.U.P.) ,6477.0
1012010,E.N.T.,THROAT SURG.    ,LARYNX LASER SURGERY,6861.0
1012011,E.N.T.,THROAT SURG.    ,TONSILLECTOMY / LASER ,4078.0
1012012,E.N.T.,THROAT SURG.    ,LYMPH NODE BIOPSY ,5518.0
1012013,E.N.T.,THROAT SURG.    ,MICRO-LARYNGOSCOPY,2084.0
1012014,E.N.T.,THROAT SURG.    ,MICRO-LARYNGOSURGERY,7197.0
1012015,E.N.T.,THROAT SURG.    ,"PAN-ENDOSCOPY, TRIPLE PROCEDURE",3982.0
1012016,E.N.T.,THROAT SURG.    ,THROAT PLASTIC SURGERY,9595.0
1012017,E.N.T.,THROAT SURG.    ,SUBMANDIBULAR GLAND STONE REMOVAL / MEDIUM,3805.0
1012018,E.N.T.,THROAT SURG.    ,SUBMANDIBULAR GLAND RESECTION,6573.0
1012019,E.N.T.,THROAT SURG.    ,THROAT FOREIGN BODY REMOVAL (U.G.A.),1890.0
1012020,E.N.T.,THROAT SURG.    ,TONSILLECTOMY,3731.0
1012021,E.N.T.,THROAT SURG.    ,TRACHEOSTOMY,11514.0
1012022,E.N.T.,THROAT SURG.    ,THROAT TUMOR SURGERY,11035.0
1012023,E.N.T.,THROAT SURG.    ,UVULO-PALATO-PHARYNGOPLASTY / SNORING SURGERY,5662.0
1013001,E.N.T.,EAR SURG.,PROMINANT EAR SURGERY,11035.0
1013002,E.N.T.,EAR SURG.,MYRINGOTOMY / BILATERAL (U.G.A.),3695.0
1013003,E.N.T.,EAR SURG.,CORTICAL MASTOIDECTOMY,3150.0
1013004,E.N.T.,EAR SURG.,EAR FOREIGN BODY REMOVAL (U.G.A.),1890.0
1013005,E.N.T.,EAR SURG.,ENDOLYMPHATIC SHUNT,12954.0
1013006,E.N.T.,EAR SURG.,EXPLORATORY TYMPANOTOMY,8636.0
1013007,E.N.T.,EAR SURG.,FACIAL NERVE SURGERY,13433.0
1013008,E.N.T.,EAR SURG.,HEARING AID / IMPLANTABLE ,9452.0
1013009,E.N.T.,EAR SURG.,EXTERNAL EAR ABSCESS INCISION WITH DRAINAGE,1890.0
1013010,E.N.T.,EAR SURG.,LABYRINTHECTOMY,12474.0
1013011,E.N.T.,EAR SURG.,LASER EAR SURGERY,9452.0
1013012,E.N.T.,EAR SURG.,MASTOID ABSCESS DRAINAGE UNDER (U.G.A.),1890.0
1013013,E.N.T.,EAR SURG.,MYRINGOPLASTY,8156.0
1013014,E.N.T.,EAR SURG.,MYRINGOTOMY WITH GROMMET (U.G.A.) / BILATERAL,4700.0
1013015,E.N.T.,EAR SURG.,MYRINGOTOMY WITH GROMMET (U.G.A.) / UNILATERAL ,3731.0
1013016,E.N.T.,EAR SURG.,OSSICULOPLASTY,11035.0
1013017,E.N.T.,EAR SURG.,EAR LOBULE PLASTIC SURGERY,4654.0
1013018,E.N.T.,EAR SURG.,PRE-AURICLAR  FISTULA EXCISION ,9116.0
1013019,E.N.T.,EAR SURG.,RADICAL MASTOIDECTOMY,13433.0
1013020,E.N.T.,EAR SURG.,STAPEDECTOMY,13433.0
1013021,E.N.T.,EAR SURG.,SUCTION CLEARANCE UNDER (U.G.A.),2084.0
1013022,E.N.T.,EAR SURG.,TYMPANOPLASTY ,9116.0
1013023,E.N.T.,EAR SURG.,TYMPANOPLASTY WITH MASTOIDECTOMY,11514.0
1013024,E.N.T.,EAR SURG.,TYMPANOPLASTY SECOND STAGE,6957.0
1013025,E.N.T.,EAR SURG.,UNILATERAL MYRINGOTOMY (U.G.A.),1793.0
1013026,E.N.T.,EAR SURG.,VESTIBULAR NEURECTOMY ,17751.0
1014001,E.N.T.,HEAD & NECK SURG.,NECK DISSECTION / BLOCK,22069.0
1014002,E.N.T.,HEAD & NECK SURG.,BRANCHIAL FISTULECTOMY,23028.0
1014003,E.N.T.,HEAD & NECK SURG.,PARTIAL LARYNGECTOMY,17271.0
1014004,E.N.T.,HEAD & NECK SURG.,SUPERFICIAL PAROTIDECTOMY,18711.0
1014005,E.N.T.,HEAD & NECK SURG.,THYROGLOSSAL CYST EXCISION ,12954.0
1014006,E.N.T.,HEAD & NECK SURG.,TOTAL LARYNGECTOMY ,17271.0
1014007,E.N.T.,HEAD & NECK SURG.,TOTAL PAROTIDECTOMY,23028.0
2011001,GENERAL SURG.,MINOR SURG,ANAL DILATATION (U.G.A.),3101.0
2011002,GENERAL SURG.,MINOR SURG,ANESTHESIA (G.A OR SEDATION)  FOR  PROCEDURE,1663.0
2011003,GENERAL SURG.,MINOR SURG,CIRCUMCISION (ADULT) (U.G.A.),2786.0
2011004,GENERAL SURG.,MINOR SURG,CIRCUMCISION (ADULT) (U.L.A.),1454.0
2011005,GENERAL SURG.,MINOR SURG,CIRCUMCISION (LESS THAN ONE YEAR),679.0
2011006,GENERAL SURG.,MINOR SURG,DERMOID CYST EXCISION,3093.0
2011007,GENERAL SURG.,MINOR SURG,DIVISION OF TONGUE TIE (U.L.A.),2622.0
2011008,GENERAL SURG.,MINOR SURG,ENDOSCOPIC POLYPECTOMY,2811.0
2011009,GENERAL SURG.,MINOR SURG,EXCISION OF BREAST LUMP FOR BIOPSY (U.G.A.) (WITHOUT HISTOPATHOLOGY),3093.0
2011010,GENERAL SURG.,MINOR SURG,EXCISION OF BREAST LUMP / LUMPECTOMY - MULTIPLE OR SINGLE (U.G.A.),3848.0
2011011,GENERAL SURG.,MINOR SURG,EXCISION OF SIMPLE CYST OR LIPOMA (U.G.A.) WITH HISTOPATHOLOGY ,3719.0
2011012,GENERAL SURG.,MINOR SURG,EXCISION OF SIMPLE OR SMALL LIPOMA UNDER (U.G.A.),2811.0
2011013,GENERAL SURG.,MINOR SURG,EXCISION OF SIMPLE OR SMALL LIPOMA UNDER (U.L.A.),1745.0
2011014,GENERAL SURG.,MINOR SURG,EXCISION OF SIMPLE TUMOUR / CHRONIC ABCESS OF BREAST,3093.0
2011015,GENERAL SURG.,MINOR SURG,EXCISION OF SIMPLE TUMOURS OR CHRONIC BREAS ABSCESS,3503.0
2011016,GENERAL SURG.,MINOR SURG,EXCISION OF SINGLE / MULTIPLE NEUROFIBROMA,5579.0
2011017,GENERAL SURG.,MINOR SURG,INCISION WITH DRAINAGE LARGE OR DEEP ABSESS UNDER G.A.,3359.0
2011018,GENERAL SURG.,MINOR SURG,EXCISION OF INGROWING TOE NAIL (U.G.A.),3359.0
2011019,GENERAL SURG.,MINOR SURG,IMPERFORATED ANUS / LOW ,5757.0
2011020,GENERAL SURG.,MINOR SURG,PERCUTANEOUS LIVER BIOPSY,2786.0
2011021,GENERAL SURG.,MINOR SURG,PERIANAL ABSCESS (U.G.A.),4558.0
2011022,GENERAL SURG.,MINOR SURG,TONGUE TIE RELEASE (U.G.A.),3838.0
2011023,GENERAL SURG.,MINOR SURG,FOREIGN BODY REMOVAL (U.L.A.),2639.0
2011024,GENERAL SURG.,MINOR SURG,THROMBOSED PILES OR EXCISION OF PERIANAL SKIN TAGS REMOVAL,4558.0
2011025,GENERAL SURG.,MINOR SURG,SUB-MANDIBULAR SALIVARY GLAND STONE REMOVAL,4558.0
2011026,GENERAL SURG.,MINOR SURG,OESOPHAGEAL SCLEROTHERAPY ,3359.0
2011027,GENERAL SURG.,MINOR SURG,ENTEROSCOPY SINGLE BALLOON ,3848.0
2011028,GENERAL SURG.,MINOR SURG,SUTURING LARGE WOUND (U.G.A.),3359.0
2011029,GENERAL SURG.,MINOR SURG,THORACOCENTESIS,1140.0
2012001,GENERAL SURG.,MEDIUM SURG,ACHALSIA OF CARDIA,9405.0
2012002,GENERAL SURG.,MEDIUM SURG,ADHESIOLYSIS / OPEN,6426.0
2012003,GENERAL SURG.,MEDIUM SURG,AMPUTATION / LIMB GANGRENE,10555.0
2012006,GENERAL SURG.,MEDIUM SURG,COLOSTOMY CLOSURE WITH ANASTOMOSIS,7557.0
2012007,GENERAL SURG.,MEDIUM SURG,BURIED PENIS OR CONCEALED PENIS CORRECTION,24225.0
2012008,GENERAL SURG.,MEDIUM SURG,ERCP DIAGONSTIC ,4361.0
2012009,GENERAL SURG.,MEDIUM SURG,ENDOSCOPIC SPHINCTEROTOMY,5158.0
2012010,GENERAL SURG.,MEDIUM SURG,ENDOSCOPIC SPHINCTEROTOMY WITH DRAIN INSERTION,6357.0
2012011,GENERAL SURG.,MEDIUM SURG,ENDOSCOPIC SPHINCTEROTOMY WITH STONE CRUSHING,7916.0
2012012,GENERAL SURG.,MEDIUM SURG,ENDOSCOPIC SPHINCTEROTOMY WITH STONE EXTRACTION,6357.0
2012013,GENERAL SURG.,MEDIUM SURG,EPIGASTRIC HERNIA REPAIR / OPEN,7557.0
2012014,GENERAL SURG.,MEDIUM SURG,EXCISION OF BIG OR MULTIPLE LIPOMA (U.L.A.),4558.0
2012015,GENERAL SURG.,MEDIUM SURG,EXCISION OF BIG OR MULTIPLE LIPOMA (U.G.A.),5158.0
2012016,GENERAL SURG.,MEDIUM SURG,EXCISION OF SUBMANDIBULAR GLAND,7557.0
2012017,GENERAL SURG.,MEDIUM SURG,"GASTROSTOMY, COLOSTOMY (WITHOUT CONSUMABLES)",9715.0
2012019,GENERAL SURG.,MEDIUM SURG,HAEMORRHOIDECTOMY BY STAPPLER,8237.0
2012020,GENERAL SURG.,MEDIUM SURG,HYDROCELE,6357.0
2012023,GENERAL SURG.,MEDIUM SURG,LAPARASCOPY / DIAGNOSTIC,6957.0
2012024,GENERAL SURG.,MEDIUM SURG,LAPARASCOPY (DIAGNOSTIC) WITH BIOPSY,8492.0
2012025,GENERAL SURG.,MEDIUM SURG,MASTECTOMY / GYNAECOMASTIA - MALES (UNI OR BILATERAL),6045.0
2012026,GENERAL SURG.,MEDIUM SURG,ORCHIDECTOMY,5158.0
2012027,GENERAL SURG.,MEDIUM SURG,MASTECTOMY / PARTIAL WITH HISTOPATHOLOGY,6357.0
2012028,GENERAL SURG.,MEDIUM SURG,COLONOSCOPY / PEDIATRIC ,6764.0
2012029,GENERAL SURG.,MEDIUM SURG,ENDOSCOPY / PEDIATRIC ,5919.0
2012030,GENERAL SURG.,MEDIUM SURG,PILONIDAL SINUS,6420.0
2012031,GENERAL SURG.,MEDIUM SURG,POST HAEMORRHOIDECTOMY ANUS STRICTURE ,7197.0
2012032,GENERAL SURG.,MEDIUM SURG,REMOVAL OF FOREIGN BODY (U.G.A.),4558.0
2012033,GENERAL SURG.,MEDIUM SURG,ANAL FISTULA / LOW - SIMPLE ,6357.0
2012034,GENERAL SURG.,MEDIUM SURG,INCISIONAL HERNIA WITH OR W/O HERNIOPLASTY,6957.0
2012035,GENERAL SURG.,MEDIUM SURG,SPERMATOCELE,6717.0
2012036,GENERAL SURG.,MEDIUM SURG,ERCP / THERAPEUTIC ,5919.0
2012037,GENERAL SURG.,MEDIUM SURG,THYROGLOSSAL CYST / FISTULA,9715.0
2012038,GENERAL SURG.,MEDIUM SURG,UNDESCENDED TESTIS WITHIN THE INGUINAL CANAL,10315.0
2012039,GENERAL SURG.,MEDIUM SURG,VARICOCELES,6357.0
2012040,GENERAL SURG.,MEDIUM SURG,VARICOSE VEINS STRIPPING  (BILATERAL),10417.0
2012041,GENERAL SURG.,MEDIUM SURG,VARICOSE VEINS STRIPPING  (UNILATERAL),7631.0
2013001,GENERAL SURG.,MAJOR SURG,ACUTE PERITONITIS / LAPAROTOMY,11514.0
2013002,GENERAL SURG.,MAJOR SURG,HERNIA REPAIR BILATERAL,8636.0
2013003,GENERAL SURG.,MAJOR SURG,BOWEL RESECTION AND ANASTOMOSIS ,12714.0
2013005,GENERAL SURG.,MAJOR SURG,CHOLECYSTECTOMY WITH BILLIARY TRACT EXPLORATION / OPEN,14535.0
2013007,GENERAL SURG.,MAJOR SURG,CHOLECYSTODUODUOSTOMY,14051.0
2013008,GENERAL SURG.,MAJOR SURG,RECTAL PROLAPSE / COMPLETE ,12354.0
2013009,GENERAL SURG.,MAJOR SURG,INTESTINAL STRICTURE / CONGENITAL,11514.0
2013010,GENERAL SURG.,MAJOR SURG,PYLORIC STENOSIS / CONGENITAL ,11514.0
2013011,GENERAL SURG.,MAJOR SURG,A.V. FISTULA CREATION,13433.0
2013012,GENERAL SURG.,MAJOR SURG,DIAPHRAGMATIC HERNIA REPAIR,12114.0
2013013,GENERAL SURG.,MAJOR SURG,THYROID CYST ENUCLEATION,11514.0
2013014,GENERAL SURG.,MAJOR SURG,HEPATIC CYST EXCISION,11514.0
2013015,GENERAL SURG.,MAJOR SURG,FAECAL FISTULA,11514.0
2013016,GENERAL SURG.,MAJOR SURG,INTESTINAL VOLVULOUS,11514.0
2013017,GENERAL SURG.,MAJOR SURG,LAPARTOMY WITH/WITHOUT PROCEDURE ,11514.0
2013018,GENERAL SURG.,MAJOR SURG,LIVER ABSCESS WITH DRAINAGE,11514.0
2013019,GENERAL SURG.,MAJOR SURG,PARTIAL GASTRECTOMY,11514.0
2013021,GENERAL SURG.,MAJOR SURG,PEG TUBE INSERTION / EXCHANGE,10032.0
2013022,GENERAL SURG.,MAJOR SURG,MASTECTOMY / RADICAL ,10032.0
2013023,GENERAL SURG.,MAJOR SURG,RECURRENT HERNIA,10659.0
2013024,GENERAL SURG.,MAJOR SURG,REPAIR OF GASTRIC / INTESTINAL PERFORATION ,11514.0
2013025,GENERAL SURG.,MAJOR SURG,BOWEL REPAIR,11514.0
2013026,GENERAL SURG.,MAJOR SURG,SPLENECTOMY,11514.0
2013027,GENERAL SURG.,MAJOR SURG,FISTULA / SURGICAL REVISION,6717.0
2013028,GENERAL SURG.,MAJOR SURG,THERAPEUTIC ERCP WITH LITHOTRIPSY WITH STENT,8360.0
2013029,GENERAL SURG.,MAJOR SURG,THERAPEUTIC ERCP WITH LITHOTRIPSY WITHOUT STENT,7942.0
2013030,GENERAL SURG.,MAJOR SURG,STRIPPING OF LSV WITH MULTIPLE LIGATION OF PERFORATES (UNILATERAL) (TRENDLENBERG OPERATION),9595.0
2013031,GENERAL SURG.,MAJOR SURG,HERNIA REPAIR / UNILATERAL ,5997.0
2013032,GENERAL SURG.,MAJOR SURG,VAGOTOMY WITH/WITHOUT GASTROENTEROSTOMY,11514.0
2014001,GENERAL SURG.,FINE MAJOR SURG,ADRENALECTOMY / BILATERAL,36461.0
2014002,GENERAL SURG.,FINE MAJOR SURG,ADRENALECTOMY / PARTIAL,28785.0
2014003,GENERAL SURG.,FINE MAJOR SURG,ADRENALECTOMY / LAPARASCOPIC ,22207.0
2014004,GENERAL SURG.,FINE MAJOR SURG,ASSISTED EXTENDED HEMICOLECTOMY / LAPARASCOPIC ,26387.0
2014005,GENERAL SURG.,FINE MAJOR SURG,ANAL FISTULA / BRANCHING AND HIGH ,7557.0
2014006,GENERAL SURG.,FINE MAJOR SURG,CHOLECYSTECTOMY WITH CBD EXPLORATION / LAPARASCOPY ,18471.0
2014007,GENERAL SURG.,FINE MAJOR SURG,ADHESIOLYSIS / LAPARASCOPIC,21589.0
2014008,GENERAL SURG.,FINE MAJOR SURG,EMBOLECTOMY,17271.0
2014009,GENERAL SURG.,FINE MAJOR SURG,END COLOSTOMY / LAPARASCOPIC ,12540.0
2014010,GENERAL SURG.,FINE MAJOR SURG,GASTRIC BY-PASS - LAPARASCOPIIC ,26387.0
2014011,GENERAL SURG.,FINE MAJOR SURG,HERNIA WITH MESH LAPARASCOPIC ,16792.0
2014012,GENERAL SURG.,FINE MAJOR SURG,HERNIA / LAPARASCOPIC ,15113.0
2014013,GENERAL SURG.,FINE MAJOR SURG,HERNIA REPAIR BILATERAL / LAPARASCOPIC ,21709.0
2014014,GENERAL SURG.,FINE MAJOR SURG,HIATUS HERNIA / LAPRASCOPIC ,24947.0
2014015,GENERAL SURG.,FINE MAJOR SURG,HIATUS HERNIA  / SURGICAL-OPEN,14393.0
2014016,GENERAL SURG.,FINE MAJOR SURG,INTESTINAL RESECTION AND ANASTOMOSIS / LAPARASCOPIC ,14535.0
2014017,GENERAL SURG.,FINE MAJOR SURG,INTRAGASTRIC BALLOON REMOVAL,2622.0
2014018,GENERAL SURG.,FINE MAJOR SURG,INTRAGASTRIC BALLOON INSERTION,14877.0
2014019,GENERAL SURG.,FINE MAJOR SURG,LEFT HEMICOLECTOMY,17271.0
2014020,GENERAL SURG.,FINE MAJOR SURG,HERNOPLASTY WITH MESH (LICHTENSTEIN REPAIR),11514.0
2014021,GENERAL SURG.,FINE MAJOR SURG,MESENTRIC LYMPH NODE BIOPSY / LAPARASCOPIC,15084.0
2014022,GENERAL SURG.,FINE MAJOR SURG,NISSEN FUNDOPLICATION / LAPARASCOPIC ,18392.0
2014024,GENERAL SURG.,FINE MAJOR SURG,PARATHYROIDECTOMY / TOTAL,34542.0
2014025,GENERAL SURG.,FINE MAJOR SURG,PARATHYROIDECTOMY / PARTIAL,12666.0
2014026,GENERAL SURG.,FINE MAJOR SURG,PAROTIDECTOMY,16312.0
2014027,GENERAL SURG.,FINE MAJOR SURG,PERFURATED DUODENAL ULCER / LAPRASCOPIC  ,19910.0
2014028,GENERAL SURG.,FINE MAJOR SURG,PILONIDAL SINUS WITH RECONSTRUCTION FLAP,11514.0
2014029,GENERAL SURG.,FINE MAJOR SURG,ORAL MALIGNANCY / RADICAL SURGERY,16312.0
2014030,GENERAL SURG.,FINE MAJOR SURG,REPAIR OF EPIGASTRIC HERNIA BILATERAL / LAPARASCOPIC ,17511.0
2014031,GENERAL SURG.,FINE MAJOR SURG,REPAIR OF EPIGASTRIC HERNIA UNILATERAL / LAPARASCOPIC ,11994.0
2014032,GENERAL SURG.,FINE MAJOR SURG,REPAIR OF INCISIONAL HERNIA / LAPARASCOPIC ,19910.0
2014033,GENERAL SURG.,FINE MAJOR SURG,REPAIR OF PARAUMBILICAL HERNIA / LAPRASCOPIC ,19910.0
2014034,GENERAL SURG.,FINE MAJOR SURG,RESCTION OF DIVERTICULAM / LAPARASCOPIC ,16792.0
2014035,GENERAL SURG.,FINE MAJOR SURG,RIGHT HEMICOLECTOMY,16312.0
2014036,GENERAL SURG.,FINE MAJOR SURG,APPENDECTOMY / SILS,10032.0
2014037,GENERAL SURG.,FINE MAJOR SURG,CHOLECYSTECTOMY / SILS ,14877.0
2014038,GENERAL SURG.,FINE MAJOR SURG,HERNIOPLASTY / SILS TAPP ,16720.0
2014039,GENERAL SURG.,FINE MAJOR SURG,VARICOCELECTOMY / SILS ,9196.0
2014040,GENERAL SURG.,FINE MAJOR SURG,SPLENECTOMY LAPARASCOPIC ,26387.0
2014041,GENERAL SURG.,FINE MAJOR SURG,STRANGULATED HERNIA WITH BOWEL RESECTION AND ANASTOMOSIS,13913.0
2014042,GENERAL SURG.,FINE MAJOR SURG,STRANGULATED HERNIA W/O RESECTION ANASTOMOSIS,12114.0
2014043,GENERAL SURG.,FINE MAJOR SURG,SUBFASCIAL ENDOSCOPIC PERFORATED STAPLING  / LAPARASCOPIC ,10555.0
2014044,GENERAL SURG.,FINE MAJOR SURG,INTESTINAL CANCER SURGERY,18951.0
2014046,GENERAL SURG.,FINE MAJOR SURG,PELVIC EXACENTRATION / TOTAL ,26866.0
2014047,GENERAL SURG.,FINE MAJOR SURG,PANCREATECTOMY / TOTAL/PARTIAL (WHIPPLE PROCEDURE),23508.0
2014048,GENERAL SURG.,FINE MAJOR SURG,STRIPPING OF LSV WITH MULTIPLE LIGATION OF PERFORATES (BILATERAL) (TRENDLENBERG OPERATION),16792.0
2014049,GENERAL SURG.,FINE MAJOR SURG,VARICOCELECTOMY  / LAPARASCOPIC ,8876.0
2014050,GENERAL SURG.,FINE MAJOR SURG,VENTRAL HERNIA REPAIR  / LAPRASCOPIC  ,19910.0
2015001,GENERAL SURG.,COLORECTAL SURG,ABDOMINAL PROCTOPEXY WITH RESECTION,16720.0
2015002,GENERAL SURG.,COLORECTAL SURG,ABDOMINAL PROCTOPEXY WITHOUT RESECTION,12540.0
2015003,GENERAL SURG.,COLORECTAL SURG,ABDOMINOPERINEAL RESECTION OF RECTUM,38048.0
2015004,GENERAL SURG.,COLORECTAL SURG,ANAL FISTULOTOMY OR FISTULECTOMY / COMPLEX,8360.0
2015005,GENERAL SURG.,COLORECTAL SURG,ANAL SPHENCTER REPAIR / FEACAL INCONTINENCE,12540.0
2015006,GENERAL SURG.,COLORECTAL SURG,ANOPLASTY,3848.0
2015007,GENERAL SURG.,COLORECTAL SURG,ANORECTAL AGENESIS WITH OR WITHOUT FISTULA OR CLOACAL MALFORMATIONS,11495.0
2015008,GENERAL SURG.,COLORECTAL SURG,ANTERIOR RESECTION OF BOWEL / RECTUM,48194.0
2015009,GENERAL SURG.,COLORECTAL SURG,ANTERIOR RESECTION OF RECTUM WITH OR WITHOUT TEMPORARY STOMA,40162.0
2015010,GENERAL SURG.,COLORECTAL SURG,BOWEL RESCETION FOR COMLICATED DIVERTICULOSIS,30780.0
2015011,GENERAL SURG.,COLORECTAL SURG,CECECTOMY,10032.0
2015012,GENERAL SURG.,COLORECTAL SURG,CECOSTOMY,10032.0
2015013,GENERAL SURG.,COLORECTAL SURG,CLOSURE OF LARGE INTESTINAL STOMA,12540.0
2015014,GENERAL SURG.,COLORECTAL SURG,CLOSURE OF SMALL INTESTINAL STOMA,8360.0
2015015,GENERAL SURG.,COLORECTAL SURG,COLOSTOMY,10032.0
