CODE,NAME,CODE.1,current price ,price of 1/2/2021
ENT-0009,MYRINGOTOMY AND INSERTON OF EAR GROMETS,ENT-0009,2200.0,2420.0
ENT-0010,ANTRAL WASH OUT,ENT-0010,1650.0,1815.0
ENT-0012,EXCISION OF UVULA A292,ENT-0012,2640.0,2904.0
ENT-0014,TONSILLECTOMY WITH OR W/O ADENOIDECTOMY,ENT-0014,3080.0,3388.0
ENT-0015,REDUCTION OF FRACTURED NASAL BONE,ENT-0015,2475.0,2722.5
ENT-0016,SMR SUBMUCUS RESECTION (SEPTOPLASTY),ENT-0016,3850.0,4235.0
ENT-0017,TRACHEOSTOMY,ENT-0017,4400.0,4840.0
ENT-0018,FOREIGN BODY OESOPHAGUS,ENT-0018,2970.0,3267.0
ENT-0019,NASAL CAUTHERIZATION FOR EPISTAXIS,ENT-0019,1650.0,1815.0
ENT-0020,PARTIAL INFERIOR TURBINECTOMY (UNI/BIL),ENT-0020,2750.0,3025.0
ENT-0021,BRONCHOSCOPY (FOREIGN BODY REMOVAL FROM TRACHEA,ENT-0021,3575.0,3932.5
ENT-0023,SIMPLE MASTOIDECTOMY ,ENT-0023,4400.0,4840.0
ENT-0024,INTERNASAL ETHMOIDECTOMY ENDOSCOPIC,ENT-0024,7150.0,7865.0
ENT-0025,INTRA NASAL ANTROSTOMY,ENT-0025,2750.0,3025.0
ENT-0026,SUCTION CLEARENCE EARS,ENT-0026,1980.0,2178.0
ENT-0029,AURAL POLYPECTOMY ,ENT-0029,3300.0,3630.0
ENT-0031,RADICAL MASTOIDECTOMY ,ENT-0031,6490.0,7139.0
ENT-0033,CALDWELL – LUC OPERATION ,ENT-0033,5775.0,6352.5
ENT-0035,ORO-ANTRAL FISTUAL,ENT-0035,5775.0,6352.5
ENT-0036,CORDOPEXY,ENT-0036,5500.0,6050.0
ENT-0038,OPERATION FOR MALIGNANT TUMOR IN ENT,ENT-0038,13860.0,15246.0
ENT-0040,TYMPANOPLASTY,ENT-0040,7700.0,8470.0
ENT-0042,EXTERNAL FRONTAL OPERATION ,ENT-0042,7700.0,8470.0
ENT-0044,EXTERNAL ETHMOID OPERATION ,ENT-0044,7150.0,7865.0
ENT-0046,STAPEDECTOMY,ENT-0046,10450.0,11495.0
ENT-0048,OPERATION ON VOCAL CORD E.G WOOD MAN ,ENT-0048,12100.0,13310.0
ENT-0050,ARTENOIDECTOMY,ENT-0050,9680.0,10648.0
ENT-0051,RADICAL MASOIDECTOMY + TYMPANOPLASTY,ENT-0051,9900.0,10890.0
ENT-0052,TUMOURS OF THE VOCAL CORDS,ENT-0052,4950.0,5445.0
EXDER-0001,ELECTROCAUTERY-SMALL AREA (G.A,EXDER-0001,112.00000000000001,123.2
EXDER-0002,ELECTROCAUTERY-MEDIUM AREA G.A,EXDER-0002,223.0,245.3
EXDER-0003,ELECTROCAUTERY-LARGE AREA G.A.,EXDER-0003,388.00000000000006,426.8
EXDER-0004,ELECTROCAUTERY-EXTRA LARGE,EXDER-0004,876.0000000000001,963.6
EXDER-0007,SKING GRAFTING LARGE AREA,EXDER-0007,1639.0,1802.9
EXDER-0008,SKIN GRAFTING EXTRA LARGAE AREA,EXDER-0008,1863.0,2049.3
EXDER-0009,ERBIUM SMALL AREA,EXDER-0009,546.0,600.6
EXDER-0010,ERBIUM MEDIUM AREA,EXDER-0010,1639.0,1802.9
EXDER-0011,ERBIUM LARGE AREA,EXDER-0011,2186.0,2404.6
EXDER-0012,ERBIUM EXTRA LARGE AREA,EXDER-0012,2732.0,3005.2
EXDER-0013,VASCULAR LASER SMALL,EXDER-0013,876.0000000000001,963.6
EXDER-0014,VASCULAR LASER MEDIUM,EXDER-0014,987.0,1085.7
EXDER-0017,MELANOCYTE CULTURE MEDIUM,EXDER-0017,770.0,847.0
EXDER-0019,SEBACEOUS CYST EXCISION SMALL,EXDER-0019,223.0,245.3
EXDER-0020,SEBACEOUS CYST EXCISION MEDIUM,EXDER-0020,388.00000000000006,426.8
EXDER-0021,SEBACEOUS CYST EXCISION LARGE,EXDER-0021,440.0,484.0
EXDER-0022,SKIN BIOPSY,EXDER-0022,223.0,245.3
EXENT-0001,TONSILECTOMY,EXENT-0001,546.0,600.6
EXENT-0002,REPAIR OF EARING TEAR OF THE  EAR (L.A.),EXENT-0002,277.0,304.7
EXENT-0003,REPAIR OF EARING TEAR OF THE  EAR (G.A.),EXENT-0003,388.00000000000006,426.8
EXENT-0004,ASPIRATION OF HAEMAOTMAY (L.A),EXENT-0004,165.0,181.5
EXENT-0005,ASPIRATION OF HAEMATOMA G.A.,EXENT-0005,277.0,304.7
EXENT-0006,DRAINAGE OF AURICULAR CYST(L.A,EXENT-0006,165.0,181.5
EXENT-0007,DRAINAGE OF AURICULAR CYST(G.A,EXENT-0007,388.00000000000006,426.8
EXENT-0008,EXCISION OF KELOID (L.A.),EXENT-0008,223.0,245.3
EXENT-0009,EXCISION OF KELOID (G.A.),EXENT-0009,440.0,484.0
EXENT-0010,INCISION OF ABSCESS OF EXT.   L.A.,EXENT-0010,165.0,181.5
EXENT-0011,INCISION OF ABSCESS OF EXT G.A,EXENT-0011,440.0,484.0
EXENT-0012,REMOVAL OF FOREIGN BODY IMPACTED (G.A.),EXENT-0012,388.00000000000006,426.8
EXENT-0013,MYRINGOTOMY UNILATERAL (L.A.),EXENT-0013,223.0,245.3
EXENT-0014,MYRINGOTOMY AND GROMMET INSERTION UNILAT. G.A.,EXENT-0014,440.0,484.0
EXENT-0015,REMOVAL OF GROMMETS TUBE UNILT(G.A.),EXENT-0015,197.0,216.7
EXENT-0017,FOREIGN BODY REMOVAL NOSE (L.A,EXENT-0017,165.0,181.5
EXENT-0018,FOREIGN BODY REMOVAL NOSE (G.A,EXENT-0018,329.0,361.9
EXENT-0019,INCISION AND DRAINAGE SEPTAL  HAEMA. (L.A.),EXENT-0019,223.0,245.3
EXENT-0020,INCISION AND DRAINAGE SEPTAL  HAEMA,EXENT-0020,329.0,361.9
EXENT-0021,INCISION AND DRAINAGE SEPTAL .ABSCESS (L.A.),EXENT-0021,223.0,245.3
EXENT-0022,INCISION AND DRAINAGE SEPTAL  ABSCESS (G.A.),EXENT-0022,329.0,361.9
EXENT-0023,CONTROL OF EPISTAXSIS BY ANT. PACKING (G.A.),EXENT-0023,329.0,361.9
EXENT-0024,CONTROL OF EPISTAXSIS BY ANT. & POST PACK (G.A.),EXENT-0024,329.0,361.9
EXENT-0025,CONTROL OF EPISTAXSIS ELECTRO-CAUTERY UNILATERAL (G.A.),EXENT-0025,440.0,484.0
EXENT-0026,CONTROL OF EPISTAXSIS ELECTRO-CAUTERY BILATERAL (G.A.),EXENT-0026,546.0,600.6
EXENT-0027,BIOPSY OF THE NOSE (G.A.),EXENT-0027,329.0,361.9
EXENT-0028,REMOVAL OF NASAL PACK (G.A.),EXENT-0028,329.0,361.9
EXENT-0029,NASAL SINUSCOPY WITH BIOPSY (GA),EXENT-0029,546.0,600.6
EXENT-0030,INCISION OF NASAL ABSCESS (L.A,EXENT-0030,329.0,361.9
EXENT-0031,INCISION OF NASAL ABSCESS (G.A,EXENT-0031,277.0,304.7
EXENT-0032,CONTROL OF GHE AFTER ADENOIDECTOMY OUTSIDE SGH (L.A.),EXENT-0032,329.0,361.9
EXENT-0033,CONTROL OF HGE. AFTER ADENOIDECTOMY OUTSIDE SGH(G.A.),EXENT-0033,440.0,484.0
EXENT-0034,INCISION & DRAINAGE OF TONSILAR ABSCESS (G.A.),EXENT-0034,277.0,304.7
EXENT-0035,CONTROL OF HGE AFTER TONS. 2NDIN SGH (L.A.),EXENT-0035,277.0,304.7
EXENT-0036,CONTROL OF HGE. AFTER TONS. OUTSIDE SGH (G.A.),EXENT-0036,277.0,304.7
EXNEU-0005,EPIDURAL INJECTION,EXNEU-0005,637.0,700.7
EXOBG-0001,EXAMINATION UNDER G.A.,EXOBG-0001,605.0,665.5
EXOBG-0002,CERCLOGE SUTURE OF CERVIX G.A.,EXOBG-0002,329.0,361.9
EXOBG-0003,REMOVAL OF CERCLOGE SUTURE G.A,EXOBG-0003,165.0,181.5
EXOBG-0004,HYMNECTOMY G.A.,EXOBG-0004,329.0,361.9
EXOBG-0005,CERVICAL BIOPSY G.A.,EXOBG-0005,277.0,304.7
EXOBG-0006,CERVICAL POLYPECTOMY G.A.,EXOBG-0006,546.0,600.6
EXOBG-0007,DILATATION AND CURRETAGE (D&C),EXOBG-0007,329.0,361.9
EXOBG-0008,EVACUATION AND CURRETAGE (E&C),EXOBG-0008,329.0,361.9
EXOBG-0009,VAGINAL POLPECTOMY G.A.,EXOBG-0009,329.0,361.9
EXOBG-0010,BARTHOLIN CYST MARSUPIALIZA G.A.,EXOBG-0010,329.0,361.9
EXOBG-0011,VAGINAL CYST EXCISION G.A.,EXOBG-0011,329.0,361.9
EXOBG-0012,LABIAL CYST EXCISION G.A.,EXOBG-0012,329.0,361.9
EXOBG-0013,EPISIOTOMY WOUND REVISION G.A.,EXOBG-0013,223.0,245.3
EXOBG-0014,LABIAL CYST INCISION,EXOBG-0014,329.0,361.9
EXOBG-0015,NORMAL LABOUR (INCLUDING BABY CARE ),EXOBG-0015,1093.0,1202.3
EXOBG-0016,C.S.,EXOBG-0016,2732.0,3005.2
EXOBG-0017,ECTOPIC,EXOBG-0017,1316.0,1447.6
EXOBG-0018,RETAINED PLACENTA,EXOBG-0018,388.00000000000006,426.8
EXSUR-0001,TONSILLECTOMY,EXSUR-0001,1072.0,1179.2
EXSUR-0002,CIRCUMCISION 6 MONTHS TO 5 YRS,EXSUR-0002,223.0,245.3
EXSUR-0003,CIRCUMCISION ADULT OER 15 YRS,EXSUR-0003,329.0,361.9
EXSUR-0004,CORRECTION OF CIRCUMCISION ADT,EXSUR-0004,440.0,484.0
EXSUR-0005,DEBREBMENT & SUTURING OF WOUNDSKIN MINOR (SIZE),EXSUR-0005,223.0,245.3
EXSUR-0006,DEBREDMENT & SUTURE OF SKIN DEEP,EXSUR-0006,329.0,361.9
EXSUR-0007,DRAINAGE OF ABSCESS UNDER ANEAANAESTHESIA,EXSUR-0007,223.0,245.3
EXSUR-0008,DRAINAGE OF PERIANAL ABSCESS(GA),EXSUR-0008,329.0,361.9
EXSUR-0009,DRESSING OF BURNS UP TO 10% AREA,EXSUR-0009,165.0,181.5
EXSUR-0011,SKIN BIOPSY (W/G.A.),EXSUR-0011,297.0,326.7
EXSUR-0012,EXCISION OF ANAL FISSURE,EXSUR-0012,658.9999999999999,724.9
EXSUR-0014,EXCISION OF LOCALIZED LESION FOF BREAST,EXSUR-0014,876.0000000000001,963.6
EXSUR-0015,EXCISION OF LIPOMA OR SIMPLE  BEGIN TUMOR OR SKIN L.A.,EXSUR-0015,223.0,245.3
EXSUR-0016,EXCISION OF MULTIPLE LIPOMA ORNEUROMA G.A.,EXSUR-0016,546.0,600.6
EXSUR-0018,EXCISION OF DERMOID CYST,EXSUR-0018,277.0,304.7
EXSUR-0019,EXCISION OF TONGUE SWELLING,EXSUR-0019,658.9999999999999,724.9
EXSUR-0020,INCISION OF THROMBOSED EXT. HAEMORRHOIDS G.A.,EXSUR-0020,277.0,304.7
EXSUR-0021,EXCISION OF THROMBOSED EXT. HAEMORRHOIDS G.A.,EXSUR-0021,770.0,847.0
EXSUR-0022,2ND SUTURE WITH ANAESTHESIA,EXSUR-0022,277.0,304.7
EXSUR-0023,LEFT LATERAL ANAL SPHINCTEROTOMY (G.A.),EXSUR-0023,658.9999999999999,724.9
EXSUR-0026,PERIANAL ABSCESS (UNDER G.A.),EXSUR-0026,277.0,304.7
EXSUR-0027,ANAL DILATATION UNDER G.A.,EXSUR-0027,277.0,304.7
EXSUR-0028,RELEASE OF TONGUE TIE G.A.,EXSUR-0028,329.0,361.9
EXSUR-0030,REMOVAL OF INGROWING NAIL G.A.,EXSUR-0030,223.0,245.3
EXSUR-0031,TOE AMPUTATION PARTIAL (G.A.),EXSUR-0031,546.0,600.6
EXSUR-0032,SCAR REVISION SMALL G.A.,EXSUR-0032,223.0,245.3
EXSUR-0033,SCAR REVISION MEDIUM G.A.,EXSUR-0033,329.0,361.9
EXSUR-0034,SCAR REVISION LARGE G.A.,EXSUR-0034,440.0,484.0
EXSUR-0035,BANDING OF HAEMORRHOIDS,EXSUR-0035,329.0,361.9
EXSUR-0036,FINE NEEDLE BIOPSY (ASPIRATIONOF THYROID GLAND),EXSUR-0036,329.0,361.9
EXSUR-0037,DRAINAGE OF PARI-ANAL HEMATOMAL.A.,EXSUR-0037,223.0,245.3
EXSUR-0038,DRAINAGE OF PARI-ANAL HEMATOMAG.A.,EXSUR-0038,388.00000000000006,426.8
EXSUR-0040,RECTOSCOPY,EXSUR-0040,770.0,847.0
EXURO-0001,TESTICULAR BIOPSY L.A.,EXURO-0001,388.00000000000006,426.8
EXURO-0002,VARICOCELECTOMY G.A.,EXURO-0002,494.0,543.4
EXURO-0003,HYDROCELECTOMY G.A.,EXURO-0003,494.0,543.4
EXURO-0004,REPAIR OF FRACTURE PENIS G.A.,EXURO-0004,1093.0,1202.3
EXURO-0005,MEATOTOMY AND MEATOPLASTY G.A.,EXURO-0005,546.0,600.6
EXURO-0006,INCISION FOR TESTICULAR ABSCESS G.A.,EXURO-0006,388.00000000000006,426.8
EXURO-0007,PROSTATE HYPERTHERAMIA TREATMENT G.A.,EXURO-0007,1093.0,1202.3
EXURO-0008,CYSTOSCOPY AND CAUTERY BLADDERG.A.,EXURO-0008,876.0000000000001,963.6
EXURO-0009,VISUAL INT. URETHROTOMY FOR   URETHRAL STRUCT.& USE OF LASER,EXURO-0009,2186.0,2404.6
EXURO-0011,CYSTOSCOPY AND D.J. INSERTION G.A.,EXURO-0011,1093.0,1202.3
EXURO-0012,TRANSRECTAL PROSTATIC N. BIOPSY GUIDED ULT. UNDER ANAE.,EXURO-0012,1093.0,1202.3
EXURO-0013,COMPLETE URODYNAMIC EVAL. FOR NEUROPATHIC DISORDER G.A.,EXURO-0013,1093.0,1202.3
EXURO-0014,CYSTOSCOPY AND RECTOGRADE URETHEROPYLEOGRAPHY G.A.,EXURO-0014,1316.0,1447.6
EXURO-0015,PERCUTANEOUS NEPHROSTOMY G.A.,EXURO-0015,1093.0,1202.3
EXURO-0016,POST-OP.REG.URETHRAL DLTN. FORURETHRAL STRUCTURE USING MTL G,EXURO-0016,388.00000000000006,426.8
EXURO-0017,CYSTOURETHOSCOPY G.A.,EXURO-0017,876.0000000000001,963.6
EXURO-0018,REMOVAL OF D.J. RTENT G.A.,EXURO-0018,546.0,600.6
EXURO-0019,URETROSCOPY URS G.A.,EXURO-0019,1093.0,1202.3
FLAU-00025,WHITE BED SHEET PER PCS.,FLAU-00025,60.0,66.0
FM39099901,Nursing Supervision,FM39099901,818.1818181818181,900.0
FM39099998,Nursing Supervision,FM39099998,227.27272727272725,250.0
FM39099999,MEDICAL SUPERVISION - VR02,FM39099999,181.81818181818184,200.0
FMACUA0002,ACUPUNCTURE THERAPY,FMACUA0002,223.0,245.3
FMACUA0003,TRIGGER POINT INJECTION,FMACUA0003,223.0,245.3
FMACUA0006,HYPNOSIS,FMACUA0006,139.0,152.9
FMACUA0010,STELLATE GANGLION BLOCK,FMACUA0010,1316.0,1447.6
FMACUA0011,SIMPLE PER.NERVE INJECTION,FMACUA0011,1316.0,1447.6
FMACUA0016,ACUPUNCTURE PER SESSION,FMACUA0016,165.0,181.5
FMACUA0017,ACUPUNCTURE COURSE 10 SESSIONS,FMACUA0017,1332.0000000000002,1465.2
FMACUA0018,ACUPUNCTURE COURSE 7 SESSION,FMACUA0018,1077.0,1184.7
FMACUA0019,ACUPUNCTURE COURSE 5 SESSION,FMACUA0019,770.0,847.0
FMACUA0020,MOXIBUSTION / STICK,FMACUA0020,165.0,181.5
FMACUA0021,CUPPING - AREA,FMACUA0021,96.0,105.6
FMACUA0022,TRIGGER POINT STIMULATION,FMACUA0022,139.0,152.9
FMACUA0023,TRANSNERVE STIMULATION,FMACUA0023,234.0,257.4
FMACUA0024,SLEEP INDUCING ACUPUNCTURE     FOR INSOMNIA,FMACUA0024,234.0,257.4
FMACUA0025,ACUPUNCTURE MEDEL,FMACUA0025,12.0,13.2
FMACUA0026,ACUPUNCTURE FOR OBESCITY,FMACUA0026,440.0,484.0
FMACUA0028,DEPILATION H REMOVAL 30 MINS,FMACUA0028,250.0,275.0
FMADM-0001,LOST PIN CARD,FMADM-0001,435.0,478.5
FMADM-0002,PIN CHARGE,FMADM-0002,25.0,27.5
FMADM-0006,IQUAMA EXAM FOR PASSPORT OFFCE,FMADM-0006,245.0,269.5
FMADM-0015,WHEELCHAIR RENT/WK.(DEP SR 500,FMADM-0015,271.0,298.1
FMADM-0016,CRUTCHES RENTAL - PER WEEK,FMADM-0016,70.0,77.0
FMADM-0018,THOMAS SPLINT RENTAL - PER WK.,FMADM-0018,170.0,187.0
FMADM-0034,CAR WASH,FMADM-0034,70.0,77.0
FMADM-0035,CAR PARK FOR VISITORS/HOUR,FMADM-0035,7.000000000000001,7.7
FMADM-0036,EXAMINATION FOR HEALTH DEPT.,FMADM-0036,122.0,134.2
FMADM-0047,OTHER SERVICES,FMADM-0047,271.0,298.1
FMADM-0048,MEDICAL REPORT,FMADM-0048,38.0,41.8
FMADM-0049,URGENT/EXTRA MEDICAL REPORT,FMADM-0049,70.0,77.0
FMADM-0050,MEDICAL EXAMINATION (NAVAL),FMADM-0050,340.0,374.0
FMADM-0051,PATIENT IDENTIFICATION CARD,FMADM-0051,10.0,11.0
FMADM-0052,LOST OF ID CARD SGH INSURANCE,FMADM-0052,53.99999999999999,59.4
FMADM-0053,SECURITY GUARD FOR 24 HRS.,FMADM-0053,361.0,397.1
FMADM-0055,TELEMED - MRI SCAN,FMADM-0055,1210.0,1331.0
FMADM-0056,TELEMED - CT SCAN,FMADM-0056,1210.0,1331.0
FMADM-0057,TELEMED - ULTRASOUND,FMADM-0057,691.0000000000001,760.1
FMADM-0058,TELEMED XRYFILMS CHEST/ABDOMEN,FMADM-0058,346.0,380.6
FMADM-0059,TELEMED - XRY FILM MISC. BONES,FMADM-0059,346.0,380.6
FMADM-0060,TELEMED - INTERVENOUS PYLOGRAM,FMADM-0060,521.0,573.1
FMADM-0061,TELEMED BARIUM STUDIES UPPER,FMADM-0061,691.0000000000001,760.1
FMADM-0062,TELEMED BARIUM STUDIES LOWER,FMADM-0062,865.0,951.5
FMADM-0063,TELEMED NUCLEAR MEDICINE SCANS,FMADM-0063,865.0,951.5
FMADM-0064,TELEMED MAMMOGRAPHY,FMADM-0064,521.0,573.1
FMADM-0065,TELEMED CINE ANGIOGRAM,FMADM-0065,1725.0,1897.5
FMADM-0066,TELEPATHOLOGY CASES,FMADM-0066,1210.0,1331.0
FMADM-0068,PMC + RADIOLOGY,FMADM-0068,3904.0,4294.4
FMADM-0069,PMC + RADIOLOGY + PATHOLOGY,FMADM-0069,4594.0,5053.4
FMADM-0070,MOTHER & BABY EDUCATION PRG. I,FMADM-0070,117.0,128.7
FMADM-0071,MOTHER & BABY EDUCATION PRG.II,FMADM-0071,234.0,257.4
FMADM-0072,MOTHER & BABY EDUCATION PRGIII,FMADM-0072,346.0,380.6
FMADM-0073,MOTHER & BABY EDUCATION PRG IV,FMADM-0073,461.99999999999994,508.2
FMADM-0074,MOTHER & BABY EDUCATION PRG. V,FMADM-0074,578.0,635.8
FMADM-0076,INTERNET MEMBERSHIP FEE,FMADM-0076,112.00000000000001,123.2
FMADM-0077,INTERNET CAFE MEMBERS PER HOUR,FMADM-0077,7.000000000000001,7.7
FMADM-0078,INTERNET STAFF NON MEMBERS,FMADM-0078,12.0,13.2
FMADM-0080,PHOTOCOPY FOR 80 PAGES,FMADM-0080,10.0,11.0
FMADM-9901,SECOND CLASS ,FMADM-9901,272.72727272727275,300.0
FMADM-9902,FIRST CLASS,FMADM-9902,545.4545454545455,600.0
FMADM-9906,ICU,FMADM-9906,1404.5454545454547,1545.0
FMADM-9908,NICU1E,FMADM-9908,1090.909090909091,1200.0
FMADM-9909, PICU1B,FMADM-9909,1090.909090909091,1200.0
FMADM-9915,CLASS DIFFERENCE,FMADM-9915,454.5454545454545,500.0
FMANA-0014,OXYGEN (O2)  PER HOUR,FMANA-0014,167.9818170720881,184.77999877929688
FMANA-0017,INSERTION OF SUB_CLAVIAN CATH.,FMANA-0017,413.6363636363637,455.0
FMANA-0029,ICU DAILY RATE - ICU6,FMANA-0029,1404.5454545454547,1545.0
FMANA-0031,MASK G. ANAESTHESIA,FMANA-0031,667.0000110973011,733.7000122070312
FMANA-0032,LOCAL ANAESTHESIA ASSISTANT/HR,FMANA-0032,200.0,220.0
FMANA-0050,I.V SADATION,FMANA-0050,313.6363636363636,345.0
FMANA-0062,USE OF ZEUS MONITORING,FMANA-0062,266.800009987571,293.4800109863281
FMCAR-0000,CARDIOLOGY CONSULTATION IN-PT,FMCAR-0000,100.0,110.0
FMCAR-0001,REFERAL FROM OTHER DOCOR,FMCAR-0001,75.0,82.5
FMCAR-0002,E.C.G.,FMCAR-0002,101.0,111.1
FMCAR-0003,E.C.G. WITH ERGOMETRY,FMCAR-0003,848.9999999999999,933.9
FMCAR-0004,ECHO CARDIOGRAM 2D + M MODE,FMCAR-0004,668.9999999999999,735.9
FMCAR-0005,ECHO CARDIOGRAM 2D + M MODE + DOPPLER (FULL STUDY),FMCAR-0005,934.0,1027.4
FMCAR-0006,HOLTER MONITOR 24 HOURS ECG,FMCAR-0006,668.9999999999999,735.9
FMCAR-0007,TREADMILL EXERCISE STRESS TEST,FMCAR-0007,668.9999999999999,735.9
FMCAR-0008,CARDIAC CATHETERIZATION,FMCAR-0008,8838.0,9721.8
FMCAR-0009,E.C.G. FOR INPATIENT,FMCAR-0009,122.0,134.2
FMCAR-0010,VENOUS DUPLEX,FMCAR-0010,245.0,269.5
FMCAR-0011,SURFACE PACEMAKER(NON-INVASIVE,FMCAR-0011,1809.0,1989.9
FMCAR-0012,EXTERNAL TEMPORARY PACEMAKER,FMCAR-0012,2838.0,3121.8
FMCAR-0013,PERICARDIOCENTESIS-6,FMCAR-0013,2414.0,2655.4
FMCAR-0014,ECHO M-MODE ONLY,FMCAR-0014,346.0,380.6
FMCAR-0015,HYPERTENSION CHECK-UP I,FMCAR-0015,546.0,600.6
FMCAR-0016,HYPERTENSION CHECK-UP II,FMCAR-0016,1152.0,1267.2
FMCAR-0017,PERMANENT  PACEMAKER-7,FMCAR-0017,4372.0,4809.2
FMCAR-0018,PORTABLE ECHO SCREENING,FMCAR-0018,277.0,304.7
FMCAR-0019,PORTABLE ECHO FULL STUDY,FMCAR-0019,658.9999999999999,724.9
FMCAR-0020,24 HOURS AMBULATORY BP MONITORING,FMCAR-0020,440.0,484.0
FMCAR-0021,48 HOURS AMBULATORY BY MONITORING,FMCAR-0021,658.9999999999999,724.9
FMCAR-0100,TILT TABLE TEST (TTT),FMCAR-0100,1818.181818181818,2000.0
FMCAR-0500,SECOND OPINION CONSULTATION,FMCAR-0500,114.0,125.4
FMCARS0001,CARDIO VERSION (DC SHOCK),FMCARS0001,1093.0,1202.3
FMCARS0002,TEMPORARY PACEMAKER LEVEL REPOSITIONING,FMCARS0002,1093.0,1202.3
FMCARS0003,EXTERNAL PACEMAKER USE /DAY,FMCARS0003,223.0,245.3
FMCARS0004,ATRIAL PACING,FMCARS0004,1093.0,1202.3
FMCARS0005,PERMANENT PACEMAKER IMPLANTATION (DDD),FMCARS0005,6556.0,7211.6
FMCARS0006,TRANSESOPHAGEAL ECHOCARDIOGRAPHY (TEE),FMCARS0006,1316.0,1447.6
FMCARS0007,PHARMACOLOGICAL TEST,FMCARS0007,770.0,847.0
FMCARS0008,PHARMACOLOGICAL STRESS ECHOCARDIOGRAPHY,FMCARS0008,1639.0,1802.9
FMCARS0009,ABULATORY BP MONITORING,FMCARS0009,7649.0,8413.9
FMCARS0010,INTRA-AROTIC BALLOON INSERTION,FMCARS0010,2186.0,2404.6
FMCARS0011,INTRA-AORTIC BALLOON PUMP USE / DAY,FMCARS0011,658.9999999999999,724.9
FMCARS0012,RIGHT HEART CATHETERIZATION,FMCARS0012,1639.0,1802.9
