Department,ServiceCode,Service Description,LOS,Type,NPHIES Code (Hyphenated )2,Unified price
SFDA,P-3-N-140619-93842,FRANCE LAIT PRE 400 g,0,SFDA,P-3-N-140619-93842,40.0
SFDA,P-3-N-200420-61857,FRISOLAC GOLD AR 400 GM,0,SFDA,P-3-N-200420-61857,46.0
SFDA,P-3-N-200420-61873,FRISOLAC GOLD HYDROPRO PLUS 400 GM,0,SFDA,P-3-N-200420-61873,89.0
SFDA,P-3-N-200420-61852,FRISOLAC GOLD LF 400 GM,0,SFDA,P-3-N-200420-61852,43.0
SFDA,P-3-N-190116-7020,FRISOLAC-2 GOLD 12x400gm,0,SFDA,P-3-N-190116-7020,29.0
SFDA,P-3-N-020215-13052,GALACTOMINE 19,0,SFDA,P-3-N-020215-13052,242.0
SFDA,P-3-N-170517-82604,HERO BABY MILK AR 400gm,0,SFDA,P-3-N-170517-82604,46.0
SFDA,P-3-N-170517-82585,HERO BABY MILK LF 400gm,0,SFDA,P-3-N-170517-82585,46.0
SFDA,P-3-N-120313-1282,HUMANA BEBEMIL AR 24x350gm,0,SFDA,P-3-N-120313-1282,40.0
SFDA,P-3-N-250719-118571,Humana Plus 700 g,0,SFDA,P-3-N-250719-118571,68.0
SFDA,P-3-N-281019-163714,Humana Special 350 g,0,SFDA,P-3-N-281019-163714,38.0
SFDA,P-3-N-050520-68448,Lactonic 350 g,0,SFDA,P-3-N-050520-68448,25.0
SFDA,P-3-N-220613-4467,Lactonic AR 400 g,0,SFDA,P-3-N-220613-4467,35.0
SFDA,P-3-N-140322-42191,LACTONIC AR GOLD 400gm,0,SFDA,P-3-N-140322-42191,43.0
SFDA,P-3-N-010622-84834,Lactonic Gold EASE TO CALM 350 g,0,SFDA,P-3-N-010622-84834,25.0
SFDA,P-3-N-130121-8061,Lactonic Gold LF 350 g,0,SFDA,P-3-N-130121-8061,32.0
SFDA,P-3-N-230114-18420,LACTONIC HA PLUS 400gm,0,SFDA,P-3-N-230114-18420,46.0
SFDA,P-3-N-130121-8047,LACTONIC HA PLUS NO-1 400gm,0,SFDA,P-3-N-130121-8047,48.0
SFDA,P-3-N-130121-8052,LACTONIC HA PLUS NO-2 400gm,0,SFDA,P-3-N-130121-8052,48.0
SFDA,P-3-N-230817-132223,LIPTOGROW GOLD-3 MILK 900gm,0,SFDA,P-3-N-230817-132223,63.0
SFDA,P-3-N-020918-130537,LIPTOMIL GOLD LOW LACTOSE MILK 400gm,0,SFDA,P-3-N-020918-130537,48.0
SFDA,P-3-N-050214-28503,MONOGEN 400 GM,0,SFDA,P-3-N-050214-28503,146.0
SFDA,P-3-N-290322-51828,NAN (A.R)ANTI-REGURGITATION MILK 12x380g,0,SFDA,P-3-N-290322-51828,47.0
SFDA,P-3-N-050821-133309,NAN SUPREME PRO-2 12x400gm,0,SFDA,P-3-N-050821-133309,57.0
SFDA,P-3-N-050821-133311,NAN SUPREME PRO-3 12x400gm,0,SFDA,P-3-N-050821-133311,55.0
SFDA,P-3-N-120921-155074,NAN SUPREME PRO-3 6x800gm,0,SFDA,P-3-N-120921-155074,105.0
SFDA,P-3-N-130114-9224,NEOCATE INFANT MILK,0,SFDA,P-3-N-130114-9224,220.0
SFDA,P-3-N-281013-10214,Novalac AR 1 400 g,0,SFDA,P-3-N-281013-10214,37.0
SFDA,P-3-N-100515-63440,RONALAC MILK GENTLE(PHP) PWD 400gm,0,SFDA,P-3-N-100515-63440,49.0
SFDA,P-3-N-291020-170620,RONALAC MILK LF 400gm,0,SFDA,P-3-N-291020-170620,39.0
SFDA,P-3-N-120515-64788,RONALAC PREMATURE INFANT FORMULA 450gm,0,SFDA,P-3-N-120515-64788,51.0
SFDA,P-3-N-050319-33514,S 26 GOLD ALPHALAC MILK 400 GM,0,SFDA,P-3-N-050319-33514,32.0
SFDA,P-3-N-021019-150854,PEDIASURE 1+ STRAWBERRY 900 GM,0,SFDA,P-3-N-021019-150854,93.0
SFDA,P-3-N-120919-142153,PEDIASURE 1+ VANILLA 400 GM,0,SFDA,P-3-N-120919-142153,43.0
SFDA,P-3-N-021019-150864,PEDIASURE 1+ VANILLA 900 GM,0,SFDA,P-3-N-021019-150864,93.0
SFDA,P-3-N-021019-150874,PEDIASURE 3+ CHOCOLATE 400 GM,0,SFDA,P-3-N-021019-150874,43.0
SFDA,P-3-N-120919-142154,PEDIASURE 3+ VANILLA 400 GM,0,SFDA,P-3-N-120919-142154,43.0
SFDA,P-3-N-021019-150895,PEDIASURE 3+ VANILLA 900 GM,0,SFDA,P-3-N-021019-150895,93.0
SFDA,P-3-N-160720-102121,PEDIASURE PEPTIDE VANILLA 200 ML,0,SFDA,P-3-N-160720-102121,22.0
SFDA,P-3-N-050717-104922,PEDIASURE PLUS FIBER VANILLA 200 ML,0,SFDA,P-3-N-050717-104922,9.0
SFDA,P-3-N-131119-171777,PEPTAMEN JUNIOR 400GM,0,SFDA,P-3-N-131119-171777,132.0
SFDA,P-3-N-060322-37152,PHENEX-1 400 G,0,SFDA,P-3-N-060322-37152,97.0
SFDA,P-3-N-120214-32699,POLYCOSE MILK,0,SFDA,P-3-N-120214-32699,26.0
SFDA,P-3-N-071019-153341,PRE  NAN STAGE-1 12x400gm,0,SFDA,P-3-N-071019-153341,56.0
SFDA,P-3-N-250417-68338,Primalac 400 g,0,SFDA,P-3-N-250417-68338,27.0
SFDA,P-3-N-081018-145891,Primalac LACTOSE FREE LF 400 g,0,SFDA,P-3-N-081018-145891,42.0
SFDA,P-3-N-260714-115365,PRIMALAC MILK AC -400GM,0,SFDA,P-3-N-260714-115365,48.0
SFDA,P-3-N-050515-61382,PRIMALAC MILK AR-1 400gm,0,SFDA,P-3-N-050515-61382,46.0
SFDA,P-3-N-050515-61387,PRIMALAC MILK AR-2 400gm,0,SFDA,P-3-N-050515-61387,46.0
SFDA,P-3-N-201022-171188,PRIMALAC MILK CMA 400 GM,0,SFDA,P-3-N-201022-171188,105.0
SFDA,P-3-N-300822-136282,PRIMALAC MILK HA1 400 GM,0,SFDA,P-3-N-300822-136282,54.0
SFDA,P-3-N-300822-136284,PRIMALAC MILK HA2 400 GM,0,SFDA,P-3-N-300822-136284,54.0
SFDA,P-3-N-150118-8377,PRIMALAC MILK PRE 400gm,0,SFDA,P-3-N-150118-8377,49.0
SFDA,P-3-N-021218-175416,Primalac Premium WH2 400 g,0,SFDA,P-3-N-021218-175416,46.0
SFDA,P-3-N-200916-131030,RESOURCE JUNIOR PWDR VANILA FLVR -400G  *12,0,SFDA,P-3-N-200916-131030,42.0
SFDA,P-3-N-201217-201130,RONALAC HYPOLAIT MILK 400gm,0,SFDA,P-3-N-201217-201130,51.0
SFDA,P-3-N-191220-203145,RONALAC MILK AR 400gm,0,SFDA,P-3-N-191220-203145,39.0
SFDA,P-3-N-070319-35207,S 26 GOLD ALPHALAC MILK 900 GM,0,SFDA,P-3-N-070319-35207,70.0
SFDA,P-3-N-160216-21649,S-26 (LF) GOLD 400gm,0,SFDA,P-3-N-160216-21649,52.0
SFDA,P-3-N-210216-24283,S-26 AR GOLD 400gm,0,SFDA,P-3-N-210216-24283,55.0
SFDA,P-3-N-291013-10367,Novalac AR 2 400 g,0,SFDA,P-3-N-291013-10367,37.0
SFDA,P-3-N-170915-117561,novalac AR Digest 400 g,0,SFDA,P-3-N-170915-117561,40.0
SFDA,P-3-N-070922-140347,NOVALAC COLINOVA LOW LACTOSE 400gm,0,SFDA,P-3-N-070922-140347,44.0
SFDA,P-3-N-021019-150881,PEDIASURE 3+ CHOCOLATE 900 GM,0,SFDA,P-3-N-021019-150881,93.0
SFDA,P-3-N-271218-188762,Primalac Premium WH2 900 g,0,SFDA,P-3-N-271218-188762,95.0
SFDA,P-3-N-191121-192669,Primalac Ultima LF 400 g,0,SFDA,P-3-N-191121-192669,50.0
SFDA,P-3-N-010315-25460,PROMISE PE GOLD 400 GM,0,SFDA,P-3-N-010315-25460,50.0
SFDA,P-3-N-010616-83565,PROMISE PE GOLD 900 GM,0,SFDA,P-3-N-010616-83565,105.0
SFDA,P-3-N-270318-52902,RESOURCE JUNIOR 1.0 (VNILLACHOCLT) 237ML  *24,0,SFDA,P-3-N-270318-52902,8.0
SFDA,P-3-N-030719-104832,RESOURCE JUNIOR 1.5 (VNILLACHOCLT) 200ML  *24,0,SFDA,P-3-N-030719-104832,10.0
SFDA,P-3-N-120416-53943,S-26 PDF GOLD MILK 12x400gm,0,SFDA,P-3-N-120416-53943,54.0
SFDA,P-3-N-230214-40362,SAHHA  LF-INFANT FORMULA MILK 400gm,0,SFDA,P-3-N-230214-40362,37.0
SFDA,P-3-N-040214-26987,SIMILAC ELECARE 400 GM,0,SFDA,P-3-N-040214-26987,187.0
SFDA,P-3-N-200819-130595,SIMILAC ELECARE JR 400 GM,0,SFDA,P-3-N-200819-130595,151.0
SFDA,P-3-N-010520-66854,SIMILAC GOLD NO-4 6x1700gm,0,SFDA,P-3-N-010520-66854,117.0
SFDA,P-3-N-200819-130763,SIMILAC HIGH ENERGY RTF 200 ML,0,SFDA,P-3-N-200819-130763,15.0
SFDA,P-3-N-080315-28815,SIMILAC NEOSURE(I.Q) INFANT MILK 24x370g,0,SFDA,P-3-N-080315-28815,45.0
SFDA,P-3-N-140520-72599,SIMILAC PRO-S NO-1 820gm,0,SFDA,P-3-N-140520-72599,100.0
SFDA,P-3-N-301121-198548,SIMILAC PRO-S NO-2 360gm,0,SFDA,P-3-N-301121-198548,47.0
SFDA,P-3-N-140520-72560,SIMILAC PRO-S NO-2 820gm,0,SFDA,P-3-N-140520-72560,100.0
SFDA,P-3-N-270616-98042,SIMILAC SENSITIVE NO.1 12x820gm,0,SFDA,P-3-N-270616-98042,97.0
SFDA,P-3-N-061016-137759,SIMILAC SENSITIVE NO.1 24x360gm,0,SFDA,P-3-N-061016-137759,45.0
SFDA,P-3-N-270616-98049,SIMILAC SENSITIVE NO.2 12x820gm,0,SFDA,P-3-N-270616-98049,97.0
SFDA,P-3-N-270616-98046,SIMILAC SENSITIVE NO.2 24x360gm,0,SFDA,P-3-N-270616-98046,45.0
SFDA,P-3-N-100816-115759,SIMILAC SENSITIVE NO.3 12x820gm,0,SFDA,P-3-N-100816-115759,97.0
SFDA,P-3-N-100816-115755,SIMILAC SENSITIVE NO.3 24x360gm,0,SFDA,P-3-N-100816-115755,45.0
SFDA,P-3-N-010517-72238,Swisslac 400 g,0,SFDA,P-3-N-010517-72238,27.0
SFDA,P-3-N-020417-54100,SWISSLAC MILK AR-1 400gm,0,SFDA,P-3-N-020417-54100,46.0
SFDA,P-3-N-101021-169589,SWISSLAC MILK AR-2 400gm,0,SFDA,P-3-N-101021-169589,46.0
SFDA,P-3-N-081018-145893,SWISSLAC MILK LF 400gm,0,SFDA,P-3-N-081018-145893,45.0
SFDA,P-3-N-101021-169604,SWISSLAC MILK WH-1 400gm,0,SFDA,P-3-N-101021-169604,49.0
SFDA,P-3-N-311218-190552,SWISSLAC MILK WH-2 400gm,0,SFDA,P-3-N-311218-190552,49.0
SFDA,P-3-N-240821-144169,VITAFOS JUNIOR MILK 400 GM,0,SFDA,P-3-N-240821-144169,41.0
SFDA,36486,VASOPRESSIN 20 U/ML VAIL,0,SFDA,99999,62.928
SFDA,47268,COLOMYCIN 2 MILLION IU INJ,0,SFDA,99999,62.928
SFDA,48573,SLOW K 600 MG X 100 TAB,0,SFDA,99999,196.65
SFDA,30-57-02,CLEXANE 4000 ANTI- XA IU / 0.4 ML INJ. X 2 SYRINGES,0,SFDA,99999,26.3856
SFDA,1603200040,Luxturna,0,SFDA,1603200040,1935202.0
SFDA,705200074,MAYZENT,0,SFDA,705200074,910.0
SFDA,504200048,Pluryal VOLUME,0,SFDA,504200048,388.0
SFDA,1603200038,DERMALSTYLE forte Lidocaine,0,SFDA,1603200038,377.0
SFDA,1603200039,DERMALSTYLE smile Lidocaine,0,SFDA,1603200039,377.0
SFDA,3001200006,NEAUVIA Organic Intense,0,SFDA,3001200006,357.0
SFDA,504200049,Pluryal CLASSIC,0,SFDA,504200049,333.0
SFDA,504200047,Pluryal BOOSTER,0,SFDA,504200047,316.0
SFDA,6320010235,APTAMIL PEPTI JUNIOR 400 GM,0,SFDA,6320010235,176.0
SFDA,205200071,VERTEX,0,SFDA,205200071,96.0
SFDA,6320013914,NAN HA 3 800 GM,0,SFDA,6320013914,76.0
SFDA,205200066,MILORA HCT,0,SFDA,205200066,67.0
SFDA,205200068,MILORA HCT,0,SFDA,205200068,67.0
SFDA,205200067,MILORA HCT,0,SFDA,205200067,57.0
SFDA,205200069,MILORA HCT,0,SFDA,205200069,57.0
SFDA,205200070,VERTEX,0,SFDA,205200070,57.0
SFDA,31422,GASTROGRAFIN 76-ORAL AQUEOUS SOLN.,0,SFDA,31422,54.0
SFDA,6320010173,SIMILAC NEOSURE 370 GM,0,SFDA,6320010173,48.0
SFDA,1804200053,ANGIRAM,0,SFDA,1804200053,47.0
SFDA,405200073,OZERO,0,SFDA,405200073,46.0
SFDA,6320010092,NAN AR MILK 380 G,0,SFDA,6320010092,39.0
SFDA,1804200054,ANGIRAM,0,SFDA,1804200054,36.0
SFDA,504200050,Dolibz,0,SFDA,504200050,28.0
SFDA,29456,LASIX TAB 40 MG,0,SFDA,29456,23.0
SFDA,504200051,Dolibz,0,SFDA,504200051,14.0
SFDA,405200072,OZERO,0,SFDA,405200072,13.0
