SERVICE CODE,CATEGORY,SUB-CATEGORY,SERVICE DESCRIPTION,REVISED PRICES,5
1112047,CONSULTATION,CONSULTATION,PSYCHIATRIC CONSULTATION,125.0,45
1112048,CONSULTATION,CONSULTATION,PSYCHIATRIC FOLLOW-UP (WITHIN 7 DAYS),125.0,46
1112049,CONSULTATION,CONSULTATION,PSYCHO THERAPY (PER SESSION),125.0,47
1112050,CONSULTATION,CONSULTATION,RHEUMATOLOGY  CONSULTATION,125.0,48
1112051,CONSULTATION,CONSULTATION,SURGERY CONSULTATION,125.0,49
1112052,CONSULTATION,CONSULTATION,UROLOGY CONSULTATION,125.0,50
2014051,GENERAL SURG.,FINE MAJOR SURG,PRE-OPERATIVE INVESTIGATION,350.0,51
2182001,NEPHROLOGY,HAEMODIALYSIS,HAEMODIALYSIS FIRST SESSIONS ,1200.0,52
2182002,NEPHROLOGY,HAEMODIALYSIS,HAEMODIALYSIS REGULER SESSION,1000.0,53
8123001,RADIOLOGY,MRI,MRI WITHOUT CONTRAST ,1200.0,54
8123002,RADIOLOGY,MRI,MRI ADDITIONAL ORGAN,1200.0,55
8123003,RADIOLOGY,MRI,MRI WITH CONTRAST ,1200.0,56
8123004,RADIOLOGY,MRI,MRI PELVIMETRY,1200.0,57
8123005,RADIOLOGY,MRI,CONTRAST ONLY FOR MRI / CT SCAN ,1200.0,58
8123007,RADIOLOGY,MRI,MRI SPECTROMETRY,1200.0,59
8123008,RADIOLOGY,MRI,MRI UROGRAPHY,1200.0,60
8123009,RADIOLOGY,MRI,MRI CHOLANGIOGRAPHY / GALL BLADDER,1200.0,61
8123012,RADIOLOGY,MRI,MRI ARTHROGRAPHY WITH CONTRAST,1200.0,62
8123013,RADIOLOGY,MRI,MRI OF THE PITUITARY GLAND WITH CONTRAST,1200.0,63
8123014,RADIOLOGY,MRI,MRI OF TMJ,1200.0,64
8123015,RADIOLOGY,MRI,MRI BRAIN,1200.0,65
8123016,RADIOLOGY,MRI,MRI BRAIN WITH CONTRAST,1200.0,66
8123017,RADIOLOGY,MRI,MRI NECK WITH CONTRAST,1200.0,67
8123018,RADIOLOGY,MRI,MRI NECK ,1200.0,68
8123019,RADIOLOGY,MRI,MRI ORBIT WITH CONTRAST,1200.0,69
8123020,RADIOLOGY,MRI,MRI ORBIT ,1200.0,70
8123021,RADIOLOGY,MRI,MRI CHEST WITH CONTRAST,1200.0,71
8123022,RADIOLOGY,MRI,MRI CHEST ,1200.0,72
8123023,RADIOLOGY,MRI,MRI ABDOMEN WITH CONTRAST,1200.0,73
8123024,RADIOLOGY,MRI,MRI ABDOMEN ,1200.0,74
8123025,RADIOLOGY,MRI,MRI PLEVIS WITH CONTRAST,1200.0,75
8123026,RADIOLOGY,MRI,MRI PELVIS ,1200.0,76
8123027,RADIOLOGY,MRI,MRI SHOULDER WITH CONTRAST,1200.0,77
8123028,RADIOLOGY,MRI,MRI SHOULDER,1200.0,78
8123029,RADIOLOGY,MRI,MRI ELBOW WITH CONTRAST,1200.0,79
8123030,RADIOLOGY,MRI,MRI ELBOW ,1200.0,80
8123031,RADIOLOGY,MRI,MRI WRIST/HAND WITH CONTRAST,1200.0,81
8123032,RADIOLOGY,MRI,MRI WRIST/HAND ,1200.0,82
8123033,RADIOLOGY,MRI,MRI KNEE WITH CONTRAST,1200.0,83
8123034,RADIOLOGY,MRI,MRI KNEE ,1200.0,84
8123035,RADIOLOGY,MRI,MRI ANKLE/FOOT WITH CONTRAST,1200.0,85
8123036,RADIOLOGY,MRI,MRI ANKLE/FOOT ,1200.0,86
8123037,RADIOLOGY,MRI,MRI C. SPINE WITH CONTRAST,1200.0,87
8123038,RADIOLOGY,MRI,MRI C. SPINE,1200.0,88
8123039,RADIOLOGY,MRI,MRI DORSAL SPINE WITH CONTRAST,1200.0,89
8123040,RADIOLOGY,MRI,MRI DORSAL SPINE,1200.0,90
8123041,RADIOLOGY,MRI,MRI LUMBER SPINE WITH CONTRAST,1200.0,91
8123042,RADIOLOGY,MRI,MRI LUMBER SPINE ,1200.0,92
8123043,RADIOLOGY,MRI,MRI BRACHIAL PLEXUS,1200.0,93
8123044,RADIOLOGY,MRI,MRI BREAST WITH CONTRAST,1200.0,94
8123045,RADIOLOGY,MRI,MRI BREAST ,1200.0,95
8123060,RADIOLOGY,MRI,MRI ARM ,1200.0,96
8123061,RADIOLOGY,MRI,MRI FOREARM WITH CONTRAST,1200.0,97
8123062,RADIOLOGY,MRI,MRI FOREARM ,1200.0,98
8123063,RADIOLOGY,MRI,MRI HIP JOINT WITH CONTRAST,1200.0,99
8123064,RADIOLOGY,MRI,MRI HIP JOINT ,1200.0,100
8123065,RADIOLOGY,MRI,MRI FEMUR WITH CONTRAST,1200.0,101
8123066,RADIOLOGY,MRI,MRI FEMUR,1200.0,102
8123067,RADIOLOGY,MRI,MRI LEG WITH CONTRAST,1200.0,103
8123068,RADIOLOGY,MRI,MRI LEG  ,1200.0,104
8123069,RADIOLOGY,MRI,MRI SACRO ILIAC JOINT,1200.0,105
8123070,RADIOLOGY,MRI,MRI CARDIAC,1200.0,106
8124001,RADIOLOGY,CT SCAN ,CT SCAN ,800.0,107
8124002,RADIOLOGY,CT SCAN ,CT SCAN ADDITIONAL ORGAN,800.0,108
8124003,RADIOLOGY,CT SCAN ,CT SCAN WITH CONTRAST,800.0,109
8124004,RADIOLOGY / INTERVENATIONAL,CT SCAN ,CT SCAN GUIDED BIOPSY,800.0,110
8124005,RADIOLOGY,CT SCAN ,CT SCAN PELVIMETRY,800.0,111
8124006,RADIOLOGY,CT SCAN ,CT SCAN FOR MEASURING THE LIMBS,800.0,112
8124007,RADIOLOGY,CT SCAN ,CT SCAN KUB,800.0,113
8124009,RADIOLOGY,CT SCAN ,CT BRAIN PERFUSION STUDIES WITH CONTRAST,800.0,114
8124010,RADIOLOGY,CT SCAN ,CT VIRTUAL COLONOGRAPHY & POLYP DETECTION WITH CONTRAST,800.0,115
8124011,RADIOLOGY,CT SCAN ,CT VIRTUAL BRONCHOSCOPY WITH CONTRAST,800.0,116
8124015,RADIOLOGY,CT SCAN ,CT SIALOGRAM WITH CONTRAST ,800.0,117
8124017,RADIOLOGY,CT SCAN ,CT HEAD/BRAIN ,800.0,118
8124018,RADIOLOGY,CT SCAN ,CT HEAD/BRAIN WITH CONTRAST,800.0,119
8124019,RADIOLOGY,CT SCAN ,CT NECK WITH CONTRAST,800.0,120
8124020,RADIOLOGY,CT SCAN ,CT NECK ,800.0,121
8124024,RADIOLOGY,CT SCAN ,CT ABDOMEN & PELVIS,800.0,122
8124025,RADIOLOGY,CT SCAN ,CT CHEST WITH CONTRAST,800.0,123
8124026,RADIOLOGY,CT SCAN ,CT CHEST ,800.0,124
8124027,RADIOLOGY,CT SCAN ,CT ABDOMEN WITH CONTRAST,800.0,125
8124028,RADIOLOGY,CT SCAN ,CT ABDOMEN ,800.0,126
8124029,RADIOLOGY,CT SCAN ,CT PLEVIS WITH CONTRAST,800.0,127
8124030,RADIOLOGY,CT SCAN ,CT PELVIS ,800.0,128
8124031,RADIOLOGY,CT SCAN ,CT SHOULDER OR HUMERUS OR ELBOW WITH CONTRAST ,800.0,129
8124032,RADIOLOGY,CT SCAN ,CT SHOULDER OR HUMERUS OR ELBOW  ,800.0,130
8124033,RADIOLOGY,CT SCAN ,CT FOREARM OR WRIST OR HAND WITH CONTRAST ,800.0,131
8124034,RADIOLOGY,CT SCAN ,CT FOREARM OR WRIST OR HAND ,800.0,132
8124035,RADIOLOGY,CT SCAN ,CT HIP OR FEMUR OR KNEE WITH CONTRAST,800.0,133
8124036,RADIOLOGY,CT SCAN ,CT HIP OR FEMUR OR KNEE ,800.0,134
8124037,RADIOLOGY,CT SCAN ,CT LEG OR ANKLE OR FOOT WITH CONRAST,800.0,135
8124038,RADIOLOGY,CT SCAN ,CT LEG OR ANKLE OR FOOT,800.0,136
8124039,RADIOLOGY,CT SCAN ,CT FACIAL BONE WITH CONTRAST,800.0,137
8124040,RADIOLOGY,CT SCAN ,CT FACIAL BONE ,800.0,138
8124041,RADIOLOGY,CT SCAN ,CT C. SPINE ,800.0,139
8124042,RADIOLOGY,CT SCAN ,CT DORSAL SPINE,800.0,140
8124043,RADIOLOGY,CT SCAN ,CT LUMBER SPINE,800.0,141
8124046,RADIOLOGY,CT SCAN ,CT PITUITARY GLAND WITH CONTRAST,800.0,142
8124047,RADIOLOGY,CT SCAN ,CT ORBIT WITH CONTRAST,800.0,143
8124048,RADIOLOGY,CT SCAN ,CT ORBIT  ,800.0,144
8124049,RADIOLOGY,CT SCAN ,CT PNS WITH CONTRAST,800.0,145
8124050,RADIOLOGY,CT SCAN ,CT PNS ,800.0,146
8124064,RADIOLOGY,CT SCAN ,CT TEMPORAL BONE,800.0,147
8124065,RADIOLOGY,CT SCAN ,CT TEMPORAL BONE WITH CONTRAST,800.0,148
8122046,RADIOLOGY,ULTRASOUND,MAMMOGRAPHY WITH BREAST ULTRASOUND / UNILATERAL,1250.0,149
8122047,RADIOLOGY,ULTRASOUND,MAMMOGRAPHY WITH BREAST ULTRASOUND / BILATERAL,1625.0,150
8122048,RADIOLOGY,ULTRASOUND,PRE-NATAL ANOMALY AND ANALYTIC SURVAY ,1250.0,151
7121656,LABORATORY,CHEMISTRY,GESTATIONAL DIABETES SCREENING (OGTT / 50 Grs) ONE TEST,125.0,152
7121657,LABORATORY,CHEMISTRY,GESTATIONAL DIABETES SCREENING (OGTT / 75 Grs) TWO TESTS,200.0,153
7121658,LABORATORY,CHEMISTRY,GESTATIONAL DIABETES CONFIRMATION (OGTT / 100 Grs) FOUR TESTS,350.0,154
7121659,LABORATORY,CHEMISTRY,NON-INVASIVE PRE-NATAL TESTING (NIPT) ANY METHOD,3200.0,155
8124021,RADIOLOGY,CT SCAN ,CT CHEST & ABDOMEN & PELVIS ,3500.0,156
8124022,RADIOLOGY,CT SCAN ,CT CHEST & ABDOMEN & PELVIS WITH CONTRAST,3900.0,157
8124023,RADIOLOGY,CT SCAN ,CT ABDOMEN & PELVIS WITH CONTRAST,2900.0,158
8124044,RADIOLOGY,CT SCAN ,CT WHOLE SPINE,3500.0,159
8124045,RADIOLOGY,CT SCAN ,CT PAN SCAN,5500.0,160
1112011,CONSULTATION,CONSULTATION,CONSULTATION - VISITING DOCTORS,750.0,161
1112014,CONSULTATION,CONSULTATION,CONSULTATION FEE - VISITING DOCTOR ,750.0,162
1112024,CONSULTATION,CONSULTATION,FAMILY THERAPY ,125.0,163
1112026,CONSULTATION,CONSULTATION,FOLLOW-UP CONSULTATION (WITHIN 14 DAYS),0.0,164
1112027,CONSULTATION,CONSULTATION,FREE FOLLOW UP ( DENTAL ),0.0,165
1112042,CONSULTATION,CONSULTATION,OUTSIDE CONSULTATION CONSULTANT,750.0,166
1112043,CONSULTATION,CONSULTATION,OUTSIDE CONSULTATION SPECIALIST,450.0,167
1112053,CONSULTATION,CONSULTATION,CONSULTANT OR SPECIALIST CALL BY NAME FOR DELIVERY REQUESTED BY THE PATIENT,1000.0,168
2112001,ROOM & BOARD,ACCOMODATION,ACCOMODATION / SUITE PER DAY (BED ONLY),1200.0,169
2112002,ROOM & BOARD,ACCOMODATION,ACCOMODATION / PRIVATE PER DAY (BED ONLY),400.0,170
2112003,ROOM & BOARD,ACCOMODATION,ACCOMODATION / SEMI-PRIVATE PER DAY (BED ONLY),280.0,171
2112004,ROOM & BOARD,ACCOMODATION,ACCOMODATION / PAEDIATRIC WARD (BED ONLY),280.0,172
2112005,ROOM & BOARD,ACCOMODATION,ACCOMODATION / INFANT INCUBATOR (BED ONLY),280.0,173
2112006,ROOM & BOARD,ACCOMODATION,ACCOMODATION / NURSERY (BED ONLY),200.0,174
2112007,ROOM & BOARD,ACCOMODATION,ACCOMODATION / INTENSIVE CARE UNIT (ICU) (BED ONLY),1600.0,175
2112008,ROOM & BOARD,ACCOMODATION,ACCOMODATION / SUITE ROOM ICU PER DAY (BED ONLY),2800.0,176
2112009,ROOM & BOARD,ACCOMODATION,CACCOMODATION / CARDIAC CARE UNIT (CCU) (BED ONLY),1600.0,177
2112010,ROOM & BOARD,ACCOMODATION,ACCOMODATION / PEDIATRIC ICU (PICU) (BED ONLY),1600.0,178
2112011,ROOM & BOARD,ACCOMODATION,ACCOMODATION / NICU - PER DAY  (BED ONLY),1600.0,179
2112012,ROOM & BOARD,ACCOMODATION,ACCOMODATION / NICU INTERMEDIATE CARE (CRIB) (BED ONLY),800.0,180
2112013,ROOM & BOARD,ACCOMODATION,ACCOMODATION / NICU - ISOLATION PER DAY (BED ONLY),1600.0,181
2112014,ROOM & BOARD,ACCOMODATION,ACCOMODATION / ISOLATION ROOM / ADULT (BED ONLY),400.0,182
2112015,ROOM & BOARD,ACCOMODATION,HEAD OXYGEN BOX (NEO-NATAL CARE),130.0,183
2112016,ROOM & BOARD,ACCOMODATION,ROOM DIFFERENCE (SEMI PVT - PVT),120.0,184
2112017,ROOM & BOARD,ACCOMODATION,ROOM DIFFERENCE (SEMI PVT - SUITE),920.0,185
2112018,ROOM & BOARD,ACCOMODATION,ROOM DIFFERENCE (PVT - SUITE),800.0,186
2112019,ROOM & BOARD,ACCOMODATION,NURSING CARE / WARD PER DAY ,150.0,187
2112020,ROOM & BOARD,ACCOMODATION,NURSING CARE / ICU PER DAY ,250.0,188
2112021,ROOM & BOARD,ACCOMODATION,SPECIAL NURSE 24 HOURS,800.0,189
2112022,ROOM & BOARD,ACCOMODATION,NURSE AIDE 24 HRS,500.0,190
2112023,ROOM & BOARD,ACCOMODATION,COMPANION CHARGES WITH ADULT PER DAY ,200.0,191
2112024,ROOM & BOARD,ACCOMODATION,COMPANION CHARGES WITH CHILD PER DAY ,150.0,192
2112025,ROOM & BOARD,ACCOMODATION,DISPOSABLES WARD,156.25,193
2112026,ROOM & BOARD,ACCOMODATION,DISPOSABLES I.C.U.,300.0,194
2112027,ROOM & BOARD,ACCOMODATION,DISPOSABLES  NICU,300.0,195
2112028,ROOM & BOARD,ACCOMODATION,ISOLATION DISPOSABLES PER DAY ,400.0,196
2112029,ROOM & BOARD,ACCOMODATION,EXTRA LUNCH/DINNER TRAY,40.0,197
2112030,ROOM & BOARD,ACCOMODATION,TELEPHONE CHARGES ,0.0,198
3112001,GENERAL ,GENERAL  SERVICES,EMERGENCY ROOM FEES FOR OBSERVATION (1-3 HOURS),200.0,199
3112002,GENERAL ,GENERAL  SERVICES,OBSERVATION ROOM ER 3- 6 HOUR,150.0,200
3112003,GENERAL ,GENERAL  SERVICES,OBSERVATION ROOM ER MORE THAN 6 HOUR,200.0,201
3112004,GENERAL ,GENERAL  SERVICES,I.M. / S.C. INJECTION,15.0,202
3112005,GENERAL ,GENERAL  SERVICES,I.V. INJECTION,25.0,203
3112006,GENERAL ,GENERAL  SERVICES,I.V. FLUID INFUSION / REHYDRATION 250CC I.V.,40.0,204
3112007,GENERAL ,GENERAL  SERVICES,I.V. FLUID INFUSION / REHYDRATION 500CC I.V. ,60.0,205
3112008,GENERAL ,GENERAL  SERVICES,I.V. FLUID INFUSION / REHYDRATION 1000CC ,85.0,206
3112009,GENERAL ,GENERAL  SERVICES,PRE-EMPLOYMENT CHECK UP,350.0,207
3112010,GENERAL ,GENERAL  SERVICES,MEDICAL CHECK-UP PROGRAM 1 DAY ,1000.0,208
3112011,GENERAL ,GENERAL  SERVICES,MEDICAL CHECK-UP PROGRAM 2 DAYS ,2750.0,209
3112012,GENERAL ,GENERAL  SERVICES,MEDICAL CHECK-UP PROGRAM - CHILDREN,750.0,210
3112013,GENERAL ,GENERAL  SERVICES,AMBULANCE FEE LESS THAN 50 KMS,400.0,211
3112014,GENERAL ,GENERAL  SERVICES,AMBULANCE FEE MORE THAN 50 KMS LESS THAN 100 KMS,750.0,212
3112015,GENERAL ,GENERAL  SERVICES,AMBULANCE FEE MORE THAN 100 KMS LESS THAN 250 KMS,1500.0,213
3112016,GENERAL ,GENERAL  SERVICES,AMBULANCE FEE MORE THAN 250 KMS LESS THAN 500 KMS,6000.0,214
3112017,GENERAL ,GENERAL  SERVICES,AMBULANCE WITH NURSE TO DAMMAM AIRPORT,1000.0,215
3112018,GENERAL ,GENERAL  SERVICES,GENERAL PRACTITIONER  BY AMBULANCE W/NURSE (DAMMAM),300.0,216
3112019,GENERAL ,GENERAL  SERVICES,SPECIALIST BY AMBULANCE W/NURSE (DAMMAM),400.0,217
3112020,GENERAL ,GENERAL  SERVICES,NURSE ESCORT (DAMMAM),200.0,218
3112021,GENERAL ,GENERAL  SERVICES,NURSE ESCORT TO PHILIPPINES / INDIA,3500.0,219
3112022,GENERAL ,GENERAL  SERVICES,ORTHOFIX,1200.0,220
3112023,GENERAL ,GENERAL  SERVICES,ORTHOFIX RENTAL (PER DAY),35.0,221
3112024,GENERAL ,GENERAL  SERVICES,MORTUARY RENT PER DAY,300.0,222
3112025,GENERAL ,GENERAL  SERVICES,MEDICAL REPORT,100.0,223
3112026,GENERAL ,GENERAL  SERVICES,CODE BLUE,800.0,224
3112027,GENERAL ,GENERAL  SERVICES,BLOOD WARMER,100.0,225
3112028,GENERAL ,GENERAL  SERVICES,MEDICAL ESCORT (MIDDLE EAST),10000.0,226
3112029,GENERAL ,GENERAL  SERVICES,MEDICAL ESCORT (EUROPE & INDIA),12000.0,227
3112030,GENERAL ,GENERAL  SERVICES,MEDICAL ESCORT (U.S.A. & FAR EAST),18000.0,228
3112031,GENERAL ,GENERAL  SERVICES,DRESSING MAJOR,90.0,229
3112032,GENERAL ,GENERAL  SERVICES,DRESSING MEDIUM,65.0,230
3112033,GENERAL ,GENERAL  SERVICES,DRESSING MINOR,45.0,231
3112034,GENERAL ,GENERAL  SERVICES,BURN DRESSING MINOR (LESS THAN 5%),125.0,232
3112035,GENERAL ,GENERAL  SERVICES,BURN DRESSING MEDIUM (FROM 5% TO 25%),375.0,233
3112036,GENERAL ,GENERAL  SERVICES,BURN DRESSING MAJOR (MORE THAN 25%),400.0,234
3112037,GENERAL ,GENERAL  SERVICES,SLING,50.0,235
3112038,GENERAL ,GENERAL  SERVICES,ELASTIC BANDAGE,50.0,236
3112039,GENERAL ,GENERAL  SERVICES,BANDAGE AC,60.0,237
3112040,GENERAL ,GENERAL  SERVICES,NEBULIZER,50.0,238
3112041,GENERAL ,GENERAL  SERVICES,STOMACH WASH,350.0,239
3112042,GENERAL ,GENERAL  SERVICES,ENEMA,50.0,240
3112043,GENERAL ,GENERAL  SERVICES,E.K.G. / E.C.G. WITH REPORT,200.0,241
3112044,GENERAL ,GENERAL  SERVICES,TREADMILL EXERCISE TEST (STRESS TEST),800.0,242
3112045,GENERAL ,GENERAL  SERVICES,ECHO CARDIOGRAM,750.0,243
3112046,GENERAL ,GENERAL  SERVICES,DEFIBRILLATOR,170.0,244
3112047,GENERAL ,GENERAL  SERVICES,ELECTRONIC MONITORING,170.0,245
3112048,GENERAL ,GENERAL  SERVICES,PACE MAKER,170.0,246
3112049,GENERAL ,GENERAL  SERVICES,CALORIC TEST WITH ELECTROSTAGMOGRAM,500.0,247
3112050,GENERAL ,GENERAL  SERVICES,E.E.G.,900.0,248
3112051,GENERAL ,GENERAL  SERVICES,E.C.T. (ELECTRO CONVULSIVE THERAPY),975.0,249
3112052,GENERAL ,GENERAL  SERVICES,AMBULATORY BLOOD PRESSURE MONITOR,400.0,250
3112053,GENERAL ,GENERAL  SERVICES,IMPEDENCE METER,170.0,251
3112054,GENERAL ,GENERAL  SERVICES,CHEST DRAINAGE SET,500.0,252
3112055,GENERAL ,GENERAL  SERVICES,INTRA-COSTAL DRAINAGE SET,675.0,253
3112056,GENERAL ,GENERAL  SERVICES,CUTDOWN INFUSION LINE,340.0,254
3112057,GENERAL ,GENERAL  SERVICES,HUMIDIFIER PER DAY,170.0,255
3112058,GENERAL ,GENERAL  SERVICES,LOCAL INJECTION,85.0,256
3112059,GENERAL ,GENERAL  SERVICES,EAR PIERCING,85.0,257
3112060,GENERAL ,GENERAL  SERVICES,DIAGNOSTIC THORACOCENTESIS,170.0,258
3112061,GENERAL ,GENERAL  SERVICES,LUMBAR PUNCTURE W/O LABORATORY TEST(S.PUNCTURE),250.0,259
3112062,GENERAL ,GENERAL  SERVICES,COMEDON EXTRACTION,325.0,260
3112063,GENERAL ,GENERAL  SERVICES,TUBIGRIP,35.0,261
3112064,GENERAL,GENERAL  SERVICES,HOLTER MONITORING FOR 48 HOURS,1400.0,262
3112065,GENERAL,GENERAL  SERVICES,BLOOD PRESSURE MONITORING 24 HOURS,650.0,263
3112066,GENERAL,GENERAL  SERVICES,PAEDIATRIC ECHOCARDOGRAPHY,1500.0,264
3112067,GENERAL,GENERAL  SERVICES,DOBUTAMIN ECHO,2000.0,265
3112068,GENERAL,GENERAL  SERVICES,TRANSESOPHAGAL ECHO,2000.0,266
3112069,GENERAL,GENERAL  SERVICES,EEG UNDER ANAESTHESIA,1750.0,267
3112070,GENERAL ,GENERAL  SERVICES,UMBILICAL DRIP THRU UMBILICAL VEINS FOR NEONATES,450.0,268
3112071,GENERAL ,GENERAL  SERVICES,LUMBAR PUNCTURE FOR NEONATES,250.0,269
3112072,GENERAL ,GENERAL  SERVICES,SUBDURAL TAP,450.0,270
3112073,GENERAL ,GENERAL  SERVICES,JEJUNAL BIOPSY,500.0,271
3112074,GENERAL ,GENERAL  SERVICES,SKIN TEST,500.0,272
3112075,GENERAL ,GENERAL  SERVICES,P.F.T. & EXERCISE TEST,170.0,273
3112076,GENERAL ,GENERAL  SERVICES,PHOTO THERAPY W/O BLOOD (PER DAY),170.0,274
3112077,GENERAL ,GENERAL  SERVICES,DOUBLE PHOTO THERAPY W/O BLOOD PER DAY,325.0,275
3112078,GENERAL ,GENERAL  SERVICES,TRIPLE PHOTO THERAPY W/O BLOOD PER DAY,450.0,276
3112079,GENERAL ,GENERAL  SERVICES,NASAL SUCTION,85.0,277
3112080,GENERAL ,GENERAL  SERVICES,OXYGEN TENT,400.0,278
3112081,GENERAL ,GENERAL  SERVICES,BONE MARROW ASPIRATION,1170.0,279
3112082,GENERAL ,GENERAL  SERVICES,"BONE MARROW BIOPSY, NEEDLE (INCL. LAB TESTS) ",2200.0,280
3112083,GENERAL ,GENERAL  SERVICES,ABDOMINAL PARACENTHESIS,325.0,281
3112084,GENERAL,GENERAL  SERVICES,ESOHAGEAL MANOMETRY STUDY,3500.0,282
3112085,GENERAL,GENERAL  SERVICES,ANORECTAL MANOMETRY STUDY,2500.0,283
3112086,GENERAL,GENERAL  SERVICES,BIOFEEDBACK / 1 SESSION,850.0,284
3112087,GENERAL,GENERAL  SERVICES,BIOFEEDBACK / 4 SESSIONS,2000.0,285
3112088,GENERAL,GENERAL  SERVICES,BONE BIOPSY,1170.0,286
3112089,GENERAL,GENERAL  SERVICES,INJECTION BOTOX AS PROPHYLACTIC FOR MIGRAINE,1000.0,287
3112090,GENERAL,GENERAL  SERVICES,INCISION AND DRAINAGE,125.0,288
3112091,GENERAL,GENERAL  SERVICES,SUTURING MINOR,125.0,289
3112092,GENERAL,GENERAL  SERVICES,SUTURING MAJOR,250.0,290
3112093,GENERAL,GENERAL  SERVICES,EXTRACTION OF NAIL & DRESSING,170.0,291
3112094,GENERAL,GENERAL  SERVICES,REMOVAL OF FOREIGN BODY SUPERFICIAL,170.0,292
3112095,GENERAL,GENERAL  SERVICES,REMOVAL OF FOREIGN BODY DEEP W/SCREEN,350.0,293
3112096,GENERAL,GENERAL  SERVICES,LOCAL ANAESTHESIA SMALL AREA,75.0,294
3112097,GENERAL,GENERAL  SERVICES,LOCAL ANAESTHESIA LARGE AREA,250.0,295
3112098,GENERAL,GENERAL  SERVICES,CIRCUMCISION NEW BORN 1 DAY  - 3 MONTHS WITH LAB TESTS,400.0,296
3112099,GENERAL,GENERAL  SERVICES,CIRCUMCISION 3 MONTHS - 1 YEAR  WITH LAB TEST,650.0,297
