Unified Code,Unified Description,Type,SBS V2,LOS,2025 Price,2026 Price,2027 Price,Discount 3 years contract
FMINT-0092,Dietitian Consultation Fee,Consultation,96067-00-00,-,190.0,204.25,216.505,0.0
FMPSY-CONS,Psychiatric Consultation,Consultation,83600-00-10,-,190.0,204.25,216.505,0.0
FMXRAY-0328,C.T. POST COLCHICINE,CT,60100-00-00,-,800.0,860.0,911.6,0.0
FMXRAY1688,Control Follow C.T.,CT,99999-99-92,-,800.0,860.0,911.6,0.0
FMXRAY1550,CT ABDOMEN & PELVIS (Liver Volumetry protocol),CT,56501-00-00,-,1000.0,1075.0,1139.5,0.0
FMXRAY1549,Ct Abdomen & Pelvis Without Contrast,CT,56501-00-00,-,1000.0,1075.0,1139.5,0.0
FMXRAY1724,CT ANGIOGRAPHY (CTA) FOR LOWER LIMB,CT,57350-07-01,-,1890.0,2031.75,2153.655,0.0
FMXRAY1553,Ct Angiography (Ctv) For Lower Limb,CT,57350-07-01,-,1890.0,2031.75,2153.655,0.0
FMXRAY1552,Ct Angiography (Ctv) For Upper Limb,CT,57350-01-00,-,1890.0,2031.75,2153.655,0.0
FMXRAY1706,CT BRAIN ANGIOGRAPHY (CTA),CT,59970-02-00,-,1890.0,2031.75,2153.655,0.0
FMXRAY1547,Ct Brain Angiography (Ctv),CT,59970-02-00,-,1890.0,2031.75,2153.655,0.0
FMXRAY1551,"CT CHEST, ABDOMEN, PELVIS WITH CONTRAST (CAP Protocol)",CT,56807-00-00,-,1890.0,2031.75,2153.655,0.0
FMXRAY-135,CT LEG OR ANKLE OR FOOT WITH CONRAST,CT,56625-00-01,-,800.0,860.0,911.6,0.0
FMXRAY1705,CT NECK ANGIOGRAPHY (CTA),CT,57350-00-00,-,1890.0,2031.75,2153.655,0.0
FMXRAY1548,Ct Neck Angiography (Ctv),CT,57350-00-00,-,1890.0,2031.75,2153.655,0.0
FMXRAY-1501,CT PELVIMETRY,CT,57201-00-00,-,800.0,860.0,911.6,0.0
FMXRAY1683,Ct Pns With Contrast,CT,56022-01-00,-,800.0,860.0,911.6,0.0
FMXRAY-1517,CT WHOLE BODY W/CONTRAST,CT,61425-00-00,-,1680.0,1806.0,1914.36,0.0
FMXRAY1138,Ct. Abdomen & Pelvis (Kub Protocol),CT,56501-00-00,-,1000.0,1075.0,1139.5,0.0
FMXRAY1137,Ct. Abdomen & Pelvis (Renal Or Suprarenal Protocol),CT,56501-00-00,-,1000.0,1075.0,1139.5,0.0
FMXRAY1136,Ct. Abdomen & Pelvis (Triphasic Liver Protocol),CT,56501-00-00,-,1000.0,1075.0,1139.5,0.0
FMXRAY1139,Ct. Abdomen & Pelvis (Urography Protocol),CT,56501-00-00,-,1000.0,1075.0,1139.5,0.0
FMXRAY1140,Ct. Abdomen & Pelvis (Virtual Colonoscopy Protocol),CT,56501-00-00,-,1000.0,1075.0,1139.5,0.0
FMXRAY1135,CT. ABDOMEN & PELVIS WITH ORAL & IV CONTRAST,CT,56507-00-00,-,1000.0,1075.0,1139.5,0.0
FMXRAY1162,Ct. Angiography (Cta & Ctv) For Lower Limb,CT,57350-07-02,-,1890.0,2031.75,2153.655,0.0
FMXRAY1161,Ct. Angiography (Cta & Ctv) For Upper Limb,CT,57350-01-00,-,1890.0,2031.75,2153.655,0.0
FMXRAY1124,Ct. Brain Angiography (Cta & Ctv),CT,59970-02-00,-,1890.0,2031.75,2153.655,0.0
FMXRAY1125,Ct. Brain Angiography (Perfusion Protocol),CT,59970-02-00,-,1890.0,2031.75,2153.655,0.0
FMXRAY1115,Ct. Brain With Contrast (Standard Protocol),CT,56007-00-00,-,800.0,860.0,911.6,0.0
FMXRAY1116,Ct. Brain With Contrast (Trauma Protocol),CT,56007-00-00,-,800.0,860.0,911.6,0.0
FMXRAY1114,CT. BRAIN WITHOUT CONTRAST (Standard protocol),CT,56001-00-00,-,800.0,860.0,911.6,0.0
FMXRAY1134,Ct. Cardiac (Coronary Angiography Protocol),CT,57360-00-00,-,1890.0,2031.75,2153.655,0.0
FMXRAY1130,Ct. Chest (Virtual Bronchoscopy Protocol),CT,56301-00-00,-,800.0,860.0,911.6,0.0
FMXRAY1132,Ct. Chest Angiography (Pulmonary Angiography Protocol),CT,57350-02-00,-,1890.0,2031.75,2153.655,0.0
FMXRAY1131,Ct. Chest Angiography (Thoracic Aorta Protocol),CT,57350-02-00,-,1890.0,2031.75,2153.655,0.0
FMXRAY1129,CT. CHEST WITH CONTRAST (Mediastinum protocol),CT,56307-00-00,-,800.0,860.0,911.6,0.0
FMXRAY1128,CT. CHEST WITHOUT CONTRAST (HRCT protocol),CT,56301-00-00,-,800.0,860.0,911.6,0.0
FMXRAY1133,CT. CRADIAC (CALCIUM SCORING PROTOCOL),CT,56301-00-00,-,1890.0,2031.75,2153.655,0.0
FMXRAY1555,Ct. Mako Preoperative (Left),CT,56619-00-01,-,800.0,860.0,911.6,0.0
FMXRAY1554,Ct. Mako Preoperative (Right),CT,56619-00-01,-,800.0,860.0,911.6,0.0
FMXRAY1152,Ct. Msk (Ankle Joint Protocol),CT,56619-00-01,-,800.0,860.0,911.6,0.0
FMXRAY1153,Ct. Msk (Clavicle Bone Protocol),CT,56619-00-01,-,800.0,860.0,911.6,0.0
FMXRAY1147,Ct. Msk (Elbow Joint Protocol),CT,56619-00-01,-,800.0,860.0,911.6,0.0
FMXRAY1160,Ct. Msk (Foot Bones Protocol),CT,56619-00-01,-,800.0,860.0,911.6,0.0
FMXRAY1155,Ct. Msk (Forearm Bones Protocol),CT,56619-00-01,-,800.0,860.0,911.6,0.0
FMXRAY1156,Ct. Msk (Hand Bones Protocol),CT,56619-00-01,-,800.0,860.0,911.6,0.0
FMXRAY1150,Ct. Msk (Hip Joint Protocol),CT,56619-00-01,-,800.0,860.0,911.6,0.0
FMXRAY1154,Ct. Msk (Humerous Bone Protocol),CT,56619-00-01,-,800.0,860.0,911.6,0.0
FMXRAY1151,Ct. Msk (Knee Joint Protocol),CT,56619-00-01,-,800.0,860.0,911.6,0.0
FMXRAY1159,Ct. Msk (Leg Bones Protocol),CT,56619-00-01,-,800.0,860.0,911.6,0.0
FMXRAY1157,Ct. Msk (Pelvic Bone Protocol),CT,56409-00-00,-,800.0,860.0,911.6,0.0
FMXRAY1149,Ct. Msk (Sacroiliac Joint Protocol),CT,56619-00-01,-,800.0,860.0,911.6,0.0
FMXRAY1146,Ct. Msk (Shoulder Joint Protocol),CT,56619-00-01,-,800.0,860.0,911.6,0.0
FMXRAY1148,Ct. Msk (Wrist Joint Protocol),CT,56619-00-01,-,800.0,860.0,911.6,0.0
FMXRAY1158,Ct. Msk Femur Bone Protocol),CT,56619-00-01,-,800.0,860.0,911.6,0.0
FMXRAY1127,Ct. Neck Angiography (Cta & Ctv),CT,57350-00-00,-,1890.0,2031.75,2153.655,0.0
FMXRAY1126,Ct. Neck With Contrast,CT,56101-00-00,-,800.0,860.0,911.6,0.0
FMXRAY1163,Ct. Scout (Leg Length),CT,56619-00-01,-,800.0,860.0,911.6,0.0
FMXRAY1121,Ct. Skull (Facial Bones Protocol),CT,56022-00-00,-,800.0,860.0,911.6,0.0
FMXRAY1119,Ct. Skull (Orbits Protocol),CT,56013-01-00,-,800.0,860.0,911.6,0.0
FMXRAY1120,Ct. Skull (P.N.S. Protocol),CT,56022-01-00,-,800.0,860.0,911.6,0.0
FMXRAY1118,Ct. Skull (Petrous Bone Protocol),CT,56016-00-00,-,800.0,860.0,911.6,0.0
FMXRAY1117,Ct. Skull (Sella Protocol),CT,56001-00-00,-,800.0,860.0,911.6,0.0
FMXRAY1122,Ct. Skull (Tmj Protocol),CT,56022-00-00,-,800.0,860.0,911.6,0.0
FMXRAY1142,Ct. Spine (Cervical Region),CT,56220-00-00,-,800.0,860.0,911.6,0.0
FMXRAY1143,Ct. Spine (Dorsal Region),CT,56221-00-00,-,800.0,860.0,911.6,0.0
FMXRAY1144,CT. SPINE (LUMBO-SACRAL REGION),CT,90912-00-00,-,800.0,860.0,911.6,0.0
FMXRAY1145,CT. SPINE (WHOLE),CT,61425-00-00,-,1785.0,1918.875,2034.0075,0.0
FMXRAY1907,CT.ABDOMEN OR PELVIS W/ W/O CONT.,CT,56401-00-00,-,800.0,860.0,911.6,0.0
FMXRAY1906,CT.UPPER ABDOMEN OR PELVIS,CT,56401-00-00,-,800.0,860.0,911.6,0.0
FMXRAY-1511,ORGANS OF THE THROAT,CT,56101-00-00,-,800.0,860.0,911.6,0.0
FMXRAY1612,OSTEO-CT,CT,12309-00-00,-,800.0,860.0,911.6,0.0
FMXRAY1642,Vct- Ct Angio Lower Limbs Ra00422029,CT,57350-07-01,-,1890.0,2031.75,2153.655,0.0
FMXRAY1650,Cta Head & Neck With Contrast (CT angiography for brain and carotid vessels) - Excluding Contrast Charges,CT,57350-00-00,-,1890.0,2031.75,2153.655,0.0
392,Drainage of abscess,Dental,96215-00-10,-,105.0,112.875,119.6475,0.15
250,Active non-surgical periodontal therapy   per quadrant,Dental,97281-00-00,-,895.24,962.3829999999999,1020.12598,0.15
821,Active removable appliance   per arch,Dental,97821-00-00,-,1356.14,1457.8505,1545.32153,0.15
768,Adding tooth to partial denture to replace an extracted or decoronated tooth   per tooth,Dental,97768-00-00,-,157.5,169.3125,179.47125,0.15
877,"Addition to removable appliance   clasp, spring or tooth",Dental,97877-01-00,-,157.5,169.3125,179.47125,0.15
524,Adhesive restoration   four surfaces   anterior tooth   direct,Dental,97521-02-00,-,718.58,772.4735000000001,818.8219100000001,0.15
534,Adhesive restoration   four surfaces   posterior tooth   direct,Dental,97521-02-00,-,800.0,860.0,911.6,0.15
521,Adhesive restoration   one surface   anterior tooth   direct,Dental,97521-01-00,-,368.676,396.3267,420.106302,0.15
531,Adhesive restoration   one surface   posterior tooth   direct,Dental,97521-01-00,-,368.676,396.3267,420.106302,0.15
523,Adhesive restoration   three surfaces   anterior tooth   direct,Dental,97521-02-00,-,553.014,594.49005,630.159453,0.15
533,Adhesive restoration   three surfaces   posterior tooth   direct,Dental,97521-02-00,-,547.6584959999999,588.7328831999998,624.0568561919998,0.15
522,Adhesive restoration   two surfaces   anterior tooth   direct,Dental,97521-02-00,-,432.915,465.383625,493.3066425,0.15
532,Adhesive restoration   two surfaces   posterior tooth   direct,Dental,97521-02-00,-,427.8582,459.947565,487.5444189,0.15
526,Adhesive restoration   veneer   anterior tooth   direct,Dental,97582-01-00,-,800.0,860.0,911.6,0.15
741,Adjustment of a denture,Dental,97741-00-00,-,157.5,169.3125,179.47125,0.15
331,Alveolectomy – per segment,Dental,97331-00-10,-,420.0,451.5,478.59,0.15
432,Apicectomy – per root,Dental,97432-00-00,-,840.0,903.0,957.1800000000001,0.15
153,Bi-maxillary mouthguard   indirect,Dental,97153-00-00,-,1077.21,1158.00075,1227.480795,0.15
051,Biopsy of tissue,Dental,50200-00-01,-,262.5,282.1875,299.11875,0.15
118,"Bleaching, external – per tooth",Dental,97118-00-00,-,210.0,225.75,239.295,0.15
119,"Bleaching, home application – per arch",Dental,97119-00-00,-,157.5,169.3125,179.47125,0.15
117,"Bleaching, internal – per tooth",Dental,97117-00-00,-,315.0,338.625,358.9425,0.15
862,Bonding of attachment for application of orthodontic force,Dental,97862-00-00,-,367.5,395.0625,418.76625,0.15
642,Bridge pontic – direct – per pontic,Dental,97642-00-00,-,630.0,677.25,717.885,0.15
643,Bridge pontic – indirect – per pontic,Dental,97643-00-30,-,630.0,677.25,717.885,0.15
081,Cephalometric analysis – excluding radiographs ,Dental,97081-00-00,-,433.01,465.48575,493.414895,0.15
775,Characterisation of denture base,Dental,97719-01-30,-,210.0,225.75,239.295,0.15
753,Cleaning and polishing of pre-existing denture,Dental,97753-00-00,-,115.5,124.1625,131.61225,0.15
416,Complete chemo-mechanical preparation of root canal   each additional canal,Dental,97416-00-00,-,232.75,250.20625,265.218625,0.15
415,Complete chemo-mechanical preparation of root canal   one canal,Dental,97415-00-00,-,502.74,540.4455,572.8722300000001,0.15
881,Complete course of orthodontic treatment,Dental,97881-00-10,-,1575.0,1693.125,1794.7125,0.15
712,Complete mandibular denture,Dental,97712-00-00,-,235.1,252.7325,267.89645,0.15
719,Complete maxillary and mandibular dentures,Dental,97719-00-00,-,462.23,496.89725,526.711085,0.15
711,Complete maxillary denture,Dental,97711-00-00,-,235.1,252.7325,267.89645,0.15
090,Cone Beam Volumetric Tomography analysis and/or interpretation – temporomandibular joints only,Dental,97083-00-40,-,525.0,564.375,598.2375000000001,0.15
399,Control of reactionary or secondary post-operative haemorrhage,Dental,97399-00-00,-,84.0,90.3,95.718,0.15
587,Crown – metallic – minimal tooth preparation – preformed,Dental,97618-04-00,-,682.5,733.6875,777.70875,0.15
586,Crown – metallic – with tooth preparation – preformed,Dental,97618-04-00,-,895.24,962.3829999999999,1020.12598,0.15
588,Crown – tooth-coloured – preformed,Dental,97631-00-00,-,945.0,1015.875,1076.8275,0.15
754,Denture base modification,Dental,97754-00-00,-,157.5,169.3125,179.47125,0.15
165,Desensitising procedure – per appointment,Dental,97165-01-00,-,367.5,395.0625,418.76625,0.15
071,Diagnostic model – per model,Dental,97071-00-00,-,359.96,386.9569999999999,410.1744199999999,0.15
678,Diagnostic template,Dental,97678-00-00,-,814.22,875.2865,927.8036900000001,0.15
411,Direct pulp capping,Dental,97411-00-00,-,84.0,90.3,95.718,0.15
843,Expansion appliance   fixed   per arch,Dental,97843-00-00,-,2542.27,2732.94025,2896.916665,0.15
419,Extirpation of pulp or debridement of root canal(s) – emergency or palliative,Dental,97419-00-00,-,167.58,180.1485,190.95741,0.15
851,Extraoral appliance,Dental,97851-00-00,-,367.5,395.0625,418.76625,0.15
161,Fissure and/or tooth surface sealing – per tooth,Dental,97161-00-00,-,262.5,282.1875,299.11875,0.15
664,Fitting of bar for denture   per abutment,Dental,97664-00-00,-,262.5,282.1875,299.11875,0.15
391,Frenectomy,Dental,30278-02-00,-,420.0,451.5,478.59,0.15
611,Full crown   acrylic resin   indirect,Dental,97611-01-00,-,735.0,790.125,837.5325,0.15
618,Full crown   metallic   indirect,Dental,97618-00-00,-,2313.81,2487.34575,2636.586495,0.15
613,Full crown   non-metallic   indirect,Dental,97613-07-00,-,1779.86,1913.3495,2028.15047,0.15
615,Full crown   veneered   indirect,Dental,97615-10-00,-,895.24,962.3829999999999,1020.12598,0.15
671,Full crown attached to osseointegrated implant   non-metallic   indirect,Dental,97671-00-00,-,1050.0,1128.75,1196.475,0.15
824,Functional orthopaedic appliance   prefabricated,Dental,97823-00-10,-,1692.19,1819.10425,1928.250505,0.15
823,Functional orthopaedic appliance – custom fabrication,Dental,97823-00-00,-,525.0,564.375,598.2375000000001,0.15
231,Gingivectomy – per tooth,Dental,97231-00-00,-,210.0,225.75,239.295,0.15
438,Hemisection,Dental,97438-00-00,-,840.0,903.0,957.1800000000001,0.15
736,Immediate tooth replacement – per tooth,Dental,97736-00-00,-,210.0,225.75,239.295,0.15
776,Impression   dental appliance repair/modification,Dental,97719-01-10,-,157.5,169.3125,179.47125,0.15
778,Inlay for denture tooth,Dental,97778-00-00,-,157.5,169.3125,179.47125,0.15
688,Insertion of one-stage endosseous implant – per implant,Dental,45846-00-00,-,3150.0,3386.25,3589.425,0.15
022,Intraoral periapical or bitewing radiograph – per exposure,Dental,97022-00-10,-,88.99,95.66425,101.404105,0.15
025,"Intraoral radiograph – occlusal, maxillary, mandibular – per exposure",Dental,97022-00-10,-,184.63,198.47725,210.385885,0.15
361,Mandible – relocation following dislocation,Dental,47000-00-01,-,536.61,576.85575,611.467095,0.15
247,Maxillary sinus augmentation – lateral wall approach – per sinus,Dental,45849-00-10,-,630.0,677.25,717.885,0.15
246,Maxillary sinus augmentation – trans-alveolar technique – per sinus,Dental,45849-00-30,-,682.5,733.6875,777.70875,0.15
739,Metal backing   per backing,Dental,97739-00-00,-,262.5,282.1875,299.11875,0.15
716,Metal palate or plate,Dental,97716-00-00,-,1692.19,1819.10425,1928.250505,0.15
514,Metallic restoration   four surfaces   direct,Dental,97511-02-00,-,536.61,576.85575,611.467095,0.15
511,Metallic restoration   one surface   direct,Dental,97511-01-00,-,272.29,292.71175,310.274455,0.15
541,Metallic restoration   one surface   indirect,Dental,97541-01-00,-,895.24,962.3829999999999,1020.12598,0.15
513,Metallic restoration   three surfaces   direct,Dental,97511-02-00,-,455.59,489.75925,519.144805,0.15
512,Metallic restoration   two surfaces   direct,Dental,97511-02-00,-,359.96,386.9569999999999,410.1744199999999,0.15
846,Minor tooth guidance   fixed,Dental,97846-01-00,-,367.5,395.0625,418.76625,0.15
968,Occlusal adjustment following occlusal analysis – per appointment,Dental,97968-00-00,-,718.58,772.4735000000001,818.8219100000001,0.15
732,Occlusal rest   per rest,Dental,97732-00-00,-,157.5,169.3125,179.47125,0.15
965,Occlusal splint,Dental,97965-00-00,-,367.5,395.0625,418.76625,0.15
871,Orthodontic adjustment,Dental,97871-00-00,-,262.5,282.1875,299.11875,0.15
244,Osseous graft   block,Dental,97244-00-00,-,840.0,903.0,957.1800000000001,0.15
243,Osseous graft   per tooth or implant,Dental,97234-00-00,-,1050.0,1128.75,1196.475,0.15
242,Osseous surgery – per tooth or implant,Dental,97233-00-10,-,840.0,903.0,957.1800000000001,0.15
734,Overlays   per tooth,Dental,97734-00-00,-,210.0,225.75,239.295,0.15
911,Palliative care,Dental,97911-00-00,-,84.0,90.3,95.718,0.15
037,Panoramic radiograph – per exposure,Dental,57960-00-00,-,276.507,297.245025,315.0797265,0.15
728,Partial mandibular denture – cast metal framework,Dental,97728-00-00,-,126.0,135.45,143.577,0.15
722,Partial mandibular denture – resin base,Dental,97722-00-00,-,806.25,866.71875,918.7218750000001,0.15
727,Partial maxillary denture – cast metal framework,Dental,97727-00-00,-,105.0,112.875,119.6475,0.15
721,Partial maxillary denture – resin base,Dental,97721-00-00,-,806.25,866.71875,918.7218750000001,0.15
845,Passive appliance   fixed,Dental,97845-00-00,-,525.0,564.375,598.2375000000001,0.15
811,Passive removable appliance   per arch,Dental,97811-00-00,-,850.08,913.836,968.6661600000001,0.15
232,Periodontal flap surgery   per tooth,Dental,97232-00-10,-,315.0,338.625,358.9425,0.15
238,Periodontal surgery for crown lengthening   per tooth,Dental,97238-00-00,-,262.5,282.1875,299.11875,0.15
575,Pin retention – per pin,Dental,97575-00-00,-,88.99,95.66425,101.404105,0.15
625,Post and core for crown   indirect,Dental,97625-10-00,-,157.5,169.3125,179.47125,0.15
629,Post and root cap   indirect,Dental,97629-00-00,-,184.63,198.47725,210.385885,0.15
986,Post-operative care not otherwise included,Dental,97986-00-00,-,105.0,112.875,119.6475,0.15
645,Precision or magnetic attachment,Dental,97645-00-00,-,367.5,395.0625,418.76625,0.15
735,Precision or magnetic denture attachment,Dental,97735-00-00,-,210.0,225.75,239.295,0.15
627,Preliminary restoration for crown   direct,Dental,97627-00-00,-,210.0,225.75,239.295,0.15
151,Provision of a mouthguard   indirect,Dental,97151-00-00,-,420.0,451.5,478.59,0.15
572,Provisional (intermediate/temporary) restoration – per tooth,Dental,97572-01-00,-,88.99,95.66425,101.404105,0.15
632,Provisional bridge pontic – per pontic,Dental,97632-00-00,-,157.5,169.3125,179.47125,0.15
714,Provisional complete mandibular denture,Dental,97714-00-10,-,157.5,169.3125,179.47125,0.15
715,Provisional complete maxillary and mandibular dentures,Dental,97715-00-10,-,157.5,169.3125,179.47125,0.15
713,Provisional complete maxillary denture,Dental,97713-00-20,-,157.5,169.3125,179.47125,0.15
631,Provisional crown – per tooth,Dental,97631-00-00,-,359.96,386.9569999999999,410.1744199999999,0.15
724,Provisional partial mandibular denture,Dental,97722-00-00,-,126.0,135.45,143.577,0.15
723,Provisional partial maxillary denture,Dental,97721-00-00,-,126.0,135.45,143.577,0.15
414,Pulpotomy,Dental,97414-00-00,-,471.086,506.4174499999999,536.8024969999999,0.15
766,Reattaching existing tooth on denture – per tooth,Dental,97766-01-00,-,126.0,135.45,143.577,0.15
761,Reattaching pre-existing clasp to denture,Dental,97761-00-00,-,157.5,169.3125,179.47125,0.15
872,Reattachment of passive appliance – fixed,Dental,97872-00-10,-,262.5,282.1875,299.11875,0.15
652,Recementing bridge or splint – per abutment,Dental,97652-00-00,-,210.0,225.75,239.295,0.15
651,Recementing crown or veneer,Dental,97651-00-00,-,88.99,95.66425,101.404105,0.15
596,Recementing of indirect restoration,Dental,97596-00-10,-,52.5,56.4375,59.82375,0.15
964,Registration and mounting of models for occlusal analysis ,Dental,97964-00-00,-,210.0,225.75,239.295,0.15
751,Relining   complete denture   direct,Dental,97743-00-10,-,136.5,146.7375,155.54175,0.15
752,Relining   partial denture   direct,Dental,97743-00-15,-,359.96,386.9569999999999,410.1744199999999,0.15
743,Relining – complete denture – processed,Dental,97743-00-20,-,1077.21,1158.00075,1227.480795,0.15
744,Relining – partial denture – processed,Dental,97743-00-25,-,754.51,811.09825,859.7641450000001,0.15
878,Relining – removable appliance – processed,Dental,97878-00-00,-,210.0,225.75,239.295,0.15
745,Remodelling – complete denture,Dental,97745-00-00,-,136.5,146.7375,155.54175,0.15
746,Remodelling – partial denture,Dental,97746-00-00,-,136.5,146.7375,155.54175,0.15
311,Removal of a tooth or part(s) thereof,Dental,97311-01-00,-,544.635,585.482625,620.6115825,0.15
656,Removal of bridge or splint,Dental,97656-00-00,-,272.29,292.71175,310.274455,0.15
114,Removal of calculus – first appointment,Dental,97281-00-10,-,550.6865,591.9879875,627.5072667500001,0.15
115,Removal of calculus – subsequent appointment,Dental,97115-00-00,-,105.0,112.875,119.6475,0.15
655,Removal of crown,Dental,97655-00-00,-,88.99,95.66425,101.404105,0.15
341,Removal of hyperplastic tissue,Dental,97341-00-00,-,525.0,564.375,598.2375000000001,0.15
663,Removal of implant and/or retention device,Dental,97663-00-00,-,1050.0,1128.75,1196.475,0.15
595,Removal of indirect restoration,Dental,97595-00-00,-,367.5,395.0625,418.76625,0.15
874,Removal of passive appliance – fixed,Dental,97874-00-10,-,569.82,612.5565,649.3098900000001,0.15
111,Removal of plaque and/or stain,Dental,97111-00-00,-,460.845,495.4083749999999,525.1328775,0.15
451,Removal of root filling – per canal,Dental,97451-00-00,-,335.16,360.297,381.91482,0.15
371,"Removal of tumour, cyst or scar – cutaneous, subcutaneous or in mucous membrane",Dental,90141-01-10,-,420.0,451.5,478.59,0.15
373,"Removal of tumour, cyst or scar involving muscle, bone or other deep tissue",Dental,90141-01-30,-,630.0,677.25,717.885,0.15
659,"Repair of crown, bridge or splint – direct",Dental,97659-00-00,-,262.5,282.1875,299.11875,0.15
658,"Repair of crown, bridge or splint – indirect",Dental,97658-00-00,-,262.5,282.1875,299.11875,0.15
873,Repair of passive appliance – fixed,Dental,97873-00-10,-,262.5,282.1875,299.11875,0.15
876,"Repair of removable appliance – clasp, spring or tooth",Dental,97876-00-00,-,157.5,169.3125,179.47125,0.15
875,Repair of removable appliance – resin base,Dental,97875-00-00,-,157.5,169.3125,179.47125,0.15
769,Repair or addition to metal casting,Dental,97769-00-00,-,136.5,146.7375,155.54175,0.15
763,Repairing broken base of a complete denture,Dental,97764-00-00,-,718.58,772.4735000000001,818.8219100000001,0.15
764,Repairing broken base of a partial denture,Dental,97765-00-00,-,536.61,576.85575,611.467095,0.15
762,Replacing/adding clasp to denture – per clasp,Dental,97762-00-00,-,272.29,292.71175,310.274455,0.15
765,Replacing/adding new tooth on denture – per tooth,Dental,97766-01-00,-,51.8,55.685,59.0261,0.15
384,Repositioning of displaced tooth/teeth   per tooth,Dental,97384-00-00,-,210.0,225.75,239.295,0.15
737,Resilient lining,Dental,97737-00-00,-,157.5,169.3125,179.47125,0.15
731,Retainer   per tooth,Dental,97731-00-00,-,126.0,135.45,143.577,0.15
649,Retainer for bonded fixture   indirect   per tooth,Dental,97649-00-00,-,315.0,338.625,358.9425,0.15
418,Root canal obturation – each additional canal,Dental,97418-00-00,-,125.685,135.111375,143.2180575,0.15
417,Root canal obturation – one canal,Dental,97417-00-00,-,469.2239999999999,504.4157999999999,534.680748,0.15
314,Sectional removal of a tooth or part(s) thereof,Dental,97314-01-00,-,586.53,630.5197499999999,668.3509349999999,0.15
943,Sedation   inhalation   per 30 minutes or part thereof,Dental,92515-99-00,-,472.5,507.9375,538.41375,0.15
942,Sedation – intravenous – per 30 minutes or part thereof,Dental,92515-99-00,-,472.5,507.9375,538.41375,0.15
644,Semi-fixed attachment,Dental,97644-00-00,-,315.0,338.625,358.9425,0.15
386,Splinting of displaced tooth/teeth   per tooth,Dental,97386-01-00,-,157.5,169.3125,179.47125,0.15
393,Surgery involving the maxillary antrum,Dental,41716-06-00,-,525.0,564.375,598.2375000000001,0.15
382,Surgical exposure and attachment of device for orthodontic traction,Dental,97382-00-00,-,420.0,451.5,478.59,0.15
381,Surgical exposure of unerupted tooth – per tooth,Dental,97381-00-00,-,315.0,338.625,358.9425,0.15
779,Surgical guide for an immediate denture,Dental,97779-01-00,-,262.5,282.1875,299.11875,0.15
