HCP Name,S. Type,Code,Provider Service Description,Prie,Discount,LOS
SGH Madina,PD,1014003,PARTIAL LARYNGECTOMY,18180,0.15,2
SGH Madina,PD,1014004,SUPERFICIAL PAROTIDECTOMY,19695,0.15,2
SGH Madina,PD,1014005,THYROGLOSSAL CYST EXCISION ,13635,0.15,2
SGH Madina,PD,1014006,TOTAL LARYNGECTOMY ,18180,0.15,2
SGH Madina,PD,1014007,TOTAL PAROTIDECTOMY,24240,0.15,2
SGH Madina,PD,2011001,ANAL DILATATION (U.G.A.),3264,0.15,1
SGH Madina,PD,2011002,ANESTHESIA (G.A OR SEDATION)  FOR  PROCEDURE,1750,0.15,D/C
SGH Madina,PD,2011003,CIRCUMCISION (ADULT) (U.G.A.),2933,0.15,D/C
SGH Madina,PD,2011004,CIRCUMCISION (ADULT) (U.L.A.),1530,0.15,D/C
SGH Madina,PD,2011005,CIRCUMCISION (LESS THAN ONE YEAR),714,0.15,D/C
SGH Madina,PD,2011006,DERMOID CYST EXCISION,3255,0.15,1
SGH Madina,PD,2011007,DIVISION OF TONGUE TIE (U.L.A.),2760,0.15,D/C
SGH Madina,PD,2011008,ENDOSCOPIC POLYPECTOMY,2958,0.15,D/C
SGH Madina,PD,2011009,EXCISION OF BREAST LUMP FOR BIOPSY (U.G.A.) (WITHOUT HISTOPATHOLOGY),3255,0.15,1
SGH Madina,PD,2011010,EXCISION OF BREAST LUMP / LUMPECTOMY - MULTIPLE OR SINGLE (U.G.A.),4050,0.15,D/C
SGH Madina,PD,2011011,EXCISION OF SIMPLE CYST OR LIPOMA (U.G.A.) WITH HISTOPATHOLOGY ,3914,0.15,D/C
SGH Madina,PD,2011012,EXCISION OF SIMPLE OR SMALL LIPOMA UNDER (U.G.A.),2958,0.15,D/C
SGH Madina,PD,2011013,EXCISION OF SIMPLE OR SMALL LIPOMA UNDER (U.L.A.),1836,0.15,0
SGH Madina,PD,2011014,EXCISION OF SIMPLE TUMOUR / CHRONIC ABCESS OF BREAST,3255,0.15,D/C
SGH Madina,PD,2011015,EXCISION OF SIMPLE TUMOURS OR CHRONIC BREAS ABSCESS,3687,0.15,D/C
SGH Madina,PD,2011016,EXCISION OF SINGLE / MULTIPLE NEUROFIBROMA,5873,0.15,D/C
SGH Madina,PD,2011017,INCISION WITH DRAINAGE LARGE OR DEEP ABSESS UNDER G.A.,3535,0.15,D/C
SGH Madina,PD,2011018,EXCISION OF INGROWING TOE NAIL (U.G.A.),3535,0.15,D/C
SGH Madina,PD,2011019,IMPERFORATED ANUS / LOW ,6060,0.15,D/C
SGH Madina,PD,2011020,PERCUTANEOUS LIVER BIOPSY,2933,0.15,D/C
SGH Madina,PD,2011021,PERIANAL ABSCESS (U.G.A.),4798,0.15,D/C
SGH Madina,PD,2011022,TONGUE TIE RELEASE (U.G.A.),4040,0.15,D/C
SGH Madina,PD,2011023,FOREIGN BODY REMOVAL (U.L.A.),2778,0.15,D/C
SGH Madina,PD,2011024,THROMBOSED PILES OR EXCISION OF PERIANAL SKIN TAGS REMOVAL,4798,0.15,D/C
SGH Madina,PD,2011025,SUB-MANDIBULAR SALIVARY GLAND STONE REMOVAL,4798,0.15,D/C
SGH Madina,PD,2011026,OESOPHAGEAL SCLEROTHERAPY ,3535,0.15,D/C
SGH Madina,PD,2011027,ENTEROSCOPY SINGLE BALLOON ,4050,0.15,D/C
SGH Madina,PD,2011028,SUTURING LARGE WOUND (U.G.A.),3535,0.15,D/C
SGH Madina,PD,2011029,THORACOCENTESIS,1200,0.15,0
SGH Madina,PD,2012001,ACHALSIA OF CARDIA,9900,0.15,1
SGH Madina,PD,2012002,ADHESIOLYSIS / OPEN,6764,0.15,1
SGH Madina,PD,2012003,AMPUTATION / LIMB GANGRENE,11110,0.15,2
SGH Madina,PD,2012004,ANAL FISSURECTOMY,6120,0.15,1
SGH Madina,PD,2012005,APPENDECTOMY ,6375,0.15,1
SGH Madina,PD,2012006,COLOSTOMY CLOSURE WITH ANASTOMOSIS,7954,0.15,1
SGH Madina,PD,2012007,BURIED PENIS OR CONCEALED PENIS CORRECTION,25500,0.15,1
SGH Madina,PD,2012008,ERCP DIAGONSTIC ,4590,0.15,D/C
SGH Madina,PD,2012009,ENDOSCOPIC SPHINCTEROTOMY,5429,0.15,D/C
SGH Madina,PD,2012010,ENDOSCOPIC SPHINCTEROTOMY WITH DRAIN INSERTION,6692,0.15,D/C
SGH Madina,PD,2012011,ENDOSCOPIC SPHINCTEROTOMY WITH STONE CRUSHING,8333,0.15,D/C
SGH Madina,PD,2012012,ENDOSCOPIC SPHINCTEROTOMY WITH STONE EXTRACTION,6692,0.15,D/C
SGH Madina,PD,2012013,EPIGASTRIC HERNIA REPAIR / OPEN,7954,0.15,1
SGH Madina,PD,2012014,EXCISION OF BIG OR MULTIPLE LIPOMA (U.L.A.),4798,0.15,1
SGH Madina,PD,2012015,EXCISION OF BIG OR MULTIPLE LIPOMA (U.G.A.),5429,0.15,1
SGH Madina,PD,2012016,EXCISION OF SUBMANDIBULAR GLAND,7954,0.15,1
SGH Madina,PD,2012017,"GASTROSTOMY, COLOSTOMY (WITHOUT CONSUMABLES)",10227,0.15,2
SGH Madina,PD,2012018,HAEMORRHOIDECTOMY / SURGICAL,6758,0.15,1
SGH Madina,PD,2012019,HAEMORRHOIDECTOMY BY STAPPLER,8670,0.15,1
SGH Madina,PD,2012020,HYDROCELE,6692,0.15,1
SGH Madina,PD,2012021,"INGUINAL, UMBILICAL OR FEMORAL HERNIA",7395,0.15,1
SGH Madina,PD,2012022,APPENDECTOMY / LAPARASCOPIC ,9945,0.15,1
SGH Madina,PD,2012023,LAPARASCOPY / DIAGNOSTIC,7323,0.15,1
SGH Madina,PD,2012024,LAPARASCOPY (DIAGNOSTIC) WITH BIOPSY,8939,0.15,1
SGH Madina,PD,2012025,MASTECTOMY / GYNAECOMASTIA - MALES (UNI OR BILATERAL),6363,0.15,1
SGH Madina,PD,2012026,ORCHIDECTOMY,5429,0.15,1
SGH Madina,PD,2012027,MASTECTOMY / PARTIAL WITH HISTOPATHOLOGY,6692,0.15,1
SGH Madina,PD,2012028,COLONOSCOPY / PEDIATRIC ,7120,0.15,2
SGH Madina,PD,2012029,ENDOSCOPY / PEDIATRIC ,6230,0.15,2
SGH Madina,PD,2012030,PILONIDAL SINUS,6758,0.15,2
SGH Madina,PD,2012031,POST HAEMORRHOIDECTOMY ANUS STRICTURE ,7575,0.15,2
SGH Madina,PD,2012032,REMOVAL OF FOREIGN BODY (U.G.A.),4798,0.15,1
SGH Madina,PD,2012033,ANAL FISTULA / LOW - SIMPLE ,6692,0.15,2
SGH Madina,PD,2012034,INCISIONAL HERNIA WITH OR W/O HERNIOPLASTY,7323,0.15,2
SGH Madina,PD,2012035,SPERMATOCELE,7070,0.15,1
SGH Madina,PD,2012036,ERCP / THERAPEUTIC ,6230,0.15,D/C
SGH Madina,PD,2012037,THYROGLOSSAL CYST / FISTULA,10227,0.15,1
SGH Madina,PD,2012038,UNDESCENDED TESTIS WITHIN THE INGUINAL CANAL,10858,0.15,1
SGH Madina,PD,2012039,VARICOCELES,6692,0.15,1
SGH Madina,PD,2012040,VARICOSE VEINS STRIPPING  (BILATERAL),10965,0.15,1
SGH Madina,PD,2012041,VARICOSE VEINS STRIPPING  (UNILATERAL),8033,0.15,1
SGH Madina,PD,2013001,ACUTE PERITONITIS / LAPAROTOMY,12120,0.15,2
SGH Madina,PD,2013002,HERNIA REPAIR BILATERAL,9090,0.15,1
SGH Madina,PD,2013003,BOWEL RESECTION AND ANASTOMOSIS ,13383,0.15,2
SGH Madina,PD,2013004,CHOLECYSTECTOMY,10250,0.15,2
SGH Madina,PD,2013005,CHOLECYSTECTOMY WITH BILLIARY TRACT EXPLORATION / OPEN,15300,0.15,2
SGH Madina,PD,2013006,CHOLECYSTECTOMY / LAPARASCOPIC ,16065,0.15,2
SGH Madina,PD,2013007,CHOLECYSTODUODUOSTOMY,14790,0.15,2
SGH Madina,PD,2013008,RECTAL PROLAPSE / COMPLETE ,13004,0.15,2
SGH Madina,PD,2013009,INTESTINAL STRICTURE / CONGENITAL,12120,0.15,2
SGH Madina,PD,2013010,PYLORIC STENOSIS / CONGENITAL ,12120,0.15,2
SGH Madina,PD,2013011,A.V. FISTULA CREATION,14140,0.15,2
SGH Madina,PD,2013012,DIAPHRAGMATIC HERNIA REPAIR,12752,0.15,2
SGH Madina,PD,2013013,THYROID CYST ENUCLEATION,12120,0.15,2
SGH Madina,PD,2013014,HEPATIC CYST EXCISION,12120,0.15,2
SGH Madina,PD,2013015,FAECAL FISTULA,12120,0.15,2
SGH Madina,PD,2013016,INTESTINAL VOLVULOUS,12120,0.15,2
SGH Madina,PD,2013017,LAPARTOMY WITH/WITHOUT PROCEDURE ,12120,0.15,2
SGH Madina,PD,2013018,LIVER ABSCESS WITH DRAINAGE,12120,0.15,2
SGH Madina,PD,2013019,PARTIAL GASTRECTOMY,12120,0.15,2
SGH Madina,PD,2013020,PARTIAL THYROIDECTOMY (SUB-TOTAL),10227,0.15,2
SGH Madina,PD,2013021,PEG TUBE INSERTION / EXCHANGE,10560,0.15,2
SGH Madina,PD,2013022,MASTECTOMY / RADICAL ,10560,0.15,2
SGH Madina,PD,2013023,RECURRENT HERNIA,11220,0.15,2
SGH Madina,PD,2013024,REPAIR OF GASTRIC / INTESTINAL PERFORATION ,12120,0.15,2
SGH Madina,PD,2013025,BOWEL REPAIR,12120,0.15,2
SGH Madina,PD,2013026,SPLENECTOMY,12120,0.15,2
SGH Madina,PD,2013027,FISTULA / SURGICAL REVISION,7070,0.15,1
SGH Madina,PD,2013028,THERAPEUTIC ERCP WITH LITHOTRIPSY WITH STENT,8800,0.15,1
SGH Madina,PD,2013029,THERAPEUTIC ERCP WITH LITHOTRIPSY WITHOUT STENT,8360,0.15,1
SGH Madina,PD,2013030,STRIPPING OF LSV WITH MULTIPLE LIGATION OF PERFORATES (UNILATERAL) (TRENDLENBERG OPERATION),10100,0.15,2
SGH Madina,PD,2013031,HERNIA REPAIR / UNILATERAL ,6313,0.15,1
SGH Madina,PD,2013032,VAGOTOMY WITH/WITHOUT GASTROENTEROSTOMY,12120,0.15,2
SGH Madina,PD,2014001,ADRENALECTOMY / BILATERAL,38380,0.15,3
SGH Madina,PD,2014002,ADRENALECTOMY / PARTIAL,30300,0.15,3
SGH Madina,PD,2014003,ADRENALECTOMY / LAPARASCOPIC ,23375,0.15,3
SGH Madina,PD,2014004,ASSISTED EXTENDED HEMICOLECTOMY / LAPARASCOPIC ,27775,0.15,3
SGH Madina,PD,2014005,ANAL FISTULA / BRANCHING AND HIGH ,7954,0.15,2
SGH Madina,PD,2014006,CHOLECYSTECTOMY WITH CBD EXPLORATION / LAPARASCOPY ,19443,0.15,2
SGH Madina,PD,2014007,ADHESIOLYSIS / LAPARASCOPIC,22725,0.15,2
SGH Madina,PD,2014008,EMBOLECTOMY,18180,0.15,2
SGH Madina,PD,2014009,END COLOSTOMY / LAPARASCOPIC ,13200,0.15,2
SGH Madina,PD,2013033,HERNIA REPAIR / PEDIATRIC,12500,0.15,2
SGH Madina,PD,2013034,HERNIA REPAIR / LAPAROSCOPIC PEDIATRIC,17500,0.15,2
SGH Madina,PD,2014010,GASTRIC BY-PASS - LAPARASCOPIIC ,27775,0.15,2
SGH Madina,PD,2014011,HERNIA WITH MESH LAPARASCOPIC ,17675,0.15,2
SGH Madina,PD,2014012,HERNIA / LAPARASCOPIC ,15908,0.15,2
SGH Madina,PD,2014013,HERNIA REPAIR BILATERAL / LAPARASCOPIC ,22852,0.15,2
SGH Madina,PD,2014014,HIATUS HERNIA / LAPRASCOPIC ,26260,0.15,2
SGH Madina,PD,2014015,HIATUS HERNIA  / SURGICAL-OPEN,15150,0.15,2
SGH Madina,PD,2014016,INTESTINAL RESECTION AND ANASTOMOSIS / LAPARASCOPIC ,15300,0.15,2
SGH Madina,PD,2014017,INTRAGASTRIC BALLOON REMOVAL,2760,0.15,D/C
SGH Madina,PD,2014018,INTRAGASTRIC BALLOON INSERTION,15660,0.15,1
SGH Madina,PD,2014019,LEFT HEMICOLECTOMY,18180,0.15,3
SGH Madina,PD,2014020,HERNOPLASTY WITH MESH (LICHTENSTEIN REPAIR),12120,0.15,2
SGH Madina,PD,2014021,MESENTRIC LYMPH NODE BIOPSY / LAPARASCOPIC,15878,0.15,2
SGH Madina,PD,2014022,NISSEN FUNDOPLICATION / LAPARASCOPIC ,19360,0.15,3
SGH Madina,PD,2014023,OVARIAN CYSTECTOMY / LAPARASCOPIC ,9343,0.15,1
SGH Madina,PD,2014024,PARATHYROIDECTOMY / TOTAL,36360,0.15,3
SGH Madina,PD,2014025,PARATHYROIDECTOMY / PARTIAL,13332,0.15,2
SGH Madina,PD,2014026,PAROTIDECTOMY,17170,0.15,2
SGH Madina,PD,2014027,PERFURATED DUODENAL ULCER / LAPRASCOPIC  ,20958,0.15,3
SGH Madina,PD,2014028,PILONIDAL SINUS WITH RECONSTRUCTION FLAP,12120,0.15,2
SGH Madina,PD,2014029,ORAL MALIGNANCY / RADICAL SURGERY,17170,0.15,2
SGH Madina,PD,2014030,REPAIR OF EPIGASTRIC HERNIA BILATERAL / LAPARASCOPIC ,18433,0.15,2
SGH Madina,PD,2014031,REPAIR OF EPIGASTRIC HERNIA UNILATERAL / LAPARASCOPIC ,12625,0.15,2
SGH Madina,PD,2014032,REPAIR OF INCISIONAL HERNIA / LAPARASCOPIC ,20958,0.15,2
SGH Madina,PD,2014033,REPAIR OF PARAUMBILICAL HERNIA / LAPRASCOPIC ,20958,0.15,2
SGH Madina,PD,2014034,RESCTION OF DIVERTICULAM / LAPARASCOPIC ,17675,0.15,3
SGH Madina,PD,2014035,RIGHT HEMICOLECTOMY,17170,0.15,3
SGH Madina,PD,2014036,APPENDECTOMY / SILS,10560,0.15,1
SGH Madina,PD,2014037,CHOLECYSTECTOMY / SILS ,15660,0.15,1
SGH Madina,PD,2014038,HERNIOPLASTY / SILS TAPP ,17600,0.15,1
SGH Madina,PD,2014039,VARICOCELECTOMY / SILS ,9680,0.15,1
SGH Madina,PD,2014040,SPLENECTOMY LAPARASCOPIC ,27775,0.15,3
SGH Madina,PD,2014041,STRANGULATED HERNIA WITH BOWEL RESECTION AND ANASTOMOSIS,14645,0.15,2
SGH Madina,PD,2014042,STRANGULATED HERNIA W/O RESECTION ANASTOMOSIS,12752,0.15,2
SGH Madina,PD,2014043,SUBFASCIAL ENDOSCOPIC PERFORATED STAPLING  / LAPARASCOPIC ,11110,0.15,2
SGH Madina,PD,2014044,INTESTINAL CANCER SURGERY,19948,0.15,3
SGH Madina,PD,2014045,THYROIDECTOMY / TOTAL,12878,0.15,2
SGH Madina,PD,2014046,PELVIC EXACENTRATION / TOTAL ,28280,0.15,3
SGH Madina,PD,2014047,PANCREATECTOMY / TOTAL/PARTIAL (WHIPPLE PROCEDURE),24745,0.15,3
SGH Madina,PD,2014048,STRIPPING OF LSV WITH MULTIPLE LIGATION OF PERFORATES (BILATERAL) (TRENDLENBERG OPERATION),17675,0.15,3
SGH Madina,PD,2014049,VARICOCELECTOMY  / LAPARASCOPIC ,9343,0.15,1
SGH Madina,PD,2014050,VENTRAL HERNIA REPAIR  / LAPRASCOPIC  ,20958,0.15,2
SGH Madina,PD,2014051,PRE-OPERATIVE INVESTIGATION,400,0.0,0
SGH Madina,PD,2015001,ABDOMINAL PROCTOPEXY WITH RESECTION,17600,0.15,2
SGH Madina,PD,2015002,ABDOMINAL PROCTOPEXY WITHOUT RESECTION,13200,0.15,2
SGH Madina,PD,2015003,ABDOMINOPERINEAL RESECTION OF RECTUM,40050,0.15,2
SGH Madina,PD,2015004,ANAL FISTULOTOMY OR FISTULECTOMY / COMPLEX,8800,0.15,1
SGH Madina,PD,2015005,ANAL SPHENCTER REPAIR / FEACAL INCONTINENCE,13200,0.15,1
SGH Madina,PD,2015006,ANOPLASTY,4050,0.15,1
SGH Madina,PD,2015007,ANORECTAL AGENESIS WITH OR WITHOUT FISTULA OR CLOACAL MALFORMATIONS,12100,0.15,2
SGH Madina,PD,2015008,ANTERIOR RESECTION OF BOWEL / RECTUM,50730,0.15,4
SGH Madina,PD,2015009,ANTERIOR RESECTION OF RECTUM WITH OR WITHOUT TEMPORARY STOMA,42275,0.15,4
SGH Madina,PD,2015010,BOWEL RESCETION FOR COMLICATED DIVERTICULOSIS,32400,0.15,4
SGH Madina,PD,2015011,CECECTOMY,10560,0.15,2
SGH Madina,PD,2015012,CECOSTOMY,10560,0.15,2
SGH Madina,PD,2015013,CLOSURE OF LARGE INTESTINAL STOMA,13200,0.15,2
SGH Madina,PD,2015014,CLOSURE OF SMALL INTESTINAL STOMA,8800,0.15,2
SGH Madina,PD,2015015,COLOSTOMY,10560,0.15,1
SGH Madina,PD,2015016,COLOVAGINAL FISTULA REPAIR,21250,0.15,2
SGH Madina,PD,2015017,DUODENAL OBSTRUCTION REPAIR / NEONATAL,21675,0.15,2
SGH Madina,PD,2015018,EXCISION OF THROMBOTIC HAEMORRHOIDS,4275,0.15,1
SGH Madina,PD,2015019,CLOSURE OF POSITERIOR ANAL FISSURE WITH A FLAP ,6230,0.15,1
SGH Madina,PD,2015020,GASTRECTOMY / LAPAROSCOPIC / COMPLICATED,39160,0.15,3
SGH Madina,PD,2015021,GASTRECTOMY / SUBTOTAL-PARTIAL  / LAPAROSCOPIC / COMPLICATED,32400,0.15,3
SGH Madina,PD,2015022,ILEO-CECAL RESECTION,17600,0.15,2
SGH Madina,PD,2015023,ILEO-ANAL POUCH CREATION / LAPAROSCOPIC / COMPLICATED,39160,0.15,3
SGH Madina,PD,2015024,ILEOSTOMY,8800,0.15,1
SGH Madina,PD,2015025,INCISION OF PERIANAL ABSCESS / HIGH - COMPLEX,6230,0.15,1
SGH Madina,PD,2015026,INCISION OF PERIANAL ABSCESS / LOW - SIMPLE,4275,0.15,1
SGH Madina,PD,2015027,ABDOMINAL EXPLORATION / LAPARASCOPIC ,8800,0.15,1
SGH Madina,PD,2015028,COLOSTOMY / LAPARASCOPIC ,13200,0.15,2
SGH Madina,PD,2015029,ILEO-CECAL RESECTION / LAPARASCOPIC ,21250,0.15,2
SGH Madina,PD,2015030,ILEOSTOMY / LAPARASCOPIC ,13200,0.15,2
SGH Madina,PD,2015031,LEFT HEMI COLECTOMY / LAPARASCOPIC ,25500,0.15,2
SGH Madina,PD,2015032,SEGMENTAL RESECTION OF SMALL INTESTINE - MULITPLE  / LAPARASCOPIC ,21250,0.15,2
SGH Madina,PD,2015033,PROCTOPEXY WITH RESECTION / LAPARASCOPIC ,21250,0.15,2
SGH Madina,PD,2015034,PROCTOPEXY WITHOUT RESECTION LAPARASCOPIC ,17600,0.15,2
SGH Madina,PD,2015035,RIGHT HEMI COLECTOMY / LAPARASCOPIC ,21250,0.15,2
SGH Madina,PD,2015036,SIGMOID COLON RESECTION / LAPARASCOPIC ,21250,0.15,2
SGH Madina,PD,2015037,SMALL TO SMALL INTESTINE ANASTOMOSIS / LAPARASCOPIC ,17600,0.15,2
SGH Madina,PD,2015038,ANAL SPHINCTEROTOMY / LEFT LATERAL ,5400,0.15,1
SGH Madina,PD,2015039,HEMORRHOID / LIGATION,1880,0.15,0
SGH Madina,PD,2015040,SEGMENTAL RESECTION OF SMALL BOWEL - MULTIPLE ,17600,0.15,2
SGH Madina,PD,2015041,NEONATAL ESOPHAGIAL ATRESIA/FISTULA,13640,0.15,2
SGH Madina,PD,2015042,NEONATAL INTESTINAL OBSTRUCTION (INTESTINAL ATRESIA),21675,0.15,2
SGH Madina,PD,2015043,OMENTECTOMY,13616,0.15,2
SGH Madina,PD,2015044,OMPHALOCELE REPAIR - MINOR ,13640,0.15,2
SGH Madina,PD,2015045,OMPHALOCELE REPAIR - MAJOR,31500,0.15,3
SGH Madina,PD,2015046,PILONIDAL SINSUS EXCISION WITH CLOSURE,7120,0.15,1
SGH Madina,PD,2015047,PROCTO COLECTOMY WITH ILEAL POUCH ANAL ANASTOMOSIS,44500,0.15,4
SGH Madina,PD,2015048,PROCTOCOLECTOMY /  / LAPAROSCOPIC / COMPLICATED,32400,0.15,4
SGH Madina,PD,2015049,RADICAL RESECTION AND RE-ANASTOMOSIS OF COLON CANCER,41830,0.15,4
SGH Madina,PD,2015050,RECTAL MUCOSECTOMY FOR RECTAL PROLAPSE,13200,0.15,2
