SERVICE CODE,SERVICE DESCRIPTION,الـوصـــــــــــــــــــف ,CASH  PRICE
1112051,SURGERY CONSULTATION, كشف استـشـاري الجـراحـة ,125.0
1112052,UROLOGY CONSULTATION, كشف استـشـاري المسالك البولية,125.0
1112053,CONSULTANT OR SPECIALIST CALL BY NAME FOR DELIVERY REQUESTED BY THE PATIENT,إستدعاء استشاري أو أخصائي للولادة الطبيعية بطلب من المريض باسم طبيب معين ,1000.0
1112057,PREANESTHESIA CLINIC CONSULTATION,كشف عيادة ما قبل التخدير,0.0
1112058,CONSULTATION FOR OPD SERVICES,كشف / زيارة للعيادات الخارجية,125.0
1112059,HOME VISIT / NURSE,زيارة منزلية / ممرضة,300.0
1112060,HOME VISIT / G.P. WITH NURSE,زيارة منزلية / طبيب عام مع ممرضة,300.0
1112061,HOME VISIT / SPECIALIST WITH NURSE,زيارة منزلية / أخصائي مع ممرضة,450.0
1112062,HOME VISIT / CONSULTANT WITH NURSE,زيارة منزلية / إستشاري مع ممرضة,800.0
1112066,HOME VISIT / GENERAL PRACTITIONER,زيارة منزلية / طبيب عام ,150.0
1112067,HOME VISIT / VACCINATION,زيارة منزلية / تطعيم ,150.0
SGHTELE,TELE MEDICINE SPECIALIST,إستشارة الطب الإتصالي / أخصائي,100.0
SGHTELC,TELE MEDICINE CONSULTANT,إستشارة الطب الإتصالي / إستشاري,150.0
,ROOM & BOARD,غرف التنويم,
2112001,ACCOMODATION / SUITE PER DAY (BED ONLY), جناح  عادى / اليـوم,1200.0
2112002,ACCOMODATION / PRIVATE PER DAY (BED ONLY), غرفة خاصة  / اليوم,400.0
2112003,ACCOMODATION / SEMI-PRIVATE PER DAY (BED ONLY), غرفة مشتركة / اليوم,280.0
2112004,ACCOMODATION / PAEDIATRIC WARD (BED ONLY), قسم الأطـفــال - اجرة السرير باليوم,280.0
2112005,ACCOMODATION / INFANT INCUBATOR (BED ONLY), حـضـانـه الأطــفــال باليوم,280.0
2112006,ACCOMODATION / NURSERY (BED ONLY), إقـامـة الـمـولـود مـع الأم باليوم,200.0
2112007,ACCOMODATION / INTENSIVE CARE UNIT (ICU) (BED ONLY), العناية المركزة باليوم - اجرة السرير,1600.0
2112008,ACCOMODATION / SUITE ROOM ICU PER DAY (BED ONLY), العناية المركزة جناح عادي / اليـوم,2800.0
2112009,ACCOMODATION / CARDIAC CARE UNIT (CCU) (BED ONLY), العناية المركزة ورسم القلب باليوم - اجرة السرير,1600.0
2112010,ACCOMODATION / PEDIATRIC ICU (PICU) (BED ONLY), العناية المركزة بقسم الاطفال - اجرة السرير,1600.0
2112011,ACCOMODATION / NICU - PER DAY  (BED ONLY), العناية المركزة للخدج و حديثي الولادة / اليوم,1600.0
2112012,ACCOMODATION / NICU INTERMEDIATE CARE (CRIB) (BED ONLY), الرعاية المتوسطة للحضانات و حديثي الولادة,800.0
2112013,ACCOMODATION / NICU - ISOLATION PER DAY (BED ONLY), غرفـة العـزل / اليوم بالعناية المركزة لحديثى الولادة - اجرة السرير,1600.0
2112014,ACCOMODATION / ISOLATION ROOM / ADULT (BED ONLY), غـرفـه الـعـزل - باليوم,400.0
2112015,HEAD OXYGEN BOX (NEO-NATAL CARE), غطاء أكسجين ( عناية حديثي الولادة ),130.0
2112016,ROOM DIFFERENCE (SEMI PVT - PVT), فرق الغرفة من - غرفة مشتركة إلى غرفة خاصـة,120.0
2112017,ROOM DIFFERENCE (SEMI PVT - SUITE), فرق الغرفة من - غرفة مشتركة إلى جناح ,920.0
2112018,ROOM DIFFERENCE (PVT - SUITE), فرق الغرفة بين - غرفة خاصة و جناح ,800.0
2112019,NURSING CARE / WARD PER DAY , خدمة التمريض باليوم,150.0
2112020,NURSING CARE / ICU PER DAY , خدمة التمريض باليوم,250.0
2112021,SPECIAL NURSE 24 HOURS, ممرضـة خاصـه 24 سـاعـة,800.0
2112022,NURSE AIDE 24 HRS, ممـرضـه مسـاعـدة 24 ســاعــة,500.0
2112023,COMPANION CHARGES WITH ADULT PER DAY , سرير إضافي للمرافق باليوم,200.0
2112024,COMPANION CHARGES WITH CHILD PER DAY , مـرافـق مع الطـفـل,150.0
2112025,DISPOSABLES WARD, المستهلكات ذات الإستخدام الواحد في العناية المركزة,157.0
2112026,DISPOSABLES ICU, المستهلكات ذات الإستخدام الواحد في العناية المركزة,300.0
2112027,DISPOSABLES  NICU, المستهلكات ذات الإستخدام الواحد في العناية المركزة لحديثي الولادة,300.0
2112028,ISOLATION DISPOSABLES PER DAY , المستهلكات ذات الإستخدام الواحد في غرف العـزل,400.0
2112029,EXTRA LUNCH/DINNER TRAY, وجبة  غذاء و عشاء إضافية,40.0
2112030,TELEPHONE CHARGES , خدمة التليفون,0.0
2112034,INTENSIVE CARE PACKAGE / DAY,,2400.0
,AMBULANCE  SERVICES,خدمات الإسعاف,
3112013,AMBULANCE FEE LESS THAN 50 KMS, أجرة سيارة الإسعاف لمسافة أقل من 50 كم,400.0
3112014,AMBULANCE FEE MORE THAN 50 KMS LESS THAN 100 KMS, أجرة سيارة الإسعاف لمسافة أكثرمن 50 كم و أقل من 100 كم,750.0
3112015,AMBULANCE FEE MORE THAN 100 KMS LESS THAN 250 KMS, أجرة سيارة الإسعاف لمسافة أكثرمن 100 كم و أقل من 250 كم,1500.0
3112016,AMBULANCE FEE MORE THAN 250 KMS LESS THAN 500 KMS,أجرة سيارة الإسعاف لمسافة أكثرمن 250 كم و أقل من 500 كم,6000.0
3112017,AMBULANCE WITH NURSE TO DAMMAM AIRPORT, أجرة سيارة الاسعاف لمطار الدمام مع ممرضة,1000.0
3112018,GENERAL PRACTITIONER  BY AMBULANCE W/NURSE (DAMMAM), مرافق ( طبيب طوارىء وممرضة ) الدمام,300.0
3112019,SPECIALIST BY AMBULANCE W/NURSE (DAMMAM), مرافق ( طبيب اخصائى وممرضة ) الدمام,400.0
3112020,NURSE ESCORT (DAMMAM), مرافق ( ممرضة ) الدمام,200.0
3112021,NURSE ESCORT TO PHILIPPINES / INDIA, مـرافـق ( ممـرضـه )  الـفـلـبـيــــن / الهند,3500.0
,GENERAL  SERVICES,خدمات عامة,
3112001,EMERGENCY ROOM FEES FOR OBSERVATION (1-3 HOURS), أجـرة غـرفـة المـلاحظـة بالطـوارئ 1-3ساعات,200.0
3112002,OBSERVATION ROOM ER 3- 6 HOUR, سرير بالطوارئ لاقل من 6 ساعات,150.0
3112003,OBSERVATION ROOM ER MORE THAN 6 HOUR, ملاحظة بالطوارئ لاكثر من 6 ساعات ,200.0
3112004,I.M. / S.C. INJECTION,حقنه في العضـل ( لا تشمل ثمن الدواء ),15.0
3112005,I.V. INJECTION,حقنه في الوريد ( لا تشمل ثمن الدواء ),25.0
3112006,I.V. FLUID INFUSION / REHYDRATION 250CC I.V.,محـلــول وريــدي 250 سي سي,40.0
3112007,I.V. FLUID INFUSION / REHYDRATION 500CC I.V. ,محـلــول وريــدي 500 سي سي,60.0
3112008,I.V. FLUID INFUSION / REHYDRATION 1000CC ,محـلــول وريــدي 1000 سي سي,85.0
3112009,PRE-EMPLOYMENT CHECK UP, فحـص مـا قـبـل الـتـوظـيـف,350.0
3112010,MEDICAL CHECK-UP PROGRAM 1 DAY , كشف روتيني عام ليوم واحد,1000.0
3112011,MEDICAL CHECK-UP PROGRAM 2 DAYS , كشف روتيني عام ليومين,2750.0
3112012,MEDICAL CHECK-UP PROGRAM - CHILDREN, كشف روتيني عام للصغار,750.0
3112022,ORTHOFIX, مثبت للعظام,1200.0
3112023,ORTHOFIX RENTAL (PER DAY), إيجـار جهـاز مثـبـت العـظــام,35.0
3112024,MORTUARY RENT PER DAY, أجرة ثلاجة موتى باليوم,300.0
3112025,DETAILED MEDICAL REPORT, تقرير طبي مفصل,100.0
3112026,CODE BLUE, ( الاستدعاء للحالات الطارئة ( النداء الأزرق,800.0
3112027,BLOOD WARMER, تـدفـئــة الـــدم,100.0
3112028,MEDICAL ESCORT (MIDDLE EAST), مـرافق طبي - الشرق الأوســط,10000.0
3112029,MEDICAL ESCORT (EUROPE & INDIA), مـرافق طبي  - أوروبــــا و الـهـنـد,12000.0
3112030,MEDICAL ESCORT (U.S.A. & FAR EAST), مـرافق طبي - أمريكا و الشرق الأقصى,18000.0
3112031,DRESSING MAJOR, ضـمـاد كـبـيــــــــر,90.0
3112032,DRESSING MEDIUM, ضـمــاد وســـــط,65.0
3112033,DRESSING MINOR, ضـمــا د صـغـيــر,45.0
3112034,BURN DRESSING MINOR (LESS THAN 5%), ضماد خاص  للحروق أقل من 5% من الجسم,125.0
3112035,BURN DRESSING MEDIUM (FROM 5% TO 25%), ضماد خاص للحروق من 5%-25% من الجسم,375.0
3112036,BURN DRESSING MAJOR (MORE THAN 25%), ضماد خاص للحروق أكثر من25% من الجسم,400.0
3112037,SLING, حمالة أزرع للكسور و الرضوض,50.0
3112038,ELASTIC BANDAGE, ربـاط ضـاغـط بـلاسـتيـكـي,50.0
3112039,BANDAGE AC,ربــــــــــاط,60.0
3112040,NEBULIZER,جـهـاز الـبـخـار ( نـيـبولـيـزر ),50.0
3112041,STOMACH WASH,غـسـيـل الـمـعـده,350.0
3112042,ENEMA, حـقـنـه شـرجـيـة,50.0
3112043,EKG / ECG WITH REPORT,رسـم الـقـلـب مـع تـقـريـر,200.0
3112044,TREADMILL EXERCISE TEST (STRESS TEST), تريدميل ( رسـم قلب بالـجـهـد ),800.0
3112045,ECHO CARDIOGRAM, رسـم قلب بالموجـات فـوق الصوتـيـة ,750.0
3112046,DEFIBRILLATOR, صدمه كهربائية لإنعاش القلب,170.0
3112047,ELECTRONIC MONITORING, جهاز مراقبة القلب الكهربائي,170.0
3112048,PACE MAKER, منظم ضربــات القلــب,170.0
3112049,CALORIC TEST WITH ELECTROSTAGMOGRAM, أختبار للسعرات الحرارية بجهاز ستاغمو غرام,500.0
3112050,EEG (ELECTROENCEPHALOGRAM), رسـم مـخ كـهـربـائـي,900.0
3112051,ECT (ELECTRO CONVULSIVE THERAPY), أي . أس . تي جلسات الصدمات الكهربائية,975.0
3112052,AMBULATORY BLOOD PRESSURE MONITOR, قياس مستمر لضغط الدم بالإسعاف,400.0
3112053,IMPEDENCE METER, رسـم قـيـاس الـسـمـع,170.0
3112054,CHEST DRAINAGE SET, جهاز بـذل الغشاء البلوري للصدر,500.0
3112055,INTRA-COSTAL DRAINAGE SET, جهاز بذل الغشاء البللوري للصدر خلال الضلوع,675.0
3112056,CUTDOWN INFUSION LINE, فتح الوريد جراحياً للتغذية الوريدية,340.0
3112057,HUMIDIFIER PER DAY, المرطب اليومي,170.0
3112058,LOCAL INJECTION,حـقـنـة مـوضــعــيــــة,85.0
3112059,EAR PIERCING, تخزيم الاذنين / تقديح الاذنين,85.0
3112060,DIAGNOSTIC THORACOCENTESIS, بـذل الجنب التشخيصي,170.0
3112061,LUMBAR PUNCTURE W/O LABORATORY TEST(S.PUNCTURE), البذل القطني بدون التحليل المخبري,250.0
3112062,COMEDON EXTRACTION, كوميدون,325.0
3112063,TUBIGRIP, رباط انوبى مرن,35.0
3112064,HOLTER MONITORING FOR 48 HOURS, جهاز هولتر لمدة 48 ساعة,1400.0
3112065,BLOOD PRESSURE MONITORING 24 HOURS, مراقبة ضغط الدم لمدة 24 ساعة,650.0
3112066,PAEDIATRIC ECHOCARDOGRAPHY, تصوير القلب بالموجات الفوق صوتية للاطفال,1500.0
3112067,DOBUTAMIN ECHO, تصوير القلب بالموجات الصوتية باستخدام الدوبامين,2000.0
3112068,TRANSESOPHAGAL ECHO, تصوير القلب عبر المرىء بالموجات الفوق صوتية,2000.0
3112069,EEG UNDER ANAESTHESIA, رسم مخ كهربائي تحت مخدر,1750.0
3112070,UMBILICAL DRIP THRU UMBILICAL VEINS FOR NEONATES,   تغذية من الحبل السري,450.0
3112071,LUMBAR PUNCTURE FOR NEONATES, بـذل نخـاع حديثي الـولادة,250.0
3112072,SUBDURAL TAP, بـذل تحت الام الجـافيـة,450.0
3112073,JEJUNAL BIOPSY, أخـذ عينـه من الأمعـاء الدقيقــه,500.0
3112074,SKIN TEST, أختبار الجلد للحساسية للأطفال حديثي الولادة,500.0
3112075,PFT & EXERCISE TEST, وظـائف التنفـس مع أختبـار الجهــد,170.0
3112076,PHOTO THERAPY W/O BLOOD (PER DAY), العـلاج الضوئـي للأطفـال ( باليـوم ),170.0
3112077,DOUBLE PHOTO THERAPY W/O BLOOD PER DAY, العلاج الضوئى للاطفال ( ثنائى ) بدون الدم فىاليوم,325.0
3112078,TRIPLE PHOTO THERAPY W/O BLOOD PER DAY, العلاج الضوئى للاطفال ( ثلاثى ) بدون الدم فىاليوم,450.0
3112079,NASAL SUCTION, شـفـط إفـرازات الأنــــــف,85.0
3112080,OXYGEN TENT, خـيـمـة أوكـسـجـيـــــن,400.0
3112081,BONE MARROW ASPIRATION, بذل النخاع,1170.0
3112082,"BONE MARROW BIOPSY, NEEDLE (INCL. LAB TESTS) ",عينة من النخاع ( مع الفحوص المعملية ),2200.0
3112083,ABDOMINAL PARACENTHESIS, البذل عن طريق جدار البطن,325.0
3112084,ESOHAGEAL MANOMETRY STUDY,فحص قناة البلعوم,3500.0
3112085,ANORECTAL MANOMETRY STUDY,فحص قناة المستقيم,2500.0
3112086,BIOFEEDBACK / 1 SESSION,جلسة رد فعل بيولوجي,850.0
3112087,BIOFEEDBACK / 4 SESSIONS,اربع جلسات رد فعل بيولوجي,2000.0
3112088,BONE BIOPSY,  عينه عظـام ,1170.0
3112089,INJECTION BOTOX AS PROPHYLACTIC FOR MIGRAINE,حقن البوتكس لعلاج الصداع النصفي (الشقيقة),1000.0
3112090,INCISION AND DRAINAGE, شـق جراحي مع تنظيف ,125.0
3112091,SUTURING MINOR, خيـاطـة جـروح صغـرى,125.0
3112092,SUTURING MAJOR, خيـاطـة جـروح كـبـرى,250.0
3112093,EXTRACTION OF NAIL & DRESSING, أستئصـال ظـفـر مـع  الضمــاد,170.0
3112094,REMOVAL OF FOREIGN BODY SUPERFICIAL, إزالـة جسم غريـب  (سطحـي ) ,170.0
3112095,REMOVAL OF FOREIGN BODY DEEP W/SCREEN, إزالة جسم غريب عميق تحت التنظير الشعاعي,350.0
3112096,LOCAL ANAESTHESIA SMALL AREA, تخدير موضعي ( مساحة صغيرة ),75.0
3112097,LOCAL ANAESTHESIA LARGE AREA, تخدير موضعي ( مساحة كبيرة ),250.0
3112098,CIRCUMCISION NEW BORN 1 DAY  - 3 MONTHS WITH LAB TESTS,عملية طهارة لعمر يوم -  3 شهور مع التحليل,400.0
3112099,CIRCUMCISION 3 MONTHS - 1 YEAR  WITH LAB TEST,عملية طهارة لعمر3 شهور- سنه مع التحليل,650.0
3112100,CIRCUMCISION 1 YEAR - 10 YEARS WITH LAB TESTS,عملية طهارة لعمر سنه -10 سنوات مع التحليل,800.0
3112101,CATHETERIZATION, قـسـطـرة بولية,75.0
3112102,FOLLEY CATHETERIZATION, قسطرة فولي,85.0
3112103,PILES TREATMENT BY RUBBER BAND APPLICATOR (PILES/ELASTIC),عملية بواسير بالحلقـات المطاطـيـة,1500.0
3112104,SCROTTAL SUPPORT , سـانـد للخصـيـتـيـن,75.0
3112105,TRU CUT BIOPSY, أستئصال عينة بإستخدام إبرة اتوماتيكية,1800.0
3112106,INCISION & DRAINAGE OF SMALL ABSCESS, فتح خراج صغير تحت مخدر موضعي,250.0
3112107,INCISION & DRAINAGE OF BIG ABSCESS, فتح خراج كبير تحت مخدر موضعي,500.0
3112108,EXTRACTION OF INGROWING TOE NAIL, أستخراج مسمار في اللحم من أصبع القدم,500.0
3112109,EXCISION OF SIMPLE OR SMALL LIPOMA UNDER L.A.,أزالة كيس دهني صغير تحت تخذير موضعي,2160.0
3112110,MULTIFIRE GIA STAPLER, جهاز خياطة بالتدبيس,1100.0
3112111,WOUND CARE DRESSING SIMPLE / PEDIA,غيار جراحي متقدم بسيط ,100.0
3112112,WOUND CARE DRESSING MEDIUM / PEDIA,غيار جراحي متقدم متوسط,200.0
3112113,WOUND CARE DRESSING COMPLEX COMPLICATED / PEDIA,غيار جراحي متقدم معقد ,300.0
3112114,T.C.C. FIRST APPLICATION ,تركيب جبيرة متقدمة لتخفيف الضغط على التقرحات في القدم,600.0
3112115,T.C.C. WEEKLY FOLLOW UP SESSIONS ,غيار اسبوعي للجبيرة الخاصة لتخفيف الضغط غلى تقرحات القدم ,200.0
3112116,TOE PRESURE,قياس ضغط الدم في اصابع القدم,150.0
3112117,TCPO2,قياس نسبة اشباع الاكسجين في الجلد,300.0
3112118,ADVANCED VENUS ULCER/ PER DRESSING,غيار متقدم للتقرحات الوريدية,300.0
3112119,VASCULAR DOPPLER STUDY,دراسة التدفق الدموي بالشرايين ,100.0
3112120,DVT MACHINE APPLICATION - VASOPNEUMATIC DEVICE / DAY,إستخدام جهاز مانع التجلطات  / باليوم,2500.0
,VACCINE,التطعيمات,
4112001,INJECTION,الـحـقـــــن,40.0
4112002,ACT HIB VACCINE,تطعيم ضد الإنفلونزا B,130.0
4112003,ACTACEL VACCINE,تطيعم الدفيتريا والسعال الديكى ووباء الكبد ب,260.0
4112004,ANEXATE INJECTION,ابرة انكسيت,195.0
4112005,ANTI SCORPION INJECTION,تطعيم مضاد لسم العقـرب,200.0
4112006,ANTI SNAKE SERUM AMP.,تطعيم مضاد لسم الأفعـى,390.0
4112007,ARAMEN INJECTION,تطعيم ارامن,370.0
4112008,ARAPENTA,ارابينتا,120.0
4112009,AVAXIM VACCINE,تطعيم ضد الكبد الوبائي A,165.0
4112010,B.C.G. VACCINATION,تطعيم ضـد الـسـل,35.0
4112011,BOOSTRIX,بوستركس,100.0
4112012,CLOPIXOL DEPOT INJECTION,ابرة كلوبكسل ديبوت,60.0
4112013,D.P.T. VACCINATION,تطعيم الـثـلاثــي,55.0
4112014,DESFERAL INJECTION,إبرة ديسفرال,55.0
4112015,DOBUTREX INJECTION,إبرة دوبيتركس,90.0
4112016,DT PAEDIA,التطعيم الثـنـائـي ( التيتانوس و الدفـتـيـريـا ) للأطفــال,15.0
4112017,EPREX 2000 IU,ابركس 2000 أبو,195.0
4112018,HAVRIX ADULT,تطعـيـم إلتهـاب الكبـدي أ للكبــار,260.0
4112019,HEPATECT (2ML) VACCINATION,التطعيم بمصل الألتهاب الكبدي,715.0
4112020,HEPATITIS VACCINATION,تطعيم ضد التهاب الكبد الوبائي - الصفراء,130.0
4112021,HIBREX 10 MG VACCINE,تطعيم ضد الإنفلونـزا,170.0
4112022,HUMULIN N INJECTION,إبرة هيملين ( ن ),110.0
4112023,HUMULIN R INJECTION,إبرة هيملين ( ر ),110.0
4112024,INFANRIX 0.5 ML SYRINGE,تطعيم ثلاثي بكتيري ( دفتريا + كزاز + سعال ديكي ),150.0
4112025,INFANRIX HEXA VACCINE,تطعيم انفان ريكس,390.0
4112026,INFANRIX HIB VACCINE,تطعيم انفان ريكس,195.0
4112027,INFLUVAC - FLUARIX,الـتـطـعـيـم ضـد الإنـفـلـوانـزا ,50.0
4112028,M.M.R. VACCINATION,تطعيم ضد الحصبة الألمانية - م. .م. ر.,140.0
4112029,MEASLES VACCINATION,تطعيم ضد الحصبة العاديــة,85.0
4112030,MENACTRA INJECTION,تطعيم ميناكترا,370.0
4112031,MOMMAN,مـــومـــــــــــان,600.0
4112032,OKAVAX VIAL,تطعيم ضد الفاريسيلا,375.0
4112033,P.P.D.(VACCINE),أختبـار حسـاسيـة الـسـل,40.0
4112034,PANTOZOL INJECTION,ابرة بانتوزول,145.0
4112035,PARVOLEX INJECTION,أبرة بارفولكس,130.0
4112036,PEDIACEL VACCINE,تطعيم بيديا سل,250.0
4112037,PNEUMO 23 VACCINE,التطعيم بلقاح المكورات الرئوية,110.0
4112038,POLIO VACCINATION,تطعيم ضـد الـشـلل,55.0
4112039,PREVENAR VACCINE,تطعيم بريفينار,585.0
4112040,RABIS VACCINE (ANTI-RABIS),تطعيم مضاد الكلب,200.0
4112041,RHESUS FACTOR  VACCINATION,تطعيم الـريـسيـس,600.0
4112042,ROTA VIRUS VACCINE,تطعيم الروتا فيروس,415.0
4112043,RUDIVAX VACCINE,تطعيم ضد الروبيلا ( الحصبة الألمانية ),25.0
4112044,SYNFLORIX VACCINE,تطعيم سينوفلوركس,300.0
4112045,TETANUS TAXOID,المصل المضـاد للكــزاز,25.0
4112046,TETRACT HIB VACCINE,تطعيم خماسي ( دفتريا + كزاز + سعال ديكي +كبدي وبائي + إنفلونزا ),130.0
4112047,TPN,تي بي ان,975.0
4112048,TRITANRIX HB + HIBERIX INJECTION,ترتانركس + هايبركس,160.0
4112049,TRITANRIX HB10 VACCINE VIAL,تطعيم رباعي ( دفتريا + كزاز + سعال ديكي +كبدي وبائي ),120.0
4112050,TWINRIX ADULT VACCINE,تطعيم انفان ريكس للكبار,195.0
4112051,TYPHOID VACC.,التطعيم بلقاح الحمى التيفوئية,90.0
4112052,VACCINATION - MENINGITIS MENCEVAX,تطعيم ضـد الحمى الشوكيـة,110.0
4112053,VARILRIX VACCINE,تطعيم ضد الفاريسيلا,285.0
4112054,VARIVAX VIAL,تطعيم ضد جدري الدجاج,350.0
4112055,VAXIGRIP,تطعيم فاكس جرب,40.0
,GENERAL SURGERY SERVICES,خدمات الجراحة العامة,
5112001,OPERATION FINE MAJOR - DOCTOR FEES, عملية دقيقة ذات مهارة خاصة أتعاب الطبيب,4500.0
5112002,OPERATION MAJOR - DOCTOR FEES , عملية كبـرى أتعاب الطبيب,4000.0
5112003,OPERATION MEDIUM - DOCTOR FEES, عملية وسطى أتعاب الطبيب,3500.0
5112004,OPERATION MINOR - DOCTOR FEES, عملية صغرى أتعاب الطبيب,2500.0
5112005,OPERATION SIMPLE - DOCTOR FEES, عملية بسيطة أتعاب الطبيب,1500.0
5112006,OPERATION ROOM CHARGES FINE MAJOR, تكلفة غرفة العمليات ، لعملية ذات مهارة خاصة,750.0
5112007,OPERATION ROOM CHARGES MAJOR, تكلفة غرفة العمليات ، لعملية كبـرى,600.0
5112008,OPERATION ROOM CHARGES MEDIUM, تكلفة غر فة العمليات ، لعملية وسطى,500.0
5112009,OPERATION ROOM CHARGES MINOR, تكلفة غرفة العمليات ، لعملية صغرى,400.0
5112010,OPERATION ROOM CHARGES SIMPLE, تكلفة غرفة العمليات ، لعمية بسيطة,350.0
5112011,ANAESTHESIOLOGIST FEE FINE MAJOR OPERATION, أجـور التخـديـر للعملية الدقيقة ذات المهارة الخاصة,750.0
5112012,ANAESTHESIOLOGIST FEE MAJOR OPERATION, أجور التخـديـر للعملية الكبــرى,600.0
5112013,ANAESTHESIOLOGIST FEE  MEDIUM OPERATION, أجـور التخديـر للعمليــة الـوسـطـــى,500.0
5112014,ANAESTHESIOLOGIST FEE MINOR OPERATION, أجور التخديـر للعمليــة الصــغــرى,400.0
5112015,ANAESTHESIOLOGIST FEE SIMPLE OPERATION, أجور التخدير للعمليـــة الـبـسيــطـــة,350.0
