WIPRO CODE,NAME,Price,SBS
SMR0011,BLADE RAZOR DOUBLE EDGE SHAVE PREP,15.33,37521
MS-B-000484,BLADE SABRE 4.0MMx13CM ARTHREX #AR-8400SR,3150,36224
MS-B-000572,BLADE SAW 1.47MM F/OSCILATING SAW SYN #42230211,1500,44984
MS-B-000910,BLADE SAW 116 / 95 X 19 X 1.19 SYNTHES # 05.002.002S,1837.5,44984
MS-B-000909,"BLADE SAW 17.8 X 15.2/4 X .0.6MM LEFT,SYNTHES # 03.000.403S",3730.125,63715
MS-B-000307,BLADE SAW DISP RAPID ACTION 90/19/1.27MM AESCULAP #GE241SU,1392,46476
MS-B-001635,BLADE SAW DISPOSABLES KIT TIBIAL ACL . ARTHREX # AR-1898S,1882,43376
MS-B-001789,"BLADE SAW FOR KNEE, MICRO PORT # BLD-506",1995,61803
MS-B-000733,BLADE SAW FOR STERNUM 34/0.7/1.1 MM AESCULAP #GC761R,1105.8,44985
MS-B-001797,"BLADE SAW IMPLANTCAST GERMANY, CHM # 42230212",1500,61803
MS-B-000965,"BLADE SAW KMS 90 X 25.4 X 1.24 , KOMET # KMS2513.55 S",1800,63598
MS-B-001754,BLADE SAW NARROW WRIGHT # BLB506,1995,63598
MS-B-001811,"BLADE SAW OSSILATING, WRIGHT # BLD-202",1995,44984
SMB1018,BLADE SCALPEL # 15 W/HANDLE STERILE DISP. FEATHER,12.88,37445
SMB1017,BLADE SCALPEL # 22 STERILE DISP,24.5,37445
SMB0086,BLADE SCALPEL #12 W/HANDLE STERILE FEATHER,12.88,63270
SMB1024,BLADE SCALPEL 11 W/HANDLE STERILE DISP. FEATHER,13.125,32382
SMB1355,BLADE SCALPEL 22 STERILE DISP W/HANDLE #09538,27.391,63270
MS-B-000375,BLADE SCALPEL SIZE 10 STER. DISP/TROUGE TRO6310,15.925,37445
MS-B-000897,BLADE SHAVER 4.0 MM # SIMEX,3150,37521
MS-B-001211,BLADE SHAVER 4.0MMx13CM EXCALIBUR ARTHREX #AR-8400EX,1476,41499
MS-B-000866,BLADE SHAVER 4.2MM GREAT WHITE LINVATEC/CONMED #9299A,2275,41499
MS-B-000293,BLADE SHAVER 4.2MM STRAIGHT LINVATEC/CONMED #9247A,2362.5,45078
MS-B-000360,BLADE SHAVER 5.0MMx13CM ARTHREX #AR-8500DS/4010017409,2800,37521
MS-B-000976,BLADE SHAVER AGGRESSIVE RESECTOR FULL RADIUS 4.2 MM TEKNO #1142,2275,10455
MS-B-000914,BLADE SHAVER AGGRESSIVE RESECTOR FULL RADIUS 5.5 MM # TEKNO,3675,10455
MS-B-000917,BLADE SHAVER BURR 5.0MMx13CM OVAL 8FLUTE ARTHREX #AR-8500OBE,2625,41499
MS-B-000974,"BLADE SHAVER BURR,OVAL,SJ,10FLUTE 3.0MMX7CM ARTHREX # AR-7300OBT",2362.5,10455
MS-B-000921,BLADE SHAVER EXCALIBUR 3.8MM X 13CM #AR-8380EX,33862.5,37521
MS-B-001178,BLADE SHAVER EXCALIBUR 5.5 MM ARTHREX # AR-8550EX,2583,37521
SMB1014,BLADE SKIN GRAFT KNIFE #HG-215-01-Q/KNI-3680,840,35134
SMB1003,BLADE SURGICAL #10 CARBON STRL,2.205,47569
SMB1004,BLADE SURGICAL #11 CARBON FEATHER / MARTIN#10-155-11,2.205,47569
SMB1005,BLADE SURGICAL #15CARBON STLSTER MARTIN#10-155-15/FEATHER,2.205,47569
SMB1002,BLADE SURGICAL #20 CARBON STER DISP MARTIN #10--155--20,2.205,47569
MS-B-000785,BLADES KERATOME ANCHOR 2.8MM ANGLED #AB202A,387.92075,44722
MS-B-000990,BLANKET WARMING ADULT FULL BODY PORTEX # SW-2001,892.5,10414
MS-B-000991,BLANKET WARMING PEDIA FULL BODY PORTEX # SW-2002,892.5,10417
MS-B-000992,BLANKET WARMING PEDIA UNDERBODY PORTEX # SW¿2009,1155,10417
MS-B-000993,BLANKET WARMING SMALL UPPERBODY PORTEX # SW2010,892.5,10414
MS-B-000918,BLOCKS ATLANTIC W/GENTAMYCIN HANS BIOMED #ABG¿123,6982.5,55276
SML1573,BLOOD LINE ARTERIAL +VENOUS F/DILOUGE B.BRAUN#7034628,183.75,33309
SMI9357,BLOOD LINE ARTERIAL +VENOUS F/FRESINIUS M.E. #BL021032S,183.75,33309
MS-B-000506,BLOODLINE 5008 SYSTEM FRESENIUS#F00000384,414.05,33309
MS-B-000945,"BLUNT ELASTIC STAY HOOK SET F/PENILE 5 MM , COLOPLAST # QB3312",2660,42595
MS-B-000413,BOLT 12MM TIPMED #042662,183.75,16077
MS-B-000496,BOLT CANNULATED LONG TIPMED #043836,1312.5,16077
MS-B-000434,BOLT CANNULATED MEDIUM ORT-TIPMED# 42693,634.305,16077
MS-B-001758,BOLT COMORESSION CHM # 3.1941.001,2625,16077
MS-B-001212,BOLT EXPANSION 61MM PROSTHESIS MP RECONSTRUCTION . LINK # 172-947/58,4375,16077
MS-B-000030,BOLT FIXER W/CUT HIPOKRAT #500100910000,3111.5,16077
MS-B-000432,BOLT SLOTTED ORT-TIPMED# 42709,633.78,16077
MS-B-000433,BOLTS 30MM ORT-TIPMED# 42686,245,16077
MS-B-000435,BOLTS M6-16MM ORT-TIPMED# 42679,145.6525,16077
MS-B-000324,BONE CANCELLOUS CHIPS 15CC 4-10MM INTEGRA #03-0400-150,8237.359375,46031
MS-B-000658,BONE CEMENT DEPUY CMN 1GM 40G 1/BOX #3315040#,1785,35217
MS-B-000486,BONE CEMENT GENTAFIX 140GR GENTAFIX T040140G,2625,33982
MS-B-000872,BONE CEMENT HI-FATIGUE G1 X 40GM ZIMMER #112114001,2625,35217
MS-B-000437,BONE CEMENT HV-RTM SOFAMOR #C01A,2415,35217
MS-B-001793,"BONE CEMENT ORTHOSAM MED VICSOSTY 3GM, CHM # C040341G",1800,35217
MS-B-000964,"BONE CEMENT REGOBACIN 40 X 1 , BIOMET # 3003940001",1200,33982
MS-B-001660,BONE CEMENT SMARTSTGMV ENDURANCE GENT 40G. JOH. & JOH. # 3105-040 #P3335040,1500,33982
MS-B-000811,BONE CEMENT STANDERD VSCOSITY SYNTHES.,2625,35217
MS-B-000332,BONE CEMENT W/GENTAMICIN # TEK-040140G,2625,33982
MS-B-000724,"BONE GRAFON MAGNIFUSE 1CMX5CM,SOFAMOR#7509215INT",22950,61884
MS-B-001220,BONE GRAFT 10CC PUTTY LIFENET # TPUT10,12116.25,46543
MS-B-001218,BONE GRAFT 5CC OPTIUM DBM PUTTY . LIFENET # TPUT05,8268.75,61884
MS-B-001098,BONE GRAFT CANCELLOUS 4-10MM SOFAMOR # PCAN15410,6523.125,16966
MS-B-000672,BONE GRAFT CHRONOS BLOCK 12.5X10 SYNTHES #710.045S,4051.6875,61884
MS-B-000671,"BONE GRAFT CHRONOS BLOCK 20X20X10,SYNTHES#410.047S",6079.0625,61884
MS-B-000806,BONE GRAFT GENEX 10CC OSTEOCONDUCTION+OSTEOINDUCTION BIOCOMPOSITES #900-010,13500,43999
MS-B-000896,BONE GRAFT GENEX 5CC OSTEOCONDUCTION+OSTEOINDUCTION BIOCOMPOSITES #900-005,10368.75,16966
MS-B-000801,"BONE GRAFT INFUSE X-SMALL 1.4 CC,SOFAMOR# 7510100",31275,16966
MS-B-000781,BONE GRAFT MAGNIFUSE 1.75X5CM SOFAMOR # 7509145INT,31657.5,61884
MS-B-000732,"BONE GRAFT MAGNIFUSE OST 10CM,SOFAMOR # 7509141INT",38475,61884
MS-B-001745,BONE GRAFT PUTTY 10CC . LIFENET # T43110INT,12892.5,61884
MS-B-001843,BONE GRAFT WEDGE IMPLANTCAST # TBS14,6125,61884
MS-B-000719,"BONE GRAFTON OST MAGNIFUSE 1.0X10CM,SOFAMOR#7509211INT",31275,61884
SMH1275,BONE WAX ETHICON #W810 /W30E D+G 8332-00,134.75,44811
SMY1284,BOTTLE CLEANSING AMERICAN #20337-410,24.1472,37037
80-1745,BOTTLE HUMIDIFIER PLASTIC FOR OXYGEN REGULATOR (SHARP. JAPAN),1190,63408
MS-B-000429,BOTTLE PLASTIC HUMIDIFIER DISPOSABLE,465.5,63408
MS-B-001127,BOTTOM EXTENDED TIGHTROPE 5X20MM #AR-1589RT,3500,64640
SMC1004,BOWL KIDNEY 25CM #WK/DK200,24.5,42871
MS-B-000759,BRACE HUMERAL ALL SIZE,1890,41455
SMA3379,BREATHING BAIN CIRCUIT ARMST.#4606/6 4605/6 /INTERSUR.#2115/2116/2105,945,37704
SMI9719,BREATHING CIRCUIT ANESTHETIC ARMST.#1780/7 (SMI5322),367.5,37704
MS-B-001094,BREATHING CIRCUIT DISPOSABLE VENTSTAR (N) 180 DRAEGER # MP00333 / MP02607,1120,37706
SMI5320,BREATHING CIRCUIT F/VENTILATOR INTERS. #2034/ SM#581-2000/F&P#RT134,551.25,37706
SMI5322,"BREATHING SYSTEM ADULT#INTER2010/2154,ARM1780/7(SMI9719)",355.25,61833
SMA3387,BREATHING SYSTEM PEDIA. AYRES + T PIECE INT.#2121 / ARM. 1606/9 1608/8,673.75,37706
MS-B-001936,BREATHING TUBE & CHAMBER KIT AIRVO FOR HIGH FLOW NASAL CANNULA DEVICE #900PT501 FISHER & PAYKAL,1983.6,37041
MS-B-000740,"BRUSH CLEANING 1.25MM,SYNTHES# 319.291",1980,31206
SME1026,BRUSH SCRUB MARTIN #54-100-01,39.83,34882
SME1391,BRUSH SCRUB WITH IODEN 20ML .,42.875,37591
MS-B-000381,BUBBLE CPAP INFANT DELIVERY SYSTEM F&P #BC161-10,1440,35440
MS-B-001835,"BUR 3.0 DIAMOND PDS-2DM-30, PRIMADO2 # 1000119712",2588.25,16670
