code,discription ,old Price,2021 price
EX107,MOHAMMED BASHAR  QABANI,As per agree,As per agree
FMRMB-9920,First Class Deluxe,1000,1200
FMRMB-9901,FIRSTCLASS,825,990
FMACU-0500,SECOND OPINION CONSULTATION,120,144
FMACU-1000,DAY CARE SUPERVISION,230,276
FMACU-1001,DOCTOR'S DAYCARE SUPERVISION,120,144
FMACUA0000,ACUPUNCTURE CONSULTATION-IN-PT,120,144
FMACUA0002,ACUPUNCTURE THERAPY,230,276
FMACUA0003,TRIGGER POINT INJECTION,230,276
FMACUA0006,HYPNOSIS,140,168
FMACUA0010,STELLATE GANGLION BLOCK,1380,1656
FMACUA0011,SIMPLE PER.NERVE INJECTION,1380,1656
FMACUA0016,ACUPUNCTURE PER SESSION,170,204
FMACUA0017,ACUPUNCTURE COURSE 10 SESSIONS,1400,1680
FMACUA0018,ACUPUNCTURE COURSE 7 SESSION,1130,1356
FMACUA0019,ACUPUNCTURE COURSE 5 SESSION,810,972
FMACUA0020,MOXIBUSTION / STICK,170,204
FMACUA0021,CUPPING - AREA,100,120
FMACUA0022,TRIGGER POINT STIMULATION,140,168
FMACUA0023,TRANSNERVE STIMULATION,240,288
FMACUA0024,SLEEP INDUCING ACUPUNCTURE     FOR INSOMNIA,240,288
FMACUA0025,ACUPUNCTURE MEDEL,10,12
FMACUA0026,ACUPUNCTURE FOR OBESCITY,460,552
FMACUA0028,DEPILATION H REMOVAL 30 MINS,260,312
FMADM-0001,LOST PIN CARD,10,12
FMADM-0002,PIN CHARGE,30,36
FMADM-0003,BREAK OF INSTRUMENT,1730,2076
FMADM-0005,MEDICAL SERVICES (TAV),40440,48528
FMADM-0006,MEDICAL SERVICES (YAPI),40440,48528
FMADU-0001,FULL AUDIOVISUAL AND RECORDING PER DAY,4060,4872
FMADU-0002,ONLY SET UP CONFERENCE ROOM PER DAY,700,840
FMADU-0003,WITH DATA SHOW CONFERENCE ROOM PER DAY,1030,1236
FMADU-0004,WITH TV TRANSMISSION CONFERENCE ROOM PER DAY,1350,1620
FMADU-0005,TV TRANSMISSION WITH RECORDING CONFRENCE ROOM /DAY,1700,2040
FMANA-0002,LUMBAR PUNCTURE,358,430
FMANA-0003,C.P.R. 1ST FOR THE DAY,1250,1500
FMANA-0004,C.P.R. 2ND FOR THE DAY,760,912
FMANA-0005,C.P.R. 3RD FORTHE DAY,480,576
FMANA-0006,CARDIAC MONITORING/30 MINS,40,48
FMANA-0007,PERICARDIAL TAP,620,744
FMANA-0008,AXILLARY PLEXUS - ANESTHESIA,320,384
FMANA-0009,BRACHIAL PLEXUS - ANESTHESIA,320,384
FMANA-0010,SPINAL ANESTHESIA,320,384
FMANA-0011,CAUDAL ANESTHESIA,320,384
FMANA-0012,EPIDURAL ANESTHESIA,810,972
FMANA-0013,EPIDURAL ANALGESIA (LABOUR -   PAIN RELIEF),810,972
FMANA-0014,OXYGEN (O2)  PER HOUR,50,60
FMANA-0015,NITROUS OXIDE (N2O/30 MINS),40,48
FMANA-0016,ENFLURANE (ETHRANE) PER CC,10,12
FMANA-0017,INSERTION OF SUB-CLAVIAN CATH.,275,330
FMANA-0018,ARTERIAL LINE,380,456
FMANA-0019,TRACHIAL INTUBATION,130,156
FMANA-0020,ARTIFICIAL VENTILATION / HOUR,80,96
FMANA-0021,NASOGASTRIC TUBE INSERTION,198,238
FMANA-0022,SUPRA-PUBIC CATHETERIZATION,320,384
FMANA-0023,URINE CATHETER INSERTION,60,72
FMANA-0024,SWAN GAUZE CATHETER            (PULMONARY CATHETERIZATION),1530,1836
FMANA-0025,EXTERNAL CARDIAC PACING,2050,2460
FMANA-0026,BLOOD GAS ANALYSIS,340,408
FMANA-0027,TRACHEAL SUCTION PROCEDURE-DAY,50,60
FMANA-0028,TRACHEOTOMY CARE,50,60
FMANA-0030,OPD ASSISTANT ANAESTHETIST,198,238
FMANA-0031,MASK G. ANAESTHESIA,495,594
FMANA-0032,LOCAL ANAESTHESIA ASSISTANT/HR,132,159
FMANA-0033,HALOTHANE PER CC,22,27
FMANA-0034,PREMEDICATION VISIT,80,96
FMANA-0035,I.V. ANAESTHESIA,495,594
FMANA-0036,I.V. REGIONAL ANAESTHESIA,495,594
FMANA-0037,FORANE INHALATION PER CC,10,12
FMANA-0038,PULSE OXIMETER MONITOR         (OXYGEN MONITORING),20,24
FMANA-0039,LUMBAR SYMPATHETIC BLOCK,450,540
FMANA-0040,MECHANICAL VENTILATION 24/HRS,700,840
FMANA-0041,EXAMINATION UNDER ANESTHESIA,340,408
FMANA-0042,MODERATE RISK ANESTHESIA,560,672
FMANA-0043,HIGH RISK ANESTHESIA,1140,1368
FMANA-0044,STELLATE GANGLION BLOCK,260,312
FMANA-0045,DINAMAP PER HOUR,40,48
FMANA-0046,NORMOCAP 200 PER HOUR,40,48
FMANA-0047,NORMOCAP 200 PER 30 MINUTES,20,24
FMANA-0048,EPIDURAL INJECTION,75,90
FMANA-0049,CELL SAVER MACHINE,560,672
FMANA-0050,I.V. SEDATION,198,238
FMANA-0051,CAPNOGRAPH II PER 30 MINUTES,80,96
FMANA-0052,NITROUS OXIDE-FULL TANK,490,588
FMANA-0053,NITROUS OXIDE - 3/4 TANK,380,456
FMANA-0054,NITROUS OXIDE - 1/2 TANK,280,336
FMANA-0055,NITROUS OXIDE - 1/4 TANK,120,144
FMANA-0056,BICORE MONITORING/DAY (PULM.),630,756
FMANA-0057,EPIDURAL ANAESTHESIA - OPD     (PAIN RELIEF),935,1122
FMANA-0058,SEVOFURANE PER ML.,10,12
FMANA-0060,GA LMA (Laringeal Mask Airway),540,648
FMANA-9901,OPERATION ROOM,160,192
FMANA-9902,ANAESTHETIC DOCTOR,160,192
FMANA-9904,ULTRA SOUND GUIDED C.V.P INSERTION,170,204
FMANA-9908,ENDOTRACHEAL INTUBATION,260,312
FMANAC0001,ACUPUNCHURE/SESSION,130,156
FMANAC0002,ACUPUNTURE NEEDLE EACH,10,12
FMANAP0060,G.A. ETT ANAESTHESIA,330,396
FMANAP0061,LMA ANAESTHESIA,680,816
FMANAX0002, CT/MRI UNDER SEDATIONS,320,384
FMCAR-0000,CARDIOLOGY CONSULTATION- IN PT,110,132
FMCAR-0002,E.C.G.,165,198
FMCAR-0003,E.C.G. WITH ERGOMETRY,880,1056
FMCAR-0004,ECHO CARDIOGRAM 2D + M MODE,1100,1320
FMCAR-0005,ECHO CARDIOGRAM 2D + M MODE +  DOPPLER (FULL STUDY),1210,1452
FMCAR-0006,HOLTER MONITOR 24 HOURS ECG,1100,1320
FMCAR-0007,TREADMILL EXERCISE STRESS TEST,1238,1486
FMCAR-0009,E.C.G. FOR INPATIENT,165,198
FMCAR-0010,VENOUS DUPLEX,275,330
FMCAR-0011,SURFACE PACEMAKER(NON-INVASIVE,1852,2223
FMCAR-0012,EXTERNAL TEMPORARY PACEMAKER,3080,3696
FMCAR-0013,PERICARDIOCENTESIS,2420,2904
FMCAR-0014,ECHO M-MODE ONLY,605,726
FMCAR-0015,HYPERTENSION CHECK-UP I,563,676
FMCAR-0016,HYPERTENSION CHECK-UP II,1184,1421
FMCAR-0017,PERMANENT  PACEMAKER,4466,5360
FMCAR-0018,HYPERTENSION CLINIC,520,624
FMCAR-0019,CARDIALOGY CHECK-UP (ABV-ROCK),400,480
FMCAR-0024,THALIUM EXCERCISE W/ PHARMACOLOGICAL STRESS,1500,1800
FMCAR-0025,THALIUM EXCERCISE STRESS,570,684
FMCAR-0500,SECOND OPINION CONSULTATION,110,132
FMCAR-1000,DAY CARE SUPERVISION,165,198
FMCAR-1001,DOCTORS DAYCARE SUPERVISION,94,113
FMCAR-1002,REPROGRAMING OF PERMANET PACEMAKER,720,864
FMCAR-1003,CARDIOLOGY CHECK UP,930,1116
FMCARS0001,CARDIO VERSION (DC SHOCK),1122,1347
FMCARS0002,TEMPORARY PACEMAKER,1122,1347
FMCARS0003,EXTERNAL PACEMAKER USE /DAY,275,330
FMCARS0004,ATRIAL PACING,1122,1347
FMCARS0005,PERMANENT PACEMAKER IMPLANTATI ON (DDD),6600,7920
FMCARS0006,TRANSESOPHAGEAL ECHOCARDIOGRAP HY (TEE),1430,1716
FMCARS0007,PHARMACOLOGICAL TEST,880,1056
FMCARS0008,PHARMACOLOGICAL STRESS ECHOCAR DIOGRAPHY,1760,2112
FMCARS0009,ABULATORY BP MONITORING,8250,9900
FMCARS0010,INTRA-AROTIC BALLOON INSERTION,1760,2112
FMCARS0011,INTRA-AORTIC BALLOON PUMP USE  / DAY,770,924
FMCARS0012,RIGHT HEART CATHETERIZATION,1320,1584
FMCARS0013,LEFT HEART CATHETERIZATION,1320,1584
FMCARS0014,CORONARY ANGIOGRAPHY,2420,2904
FMCARS0015,BALLON VALVULOPLASTY,5750,6900
FMCARS0016,P.T.C.A. (SINGLE VESSEL),4030,4836
FMCARS0017,P.T.C.A. (MULTI VESSEL),5750,6900
FMCARS0018,CORONARY STENTING,1100,1320
FMCARS0019,BALOON ATRIAL SEPTOSTOMY,2880,3456
FMCARS0020,STRESS TRANOESPHAGEAL ECHO,1430,1716
FMCARS0021,ECHO FULL STUDY,1100,1320
FMCARS0024,ECHOCARDIOGRAM,680,816
FMCAT-0001,EXTERNAL PACEMAKER USE/DAY,220,264
FMCAT-0002,TEMPORARY PACEMAKER LEAD REPO,1100,1320
FMCAT-0003,PERMANENT PACEMAKER IMPLANTATI ON,4400,5280
FMCAT-0004,ATRIAL PACING,1100,1320
FMCAT-0005,INTRA-AORTIC BALLOON INSERTION,1760,2112
FMCAT-0006,INTRA-AORTIC BALLOON PUMP USE,550,660
FMCAT-0007,RIGHT HEART CATHETERIZATION,1320,1584
FMCAT-0008,LEFT HEART CAHTETERIZATION,1320,1584
FMCAT-0009,CORONARY ANGIOGRAPHY,2200,2640
FMCAT-0010,BALLON VALVULOPLASTY,1760,2112
FMCAT-0011,P.T.C.A. (SINGLE VESSEL),3080,3696
FMCAT-0012,P.T.C.A. (MULTI VESSEL),4400,5280
FMCAT-0013,CORONARY STENTING,1100,1320
FMCAT-0014,BALLON ATRIAL SEPTOSTOMY,2200,2640
FMCAT-0015,RENAL ANGIOGRAPHY,1980,2376
FMCAT-0016,PERIPHERAL ANGIOGRAPHY,1661,1994
FMCAT-0017,REMOVAL OF FOREIGN BODY BY SNA RE,1188,1426
FMCAT-0018,PERICARDIAL TAPPING,5750,6900
FMCAT-0030,CORONARY STENTING PTCA TV (1 STENT),13800,16560
FMCAT-0031,CORONARY STENTING PTCA TV (2 STENTS),14950,17940
FMCAT-0032,CORONARY STENTING PTCA TV (3 STENTS),17250,20700
FMCAT-0033,CORONARY STENTING PTCA TV (4 STENTS),19550,23460
FMCAT-0035,DR. ALAMRI DIAGNOSTICS CATHLAB,2300,2760
FMCAT-0037,DR. ALAMRI THERAEUTIC CATHLAB(MULTIPLE),4600,5520
FMCAT-0038,Temporary Pacemaker Implantation,2300,2760
FMCAT-0039,VASCULAR STENT PLACEMENT SINGLE VESSAL ONE STENT,34500,41400
FMCAT-0040,AORTIC ILIAC ANGIOPLASTY SINGLE VESSAL,20700,24840
FMCAT-0041,CATHETER CLOSURE OF PDA,5920,7104
FMCAT-0042,HEMOCHROME ACT MACHINE,70,84
FMCAT-0043,CORONARY STENTING PTCA SV (1 STENT),8880,10656
FMCAT-0044,CORONARY STENTING PTCA SV (2 STENTS),10660,12792
FMCAT-0045,CORONARY STENTING PTCA SV (3 STENTS),12360,14832
FMCAT-0046,CORONARY STENTING PTCA DV (1 STENT),10660,12792
FMCAT-0047,CORONARY STENTING PTCA DV (2 STENTS),11850,14220
FMCAT-0048,CORONARY STENTING PTCA DV (3 STENTS),14210,17052
FMCAT-0049,CORONARY STENTING PTCA DV (4 STENTS),16580,19896
FMCAT-0051,IVC FILTER INSERSION,5000,6000
FMCAT-0052,CARDIAC CATHERIZATION (CORONARY ANGIOGRAPHY),7000,8400
FMCAT-0053,PTCA SV + ONE STENT (NORMAL STENT) B.M.S,18000,21600
FMCAT-0054,PTCA SV + ONE STENT (DRUG ELUTING DES),30000,36000
FMCAT-0055,PTCA DV + ONE STENT (DRUG ELUTING DES),35000,42000
FMCAT-0056,PTCA TV + ONE STENT (DRUG ELUTING DES),45000,54000
FMCAT-0057,INFERIOR VENA CAVA FILTER,25000,30000
FMCAT-0058,PERMANENT PACEMAKER INSERTION WITH V.V.I PACEMAKER SINGLE CHAMBER,20000,24000
FMCAT-0059,PERMANENT PACEMAKER INSERTION WITH DDDR PACEMAKER DOUBLE CHAMBER,35000,42000
FMCAT-0060,PERMANENT PACEMAKER INSERTION WITH DDDR-ICD PACEMAKER DOUBLE CHAMBER,70000,84000
FMCAT-0061,PERMANENT PACEMAKER INSERTION WITH CRT-D PACEMAKER TRIPLE CHAMBER,95000,114000
FMCAT-0062,PERMANENT PACEMAKER INSERTION WITH CRT-B PACEMAKER TRIPLE CHAMBER,80000,96000
FMCAT-0063,ADDITIONAL STENT,12500,15000
FMCAT-0070,DIAGNOSTIC CEREBRAL ANGIOGRAPHY 4 VESSELS,4000,4800
FMCAT-0071,4 INTRACRANIAL ARTERIES/ 4 VESSEL CEREBRAL ANGIOGRAM,10500,12600
FMCAT-0072,VERTEBRAL ARTERY 1ST RUN / ANGIOGRAPHY CAROTID CERVICAL,5526.73,6633
FMCAT-0073,ARCH AORTOGRAM,4113.29,4936
FMCAT-0074,FLOW DIVERTER ASSISTED EMBOLIZATION + COILING,75000,90000
FMCTS-0000,CARDIO THORACIC SUR.IN-PT.     CONSULTATION,120,144
FMCTS-0002,THORACOTOMY PLUS BIOPSY,3850,4620
FMCTS-0003,LOBECTOMY,4620,5544
FMCTS-0004,PNEUMONECOMY,4620,5544
FMCTS-0005,SEGMENTECTOMY,5390,6468
FMCTS-0006,STERNOTOMY PLUS BIOPSY,3850,4620
FMCTS-0007,STERNOTOMY + EXCISION OF MASS,7700,9240
FMCTS-0008,REPAIR OF DIAPHERNIA,3850,4620
FMCTS-0009,EXCISION OF CHEST WALL TUMOUR,7700,9240
FMCTS-0010,DECORTICATION,5390,6468
FMCTS-0011,EXCISION OF LUNG CYST,5390,6468
FMCTS-0012,REP.OF RUPTURE BRONC./TRACHEA,7700,9240
FMCTS-0013,THORACOPLASTY,7700,9240
FMCTS-0014,REPAIR OF OESOP. INJ.,6160,7392
FMCTS-0015,RESECTION OF SUP.SULCUS T.,7700,9240
FMCTS-0016,SCALENE L.N. BIOPSY,1925,2310
FMCTS-0017,CERVICAL RIB EXCISION,3850,4620
FMCTS-0018,HELLER'S OP. FOR ACHOLASIA,4620,5544
FMCTS-0019,MEDIASTINOSCOPY DIAGNOSTIC,2310,2772
FMCTS-0020,MEDIASTINOSCOPY OPERATIVE,3850,4620
FMCTS-0021,THORACOSCOPY,5390,6468
FMCTS-0022,INTERNAL PACE-MAKER,5390,6468
FMCTS-0023,EXTERNAL PACE-MAKER,4895,5874
FMCTS-0024,PERICARDIECTOMY,8800,10560
FMCTS-0025,EXCISION OF PERICARDIAL CYST,4620,5544
FMCTS-0026,ONE-WAY VALVE FOR CHEST TUBE   (HEIMLICH'S VALVE),231,278
FMCTS-0027,DIAGNOSTIC ASPIRATION,457,549
FMCTS-0028,EXCISION OF MEDIASTINAL MASS,5660,6792
FMCTS-0030,DIAGNOSTIC THORACOSCOPY,4043,4852
FMCTS-0031,EXTRAPLEURAL PNEUMONECTOMY,6468,7762
FMCTS-0032,EXCISION OF SUPERIOR SULCU     TUMUR,8206,9848
FMCTS-0033,DRAINAGE OF LUNG ABSCESS,2035,2442
FMCTS-0034,MUSCLE FLAP FOR CLOSURE OF     PLEURAL POUCH,8085,9702
FMCTS-0035,DRAINAGE OF CHEST WALL ABSCESS,578,694
FMCTS-0036,EXCISION OF CHEST WALL SINUS,4043,4852
FMCTS-0037,RESECTION OF PHARYNGEAL DIVERT ICULUM,5660,6792
FMCTS-0038,REPAIR OF EVENTIATION OF DIAPH RAGM,5660,6792
FMCTS-0039,REPAIR OF TRACHEO-OESOPHAGEAL  FISTULA,5660,6792
FMCTSS0022,REPAIR OF WOUND DEHESENCE,4043,4852
FMCTS-0041,MINI THORACOTOMY,1210,1452
FMCTS-0042,ASPIRATION OF COLD ABSCESS,297,357
FMCTS-0043,EXCISION OF LYMPH NODE,347,417
FMCTS-0044,THORACOSTOMY,809,971
FMCTS-0045,ASPIRATION BIOPSY,457,549
FMCTS-0046,LIGATION OF PATENT DUCTUS      ARTERIOSOUS,5115,6138
FMCTS-0047,RIBRESECTION,4108,4930
FMCTS-0048,EXPLORATORY THORACOTOMY,3084,3701
FMCTS-0049,CORONARY ARTERY BYPASS GRAFTING (CABG),5750,6900
FMCTS-0050,CABG + VALVE SURGERY,5750,6900
FMCTS-0051,SINGLE VALVE SURGERY,5750,6900
FMCTS-0052,MORE THAN SINGLE VALVE SURGERY,5750,6900
FMCTS-0053,CORRECTION OF SIMPLE CONGENITAL HEART DISEASE,6790,8148
FMCTS-0054,REMOVAL OF STERNAL STAINLESS STEEL WIRE,1310,1572
FMCTS-0055,AORTIC DISSECTION GRAFT,10350,12420
FMCTS-0056,REPAIR OF EPIGASTRIC HERNIA,1440,1728
FMNEU-0172,REPAIR OF TRAUMATRIC SCLAP WOUND UNDER GENERAL ANESTHESIA,4000,4800
FMCTS-0058,STERNAL REWIRING,2880,3456
FMCTS-0059,EXPLORATION OF STERNAL SINUS AFTER OPEN HEART SURGERY,1380,1656
FMCTS-0060,TRANS ESOPHAGEAL ECHO UNDER G.A,560,672
FMCTS-0079,SUPERFICIAL LYMPHNODE BIOPSY,347,417
FMCTS-0080,RE-EXPLORATION AFTER OPENHEART SURGERY,14380,17256
FMCTS-0081,RIB FIXATION BY PLATE AND SCREWS,11000,13200
FMCTS-0082,REDO CABG (PREVIUSLY OPERATED OPEN FOR TECHNICAL DIFFICULTY),7700,9240
FMCTS-0083,SUBAORTIC MEMBRANE EXCISION VIA OPEN HEART SURGERY,5500,6600
FMCTS-1000,DAY CARE SUPERVISION,116,140
FMCTS-1001,DOCTOR'S DAYCARE SUPERVISION,60,72
FMCTS-1002,ATRIAL SEPTAL DEFECT CLOSURE,7190,8628
FMCTS-1003,RE-OPENING THE STERNUM,720,864
FMCTSS0001,CHEST TUBE INSERTION,2585,3102
FMCTSS0002,GAUZE FIXATION OF FLAIL CHEST,2068,2482
FMCTSS0003,SURGICAL FIX. OF FLAIL CHEST,4851,5822
FMCTSS0004,INTERCOSTAL NERVE BLOCK,1045,1254
FMCTSS0005,CHEMICAL PLEUROCTESIS,2068,2482
FMCTSS0006,CLS OF BRONCHO-PLEURAL FISTULA,8085,9702
FMCTSS0007,ELOESSER FLAP,2426,2912
FMCTSS0008,REPAIR OF CHEST WALL DEFECT,9702,11643
FMCTSS0009,DIAGNOSTIC RIGID BRONCHOSCOPY,3080,3696
FMCTSS0010,THERAPEUTIC RIGID BRONCHOSCOPY,3600,4320
FMCTSS0011,DIAG. RIGID OESOPHAGOSCOPY,2068,2482
FMCTSS0012,THERA. RIGID OESOPHAGOSCOPY,2585,3102
FMCTSS0013,NEEDLE LUNG BIOPSY,2068,2482
FMCTSS0014,NEEDLE PLEURAL BIOPSY,2068,2482
FMCTSS0015,THORACENTESIS,1540,1848
FMCTSS0016,CLOSURE OF PATENT DUCTUS,5660,6792
FMCTSS0017,SHUNTING PROCEDURE,5660,6792
FMCTSS0018,PERICARDIOTHENTESIS,2585,3102
FMCTSS0019,PERICARDIAL WINDOW,4043,4852
FMCTSS0020,MONALDI'S PROCEDURE,2426,2912
FMCTSS0021,INTERNAL PACE MAKER,3234,3881
FMNEU-0173,EXPLORATION OF SURGICAL WOUND,3850,4620
FMCTSS0026,OPEN HEART SURGERY BY EXTERNAL TEAM,28750,34500
FMCTSS0027,EXTRACTION OF UNDER SKIN FOREIGN BODY,2500,3000
FMCTSS0028,RUPTURE CORONARY SINUS OF VALSALVA,8750,10500
FMCTSS0029,EXCISION OF LEFT ATRIAL MYOXANA,55000,66000
FMDER-0000,DERMATOLOGY CONSULTATION-IN-PT,120,144
FMDER-0001,REFERRAL FROM OTHER DOCTOR-OP,60,72
FMDER-0002,PROSTATIC MASSAGE,105,126
FMDER-0003,SVD INJECTION,72,87
FMDER-0004,SKIN BIOPSY,341,410
FMDER-0005,LYMPH NODE BIOPSY,385,462
FMDER-0006,"SKIN ALLERGY TEST ""PATCH""",506,608
FMDER-0008,CHEMICAL CAUTERY,138,166
FMDER-0009,AUTO VACCINATION,105,126
FMDER-0010,TESTICULAR BIOPSY,1574,1889
FMDER-0011,SKIN BIOPSY FOR EM,1276,1532
FMDER-0012,WOOD'S LIGHT EXAM,105,126
FMDER-0013,ELECTRO-CAUTERY,1361,1634
FMDER-0014,INCISION & CRRETAGE,644,773
FMDER-0015,BASED CELL CARCINOMA,4549,5459
FMDER-0016,SOLAR KERATOSIS,2949,3539
FMDER-0017,DISSEM SUPER KERATOSIS,2442,2931
FMDER-0018,BOWN'S DESEASE,2734,3281
FMDER-0019,CALLOSITIES,1100,1320
FMDER-0020,PLANTER WART,913,1096
FMDER-0021,TZANK SHEAR TEST,143,172
FMDER-0022,PHOTOPATCH TEST,413,496
FMDER-0023,SKIN PATCH TEST,688,826
FMDER-0024,ICE CUBE TEST,392,471
FMDER-0025,PATHOLOGY TEST,341,410
FMDER-0026,URETHERAL SCRAPPING,171,206
FMDER-0027,GONOZYME SWAB,454,545
FMDER-0028,BUCCAL SMEAR,138,166
FMDER-0029,LESION SMEAR,105,126
FMDER-0030,VAPOSONE SESSION,171,206
FMDER-0031,DERMO TEST,199,239
FMDER-0032,PUVA THERAPY,259,311
FMDER-0033,NARROW BAND THERAPY,187,225
FMDER-0034,TRICHOGRAM,688,826
FMDER-0035,DERMABRASION UNIT,1826,2192
FMDER-0036,SKIN TAG EXCISION PER UNIT,836,1004
FMDER-0037,LOC. SEROFAL VARICOCELECTOMY,836,1004
FMDER-0038,MILIA EXTRACTION,1100,1320
FMDER-0039,PODOPHYLLIN APPLICATION,77,93
FMDER-0040,PHENOL APPLICATION 40%,77,93
FMDER-0041,INTRADERMAL INJECTION,121,146
FMDER-0042,ELECTRO-CAUTERY PER/UNIT,99,119
FMDER-0043,KERATOLITIC APPLICATION - FACE,270,324
FMDER-0044,KERATOLITIC APPLICATION - ARM,429,515
FMDER-0045,KERATOLITIC APPLICATION - LEGS,671,806
FMDER-0046,ACNE SURGERY (COMEDONE EXTRACT,429,515
FMDER-0047,ULTRAVIOLET EXPOSE,187,225
FMDER-0048,ZYDERM IMPLANT TEST,550,660
FMDER-0049,COLLAGEN APPLICATION - ACNE,270,324
FMDER-0050,COLLAGEN APPLICATION - REGENE- RATION,270,324
FMDER-0051,HERBAL MASK APPLICATION,187,225
FMDER-0052,TOPICAL APPLICATION - ALOPECIA LOTION,121,146
FMDER-0053,TOPICAL APPLICATION - VITILIGO LOTION,121,146
FMDER-0054,ALOPECIA LOTION 2% - 100CC,1447,1737
FMDER-0055,ALOPECIA LOTION 3% - 100CC,2156,2588
FMDER-0056,ALOPECIA LOTION 5% - 100CC,3383,4060
FMDER-0057,OIL OF BERGAMOT 100CC,369,443
FMDER-0058,INFRARED EXPOSURE,187,225
FMDER-0059,ZYDERM IMPLANT INJECTION,2442,2931
FMDER-0061,SAMPLE FR. TESTISE BY NEEDLE,270,324
FMDER-0062,PATHERGY,413,496
FMDER-0063,DIATHERMY CURRETAGE,127,153
FMDER-0064,URETHERAL IRRIGATION,105,126
FMDER-0065,HAIR SHAFT,105,126
FMDER-0066,VARICOCELE,3025,3630
FMDER-0067,TESTICULAR EXPLORATION,1634,1961
FMDER-0068,SENSITIVITY TEST,429,515
FMDER-0069,SEBACEOUS CYST EXCISSION SMALL,319,383
FMDER-0070,SEBACEOUS CYST EXCISSION LARGE,1452,1743
FMDER-0071,DEPILATION-SMALL AREA,286,344
FMDER-0072,DEPILATION -MEDIUM AREA,534,641
FMDER-0073,DEPILATION-LARGE AREA.,875,1050
FMDER-0075,PUVA/NBUVB THERAPY (PKGD 10 SESSIONS),1799,2159
FMDER-0076,CAPILSTIMULATOR  PER SESSION,286,344
FMDER-0077,CAPILSTIMULATOR PACKAGE DEAL   (10 SESSIONS ).,1711,2054
FMDER-0079,PUVA/NBUVB SECOND COURSE,1271,1526
FMDER-0080,PUVA/NBUVB SVC. COURSE,908,1090
FMDER-0081,INCISSI.& DRAIN.ABCS.SUPERFCL.,132,159
FMDER-0082,INCISSI.& DRAIN ABCSS.-DEEP,187,225
FMDER-0083,OCCLUSIVE DRESSING SMALL,99,119
