ServiceCode,Service Description,LOS,Type,NPHIES Code (Hyphenated )2,  PRICE ,additional date
18515,BAG URINE DRAINAGE 2000ML NON STERILE,0,consumable,58917,7.2036,
18537,BAG COLOSTOMY W/GUM 38-63MM DRAINABLE UNIDRESS #62446/8900/22771/3630.,0,consumable,37716,46.23,
18541,DRAPE TOWEL SURGICAL 50x75CM STERILE #706300,0,consumable,62934,11.04,
18548,SODIUM CHLORIDE 0.9% F/IRRIGATION 2000ML.,0,consumable,64871,95.151,
18561,SODIUM CHLORIDE 0.9% F/IRRIGATION 1000ML W/SCREW CAP.,0,consumable,64871,20.286,
18570,DRESSING IV CANNULA FIXATION 6x7/7x9CM #1623W/4923/691505,0,consumable,58300,2.3736,
18573,"STENT URETERAL JJ BIOSOFT 6 FR X 26 CM ,COLOPLAST # BCAA64",0,consumable,47035,1690.673,
18579,GOWN SURGEON XXL BARRIER #JM-G2070/580/2652,0,consumable,35091,16.56,
18584,"DRAPE STERILE 48x118"""" F/ZEISS OPMI MD #326071-0000/326070/4862UK",0,consumable,62934,634.317,
18616,TUBE FEEDING 8FRx50CM #JM-C2558,0,consumable,99999,1.9872,
18629,SCREW ROUND DELTA TAPERED INTERFERENCE 10x28MM ARTHREX # AR-5028P-10,0,consumable,56642,3227.648,
18663,SUTURE ANCHOR 5.5x14.7MM CORK SCREW ARTHREX #AR-1927BCF,0,consumable,99999,3108.105,
18667,CATHETER THORACIC W/TROCAR 32CH 40CM,0,consumable,99999,55.2,
18668,CATHETER TROCAR CHESTDRAIN 28CH 40CM ARGYLE #8888-561068/211-28,0,consumable,99999,55.2,
18677,"CATHETER SUCTION 12CHx22"""" W/CONTROL",0,consumable,10749,1.9596,
18678,CATHETER SUCTION 10CHx53CM W/CONTROL,0,consumable,10749,2.2356,
18691,UNDERPAD BLUE 60X80CM DISP.,0,consumable,61850,4.30353,
18699,COTTON ROLL 500GM,0,consumable,58232,59.77125,
18704,BAG FILTRATE 10LTR #5029011 FMC,0,consumable,58868,239.085,
18714,CANNULA IV VENFLON 24G W/O PORT,0,consumable,64574,7.3002,
18725,"SPONGE LAP PREWASHED DETECTABLE RING 18X18""X4-PLY STER #6022",0,consumable,99999,17.39343,
18727,SYRINGE 10ML W/O NEEDLE STERILE #SS*10L/9604,0,consumable,64940,1.2696,
18729,SYRINGE 3ML W/O NEEDLE STERILE #SS*03L/9586,0,consumable,64940,0.7314,
18732,SYRINGE 50/60ML W/O NEEDLE STERILE #SS*50LZ/9663,0,consumable,64940,18.1608,
18736,MASK OXYGEN N/REBREATHER ADULT SALTER LAB #8130/1102/64060,0,consumable,57813,16.56,
18737,SYRINGE 20ML W/O NEEDLE STERILE #SS*20L,0,consumable,64940,1.9044,
18738,INFUSIONSETINTRAFIXDISPOSABLEB/BRAUN,0,consumable,99999,4.3608,
18740,"CATHETER SUCTION 14CHx22"""" W/CONTROL",0,consumable,10749,1.9044,
18747,TUBING PERFUSOR MACHINE B.BRAUN #,0,consumable,99999,22.08,
18750,SYRINGE TUBERCULIN 1ML 25-29G TERUMO #SS+01T2516,0,consumable,32592,0.7452,
18792,CARTRIDGE ACT MEDTRONIC/HEMOCHRON #402-03/JACT+.,0,consumable,45792,46.368,
18814,SCREW LOCKING 3.5 X 30MM CHM # 3.5200.030,0,consumable,99999,986.2256,
18817,ELECTRODE ECG PREGELLED ADULT STERILE #T716/JM-MDF400/2222,0,consumable,35035,1.2144,
18819,SUTURE ANCHOR BIO COMPOSITE 4.5X14MM ARTHREX # AR-1927BCF-45,0,consumable,65038,4781.7,
18822,MASK OXYGEN ADULT W/NEBULIZER SALTER LABS #8924/1483,0,consumable,35171,11.04,
18823,MASK OXYGEN W/CONNECTOR ADULT #JM-Y1003M,0,consumable,57813,19.7616,
18835,"SCREW LOCKING NAIL 5X35MM, CHM # 3.5159.035",0,consumable,47875,2561.625,
18837,TRANSDUCER SINGLE KIT DISPOSABLE BD #682002.,0,consumable,45275,367.3698,
18841,"WIRE GUIDE 0.35x150/145CM ""J"" TIP #007042/SCH38025",0,consumable,99999,165.6,
18844,TUBING RESPIRATORY SYSTEM INTERSURGICAL #2010/70156/1780/7,0,consumable,37704,138.7452,
18846,CATHETER MOUNT ELBOW 7.6MM/15FR W/PORT #3520/3508/03861316/440001000,0,consumable,99999,22.08,
18856,CATHETER EMBOLECTOMY 3CH 80CM RUSCH #337000/54138/300380,0,consumable,58174,1526.887,
18859,TUBE FEEDING 6FRx48CM #JM-C2556,0,consumable,14221,1.9872,
18875,"TAPE DURAPORE DERMICEL 2""X10YDS 3M #1538-2/HART#900 426 1",0,consumable,34831,46.05903,
18902,UNDERPAD BLUE 60x90CM DISPOSABLE,0,consumable,61850,3.5466,
18912,"SPONGELAPPREWASHED18x18""4-PLYSTERILEX-RAYDETECTABLERING",0,consumable,99999,7.1622,
18994,"TROCAR K-WIRE TIP 1X250MM, CHM # 311025",0,consumable,35685,179.3138,
19031,VALVE MITRAL TISSUE MOSAIC CINCH 31MM MEDTRONIC# 310C31,0,consumable,99999,38424.38,
19038,WIRE GUIDE COUGAR XT 0.014X190CM J TIP,0,consumable,35094,1494.281,
19057,WIRE KIRSCHNER 2.0X300MM IRINE #E06032,0,consumable,35685,60.5464,
19092,CATHETER INTRA AORTIC BALLOON 7.5/8FR 40CC DATASCOPE #0684-00-0480-01/IAB-04840U.,0,consumable,99999,5739.034,
19138,DIAPER INFANT 1/SMALL BOY (3-6 KG),0,consumable,35008,2.511801,
19142,BANDAGE ELASTIC LENKELAST 10CM #50414462/19462,0,consumable,99999,11.25733,
19144,BANDAGE ELASTIC LENKELAST 15CM #50419464,0,consumable,99999,20.02337,
19159,BANDAGE DELTA ROLL ORTHO UNDERCAST 15CMX2.75M HARTMANN #9320501,0,consumable,58963,15.24594,
19192,SUTURE MERSILK 0  75CM CURVD 30MM ETHICON #W334H/D&G 1123-61,0,consumable,34601,35.86275,
19194,SUTURE SILK 2-0 ETHICON #W667H/CE3732,0,consumable,99999,41.83988,
19229,"TAPE DURAPORE DERMICEL 3""X10YDS DAMAD #876058/4/ 3M#1538-3",0,consumable,16866,147.6682,
19234,SUTURE PROLENE 3/0 ETHICON #W621/D&G 3490-41,0,consumable,99999,72.90598,
19248,MESH PROLENE 30X30CM 1 ETHICON #PML1,0,consumable,99999,1690.673,
19273,SET ADMN DOSIFIX PEDIA 150ML SPAIN #403701/4 /DFP-87-F,0,consumable,47534,28.39134,
19279,"CATHETER SUCTION 16CHX22"" W/CONTROL BD #02-3069",0,consumable,16779,2.988563,
19281,AIRWAY GUEDEL SIZE 02 ADULT GREEN 70MM STER.DISP.#1-1504-70,0,consumable,42424,11.35654,
19303,TUBE STOMACH CH16 W/MANDRIN #15-5712/ST-2416,0,consumable,59038,14.94281,
19324,MASK OXYGEN PEDIA.W/1.8MTR TUBING/JM-Y1002M/INTER#1196/1043,0,consumable,35173,10.75883,
19362,PROLENE MESH SIZE 15X15CM,0,consumable,99999,838.3788,
19371,SUTURE SILK 0 ETHICON #W782H,0,consumable,99999,35.86275,
19429,CLOTH WHITE F/WRAPPING DEAD BODIES 100% COTTON 150CMX20YDS,0,consumable,14077,8.2386,
19434,SUTURE MONOCRYL PLUS 4/0 LENGTH 45CM. W/NDL ETHICON # MCP496H,0,consumable,99999,107.5883,
19442,"SWAB GAUZE 4""x4"" 8PLY PLAIN NON-STERILE",0,consumable,33722,0.207,
19489,URINAL MALE PLASTIC DISP. BAXTER #13554-0030/JM-U3015,0,consumable,99999,23.9085,
19495,COVER STERILE F/CAMERA 13X250CM KARL STORZ #538X/31401,0,consumable,17977,86.19163,
19609,SHROUD KIT ADULT DISP,0,consumable,99999,358.6275,
19626,GOWN SURGICAL LARGE STERILE DISPOSIBLE # 3M-7692,0,consumable,99999,50.80556,
19627,GOWN SURGEON X-LARGE STERILE,0,consumable,99999,49.99968,
19632,GOWN SURGEON XXL/XL BARRIER.,0,consumable,99999,47.817,
19659,SODIUM CHLORIDE 0.9% 1000ML WITH SCREW CAP FOR IRRIGATION.,0,consumable,99999,45.50584,
19664,GLYCINE 1.5% SOL. IRRIGATION 2000ML #FBG-E-0507-2000,0,consumable,37207,119.5425,
19679,SUTURE VICRYL 4/0 ETHICON #W9067,0,consumable,99999,56.82873,
19764,SUCTION TUBE BOTH SIDES 7.0MM W/CON#68.30.30/TUB#8888-283044,0,consumable,99999,29.64244,
19806,DRAIN CHEST 2 BTL.SET STRL.DKNTL#A-8000/COVIDIEN#8888-571299,0,consumable,37475,1070.134,
19827,AIRWAY NASOPHARYNGEAL SIZE 8 PORTEX #100/210/080,0,consumable,42422,143.451,
19859,TRANSDUCER DOUBLE KIT DISP. OHMEDA BD #071-682032,0,consumable,14119,747.1406,
19924,FILTER FILTRA GUARD F/RESUSITOR #MP01805/1544000/1944.,0,consumable,31245,39.0816,
19934,BALLOON MAVERICK 1.5X15 TM,0,consumable,47732,2647.013,
19935,CATHETER FOLEY BALLOON 2WAY 14FR 5ML SILICONE.,0,consumable,32031,45.471,
19943,BALLOON MAVERICK 2.0X20MM BOSTON #302752020,0,consumable,47732,2647.013,
19947,CATHETER MALE URI DRAIN CONTROL HPD X-LARGE SMMP 705548,0,consumable,34924,26.11474,
19970,STOPCOCK 3 WAY CONNECTER 10CM EXTENTION #4631-8/394995,0,consumable,32172,6.003,
19975,"CONNECTOR STRAIGHT 3/8x3/8"" GISH #EC2130S/CP7161",0,consumable,60538,119.5425,
19976,CATHETER GUIDING 6FR JL4 #LA6JL40/1981507/007-060002,0,consumable,44088,1112.832,
19977,CONNECTOR STRAIGHT 1/2 X 1/2 # EC2135S,0,consumable,60538,119.5425,
19998,MOUTH PIECE UNIVERSAL T-KIT #1485,0,consumable,44545,22.08,
20017,BALLOON DILATOR URETERAL KIT 5FR 75CM BOSTON/ALLWIN #225-100/UBD5/4,0,consumable,34926,1699.056,
20028,FILTER1.2µmPARENTERALNUTRITIONLIPIPORNEO#NLF1E/NLF2E/VM0090IP,0,consumable,35072,95.151,
20030,OXYGEN T-KIT RECOVERY 40% #1040013/1040001.,0,consumable,60856,42.2832,
20033,STENT URETERAL DOUBLE PIGTAIL 4.5/26CM,0,consumable,99999,1195.425,
20086,STENT DRUG ELUTING 2.75 X 26 MM,0,consumable,56285,10316.52,
20109,MASK OXYGEN W/CONNECTOR ADULT #8110/1115/OCTURNO #1041/3031,0,consumable,58810,10.75883,
20110,ELECTRODE ECG PREGELLED ADULT STERILE DISP 3M,0,consumable,62250,2.595286,
20111,ELECTRODE ECG PREGELLED PEDIATRIC STERILE DISP BIPOLAR#716,0,consumable,42489,2.689706,
20158,CANNULA NASAL ADULT OXYGEN AIRLIFE SALTER LAB#1600/INTR1161,0,consumable,99999,9.5634,
20161,"SYRINGE TUBERCULIN 1ML 27G/29GX0.5"" BD #9623/601036",0,consumable,63096,1.74293,
20174,"NEEDLE SPINAL 22Gx3.5"" STERILE BD #5181",0,consumable,46096,37.92306,
20177,BLOOD ADMINISTRATION TRANSFU.SET W/O AIRVENT#7007,0,consumable,38569,16.10849,
20195,SET SOLUTION ADMINISTRATION FOR INFUSION PUMP PA200L TERUMO,0,consumable,46846,29.88563,
20206,"CATHETER SUC.14CHX22""W/CONT.STER.MAERSK#07032182/1180-851147",0,consumable,10749,2.988563,
20208,"EXTENSION SET 32"" W/2 PORT/ABBOTT #4522-48/4612/MG-V5404",0,consumable,12170,20.79578,
20209,INFUSION SET WITH REGULATOR DISPO.INTR.B/BRAUN #402962/3(JM-S2407)/LL60006,0,consumable,36244,5.379413,
20214,SYRINGE 20ML W/O NEEDLE STERILE BD #300629/THERUMO SS*20L,0,consumable,36279,2.633481,
20215,MASK OXYGEN PEDIA NON-REBREATHING AIRLIFE INTERSURGICAL#1102,0,consumable,35177,17.45321,
20216,MASK OXYGEN ADULT NON-REBREATHING INTERSURGICAL #1102,0,consumable,35177,15.6003,
20218,NEBULIZER MISTY PEDIATRIC #64095/8906/1484,0,consumable,31309,16.73595,
20236,MASK FACE PARTICULATE RESPIRATOR N95#093-3395/1860.,0,consumable,64822,58.1532,
20252,SOLUTION MULTIBIC 2KMMOL 5000ML #9670201,0,consumable,99999,522.3024,
20254,SOLUTION ALCOHOL HANDRUB 500ML HY,0,consumable,99999,22.08,
20428,MULTIFILTRATE KIT 4 CVVHDF600 #5038931,0,consumable,44057,1856.486,
20508,CATHETER TRIPLE LUMEN CVC 7FR 20CM 14G #MC3L-8S/ML-37020-A,0,consumable,10729,220.8,
20509,TRANSDUCERDOUBLEKITDISPOSABLEBD#682032,0,consumable,45275,635.6418,
20512,CATHETER VENOUS DUAL STAGE 34/46FR MEDTRONIC #91246/RDS-41134/4936,0,consumable,34905,788.256,
20551,CATHETER PERITONEAL CSF MEDTRONIC/BMI #43522/03105M,0,consumable,45694,1168.474,
20552,CATHETER VENTRICULAR CSF MEDTRONIC #41101/01101,0,consumable,61798,1430.784,
20580,ELECTRODES PREATTACHED LEADWIRE #2269T/13952A-B/13953D,0,consumable,35035,11.04,
20586,"CATHETER SUCTION 8CHx14"""" W/CONTROL",0,consumable,10749,1.9734,
20892,VALVE CSF FLOW CONTROL 16MM BURR HOLE MEDTRONIC #42544.,0,consumable,35965,2928.415,
21502,SCREW LOCKING 3.5MM 3.5X10 T50093510,0,consumable,56642,1350.83,
21582,MESH PROLENE 15X15CM ETHICON # PVMM1.,0,consumable,99999,2220.103,
21597,CARTRIDGE PROXIMATE RELOAD UNIT 75MM#TCR75,0,consumable,64256,1528.819,
21598,STAPLER PROXIMATE LINEAR CUTTER 55MM #TLC55,0,consumable,59870,1987.2,
21599,STAPLER PROXIMATE LINEAR CUTTER TITANIUM #TLC75,0,consumable,59870,1987.2,
21612,SUTURE MERSILK BLACK 0 75CM ETHICON #W552,0,consumable,34601,44.16,
21614,SCALPEL BLADE SIZE #11 W/HANDLE STERILE.,0,consumable,63270,10.833,
21635,SUTURE PROLENE 4/0 90CM ETHICON/PETER #W8761/20S151/EH7585H,0,consumable,99999,55.2,
21649,SUTURE CHROMIC GUT 0 45CM ENDOLOOP #EJ10G/EL10G,0,consumable,99999,802.1664,
21656,CLIP MEDIUM PREMIUM TITANIUM S AUTOSUTURE #134031/MCM20,0,consumable,35798,1656,
21657,CLIP SMALL PREMIUM TITANIUM S AUTOSUTURE #MCS20/134046,0,consumable,35798,1656,
21666,SUTURE PROLENE BLUE 7/0 60CM ETHICON/PETER #W8702/20SO5A,0,consumable,61353,165.6,
21797,PLATE 3.5MM LCP DISTAL HUMERUS 7X80 IRINE #A70990708,0,consumable,61573,4291.695,
22151,SYRINGE 50ML W/NEEDLE F/PERFURSOR MACH.B.BRAUN#8728810/PIC#79005-50-50,0,consumable,47017,5.678269,
22152,CATHETER DUAL LUMEN KIT 11.5FRX13.5CM KIMAL#13817-005/13817-009,0,consumable,61630,1075.883,
22187,POWDER FOR BABY,0,consumable,61949,149.4281,
22195,CANNULA IV VENFLON G22,0,consumable,64574,6.849169,
22196,CANNULA IV VENFLON G20,0,consumable,99999,5.678269,
22198,CANNULA IV VENFLON 16G,0,consumable,99999,7.770263,
22213,WATER STERILE F/INJECTION 1000ML IV SET,0,consumable,58672,50.80556,
22216,WATER STERILE F/INJECTION 500ML IV.,0,consumable,44707,25.39425,
22273,CARTRIDGE ACT MEDTRONIC #402-03,0,consumable,56195,107.5883,
22283,TISSUE FACIAL W/OUT LOGO 2 PLY,0,consumable,15107,6.574838,
22284,ADMISSION KIT BLUE (MALE),0,consumable,33961,45.42615,
22359,SHOWER GEL DETOLL 300ML,0,consumable,61949,89.65688,
22425,SUTURE VICRYL PLUS 2-0 70CM ROUND BODY ETHICON #VCP317H/W9121,0,consumable,63492,55.2,
22430,SUTURE MERSILK BLACK 0 75CM CURVED 30MM ETHICON #W334H/D&G 1123-61,0,consumable,34601,22.08,
22442,SUTURE PROLENE BLUE 3/0 45CM ETHICON #W8684/DW9422R.,0,consumable,61353,46.2714,
22523,BLADE RAZOR DOUBLE EDGE SHAVE,0,consumable,37521,5.4372,
22672,"NEEDLE HYPO 23Gx11/4"" STERILE #NN*2332R",0,consumable,59230,0.3726,
22759,PLATE SCOTCH ADULT 3M DISPOSABLE #1149/83-122-67/400-2700/1201,0,consumable,99999,16.56,
22835,"BAG SPECIMEN RETREIVE 4x6"" ETHICON #POUCH/EP236",0,consumable,45130,1510.272,
22848,STAPLER PROXIMATE SKIN #PMW35/D&G 8037-12,0,consumable,35884,165.6,
22861,SUTURE VICRYL 3/0 75CM VIOLET ETHICON #W9114/VCP311H/D&G 9813-41,0,consumable,63492,55.2,
22866,"SURGICAL HAEMOSTAT 2x3"" #W1913T/1953",0,consumable,38771,276,
22867,"SURGICAL HAEMOSTAT 10x20CM (4x8"") ETHICON #W1912/1902GB.",0,consumable,38771,928.5882,
22874,SUTURE VICRYL VIOLET 2 75CM ETHICON #W9252/D&G 9836-81.,0,consumable,63492,64.0872,
22876,SUTURE VICRYL 2/0 ETHICON #W9150/D&G 9833-51/9832-51,0,consumable,17471,44.16,
22882,SCALPEL BLADE SIZE #22 W/HANDLE STERILE,0,consumable,37445,11.04,
22883,SCALPEL BLADE SIZE #15 W/HANDLE STERILE,0,consumable,63270,18.5058,
22964,SUTURE VICRYL VIOLET UNDYED 5/0 45CM ETHICON #W9982.,0,consumable,63492,92.2116,
22965,SUTURE PROLENE BLUE 4/0 45CM ETHICON #W525/D&G 4414-33,0,consumable,61353,35.466,
22968,STOPCOCK 3 WAY DISCOFIX OHMEDA #394601,0,consumable,35375,3.4776,
24023,CARTRIDGE PROXIMATE RELOAD UNIT 55MM #TCR55,0,consumable,64256,1430.122,
24092,SUTURE VICRYL PLUS 1 VIOLET 70CM ETHICON #VCP353H/W9368/VCP359.,0,consumable,44829,86.1672,
24096,SUTURE VICRYL UNDYED 3/0 45CM ETHICON/PETER #W9511T/18120J/D&G-9608-41,0,consumable,63492,55.2,
24098,SUTURE PROLENE BLUE 3/0 90CM ETHICON #W8522,0,consumable,61353,55.2,
24329,SUTURE PROLENE BLUE 6/0 60CM ETHICON/PETER #W8707/20S07A,0,consumable,99999,115.9476,
25415,CONTRAST MEDIA F/CT OMNIPAQUE 300MGx50ML,0,consumable,99999,70.3662,
25897,STERI STRIP 1/2X4 #R1547,0,consumable,99999,22.08,
26031,STRIP BLOOD GLUCOSE TEST ONE TOUCH F/LIFE SCAN ELITE J&J #02307501,0,consumable,60740,21.1416,
26665,COTTON ROLL 500GMS.,0,consumable,58233,51.5292,
27203,DRESSING SHEET 10CMx10M HYPAFIX/C,0,consumable,63661,0.0276,
27205,DRESSING SHEET 20CMx10M CURAFIX/HYPAFIX #350300/30344,0,consumable,99999,0.069,
27449,SUCTION LINER 3000ML CARDINAL #65651-93C,0,consumable,63653,33.12,
31328,NEEDLE INJECTION VESICALE 35CM COLOPLAST#NBI035,0,consumable,47443,1408.894,
31368,BREATHING CIRCUIT VENTSTAR MRI 3M #MP00327,0,consumable,37704,484.1471,
31496,SCREW CORTICAL 3.5*26MM OSTEONIC #S1F.35260,0,consumable,56642,717.255,
31677,GUIDE WIRE HYDROPHILIC X-PEDION 0.010X200CM EV3 # 103-0605-200,0,consumable,35094,4563.535,
36128,GOWN SURGEON LARGE DISP QUALIMED,0,consumable,35091,16.56,
36130,SUCTION LINER 2000ML DISPOSABLE #CNLINER,0,consumable,64108,22.08,
36290,IV INFUSION SET EZ REGULAR,0,consumable,36244,22.08,
36486,VASOPRESSIN 20 U/ML VAIL,0,consumable,99999,62.928,
36495,SCREW LOCKING 3.5X16MM CHM #3.5200.016,0,consumable,56642,986.2256,
36674,EYEPAD F/PHOTOTHERAPY POSEY #4645,0,consumable,11661,22.08,
37584,MASK FACE ANAESTHESIA ECOMASK SIZE 5 LARGE ADULT #7095000,0,consumable,99999,22.08,
38539,MASKLARYNGEALSIZE2DISPOSABLE#321200000/8002000,0,consumable,45036,137.4342,
38926,BLADE F/LARYNGOSCOPE DISP. CURVED MACINTOSH SIZE 3 #7043000,0,consumable,99999,55.2,
38927,BLADE F/LARYNGOSCOPE DISP. CURVED MACINTOSH SIZE 4 #7044000,0,consumable,99999,55.2,
38994,SUTURE ETHIBOND EXCEL 2-0 GR/WH 10x75CM W/PLEDGET NEEDLE 26MM ETHICON #W10B77,0,consumable,17245,1404.55,
39047,AORTIC PUNCH 4.0MM QUEST #RCC-40/DP-40K,0,consumable,47914,880.992,
39112,"SHEATH NEURON MAX  6FR, PENUMBRA # PNML6F088904M",0,consumable,63564,6574.838,
39132,DRAPE SURGICAL COVER 150x120/175/,0,consumable,99999,22.08,
39153,BREATHING SYSTEM PEDIATRIC 15MM #,0,consumable,99999,55.2,
39281,FILTER HME TWINSTAR HEPADRAGER#MP01801,0,consumable,31723,84.87518,
39629,TIBIAL WEDGE 2/10MM IMPLANTCAST,0,consumable,48067,4482.844,
39662,INFUSION SET WINGED NON-CORING 20GX0.75' BARD #2205220,0,consumable,17180,191.268,
39674,CANNULA NASAL HIGH FLOW ADULT M# DREAGER-MP05512,0,consumable,35201,806.9119,
39707,PLATE DISTAL FIBULA 6 HOLES CHM # 3.7029.606,0,consumable,61573,9862.256,
39803,DRAPE IOBAN 35x17CM INCISE 3M #6650EZ,0,consumable,47782,44.16,
39805,"CHLORAPREP ORANGE TINT 26-ML ,APPLICATOR BARD # 260815",0,consumable,63615,239.085,
39953,HEART VALVE AORTIC SIZE 25MM SORIN #R5-025/ART25LFA,0,consumable,60240,13343.25,
40066,ADMISSION KIT  MALE & FEMALE WITH SGH LOGO,0,consumable,33961,77.70263,
41425,C.V.P PRESSURE MONITORING KIT,0,consumable,62807,55.2,
