CODE,NAME,Price,LOS,Service Type,Insurance,SBS CODE 1,Code Hyphanated,Description,SBS CODE 2,Code Hyphanated.1,Description.1,SBS CODE 3,Code Hyphanated.2,Description.2,SBS CODE 4,Code Hyphanated.3,Description.3,SBS CODE 5,Code Hyphanated.4,Description.4,SBS CODE 6,Code Hyphanated.5,Description.5
CAR-0013,DIRECTIONAL ARTHRECTOMY,29040.0,1 ICU + 3 WARDS,PKG,Total Care PL,905740101,90574-01-01,"Excision of joint, NEC, unilateral",,,,,,,,,,,,,,,
CAR-0014,RT HEART CATHERIZATION W/O SHUNT RUN,4840.0,Day Case,PKG,Total Care PL,382000000,38200-00-00,Right heart catheterisation,,,,,,,,,,,,,,,
CAR-0015,TEMPORARY PACEMAKER,2420.0,Day Case,PKG,Total Care PL,902030300,90203-03-00,Replace temp trnsven elec card pacemaker,,,,,,,,,,,,,,,
CAR-0016,PULMONARY VALVUPLASTY W/ RHC + SHUNT,18150.0,1 ICU + 3 WARDS,PKG,Total Care PL,384560100,38456-01-00,Open valvotomy of pulmonary valve,382000000,38200-00-00,Right heart catheterisation,,,,,,,,,,,,
CAR-0017,CARDIOVERSION / DEFIBRILLATION,2420.0,Day Case,PKG,Total Care PL,134000000,13400-00-00,Cardioversion,,,,,,,,,,,,,,,
CAR-0018,VVD (PERMANENT PACEMAKER),54450.0,1 ICU + 3 WARDS,PKG,Total Care PL,383530000,38353-00-00,Insertion of cardiac pacemaker generator,,,,,,,,,,,,,,,
CAR-0019,MITRAL VALVULOPLASTY,42350.0,1 ICU + 1 WARD,PKG,Total Care PL,384850100,38485-01-00,Decalcification of mitral valve,,,,,,,,,,,,,,,
CAR-0020,VVI (PERMANENT PACEMAKER),48400.0,1 ICU + 3 WARDS,PKG,Total Care PL,383530000,38353-00-00,Insertion of cardiac pacemaker generator,,,,,,,,,,,,,,,
CAR-0021,CORONARY ANTERY BYPASS GRAFTING w/o Cath,38500.0,7 DAYS,PKG,Total Care PL,902010000,90201-00-00,Coron art byps usg 1 other gft NEC,,,,,,,,,,,,,,,
CAR-0022,VVIR (PERMANENT PACEMAKER),66550.0,1 ICU + 3 WARDS,PKG,Total Care PL,383500000,38350-00-00,Ins perm trnsven elec oth cham pcmkr,,,,,,,,,,,,,,,
CAR-0023,VALVE REPLACEMENT W/OUT VALVE COST,38500.0,8 DAYS,PKG,Total Care PL,,,,,,,,,,,,,,,,,,
CAR-0024,DDDI (PERMANENT PACEMAKER),72600.0,1 ICU + 3 WARDS,PKG,Total Care PL,383530000,38353-00-00,Insertion of cardiac pacemaker generator,,,,,,,,,,,,,,,
CAR-0025,ASD CLOSURE,60500.0,8 DAYS,PKG,Total Care PL,,,,,,,,,,,,,,,,,,
CAR-0026,PERCARDIOCENTESIS,1815.0,Day Case,PKG,Total Care PL,383590000,38359-00-00,Pericardiocentesis,,,,,,,,,,,,,,,
CAR-0027,PTCA TV + 4 STENT,84700.0,1 ICU + 3 WARDS,PKG,Total Care PL,383060200,38306-02-00,Perc ins >=2 trnslml stnt coron arteries,,,,,,,,,,,,,,,
CAR-0028,PTCA DV + 5 STENT,84700.0,1 ICU + 3 WARDS,PKG,Total Care PL,,,,,,,,,,,,,,,,,,
CAR-0029,PTCA TV,36300.0,1 ICU + 1 WARD,PKG,Total Care PL,383000000,38300-00-00,"PTCA, 1 coronary artery",,,,,,,,,,,,,,,
CAR-0030,PTCA TV + STENT,55660.0,1 ICU + 3 WARDS,PKG,Total Care PL,353070000,35307-00-00,"PTA single carotid artery, single stent",,,,,,,,,,,,,,,
CAR-0031,PTCA TV + 2 STENT,67760.0,1 ICU + 3 WARDS,PKG,Total Care PL,383060100,38306-01-00,Perc ins mult trnslml stnt sgl coron art,,,,,,,,,,,,,,,
CAR-0032,PTCA TV + 3 STENT,78650.0,1 ICU + 3 WARDS,PKG,Total Care PL,383060200,38306-02-00,Perc ins >=2 trnslml stnt coron arteries,,,,,,,,,,,,,,,
CAR-0033,PTCA TV + 5 STENT,90750.0,1 ICU + 3 WARDS,PKG,Total Care PL,383060200,38306-02-00,Perc ins >=2 trnslml stnt coron arteries,,,,,,,,,,,,,,,
CAR-0034,ROTABLATOR APPL,54450.0,1 ICU + 3 WARDS,PKG,Total Care PL,383090000,38309-00-00,"PTCRA, 1 artery",,,,,,,,,,,,,,,
CAR-0035,RT HEART CATHERIZATION W/SHUNT RUN,6050.0,Day Case,PKG,Total Care PL,382000000,38200-00-00,Right heart catheterisation,,,,,,,,,,,,,,,
CAR-0036,E.P STUDY,22100.0,1 ICU + 3 WARDS,PKG,Total Care PL,382090000,38209-00-00,Card electrophysiological study <=3 cath,,,,,,,,,,,,,,,
CAR-0037,PULMONARY VALVUPLASTY,14520.0,1 ICU + 3 WARDS,PKG,Total Care PL,382700300,38270-03-00,Perc balloon pulmonary valvuloplasty,,,,,,,,,,,,,,,
CAR-0050,COST OF VALVE,5500.0,Day Case,PKG,Total Care PL,,,,,,,,,,,,,,,,,,
ENT-0001,ADENOIDECTOMY ,2178.0,1 DAY,PKG,Total Care PL,418010000,41801-00-00,Adenoidectomy without tonsillectomy,,,,,,,,,,,,,,,
ENT-0002,SMD,1815.0,1 DAY,PKG,Total Care PL,,,,,,,,,,,,,,,,,,
ENT-0003,EXCISION OF LUMPS FROM NECK AND HEAD,3267.0,2 DAYS,PKG,Total Care PL,312350110,31235-01-10,"Excision lesion of SSCT, neck, small",312350000,31235-00-00,"Exc lesion SSCT, oth site of head",,,,,,,,,,,,
ENT-0004,DRAINAGE OF ABCESS NECK,2420.0,1 DAY,PKG,Total Care PL,302230100,30223-01-00,Incision & drainage of abscess of SSCT,,,,,,,,,,,,,,,
ENT-0005,UPPER ENDOSCOPY BIOPSY,2662.0,1 DAY,PKG,Total Care PL,305730100,,,,,,,,,,,,,,,,,
ENT-0006,DRAINAGE OF QUINZY,1815.0,1 DAY,PKG,Total Care PL,418070000,41807-00-00,Incision & drain peritonsillar abscess,,,,,,,,,,,,,,,
ENT-0007,NASAL POLYPECTOMY ,2420.0,1 DAY,PKG,Total Care PL,416680000,41668-00-00,Removal of nasal polyp,,,,,,,,,,,,,,,
ENT-0008,DIRECT LARIGOSCOPY WITH BIOPSY,3025.0,1 DAY,PKG,Total Care PL,418490000,41849-00-00,Laryngoscopy,,,,,,,,,,,,,,,
ENT-0009,MYRINGOTOMY AND INSERTON OF EAR GROMETS,2420.0,1 DAY,PKG,Total Care PL,416320000,41632-00-00,"Myringotomy w insertion of tube, uni",,,,,,,,,,,,,,,
ENT-0010,ANTRAL WASH OUT,1815.0,Day Case,PKG,Total Care PL,417040000,41704-00-00,Aspr & lav nasal sinus thru nat ostium,,,,,,,,,,,,,,,
ENT-0012,EXCISION OF UVULA A292,2904.0,Day Case,PKG,Total Care PL,418100100,41810-01-00,Uvulectomy,,,,,,,,,,,,,,,
ENT-0014,TONSILLECTOMY WITH OR W/O ADENOIDECTOMY,3388.0,1 DAY,PKG,Total Care PL,417890100,41789-01-00,Tonsillectomy with adenoidectomy,,,,,,,,,,,,,,,
ENT-0015,REDUCTION OF FRACTURED NASAL BONE,2722.5,1 DAY,PKG,Total Care PL,477380000,47738-00-00,Closed reduction fx nasal bone,,,,,,,,,,,,,,,
ENT-0016,SMR SUBMUCUS RESECTION (SEPTOPLASTY),4235.0,2 DAYS,PKG,Total Care PL,416710300,41671-03-00,"Septoplasty, submucous resec nasal sept",,,,,,,,,,,,,,,
ENT-0017,TRACHEOSTOMY,4840.0,2 DAYS,PKG,Total Care PL,418810000,41881-00-00,"Open tracheostomy, temporary",,,,,,,,,,,,,,,
ENT-0018,FOREIGN BODY OESOPHAGUS,3267.0,1 DAY,PKG,Total Care PL,304781000,30478-10-00,Oesophagoscopy w removal foreign body,,,,,,,,,,,,,,,
ENT-0019,NASAL CAUTHERIZATION FOR EPISTAXIS,1815.0,Day Case,PKG,Total Care PL,416770000,41677-00-00,Arrest ant nasal haem pack/cauterisation,,,,,,,,,,,,,,,
ENT-0020,PARTIAL INFERIOR TURBINECTOMY (UNI/BIL),3025.0,Day Case,PKG,Total Care PL,416890000,41689-00-00,"Partial turbinectomy, unilateral",416890100,41689-01-00,"Partial turbinectomy, bilateral",,,,,,,,,,,,
ENT-0021,BRONCHOSCOPY (FOREIGN BODY REMOVAL FROM TRACHEA,3932.5,1 DAY,PKG,Total Care PL,418890501,41889-05-01,"Bronchoscopy, unilateral",418860000,41886-00-00,Removal of foreign body from trachea,,,,,,,,,,,,
ENT-0023,SIMPLE MASTOIDECTOMY ,4840.0,2 DAYS,PKG,Total Care PL,415450001,41545-00-01,"Mastoidectomy, unilateral",,,,,,,,,,,,,,,
ENT-0024,INTERNASAL ETHMOIDECTOMY ENDOSCOPIC,7865.0,2 DAYS,PKG,Total Care PL,417370200,41737-02-00,"Ethmoidectomy, unilateral",,,,,,,,,,,,,,,
ENT-0025,INTRA NASAL ANTROSTOMY,3025.0,2 DAYS,PKG,Total Care PL,417160100,41716-01-00,"Intranasal maxillary antrostomy, uni",,,,,,,,,,,,,,,
ENT-0026,SUCTION CLEARENCE EARS,2178.0,Day Case,PKG,Total Care PL,,,,,,,,,,,,,,,,,,
ENT-0029,AURAL POLYPECTOMY ,3630.0,2 DAYS,PKG,Total Care PL,,,,,,,,,,,,,,,,,,
ENT-0031,RADICAL MASTOIDECTOMY ,7139.0,2 DAYS,PKG,Total Care PL,415570101,41557-01-01,"Radical mastoidectomy, unilateral",,,,,,,,,,,,,,,
ENT-0033,CALDWELL – LUC OPERATION ,6352.5,3 DAYS,PKG,Total Care PL,417100000,41710-00-00,"Radical maxillary antrostomy, unilateral",,,,,,,,,,,,,,,
ENT-0035,ORO-ANTRAL FISTUAL,6352.5,2 DAYS,PKG,Total Care PL,417220000,41722-00-00,Closure of oro-antral fistula,,,,,,,,,,,,,,,
ENT-0036,CORDOPEXY,6050.0,2 DAYS,PKG,Total Care PL,901600000,90160-00-00,Other procedures on larynx,,,,,,,,,,,,,,,
ENT-0038,OPERATION FOR MALIGNANT TUMOR IN ENT,15246.0,5 DAYS,PKG,Total Care PL,,,,,,,,,,,,,,,,,,
ENT-0040,TYMPANOPLASTY,8470.0,4 DAYS,PKG,Total Care PL,415300001,41530-00-01,"Myringoplasty postaural or endaural appr, unilateral",415300002,41530-00-02,"Myringoplasty postaural or endaural appr, bilateral",,,,,,,,,,,,
ENT-0042,EXTERNAL FRONTAL OPERATION ,8470.0,4 DAYS,PKG,Total Care PL,,,,,,,,,,,,,,,,,,
ENT-0044,EXTERNAL ETHMOID OPERATION ,7865.0,4 DAYS,PKG,Total Care PL,417490000,41749-00-00,External procedure on ethmoidal sinus,,,,,,,,,,,,,,,
ENT-0046,STAPEDECTOMY,11495.0,4 DAYS,PKG,Total Care PL,416080001,41608-00-01,"Stapedectomy, unilateral",,,,,,,,,,,,,,,
ENT-0048,OPERATION ON VOCAL CORD E.G WOOD MAN ,13310.0,4 DAYS,PKG,Total Care PL,,,,,,,,,,,,,,,,,,
ENT-0050,ARTENOIDECTOMY,10648.0,4 DAYS,PKG,Total Care PL,418670000,41867-00-00,Microlaryngoscopy with arytenoidectomy,,,,,,,,,,,,,,,
ENT-0051,RADICAL MASOIDECTOMY + TYMPANOPLASTY,10890.0,4 DAYS,PKG,Total Care PL,415600101,41560-01-01,"Radical mastoidectomy w myringoplasty, unilateral",,,,,,,,,,,,,,,
ENT-0052,TUMOURS OF THE VOCAL CORDS,5445.0,1 DAY,PKG,Total Care PL,,,,,,,,,,,,,,,,,,
EXDER-0001,ELECTROCAUTERY-SMALL AREA (G.A,123.2,,service,Total Care PL,,,,,,,,,,,,,,,,,,
EXDER-0002,ELECTROCAUTERY-MEDIUM AREA G.A,245.3,,service,Total Care PL,906760000,90676-00-00,Other proc on skin & subcutaneous tissue,,,,,,,,,,,,,,,
EXDER-0003,ELECTROCAUTERY-LARGE AREA G.A.,426.8,,service,Total Care PL,301950710,30195-07-10,"Electrotherapy of skin lesions, <15 lsn",925149900,92514-99-00,"General anaesthesia, ASA 99",,,,,,,,,,,,
EXDER-0004,ELECTROCAUTERY-EXTRA LARGE,963.6,,service,Total Care PL,301950720,30195-07-20,"Electrotherapy of skin lesions, >=15 lsns",,,,,,,,,,,,,,,
EXDER-0007,SKING GRAFTING LARGE AREA,1802.9,,service,Total Care PL,,,,,,,,,,,,,,,,,,
EXDER-0008,SKIN GRAFTING EXTRA LARGAE AREA,2049.3,,service,Total Care PL,454510900,45451-09-00,Full thickness skin graft of other site,,,,,,,,,,,,,,,
EXDER-0009,ERBIUM SMALL AREA,600.6,,service,Total Care PL,,,,,,,,,,,,,,,,,,
EXDER-0010,ERBIUM MEDIUM AREA,1802.9,,service,Total Care PL,,,,,,,,,,,,,,,,,,
EXDER-0011,ERBIUM LARGE AREA,2404.6,,service,Total Care PL,,,,,,,,,,,,,,,,,,
EXDER-0012,ERBIUM EXTRA LARGE AREA,3005.2,,service,Total Care PL,,,,,,,,,,,,,,,,,,
EXDER-0013,VASCULAR LASER SMALL,963.6,,service,Total Care PL,,,,,,,,,,,,,,,,,,
EXDER-0014,VASCULAR LASER MEDIUM,1085.7,,service,Total Care PL,,,,,,,,,,,,,,,,,,
EXDER-0017,MELANOCYTE CULTURE MEDIUM,847.0,,service,Total Care PL,732000380,73200-03-80,Tissue Culture of Skin Biopsy,,,,,,,,,,,,,,,
EXDER-0019,SEBACEOUS CYST EXCISION SMALL,245.3,,service,Total Care PL,312050010,31205-00-10,"Exc lesion of SSCT, other site, small",,,,,,,,,,,,,,,
EXDER-0020,SEBACEOUS CYST EXCISION MEDIUM,426.8,,service,Total Care PL,312050000,,,,,,,,,,,,,,,,,
EXDER-0021,SEBACEOUS CYST EXCISION LARGE,484.0,,service,Total Care PL,312050000,,,,,,,,,,,,,,,,,
EXDER-0022,SKIN BIOPSY,245.3,,service,Total Care PL,300710000,30071-00-00,Biopsy of skin & subcutaneous tissue,,,,,,,,,,,,,,,
EXENT-0001,TONSILECTOMY,600.6,,service,Total Care PL,417890000,41789-00-00,Tonsillectomy without adenoidectomy,,,,,,,,,,,,,,,
EXENT-0002,REPAIR OF EARING TEAR OF THE  EAR (L.A.),304.7,,service,Total Care PL,300520001,30052-00-01,"Repair of wound of external ear, unilateral",,,,,,,,,,,,,,,
EXENT-0003,REPAIR OF EARING TEAR OF THE  EAR (G.A.),426.8,,service,Total Care PL,300520001,30052-00-01,"Repair of wound of external ear, unilateral",925149900,92514-99-00,"General anaesthesia, ASA 99",,,,,,,,,,,,
EXENT-0004,ASPIRATION OF HAEMAOTMAY (L.A),181.5,,service,Total Care PL,302160000,30216-00-00,Aspiration haematoma of SSCT,,,,,,,,,,,,,,,
EXENT-0005,ASPIRATION OF HAEMATOMA G.A.,304.7,,service,Total Care PL,302160000,30216-00-00,Aspiration haematoma of SSCT,925141000-925149900,,,,,,,,,,,,,,
EXENT-0006,DRAINAGE OF AURICULAR CYST(L.A,181.5,,service,Total Care PL,302230210,30223-02-10,"Other incision & drainage of SSCT, smple/sngle",925139900,92513-99-00,Infiltration of local anaes ASA 99,,,,,,,,,,,,
EXENT-0007,DRAINAGE OF AURICULAR CYST(G.A,426.8,,service,Total Care PL,901110001,90111-00-01,"Other procedures on external ear, unilateral",925149900,92514-99-00,"General anaesthesia, ASA 99",,,,,,,,,,,,
EXENT-0008,EXCISION OF KELOID (L.A.),245.3,,service,Total Care PL,455150000,45515-00-00,Revision scar of other site <= 7 cm,925139900,92513-99-00,Infiltration of local anaes ASA 99,,,,,,,,,,,,
EXENT-0009,EXCISION OF KELOID (G.A.),484.0,,service,Total Care PL,,,,,,,,,,,,,,,,,,
EXENT-0010,INCISION OF ABSCESS OF EXT.   L.A.,181.5,,service,Total Care PL,,,,,,,,,,,,,,,,,,
EXENT-0011,INCISION OF ABSCESS OF EXT G.A,484.0,,service,Total Care PL,,,,,,,,,,,,,,,,,,
EXENT-0012,REMOVAL OF FOREIGN BODY IMPACTED (G.A.),426.8,,service,Total Care PL,,,,,,,,,,,,,,,,,,
EXENT-0013,MYRINGOTOMY UNILATERAL (L.A.),245.3,,service,Total Care PL,416260000,41626-00-00,"Myringotomy, unilateral",,,,,,,,,,,,,,,
EXENT-0014,MYRINGOTOMY AND GROMMET INSERTION UNILAT. G.A.,484.0,,service,Total Care PL,416320000,41632-00-00,"Myringotomy w insertion of tube, uni",925141900,92514-19-00,"General anaesthesia, ASA 19",,,,,,,,,,,,
EXENT-0015,REMOVAL OF GROMMETS TUBE UNILT(G.A.),216.7,,service,Total Care PL,416440001,41644-00-01,"Excision rim perforated tympanic memb, unilateral",9251499,,,,,,,,,,,,,,
EXENT-0017,FOREIGN BODY REMOVAL NOSE (L.A,181.5,,service,Total Care PL,416590000,41659-00-00,Removal of intranasal foreign body,,,,,,,,,,,,,,,
EXENT-0018,FOREIGN BODY REMOVAL NOSE (G.A,361.9,,service,Total Care PL,416590000,41659-00-00,Removal of intranasal foreign body,925149900,92514-99-00,"General anaesthesia, ASA 99",,,,,,,,,,,,
EXENT-0019,INCISION AND DRAINAGE SEPTAL  HAEMA. (L.A.),245.3,,service,Total Care PL,416530000,41653-00-00,Exam nasal cavity &/or postnasal space,925139900,92513-99-00,Infiltration of local anaes ASA 99,,,,,,,,,,,,
EXENT-0020,INCISION AND DRAINAGE SEPTAL  HAEMA,361.9,,service,Total Care PL,416530100,41653-01-00,Other diagnostic procedures on nose,,,,,,,,,,,,,,,
EXENT-0021,INCISION AND DRAINAGE SEPTAL .ABSCESS (L.A.),245.3,,service,Total Care PL,416530000,41653-00-00,Exam nasal cavity &/or postnasal space,,,,,,,,,,,,,,,
EXENT-0022,INCISION AND DRAINAGE SEPTAL  ABSCESS (G.A.),361.9,,service,Total Care PL,,,,,,,,,,,,,,,,,,
EXENT-0023,CONTROL OF EPISTAXSIS BY ANT. PACKING (G.A.),361.9,,service,Total Care PL,416770000,41677-00-00,Arrest ant nasal haem pack/cauterisation,925149900,92514-99-00,"General anaesthesia, ASA 99",,,,,,,,,,,,
EXENT-0024,CONTROL OF EPISTAXSIS BY ANT. & POST PACK (G.A.),361.9,,service,Total Care PL,416770000,41677-00-00,Arrest ant nasal haem pack/cauterisation,416560000,41656-00-00,Arrest post nasal haem pack &/cauterise,925149900,92514-99-00,"General anaesthesia, ASA 99",,,,,,,,,
EXENT-0025,CONTROL OF EPISTAXSIS ELECTRO-CAUTERY UNILATERAL (G.A.),484.0,,service,Total Care PL,416770000,41677-00-00,Arrest ant nasal haem pack/cauterisation,925149900,92514-99-00,"General anaesthesia, ASA 99",,,,,,,,,,,,
EXENT-0026,CONTROL OF EPISTAXSIS ELECTRO-CAUTERY BILATERAL (G.A.),600.6,,service,Total Care PL,416770000,41677-00-00,Arrest ant nasal haem pack/cauterisation,925149900,92514-99-00,"General anaesthesia, ASA 99",,,,,,,,,,,,
EXENT-0027,BIOPSY OF THE NOSE (G.A.),361.9,,service,Total Care PL,417610000,41761-00-00,"Exam nasal cavity &/or postnasal spc, Bx",925149900,92514-99-00,"General anaesthesia, ASA 99",,,,,,,,,,,,
EXENT-0028,REMOVAL OF NASAL PACK (G.A.),361.9,,service,Total Care PL,920310000,92031-00-00,Removal of nasal packing,925149900,92514-99-00,"General anaesthesia, ASA 99",,,,,,,,,,,,
EXENT-0029,NASAL SINUSCOPY WITH BIOPSY (GA),600.6,,service,Total Care PL,417610000,41761-00-00,"Exam nasal cavity &/or postnasal spc, Bx",925149900,92514-99-00,"General anaesthesia, ASA 99",,,,,,,,,,,,
EXENT-0030,INCISION OF NASAL ABSCESS (L.A,361.9,,service,Total Care PL,416530000,41653-00-00,Exam nasal cavity &/or postnasal space,925139900,92513-99-00,Infiltration of local anaes ASA 99,,,,,,,,,,,,
EXENT-0031,INCISION OF NASAL ABSCESS (G.A,304.7,,service,Total Care PL,416530000,41653-00-00,Exam nasal cavity &/or postnasal space,,,,,,,,,,,,,,,
EXENT-0032,CONTROL OF GHE AFTER ADENOIDECTOMY OUTSIDE SGH (L.A.),361.9,,service,Total Care PL,417970000,41797-00-00,Arrest haemorrhage following T & A,925139900,92513-99-00,Infiltration of local anaes ASA 99,,,,,,,,,,,,
EXENT-0033,CONTROL OF HGE. AFTER ADENOIDECTOMY OUTSIDE SGH(G.A.),484.0,,service,Total Care PL,417970000,41797-00-00,Arrest haemorrhage following T & A,925149900,92514-99-00,"General anaesthesia, ASA 99",,,,,,,,,,,,
EXENT-0034,INCISION & DRAINAGE OF TONSILAR ABSCESS (G.A.),304.7,,service,Total Care PL,418070000,41807-00-00,Incision & drain peritonsillar abscess,925149900,92514-99-00,"General anaesthesia, ASA 99",,,,,,,,,,,,
EXENT-0035,CONTROL OF HGE AFTER TONS. 2NDIN SGH (L.A.),304.7,,service,Total Care PL,,,,,,,,,,,,,,,,,,
EXENT-0036,CONTROL OF HGE. AFTER TONS. OUTSIDE SGH (G.A.),304.7,,service,Total Care PL,300580100,30058-01-00,Control postoperative haemorrhage NEC,925149900,92514-99-00,"General anaesthesia, ASA 99",,,,,,,,,,,,
EXNEU-0005,EPIDURAL INJECTION,700.7,,service,Total Care PL,900180000,90018-00-00,Epidural inj/o other/cmb thrpc subs,,,,,,,,,,,,,,,
EXOBG-0001,EXAMINATION UNDER G.A.,665.5,,service,Total Care PL,355000000,35500-00-00,Gynaecological examination,925149900,92514-99-00,"General anaesthesia, ASA 99",,,,,,,,,,,,
EXOBG-0002,CERCLOGE SUTURE OF CERVIX G.A.,361.9,,service,Total Care PL,165110000,16511-00-00,Insertion of cervical suture,925149900,92514-99-00,"General anaesthesia, ASA 99",,,,,,,,,,,,
EXOBG-0003,REMOVAL OF CERCLOGE SUTURE G.A,181.5,,service,Total Care PL,165120000,16512-00-00,Removal of cervical suture,,,,,,,,,,,,,,,
EXOBG-0004,HYMNECTOMY G.A.,361.9,,service,Total Care PL,355090000,35509-00-00,Hymenectomy,925149900,92514-99-00,"General anaesthesia, ASA 99",,,,,,,,,,,,
EXOBG-0005,CERVICAL BIOPSY G.A.,304.7,,service,Total Care PL,356080200,35608-02-00,Biopsy of cervix,925149900,92514-99-00,"General anaesthesia, ASA 99",,,,,,,,,,,,
EXOBG-0006,CERVICAL POLYPECTOMY G.A.,600.6,,service,Total Care PL,356110100,35611-01-00,Partial excision of cervix,925149900,92514-99-00,"General anaesthesia, ASA 99",,,,,,,,,,,,
EXOBG-0007,DILATATION AND CURRETAGE (D&C),361.9,,service,Total Care PL,356400000,35640-00-00,Dilation & curettage of uterus [D&C],,,,,,,,,,,,,,,
EXOBG-0008,EVACUATION AND CURRETAGE (E&C),361.9,,service,Total Care PL,356430300,35643-03-00,Dilation and evacuation of uterus [D&E],,,,,,,,,,,,,,,
EXOBG-0009,VAGINAL POLPECTOMY G.A.,361.9,,service,Total Care PL,356330100,35633-01-00,Polypectomy of uterus via hysteroscopy,,,,,,,,,,,,,,,
EXOBG-0010,BARTHOLIN CYST MARSUPIALIZA G.A.,361.9,,service,Total Care PL,355130000,35513-00-00,Treatment of Bartholin's gland cyst,,,,,,,,,,,,,,,
EXOBG-0011,VAGINAL CYST EXCISION G.A.,361.9,,service,Total Care PL,355570000,35557-00-00,Excision of lesion of vagina,9251499,,,,,,,,,,,,,,
EXOBG-0012,LABIAL CYST EXCISION G.A.,361.9,,service,Total Care PL,904400000,90440-00-00,Excision of lesion of vulva,925149900,92514-99-00,"General anaesthesia, ASA 99",,,,,,,,,,,,
EXOBG-0013,EPISIOTOMY WOUND REVISION G.A.,245.3,,service,Total Care PL,904720000,90472-00-00,Episiotomy,925149900,92514-99-00,"General anaesthesia, ASA 99",,,,,,,,,,,,
EXOBG-0014,LABIAL CYST INCISION,361.9,,service,Total Care PL,904460000,90446-00-00,Other incision of vulva or perineum,,,,,,,,,,,,,,,
EXOBG-0015,NORMAL LABOUR (INCLUDING BABY CARE ),1202.3,,service,Total Care PL,,,,,,,,,,,,,,,,,,
EXOBG-0016,C.S.,3005.2,,service,Total Care PL,165200400,16520-04-00,Elective caesarean section NEC,,,,,,,,,,,,,,,
EXOBG-0017,ECTOPIC,1447.6,,service,Total Care PL,,,,,,,,,,,,,,,,,,
EXOBG-0018,RETAINED PLACENTA,426.8,,service,Total Care PL,,,,,,,,,,,,,,,,,,
EXSUR-0001,TONSILLECTOMY,1179.2,,service,Total Care PL,417890000,41789-00-00,Tonsillectomy without adenoidectomy,,,,,,,,,,,,,,,
EXSUR-0002,CIRCUMCISION 6 MONTHS TO 5 YRS,245.3,,service,Total Care PL,306530030,30653-00-30,"Male umcision, surgical excision, 3 mths < 12 yrs",,,,,,,,,,,,,,,
EXSUR-0003,CIRCUMCISION ADULT OER 15 YRS,361.9,,service,Total Care PL,306530000,30653-00-00,Male circumcision,,,,,,,,,,,,,,,
EXSUR-0004,CORRECTION OF CIRCUMCISION ADT,484.0,,service,Total Care PL,306530000,30653-00-00,Male circumcision,,,,,,,,,,,,,,,
EXSUR-0005,DEBREBMENT & SUTURING OF WOUNDSKIN MINOR (SIZE),245.3,,service,Total Care PL,906650010,90665-00-10,"Exc debridement skin & sbc tissue, small",300260010,30026-00-10,"Repair wound SSCT, oth site superficial, small",,,,,,,,,,,,
