SERVICE CODE,CATEGORY,SUB-CATEGORY,SERVICE DESCRIPTION,الـوصـــــــــــــــــــف ,CASH  PRICE
1112018,CONSULTATION,CONSULTATION,DERMATOLOGY CONSULTATION, كشف استـشـاري  الجلـديـة,500.0
1112019,CONSULTATION,CONSULTATION,DIABETIC EDUCATION WITH BLOOD SUGAR TEST, التعليم االغذائى مع فحص السكر بالدم ,300.0
1112020,CONSULTATION,CONSULTATION, DIETITIAN CONSULTATION , كشفية أخصائية التغذية,150.0
1112021,CONSULTATION,CONSULTATION,SECA TEST BY DIETITIAN, فحص على جهاز السيكا من قبل أخصائية التغذية,100.0
1112022,CONSULTATION,CONSULTATION,ENDOCRINOLOGY CONSULTATION, كشف استـشاري الغـدد الصمـاء,500.0
1112023,CONSULTATION,CONSULTATION,ENT SPECIALIST CONSULTATION, كشف أخصائي الأنف و الأذن و الحنجرة,300.0
1112024,CONSULTATION,CONSULTATION,FAMILY THERAPY , جلسة عائلية لدى استشاري النفسية,750.0
1112025,CONSULTATION,CONSULTATION,FOLLOW UP (IVF) WITHIN 7 DAYS, زيارة متابعة إستشاري العقم - خلال سبعة أيــــام,300.0
1112026,CONSULTATION,CONSULTATION,FOLLOW-UP CONSULTATION (WITHIN 14 DAYS), زيارة مجانية خلال اربعة عشر يــــوم,0.0
1112027,CONSULTATION,CONSULTATION,FREE FOLLOW UP ( DENTAL ), متابعة مجانيـة لطـبيب الأسنـان,0.0
1112028,CONSULTATION,CONSULTATION,GASTROENTEROLOGY CONSULTATION ,كشف أستشاري جهازهضمي,500.0
1112029,CONSULTATION,CONSULTATION,GYNAECOLOGY CONSULTATION, كشف اسـتـشــاري أمـراض النساء و  الولادة,500.0
1112030,CONSULTATION,CONSULTATION,INPATIENT VISIT - NEURO SURGEON, كشف استشاري جراحة المخ والأعصاب لمرضى التنويم ,500.0
1112031,CONSULTATION,CONSULTATION,INTERNAL MEDICINE CONSULTATION, كشف أستشاري الأمراض الباطنه,450.0
1112032,CONSULTATION,CONSULTATION,INTERVENTIONAL RADIOLOGY CONSULTATION,كشفية استشارى اشعة تداخلية,450.0
1112033,CONSULTATION,CONSULTATION,IVF CONSULTATION, كشفية استشاري العقم ,500.0
1112034,CONSULTATION,CONSULTATION,IVF CONSULTATION FOLLOW UP VISIT, متابعة استشاري العقم ,300.0
1112035,CONSULTATION,CONSULTATION,NEPHROLOGY CONSULTATION, كشف اسـتـشـاري أمـراض الـكـلــى,500.0
1112036,CONSULTATION,CONSULTATION,NEURO SURGERY CONSULTATION, كشف  استـشـاري جراحة المخ و الأعصاب ,500.0
1112037,CONSULTATION,CONSULTATION,NEUROLOGY CONSULTATION, كشف استشاري الأعـصـاب,500.0
1112038,CONSULTATION,CONSULTATION,ONCOLOGY CONSULTATION,كشف استشاري اورام,500.0
1112039,CONSULTATION,CONSULTATION,OPHTHALMOLOGY CONSULTATION, كشف استـشــاري العـيــون,500.0
1112040,CONSULTATION,CONSULTATION,ORTHODONTIST CONSULTATION, استشارة طبيب التقويم,500.0
1112041,CONSULTATION,CONSULTATION,ORTHOPAEDIC CONSULTATION, كشف استـشاري العـظــام,500.0
1112042,CONSULTATION,CONSULTATION,OUTSIDE CONSULTATION CONSULTANT, كشف خارجي للأستشاري,750.0
1112043,CONSULTATION,CONSULTATION,OUTSIDE CONSULTATION SPECIALIST, كشف خارجي للأخصائي,450.0
1112044,CONSULTATION,CONSULTATION,PAEDIATRIC CONSULTATION, كشف اسـتشـاري الأطـفــال,500.0
1112045,CONSULTATION,CONSULTATION,PEDIATRIC CARDIOLOGY CONSULTATION,كشفية استشاري قلب أطفال,500.0
1112046,CONSULTATION,CONSULTATION,PEDIATRIC SURGERY CONSULTATION,كشفية استشاري جراحة أطفال,500.0
1112047,CONSULTATION,CONSULTATION,PSYCHIATRIC CONSULTATION, كشف استشاري النفسيـــة,500.0
1112048,CONSULTATION,CONSULTATION,PSYCHIATRIC FOLLOW-UP (WITHIN 7 DAYS), متابعة استشاري النفسية (7 أيــام ),300.0
1112049,CONSULTATION,CONSULTATION,PSYCHO THERAPY (PER SESSION), جلسة لـدى استشـاري النفسيــة,400.0
1112050,CONSULTATION,CONSULTATION,RHEUMATOLOGY  CONSULTATION, كشف أستشـاري العـلاج الـطبيعـي,400.0
1112051,CONSULTATION,CONSULTATION,SURGERY CONSULTATION, كشف استـشـاري الجـراحـة ,500.0
1112052,CONSULTATION,CONSULTATION,UROLOGY CONSULTATION, كشف استـشـاري المسالك البولية,500.0
1112053,CONSULTATION,CONSULTATION,CONSULTANT OR SPECIALIST CALL BY NAME FOR DELIVERY REQUESTED BY THE PATIENT,إستدعاء استشاري أو أخصائي للولادة الطبيعية بطلب من المريض باسم طبيب معين ,1000.0
1112057,CONSULTATION,CONSULTATION,PREANESTHESIA CLINIC CONSULTATION,,0.0
1112058,CONSULTATION,CONSULTATION,CONSULTATION FOR OPD SERVICES,,75.0
1112059,CONSULTATION,CONSULTATION,HOME VISIT / NURSE,,300.0
1112060,CONSULTATION,CONSULTATION,HOME VISIT / G.P. WITH NURSE,,300.0
1112061,CONSULTATION,CONSULTATION,HOME VISIT / SPECIALIST WITH NURSE,,450.0
1112062,CONSULTATION,CONSULTATION,HOME VISIT / CONSULTANT WITH NURSE,,800.0
1112066,CONSULTATION,CONSULTATION,HOME VISIT / GENERAL PRACTITIONER,,150.0
SGHTELE,CONSULTATION,CONSULTATION,TELE MEDICINE SPECIALIST,,100.0
SGHTELC,CONSULTATION,CONSULTATION,TELE MEDICINE CONSULTANT,,150.0
2112001,ROOM & BOARD,ACCOMODATION,ACCOMODATION / SUITE PER DAY (BED ONLY), جناح  عادى / اليـوم,15000.0
2112002,ROOM & BOARD,ACCOMODATION,ACCOMODATION / PRIVATE PER DAY (BED ONLY), غرفة خاصة  / اليوم,1200.0
2112003,ROOM & BOARD,ACCOMODATION,ACCOMODATION / SEMI-PRIVATE PER DAY (BED ONLY), غرفة مشتركة / اليوم,700.0
2112004,ROOM & BOARD,ACCOMODATION,ACCOMODATION / PAEDIATRIC WARD (BED ONLY), قسم الأطـفــال - اجرة السرير باليوم,700.0
2112005,ROOM & BOARD,ACCOMODATION,ACCOMODATION / INFANT INCUBATOR (BED ONLY), حـضـانـه الأطــفــال باليوم,600.0
2112006,ROOM & BOARD,ACCOMODATION,ACCOMODATION / NURSERY (BED ONLY), إقـامـة الـمـولـود مـع الأم باليوم,0.0
2112007,ROOM & BOARD,ACCOMODATION,ACCOMODATION / INTENSIVE CARE UNIT (ICU) (BED ONLY), العناية المركزة باليوم - اجرة السرير,4500.0
2112008,ROOM & BOARD,ACCOMODATION,ACCOMODATION / SUITE ROOM ICU PER DAY (BED ONLY), العناية المركزة جناح عادي / اليـوم,7500.0
2112009,ROOM & BOARD,ACCOMODATION,ACCOMODATION / CARDIAC CARE UNIT (CCU) (BED ONLY), العناية المركزة ورسم القلب باليوم - اجرة السرير,4500.0
2112010,ROOM & BOARD,ACCOMODATION,ACCOMODATION / PEDIATRIC ICU (PICU) (BED ONLY), العناية المركزة بقسم الاطفال - اجرة السرير,4500.0
2112011,ROOM & BOARD,ACCOMODATION,ACCOMODATION / NICU - PER DAY  (BED ONLY), العناية المركزة للخدج و حديثي الولادة / اليوم,3500.0
2112012,ROOM & BOARD,ACCOMODATION,ACCOMODATION / NICU INTERMEDIATE CARE (CRIB) (BED ONLY), الرعاية المتوسطة للحضانات و حديثي الولادة,2500.0
2112013,ROOM & BOARD,ACCOMODATION,ACCOMODATION / NICU - ISOLATION PER DAY (BED ONLY), غرفـة العـزل / اليوم بالعناية المركزة لحديثى الولادة - اجرة السرير,4500.0
2112014,ROOM & BOARD,ACCOMODATION,ACCOMODATION / ISOLATION ROOM / ADULT (BED ONLY), غـرفـه الـعـزل - باليوم,1750.0
2112015,ROOM & BOARD,ACCOMODATION,HEAD OXYGEN BOX (NEO-NATAL CARE), غطاء أكسجين ( عناية حديثي الولادة ),350.0
2112016,ROOM & BOARD,ACCOMODATION,ROOM DIFFERENCE (SEMI PVT - PVT), فرق الغرفة من - غرفة مشتركة إلى غرفة خاصـة,500.0
2112017,ROOM & BOARD,ACCOMODATION,ROOM DIFFERENCE (SEMI PVT - SUITE), فرق الغرفة من - غرفة مشتركة إلى جناح ,14300.0
2112018,ROOM & BOARD,ACCOMODATION,ROOM DIFFERENCE (PVT - SUITE), فرق الغرفة بين - غرفة خاصة و جناح ,13800.0
2112019,ROOM & BOARD,ACCOMODATION,NURSING CARE / WARD PER DAY , خدمة التمريض باليوم,300.0
2112020,ROOM & BOARD,ACCOMODATION,NURSING CARE / ICU PER DAY , خدمة التمريض باليوم,450.0
2112021,ROOM & BOARD,ACCOMODATION,SPECIAL NURSE 24 HOURS, ممرضـة خاصـه 24 سـاعـة,1000.0
2112022,ROOM & BOARD,ACCOMODATION,NURSE AIDE 24 HRS, ممـرضـه مسـاعـدة 24 ســاعــة,625.0
2112023,ROOM & BOARD,ACCOMODATION,COMPANION CHARGES WITH ADULT PER DAY , سرير إضافي للمرافق باليوم,300.0
2112024,ROOM & BOARD,ACCOMODATION,COMPANION CHARGES WITH CHILD PER DAY , مـرافـق مع الطـفـل,0.0
2112025,ROOM & BOARD,ACCOMODATION,DISPOSABLES WARD, المستهلكات ذات الإستخدام الواحد في العناية المركزة,156.25
2112026,ROOM & BOARD,ACCOMODATION,DISPOSABLES ICU, المستهلكات ذات الإستخدام الواحد في العناية المركزة,375.0
2112027,ROOM & BOARD,ACCOMODATION,DISPOSABLES  NICU, المستهلكات ذات الإستخدام الواحد في العناية المركزة لحديثي الولادة,375.0
2112028,ROOM & BOARD,ACCOMODATION,ISOLATION DISPOSABLES PER DAY , المستهلكات ذات الإستخدام الواحد في غرف العـزل,500.0
2112029,ROOM & BOARD,ACCOMODATION,EXTRA LUNCH/DINNER TRAY, وجبة  غذاء و عشاء إضافية,100.0
2112030,ROOM & BOARD,ACCOMODATION,TELEPHONE CHARGES , خدمة التليفون,1.25
3112001,GENERAL ,GENERAL  SERVICES,EMERGENCY ROOM FEES FOR OBSERVATION (1-3 HOURS), أجـرة غـرفـة المـلاحظـة بالطـوارئ 1-3ساعات,200.0
3112002,GENERAL ,GENERAL  SERVICES,OBSERVATION ROOM ER 3- 6 HOUR, سرير بالطوارئ لاقل من 6 ساعات,300.0
3112003,GENERAL ,GENERAL  SERVICES,OBSERVATION ROOM ER MORE THAN 6 HOUR, ملاحظة بالطوارئ لاكثر من 6 ساعات ,438.0
3112004,GENERAL ,GENERAL  SERVICES,I.M. / S.C. INJECTION,حقنه في العضـل ( لا تشمل ثمن الدواء ),25.0
3112005,GENERAL ,GENERAL  SERVICES,I.V. INJECTION,حقنه في الوريد ( لا تشمل ثمن الدواء ),37.5
3112006,GENERAL ,GENERAL  SERVICES,I.V. FLUID INFUSION / REHYDRATION 250CC I.V.,محـلــول وريــدي 250 سي سي,56.25
3112007,GENERAL ,GENERAL  SERVICES,I.V. FLUID INFUSION / REHYDRATION 500CC I.V. ,محـلــول وريــدي 500 سي سي,87.5
3112008,GENERAL ,GENERAL  SERVICES,I.V. FLUID INFUSION / REHYDRATION 1000CC ,محـلــول وريــدي 1000 سي سي,125.0
3112009,GENERAL ,GENERAL  SERVICES,PRE-EMPLOYMENT CHECK UP, فحـص مـا قـبـل الـتـوظـيـف,937.5
3112010,GENERAL ,GENERAL  SERVICES,MEDICAL CHECK-UP PROGRAM 1 DAY , كشف روتيني عام ليوم واحد,2750.0
3112011,GENERAL ,GENERAL  SERVICES,MEDICAL CHECK-UP PROGRAM 2 DAYS , كشف روتيني عام ليومين,4687.5
3112012,GENERAL ,GENERAL  SERVICES,MEDICAL CHECK-UP PROGRAM - CHILDREN, كشف روتيني عام للصغار,1562.5
3112013,GENERAL ,GENERAL  SERVICES,AMBULANCE FEE LESS THAN 50 KMS, أجرة سيارة الإسعاف لمسافة أقل من 50 كم,1000.0
3112014,GENERAL ,GENERAL  SERVICES,AMBULANCE FEE MORE THAN 50 KMS LESS THAN 100 KMS, أجرة سيارة الإسعاف لمسافة أكثرمن 50 كم و أقل من 100 كم,1875.0
3112015,GENERAL ,GENERAL  SERVICES,AMBULANCE FEE MORE THAN 100 KMS LESS THAN 250 KMS, أجرة سيارة الإسعاف لمسافة أكثرمن 100 كم و أقل من 250 كم,3750.0
3112016,GENERAL ,GENERAL  SERVICES,AMBULANCE FEE MORE THAN 250 KMS LESS THAN 500 KMS,أجرة سيارة الإسعاف لمسافة أكثرمن 250 كم و أقل من 500 كم,12500.0
3112017,GENERAL ,GENERAL  SERVICES,AMBULANCE WITH NURSE TO DAMMAM AIRPORT, أجرة سيارة الاسعاف لمطار الدمام مع ممرضة,3125.0
3112018,GENERAL ,GENERAL  SERVICES,GENERAL PRACTITIONER  BY AMBULANCE W/NURSE (DAMMAM), مرافق ( طبيب طوارىء وممرضة ) الدمام,500.0
3112019,GENERAL ,GENERAL  SERVICES,SPECIALIST BY AMBULANCE W/NURSE (DAMMAM), مرافق ( طبيب اخصائى وممرضة ) الدمام,750.0
3112020,GENERAL ,GENERAL  SERVICES,NURSE ESCORT (DAMMAM), مرافق ( ممرضة ) الدمام,437.5
3112021,GENERAL ,GENERAL  SERVICES,NURSE ESCORT TO PHILIPPINES / INDIA, مـرافـق ( ممـرضـه )  الـفـلـبـيــــن,6875.0
3112022,GENERAL ,GENERAL  SERVICES,ORTHOFIX, مثبت للعظام,2250.0
3112023,GENERAL ,GENERAL  SERVICES,ORTHOFIX RENTAL (PER DAY), إيجـار جهـاز مثـبـت العـظــام,68.75
3112024,GENERAL ,GENERAL  SERVICES,MORTUARY RENT PER DAY, أجرة ثلاجة موتى باليوم,500.0
3112025,GENERAL ,GENERAL  SERVICES,DETAILED MEDICAL REPORT, تقرير طبي مفصل,187.5
3112026,GENERAL ,GENERAL  SERVICES,CODE BLUE, ( الاستدعاء للحالات الطارئة ( النداء الأزرق,1500.0
3112027,GENERAL ,GENERAL  SERVICES,BLOOD WARMER, تـدفـئــة الـــدم,187.5
3112028,GENERAL ,GENERAL  SERVICES,MEDICAL ESCORT (MIDDLE EAST), مـرافق طبي - الشرق الأوســط,18750.0
3112029,GENERAL ,GENERAL  SERVICES,MEDICAL ESCORT (EUROPE & INDIA), مـرافق طبي  - أوروبــــا و الـهـنـد,20000.0
3112030,GENERAL ,GENERAL  SERVICES,MEDICAL ESCORT (U.S.A. & FAR EAST), مـرافق طبي - أمريكا و الشرق الأقصى,27500.0
3112031,GENERAL ,GENERAL  SERVICES,DRESSING MAJOR, ضـمـاد كـبـيــــــــر,137.5
3112032,GENERAL ,GENERAL  SERVICES,DRESSING MEDIUM, ضـمــاد وســـــط,93.75
3112033,GENERAL ,GENERAL  SERVICES,DRESSING MINOR, ضـمــا د صـغـيــر,68.75
3112034,GENERAL ,GENERAL  SERVICES,BURN DRESSING MINOR (LESS THAN 5%), ضماد خاص  للحروق أقل من 5% من الجسم,187.5
3112035,GENERAL ,GENERAL  SERVICES,BURN DRESSING MEDIUM (FROM 5% TO 25%), ضماد خاص للحروق من 5%-25% من الجسم,562.5
3112036,GENERAL ,GENERAL  SERVICES,BURN DRESSING MAJOR (MORE THAN 25%), ضماد خاص للحروق أكثر من25% من الجسم,600.0
3112037,GENERAL ,GENERAL  SERVICES,SLING, حمالة أزرع للكسور و الرضوض,75.0
3112038,GENERAL ,GENERAL  SERVICES,ELASTIC BANDAGE, ربـاط ضـاغـط بـلاسـتيـكـي,75.0
3112039,GENERAL ,GENERAL  SERVICES,BANDAGE AC,ربــــــــــاط,87.5
3112040,GENERAL ,GENERAL  SERVICES,NEBULIZER,جـهـاز الـبـخـار ( نـيـبولـيـزر ),75.0
3112041,GENERAL ,GENERAL  SERVICES,STOMACH WASH,غـسـيـل الـمـعـده,525.0
3112042,GENERAL ,GENERAL  SERVICES,ENEMA, حـقـنـه شـرجـيـة,75.0
3112043,GENERAL ,GENERAL  SERVICES,EKG / ECG WITH REPORT,رسـم الـقـلـب مـع تـقـريـر,300.0
3112044,GENERAL ,GENERAL  SERVICES,TREADMILL EXERCISE TEST (STRESS TEST), تريدميل ( رسـم قلب بالـجـهـد ),1200.0
3112045,GENERAL ,GENERAL  SERVICES,ECHO CARDIOGRAM, رسـم قلب بالموجـات فـوق الصوتـيـة ,1125.0
3112046,GENERAL ,GENERAL  SERVICES,DEFIBRILLATOR, صدمه كهربائية لإنعاش القلب,250.0
3112047,GENERAL ,GENERAL  SERVICES,ELECTRONIC MONITORING, جهاز مراقبة القلب الكهربائي,250.0
3112048,GENERAL ,GENERAL  SERVICES,PACE MAKER, منظم ضربــات القلــب,250.0
3112049,GENERAL ,GENERAL  SERVICES,CALORIC TEST WITH ELECTROSTAGMOGRAM, أختبار للسعرات الحرارية بجهاز ستاغمو غرام,750.0
3112050,GENERAL ,GENERAL  SERVICES,EEG (ELECTROENCEPHALOGRAM), رسـم مـخ كـهـربـائـي,1350.0
3112051,GENERAL ,GENERAL  SERVICES,ECT (ELECTRO CONVULSIVE THERAPY), أي . أس . تي جلسات الصدمات الكهربائية,1462.5
3112052,GENERAL ,GENERAL  SERVICES,AMBULATORY BLOOD PRESSURE MONITOR, قياس مستمر لضغط الدم بالإسعاف,600.0
3112053,GENERAL ,GENERAL  SERVICES,IMPEDENCE METER, رسـم قـيـاس الـسـمـع,250.0
3112054,GENERAL ,GENERAL  SERVICES,CHEST DRAINAGE SET, جهاز بـذل الغشاء البلوري للصدر,750.0
3112055,GENERAL ,GENERAL  SERVICES,INTRA-COSTAL DRAINAGE SET, جهاز بذل الغشاء البللوري للصدر خلال الضلوع,1012.5
3112056,GENERAL ,GENERAL  SERVICES,CUTDOWN INFUSION LINE, فتح الوريد جراحياً للتغذية الوريدية,512.5
3112057,GENERAL ,GENERAL  SERVICES,HUMIDIFIER PER DAY, المرطب اليومي,250.0
3112058,GENERAL ,GENERAL  SERVICES,LOCAL INJECTION,حـقـنـة مـوضــعــيــــة,125.0
3112059,GENERAL ,GENERAL  SERVICES,EAR PIERCING, تخزيم الاذنين / تقديح الاذنين,125.0
3112060,GENERAL ,GENERAL  SERVICES,DIAGNOSTIC THORACOCENTESIS, بـذل الجنب التشخيصي,250.0
3112061,GENERAL ,GENERAL  SERVICES,LUMBAR PUNCTURE W/O LABORATORY TEST(S.PUNCTURE), البذل القطني بدون التحليل المخبري,375.0
3112062,GENERAL ,GENERAL  SERVICES,COMEDON EXTRACTION, كوميدون,487.5
3112063,GENERAL ,GENERAL  SERVICES,TUBIGRIP, رباط انوبى مرن,50.0
3112064,GENERAL,GENERAL  SERVICES,HOLTER MONITORING FOR 48 HOURS, جهاز هولتر لمدة 48 ساعة,2100.0
3112065,GENERAL,GENERAL  SERVICES,BLOOD PRESSURE MONITORING 24 HOURS, مراقبة ضغط الدم لمدة 24 ساعة,975.0
3112066,GENERAL,GENERAL  SERVICES,PAEDIATRIC ECHOCARDOGRAPHY, تصوير القلب بالموجات الفوق صوتية للاطفال,2250.0
3112067,GENERAL,GENERAL  SERVICES,DOBUTAMIN ECHO, تصوير القلب بالموجات الصوتية باستخدام الدوبامين,3000.0
3112068,GENERAL,GENERAL  SERVICES,TRANSESOPHAGAL ECHO, تصوير القلب عبر المرىء بالموجات الفوق صوتية,3000.0
3112069,GENERAL,GENERAL  SERVICES,EEG UNDER ANAESTHESIA, رسم مخ كهربائي تحت مخدر,2625.0
3112070,GENERAL ,GENERAL  SERVICES,UMBILICAL DRIP THRU UMBILICAL VEINS FOR NEONATES,   تغذية من الحبل السري,675.0
3112071,GENERAL ,GENERAL  SERVICES,LUMBAR PUNCTURE FOR NEONATES, بـذل نخـاع حديثي الـولادة,375.0
3112072,GENERAL ,GENERAL  SERVICES,SUBDURAL TAP, بـذل تحت الام الجـافيـة,675.0
3112073,GENERAL ,GENERAL  SERVICES,JEJUNAL BIOPSY, أخـذ عينـه من الأمعـاء الدقيقــه,750.0
3112074,GENERAL ,GENERAL  SERVICES,SKIN TEST, أختبار الجلد للحساسية للأطفال حديثي الولادة,750.0
3112075,GENERAL ,GENERAL  SERVICES,PFT & EXERCISE TEST, وظـائف التنفـس مع أختبـار الجهــد,250.0
3112076,GENERAL ,GENERAL  SERVICES,PHOTO THERAPY W/O BLOOD (PER DAY), العـلاج الضوئـي للأطفـال ( باليـوم ),250.0
3112077,GENERAL ,GENERAL  SERVICES,DOUBLE PHOTO THERAPY W/O BLOOD PER DAY, العلاج الضوئى للاطفال ( ثنائى ) بدون الدم فىاليوم,487.5
3112078,GENERAL ,GENERAL  SERVICES,TRIPLE PHOTO THERAPY W/O BLOOD PER DAY, العلاج الضوئى للاطفال ( ثلاثى ) بدون الدم فىاليوم,675.0
3112079,GENERAL ,GENERAL  SERVICES,NASAL SUCTION, شـفـط إفـرازات الأنــــــف,125.0
3112080,GENERAL ,GENERAL  SERVICES,OXYGEN TENT, خـيـمـة أوكـسـجـيـــــن,600.0
3112081,GENERAL ,GENERAL  SERVICES,BONE MARROW ASPIRATION, بذل النخاع,1750.0
3112082,GENERAL ,GENERAL  SERVICES,"BONE MARROW BIOPSY, NEEDLE (INCL. LAB TESTS) ",عينة من النخاع ( مع الفحوص المعملية ),3300.0
3112083,GENERAL ,GENERAL  SERVICES,ABDOMINAL PARACENTHESIS, البذل عن طريق جدار البطن,487.5
3112084,GENERAL,GENERAL  SERVICES,ESOHAGEAL MANOMETRY STUDY,فحص قناة البلعوم,4375.0
3112085,GENERAL,GENERAL  SERVICES,ANORECTAL MANOMETRY STUDY,فحص قناة المستقيم,3125.0
3112086,GENERAL,GENERAL  SERVICES,BIOFEEDBACK / 1 SESSION,جلسة رد فعل بيولوجي,1062.5
3112087,GENERAL,GENERAL  SERVICES,BIOFEEDBACK / 4 SESSIONS,اربع جلسات رد فعل بيولوجي,2500.0
3112088,GENERAL,GENERAL  SERVICES,BONE BIOPSY,  عينه عظـام ,1462.5
3112089,GENERAL,GENERAL  SERVICES,INJECTION BOTOX AS PROPHYLACTIC FOR MIGRAINE,حقن البوتكس لعلاج الصداع النصفي (الشقيقة),1250.0
3112090,GENERAL,GENERAL  SERVICES,INCISION AND DRAINAGE, شـق جراحي مع تنظيف ,187.5
3112091,GENERAL,GENERAL  SERVICES,SUTURING MINOR, خيـاطـة جـروح صغـرى,187.5
3112092,GENERAL,GENERAL  SERVICES,SUTURING MAJOR, خيـاطـة جـروح كـبـرى,375.0
3112093,GENERAL,GENERAL  SERVICES,EXTRACTION OF NAIL & DRESSING, أستئصـال ظـفـر مـع  الضمــاد,250.0
3112094,GENERAL,GENERAL  SERVICES,REMOVAL OF FOREIGN BODY SUPERFICIAL, إزالـة جسم غريـب  (سطحـي ) ,250.0
3112095,GENERAL,GENERAL  SERVICES,REMOVAL OF FOREIGN BODY DEEP W/SCREEN, إزالة جسم غريب عميق تحت التنظير الشعاعي,525.0
3112096,GENERAL,GENERAL  SERVICES,LOCAL ANAESTHESIA SMALL AREA, تخدير موضعي ( مساحة صغيرة ),112.5
3112097,GENERAL,GENERAL  SERVICES,LOCAL ANAESTHESIA LARGE AREA, تخدير موضعي ( مساحة كبيرة ),375.0
3112098,GENERAL,GENERAL  SERVICES,CIRCUMCISION NEW BORN 1 DAY  - 3 MONTHS WITH LAB TESTS,عملية طهارة لعمر يوم -  3 شهور مع التحليل,600.0
3112099,GENERAL,GENERAL  SERVICES,CIRCUMCISION 3 MONTHS - 1 YEAR  WITH LAB TEST,عملية طهارة لعمر3 شهور- سنه مع التحليل,975.0
3112100,GENERAL,GENERAL  SERVICES,CIRCUMCISION 1 YEAR - 10 YEARS WITH LAB TESTS,عملية طهارة لعمر سنه -10 سنوات مع التحليل,1200.0
3112101,GENERAL,GENERAL  SERVICES,CATHETERIZATION, قـسـطـرة بولية,112.5
3112102,GENERAL,GENERAL  SERVICES,FOLLEY CATHETERIZATION, قسطرة فولي,125.0
3112103,GENERAL,GENERAL  SERVICES,PILES TREATMENT BY RUBBER BAND APPLICATOR (PILES/ELASTIC),عملية بواسير بالحلقـات المطاطـيـة,2250.0
3112104,GENERAL,GENERAL  SERVICES,SCROTTAL SUPPORT , سـانـد للخصـيـتـيـن,112.5
3112105,GENERAL,GENERAL  SERVICES,TRU CUT BIOPSY, أستئصال عينة بإستخدام إبرة اتوماتيكية,2250.0
3112106,GENERAL,GENERAL  SERVICES,INCISION & DRAINAGE OF SMALL ABSCESS, فتح خراج صغير تحت مخدر موضعي,312.5
3112107,GENERAL,GENERAL  SERVICES,INCISION & DRAINAGE OF BIG ABSCESS, فتح خراج كبير تحت مخدر موضعي,625.0
3112108,GENERAL,GENERAL  SERVICES,EXTRACTION OF INGROWING TOE NAIL, أستخراج مسمار في اللحم من أصبع القدم,625.0
3112109,GENERAL,GENERAL  SERVICES,EXCISION OF SIMPLE OR SMALL LIPOMA UNDER L.A.,أزالة كيس دهني صغير تحت تخذير موضعي,2700.0
3112110,GENERAL,GENERAL  SERVICES,MULTIFIRE GIA STAPLER, جهاز خياطة بالتدبيس,1650.0
3112111,GENERAL,GENERAL  SERVICES,WOUND CARE DRESSING SIMPLE / PEDIA,غيار جراحي متقدم بسيط ,125.0
3112112,GENERAL,GENERAL  SERVICES,WOUND CARE DRESSING MEDIUM / PEDIA,غيار جراحي متقدم متوسط,250.0
3112113,GENERAL,GENERAL  SERVICES,WOUND CARE DRESSING COMPLEX COMPLICATED / PEDIA,غيار جراحي متقدم معقد ,375.0
