Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
18,1112018,CONSULTATION,CONSULTATION,DERMATOLOGY CONSULTATION,,170,FLAT RATE
22,1112022,CONSULTATION,CONSULTATION,ENDOCRINOLOGY CONSULTATION,,170,FLAT RATE
23,1112023,CONSULTATION,CONSULTATION,ENT SPECIALIST CONSULTATION,,170,FLAT RATE
25,1112025,CONSULTATION,CONSULTATION,FOLLOW UP (IVF) WITHIN 7 DAYS,,170,FLAT RATE
28,1112028,CONSULTATION,CONSULTATION,GASTROENTEROLOGY CONSULTATION ,,170,FLAT RATE
29,1112029,CONSULTATION,CONSULTATION,GYNAECOLOGY CONSULTATION,,170,FLAT RATE
30,1112030,CONSULTATION,CONSULTATION,INPATIENT VISIT - NEURO SURGEON,,170,FLAT RATE
31,1112031,CONSULTATION,CONSULTATION,INTERNAL MEDICINE CONSULTATION,,170,FLAT RATE
32,1112032,CONSULTATION,CONSULTATION,INTERVENTIONAL RADIOLOGY CONSULTATION,,170,FLAT RATE
33,1112033,CONSULTATION,CONSULTATION,IVF CONSULTATION,,170,FLAT RATE
34,1112034,CONSULTATION,CONSULTATION,IVF CONSULTATION FOLLOW UP VISIT,,170,FLAT RATE
35,1112035,CONSULTATION,CONSULTATION,NEPHROLOGY CONSULTATION,,170,FLAT RATE
36,1112036,CONSULTATION,CONSULTATION,NEURO SURGERY CONSULTATION,,170,FLAT RATE
37,1112037,CONSULTATION,CONSULTATION,NEUROLOGY CONSULTATION,,170,FLAT RATE
38,1112038,CONSULTATION,CONSULTATION,ONCOLOGY CONSULTATION,,170,FLAT RATE
39,1112039,CONSULTATION,CONSULTATION,OPHTHALMOLOGY CONSULTATION,,170,FLAT RATE
40,1112040,CONSULTATION,CONSULTATION,ORTHODONTIST CONSULTATION,,170,FLAT RATE
41,1112041,CONSULTATION,CONSULTATION,ORTHOPAEDIC CONSULTATION,,170,FLAT RATE
44,1112044,CONSULTATION,CONSULTATION,PAEDIATRIC CONSULTATION,,170,FLAT RATE
45,1112045,CONSULTATION,CONSULTATION,PEDIATRIC CARDIOLOGY CONSULTATION,,170,FLAT RATE
46,1112046,CONSULTATION,CONSULTATION,PEDIATRIC SURGERY CONSULTATION,,170,FLAT RATE
47,1112047,CONSULTATION,CONSULTATION,PSYCHIATRIC CONSULTATION,,170,FLAT RATE
48,1112048,CONSULTATION,CONSULTATION,PSYCHIATRIC FOLLOW-UP (WITHIN 7 DAYS),,170,FLAT RATE
49,1112049,CONSULTATION,CONSULTATION,PSYCHO THERAPY (PER SESSION),,170,FLAT RATE
50,1112050,CONSULTATION,CONSULTATION,RHEUMATOLOGY  CONSULTATION,,170,FLAT RATE
51,1112051,CONSULTATION,CONSULTATION,SURGERY CONSULTATION,,170,FLAT RATE
52,1112052,CONSULTATION,CONSULTATION,UROLOGY CONSULTATION,,170,FLAT RATE
56,1112058,CONSULTATION,CONSULTATION,CONSULTATION FOR OPD SERVICES,,170,FLAT RATE
785,2182001,NEPHROLOGY,HAEMODIALYSIS,HAEMODIALYSIS FIRST SESSIONS ,,1200,FLAT RATE
786,2182002,NEPHROLOGY,HAEMODIALYSIS,HAEMODIALYSIS REGULER SESSION,,1000,FLAT RATE
1068,8123001,RADIOLOGY,MRI,MRI WITHOUT CONTRAST ,,1300,FLAT RATE
1069,8123002,RADIOLOGY,MRI,MRI ADDITIONAL ORGAN,,1300,FLAT RATE
1070,8123003,RADIOLOGY,MRI,MRI WITH CONTRAST ,,1300,FLAT RATE
1071,8123004,RADIOLOGY,MRI,MRI PELVIMETRY,,1300,FLAT RATE
1072,8123005,RADIOLOGY,MRI,CONTRAST ONLY FOR MRI / CT SCAN ,,0,FLAT RATE
1074,8123007,RADIOLOGY,MRI,MRI SPECTROMETRY,,1300,FLAT RATE
1075,8123008,RADIOLOGY,MRI,MRI UROGRAPHY,,1300,FLAT RATE
1076,8123009,RADIOLOGY,MRI,MRI CHOLANGIOGRAPHY / GALL BLADDER,,1300,FLAT RATE
1079,8123012,RADIOLOGY,MRI,MRI ARTHROGRAPHY WITH CONTRAST,,1300,FLAT RATE
1080,8123013,RADIOLOGY,MRI,MRI OF THE PITUITARY GLAND WITH CONTRAST,,1300,FLAT RATE
1081,8123014,RADIOLOGY,MRI,MRI OF TMJ,,1300,FLAT RATE
1082,8123015,RADIOLOGY,MRI,MRI BRAIN,,1300,FLAT RATE
1083,8123016,RADIOLOGY,MRI,MRI BRAIN WITH CONTRAST,,1300,FLAT RATE
1084,8123017,RADIOLOGY,MRI,MRI NECK WITH CONTRAST,,1300,FLAT RATE
1085,8123018,RADIOLOGY,MRI,MRI NECK ,,1300,FLAT RATE
1086,8123019,RADIOLOGY,MRI,MRI ORBIT WITH CONTRAST,,1300,FLAT RATE
1087,8123020,RADIOLOGY,MRI,MRI ORBIT ,,1300,FLAT RATE
1088,8123021,RADIOLOGY,MRI,MRI CHEST WITH CONTRAST,,1300,FLAT RATE
1089,8123022,RADIOLOGY,MRI,MRI CHEST ,,1300,FLAT RATE
1090,8123023,RADIOLOGY,MRI,MRI ABDOMEN WITH CONTRAST,,1300,FLAT RATE
1091,8123024,RADIOLOGY,MRI,MRI ABDOMEN ,,1300,FLAT RATE
1092,8123025,RADIOLOGY,MRI,MRI PLEVIS WITH CONTRAST,,1300,FLAT RATE
1093,8123026,RADIOLOGY,MRI,MRI PELVIS ,,1300,FLAT RATE
1094,8123027,RADIOLOGY,MRI,MRI SHOULDER WITH CONTRAST,,1300,FLAT RATE
1095,8123028,RADIOLOGY,MRI,MRI SHOULDER,,1300,FLAT RATE
1096,8123029,RADIOLOGY,MRI,MRI ELBOW WITH CONTRAST,,1300,FLAT RATE
1097,8123030,RADIOLOGY,MRI,MRI ELBOW ,,1300,FLAT RATE
1098,8123031,RADIOLOGY,MRI,MRI WRIST/HAND WITH CONTRAST,,1300,FLAT RATE
1099,8123032,RADIOLOGY,MRI,MRI WRIST/HAND ,,1300,FLAT RATE
1100,8123033,RADIOLOGY,MRI,MRI KNEE WITH CONTRAST,,1300,FLAT RATE
1101,8123034,RADIOLOGY,MRI,MRI KNEE ,,1300,FLAT RATE
1102,8123035,RADIOLOGY,MRI,MRI ANKLE/FOOT WITH CONTRAST,,1300,FLAT RATE
1103,8123036,RADIOLOGY,MRI,MRI ANKLE/FOOT ,,1300,FLAT RATE
1104,8123037,RADIOLOGY,MRI,MRI C. SPINE WITH CONTRAST,,1300,FLAT RATE
1105,8123038,RADIOLOGY,MRI,MRI C. SPINE,,1300,FLAT RATE
1106,8123039,RADIOLOGY,MRI,MRI DORSAL SPINE WITH CONTRAST,,1300,FLAT RATE
1107,8123040,RADIOLOGY,MRI,MRI DORSAL SPINE,,1300,FLAT RATE
1108,8123041,RADIOLOGY,MRI,MRI LUMBER SPINE WITH CONTRAST,,1300,FLAT RATE
1109,8123042,RADIOLOGY,MRI,MRI LUMBER SPINE ,,1300,FLAT RATE
1110,8123043,RADIOLOGY,MRI,MRI BRACHIAL PLEXUS,,1300,FLAT RATE
1111,8123044,RADIOLOGY,MRI,MRI BREAST WITH CONTRAST,,1300,FLAT RATE
1112,8123045,RADIOLOGY,MRI,MRI BREAST ,,1300,FLAT RATE
1127,8123060,RADIOLOGY,MRI,MRI ARM ,,1300,FLAT RATE
1128,8123061,RADIOLOGY,MRI,MRI FOREARM WITH CONTRAST,,1300,FLAT RATE
1129,8123062,RADIOLOGY,MRI,MRI FOREARM ,,1300,FLAT RATE
1130,8123063,RADIOLOGY,MRI,MRI HIP JOINT WITH CONTRAST,,1300,FLAT RATE
1131,8123064,RADIOLOGY,MRI,MRI HIP JOINT ,,1300,FLAT RATE
1132,8123065,RADIOLOGY,MRI,MRI FEMUR WITH CONTRAST,,1300,FLAT RATE
1133,8123066,RADIOLOGY,MRI,MRI FEMUR,,1300,FLAT RATE
1134,8123067,RADIOLOGY,MRI,MRI LEG WITH CONTRAST,,1300,FLAT RATE
1135,8123068,RADIOLOGY,MRI,MRI LEG  ,,1300,FLAT RATE
1136,8123069,RADIOLOGY,MRI,MRI SACRO ILIAC JOINT,,1300,FLAT RATE
1137,8123070,RADIOLOGY,MRI,MRI CARDIAC,,1300,FLAT RATE
1141,8124001,RADIOLOGY,CT SCAN ,CT SCAN ,,900,FLAT RATE
1142,8124002,RADIOLOGY,CT SCAN ,CT SCAN ADDITIONAL ORGAN,,900,FLAT RATE
1143,8124003,RADIOLOGY,CT SCAN ,CT SCAN WITH CONTRAST,,900,FLAT RATE
1144,8124004,RADIOLOGY / INTERVENATIONAL,CT SCAN ,CT SCAN GUIDED BIOPSY,,900,FLAT RATE
1145,8124005,RADIOLOGY,CT SCAN ,CT SCAN PELVIMETRY,,900,FLAT RATE
1146,8124006,RADIOLOGY,CT SCAN ,CT SCAN FOR MEASURING THE LIMBS,,900,FLAT RATE
1147,8124007,RADIOLOGY,CT SCAN ,CT SCAN KUB,,900,FLAT RATE
1149,8124009,RADIOLOGY,CT SCAN ,CT BRAIN PERFUSION STUDIES WITH CONTRAST,,900,FLAT RATE
1150,8124010,RADIOLOGY,CT SCAN ,CT VIRTUAL COLONOGRAPHY & POLYP DETECTION WITH CONTRAST,,900,FLAT RATE
1151,8124011,RADIOLOGY,CT SCAN ,CT VIRTUAL BRONCHOSCOPY WITH CONTRAST,,900,FLAT RATE
1155,8124015,RADIOLOGY,CT SCAN ,CT SIALOGRAM WITH CONTRAST ,,900,FLAT RATE
1157,8124017,RADIOLOGY,CT SCAN ,CT HEAD/BRAIN ,,900,FLAT RATE
1158,8124018,RADIOLOGY,CT SCAN ,CT HEAD/BRAIN WITH CONTRAST,,900,FLAT RATE
1159,8124019,RADIOLOGY,CT SCAN ,CT NECK WITH CONTRAST,,900,FLAT RATE
1160,8124020,RADIOLOGY,CT SCAN ,CT NECK ,,900,FLAT RATE
1164,8124024,RADIOLOGY,CT SCAN ,CT ABDOMEN & PELVIS,,900,FLAT RATE
1165,8124025,RADIOLOGY,CT SCAN ,CT CHEST WITH CONTRAST,,900,FLAT RATE
1166,8124026,RADIOLOGY,CT SCAN ,CT CHEST ,,900,FLAT RATE
1167,8124027,RADIOLOGY,CT SCAN ,CT ABDOMEN WITH CONTRAST,,900,FLAT RATE
1168,8124028,RADIOLOGY,CT SCAN ,CT ABDOMEN ,,900,FLAT RATE
1169,8124029,RADIOLOGY,CT SCAN ,CT PLEVIS WITH CONTRAST,,900,FLAT RATE
1170,8124030,RADIOLOGY,CT SCAN ,CT PELVIS ,,900,FLAT RATE
1171,8124031,RADIOLOGY,CT SCAN ,CT SHOULDER OR HUMERUS OR ELBOW WITH CONTRAST ,,900,FLAT RATE
1172,8124032,RADIOLOGY,CT SCAN ,CT SHOULDER OR HUMERUS OR ELBOW  ,,900,FLAT RATE
1173,8124033,RADIOLOGY,CT SCAN ,CT FOREARM OR WRIST OR HAND WITH CONTRAST ,,900,FLAT RATE
1174,8124034,RADIOLOGY,CT SCAN ,CT FOREARM OR WRIST OR HAND ,,900,FLAT RATE
1175,8124035,RADIOLOGY,CT SCAN ,CT HIP OR FEMUR OR KNEE WITH CONTRAST,,900,FLAT RATE
1176,8124036,RADIOLOGY,CT SCAN ,CT HIP OR FEMUR OR KNEE ,,900,FLAT RATE
1177,8124037,RADIOLOGY,CT SCAN ,CT LEG OR ANKLE OR FOOT WITH CONRAST,,900,FLAT RATE
1178,8124038,RADIOLOGY,CT SCAN ,CT LEG OR ANKLE OR FOOT,,900,FLAT RATE
1179,8124039,RADIOLOGY,CT SCAN ,CT FACIAL BONE WITH CONTRAST,,900,FLAT RATE
1180,8124040,RADIOLOGY,CT SCAN ,CT FACIAL BONE ,,900,FLAT RATE
1181,8124041,RADIOLOGY,CT SCAN ,CT C. SPINE ,,900,FLAT RATE
1182,8124042,RADIOLOGY,CT SCAN ,CT DORSAL SPINE,,900,FLAT RATE
1183,8124043,RADIOLOGY,CT SCAN ,CT LUMBER SPINE,,900,FLAT RATE
1186,8124046,RADIOLOGY,CT SCAN ,CT PITUITARY GLAND WITH CONTRAST,,900,FLAT RATE
1187,8124047,RADIOLOGY,CT SCAN ,CT ORBIT WITH CONTRAST,,900,FLAT RATE
1188,8124048,RADIOLOGY,CT SCAN ,CT ORBIT  ,,900,FLAT RATE
1189,8124049,RADIOLOGY,CT SCAN ,CT PNS WITH CONTRAST,,900,FLAT RATE
1190,8124050,RADIOLOGY,CT SCAN ,CT PNS ,,900,FLAT RATE
1204,8124064,RADIOLOGY,CT SCAN ,CT TEMPORAL BONE,,900,FLAT RATE
1205,8124065,RADIOLOGY,CT SCAN ,CT TEMPORAL BONE WITH CONTRAST,,900,FLAT RATE
81,2014051,GENERAL SURG.,FINE MAJOR SURG,PRE-OPERATIVE INVESTIGATION,,400,FLAT RATE
24,1112024,CONSULTATION,CONSULTATION,FAMILY THERAPY ,,712.5,
26,1112026,CONSULTATION,CONSULTATION,FOLLOW-UP CONSULTATION (WITHIN 14 DAYS),,0,
27,1112027,CONSULTATION,CONSULTATION,FREE FOLLOW UP ( DENTAL ),,0,
42,1112042,CONSULTATION,CONSULTATION,OUTSIDE CONSULTATION CONSULTANT,,475,
43,1112043,CONSULTATION,CONSULTATION,OUTSIDE CONSULTATION SPECIALIST,,332.5,
53,1112053,CONSULTATION,CONSULTATION,CONSULTANT OR SPECIALIST CALL BY NAME FOR DELIVERY REQUESTED BY THE PATIENT,,950,
54,2112001,ROOM & BOARD,ACCOMODATION,ACCOMODATION / SUITE PER DAY (BED ONLY),,1140,
55,2112002,ROOM & BOARD,ACCOMODATION,ACCOMODATION / PRIVATE PER DAY (BED ONLY),,380,
56,2112003,ROOM & BOARD,ACCOMODATION,ACCOMODATION / SEMI-PRIVATE PER DAY (BED ONLY),,266,
57,2112004,ROOM & BOARD,ACCOMODATION,ACCOMODATION / PAEDIATRIC WARD (BED ONLY),,266,
58,2112005,ROOM & BOARD,ACCOMODATION,ACCOMODATION / INFANT INCUBATOR (BED ONLY),,266,
59,2112006,ROOM & BOARD,ACCOMODATION,ACCOMODATION / NURSERY (BED ONLY),,190,
60,2112007,ROOM & BOARD,ACCOMODATION,ACCOMODATION / INTENSIVE CARE UNIT (ICU) (BED ONLY),,1520,
61,2112008,ROOM & BOARD,ACCOMODATION,ACCOMODATION / SUITE ROOM ICU PER DAY (BED ONLY),,2660,
62,2112009,ROOM & BOARD,ACCOMODATION,CACCOMODATION / CARDIAC CARE UNIT (CCU) (BED ONLY),,1520,
63,2112010,ROOM & BOARD,ACCOMODATION,ACCOMODATION / PEDIATRIC ICU (PICU) (BED ONLY),,1520,
64,2112011,ROOM & BOARD,ACCOMODATION,ACCOMODATION / NICU - PER DAY  (BED ONLY),,1520,
65,2112012,ROOM & BOARD,ACCOMODATION,ACCOMODATION / NICU INTERMEDIATE CARE (CRIB) (BED ONLY),,760,
66,2112013,ROOM & BOARD,ACCOMODATION,ACCOMODATION / NICU - ISOLATION PER DAY (BED ONLY),,1520,
67,2112014,ROOM & BOARD,ACCOMODATION,ACCOMODATION / ISOLATION ROOM / ADULT (BED ONLY),,380,
68,2112015,ROOM & BOARD,ACCOMODATION,HEAD OXYGEN BOX (NEO-NATAL CARE),,123.5,
69,2112016,ROOM & BOARD,ACCOMODATION,ROOM DIFFERENCE (SEMI PVT - PVT),,114,
70,2112017,ROOM & BOARD,ACCOMODATION,ROOM DIFFERENCE (SEMI PVT - SUITE),,874,
71,2112018,ROOM & BOARD,ACCOMODATION,ROOM DIFFERENCE (PVT - SUITE),,760,
72,2112019,ROOM & BOARD,ACCOMODATION,NURSING CARE / WARD PER DAY ,,142.5,
73,2112020,ROOM & BOARD,ACCOMODATION,NURSING CARE / ICU PER DAY ,,237.5,
74,2112021,ROOM & BOARD,ACCOMODATION,SPECIAL NURSE 24 HOURS,,760,
75,2112022,ROOM & BOARD,ACCOMODATION,NURSE AIDE 24 HRS,,475,
76,2112023,ROOM & BOARD,ACCOMODATION,COMPANION CHARGES WITH ADULT PER DAY ,,190,
77,2112024,ROOM & BOARD,ACCOMODATION,COMPANION CHARGES WITH CHILD PER DAY ,,142.5,
78,2112025,ROOM & BOARD,ACCOMODATION,DISPOSABLES WARD,,148.4375,
79,2112026,ROOM & BOARD,ACCOMODATION,DISPOSABLES I.C.U.,,285,
80,2112027,ROOM & BOARD,ACCOMODATION,DISPOSABLES  NICU,,285,
81,2112028,ROOM & BOARD,ACCOMODATION,ISOLATION DISPOSABLES PER DAY ,,380,
82,2112029,ROOM & BOARD,ACCOMODATION,EXTRA LUNCH/DINNER TRAY,,38,
83,2112030,ROOM & BOARD,ACCOMODATION,TELEPHONE CHARGES ,,0,
84,3112001,GENERAL ,GENERAL  SERVICES,EMERGENCY ROOM FEES FOR OBSERVATION (1-3 HOURS),,190,
85,3112002,GENERAL ,GENERAL  SERVICES,OBSERVATION ROOM ER 3- 6 HOUR,,142.5,
86,3112003,GENERAL ,GENERAL  SERVICES,OBSERVATION ROOM ER MORE THAN 6 HOUR,,190,
87,3112004,GENERAL ,GENERAL  SERVICES,I.M. / S.C. INJECTION,,14.25,
88,3112005,GENERAL ,GENERAL  SERVICES,I.V. INJECTION,,23.75,
89,3112006,GENERAL ,GENERAL  SERVICES,I.V. FLUID INFUSION / REHYDRATION 250CC I.V.,,38,
90,3112007,GENERAL ,GENERAL  SERVICES,I.V. FLUID INFUSION / REHYDRATION 500CC I.V. ,,57,
91,3112008,GENERAL ,GENERAL  SERVICES,I.V. FLUID INFUSION / REHYDRATION 1000CC ,,80.75,
92,3112009,GENERAL ,GENERAL  SERVICES,PRE-EMPLOYMENT CHECK UP,,332.5,
93,3112010,GENERAL ,GENERAL  SERVICES,MEDICAL CHECK-UP PROGRAM 1 DAY ,,950,
94,3112011,GENERAL ,GENERAL  SERVICES,MEDICAL CHECK-UP PROGRAM 2 DAYS ,,2612.5,
95,3112012,GENERAL ,GENERAL  SERVICES,MEDICAL CHECK-UP PROGRAM - CHILDREN,,712.5,
96,3112013,GENERAL ,GENERAL  SERVICES,AMBULANCE FEE LESS THAN 50 KMS,,380,
97,3112014,GENERAL ,GENERAL  SERVICES,AMBULANCE FEE MORE THAN 50 KMS LESS THAN 100 KMS,,712.5,
98,3112015,GENERAL ,GENERAL  SERVICES,AMBULANCE FEE MORE THAN 100 KMS LESS THAN 250 KMS,,1425,
99,3112016,GENERAL ,GENERAL  SERVICES,AMBULANCE FEE MORE THAN 250 KMS LESS THAN 500 KMS,,5700,
100,3112017,GENERAL ,GENERAL  SERVICES,AMBULANCE WITH NURSE TO DAMMAM AIRPORT,,950,
101,3112018,GENERAL ,GENERAL  SERVICES,GENERAL PRACTITIONER  BY AMBULANCE W/NURSE (DAMMAM),,285,
102,3112019,GENERAL ,GENERAL  SERVICES,SPECIALIST BY AMBULANCE W/NURSE (DAMMAM),,380,
103,3112020,GENERAL ,GENERAL  SERVICES,NURSE ESCORT (DAMMAM),,190,
104,3112021,GENERAL ,GENERAL  SERVICES,NURSE ESCORT TO PHILIPPINES / INDIA,,3325,
105,3112022,GENERAL ,GENERAL  SERVICES,ORTHOFIX,,1140,
106,3112023,GENERAL ,GENERAL  SERVICES,ORTHOFIX RENTAL (PER DAY),,33.25,
107,3112024,GENERAL ,GENERAL  SERVICES,MORTUARY RENT PER DAY,,285,
108,3112025,GENERAL ,GENERAL  SERVICES,MEDICAL REPORT,,95,
109,3112026,GENERAL ,GENERAL  SERVICES,CODE BLUE,,760,
110,3112027,GENERAL ,GENERAL  SERVICES,BLOOD WARMER,,95,
111,3112028,GENERAL ,GENERAL  SERVICES,MEDICAL ESCORT (MIDDLE EAST),,9500,
112,3112029,GENERAL ,GENERAL  SERVICES,MEDICAL ESCORT (EUROPE & INDIA),,11400,
113,3112030,GENERAL ,GENERAL  SERVICES,MEDICAL ESCORT (U.S.A. & FAR EAST),,17100,
114,3112031,GENERAL ,GENERAL  SERVICES,DRESSING MAJOR,,85.5,
115,3112032,GENERAL ,GENERAL  SERVICES,DRESSING MEDIUM,,61.75,
116,3112033,GENERAL ,GENERAL  SERVICES,DRESSING MINOR,,42.75,
117,3112034,GENERAL ,GENERAL  SERVICES,BURN DRESSING MINOR (LESS THAN 5%),,118.75,
118,3112035,GENERAL ,GENERAL  SERVICES,BURN DRESSING MEDIUM (FROM 5% TO 25%),,356.25,
119,3112036,GENERAL ,GENERAL  SERVICES,BURN DRESSING MAJOR (MORE THAN 25%),,380,
120,3112037,GENERAL ,GENERAL  SERVICES,SLING,,47.5,
121,3112038,GENERAL ,GENERAL  SERVICES,ELASTIC BANDAGE,,47.5,
122,3112039,GENERAL ,GENERAL  SERVICES,BANDAGE AC,,57,
123,3112040,GENERAL ,GENERAL  SERVICES,NEBULIZER,,47.5,
124,3112041,GENERAL ,GENERAL  SERVICES,STOMACH WASH,,332.5,
125,3112042,GENERAL ,GENERAL  SERVICES,ENEMA,,47.5,
126,3112043,GENERAL ,GENERAL  SERVICES,E.K.G. / E.C.G. WITH REPORT,,190,
127,3112044,GENERAL ,GENERAL  SERVICES,TREADMILL EXERCISE TEST (STRESS TEST),,760,
128,3112045,GENERAL ,GENERAL  SERVICES,ECHO CARDIOGRAM,,712.5,
129,3112046,GENERAL ,GENERAL  SERVICES,DEFIBRILLATOR,,161.5,
130,3112047,GENERAL ,GENERAL  SERVICES,ELECTRONIC MONITORING,,161.5,
131,3112048,GENERAL ,GENERAL  SERVICES,PACE MAKER,,161.5,
132,3112049,GENERAL ,GENERAL  SERVICES,CALORIC TEST WITH ELECTROSTAGMOGRAM,,475,
133,3112050,GENERAL ,GENERAL  SERVICES,E.E.G.,,855,
134,3112051,GENERAL ,GENERAL  SERVICES,E.C.T. (ELECTRO CONVULSIVE THERAPY),,926.25,
135,3112052,GENERAL ,GENERAL  SERVICES,AMBULATORY BLOOD PRESSURE MONITOR,,380,
136,3112053,GENERAL ,GENERAL  SERVICES,IMPEDENCE METER,,161.5,
137,3112054,GENERAL ,GENERAL  SERVICES,CHEST DRAINAGE SET,,475,
138,3112055,GENERAL ,GENERAL  SERVICES,INTRA-COSTAL DRAINAGE SET,,641.25,
139,3112056,GENERAL ,GENERAL  SERVICES,CUTDOWN INFUSION LINE,,323,
140,3112057,GENERAL ,GENERAL  SERVICES,HUMIDIFIER PER DAY,,161.5,
141,3112058,GENERAL ,GENERAL  SERVICES,LOCAL INJECTION,,80.75,
142,3112059,GENERAL ,GENERAL  SERVICES,EAR PIERCING,,80.75,
143,3112060,GENERAL ,GENERAL  SERVICES,DIAGNOSTIC THORACOCENTESIS,,161.5,
144,3112061,GENERAL ,GENERAL  SERVICES,LUMBAR PUNCTURE W/O LABORATORY TEST(S.PUNCTURE),,237.5,
145,3112062,GENERAL ,GENERAL  SERVICES,COMEDON EXTRACTION,,308.75,
146,3112063,GENERAL ,GENERAL  SERVICES,TUBIGRIP,,33.25,
147,3112064,GENERAL,GENERAL  SERVICES,HOLTER MONITORING FOR 48 HOURS,,1330,
148,3112065,GENERAL,GENERAL  SERVICES,BLOOD PRESSURE MONITORING 24 HOURS,,617.5,
149,3112066,GENERAL,GENERAL  SERVICES,PAEDIATRIC ECHOCARDOGRAPHY,,1425,
150,3112067,GENERAL,GENERAL  SERVICES,DOBUTAMIN ECHO,,1900,
151,3112068,GENERAL,GENERAL  SERVICES,TRANSESOPHAGAL ECHO,,1900,
152,3112069,GENERAL,GENERAL  SERVICES,EEG UNDER ANAESTHESIA,,1662.5,
153,3112070,GENERAL ,GENERAL  SERVICES,UMBILICAL DRIP THRU UMBILICAL VEINS FOR NEONATES,,427.5,
154,3112071,GENERAL ,GENERAL  SERVICES,LUMBAR PUNCTURE FOR NEONATES,,237.5,
155,3112072,GENERAL ,GENERAL  SERVICES,SUBDURAL TAP,,427.5,
156,3112073,GENERAL ,GENERAL  SERVICES,JEJUNAL BIOPSY,,475,
157,3112074,GENERAL ,GENERAL  SERVICES,SKIN TEST,,475,
158,3112075,GENERAL ,GENERAL  SERVICES,P.F.T. & EXERCISE TEST,,161.5,
159,3112076,GENERAL ,GENERAL  SERVICES,PHOTO THERAPY W/O BLOOD (PER DAY),,161.5,
160,3112077,GENERAL ,GENERAL  SERVICES,DOUBLE PHOTO THERAPY W/O BLOOD PER DAY,,308.75,
161,3112078,GENERAL ,GENERAL  SERVICES,TRIPLE PHOTO THERAPY W/O BLOOD PER DAY,,427.5,
162,3112079,GENERAL ,GENERAL  SERVICES,NASAL SUCTION,,80.75,
163,3112080,GENERAL ,GENERAL  SERVICES,OXYGEN TENT,,380,
164,3112081,GENERAL ,GENERAL  SERVICES,BONE MARROW ASPIRATION,,1111.5,
165,3112082,GENERAL ,GENERAL  SERVICES,"BONE MARROW BIOPSY, NEEDLE (INCL. LAB TESTS) ",,2090,
166,3112083,GENERAL ,GENERAL  SERVICES,ABDOMINAL PARACENTHESIS,,308.75,
167,3112084,GENERAL,GENERAL  SERVICES,ESOHAGEAL MANOMETRY STUDY,,3325,
168,3112085,GENERAL,GENERAL  SERVICES,ANORECTAL MANOMETRY STUDY,,2375,
169,3112086,GENERAL,GENERAL  SERVICES,BIOFEEDBACK / 1 SESSION,,807.5,
170,3112087,GENERAL,GENERAL  SERVICES,BIOFEEDBACK / 4 SESSIONS,,1900,
171,3112088,GENERAL,GENERAL  SERVICES,BONE BIOPSY,,1111.5,
172,3112089,GENERAL,GENERAL  SERVICES,INJECTION BOTOX AS PROPHYLACTIC FOR MIGRAINE,,950,
