Service Code;Service Description;Service Type;SBS;"Gross Price Applicable Effective
01. Jan.2026 to 31. Dec.2026 (SR )";"Gross Price Applicable Effective 01.
Jan.2027 to 31. Dec.2027 (SR )";"Gross Price Applicable Effective 01. Jan.2028 (SR )
Onward";Service Discount
ICU99;MOHAMMED KHALID;CO;83600-00-20;175;185;190;0
IM01;MOHAMED ABDELRAHIM;CO;83600-00-20;175;185;190;0
IM02;MOHAMAD HOSAM ELDEIN;CO;83600-00-20;175;185;190;0
IM03;IBRAHIM QAED MOHAMMED;CO;83600-00-20;175;185;190;0
IM03C;NADIA ELSAYED AHMED ELBAGORY;CO;83600-00-20;175;185;190;0
IM04;MOHAMED ELEGIZI MOHAMED MOUSTAFA;CO;83600-00-10;175;185;190;0
IM05;ABDELGHANI ELAYED ABED;CO;83600-00-20;175;185;190;0
IM06;MANAL BADR FATHALAA;CO;83600-00-20;175;185;190;0
IM07;MANAL AHMED ALSAGGAF;CO;83600-00-20;175;185;190;0
IM09;ABDULAZIZ HASHEM AHMED HEMATOLOGY;CO;83600-00-20;175;185;190;0
IM11;EHAB WAHDAN ALI ELSAYYAD;CO;83600-00-20;175;185;190;0
IM12;NARGES EZEDDIN OMRAN;CO;83600-00-20;175;185;190;0
IM13;AHMED MEKHAMAR HASSANEN;CO;83600-00-20;175;185;190;0
IM15;BANDAR KHALID DAMANHORI;CO;83600-00-20;175;185;190;0
IM16;MOHAMMED SAEED KHAN;CO;83600-00-20;175;185;190;0
IM17;AMAR MOHAMMAD ALKHOTANI;CO;83600-00-20;175;185;190;0
IM19;TAIBAH WAHDI;CO;83600-00-20;175;185;190;0
IM20;MANHAL NABEEL REDWAN;CO;83600-00-20;175;185;190;0
IM21;MASHAEL MOBARAK ALHILABI;CO;83600-00-20;175;185;190;0
IM22;DEYAA ABDULAZIZ MUKHTAR;CO;83600-00-20;175;185;190;0
IM25;AHMED MANSOUR ALDOBYANI;CO;83600-00-20;175;185;190;0
IM26;NISREEN HAMZA ABDALLA AL;CO;83600-00-20;175;185;190;0
IM29;ADEEB HASHIM A MUNSHI;CO;83600-00-20;175;185;190;0
IM31;ALHASAN ALI M BAJAWI;CO;83600-00-20;175;185;190;0
IM32;ALI AHMED A ALMONTASHERI;CO;83600-00-20;175;185;190;0
IM33;ABDULLAH MARZOUQ M ALHARBI;CO;83600-00-20;175;185;190;0
IM45;HOMID HAMD ALSAHAFI;CO;83600-00-20;175;185;190;0
IM70;MOHAMMED HASSAN SHABRAWISHI;CO;83600-00-20;175;185;190;0
IMC8;AMIR IBRAHIM ALI;CO;83600-00-20;175;185;190;0
INT10;MISHAL FAISAL KAREEMAH;CO;83600-00-20;175;185;190;0
IT12;TEST DOCTOR IT;CO;83600-00-20;175;185;190;0
LAS01;LASER CLINIC;CO;83600-00-20;175;185;190;0
LAS02;LASER CLARITY 2;CO;83600-00-20;175;185;190;0
LB10;EMAN GAMAL GOMAA ABDELMONIEM;CO;83600-00-20;175;185;190;0
LB12;AMANY MAMDOUH ABBASS ABDELAZIZ;CO;83600-00-20;175;185;190;0
MEGA;YOUSEF IBRAHIM YOUSEF;CO;83600-00-20;175;185;190;0
NB01;IBRAHIM AMJA KUTBI;CO;83600-00-20;175;185;190;0
NEP15;WAEL ABDELAZIZ BAMATRAF;CO;83600-00-20;175;185;190;0
NEP16;WALAA ANWAR FELEMBAN;CO;83600-00-10;175;185;190;0
NEU01;ABDULLAH AHMAD TAWAKUL;CO;83600-00-20;175;185;190;0
NEU02;NAIF EDAH ALOMAIRI;CO;83600-00-20;175;185;190;0
NEU04;OMAR AHMED ALGHAMDI;CO;83600-00-20;175;185;190;0
NEU05;ZIAD EZZAT ALJUNDI;CO;83600-00-20;175;185;190;0
NEU06;MOHAMED AHMOS FAHMY;CO;83600-00-20;175;185;190;0
NEU07;ELGHAZALI ELSAID ABDELHAMID DAOUD;CO;83600-00-20;175;185;190;0
NEU08;SHERIF HASSAN MAHMOUD SOLIMAN;CO;83600-00-20;175;185;190;0
NEU09;MADJID - - SILEM;CO;83600-00-20;175;185;190;0
NEU10;MAMDOUH HASSAN KALACTAWI;CO;83600-00-20;175;185;190;0
NEU11;HUSSEIN MATOUQ M KHESHAIFATI;CO;83600-00-20;175;185;190;0
NEU13;EMADELDIN MAHMOUD NAWAR NAWAR;CO;83600-00-10;175;185;190;0
NEU14;SHUROOQ FARES GASSAR MUNASSAR;CO;83600-00-20;175;185;190;0
NEU17;AMAL MOHAMMED A ALKHOTANI;CO;83600-00-20;175;185;190;0
NEU18;EBAA TALAL H SAMKARI;CO;83600-00-20;175;185;190;0
NICU1;SAFAA ABOUELSAOUD ALI;CO;83600-00-20;175;185;190;0
NICU10;ASHA DAWD SALIH ALI;CO;83600-00-20;175;185;190;0
NICU11;ALKHANSA MOHAMED ABDALLAH ABDELHAMEID;CO;83600-00-20;175;185;190;0
NICU2;HAMID MANSOOR;CO;83600-00-20;175;185;190;0
NICU3;MAHMOUD IBRAHIM ALI;CO;83600-00-20;175;185;190;0
NICU7;SAMEH MOUSTAFA GOUDA;CO;83600-00-20;175;185;190;0
NICU9;MOHAMED SOUBIH ELSAYED SOUBIH ELDEEB;CO;83600-00-10;175;185;190;0
NS001;AHMED MOHAMMED ALAA ELDIN SHALABY;CO;83600-00-20;175;185;190;0
NS002;AHMED ELSHENNAWY ABDELGAYED EL NAGGAR;CO;83600-00-10;175;185;190;0
NUT10;SABAH ABID ALNEMARI;CO;83600-00-20;175;185;190;0
NUT20;SAJA MOHAMMED BUKHARI;CO;83600-00-20;175;185;190;0
OB01;RAED YOUSEF ALTALLAB;CO;83600-00-20;175;185;190;0
OB05;SHAHANZA ELSADIG ELSIDEEG BAKHEIT;CO;83600-00-20;175;185;190;0
OB07;RABAB AMEEN MOHAMMED;CO;83600-00-20;175;185;190;0
OB10;MARWA ZAKARIA ABDELFATTAH GOMAA;CO;83600-00-20;175;185;190;0
OB11;KAWKAB GHULAMNABI ALBAKISTANI;CO;83600-00-20;175;185;190;0
OB200;HAMED SHALABY;CO;83600-00-20;175;185;190;0
OBG09;RANDA IBRAHIM MOSA;CO;83600-00-20;175;185;190;0
OBG10;KUMREE ALI ALHINDI;CO;83600-00-20;175;185;190;0
OBG12;AFSHEEN IMRAN MUHAMMAD IMRAN;CO;83600-00-20;175;185;190;0
OBG13;REHAM MOHAMED FADEEL RAGAB;CO;83600-00-20;175;185;190;0
OBG14;ESSAM ABDULLAH A MOHAMMED;CO;83600-00-20;175;185;190;0
OBG15;HAMZAH MOHAMMED H AJAJ;CO;83600-00-20;175;185;190;0
OG01;AHMED ZAKY AHMED;CO;83600-00-20;175;185;190;0
OG02;RASHA MOHAMED ALY;CO;83600-00-20;175;185;190;0
OG03;EMAN SABRY;CO;83600-00-20;175;185;190;0
OG04;NAJWA KAMEL;CO;83600-00-20;175;185;190;0
OG05;MARWA SAMIR;CO;83600-00-20;175;185;190;0
OG06;RANDA LOTFY;CO;83600-00-20;175;185;190;0
OG07;SARA SAMIR;CO;83600-00-20;175;185;190;0
OG08;MONA ELSAYED NAFEE;CO;83600-00-20;175;185;190;0
OG09;RAEDAH MOHAMAD ALKHALIL;CO;83600-00-20;175;185;190;0
OG10;ANAS MOHAMED GAMAL;CO;83600-00-20;175;185;190;0
OG11;REHAB ABDELKHALEK AHMED ABDELKADER;CO;83600-00-20;175;185;190;0
OG12;ISLAM MOHAMED ABDELAZIEM ELLAFI;CO;83600-00-20;175;185;190;0
OG13;DINA IBRAHIM ELAGDER EZZELREGAL;CO;83600-00-20;175;185;190;0
OG14;HALA MOKHTAR MOHAMED ABDELGHANY;CO;83600-00-10;175;185;190;0
OG99;MANAR MOHAMED METAWLLY;CO;83600-00-20;175;185;190;0
ONC01;HALA MOSTAFA ABOELAZIM ELSEBAIE;CO;83600-00-10;175;185;190;0
ONC02;JAMEEL MANSOR J DIGNAH;CO;83600-00-20;175;185;190;0
OPH10;HUSSAIN AHMED QARI HAZART GUL;CO;83600-00-20;175;185;190;0
OPT07;AMJAD AMEEN SAIFALDEIN;CO;83600-00-20;175;185;190;0
OPT10;ARWA OSMAN AHMED;CO;83600-00-20;175;185;190;0
OPT12;AHMED YASSIN HEMIDA SOLIMAN;CO;83600-00-10;175;185;190;0
OPT13;AMAL RASHAD A ZABEEDI;CO;83600-00-10;175;185;190;0
OR10;LOAI MOHAMMED ABUHANTASH;CO;83600-00-20;175;185;190;0
OR41;EZZAT HASSAN FOULY;CO;83600-00-20;175;185;190;0
ORT01;AMRO MAMDOUH ABBAS ABDULAZIZ;CO;83600-00-20;175;185;190;0
ORT02;HAITHAM FAYEZ ATAYEB;CO;83600-00-20;175;185;190;0
ORT03;KHALID SALEEM ALHARTHI;CO;83600-00-20;175;185;190;0
ORT04;MOHAMED MAHER ABDELSLAM MOTAWEA;CO;83600-00-20;175;185;190;0
ORT05;WAEL HASSAN AL-RAMMAL;CO;83600-00-20;175;185;190;0
ORT06;FAHD ABDULLAH ALHEJILI;CO;83600-00-20;175;185;190;0
ORT07;MOHAMED HELMY DAWOUD;CO;83600-00-20;175;185;190;0
ORT08;ALAA JAMEEL ALBARAKATI;CO;83600-00-20;175;185;190;0
ORT09;TAWFEEQ SAFI SARRAJ;CO;83600-00-20;175;185;190;0
ORT10;AMR IBRAHIM SALEM ZANFALY;CO;83600-00-20;175;185;190;0
ORT11;MOHAMED ABDALLA ALY HASSANIN MAHFOZ;CO;83600-00-20;175;185;190;0
ORT12;AHMED ABDELAZIM SAAD ABOSALEM;CO;83600-00-20;175;185;190;0
ORTH1;HANY ELSAYED  ABDELGAWAD SAAD;CO;83600-00-20;175;185;190;0
PD01;FAWZYH JARALLAH ALKHADIDI;CO;83600-00-20;175;185;190;0
PD02;AHMED GHAITH ALMEHMADI;CO;83600-00-20;175;185;190;0
PD028;MOHAMMED ADNAN M KAMAL;CO;83600-00-20;175;185;190;0
PD029;ALI SAAD HADI ALSHAMRANI;CO;83600-00-20;175;185;190;0
PD03;HASSAN MUSA MASMALI;CO;83600-00-20;175;185;190;0
PD034;AHMED RASHAD ABDELNABI YOUSEF;CO;83600-00-20;175;185;190;0
PD04;HUSSEIN AGEIL ALKHAIRI;CO;83600-00-20;175;185;190;0
PD05;NOHA MOHAMED HAMED;CO;83600-00-20;175;185;190;0
PD06;REHAB SALEM MAHMOUD AHMED;CO;83600-00-10;175;185;190;0
PD07;HUSSNI HUSSAIN RAYES;CO;83600-00-20;175;185;190;0
PD08;MOHAMMAD SALIM ALKHAYYAT;CO;83600-00-20;175;185;190;0
PD11;NABEL FARID BADRAN;CO;83600-00-20;175;185;190;0
PD12;AHMED MOHAMMAD HASHISH;CO;83600-00-20;175;185;190;0
PD13;SANAA MAHMOUD ABDELSALAM EBRAHIM;CO;83600-00-20;175;185;190;0
PD14;SULTAN ABDULLAH A ALMALKI;CO;83600-00-20;175;185;190;0
PD15;THILLATHUNISA ABDULKATHER ABDULKATHER;CO;83600-00-20;175;185;190;0
PD18;MARWAN SABER ABOELGHAFOUR ELSAWY;CO;83600-00-10;175;185;190;0
PD19;DEENA KHALIL A BAHADUR;CO;83600-00-20;175;185;190;0
PD20;HASSAN MOHAMMED HASAN JAFAR;CO;83600-00-20;175;185;190;0
PD21;YOSRA ABOELNAGA FAHMY MOHAMMED;CO;83600-00-20;175;185;190;0
PD23;ABDULLAH MOHAMMAD A MENSHAWI;CO;83600-00-10;175;185;190;0
PD25;ALAA MAHMOUD A ESKANDRANI;CO;83600-00-10;175;185;190;0
PD26;YOSRA SAIFELDEIN AHMED YOUSIF;CO;83600-00-20;175;185;190;0
PD30;AFNAN TARIQ A QURBAN;CO;83600-00-20;175;185;190;0
PD49;MOHAMED GOMAA;CO;83600-00-20;175;185;190;0
PDZ4;LAILA MOHAMEDNOOR ELMHDI ALI;CO;83600-00-20;175;185;190;0
PE12;ABDULRAHMAN MOSSAID ALMAGHRABI;CO;83600-00-20;175;185;190;0
PED02;BURHAN MOHAMMED EDREES;CO;83600-00-20;175;185;190;0
PED04;ALIAA SALAH ALQUHAZI;CO;83600-00-20;175;185;190;0
PED05;MOHAMED MOWAFI ASI;CO;83600-00-20;175;185;190;0
PED06;ABDULLAH MOHAMMED ALZAHRANI;CO;83600-00-20;175;185;190;0
PED07;DIA ALI ARAFAH;CO;83600-00-20;175;185;190;0
PED1;MOHAMMED ELAWADY DOKLA;CO;83600-00-20;175;185;190;0
PFT01;PFT MACHINE;CO;83600-00-20;175;185;190;0
PH001;AHMED KOTB ABDELWAHED ALI;CO;83600-00-20;175;185;190;0
PHO01;PHOTOHERAPY MACHINE;CO;83600-00-20;175;185;190;0
PN01;ABDALLAH ELSAYED ELSANATAWY;CO;83600-00-20;175;185;190;0
PN03;JEHAN HASSAN ALSAYED ABOUGOMAH;CO;83600-00-20;175;185;190;0
PN04;MAHMOUD SAMIR ELSONBATY;CO;83600-00-20;175;185;190;0
PR01;HADY MOHAMED ABDELHAMID ABDELGALIL;CO;83600-00-20;175;185;190;0
PS013;KHALED AHMED MOHAMED ZAKI BERBESH;CO;83600-00-20;175;185;190;0
PSU01;HATEM MOSTAFA ABADA;CO;83600-00-20;175;185;190;0
PSY01;MOHAMED SAMIR SOLIMAN;CO;83600-00-20;175;185;190;0
PSY10;BANAN SAMEER EYOUNI;CO;83600-00-20;175;185;190;0
PSY11;GHANAD SAFIR SUWAYFIR ALQARIHI;CO;83600-00-20;175;185;190;0
PSY12;MAHA ABDULRAHIM S ALZAHRANI;CO;83600-00-20;175;185;190;0
PT017;MOHAMED MOSLEH SOLIMAN;CO;83600-00-10;175;185;190;0
PT13T;AMGAD IBRAHIM ALQORTOBI;CO;83600-00-20;175;185;190;0
PT14T;MOHAMED ATIA MOHSEN;CO;83600-00-20;175;185;190;0
PT1U;OMNIA HASSAN AHMED ABDELMAKSOUD;CO;83600-00-20;175;185;190;0
PT2U;GHALIAH GHAZI H ALOWAYDHI;CO;83600-00-10;175;185;190;0
PU01;HEBATULLAH KAMAL TAHA;CO;83600-00-20;175;185;190;0
RAD01;FAISAL ALGHAMDI;CO;83600-00-20;175;185;190;0
RAD02;TARIQ ABDULKHALIQ MUNSHY;CO;83600-00-20;175;185;190;0
RAD04;SAMI ASAAD BOSHNAQ;CO;83600-00-20;175;185;190;0
RAD05;MOHAMMED EISSA RAWAS;CO;83600-00-20;175;185;190;0
RD03C;WAEL MOHAMED ZEINELABEDIN AHMED;CO;83600-00-20;175;185;190;0
SGR4;ABDULLAH HUSSAIN NAWAB;CO;83600-00-20;175;185;190;0
SUR01;WALEED ADEL ASKAR;CO;83600-00-20;175;185;190;0
SUR02;TURKI ATIA ALQURASHI;CO;83600-00-20;175;185;190;0
SUR03;ABDULLAH ELZEINY;CO;83600-00-20;175;185;190;0
SUR04;SAMI MOHAMMED BADR;CO;83600-00-20;175;185;190;0
SUR05;MOHAMMED OTHMAN ALMAIMANI;CO;83600-00-20;175;185;190;0
SUR09;KHALID MOHAMMED ALZAHRANI;CO;83600-00-20;175;185;190;0
SUR10;OWAID MOHAMMED ALMALKI;CO;83600-00-20;175;185;190;0
SUR12;HASSAN HUSSEIN ABU ROKBAH;CO;83600-00-20;175;185;190;0
SUR15;HAROUN ALI ALMOUMANI;CO;83600-00-20;175;185;190;0
SUR16;ESAM SALEM O BATAYYAH;CO;83600-00-20;175;185;190;0
SUR17;SAMAH HUSSAIN AL KHAYAT;CO;83600-00-20;175;185;190;0
SUR18;WALEED WAHDAN;CO;83600-00-10;175;185;190;0
SUR19;MOHAMED EL SAYED SWABY SAKR;CO;83600-00-10;175;185;190;0
SUR21;HOSSAMELDIN MOHAMMED ZEHRY ZEHRY;CO;83600-00-10;175;185;190;0
SUR23;KHALID SAEED A ALSHAHRANI;CO;83600-00-10;175;185;190;0
SUR24;AHMED ABDULAZIZ O HAWSAWI;CO;83600-00-10;175;185;190;0
SUR25;IBRAHIM MOHAMMED J ALGHAMDI;CO;83600-00-20;175;185;190;0
SUR26;EMAD KHAIRI M ALSHARIF;CO;83600-00-20;175;185;190;0
SUR32;ADIL NASIR M ALTHOBAITY;CO;83600-00-20;175;185;190;0
TR01;SAAD ABDULRAHMAN A ALNEFAIE;CO;83600-00-20;175;185;190;0
TR02;NADA ABDULHAKIM A ALGHAMDI;CO;83600-00-20;175;185;190;0
TR03;RIYADH AHMED S ALMASHNI;CO;83600-00-20;175;185;190;0
TR05;MAYASER MAZEN O FALEMBAN;CO;83600-00-20;175;185;190;0
TR06;ZAIN ZUHAIR M ALBUKHARI;CO;83600-00-20;175;185;190;0
URL01;HASHIM NAJI MOHAMMED;CO;83600-00-20;175;185;190;0
URL02;ALI ABDULLAH ALQAHTANI;CO;83600-00-20;175;185;190;0
URL03;WAEL SABER MAHMOUD;CO;83600-00-20;175;185;190;0
URL04;KHALED MOHAMED ELOSAILY;CO;83600-00-20;175;185;190;0
URL05;MOHAMED SAMY ABDELRAHMAN ZAHRAN;CO;83600-00-10;175;185;190;0
VS200;FAROOQ ALALFI;CO;83600-00-20;175;185;190;0
VS201;MUHAMMAD LABEB MUHAMMAD;CO;83600-00-20;175;185;190;0
XR01;SHIMAA RAMADAN BARAKAT;CO;83600-00-20;175;185;190;0
XR02;AHMED ELMOURSI;CO;83600-00-20;175;185;190;0
XR10;REHAM ALI SALEM;CO;83600-00-20;175;185;190;0
IM27;MANAL MANSOUR GETHAMI;CO;83600-00-20;175;185;190;0
NICU8;HANY GAMAL ELDAWDY FODA;CO;83600-00-20;175;185;190;0
PD17;MOHAMAD YASSER MOHAMAD AL KADI;CO;83600-00-20;175;185;190;0
PSY1;OPD CONSULTATION PSYCHATRIC;CO;83600-00-20;175;185;190;0
RAD06;DOAA RAMADAN ABUBKR BARAKAT;CO;83600-00-20;175;185;190;0
CTSCAN;CT SCAN;P2;15506-01-00;776.16;776.16;776.16;0
CTSCANC;CT SCAN WITH CONTRAST;P2;15506-01-00;970.2;970.2;970.2;0
FMXRY-0300;C.T. BRAIN OR SKULL W/O CONTRAST;P2;56001-00-00;776.16;776.16;776.16;0
FMXRY-0301;C.T. BRAIN W/ CONTAST;P2;56007-00-00;970.2;970.2;970.2;0
FMXRY-0302;C.T. BRAIN W/ &W/O CONTRAST;P2;56007-00-00;970.2;970.2;970.2;0
FMXRY-0303;C.T. ORBIT/SELLA/INNER EAR W/O CONT;P2;56013-00-00;777;777;777;0
FMXRY-0304;C .T ORBIT/SELLA/INNER EAR W/ CONT;P2;56013-03-00;971;971;971;0
FMXRY-0305;CT. NASOPHARYNX;P2;56101-00-00;777;777;777;0
FMXRY-0306;C.T. CHEST MEDIASTINUM W/O CONT;P2;56301-00-00;776.16;776.16;776.16;0
FMXRY-0307;C.T. CHEST MEDASTINUM W/CONTRAST;P2;56307-00-00;970.2;970.2;970.2;0
FMXRY-0308;C.T. CHEST MEDIASTINUM W&W/O CONT.;P2;56307-00-00;970.2;970.2;970.2;0
FMXRY-0309;C.T. ABDOMEN OR PELVIS W/O CONTRAST;P2;56401-00-00;970.2;970.2;970.2;0
FMXRY-0310;C.T. ABDOMEN OR PELVIS W/ CONTRAST;P2;56407-00-00;776.16;776.16;776.16;0
FMXRY-0311;C.T. ABDOMEN OR PELVIS W/ W/O CONT.;P2;56407-00-00;971;971;971;0
FMXRY-0312;C.T. ABDOMEN &PELVIS W/O CONTRAST;P2;56501-00-00;776.16;776.16;776.16;0
FMXRY-0313;C.T.ABDOMEN & PELVIS W/ W/OUT CONT;P2;56507-00-00;970.2;970.2;970.2;0
FMXRY-0314;CT. LUMBOSACRAL SPINE;P2;56223-00-00;776.16;776.16;776.16;0
FMXRY-0315;CT. CERVICAL SPINE;P2;56220-00-00;776.16;776.16;776.16;0
FMXRY-0316;C.T. ADDITIONAL SEGMENT;P2;56233-00-00;777;777;777;0
FMXRY-0317;C.T. SPINE POST MYELOGRAM;P2;90912-00-00;777;777;777;0
FMXRY-0318;C.T. MODE EAST/DYNAMIC STUSY;P2;61417-00-00;777;777;777;0
FMXRY-0319;C.T. 3D.;P2;99999-99-92;777;777;777;0
