DEPARTMENT,CODE,SERVICE DESCRIPTION,Price 2022,price 2023,TYPE,LOS
DENTAL,FMDNTO0038,REMOVAL OF FIXED APPLIANCE,559.0821599999999,598.2179112,SERVICE,
DENTAL,FMDNTS0047,REMOVAL OF FLABBY TISSUE ONE  JAW,2212.02072,2366.8621704,SERVICE,
E. N. T.,FMENTE3010,REMOVAL OF FOREIGN BODY WITH,1622.55366,1736.1324162,SERVICE,
DENTAL,FMDNTS0230,REMOVAL OF I.D.F.,224.84826,240.58763820000001,SERVICE,
DENTAL,FMDNTS0204,REMOVAL OF I.M.Z. IMPLANT,443.61954000000003,474.6729078000001,SERVICE,
SURGERY CLINIC,FMSUR-0063,REMOVAL OF INGROWN TOE NAIL,1169.81865,1251.7059555,SERVICE,
ORTHOPAEDIC,MTORT-0012,REMOVAL OF K WIRE,607.698,650.23686,SERVICE,
DENTAL,FMDNTS0219,REMOVAL OF LINKOW - ANT.\,224.84826,240.58763820000001,SERVICE,
DENTAL,FMDNTS0220,REMOVAL OF LINKOW - POST,443.61954000000003,474.6729078000001,SERVICE,
SURGERY CLINIC,MTSUR-0051,REMOVAL OF NAIL,340.31088,364.1326416,SERVICE,
E. N. T.,MTENT-0072,REMOVAL OF NASAL PACK (G.A.),1355.1665399999997,1450.0281977999998,SERVICE,
PLASTIC SURGERY,MTPSD-0031,REMOVAL OF ONE NAVI UNDER L.A.,340.31088,364.1326416,SERVICE,
NEUROSURGERY,MTNEU-0009,REMOVAL OF SHUNT,820.3923000000001,877.8197610000002,SERVICE,
SURGERY CLINIC,FMSUR-0156,REMOVAL OF STITCHES,121.5396,130.047372,SERVICE,
OBG-YN,OBG-0003,Removal of Suture,1672.03764,1789.0802748,PKG,Day Case
DENTAL,FMDNTS0193,REMOVAL OF T IMPLANT,551.7897839999999,590.4150688799999,SERVICE,
DENTAL,FMDNTS0053,REMOVAL OF TORES PALATINUS SML,1476.70614,1580.0755698,SERVICE,
SURGERY CLINIC,MTSUR-0053,REMOVAL OF WARTS MULTIPLE,668.4678,715.2605460000001,SERVICE,
DENTAL LAB,FMDNL-0052,REPAIR,103.30866000000002,110.54026620000002,SERVICE,
SURGERY CLINIC,MTSUR-0080,REPAIR OF UMBILICAL HERNIA,2819.71872,3017.0990304,SERVICE,
DENTAL,FMDNTO0031,RETAINERS UPPER & LOWER,1622.55366,1736.1324162,SERVICE,
E. N. T.,FMENTN2042,REVISION OF RHINOPLASTY,4501.826784,4816.95465888,SERVICE,
ORTHOPAEDIC,FMORT-0756,REVISION OF SPINAL FUSION,8745.381918000001,9357.558652260002,SERVICE,
E. N. T.,FMENTN2043,RHINOSEPTOPLASTY,4253.8859999999995,4551.65802,SERVICE,
DENTAL,FMDNTS0060,RIDGE AUGEMENTATION,5619.687255,6013.06536285,SERVICE,
CATH LAB,FMCAT-0007,RIGHT HEART CATHETERIZATION,1458.4752,1560.5684640000002,SERVICE,
DENTAL,FMDNTS0138,ROTATION FLAP (LARGE),3322.588815,3555.1700320500004,SERVICE,
PLASTIC SURGERY,FMPSDJ0002,ROTATION FLAP (MODERATE),3105.3367799999996,3322.7103546,SERVICE,
DENTAL,FMDNTS0136,ROTATION FLAP (SMALL),1946.152845,2082.38354415,SERVICE,
DENTAL LAB,FMDNL-0014,SADDLE CHROME COBALT ADD'L,79.00074,84.5307918,SERVICE,
DENTAL LAB,FMDNL-0013,SADDLE CHROME COBALT FIRST,103.30866000000002,110.54026620000002,SERVICE,
DENTAL,FMDNTS0134,SCAR CORRECTION (LARGE),3322.588815,3555.1700320500004,SERVICE,
DENTAL,FMDNTS0133,SCAR CORRECTION (MODERATE),2210.501475,2365.23657825,SERVICE,
DENTAL,FMDNTS0132,SCAR CORRECTION (SMALL),1476.70614,1580.0755698,SERVICE,
OBSTETRICS & GYNE,FMOBG-0174,SCAR REVISION,3017.2205700000004,3228.4260099000007,SERVICE,
NEUROLOGY,FMNUM-0500,SECOND OPINION CONSULTATION,182.3094,195.07105800000002,SERVICE,
LABORATORY,FMLAB-6014,SEMEN ANALYSIS,243.0792,260.094744,SERVICE,
E.N.T,ENT-0031,Septoplasty,6812.0052,7288.845564,PKG,2 Days
ORTHOPAEDIC,MTORT-0018,SEQUESTROMY OF LONG BONES,3038.49,3251.1843,SERVICE,
EMERGENCY,SMC1618,SET FOR FEEDING PUMP,139.77053999999998,149.5544778,SERVICE,
DENTAL,FMDNTS0105,SIMPLE FRACTURE,2210.501475,2365.23657825,SERVICE,
ORTHOPAEDIC WORKSHOP,FMORW-0022,SITTING BRACE W/O HEAD SUPPORT,2637.40932,2822.0279724,SERVICE,
DERMATOLOGY,FMDER-0004,SKIN BIOPSY,376.77275999999995,403.14685319999995,SERVICE,
PLASTIC SURGERY,FMPSDF0020,SKIN GRAFT OF HAND,3105.3367799999996,3322.7103546,SERVICE,
DERMATOLOGY,FMDER-0184,SKIN GRAFTING EXTRA LARGE AREA,4430.11842,4740.2267094,SERVICE,
DERMATOLOGY,FMDER-0183,SKIN GRAFTING LARGE AREA,3700.8808200000003,3959.9424774000004,SERVICE,
DERMATOLOGY,FMDER-0182,SKIN GRAFTING MEDIUM AREA,2947.3353,3153.6487710000006,SERVICE,
DERMATOLOGY,MTDER-0005,SKIN GRAFTING SMALL AREA,2455.09992,2626.9569144,SERVICE,
EMERGENCY,FMERDA0070,SKIN TEST,30.3849,32.511843,SERVICE,
NEUROSURGERY,FMNEU-0063,SMALL DRESSING,85.07772,91.0331604,SERVICE,
DENTAL,FMDNTO0035,SPACE MAINTAINER COMPOUND,1440.24426,1541.0613582,SERVICE,
ORTHOPAEDIC,FMORT-0370,SPICA PELVIC,1185.0111,1267.961877,SERVICE,
Surgical,SUR-0089,Splenectomy,14676.774840000002,15704.149078800003,PKG,5 Days
DENTAL,FMDNTP0059,SPLINT - METALIC,2807.56476,3004.0942932000003,SERVICE,
PSYCHIATRY,FMPSYC0030,STANDFORD BINNET TEST,850.7772,910.3316040000001,SERVICE,
E.N.T,ENT-0044,Stapedectomy,12354.50034,13219.315363800002,PKG,4 Days
DENTAL,FMDNTS0092,STICHES  FOR DEEP WOUND,1889.94078,2022.2366346000001,SERVICE,
DENTAL,FMDNTS0091,STICHES FOR SUPERFICIAL WOUND,954.08586,1020.8718702000001,SERVICE,
CARDIOLOGY,FMCARS0020,STRESS TRANOESPHAGEAL ECHO,1580.0148,1690.615836,SERVICE,
NEUROSURGERY,MTNEU-0012,SUBCAUTENOUS NEUROFIBROMA,1634.70762,1749.1371534,SERVICE,
NURSING ADMINISTRN,FMNUR-0063,SUBCUTANEOUS INJECTION,36.46188,39.0142116,SERVICE,
CARDIO THORACIC SURGERY,MTCTS-0001,SUPERFICIAL LYMPHNODE BIOPSY,382.84974000000005,409.6492218000001,SERVICE,
Dental - maxillo facial,DNT-0028,SUPERFICIAL PAROTIDECTOMY,32697.62496,34986.4587072,PKG,3 Days
vascular,VAS-0009,Superficialization of Vein,6812.0052,7288.845564,PKG,1 Day
E. N. T.,FMENTN2053,SURGERY OF TUMOUR OF NASAL -,4501.826784,4816.95465888,SERVICE,
NURSING ADMINISTRN,FMNUR-0050,SUTURE REMOVAL,72.92376,78.0284232,SERVICE,
ORTHOPAEDIC,FMORT-0463,SYNOVECTOMY OF JOINT REUMOHOD,1409.85936,1508.5495152,SERVICE,
DENTAL,FMDNTS0190,T IMPLANT PIRT (G),2318.9755680000003,2481.3038577600005,SERVICE,
DENTAL,FMDNTI0003,T. IMPLANT ANT. (G),2212.02072,2366.8621704,SERVICE,
DENTAL,FMDNTS0189,T. IMPLANT POST (L),2185.282008,2338.25174856,SERVICE,
DENTAL,FMDNTS0206,T.P.S. IMPLANT 2,1476.70614,1580.0755698,SERVICE,
DENTAL,FMDNTS0207,T.P.S. IMPLANT 3,2212.02072,2366.8621704,SERVICE,
DENTAL,FMDNTS0208,T.P.S. IMPLANT 4,2210.501475,2365.23657825,SERVICE,
X-RAY,FMXRY-441,TC-99 M DMSA SCAN,1093.8564000000001,1170.4263480000002,SERVICE,
MEDICAL TOWER EMERGENCY UNIT,MTNUR-0011,TEPID SPONGE BATH,103.30866000000002,110.54026620000002,SERVICE,
UROLOGY CLINIC,MTURO-0001,TESTICULAR BIOPSY,1956.78756,2093.7626892000003,SERVICE,
NEUROSURGERY,FMNEU-0170,THORACOTOMY,6417.29088,6866.5012416,SERVICE,
ORTHOPAEDIC,FMORT-0618,THUMB & FINGER ORTHOSIS,486.1584,520.189488,SERVICE,
SURGERY CLINIC,MTSUR-0062,TOE AMPUTATION (PARTIAL),2449.02294,2620.4545458,SERVICE,
DENTAL,FMDNTS0131,TOTAL GLOSSECTOMY,5533.090290000001,5920.406610300001,SERVICE,
E.N.T,ENT-0027,Tracheostomy,5449.60416,5831.0764512000005,PKG,2 Days
NURSING ADMINISTRN,FM39099999,MEDICAL SUPERVISION,243.0792,260.094744,SERVICE,
EMERGENCY,FMERDA0066,MEDIUM DRESSING,103.30866000000002,110.54026620000002,SERVICE,
DERMATOLOGY,FMDER-0187,MELANOCYTE CULTURE LARGE,1968.9415199999999,2106.7674263999997,SERVICE,
DERMATOLOGY,FMDER-0212,MELANOCYTE CULTURE SMALL,7705.610640000001,8245.003384800002,SERVICE,
PLASTIC SURGERY,FMPSDA0031,MICRODERMABRASION FACE,941.9319,1007.8671330000001,SERVICE,
DERMATOLOGY,FMDER-0248,MICRODERMABRASION FACE (PACKAGE OF 5 SESSION),3858.8822999999998,4129.004061,SERVICE,
PLASTIC SURGERY,FMPSDA0033,MICRODERMABRASION HANDS OR NECK,480.08142000000004,513.6871194,SERVICE,
vascular,VAS-0012,Midtarsal Amputation,6812.0052,7288.845564,PKG,2 Days
OPTHALMOLOGY,MTOPT-0021,MINOR LID LACERATION,2600.94744,2783.0137608,SERVICE,
OPTHALMOLOGY,FMOPTG0008,MOLTENO IMPLANT IN GLAUCOMA    OPERATION,2819.71872,3017.0990304,SERVICE,
OPEN HEART UNIT,FMOHU-0008,MULTI PARAMETER,328.15692,351.12790440000003,SERVICE,
NEUROLOGY,FMNUM-0042,MUSCLE BIOPSY PACKAGE BIOPSY & HIST,3858.8822999999998,4129.004061,SERVICE,
DERMATOLOGY,FMDER-0213,MYLANOCYTE CULTURE MEDIUM,11564.492940000002,12374.007445800004,SERVICE,
E.N.T,ENT-0020,Nasal Polypectomy,4551.65802,4870.2740814,PKG,1 Day
PHYSIOTHERAPY,FMPTD-0104,NEBULIZATION,115.46261999999999,123.5450034,SERVICE,
INTERNAL MEDICINE,FMINT-0075,NEBULIZER A/C VENTOLIN,151.9245,162.559215,SERVICE,
PEDIATRIC SURGERY,FMPDS-0067,NEPHRECTOMY,4224.716496,4520.44665072,SERVICE,
NEUROSURGERY,FMNUE-0100,NERVE EXPLORATION,6475.6298879999995,6928.92398016,SERVICE,
DENTAL LAB,FMDNL-0022,OBTURATOR,4557.735,4876.77645,SERVICE,
PHYSIOTHERAPY,FMPTD-2082,ONE SESSION WEIGHT REDUCTION,407.15765999999996,435.6586962,SERVICE,
UROLOGY CLINIC,FMURO-0079,ORCHIDECTOMY,2941.2583200000004,3147.1464024000006,SERVICE,
EMERGENCY,FMERDA0067,ORDINARY DRESSING,79.00074,84.5307918,SERVICE,
DENTAL,FMDNTO0051,ORTHODONTIC DEPOSIT,5350.78089,5725.3355523,SERVICE,
DENTAL,FMDNTO0040,ORTHODONTIC DIAGNOSTIC RECORDS,1361.24352,1456.5305664,SERVICE,
DENTAL,FMDNTO0041,ORTHODONTIC STUDY MODELS,474.00444000000005,507.1847508000001,SERVICE,
ORTHOPAEDIC,FMORT-0552,ORTHOSIS I,3077.3826719999997,3292.79945904,SERVICE,
ORTHOPAEDIC,FMORT-0553,ORTHOSIS II,6135.3190079999995,6564.7913385599995,SERVICE,
ORTHOPAEDIC,FMORT-0554,ORTHOSIS III,12767.734980000001,13661.476428600003,SERVICE,
ORTHOPAEDIC,FMORT-0555,ORTHOSIS IV,20412.575820000002,21841.456127400004,SERVICE,
ORTHOPAEDIC,FMORT-0556,ORTHOSIS V,25413.930360000002,27192.905485200004,SERVICE,
DENTAL,FMDNTS0171,OSTEOTOMY IN THE CONDYLAR NECK,4425.5606849999995,4735.34993295,SERVICE,
PHYSIOTHERAPY,FMPTD-2139,OT EVALUATION,255.23316,273.0994812,SERVICE,
INTERNAL MEDICINE,FMINT-0072,OXYGEN INHALATION,79.00074,84.5307918,SERVICE,
PHYSIOTHERAPY,FMEGD-0014,PACKAGE DEAL,2469.6846719999994,2642.5625990399994,SERVICE,
PHYSIOTHERAPY,FMPTD-2154,PACKAGE DEAL (12) SESSIONS FOR MANU,1492.506288,1596.98172816,SERVICE,
PHYSIOTHERAPY,FMPTD-2153,PACKAGE DEAL (6) SESSIONS FOR MANUA,941.9319,1007.8671330000001,SERVICE,
home care,HCPTD-0306,PACKAGE DEAL WEIGHT REDUCT.,3008.1051,3218.6724570000006,SERVICE,
X-RAY,FMXRY-0330,PANORAMA + CEPHALOMETRIC 1,2187.7128000000002,2340.8526960000004,SERVICE,
urology,URO-0041,Partial Cystectomy,17153.86764,18354.6383748,PKG,4 Days
CATH LAB,FMCAT-0024,PDA CLOSURE BY COIL,2613.1014,2796.0184980000004,SERVICE,
CATH LAB,FMCAT-0026,PDA CLOSURE BY DEVICE,3889.2672,4161.515904,SERVICE,
X-RAY,FMXRY-0809,PERCUTANEOUS DISCECTOMY LUMBAR,20054.034,21457.81638,SERVICE,
E. N. T.,FMENTN2025,PERNASAL REMOVAL OF ALLERGIC,2114.7890399999997,2262.8242727999996,SERVICE,
E. N. T.,FMENTN2027,PERNASAL REMOVAL OF POLYPI -,2819.71872,3017.0990304,SERVICE,
DENTAL,FMDNTO0042,PHOTOCCLUSSION ANALYSIS,474.00444000000005,507.1847508000001,SERVICE,
DENTAL,FMDNTS0036,PLASTIC CLOSURE OF CHRONIC    SKIN  FISTULA,2210.501475,2365.23657825,SERVICE,
OPTHALMOLOGY,FMOPTI0002,PROBING OF NASOLACRIMAL DUCT,1130.31828,1209.4405596,SERVICE,
OBSTETRICS & GYNE,FMOBG-0007,PROCTOSCOPY,364.6188,390.14211600000004,SERVICE,
SURGERY CLINIC,MTSUR-0046,PROCTO-SIGMOIDOSCOPY,297.77202000000005,318.6160614000001,SERVICE,
UROLOGY CLINIC,FMURO-0057,PROSTATIC MASSAGE,115.46261999999999,123.5450034,SERVICE,
RHEUMATOLOGY,FMRHE-0004,PRP INJECTION,3996.2,4275.934,service,
urology,URO-0046,Pyelolithotomy,14862.5568,15902.935776000002,PKG,4 Days
DENTAL,FMDNTS0226,I.D.F. + CORE,522.62028,559.2036996,SERVICE,
DENTAL,FMDNTS0228,I.D.F. W/ H.A. FILLER(MODERATE CAVITY),741.3915599999999,793.2889692,SERVICE,
DENTAL,FMDNTS0229,I.D.F. WITH H.A. FILLER (LARGE CAVITY),893.31606,955.8481842,SERVICE,
DENTAL,FMDNTS0227,I.D.F. WITH H.A. FILLER (SMALL CAVITY),595.5440400000001,637.2321228000002,SERVICE,
UROLOGY CLINIC,MTURO-0026,I.M.INJECTION,30.3849,32.511843,SERVICE,
DENTAL,FMDNTS0198,I.M.Z. IMPLANT H.A.L 1ST STAGE,2807.56476,3004.0942932000003,SERVICE,
DENTAL,FMDNTS0200,I.M.Z. IMPLANT TIT.G 1ST STAGE,1039.1635800000001,1111.9050306000001,SERVICE,
DENTAL,FMDNTI0013,I.M.Z. IMPLANT TIT.L 1ST STAGE,2212.02072,2366.8621704,SERVICE,
DENTAL,FMDNTS0197,I.M.Z. IMPLANT TIT.L 2ND STAGE,741.3915599999999,793.2889692,SERVICE,
INTERNAL MEDICINE,FMINT-0077,I.V. CANULA,72.92376,78.0284232,SERVICE,
NURSING ADMINISTRN,FMNUR-0022,I.V. CENTRAL CATHETER,170.15544,182.0663208,SERVICE,
INTERNAL MEDICINE,FMINT-0078,I.V. FLUID INSERTION,109.38563999999998,117.04263479999999,SERVICE,
NURSING ADMINISTRN,FMNUR-0002,I.V. INJECTION,42.53886,45.5165802,SERVICE,
PEDIATRIC SURGERY,FMPDS-0030,ILEOSTOMY,3190.4145,3413.743515,SERVICE,
OBSTETRICS & GYNE,MTOBG-0028,IM INJECTION,22.788675,24.383882250000003,SERVICE,
DENTAL,FMDNTS0192,IMMEDIATE T IMPLANT ANT. (G),3129.3408510000004,3348.394710570001,SERVICE,
DENTAL,FMDNTS0191,IMMEDIATE T IMPLANT ANT. (L),2721.879342,2912.4108959400005,SERVICE,
DENTAL,FMDNTS0188,IMMEDIATE T IMPLANT ANT.(G),2721.879342,2912.4108959400005,SERVICE,
E. N. T.,FMENTN2006,INCISION & DRAINAGE OF SEPTAL,1130.31828,1209.4405596,SERVICE,
SURGERY CLINIC,MTSUR-0033,INCISION & DRAINAGE PARONYCHIA,297.77202000000005,318.6160614000001,SERVICE,
DENTAL,FMDNTS0195,INSERTION OF I.M.Z. IMPLANT   2ND STAGE,370.69577999999996,396.6444846,SERVICE,
DENTAL,FMDNTS0194,INSERTION OF I.M.Z. IMPLANT   FIRST STAGE,1823.094,1950.7105800000002,SERVICE,
DENTAL,FMDNTS0184,INSERTION OF IMPLANT,1889.94078,2022.2366346000001,SERVICE,
DENTAL,FMDNTS0218,INSERTION OF LINKOW - POST,741.3915599999999,793.2889692,SERVICE,
DENTAL,FMDNTS0217,INSERTION OF LINKOW ANT.,297.77202000000005,318.6160614000001,SERVICE,
DENTAL,FMDNTS0205,INSERTION OF T.P.S. IMPLANT,741.3915599999999,793.2889692,SERVICE,
PLASTIC SURGERY,MTPSD-0048,INTRADERMAL INJECTION,139.77053999999998,149.5544778,SERVICE,
DENTAL,FMDNTS0049,LABIAL FRENECTOMY,1476.70614,1580.0755698,SERVICE,
Ophthalmology,OPT-0011,Lacrimal Gland Biopsy,3678.4828079999997,3935.97660456,PKG,1 Day
SURGERY CLINIC,FMSUR-0237,LAPAROSCOPIC CHOLECYSTECTOMY,4861.584,5201.89488,SERVICE,
SURGERY CLINIC,FMSUR-0239,LAPAROSCOPIC HERNIORRHAPHY,2819.71872,3017.0990304,SERVICE,
urology,URO-0015,Laparoscopic Varicocele,8050.5516,8614.090212000001,PKG,1 Day
NURSING ADMINISTRN,FMNUR-0006,LARGE DRESSING,170.15544,182.0663208,SERVICE,
E. N. T.,FMENTN2058,LASER ARETENOIDECTOMY,3758.0044319999997,4021.0647422399998,SERVICE,
E. N. T.,FMENTP3011,LASER ASSISTED UVULOPALATOPLAS,3646.188,3901.4211600000003,SERVICE,
neurology,NEU-0002,Laser Discectomy,21457.81638,22959.863526600002,PKG,3 Days
DERMATOLOGY,FMDER-0216,LASER TEST DOSE,188.38637999999997,201.57342659999998,SERVICE,
DENTAL,FMDNTS0222,LINKOW 10 WITH 1 PFOSTEN,2212.02072,2366.8621704,SERVICE,
DENTAL,FMDNTS0224,LINKOW 10 WITH 2 PFOSTEN,2771.1028799999995,2965.0800815999996,SERVICE,
DENTAL,FMDNTS0221,LINKOW WITH 1 PFOSTEN,1476.70614,1580.0755698,SERVICE,
DENTAL,FMDNTS0223,LINKOW WITH 2 PFOSTEN,2210.501475,2365.23657825,SERVICE,
RHEUMATOLOGY,FMRHE-0003,LOCAL INJECTION,206.61732000000003,221.08053240000004,SERVICE,
Surgical,SUR-0038,Low Anal Fistula,5821.1680799999995,6228.6498456,PKG,2 Days
PEDIATRIC SURGERY,FMPDS-0008,LYMPH NODE BIOPSY,941.9319,1007.8671330000001,SERVICE,
SURGERY CLINIC,MTSUR-0040,LYMPH NODES BIOPSY (DEEP),2449.02294,2620.4545458,SERVICE,
SURGERY CLINIC,MTSUR-0041,LYMPH NODES BIOPSY (SUPERFICIAL),2449.02294,2620.4545458,SERVICE,
OBG-YN,OBG-0021,Manchester Repair,7431.2784,7951.467888000001,PKG,2 Days
DENTAL,FMDNTS0070,MANIPULATION OF DISLOCATED TMJ,1154.6262,1235.450034,SERVICE,
DENTAL,FMDNTS0045,MAX. TUBEROSITY REDUCTION SOFTTISSUE,595.5440400000001,637.2321228000002,SERVICE,
urology,URO-0016,Meatoplasty,4334.9124,4638.3562680000005,PKG,1 Day
urology,URO-0004,Meatotomy,3158.29332,3379.3738524000005,PKG,Day Case
PHYSIOTHERAPY,FMPTD-2062,MEDICAL BATH + MASSAGE,328.15692,351.12790440000003,SERVICE,
PHYSIOTHERAPY,FMPTD-2099,MEDICAL BATH W/EXERCISE UNDER,218.77127999999996,234.08526959999998,SERVICE,
PHYSIOTHERAPY,FMPTD-2102,MEDICAL BATH W/GALVANIC,218.77127999999996,234.08526959999998,SERVICE,
INTENSIVE CARE UNIT,FMICU-0010,ABDOMINAL TAPPING,486.1584,520.189488,SERVICE,
vascular,VAS-0027,Above Knee Amputation,23532.3816,25179.648312,PKG,5 Days
SURGERY CLINIC,MTSUR-0001,ABSCESS INCISION (SUPERFICIAL),267.38712,286.1042184,SERVICE,
SURGERY CLINIC,MTSUR-0002,ABSCESS INCISION DEEP,820.3923000000001,877.8197610000002,SERVICE,
DENTAL,FMDNTP0004,ACRYLIC JACKET CROWN,577.3131,617.725017,SERVICE,
DENTAL,FMDNTO0032,ACTIVATOR,4010.8068000000003,4291.563276000001,SERVICE,
NEUROLOGY,FMNUM-2000,ADDITIONAL FEE FOR COMPLICATED,1804.8630600000001,1931.2034742000003,SERVICE,
ORTHOPAEDIC,FMORT-0645,ADD'L FEE FOR COM.OR OVER 3HRS,1008.77868,1079.3931876000001,SERVICE,
E.N.T,ENT-0016,Adenoidectomy,3715.6392,3975.7339440000005,PKG,1 Day
INTERNAL MEDICINE,FMINTR0014,ADULT ABG EXTRACTION,139.77053999999998,149.5544778,SERVICE,
INTENSIVE CARE UNIT,FMICU-0008,AIR MATRESS PER DAY,103.30866000000002,110.54026620000002,SERVICE,
EMERGENCY,FMERDA0059,AIRWAY,72.92376,78.0284232,SERVICE,
E. N. T.,FMENTE0041,ALLERGY PRICK TEST,577.3131,617.725017,SERVICE,
DENTAL,FMDNTS0043,ALVEOLOPLASTY 1/2 JAW,2210.501475,2365.23657825,SERVICE,
DENTAL,FMDNTS0044,ALVEOLOPLASTY ONE JAW,4092.8460299999997,4379.3452521,SERVICE,
OBG-YN,OBG-0017,Amputation of Cervix,7059.714480000001,7553.894493600001,PKG,2 Days
Surgical,SUR-0013,Anal Dilatation,3653.71188,3909.4717116,PKG,Day Case
Ophthalmology,OPT-0028,Anterior Vitrectomy,9103.31604,9740.5481628,PKG,3 Days
DENTAL LAB,FMDNL-0051,APPLIANCE,309.92598,331.6207986,SERVICE,
DENTAL,FMDNTO0044,APPOINTMENT CANCELL.W/O NOTICE,297.77202000000005,318.6160614000001,SERVICE,
home care,HCPTD-0204,AROMA THERAPY WITH MASSAGE PACKAGE,4101.9615,4389.0988050000005,SERVICE,
ORTHOPAEDIC,MTORT-0003,ARTHROTOMY OF SEPTIC KNEE,2430.792,2600.94744,SERVICE,
OPTHALMOLOGY,FMOPTK0015,ARTIFICIAL EYE SHELL,3378.80088,3615.3169416,SERVICE,
ORTHOPAEDIC,MTORT-0004,ARTROSCOPIC ANKLE DIAGNOSTIC,2430.792,2600.94744,SERVICE,
ORTHOPAEDIC,MTORT-0023,ARTROSCOPY ANKLE SURGICAL,2430.792,2600.94744,SERVICE,
CATH LAB,FMCAT-0027,ASD CLOSURE BY DEVICE,3889.2672,4161.515904,SERVICE,
NEUROSURGERY,FMNEU-0166,ATLAS AXIS SPINAL FUSION,5994.333072,6413.936387040001,SERVICE,
CARDIOLOGY,FMCARS0004,ATRIAL PACING,1239.70392,1326.4831944,SERVICE,
DERMATOLOGY,FMDER-0098,B.H. ELECTRO - CAUTERY,783.9304199999999,838.8055493999999,SERVICE,
