Departemnt,code,Discription,Price,Revised,SBS
ORTHOPAEDIC WORKSHOP,FMORW-0043,UPPERARM PROSTHESIS (MYOELECTR IC 4 CHANNELS),115882.0,115882.0,96092-00-00
CSS,MS-P-000854,PACEMAKER CURRENT+DR ICD #CD2211-36Q,115087.5,115087.5,37265
CSS,MS-S-002406,STENT GRAFT VALLANT CAPTIVLA MEDTRONIC VAMF2626C100T,115087.5,115087.5,43583
CSS,MS-S-005075,STENT GRAFT CAPTIVIA 36/36/100CM MEDTRONIC #VAMF3636C100T,115087.5,115087.5,43583
CSS,MS-S-005511,STENT JR FRED FLOW RE-DIRECTION 2.5X18X13MM  MICRO VENTION # FREDJR2513,115087.5,115087.5,43583
ORTHOPAEDIC WORKSHOP,FMORW-0042,UPPERARM PROSTHESIS (MYOELECTR IC 2 CHANNELS),111888.0,111888.0,96092-00-00
CSS,MS-S-008875,STENT FRED FLOE RE-DIRECTION 3.5/22/16MM  MICRO VENTION # FRED3516,111634.875,111634.875,43583
CSS,MS-S-009191,STENT FRED FLOW RE-DIRECTION 5.5/32/26MM TERUMO # FRED5526,111634.875,111634.875,43583
CSS,MS-A-000494,ANEURYSM EMBOLIZATION SYSTEM W4-7-3 TERUMO # W4-7-3,108810.0,108810.0,60940
X-RAY,FMXRAY1440,IR. Neuro. INTRACRANIAL ANGIOPLASTY + STENTING,99000.0,99000.0,83700-00-00
neurosurgery,FMNEU-0204,MICRONEUROSURGICAL CERVICAL DISCECTOMY AND FUSION FOUR LEVEL,90000.0,90000.0,83700-00-00
CSS,MS-D-001139,DEVICE RECONSTRUCTION CEREBRAL ARTERY  NITINOL BRAIDED REPO 3.0X15 BALT -FRANCE # SILK3.5X15,89977.5,89977.5,37335
CSS,MS-S-009031,STENT CEREBRAL ARTERY RECON DEVICE 2X15MM  BALT -FRANCE # SILK2.0X15,89977.5,89977.5,46352
CSS,MS-S-009182,STENT CEREBRAL ARTERY RECONSTRUCTION DEVICE BALT -FRANCE # SILK20X20,89977.5,89977.5,46352
ORTHOPAEDIC WORKSHOP,FMORW-0039,FOREARM PROSTHESIS ELECTRIC (MYOELECTRIC),89919.0,89919.0,96092-00-00
CSS,MS-G-000248,GRAFT BONE INFUSE 8.0ML/LARGESOFAMOR#7510800,84369.6,84369.6,44692
CSS,MS-G-000258,GRAFT BONE INFUSE 5.6ML MED SOFAMOR # 7510400,79933.5,79933.5,44692
CSS,MS-D-001065,DEVICE PIPELINE FLEX EMBOLIZATION W/SHIELD TECH 4X16MM MEDTRONIC # PED2-400-16,79515.0,79515.0,64358
X-RAY,FMXRAY1377,IR. ANGIOPLASTY AND STENTING OF RENAL ARTERY (BI LATERAL),77000.0,77000.0,83700-00-00
X-RAY,FMXRAY1452,IR. Neuro. VERTEBROPLASTY / KYPHOPLASTY,77000.0,77000.0,83700-00-00
neurosurgery,FMNEU-0203,MICRONEUROSURGICAL CERVICAL DISCECTOMY AND FUSION THERE LEVEL,75000.0,75000.0,83700-00-00
CSS,MS-S-007933,STENT FRED FLOW SIZE 4.0/23/17MMMICROVISON FRED4017 MICROVISON FRED4017,74423.25,74423.25,43583
CSS,MS-S-010387,STENT FRED FLOW RE-DIRECTION 3.0/19/14MM MICROVENTION #FREDJR3014,74423.25,74423.25,43583
CSS,MS-S-010388,STENT FRED FLOW RE-DIRECTION 4.0/44/38MM MICROVENTION #FRED4038,74423.25,74423.25,43583
X-RAY,FMXRAY1433,IR. PULMONARY MECHANICAL THROMBECTOMY,71500.0,71500.0,83700-00-00
X-RAY,FMXRAY1434,IR. PULMONARY CATHETER DIRECTED THROMBOLYSIS,71500.0,71500.0,83700-00-00
Surgery,FMSUR-0339,LIVER TRANSPLANTATION RECIPIENT,68895.0,68895.0,83700-00-00
neurosurgery,FMNEU-0093,STEREOTATIC POLIDOTOMY,66704.0,66704.0,40801-00-00
X-RAY,FMXRAY1444,IR. Neuro. Carotid/vertebral angioplasty+STENTING,66000.0,66000.0,83700-00-00
ORTHOPAEDIC WORKSHOP,FMORW-0049,KNEE EXTARTICULATION WITH TEH  LINA KNEE,65942.0,65942.0,96092-00-00
CSS,MS-S-010384,STENT FLOW DIVERTER CEREBRAL ARTERY 2.75 X 25MM BALT -FRANCE #SILK-V-2.75X25,64170.0,64170.0,46352
CSS,MS-S-010385,STENT FLOW DIVERTER CEREBRAL ARTERY 2.75 X 20MM BALT -FRANCE #SILK-V-2.75X20,64170.0,64170.0,46352
CSS,MS-S-010386,STENT FLOW DIVERTER CEREBRAL ARTERY 2.75 X 15MM BALT -FRANCE #SILK-V-2.75X15,64170.0,64170.0,46352
ORTHOPAEDIC WORKSHOP,FMORW-0044,UPPERARM PROSTHESIS WORK PROST HESIS,63939.0,63939.0,96092-00-00
CSS,MS-M-000591,MESH 3D REAL FIT OSTEONIC  # OND008,62775.0,62775.0,61218
CSS,MS-F-000254,FIBER LASER KARL STORZ #27750273,60542.951175,60542.951175,48017
neurosurgery,FMNEU-0092,STEREOTATIC THALAMOTOMY,60518.0,60518.0,40801-00-00
neurosurgery,FMNEU-0201,MICRONEUROSURGICAL DECOMPRESSION AT TWO LEVEL LUMBAR SPINE,60000.0,60000.0,83700-00-00
neurosurgery,FMNEU-0206,MICRONEUROSURGICAL CERVICAL DISCECTOMY AND FUSION TWO LEVEL,60000.0,60000.0,83700-00-00
CSS,MS-S-010430,STENT FLOW DIVERTER CEREBERAL 4.0X20MM STRYKER #SILK40X20,59985.0,59985.0,46352
ORTHOPAEDIC WORKSHOP,FMORW-0050,ABOVE KNEE PROSTHESIS WITH TEH LINA KNEE,59945.0,59945.0,96092-00-00
ORTHOPAEDIC WORKSHOP,FMORW-0053,HIP EXARTICULATION PROSTHESIS  FREE KNEE,59945.0,59945.0,96092-00-00
Surgery,FMSUR-0094,CONGENITAL DUODENAL OBSTRUCTN,59918.0,59918.0,83700-00-00
Surgery,FMSUR-0342,DIPHRAGMATIC HERNIA REPAIR,59918.0,59918.0,83700-00-00
Surgery,FMSUR-0344,NEONATAL INTESTINAL OBSTRUCTION,59918.0,59918.0,83700-00-00
Surgery,FMSUR-0314,RADICAL BLOCK DISSECTION OF NECK PANCREATICODOU DENECTOMY (W,59017.0,59017.0,83700-00-00
ORTHOPAEDIC WORKSHOP,FMORW-0048,KNEE EXARTICULATION PROSTHESIS,57950.0,57950.0,96092-00-00
CSS,MS-G-000283,GRAFTON 1CM X 20 CM  SOFAMOR # 7509212 INT,56497.5,56497.5,47257
CATH LAB,FMCAT-0049,RADIO FREQUENCY ABLATION,55950.0,55950.0,38306-01-00
ORTHOPAEDIC WORKSHOP,FMORW-0052,ABOVE KNEE PROSTHESIS FREE     KNEE,55948.0,55948.0,96092-00-00
CSS,MS-R-000755,RETRIEVER PRO VUE 4X30MM XP STRYKER # 90185,55451.25,55451.25,61779
X-RAY,FMXRAY1376,IR. ANGIOPLASTY AND STENTING OF RENAL ARTERY (UNI LATERAL),55000.0,55000.0,83700-00-00
X-RAY,FMXRAY1385,IR. EVAR Revision/Endoleak,55000.0,55000.0,83700-00-00
X-RAY,FMXRAY1403,IR. PROSTATIC ARTERY EMBOLIZATION (PAE),55000.0,55000.0,83700-00-00
X-RAY,FMXRAY1407,IR. SPLENIC ARTERY EMBOLIZATION,55000.0,55000.0,83700-00-00
X-RAY,FMXRAY1439,IR. Neuro. INTRACRANIAL ANGIOPLASTY,55000.0,55000.0,83700-00-00
Surgery,FMSUR-0292,AORTA BIFERMORAL GRAFT,54613.0,54613.0,32708-01-00
CSS,MS-S-010510,STENT INTRALUMINAL SUPPORT LVIS JR 2.5X17MM MICROVENTION #172014-CASJ,52312.5,52312.5,61773
CSS,MS-F-000255,FIBER LASER KARL STORZ #27750272,51998.625,51998.625,48017
ORTHOPAEDIC WORKSHOP,FMORW-0051,ABOVE KNEE PROSTHESIS KNEE ADJUSTABLE,51954.0,51954.0,96092-00-00
OPEN HEART SURGEY,FMOHS-0003,OPEN HEART SURGERY FOR 10 HRS,50839.0,50839.0,83700-00-00
CSS,MS-F-000256,FIBER LASER KARL STORZ #27750271,50778.279,50778.279,48017
neurosurgery,FMNEU-0205,MICRONEUROSURGICAL CERVICAL CORPECTOMY AND FUSION,50000.0,50000.0,83700-00-00
X-RAY,FMXRAY1387,IR. Abdominal/pelvice bleeding embolization,49500.0,49500.0,83700-00-00
X-RAY,FMXRAY1436,IR. HEPATIC MAPING,49500.0,49500.0,83700-00-00
X-RAY,FMXRAY1445,IR. Neuro. Carotid/vertebral angioplasty,49500.0,49500.0,83700-00-00
X-RAY,FMXRAY1382,IR. ANGIOPLASTY + stenting OF FEOMRO- POPLITEAL  ARTERY (UNI LATERAL),49275.0,49275.0,83700-00-00
CSS,MS-G-000257,GRAFT BONE MAGNIFUSE 2.5X10CM SOFAMOR # 7509221INT,49173.75,49173.75,47257
INTERNAL MEDICINE,FMINT-0018,HEMODIALYSIS TYPE C2 (72SE),48263.0,48263.0,13100-00-00
CSS,MS-R-000757,RETRIEVER TREVO XP PROVUE 4X20MM  STRYKER # 90182,48022.875,48022.875,61779
CARDIO THORACIC SURGERY,FMCAT-0051,REMOVAL OF THROMBOSE,47935.0,47935.0,83700-00-00
E. N. T.,FMENTE4029,INFRA TEMPORAL FOSSA APPROACH TYPE A,47752.0,47752.0,83700-00-00
CSS,MS-P-001035,PLEXUR TECH EXTRA LARGE SOFAMOR # 6100-020,47709.0,47709.0,61403
PLASTIC SURGERY,FMPSDH0023,SKIN GRAFT WITH INTEGRA 15%    + 3 SHEET,47398.0,47398.0,90672-01-00
CSS,MS-D-001146,DEVICE RETRIEVAL ERIC 4X30MM MICRO VENSION #ER174030,47395.125,47395.125,63174
CARDIO THORACIC SURGERY,FMCAT-0050,PATCH CLOSURE AND RUPTURED SINUS OF VALSAVA,46018.0,46018.0,83700-00-00
Surgery,FMSUR-0321,LAPAROSCOPIC DISTAL PANCREATECTOMY WITH SPLEAN PERSERVATION,45875.0,45875.0,83700-00-00
ORTHOPAEDIC WORKSHOP,FMORW-0046,BELOW KNEE PROSTHESIS WITH     CUFF,45669.0,45669.0,96092-00-00
ORTHOPAEDIC,FMORT-0494,CORRECTION OF DEFORMITIES LIMB,44700.0,44700.0,83700-00-00
X-RAY,FMXRAY1371,IR. ANGIOPLASTY OF AORTOILIAC ARTERY,44000.0,44000.0,83700-00-00
X-RAY,FMXRAY1379,IR. ANGIOPLASTY OF FEOMRO-POPLITEAL ARTERY (BI LATERAL),44000.0,44000.0,83700-00-00
X-RAY,FMXRAY1381,IR. ANGIOPLASTY OF INFRAPOPLITEAL ARTERIES (BI LATERAL),44000.0,44000.0,83700-00-00
X-RAY,FMXRAY1386,IR. STENTING OF UL OR LL ARTERY (UNI LATERAL),44000.0,44000.0,83700-00-00
LABORATORY,FMLAB-8096,ONCO-TYPE DX,43323.0,43323.0,83700-00-00
CSS,MS-D-001178,DEVICE SOLITAIRE PLATINUM REVASCULARIZATION 4X40MM MEDTRONIC #SFR4-4-40-10,42896.25,42896.25,61149
CSS,MS-S-010312,SOLITAIRE2 REVASCULARIZATION DEVICE SIZE 6X30 MEDTRONIC # SRD2-6-30,42896.25,42896.25,61149
ORTHOPAEDIC WORKSHOP,FMORW-0156,ABOVE  KNEE  PROSTHESIS,42792.0,42792.0,97823-00-00
urologu,FMURO-9905,LAPAROSCOPIC PARTIAL NEPHRECTOMY,41344.0,41344.0,83700-00-00
urologu,FMURO-9906,LAPAROSCOPIC RADICAL PROSTATECTOMY,41344.0,41344.0,83700-00-00
Surgery,FMSUR-0340,LIVER TRANSPLANTATION DONOR,41332.0,41332.0,83700-00-00
neurosurgery,FMNEU-0091,STEREOTATIC GUIDED-CRANEOTOMY,40836.0,40836.0,40801-00-00
CSS,MS-P-000980,PACEMAKER DDDR W/LEAD & INDTRODUCER BIOTRONIC #359529,40803.75,40803.75,47265
CSS,MS-G-000260,GRAFT BONE INFUSE 2.5X5CM  SOFAMOR # 7510200,40385.25,40385.25,44692
ORTHOPAEDIC,FMORT1002,TOTAL KNEE REPLACEMENT (PROMO),39934.0,39934.0,83700-00-00
ORTHOPAEDIC WORKSHOP,FMORW-0047,BELOW KNEE PROSTHESIS WITH     CUFF PLUS ISCHIEDICUS SUPPORT,38964.0,38964.0,96092-00-00
neurosurgery,FMNEU-0070,STEREOTACTIC TRIGIMINAL RHIZETOMY,38879.0,38879.0,40801-00-00
CSS,MS-S-000816,STENT CORONARY DRUG ELUTED 3.5X20MM TAXUS#(H7493894020350,38502.0,38502.0,35882
X-RAY,FMXRAY1406,IR. UTERINE ARTERY EMBOLIZATION (UAE),38500.0,38500.0,83700-00-00
X-RAY,FMXRAY1422,IR. US guided RFA TUMOR (SOFT TISSUE),38500.0,38500.0,83700-00-00
X-RAY,FMXRAY1437,IR. Neuro. Diagnostic cerebral angiogram,38500.0,38500.0,83700-00-00
X-RAY,FMXRAY1450,IR. Neuro. EACH ADDITIONAL COIL/STENT,38500.0,38500.0,83700-00-00
DENTAL,FMDNTS0244,RECONSTRUCTION OF MANDIBLE (TWO SIDES),37806.0,37806.0,971
DENTAL,FMDNTS0251,RECONSTRUCTION OF MAXILLA (TWO SIDES),37806.0,37806.0,45608-01-01
DENTAL,FMDNTS0275,AUGMENTATION BODY MANDIBLE (TWO SIDES),37806.0,37806.0,332
DENTAL,FMDNTS0279,AUGMENTATION OF MAXILLA (TWO SIDES),37806.0,37806.0,45590-00-01
DENTAL,FMDNTS0295,OSTEOTOMY OF MANDIBLE (HEMIMANDIBLECTOMY),37806.0,37806.0,83700-00-00
DENTAL,FMDNTS0302,OSTEOTOMY OF MAXILLA (HEMIMAXILLECTOMY),37806.0,37806.0,83700-00-00
CSS,MS-M-000327,MESH TITANIUM 3D 200X200X0.06 MM OSTEONIC N3D206M20A,37665.0,37665.0,45612
CSS,MS-P-004744,PLATE MESH ED OSTONIC #N3D106M00A,37665.0,37665.0,46268
CSS,MS-D-001194,DISC CERVICAL 5MM X 14 MM SOFAMOR # 6971450,37662.9075,37662.9075,48164
VASCULAR SURGERY,FMVAS-0084,Embolization of AV Malformation (Large),36739.0,36739.0,83700-00-00
Surgery,FMSUR-0320,LAPAROSCOPIC TME WITH COLON ANASTMOSIS,36704.0,36704.0,83700-00-00
CSS,MS-T-000700,TRAY KYPHOPAK II KPX153RBC SOFAMOR# 1000045453,36618.75,36618.75,47129
ONCOLOGY/NUCLEAR MED,FMONC-1002,CHEMOTHERAPY ONE MO.TREATMENT  (INJ 5 DAYS/WK+FLLOW UP)CLINIC,36351.0,36351.0,96199-00-00
CSS,MS-D-000339,DISC CERVICAL 6 X 16 MM SOFAMOR # 6971660,36325.8,36325.8,48164
CSS,MS-C-003646,CATHETER EKOSONIC ENDOVASCULAR DEVICE BRITISH TECHNOLOGY GROUP # 500-55112,36000.0,36000.0,99999
Surgery,FMSUR-0343,MIDGUT MALROTATION,35951.0,35951.0,83700-00-00
CSS,MS-B-000732,BONE GRAFT MAGNIFUSE OST 10CMSOFAMOR # 7509141INT,35781.75,35781.75,61884
neurosurgery,FMNEU-0200,MICRONEUROSURGICAL DECOMPRESSION AT ONE LEVEL LUMBAR SPINE,35000.0,35000.0,83700-00-00
neurosurgery,FMNEU-0202,MICRONEUROSURGICAL CERVICAL DISCECTOMY AND FUSION ONE LEVEL,35000.0,35000.0,83700-00-00
ORTHOPAEDIC,FMORT-7777,ARTHROPLASTY HIP (PROMO),34239.0,34239.0,83700-00-00
DENTAL,FMDNTS0243,RECONSTRUCTION OF MANDIBLE (ONE SIDE),34034.0,34034.0,971
DENTAL,FMDNTS0294,"OSTEOTOMY OF MANDIBLE (BODY, CHIN AND RAMUS)",34034.0,34034.0,011
DENTAL,FMDNTS0301,OSTEOTOMY OF MAXILLA (PARTIAL MAXILLECTOMY),34034.0,34034.0,311
ORTHOPAEDIC WORKSHOP,FMORW-0045,BELOW KNEE PROSTHESIS WITHOUT  CUFF,33972.0,33972.0,96092-00-00
VASCULAR SURGERY,FMVAS-0053,KIDNEY TRANSPLANTATION,33765.0,33765.0,83700-00-00
PLASTIC SURGERY,FMPSDH0022,SKIN FRAFT WITH INTEGRA 10%    + 2 SHEET,33714.0,33714.0,90672-01-00
CSS,MS-G-000687,GRAFT POSTERIOR TIBIALIS TENDON MIN. LENGTH DIAMETER 7.5 MM 230. LIFENET # FPOST.TIBIAL,33480.0,33480.0,60501
urologu,FMURO-0211,LAPAROSCOPIC RADICAL NEPHRECTOMY,33286.0,33286.0,83700-00-00
NEPHROLOGY,FMNEP-0017,HEMODIALYSIS TYPE C1 (48 SE),33214.0,33214.0,13100-00-00
X-RAY,FMXRAY1378,IR. ANGIOPLASTY OF FEOMRO-POPLITEAL ARTERY (UNI LATERAL),33000.0,33000.0,83700-00-00
X-RAY,FMXRAY1380,IR. ANGIOPLASTY OF INFRAPOPLITEAL ARTERIES (UNI LATERAL),33000.0,33000.0,83700-00-00
X-RAY,FMXRAY1383,IR. ANGIOPLASTY OF VEIN (extracranial),33000.0,33000.0,83700-00-00
X-RAY,FMXRAY1390,IR. PERCUTANEOUS TRANSHEPATIC BILIARY METALIC STENTING,33000.0,33000.0,83700-00-00
X-RAY,FMXRAY1420,IR. CHEMOEMBOLIZATION,33000.0,33000.0,83700-00-00
X-RAY,FMXRAY1421,IR. CT guided RFA TUMOR (BONE),33000.0,33000.0,83700-00-00
CSS,MS-K-000144,KYPHON ADVANCE OSTEO 15/3 INTRODUCER SYSTEM SOFAMORE #KPX153PB-C,32814.585,32814.585,47129
NEUROLOGY,FMNUM-0022,5 DAYS MONITORING,32776.0,32776.0,11000-00-00
CATH LAB,FMCAT-0045,IMPLANTATION OF CRT - D,32023.0,32023.0,38306-01-00
ORTHOPAEDIC WORKSHOP,FMORW-0070,POLIO ABOVE KNEE WALKING BRACE THIGH CUFF,31970.0,31970.0,96092-00-00
Surgery,FMSUR-1004,LAPAROSCOPIC RECTAL RESECTION AND COVERING ILEOSTOMY,31700.0,31700.0,83700-00-00
I.V.F.,FMIVF-0068,C.S. AFTER ICSI (TWIN.RECURRENT CS),31591.0,31591.0,83700-00-00
urologu,URO-0153,INTERSTIM 2 IMLANTATION,31501.0,31501.0,83700-00-00
CSS,MS-B-000921,BLADE SHAVER EXCALIBUR 3.8MM X 13CM #AR-8380EX,31492.125,31492.125,37521
CSS,MS-F-000569,FEMORAL ACS COMPONENT 2.5 LEFT IMPLANTCAST # 42006208,31387.5,31387.5,33175
CSS,MS-S-005915,SHEET COLLAGEN ELASTIN MATRIX SIZE 210 X 297 X 1 MM  MATRIDERM # 83500-200 MATRIDERM # 83500-200,31387.5,31387.5,37165
CSS,MS-V-000123,VALVE TISSUE MITRAL STANDARD SIZE 23MM,31387.5,31387.5,60244
CSS,MS-V-000137,VALVE TISSUE HEART SIZE#21-29 MITROFLOW SORIN,31387.5,31387.5,60242
DENTAL,FMDNTS0293,OSTEOTOMY OF MANDIBLE (BODY AND RAMUS),30827.0,30827.0,322
X-RAY,FMXRAY1405,IR. VARICOCELE EMBOLIZATION/COILING (BILATERAL),30800.0,30800.0,83700-00-00
CSS,MS-S-010483,STENTRIEVER NON DETACHABLE DIA 3MM LENGTH 15MMBALT-FRANCE #CATCHMINI3X15,30341.25,30341.25,46352
CARDIO THORACIC SURGERY,FMCTSS0008,REPAIR OF CHEST WALL DEFECT,30182.0,30182.0,90176-00-00
urologu,FMURO-0216,RENAL BED TUMOR EXCISION,29959.0,29959.0,83700-00-00
ORTHOPAEDIC WORKSHOP,FMORW-0157,BELOW KNEE PROSTHESIS,29957.0,29957.0,96092-00-00
CSS,MS-B-001802,BALLOON EXPANDABLE VIABAHNDIFFERENT SIZES#GORE MEDICAL USA#BXAXXXX2E GORE # BXAXXXX2E,29818.125,29818.125,62218
CSS,MS-G-000282,GRAFTON OSTEOCENTRE 2.5 X 10 CM # C42200,29713.5,29713.5,47257
X-RAY,FMXRAY1498,NM. Thyroid (Theraputic I-131 - 150 MCI),29700.0,29700.0,83700-00-00
CSS,MS-I-000626,IMP-TITANIUM 10X100MM MEDTRONIC # 905-101,29447.752500000002,29447.752500000002,46580
CSS,MS-B-000781,BONE GRAFT MAGNIFUSE 1.75X5CM SOFAMOR # 7509145INT,29441.475000000002,29441.475000000002,61884
CARDIOLOGY,FMCARS0024,EECP FULL COURSE,29203.0,29203.0,99999-99-99
CSS,MS-T-001735, TOTAL KNEE CERAMIC A C S (INCLUDING EXTRA STEM).IMPLANTCAST GERMANY#00144,29190.84,29190.84,33665
CSS,MS-P-001036,PLEXUR TECH LARGE SOFAMOR # 6100-010,29127.600000000002,29127.600000000002,61403
CSS,MS-B-000719,BONE GRAFTON OST MAGNIFUSE 1.0X10CMSOFAMOR#7509211INT,29085.75,29085.75,61884
CSS,MS-B-000801,BONE GRAFT INFUSE X-SMALL 1.4 CCSOFAMOR# 7510100,29085.75,29085.75,16966
ONCOLOGY/NUCLEAR MED,FMNONC-000,RADIO SURGERY OFLACTORY GROOVE MENINGIOMA,29064.0,29064.0,99999-99-99
ONCOLOGY/NUCLEAR MED,FMONCS-000,RADIO SURGERY  OLFACTORY GROOVE,29064.0,29064.0,15600-00-00
CATH LAB,FMCAT-0044,IMPLANTATION OF CRT - P,28898.0,28898.0,38306-01-00
DENTAL,FMDNTS0242,"RECONSTRUCTION OF MANDIBLE(CHIN, BODY AND RAMUS)",28898.0,28898.0,45865-00-00
DENTAL,FMDNTS0250,RECONSTRUCTION OF MAXILLA (ONE SIDE),28898.0,28898.0,366
DENTAL,FMDNTS0254,RECONSTRUCTION OF ZYGOMA (BODY),28898.0,28898.0,90530-03-00
DENTAL,FMDNTS0268,GRAFTING HARD TISUE (SEVERE),28898.0,28898.0,359
DENTAL,FMDNTS0274,AUGMENTATION BODY MANDIBLE (ONE SIDE),28898.0,28898.0,311
DENTAL,FMDNTS0278,AUGMENTATION OF MAXILLA (ONE SIDE),28898.0,28898.0,051
DENTAL,FMDNTS0300,OSTEOTOMY OF MAXILLA (TWO SIDES),28898.0,28898.0,83700-00-00
CSS,MS-S-009442,STENT GRAFT SYSTEM ENDURANT II MEDTRONIC # ETLW1613C124EE,28875.0,28875.0,99999
CSS,MS-G-000154,GRAFT VASCULAR 8.0MMX70CM STD STRIGHT HELEX #V1103064,28633.77,28633.77,60467
CSS,MS-C-001086,CAGE CENTER PIECE TZ 13X22MM SOFAMOR # 9391322,28458.0,28458.0,38161
CSS,MS-C-001362,CENTERPIECE 16X23MMT2 ALTITUDESOFAMOR#9391623,28458.0,28458.0,34170
CSS,MS-C-001406,CENTERPIECE 16X28MMSOFAMOR # 9391628,28378.485,28378.485,34170
CSS,MS-C-003777,CAGE CENTER PIECE 13X26MM MEDTRONIC # 9391326,28378.485,28378.485,38161
Surgery,FMSUR-0318,LAPAROSCOPIC EXCISION OF OESOPHOGEAL STRICTURE WITH STOMACH WRAP,28059.0,28059.0,83700-00-00
ORTHOPAEDIC WORKSHOP,FMORW-0028,CHENEAU SCOLIOSIS BRACE,27975.0,27975.0,96092-00-00
ORTHOPAEDIC WORKSHOP,FMORW-0040,FOREARM PROSTHESIS COSMETIC &  WORK HOOK,27975.0,27975.0,96092-00-00
ORTHOPAEDIC WORKSHOP,FMORW-0041,UPPERARM PROSTHESIS & ELBOW    JOINT COSMETIC,27975.0,27975.0,96092-00-00
LABORATORY,FMLAB-8093,ONCODEEP,27905.0,27905.0,83700-00-00
E. N. T.,FMENTE6026,COCHLEAR IMPLANT SURGERY,27762.0,27762.0,41617-00-01
urologu,FMURO-0103,RESISTANT STONE REMOVAL (PKG),27762.0,27762.0,83700-00-00
urologu,FMURO-0104,PERCUTANEOUS NEPHROLITHOLOPAXY + OPEN SURGERY (KIDNEY STONES),27762.0,27762.0,36639-01-01
Surgery,FMSUR-9936,WHIPPLES PROCEDURE,27563.0,27563.0,83700-00-00
CARDIO THORACIC SURGERY,FMCTS-0080,TRACHEO-ESOPHAGEAL FISTULA REPAI THE COLON TRANSPOSITION,27551.0,27551.0,38418-00-00
PEDIATRIC SURGERY,FMPDS-0150,REPAIR OF CLOACAL EXTROPHY,27551.0,27551.0,83700-00-00
PEDIATRIC SURGERY,FMPDS-0180,tracheo-esophageal fistula repair the colon transposition,27551.0,27551.0,83700-00-00
VASCULAR SURGERY,FMVAS-0079,SUPRA RENAL AORTIC ANEURYSM REPAIR (OPEN REPAIR),27551.0,27551.0,83700-00-00
VASCULAR SURGERY,FMVAS-0081,AORTO MESENETRIC BYPASS,27551.0,27551.0,83700-00-00
X-RAY,FMXRAY1372,IR. ANGIOPLASTY OF SPLENIC ARTERY,27500.0,27500.0,83700-00-00
X-RAY,FMXRAY1373,IR. ANGIOPLASTY OF HEPATIC ARTERY,27500.0,27500.0,83700-00-00
X-RAY,FMXRAY1374,IR. ANGIOPLASTY OF MESENTRIC ARTERY,27500.0,27500.0,83700-00-00
X-RAY,FMXRAY1375,IR. ANGIOPLASTY OF RENAL ARTERY,27500.0,27500.0,83700-00-00
X-RAY,FMXRAY1389,IR. PERCUTANEOUS TRANSHEPATIC DRAINAGE (PTD),27500.0,27500.0,83700-00-00
