Internal Code,Item Name,Service Type,NPHIES Code (Hyphenated )2,Price,LOS
FMORT-0193,DORSAL SPINAL FUSION (POSTERIOR SCOLOSIS CORRECTION),PKG,48642-00-00,100800.0,(3 days)
FMORT-0194,DORSO-LUMBAR SPINAL FUSION W/ HARRINGTON ROD LONG SEGMENT,PKG,48681-00-00,100800.0,(3 days)
FMORT-0224,REVISN OF TOTAL HIP REPLACEMNT (INCLUDE IMPLANT),PKG,49324-00-00,100800.0,(1day)
FMORT-0636,CORRECTION OF SCOLLIOSIS,PKG,90011-02-00,100800.0,(3 days)
FMORT-0683,EXPLORATION AND REPAIR OF BRAC HIAL FLEXUS.,PKG,39300-00-00,100800.0,(1day)
FMORT-0690,SPINAL FUSION WITH MICOMED SYS TEM,PKG,48660-00-00,100800.0,(2 days)
FMNEU-3396,CRANIOTOMY FOR SURGICAL CLIPPING OF CEREBRAL ANEURYSM - ANTERIOR CIRCULATION,PKG,39800-00-00,100000.0,4 INCLUDING ICU 
FMNEU-3398,CRAINIOTOMY AND SURGICAL EXCISION OF SUPRATENTORIAL CRANIAL ARTERIO-VENOUS MALFORMATION,PKG,39806-00-00,100000.0,4 INCLUDING ICU 
FMNEU-3446,STERIOTACTIC INSERTION OF DEEP BRAIN STIMULATOR FOR MOTOR DISORDER (STIMULATOR ELECTRODES + BATTERY + IMPLANTS NOT INCLUDED),PKG,90007-01-00,100000.0,(1day)
FMNEU-3586,LUMBAR DISCECTOMY ANTERIOR/LATERAL APPROACH + FUSION - THREE LEVELS-W/OUT IMPLANT,PKG,40300-01-00,100000.0,(3 days)
FMNEU-3575,PERCUTANEOUS FIXATION WITHOUT SCREW WITH OUT IMPLANT - 4 TO 6 LEVELS,PKG,90011-02-00,98800.0,(2 days)
FMCAR-0554,TGA REPAIR,PKG,61320-00-00,97500.0,(5 days)
NEU-0033,Aneurysm- Repair (Other),Service,33116-00-00,97500.0,
FMXRAY1698,Cerebral Thrombolysis,PKG,33800-00-01,96525.0,(3 days)
FMCAR-3071,Atrial Fibrillation using a cryotherapy,PKG,38287-02-00,96000.0,(1day)
FMCAR-3093,Rotablation Angioplasty ,PKG,90218-00-00,96000.0,(5 days)
FMNEU-3392,CRANIOTOMY EXCISION OF BRAINSTEM TUMOUR,PKG,39903-00-00,96000.0,4 INCLUDING ICU 
FMURO-3125,Kidney Transplant ( RECEPIENT ),PKG,36503-00-00,96000.0,(5 days)
FMCAR-0556,Total anomalous pulmonary venous drainage repair (TAPVD) REPAIR,PKG,90223-01-00,95000.0,(5 days)
FMNEU-3510,POSTERIOR CERVICAL FUSION AND FIXATION - MORE THAN 4 -6 LEVELS W/OUT IMPLANT,PKG,90011-02-00,92400.0,(3 days)
FMNEU-3512,OCCIPITO CERVICAL POSTERIOR FUSION AND FIXATION W/OUT IMPLANT,PKG,90011-02-00,92400.0,(3 days)
FMNEU-3516,ANTERIOR CERVICAL DISCECTOMY AND PLATE FIXATION - MORE THAN 3 LEVELS - W/OUT IMPLANT,PKG,40333-01-00,92400.0,(2 days)
FMNEU-3383,CRANIOTOMY AND EXCISION OF C-P ANGLE TUMOUR,PKG,90007-02-00,92000.0,4 INCLUDING ICU
FMNEU-3483,ANTEROLATERAL THORACO OR LUMBER APPROACH WITH STABILIZATION – THREE LEVELS W/OUT IMPLANT,PKG,40351-00-00,92000.0,(2 days)
FMNEU-3719,Clipping of cerebral aneurysm,PKG,39800-00-00,92000.0,(2 days)
FMCTS-2021,FONTAN SURGERY,PKG,61320-00-00,90000.0,(5 days)
FMSUR-3701,Bentall WITHOUT prothesis + Arch Replacement,PKG,38556-02-00,90000.0,(5 days)
FMORT-0658,ANERIOR AND POSTERIOR CORRECTION OF SCOLIOSIS WITH FIXATION AND GRAFTING  - 6 DAYS,PKG,90595-00-00,89910.40000000001,(4 days)
FMNEU-3303,Craniotomy for Surgical dipping of Cerebral Aneurysm,PKG,39800-00-00,89600.0,(3 days)
FMNEU-3304,Crainiotomy for Surgical excession of cranial AVM,PKG,35412-00-00,89600.0,(4 days)
FMNEU-3306,Craniotomy and exesion of Deep sealed / Skull base Brain Tumor,PKG,40600-03-00,89600.0,4 INCLUDING ICU 
FMNEU-3574,PERCUTANEOUS FIXATION WITHOUT SCREW WITH OUT IMPLANT - THREE LEVELS,PKG,90011-02-00,88400.0,(2 days)
SMA0052,PROBE COVER F/THERMOMETER WELCH ALLYN # 05031-101,Consumables,37340,0.1,
FMORW-0039,Forearm Prosthesis Electric (Myoelectric),Service,96092-00-00,86156.0,
FMNEU-3581,POSTERIOR OR TRANSFORAMINAL LUMBAR INTERBODY FUSION - TWO LEVELS - W/OUT IMPLANT,PKG,90011-02-00,86000.0,(2 days)
FMSUR-3352,"Obliteration of cerebral aneurysms by coils – large aneurysms (> 10 mm) including the basic microcather, microguide wire and the first coil",PKG,35412-00-00,84480.0,(3 days)
FMNEU-3579,POSTERIOR FUSION AND STABILIZATION WITH OUT IMPLANT - 4 TO 6 LEVELS,PKG,90011-02-00,84400.0,(3 days)
FMNEU-3594,REVISION SPINAL FIXATION + ADJUSTMENT OF SPINAL IMPLANT (CER/TH/LUM)- 4 TO 6 LEVELS,PKG,90011-02-00,84400.0,(3 days)
FMNEU-3482,ANTEROLATERAL THORACO OR LUMBER APPROACH WITH STABILIZATION – TWO LEVELS W/OUT IMPLANT,PKG,40351-00-00,84000.0,(2 days)
FMNEU-3585,LUMBAR DISCECTOMY ANTERIOR/LATERAL APPROACH + FUSION - TWO LEVELS-W/OUT IMPLANT,PKG,40300-01-00,84000.0,(2 days)
FMORT-0686,REVISION OF TOTAL KNEE REPLACE MENT (INCLUDE IMPLANT),PKG,49527-00-01,84000.0,(2 days)
FMORT-0698,DORSAL EPIPHYSIODESIS OF CONGI NITAL SCOLIOSIS,PKG,48509-00-01,84000.0,(2 days)
FMORT-0746,COMBINED ANTERIOR AND POSTERIOR OR CERVICAL FIXATION,PKG,40316-00-00,84000.0,(3 days)
FMORT-0749,COMBINED ANTERIOR & POSTERIOR FIXATION ( DORSO-LUMBAR ),PKG,48678-00-00,84000.0,(2 days)
FMORT-0763,ANTERIOR RELEASE & INSTRUMENTATION FOR SCOLIOSIS,PKG,48678-00-00,84000.0,(2 days)
FMORT-0764,POSTERIOR CORRECTION AND FIXATION KYPHOSIS,PKG,48669-00-00,84000.0,(3 days)
FMORT-0767,ANT.RESECTION OF ONE VERTEBRA W/FIXATION,PKG,48639-00-00,84000.0,(2 days)
FMORT-1052,REVISION OF SPINAL FUSION ( MULTIPLE LEVEL ),PKG,50620-00-00,84000.0,(2 days)
FMNEU-3328,Craniotomy and excision of Foramen Mangum Tumour,PKG,39640-00-00,80000.0,(3 days)
FMNEU-3771,Deep Brain Stimulation EXCLUDING THE IMPLANTS,PKG,90007-02-00,80000.0,(1day)
NEU-0042,WITH PEDICAL SCREW FIXATION ( ONE LEVEL ) 1 Day ICU,PKG,47732-00-01,80000.0,(3 days)
FMNEU-3573,PERCUTANEOUS FIXATION WITHOUT SCREW WITH OUT IMPLANT - TWO LEVELS,PKG,90011-02-00,79600.0,(2 days)
FMNEU-0204,Microneurosurgical Cervical Discectomy And Fusion Four Level,PKG,40333-01-00,79200.0,(3 days)
FMXRAY1440,IR. Neuro. INTRACRANIAL ANGIOPLASTY + STENTING,PKG,35309-06-00,79200.0,(2 days)
FMNEU-3400,CAROTID-CAVERNOUS FISTULA EMBOLIZATION,PKG,35321-03-00,78400.0,(2 days)
FMNEU-3401,ENDOVASCULAR INTERVENTION FOR CEREBRO-VASCULAR LESION,PKG,35412-00-00,78400.0,3 INCLUDING ICU
FMNEU-3402,ENDOVASCULAR INTERVENTION FOR CEREBRAL ANEURYSM,PKG,35412-00-00,78400.0,3 INCLUDING ICU
FMNEU-3408,Resection of Spinal Cord AVM/Vascular Malformation,PKG,40318-00-00,78400.0,(2 days)
FMNEU-3409,EMBOLIZATION SPINAL VASCULAR MALFORMATION/LESION,PKG,35321-10-00,78400.0,(2 days)
FMNEU-3443,STEREOTACTIC GUIDED THALAMOTOMY FOR MOTOR DISORDER,PKG,90007-01-00,78400.0,(2 days)
FMNEU-3444,STEREOTACTIC GUIDED POLIDOTOMY FOR MOTOR DISORDER,PKG,90007-01-00,78400.0,(2 days)
FMNEU-3477,ANTERIOR CERVICAL CORPECTOMY AND STABILIZATION - THREE LEVELS W/OUT IMPLANT,PKG,40335-00-00,78400.0,(2 days)
FMNEU-3486,POSTERIOLATERAL THORACIC OR LUMBAR CORPECTOMY - THREE LEVELS - W/OUT IMPLANT,PKG,40351-00-00,78400.0,(2 days)
FMNEU-3517,TRANS ORAL/TRANS NASAL ODONTOIDECTOMY,PKG,90007-01-00,78400.0,(1day)
FMNEU-3509,POSTERIOR CERVICAL FUSION AND FIXATION - 3 LEVELS W/OUT IMPLANT,PKG,90011-02-00,76400.0,(3 days)
FMNEU-3515,ANTERIOR CERVICAL DISCECTOMY AND PLATE FIXATION - 3 LEVELS - W/OUT IMPLANT,PKG,40333-01-00,76400.0,(3 days)
FMNEU-3327,Craniotomy and excision of Clival Tumour,PKG,39640-00-00,76000.0,4 INCLUDING ICU 
FMNEU-3381,TRANS-SPHENOIDAL EXCISION OF SELLAR TUMOUR,PKG,90007-00-00,76000.0,(4 days)
FMNEU-3389,CRANIOTOMY EXCISION OF SKULL BASE TUMOUR,PKG,43987-02-00,76000.0,4 INCLUDING ICU
FMNEU-3405,Extracranial to intracranial bypass with saphenous vein graft,PKG,39821-00-00,76000.0,(3 days)
FMNEU-3406,Extracranial to intracranial bypass with radial artery graft,PKG,90006-00-00,76000.0,(3 days)
FMNEU-3410,TEMPORAL LOBECTOMY FOR EPILEPSY SURGERY,PKG,40703-02-00,76000.0,3 days including ICU 
FMNEU-3411,CORPUS CALLOSOTOMY FOR EPILEPSY SURGERY,PKG,40700-00-00,76000.0,(3 days)
FMNEU-3414,PARTIAL LOBECTOMY FOR EPILEPSY,PKG,40703-02-00,76000.0,3 INCLUDING ICU
FMNEU-3416,MICROSCOPIC BRAIN EXCISION OF EPILEPTIC FOCUS,PKG,39700-00-00,76000.0,(2 days)
FMNEU-3434,FRONTO-ORBITAL ADVANCEMENT FOR CRANIOSYNOSTOIS,PKG,45593-02-01,76000.0,(4 days)
FMNEU-3436,CRANIAL VAULT REMODELING FOR CRANIOSYNOSTOIS,PKG,45785-03-00,76000.0,(4 days)
FMNEU-3439,OPTIC NERVE SHEETH FENESTRATION,PKG,42545-00-00,76000.0,(1day)
FMNEU-3440,MICRVASCULAR DECOMPRESSION FOR HEMIFACIAL SPASM,PKG,41569-00-00,76000.0,(2 days)
FMNEU-3441,MICRVASCULAR DECOMPRESSION OF TRIGEMINAL NERVE,PKG,90016-01-00,76000.0,(2 days)
FMNEU-3442,MICRO VASCULAR DECOMPRESSION - OTHER CRANIAL NERVES,PKG,39112-00-00,76000.0,(2 days)
FMNEU-3479,ANTERIOR THORACIC CORPECTOMY AND STABILIZATION - TWO LEVELS W/OUT IMPLANT,PKG,40348-00-00,76000.0,(2 days)
FMNEU-3481,ANTEROLATERAL THORACO OR LUMBER APPROACH WITH STABILIZATION – ONE LEVEL W/OUT IMPLANT,PKG,40351-00-00,76000.0,(2 days)
FMNEU-3494,CERVICAL LAMINOPLASTY - MORE THAN 3 LEVELS W/OUT IMPLANT,PKG,90011-01-00,76000.0,(2 days)
FMNEU-3524,LATERAL OR POSTEROLATERAL APPROACH AND THORACIC DISCECTOMY - 3 LEVELS,PKG,40300-01-00,76000.0,(2 days)
FMNEU-3527,THORACIC DISC EXCISION TRANSPEDICULAR - 3 LEVELS,PKG,48691-01-00,76000.0,(2 days)
FMCAR-0555,Double Outlet Right Ventricle (DORV) REPAIR,PKG,90223-01-00,75000.0,(5 days)
FMCAR-0558,Atrioventricular Canal (AVC) REPAIR ,PKG,90223-01-00,75000.0,(5 days)
FMCAT-0053,"LEADLESS PACEMAKER INSERTION ,5DAY/S",PKG,38353-00-00,75000.0,(5 days)
FMNEU-3388,CRANIOTOMY EXCISION OF PARASAGITTAL TUMOUR,PKG,90007-02-00,74400.0,(4 days)
FMNEU-3393,ENDOSCOPIC EXCISION OF INTRA-VENTRICULAR TUMOUR,PKG,39712-03-00,74400.0,(2 days)
FMCAT-0042,Diagnostic EP study and ablation of Slow pathways (conventional kit) ,PKG,38209-00-00,74000.0,(4 days)
FMNEU-3461,SELECTIVE DORSAL ROOT RHIZOTOMY - MORE THAN THREE LEVELS,PKG,90011-06-00,74000.0,(1day)
FMNEU-3578,POSTERIOR FUSION AND STABILIZATION WITH OUT IMPLANT - THREE LEVELS,PKG,90011-02-00,74000.0,(3 days)
FMNEU-3593,REVISION SPINAL FIXATION + ADJUSTMENT OF SPINAL IMPLANT (CER/TH/LUM)-THREE LEVEL,PKG,90011-02-00,74000.0,(3 days)
FMSUR-3351,"Obliteration of cerebral aneurysms by coils – Medium aneurysms (5 to 10 mm) including the basic microcatheter, microguide wire and the first coil",PKG,35412-00-00,73920.0,(3 days)
FMNEU-3387,CRANIOTOMY EXCISION OF DEEP CEREBRAL TUMOUR,PKG,90007-02-00,73600.0,4 including ICU 
FMNEU-3391,CRANIOTOMY EXCISION OF DEEP CEREBELLAR TUMOUR,PKG,90007-02-00,73600.0,4 including ICU 
FMNEU-3412,CORTICAL RESECTION FOR EPILESPY,PKG,40703-00-00,72000.0,(2 days)
FMNEU-3523,LATERAL OR POSTEROLATERAL APPROACH AND THORACIC DISCECTOMY - 2 LEVELS,PKG,40300-01-00,72000.0,(3 days)
FMNEU-3526,THORACIC DISC EXCISION TRANSPEDICULAR - 2 LEVELS,PKG,48691-01-00,72000.0,(2 days)
FMXRAY-1509,MALFORMATION,Service,59970-02-00,71610.0,
FMCAR-0551,GLENN SHUNT,PKG,61320-00-00,71250.0,(5 days)
FMCAR-0553,COARCTATION REPAIR,PKG,61320-00-00,71250.0,(5 days)
FMCAR-0574,TETRALOGY OF FALLOT REPAIR ,PKG,90223-01-00,71250.0,(5 days)
FMCAR-0575,VSD REPAIR ,PKG,90223-01-00,71250.0,(5 days)
FMPSD-1456,"DIEP flap breast reconstruction with abdominal flap harvest, intercostal artery dissection, and microsurgical anastomosis.",PKG,45530-02-01,71250.0,(5 days)
FMNEU-3322,Anterolateral Thoraco – Lumber approach – Single level with fusion,PKG,90011-01-00,71200.0,(2 days)
FMCAR-3006,CABG & Double Mechanical Valve,PKG,38497-04-00,71080.0,(7 days)
FMCAT-0050,Biventricular ICD implantation ,PKG,38368-00-00,70400.0,(5 days)
FMNEU-3476,ANTERIOR CERVICAL CORPECTOMY AND STABILIZATION - TWO LEVELS W/OUT IMPLANT,PKG,40335-00-00,70400.0,(2 days)
FMNEU-3478,ANTERIOR THORACIC CORPECTOMY AND STABILIZATION - ONE LEVEL W/OUT IMPLANT,PKG,40348-00-00,70400.0,(2 days)
FMNEU-3485,POSTERIOLATERAL THORACIC OR LUMBAR CORPECTOMY - TWO LEVELS - W/OUT IMPLANT,PKG,40351-00-00,70400.0,(2 days)
FMNEU-3451,INSERTION OF VAGUS NERVE STIMULATOR (VNS) - (STIMULATOR ELECTRODES + BATTERY + IMPLANTS NOT INCLUDED),PKG,18244-00-01,70000.0,(2 days)
FMNEU-3572,PERCUTANEOUS FIXATION WITHOUT SCREW WITH OUT IMPLANT - ONE LEVEL,PKG,90011-02-00,70000.0,(2 days)
FMNEU-3580,POSTERIOR OR TRANSFORAMINAL LUMBAR INTERBODY FUSION - ONE LEVEL - W/OUT IMPLANT,PKG,90011-02-00,70000.0,(2 days)
FMNEU-3599,PERCUTANEOUS BALLOON KYPHOPLASTY,PKG,90011-02-00,70000.0,(2 days)
PKORT-0007,Genu Varus Bilateral Femur Correction with 8-plate fixations,PKG,48500-00-00,70000.0,(3 days)
FMNEU-3321,"Laminectoplasty l Laminectomy for Spinal Tumor Difuse (Glioma, Ependymoma)",PKG,48681-00-00,68800.0,(4 days)
FMCAR-3013,DOUBLE VALVE REPLACEMENT ( MITRAL AND AORTIC ) W/OUT PRICE OF VALVE,PKG,38653-06-00,68680.0,7 for the CABG  operation
FMNEU-3506,ATLANTO AXIAL POSTERIOR FUSION W/OUT IMPLANT,PKG,90011-02-00,68400.0,(3 days)
FMNEU-3508,POSTERIOR CERVICAL FUSION AND FIXATION - 2 LEVELS W/OUT IMPLANT,PKG,90011-02-00,68400.0,(3 days)
FMNEU-3511,ODONTOID SCREW FIXATION - W/OUT IMPLANT,PKG,90011-02-00,68400.0,(2 days)
FMNEU-3514,ANTERIOR CERVICAL DISCECTOMY AND PLATE FIXATION - 2 LEVELS - W/OUT IMPLANT,PKG,40333-01-00,68400.0,(2 days)
FMCAR-3085,valve replacement excluding valve (Prosthetic valve endocarditis),PKG,38553-03-00,68000.0,(8 days )
FMNEU-3326,Craniotomy and excision of C P Angle Tumour,PKG,39640-00-00,68000.0,3 INCLUDING ICU
FMNEU-3352,CRANIOTOMY AND EVACUATION OF EXTRADURAL + SUBDURAL COLLECTION + BRAIN ABSCESS,PKG,39703-01-00,68000.0,3 INCLUDING ICU
FMNEU-3438,DECOMPRESSION OF OPTIC NERVE - OPTIC CANAL PART,PKG,42545-01-01,68000.0,(3 days)
FMNEU-3493,CERVICAL LAMINOPLASTY - 3 LEVELS W/OUT IMPLANT,PKG,90011-01-00,68000.0,(1day)
FMNEU-3499,CERVICAL DISCECTOMY ANTERIOR APPROACH – MORE THAN 3 LEVELS WITH FUSION W/OUT IMPLANT,PKG,40333-01-00,68000.0,(3 days)
FMNEU-3505,INSERTION OF CERVICAL DISC PROSTHESIS - TWO LEVELS -W/OUT IMPLANT,PKG,48691-01-00,68000.0,(3 days)
FMNEU-3522,LATERAL OR POSTEROLATERAL APPROACH AND THORACIC DISCECTOMY - 1 LEVEL,PKG,40300-00-00,68000.0,(3 days)
FMNEU-3525,THORACIC DISC EXCISION TRANSPEDICULAR - 1 LEVEL,PKG,48691-01-00,68000.0,(3 days)
FMNEU-3584,LUMBAR DISCECTOMY ANTERIOR/LATERAL APPROACH + FUSION - ONE LEVEL-W/OUT IMPLANT,PKG,40300-00-00,68000.0,(3 days)
FMORT-0669,RETRO PERITONIAL ANTERIOR SPINAL FIXATION,PKG,48678-00-00,67200.0,(2 days)
FMORT-0680,REVISION OF SPINAL FUSION ( ONE LEVEL ),PKG,50620-00-00,67200.0,(2 days)
FMORT-0768,RESECTION OF SPINAL CORD TOMOUR,PKG,90011-01-00,67200.0,(2 days)
FMORT-1051,ANTERIOR THORACIC SPINAL FUSION,PKG,48660-00-00,67200.0,(3 days)
FMCAR-3005,CABG & Double Tissue Valve,PKG,38497-04-00,67080.0,(7 days)
FMXRAY1731,IR. EXTRACRANIAL ANGIOPLASTY + STENTING,PKG,59970-02-00,66200.0,5days including ICU
FMNEU-0203,Microneurosurgical Cervical Discectomy And Fusion Three Level,PKG,40333-01-00,66000.0,(3 days)
FMNEU-3460,SELECTIVE DORSAL ROOT RHIZOTOMY - THREE LEVELS,PKG,40330-00-00,66000.0,(1day)
VAS-0029,INTRACRANIAL ANGIOPLASTY FOR VASOSPASM,PKG,33806-01-01,65000.0,(4 days)
PKORT-0019,MIS/OPEN COMPLEX SPINO-PELVIC DISSOCIATION FIXATION,PKG,48681-00-00,64800.0,(5 days)
CAR-2101,Intra Cardiac Tumor Excision,PKG,38456-00-00,64496.0,(2 days)
FMCAR-3068,Implantation of ICD Single,PKG,90203-08-00,64350.4,(2 days)
30-57-02,DRESSING SHEET 20CMx10M CURAFIX/HYPAFIX #350300/30344,Consumables,99999,0.1,
FMNEU-3767,Stereotactic Biopsy Brain,PKG,40801-00-00,64000.0,(2 days)
FMSUR-3355,"Embolization of cranial and spinal arteriovenous malformations by glue and coils > 6 nedal injections including the basic microcatheter, microguide wire and the first coil",PKG,35321-02-00,63840.0,(2 days)
FMXRAY1735,Bilateral Ovarian Vein Embolization,PKG,35321-06-00,63750.0,(1day)
FMNEU-3577,POSTERIOR FUSION AND STABILIZATION WITH OUT IMPLANT - TWO LEVELS,PKG,90011-02-00,63600.0,(3 days)
FMNEU-3592,REVISION SPINAL FIXATION + ADJUSTMENT OF SPINAL IMPLANT (CER/TH/LUM) - TWO LEVEL,PKG,90011-02-00,63600.0,(3 days)
FMORW-0049,Knee Extarticulation With Teh Lina Knee,Service,96092-00-00,63204.0,
FMORT-0760,HEMIVERTEBRA EXCISION,PKG,48639-00-00,63000.0,(2 days)
FMNEU-3475,ANTERIOR CERVICAL CORPECTOMY AND STABILIZATION - ONE LEVEL W/OUT IMPLANT,PKG,40331-00-00,62400.0,(2 days)
FMNEU-3484,POSTERIOLATERAL THORACIC OR LUMBAR CORPECTOMY - ONE LEVEL - W/OUT IMPLANT,PKG,40351-00-00,62400.0,(2 days)
FMNEU-3498,CERVICAL DISCECTOMY ANTERIOR APPROACH – 3 LEVELS WITH FUSION W/OUT IMPLANT,PKG,40333-01-00,62400.0,(3 days)
FMNEU-3736,Anterior thoracic corpectomy and stabilization,PKG,90011-02-00,62400.0,(2 days)
FMSUR-3349,"Obliteration of cerebral aneurysms by coils – Small aneurysms (<5 mm) including the basic microcatheter, microguide wire and the first",PKG,35412-00-00,62400.0,(2 days)
FMORT-0699,CERVICAL POSTERIOR DECOMPRESSI ON WITH PLATTING (MULTIPLE LEVEL),PKG,40335-00-00,62160.0,(3 days)
FMCAT-0052,Subcutaneous ICD implantation,PKG,38390-00-00,61600.0,(5 days)
FMXRAY1377,IR. ANGIOPLASTY AND STENTING OF RENAL ARTERY (BI LATERAL),PKG,35309-06-00,61600.0,(2 days)
FMXRAY1452,IR. Neuro. VERTEBROPLASTY / KYPHOPLASTY,PKG,35400-00-00,61600.0,(3 days)
FMORW-0044,Upperarm Prosthesis Work Prosthesis,Service,96092-00-00,61276.0,
FMCAR-3069,Implantation of ICD Double,PKG,38368-00-00,60000.0,(2 days)
FMCAR-3096,Shockwave Intravascular Lithotripsy (IVL) System,PKG,92199-00-00,60000.0,(4 days)
