CODE,SERVICES,Price,20% increase -april 2021
FMCTSS0020,MONALDI'S PROCEDURE,2205,2646.0
FMCTSS0021,INTERNAL PACE MAKER,2940,3528.0
FMCTSS0022,REPAIR OF WOUND DEHESENCE,3674.9999999999995,4410.0
FMCTSS0023,SMALL DRESSING,50,60.0
FMCTSS0024,MEDIUM DRESSING,60,72.0
FMCTSS0025,LARGE DRESSING,90,108.0
FMCTSS0026,PDA CLOSURE BY COIL,1780,2136.0
FMCTSS0027,ASD CLOSURE BY DEVICE,2667,3200.4
FMCTSS0028,PDA CLOSURE BY DEVICE,2667,3200.4
MTCTS-0001,SUPERFICIAL LYMPHNODE BIOPSY,315,378.0
FMCAR-0000,CARDIOLOGY CONSULTATION- IN PT,100,120.0
FMCAR-0001,REFERAL FROM OTHER DOCOR,100,120.0
FMCAR-0002,E.C.G.,150,180.0
FMCAR-0003,E.C.G. WITH ERGOMETRY,800,960.0
FMCAR-0004,ECHO CARDIOGRAM 2D + M MODE,1000,1200.0
FMCAR-0005,ECHO CARDIOGRAM 2D + M MODE + DOPPLER (FULL STUDY),1100,1320.0
FMCAR-0006,HOLTER MONITOR 24 HOURS ECG,1000,1200.0
FMCAR-0007,TREADMILL EXERCISE STRESS TEST,1125,1350.0
FMCAR-0008,CARDIAC CATHETERIZATION,8000,9600.0
FMCAR-0009,E.C.G. FOR INPATIENT,150,180.0
FMCAR-0010,VENOUS DUPLEX,250,300.0
FMCAR-0011,SURFACE PACEMAKER(NON-INVASIVE,1684,2020.8
FMCAR-0012,EXTERNAL TEMPORARY PACEMAKER,2800,3360.0
FMCAR-0013,PERICARDIOCENTESIS-6,2200,2640.0
FMCAR-0014,ECHO M-MODE ONLY,550,660.0
FMCAR-0015,HYPERTENSION CHECK-UP I,512,614.4
FMCAR-0016,HYPERTENSION CHECK-UP II,1076,1291.2
FMCAR-0017,PERMANENT  PACEMAKER-7,4060,4872.0
FMCAR-0018,PORTABLE ECHO SCREENING,400,480.0
FMCAR-0019,PORTABLE ECHO FULL STUDY,700,840.0
FMCAR-0020,24 HOURS AMBULATORY BP MONITORING,500,600.0
FMCAR-0021,48 HOURS AMBULATORY BY MONITORING,700,840.0
FMCAR-0500,SECOND OPINION CONSULTATION,100,120.0
FMCAR-1000,DAY CARE SUPERVISION,150,180.0
FMCAR-1001,DOCTOR'S DAYCARE SUPERVISION,85,102.0
FMCARS0001,CARDIO VERSION (DC SHOCK),1020,1224.0
FMCARS0002,TEMPORARY PACEMAKER LEVEL REPOSITIONING,1020,1224.0
FMCARS0003,EXTERNAL PACEMAKER USE /DAY,250,300.0
FMCARS0004,ATRIAL PACING,1020,1224.0
FMCARS0005,PERMANENT PACEMAKER IMPLANTATION (DDD),6000,7200.0
FMCARS0006,TRANSESOPHAGEAL ECHOCARDIOGRAPHY (TEE),1300,1560.0
FMCARS0007,PHARMACOLOGICAL TEST,800,960.0
FMCARS0008,PHARMACOLOGICAL STRESS ECHOCARDIOGRAPHY,1600,1920.0
FMCARS0009,ABULATORY BP MONITORING,7500,9000.0
FMCARS0010,INTRA-AROTIC BALLOON INSERTION,1600,1920.0
FMCARS0011,INTRA-AORTIC BALLOON PUMP USE / DAY,700,840.0
FMCARS0012,RIGHT HEART CATHETERIZATION,1200,1440.0
FMCARS0013,LEFT HEART CATHETERIZATION,1200,1440.0
FMCARS0014,CORONARY ANGIOGRAPHY,2200,2640.0
FMCARS0018,CORONARY STENTING,1000,1200.0
FMCARS0020,STRESS TRANOESPHAGEAL ECHO,1300,1560.0
FMCARS0021,ECHO FULL STUDY,1000,1200.0
FMCARS0022,ECHO REPEAT,550,660.0
FMCARS0023,ECHO FOLLOW UP,550,660.0
FMCARS0024,EECP FULL COURSE,16000,19200.0
FMCARS0025,EECP 35 SISSIONS,13000,15600.0
FMCARS0026,EECP ONE SESSION,400,480.0
FMCARS0027,EECP 12 SESSIONS,4500,5400.0
FMCARS0028,EECP,11000,13200.0
FMCARS0030,EXTENDED AMBULATORY ECG MONITORING FOR SEVEN DAYS,1648,1977.6
FMCAT-0001,EXTERNAL PACEMAKER USE/DAY,200,240.0
FMCAT-0002,TEMPORARY PACEMAKER LEAD REPO,1000,1200.0
FMCAT-0003,PERMANENT PACEMAKER IMPLANTATI ON,4000,4800.0
FMCAT-0004,ATRIAL PACING,1000,1200.0
FMCAT-0005,INTRA-AORTIC BALLOON INSERTION,1600,1920.0
FMCAT-0006,INTRA-AORTIC BALLOON PUMP USE,500,600.0
FMCAT-0007,RIGHT HEART CATHETERIZATION,1200,1440.0
FMCAT-0008,LEFT HEART CAHTETERIZATION,1200,1440.0
FMCAT-0009,CORONARY ANGIOGRAPHY,2000,2400.0
FMCAT-0010,BALLON VALVULOPLASTY,1600,1920.0
FMCAT-0011,P.T.C.A. (SINGLE VESSEL),2800,3360.0
FMCAT-0012,P.T.C.A. (MULTI VESSEL),4000,4800.0
FMCAT-0013,CORONARY STENTING,1000,1200.0
FMCAT-0014,BALLON ATRIAL SEPTOSTOMY,2000,2400.0
FMCAT-0015,RENAL ANGIOGRAPHY,1800,2160.0
FMCAT-0016,PERIPHERAL ANGIOGRAPHY,1510,1812.0
FMCAT-0017,REMOVAL OF FOREIGN BODY BY SNARE,1080,1296.0
FMCAT-0020,FOLLOW UP CORONARY AGIOGRAPHY,1080,1296.0
FMCAT-0021,FLOUROSCOPY LIGHT SCREANING,200,240.0
FMCAT-0022,RENAL ANGIOPLASTY AND OR STENTING,2150,2580.0
FMCAT-0023,PERIPHERAL ANGIOPLASTY  AND OR STEN,2150,2580.0
FMCAT-0024,PDA CLOSURE BY COIL,2150,2580.0
FMCAT-0025,PER CARDIAL SINTHESIS,1050,1260.0
FMCAT-0026,PDA CLOSURE BY DEVICE,3200,3840.0
FMCAT-0027,ASD CLOSURE BY DEVICE,3200,3840.0
FMCAT-0028,SINGLE VESSEL PCI,4000,4800.0
FMCAT-0029,TWO VESSEL PCI,6000,7200.0
FMCAT-0030,MULTI VESSEL PCI,7300,8760.0
FMCAT-0031,DIRECT CORONARY STENTING (SINGLE) V,2150,2580.0
FMCAT-0032,MULTI VESSEL DIRECT CORONARY STENTI,4300,5160.0
FMCAT-0033,CAROTID ANGIOGRAPHY,2015,2418.0
FMCAT-0034,CAROTID ANGIOGRAPHY/STENTING,3200,3840.0
FMCAT-0035,CEREBRAL ANGIOGRAPHY,1650,1980.0
FMCAT-0036,CEREBRAL ANGIOPLASTY OR STENTING,3200,3840.0
FMCAT-0037,CAT LAB PROCEDURE EXTRA COPY,45,54.0
FMCAT-0038,PERMANENT PACEMAKER PROGRAMMING,200,240.0
FMCAT-0039,CORONARY THROMBECTOMY 1,1000,1200.0
FMOBGZ9999,USE OF DELIVERY ROOMS,400,480.0
FMDNT-0001,REFERAL FROM OTHER DOCTOR -OP,95,114.0
FMDNT00038,REMOVAL OF FIX APPLIANCE,460,552.0
FMDNT-0079,BIOPSY OF BONE (MEDIUM),1215,1458.0
FMDNT-1000,DAY CARE SUPERVISION,255,306.0
FMDNT-1001,DOCTOR'S DAYCARE SUPERVISION,90,108.0
FMDNT-2000,ADDITIONAL FEE FOR COMPLICATEDOPERATIONS G.A.,1555,1866.0
FMDNTC0001,ENUCLEATION OF SMALL CYST,610,732.0
FMDNTC0002,ENUCLEATION OF MODERATE CYST,975,1170.0
FMDNTC0003,ENUCLEATION OF LARGE CYST,1820,2184.0
FMDNTC0004,MARSUPIALIZATION OF CYST,1818.75,2182.5
FMDNTC0005,PLASTIC CLOSURE OF CHRONIC    SKIN  FISTULA,1215,1458.0
FMDNTC0006,CLOSURE OF ACCIDENTAL OPENING OF MAX. SINUS (SMALL),610,732.0
FMDNTC0007,CLOSURE OF ACCIDENTAL OPENING OF MAX. SINUS (LARGE),1215,1458.0
FMDNTC0008,CLOSURE OF CHRONIC  ORO-ANTRALFISTULA,1818.75,2182.5
FMDNTC0009,CALDWELL-LUC OPERATION,2280,2736.0
FMDNTC0010,ALVEOLOPLASTY ONE JAW,1095,1314.0
FMDNTC0011,ALVEOLOPLASTY 1/2 JAW,490,588.0
FMDNTC0012,MAX. TUBEROSITY REDUCTION SOFTTISSUE,245,294.0
FMDNTC0013,MAX.TUBEROSITY PLASTIC REDUC- TION (BONY),365,438.0
FMDNTC0014,REMOVAL OF FLABBY TISSUE ONE  JAW,1095,1314.0
FMDNTC0015,REMOVAL OF FLABBY TISSUE 1/2  JAW,490,588.0
FMDNTC0016,LABIAL FRENECTOMY,610,732.0
FMDNTC0017,LINGUAL FRENECTOMY (TONGUE TIE),735,882.0
FMDNTC0018,REMOVAL OF DENTURE FISSURATUM SMALL,610,732.0
FMDNTC0019,REMOVAL OF DENTURE FISSURATUM WITH GRAFT (M.M.),1215,1458.0
FMDNTC0020,REMOVAL OF TORES PALATINUS SML,365,438.0
FMDNTC0021,REMOV. OF TORES PALATINUS LRGE,610,732.0
FMDNTC0022,REMOV. OF MANDIBULAR TOR.SMLL.,365,438.0
FMDNTC0023,REMOV. OF MADIBULAR  TOR. LRGE,610,732.0
FMDNTC0024,VESTIBULOPLASTY 1/2 JAW,735,882.0
FMDNTC0025,VESTIBULOPLASTY WITH GRAFT(MM),735,882.0
FMDNTC0026,LOWERING OF THE FLOOR OF MOUTH,1818.75,2182.5
FMDNTC0027,RIDGE AUGEMENTATION,2812.5,3375.0
FMDNTC0028,REMOVAL OF SALIVARY CALCUL.ANT,610,732.0
FMDNTC0029,REMVAL OF SALIVARY CALCUL.POST,2246.25,2695.5
FMDNTC0030,ENUCLEATION OF MUCOCELE,610,732.0
FMDNTC0031,MARSUPIALIZATION OF RANULA,610,732.0
FMDNTC0032,THYROGLOSSAL CYST ENUCL./BRAN P CYST,975,1170.0
FMDNTC0033,MANIPULATION OF DISLOCATED TMJ,475,570.0
FMDNTC0034,HERMANN'S OPERATION (LUXATED  TMJ),1215,1458.0
FMDNTC0035,SURGICAL EXCISION  OF INTRA-  ORAL TUMOUR SMALL,365,438.0
FMDNTC0036,SURGICAL EXCISION OF INTRAORALTUMOUR MEDIUM,610,732.0
FMDNTC0037,SURGICAL EXCISION OF INTRAORALTUMOUR LARGE,1215,1458.0
FMDNTC0038,STICHES  FOR DEEP WOUND,320,384.0
FMDNTC0039,STICHES FOR SUPERFICIAL WOUND,125,150.0
FMDNTC0040,REMOVAL OF FOREIGN BODY,1100,1320.0
FMDNTC0041,REMOVAL OF PLATE OR WIRES OF  OLD FRACTURE,610,732.0
FMDNTC0042,ZYGOMATIC  FRACTURE,1740,2088.0
FMDNTC0043,SIMPLE FRACTURE,1820,2184.0
FMDNTC0044,COMPOUND FRACTURE,2280,2736.0
FMDNTC0045,COMPLEX FRACTURE,3187.5,3825.0
FMDNTC0046,INTERMAX. FIXATION TRACTION,1215,1458.0
FMDNTC0047,BIOPSY OF SOFT TISSUE,310,372.0
FMDNTC0048,BIOPSY OF BONE,365,438.0
FMDNTC0049,EXCISION OF TONGUE (PARTIAL),1215,1458.0
FMDNTC0050,HEMIGLOSSECTOMY,1820,2184.0
FMDNTC0051,TOTAL GLOSSECTOMY,1818.75,2182.5
FMDNTC0052,SCAR CORRECTION (SMALL),610,732.0
FMDNTC0053,SCAR CORRECTION (MODERATE),1215,1458.0
FMDNTC0054,SCAR CORRECTION (LARGE),1820,2184.0
FMDNTC0055,ROTATION FLAP (SMALL),610,732.0
FMDNTC0056,ROTATION FLAP (MODERATE),1215,1458.0
FMDNTC0057,ROTATION FLAP (LARGE),1820,2184.0
FMDNTC0058,TRANSPOSITION FLAP (SMALL),610,732.0
FMDNTC0059,TRANSPOSITION FLAP (MODERATE),1215,1458.0
FMDNTC0060,TRANSPOSITION FLAP (LARGE),1820,2184.0
FMDNTC0061,CLEFT LIP CORRECTN UNILATERAL INCOMPLETE,1215,1458.0
FMDNTC0062,CLEFT LIP CORRECTN UNILATERAL COMPLETE,1820,2184.0
FMDNTC0063,CLEFT LIP CORRECTION BILATERALINCOMPLETE,1818.75,2182.5
FMDNTC0064,CLEFT LIP CORRECTION BILATERALCOMPLETE,2280,2736.0
FMDNTC0065,REPAIR OF 2ND CORRECTION OF   CLEFT LIP,2280,2736.0
FMDNTC0066,CLEFT PALATE CORRECTION (HARD & SOFT),2310,2772.0
FMDNTC0067,CLEFT PALATE CORRECTION -     (ISOLATED),1820,2184.0
FMDNTC0068,REPAIR OF 2ND CORRECTION OF   CLEFT PALATE,2280,2736.0
FMDNTC0069,CLEFT UVULES CORECTION  -     SUBMUCOSAL,1215,1458.0
FMDNTC0070,PHARYNGOPLASTIC (WITH/WITHOUT\ISOLATED CLEFT PALATE),1818.75,2182.5
FMDNTC0071,OSTEOTOMY IN THE CONDYLAR NECK,2280,2736.0
FMDNTC0072,EXTRA-ORAL VERTICAL OSTEOTOMY IN THE RAMI,1818.75,2182.5
FMDNTC0073,EXTRA-ORAL SUBCONDYLAR -      OSTEOTOMY (OBLIQUE),1818.75,2182.5
FMDNTC0074,INTRA-ORAL SUBCONDYLAR  -     OSTEOTOMY (OBLIQUE),1820,2184.0
FMDNTC0075,HORIZONTAL OSTEOTOMY IN THE   RAMI,1638.75,1966.5
FMDNTC0076,INTRA-ORAL SAGITTAL OSTEOTOMY,720,864.0
FMDNTC0077,OSTECTOMY IN THE BODY OF      MADIBLE (Z),1818.75,2182.5
FMDNTC0078,OSTEOTOMY OF MAXILLA,1818.75,2182.5
FMDNTC0079,PROGENIC OPERATION WITH REAL  PROGENIC,1818.75,2182.5
FMDNTC0080,PROGENIC OPERATION WITH       PSEUDOPROGENIC,1820,2184.0
FMDNTC0081,CHIN CORRECTION (SMALL),1215,1458.0
FMDNTC0082,CHIN AUGMENTATION (SMALL),735,882.0
FMDNTC0083,DRESSING OF WOUND (SMALL),60,72.0
FMDNTC0084,DRESSING OF WOUND (MEDIUM),95,114.0
FMDNTC0085,DRESSING OF WOUND (LARGE),125,150.0
FMDNTC0086,NON-SURGICAL TREATMENT OF T.M. J. CLINICAL RECIPROCAL,3472.5,4167.0
FMDNTF0001,AMALGAM FILLING ONE S,255,306.0
FMDNTF0002,AMALGAM FILLING TWO S,320,384.0
FMDNTF0003,AMALGAM FILLING > 2 S,410,492.0
FMDNTF0004,AMALGAM CORE,475,570.0
FMDNTF0005,REINFORCEMENT EACH PIN,90,108.0
FMDNTF0006,COMPOSITE FILLING - SIMPLE,320,384.0
FMDNTF0007,COMPOSITE FILLING COMPOUND,475,570.0
FMDNTF0008,COMPOSITE CORE,630,756.0
FMDNTF0009,TEMPORARY FILLING,90,108.0
FMDNTF0010,CHILDREN TOOTH FILLING  ONE    SURFACE,165,198.0
FMDNTF0011,CHILDREN TOOTH FILLING TWO     SURFACES,255,306.0
FMDNTF0012,FLOURIDE TREATMENT (CHILDREN)  PER VISIT,255,306.0
FMDNTF0013,KETAC FILLING ONE SURFACE,320,384.0
FMDNTF0014,KETAC FILLING TWO SURFACE,410,492.0
FMDNTF0015,CHILD. KETAC FILLING 1 SURFACE,255,306.0
FMDNTF0016,CHILD. KETAC FILLING 2 SURFACE,320,384.0
FMDNTI0001,INSERTION OF IMPLANT,1215,1458.0
FMDNTI0002,T. IMPLANT ANT. (L),1215,1458.0
FMDNTI0003,T. IMPLANT ANT. (G),1820,2184.0
FMDNTI0004,IMMEDIATE T IMPLANT ANT. (L),1638.75,1966.5
FMDNTI0005,IMMEDIATE T IMPLANT ANT.(G),1818.75,2182.5
FMDNTI0006,T. IMPLANT POST (L),1460,1752.0
FMDNTI0007,T IMPLANT PIRT (G),1548.75,1858.5
FMDNTI0008,IMMEDIATE T IMPLANT ANT. (L),1818.75,2182.5
FMDNTI0009,IMMEDIATE T IMPLANT ANT. (G),2092.5,2511.0
FMDNTI0010,REMOVAL OF T IMPLANT,365,438.0
FMDNTI0011,INSERTION OF I.M.Z. IMPLANT   FIRST STAGE,1215,1458.0
FMDNTI0012,INSERTION OF I.M.Z. IMPLANT   2ND STAGE,245,294.0
FMDNTI0013,I.M.Z. IMPLANT TIT.L 1ST STAGE,1820,2184.0
FMDNTI0014,I.M.Z. IMPLANT TIT.L 2ND STAGE,610,732.0
FMDNTI0015,I.M.Z. IMPLANT H.A.L 1ST STAGE,1818.75,2182.5
FMDNTI0017,I.M.Z. IMPLANT TIT.G 1ST STAGE,855,1026.0
FMDNTI0019,I.M.Z. IMPLANT H.A.G 1ST STAGE,1215,1458.0
FMDNTI0021,REMOVAL OF I.M.Z. IMPLANT,365,438.0
FMDNTI0022,INSERTION OF T.P.S. IMPLANT,610,732.0
FMDNTI0023,T.P.S. IMPLANT 2,1215,1458.0
FMDNTI0024,T.P.S. IMPLANT 3,1820,2184.0
FMDNTI0025,T.P.S. IMPLANT 4,1818.75,2182.5
FMDNTI0026,SUBPERIOSTEAL IMPLANT COMPLETE 1ST STAGE,610,732.0
FMDNTI0027,SUBPERIOSTEAL IMPLANT COMPLETE 2ND STAGE,245,294.0
FMDNTI0028,SUBPERIOSTEAL IMPLANT PARTIAL  1ST STAGEB 1/2 JAW,245,294.0
FMDNTI0029,SUBPERIOSTEAL IMPLANT PARTIAL  2ND STAGE 1/2 JAW,125,150.0
FMDNTI0030,SUBPERIOSTEAL IMPLANT PARTIAL  1ST STAGE,365,438.0
FMDNTI0031,SUBPERIOSTEAL IMPLANT PARTIAL  2ND STAGE,125,150.0
FMDNTI0032,REMOVAL OF SUBPERIOSTEAL -     IMPLANT - COMPLETE,365,438.0
FMDNTI0033,REMOVAL OF SUBPERIOSTEAL  -    IMPLANT - PARTIAL,245,294.0
FMDNTI0034,INSERTION OF LINKOW ANT.,245,294.0
FMDNTI0035,INSERTION OF LINKOW - POST,610,732.0
FMDNTI0036,REMOVAL OF LINKOW - ANT.\,185,222.0
FMDNTI0037,REMOVAL OF LINKOW - POST,365,438.0
FMDNTI0038,LINKOW WITH 1 PFOSTEN,1215,1458.0
FMDNTI0039,LINKOW 10 WITH 1 PFOSTEN,1820,2184.0
FMDNTI0040,LINKOW WITH 2 PFOSTEN,1818.75,2182.5
FMDNTI0041,LINKOW 10 WITH 2 PFOSTEN,2280,2736.0
FMDNTI0042,I.D.F.,365,438.0
FMDNTI0043,I.D.F. + CORE,430,516.0
FMDNTI0044,I.D.F. WITH H.A. FILLER (SMALL CAVITY),490,588.0
FMDNTI0045,I.D.F. W/ H.A. FILLER(MODERATE CAVITY),610,732.0
FMDNTI0046,I.D.F. WITH H.A. FILLER (LARGE CAVITY),735,882.0
FMDNTI0047,REMOVAL OF I.D.F.,185,222.0
FMDNTI0048,H.A. GRANULES FILLER IN SMALL  CAVITY,185,222.0
FMDNTI0049,H.A. GRANULES FILLER IN -      MODERATE CAVITY,310,372.0
FMDNTI0050,H.A. GRANULESS FILLER IN LARGE CAVITY,490,588.0
FMDNTI0051,TRANSPLANTATION W/ SMAL FLAB,1215,1458.0
FMDNTI0052,TRNASPLANTATION W/ LARGE FLAB,1820,2184.0
FMDNTI0053,REIMPLANTATION W/ WIRE FIXATN,1215,1458.0
FMDNTK0001,"PKG.GRP. A CONSULT.EVERY 6 MOSFULL MOUTH XRY,PROPHYL EV.6MOS",785,942.0
FMDNTK0002,"PKG.GRP B CONSUL;T 6 MOS.FULL XRY,PROPH,6 MO,AMALG. 2 TEETH",1170,1404.0
FMDNTK0003,"PKG.GRP C CONSULT 6 MOS. FULL XRY,PROPH 6 MOS.,AMG. + RT.C",1555,1866.0
FMDNTK0004,"PKG GRP D CONSULT. 6MOS, FULL XRY,PROPH.,6MO AMAL.,2RT.C 1CO",1740,2088.0
FMDNTK0005,"PKG.GRP E CONSULT 6 MOS FULL  XRY,PROPH.,6M CAR,RT.CAN,4FILL",3472.5,4167.0
FMDNTK0006,"PKG.CHLDR.CONS.6 MOS, XRY,PROP6M, APPLIED PROTECT FLOUR",785,942.0
FMDNTK0007,"PKG GROUP B,CHILDR.CONS. 6MOS.XRY,PROPHYL,6M, FLOUR.AML.FIL",1170,1404.0
FMDNTK0008,"PKG.GRP. C-CHILDREN CONSLT. 6MXRY,PROPHYL,FILL+ROOT 2T,FLUOR",1555,1866.0
FMDNTK0009,"PKG GRP D-CHILDREN CONSLT 6M  XRY,PROPH 6M,FL.,4HR+RT,T CRWN",1740,2088.0
FMDNTK0010,"PKG GRP E-CHILDREN CONSLT 6M  XRY,PROPHY 6M,FL.,ALL TEHT+CR",3472.5,4167.0
FMDNTM0001,SCALING,255,306.0
FMDNTM0002,POLISHING,255,306.0
FMDNTM0003,SCALING AND POLISHING,475,570.0
FMDNTM0004,GUM TREATMENT QUAD. (MILD),630,756.0
FMDNTM0005,GUM TREATMENT QUAD. (MODERATE),785,942.0
FMDNTM0006,GUM TREATMENT QUAD. (SEVERE),950,1140.0
FMDNTM0007,ROOT PLANNING CURRETAGE QUAD.,785,942.0
FMDNTM0008,GINGIVECTOMY ORGINGIVOPLASTY/QUADRANT,845,1014.0
FMDNTM0009,REVERSE BEVEL GINGIVECTOMY/QUADRANT,1470,1764.0
FMDNTM0010,SLIDING FLAP OPERATION 1/4 JAW,630,756.0
FMDNTM0011,SLIDING FLAP OPERATION 1/2 JAW,1215,1458.0
FMDNTM0012,RECONST OF PERIODONTAL BONE DEFECT QUADRANT,1345,1614.0
FMDNTM0013,LOC.TREAT.OF ORAL LESION SMALL,140,168.0
FMDNTM0014,LOCAL TREAT. ORAL LESION MED.,280,336.0
FMDNTM0015,LOCAL TREAT. ORAL LESION LARGE,320,384.0
FMDNTM0016,OCCLUSSAL ADJUSTMENT,630,756.0
FMDNTM0017,SMOOTHING OF SHARP EDGE,165,198.0
FMDNTO0001,GRADE I MALOCCLUSION TOTAL,8793.75,10552.5
FMDNTO0002,GRADE I MALOCCL. 1ST DEPOTSIT,4402.5,5283.0
