Code,Discription,Price,SBS CODE,category
FMXRY-0475,I-131 (MIBG),18029,61426-00-00,Radiology
FMDNTO0013,GRADE IV MALOCCL. TOTAL,17787,963,services
FMSUR-2144,LAP. GASTRIC BYPASS (GBP) FOR BARIATOXIC PAT,17501,30512-03-00,services
FMPSDH0022,SKIN FRAFT WITH INTEGRA 10% + 2 SHEET,17353,90672-01-00,services
FMORW-0069,POLIO ABOVE KNEE WALKING BRACE WITH TUBER SYSTEM,17347,96092-00-00,services
FMNUM-0022,5 DAYS MONITORING,17325,11000-00-00,services
FMNEP-0016,HEMODIALYSIS TYPE B2 (36SE),17155,13100-00-00,services
FMOBG-0222,ABDOMINAL EXPLORATION,16995,30373-00-00,services
FMXRY-0926,BLEEDING EMBOLIZATION,16874,99999-99-99,Radiology
FMXRY-0929,UTERINE FIBROID EMBOLIZATION,16874,35321-06-00,Radiology
FMXRY-0932,INFRAPOPLITEAL ANGIOPLASTY,16874,90218-01-00,Radiology
FMXRY-0934,MESENTRIC ANGIOPLASTY,16874,90218-01-00,Radiology
FMCAT-0032,CORONARY STENTING PTCA TV (3 STENTS),16500,38306-01-00,services
FMDER-0215,MELANOCYTE CULTURE EXTRA-LARGE,16500,90665-00-30,services
FMENTS0049,OTO ENDOSCOPIC CHOLESTEATOMA UNILATERAL,16500,90119-00-01,services
FMORT-0848,FOUR CORNER FUSION,16500,49203-00-01,services
FMORT-0862,ORIF AVULSED ACL,16500,47566-05-01,services
FMORT-0863,ORIF ANTERIOR COLUMN ACETABULAR,16500,47501-00-01,services
FMORT-0864,ORIF POSTERIOR COLUMN ACETABULAR,16500,47501-00-01,services
FMERDA0020,I.V. INJECTION,13,96199-19-00,services
MS-S-005225,"SPONGE LAP PREWASHED 12X12"" (30X30CM) 12PLY STERILE X-RAY DETECTABLE CHANNELMED# SD010",14.5285,61965,supplies
FMORT-9984,ORIF BILATERAL CALVICLE,16500,47465-01-02,services
FMPSD-2009,ISLAND FOREARM FLAP,16500,45563-00-00,services
FMPSD-2012,ISLAND SURAL FLAP,16500,45563-00-00,services
FMPSDF0026,3 TENDON TRANSFER FOR COMPLETE RADIAL NERVE PALSY,16500,46417-00-01,services
FMSUR-3039,AORTIC ANEURYSM REPAIR ABDOMINAL,16500,33115-00-00,services
FMSUR-3040,AORTIC ANEURYSM REPAIR A.BI-FEMORAL,16500,99999-99-99,services
FMURO-0200,BURCH COLPOSUSPENSION,16500,37044-01-00,services
FMODT-0108,GRADE VI MALOCCL. IST DEPOSIT,16478,963,services
SME1044,SPONGE GAUZE TELETRAST SMALL X-RAY DETECTABLE (PEANUT) #482292/7,14.7,44971,supplies
FMCAT-0049,CORONARY STENTING PTCA DV (4 STENTS),15862,38306-01-00,services
FMODT-0081,GRADE II MALOCCLUSSION TOTAL REMOVABLE STAGE I,15818,963,services
FMXRY-0928,MALFORMATION EMBOLIZATION,15466,35412-00-00,Radiology
FMXRY-0933,SUBCLAVIAN ARTERY ANGIOPLASTY,15466,90218-01-00,Radiology
FMXRY-0935,RENAL ANGIOPLASTY,15466,35303-06-00,Radiology
FMXRY-0962,GI STENTING,15466,99999-99-99,Radiology
FMODT-0013,GRADE IV MALOCCLUSSION TOTAL,15400,99999-99-99,services
FMDNTO0009,GRADE III MALOCCL. TOTAL,15246,963,services
FMORW-0030,SPINE BACE BY SPONDYLITIS,14680,96092-00-00,services
FMODT-0071,GRADE 1- MALOCCLUSION TOTAL,14619,963,services
FMODT-0103,GRADE V MALOCCL. IST DEPOSIT,14619,963,services
FMODT-0114,GRADE VII MALOCCL 2ND DEPOSIT,14619,963,services
FMORT-0555,ORTHOSIS IV,14575,96092-00-00,services
FMDNTO0056,GRADE MODERATE MALOCCLUSION TOTAL,14476,963,services
FMODT-0098,GRADE MODERATE MALOCCLUSION TOTAL,14476,963,services
FMXRY-0476,SR-86 CI,14421,61421-00-00,Radiology
FMDNTS0248,MANDIBULAR ORTHOGNATHIC SEVER,14377,366,services
FMCAT-0031,CORONARY STENTING PTCA TV (2 STENTS),14300,38306-01-00,services
FMNUR-0024,BLOOD EXTRACTION,15,73250-00-70,services
FMXRY-0930,AORTOILIAC ANGIOPLASTY,14058,90218-01-00,Radiology
FMXRY-0931,FEMO-POPLITEAL ANGIOPLASTY,14058,90218-01-00,Radiology
FMXRY-0952,URETERAL STENTING-BILATERAL,14058,36821-01-00,Radiology
FMERDA0051,NASAL TUBE SUNCTIONING,17,96157-00-00,services
FMXRY-0960,VERTEBROPLASTY,14058,35400-00-00,Radiology
FMXRY-0961,RADIOFREQUENCY ABLATION,14058,39109-00-00,Radiology
FMENTE6026,COCHLEAR IMPLANT SURGERY,14020,41617-00-01,services
FMORW-0058,UPPER & FOREARM ORTHOSIS + ELB OW JOINT,14014,96092-00-00,services
FMENTE6044,HEARING AID-RELAY CM-115,14003,96092-00-41,services
FMPDT-0013,URINE BAG (COLLECTOR),17,11900-00-00,services
FMPSD-2010,MULTIPLE TENDON SPACERS,14003,90583-00-00,services
FMSUR-2145,GASTRIC SLEVE (LAPOROSCOPIC ),14003,30511-09-00,services
SMI0078,MASK OXYGEN W/CONNECTOR ADULT #8110/1115,19.495,61346,supplies
FMCAT-0063,ADDITIONAL STENT,13750,99999-99-99,services
FMCTS-0080,RE-EXPLORATION AFTER OPENHEART SURGERY,13750,38418-00-00,services
FMCTS-0081,RIB FIXATION BY PLATE AND SCREWS,13750,48409-10-00,services
FMPDT-0175,OLACADRON INJECTION,20,39013-01-00,services
FMPSD-2006,ZYGOMATIC ARCH PLATING FOR CHROMIC TMJ DISLOCATION ONE SIDE,13750,47762-01-01,services
FMPSD-2017,ANTERO LATERAL THIGH FLAP HARVEST,13750,90669-00-00,services
FMPSD-2019,CRANIOPLASTY (BONE GRAFT OR TITAM MESH),13750,40600-01-00,services
FMNUR-0036,RECTAL TUBE INSERTION,21,92066-00-00,services
FMPSDF0029,ORIF LEFORTE III X MAXILLA,13750,47786-00-01,services
FMPSDK0075,SURGICAL SET BACK OF PREMAXILLA IN COMPLTE CLEFT LIP & PALAT,13750,52122-02-00,services
FMSUR-7019,EXCISION OF HAEMANGIOMA ARTERIOVENOUS MALFORMATION,13750,39803-00-00,services
FMXRY-0229,4 INTRACRANIAL ARTERIES 1ST RN,13651,59970-02-00,Radiology
FMCAT-0048,CORONARY STENTING PTCA DV (3 STENTS),13596,38306-01-00,services
FMENTE6071,HEARING AID RELAY-124-BTE,13596,96092-00-41,services
FMDNTP0038,COMPLETE DENT.VITAL. TYPE III,13343,97719-00-00,services
FMORW-0029,STAGNARA SCOLIOSIS BRACE,13343,96092-00-00,services
FMERDC0010,AMBULANCE W / NURSE & DOCTOR (MADINAH TO AL HENAKIA),22,83520-00-00,services
FMODT-0076,GRADE 1 MALOCCLUSION TOTAL,13277,963,services
SMJ1087,ELECTRODE F/ HP NEONATAL MONITOR HP #139530/3M #2269T,24.5,17460,supplies
FMORT-9904,TOTAL KNEE REPLACEMENT (BILLATERAL),13244,49519-00-00,services
FMCAT-0030,CORONARY STENTING PTCA TV (1 STENT),13200,38306-00-00,services
FMENTE6017,HEARING AID PHILIPS P60PP/01,13200,96092-00-41,services
FMODT-0009,GRADE III MALOCCLUSSION TOTAL,13200,963,services
FMORT-0865,REPAIR OF PATELLER TENDON,13200,47954-00-01,services
SMA0643,"SPONGE LAP PRE WASHED DETECTABLE RING 18X18"" 4/8PLY STERILE",26.95,61965,supplies
FMURO-0198,ANTERIOR PELVIS EXANTRATION,13200,90450-00-00,services
FMXRY-9944,6 VESSELS CEREBRAL ANGIOGRAPHY,13200,59970-02-00,Radiology
FMDNTO0005,GRADE II MALOCCL. TOTAL REM.   STAGE I,13057,963,services
FMORW-0109,G-II UNLOADER OA KNEE BRACE,12964,97823-00-00,services
FMORW-0110,G-II UNLOADER ADJ KNEE BRACE,12964,96092-00-00,services
FMODT-0087,GRADE IV MALOCCL. IST DEPOSIT.,12793,963,services
FMODT-0123,GRADE VI MALOCCL. 2ND DEPOSIT,12793,99999-99-99,services
FMNEU-0042,BRACHIAL PLEXUS EXPLORATION &  NERVE TRANSPLANTATION,12744,39333-00-00,services
FMURO-0032,PENILE PROSTHESIS,12744,37426-00-00,services
FMURO-0103,RESISTANT STONE REMOVAL (PKG),12744,99999-99-99,services
FMURO-0104,PERCUTANEOUS NEPHROLITHOLOPAXY + OPEN SURGERY (KIDNEY STONES),12744,36639-01-01,services
FMDNTO0026,GRADE VII MALOCCL. 1ST DEPOSIT,12705,963,services
FMORW-0005,ORTHOSIS V,12705,96092-00-00,services
FMDNTP0140,BRIDGE FULL ARCH,12331,643,services
FMOPTL0024,LASIC PROCEDURE I (OUTSIDE),12309,90064-01-01,services
FMERDA0082,EVALUATION OF BREAST MILK USING ELECTRONIC BREAST PUMP,28,92001-00-00,services
FMPDT-0176,SOLUMEDROL INJECTION,28,96205-03-00,services
MS-S-003686,"SPONGE LAP PREWASHED DETECTABLE RING 18X18"" 12PLY STERILE",29.4,61965,supplies
SMJ2000,ECG ELECTRODE DISPOSABLE 50/BOX#4527750,32.34,35035,supplies
FMORW-0027,BOSTON SCOLIOSIS BRACE,12012,96092-00-00,services
FMORW-0063,BELOW KNEE ORTHOSIS LEATHER,12012,96092-00-00,services
FMORW-0064,ABOVE KNEE ORTHOSIS THERMOPLAS T FREE KNEE,12012,96092-00-00,services
FMCAT-0045,CORONARY STENTING PTCA SV (3 STENTS),11825,38306-01-00,services
FMNEP-0015,HEMODIALYSIS TYPE B1 (24SE),11781,13100-00-00,services
FMORW-0038,FOREARM PROSTHESIS COSMETIC,11743,96092-00-00,services
FMERDA0053,RECTAL TUBE INSERTION,33,92066-00-00,services
FMSUR-2141,REMOVAL OF GASTRIC BAND,11671,90942-00-00,services
FMORT-0342,"FOREARM,WRIST&HAND REATTACHMNT",11600,90584-01-01,services
FMDNTO0052,GRADE MILD MALOCCLUSION TOTAL,11583,963,services
FMODT-0094,GRADE MILD MALOCCLUSION TOTAL,11583,963,services
FMCAT-0071,4 INTRACRANIAL ARTERIES/ 4 VESSEL CEREBRAL ANGIOGRAM,11550,59970-02-00,services
FMCTS-0034,MUSCLE FLAP FOR CLOSURE OF PLEURAL POUCH,11550,45009-01-00,services
FMCTSS0006,CLS OF BRONCHO-PLEURAL FISTULA,11550,90176-00-00,services
FMPDT-0023,BLOOD EXTRACTN FOR LAB PURPOSE CUBITAL VN OR PERIPHERAL VN,33,13842-00-00,services
FMPDT-0024,BLOOD EXTRACTN BY DOCTOR FOR   LAB PURPOSES FM JUGULAR VEIN,33,13842-00-00,services
FMDER-0003,SVD INJECTION,39,99999-99-99,services
FMXRY-9943,4 VESSELS CEREBRAL ANGIOGRAPHY,11550,59970-02-00,Radiology
FMDNTO0022,GRADE VI MALOCCL. 1ST DEPOSIT,11435,963,services
FMCAT-0047,CORONARY STENTING PTCA DV (2 STENTS),11330,38306-01-00,services
FMPDT-0093,RECTAL EXAMINATION,39,32171-00-00,services
SMJ1071,GEL ECG SPECTRA 807,42.875,31774,supplies
FMXRY-0619,CAVA FILTER IMPLEMENTATION,11330,35330-01-01,Radiology
FMDNTS0238,MAXILARY ORTHOGNATHIC,11286,365,services
FMXRY-0950,NEPHROSTOMY-BILATERAL,11253,36552-00-02,Radiology
FMXRY-0951,URETERAL STENTING-UNILATERAL,11253,36821-01-00,Radiology
FMXRY-0972,RECURRENT VARICOCELE EMBOLIZATION-UNILATERAL,11253,35321-06-00,Radiology
FMPTD-0066,LOCOMOTION THERAPY - 6S/1W/3M  6 SESSION/PER WEEK/,11220,96131-00-00,services
FMANA-0048,EPIDURAL INJECTION,44,90018-00-00,services
FMPDT-0133,PUNCTURE OF LUNG TO REMOVE SECRETION,44,38803-00-00,services
FMORT-0669,RETRO PERITONIAL ANTERIOR SPINAL FIXATION,11039,48678-00-00,services
FMORT-0672,CERV.POST. OPEN REDUC.INTERNAL FIXATION + FUSION,11039,47699-01-00,services
FMCAT-0003,PERMANENT PACEMAKER IMPLANTATI ON,11000,38353-00-00,services
FMCTS-0009,EXCISION OF CHEST WALL TUMOUR,11000,31350-00-01,services
FMCTS-0012,REP.OF RUPTURE BRONC./TRACHEA,11000,38453-08-00,services
FMCTS-0013,THORACOPLASTY,11000,38427-00-00,services
SMI9898,SUCTION TUBE BOTH SIDES W/CONE 270 CM #,46.55,63648,supplies
FMDER-0214,MELANOCYTE CULTURE LARGE,11000,99999-99-99,services
FMOBG-0060,GIFT IVF PACKGE DEAL IST CLASS,11000,13215-03-00,services
FMODT-0005,GRADE II MALOCCLUSSION TOTAL   REMOVABLE STAGE I,11000,97961-00-00,services
FMLAB-1045,HCT.,50,73100-00-60,Laboratory
FMPDT-0032,"SUCTION OF MUCOUS OR ASPIRATN  MOUTH, NOSE & PHARYNX",50,96157-00-00,services
FMORT-0837,RECYCLING OF BONE CONTAINING MALIGNAT TUMER WITH LIQUID NITROGEN,11000,99999-99-99,services
FMORT-0869,PLICATION OF MEDIAL PATELLA RATINACULUM,11000,90598-00-01,services
SMI1372,SUCTION TUBE BOTH SIDES W/CONE #68.30.30/TUBE #8P62101,51.45,16779,supplies
FMPSD-2003,REPAIR OF BILATERAL COMPLETE CLEFT LIP,11000,45683-00-00,services
FMPSD-2008,OR MAJOR BURN DRESSING,11000,30014-00-00,services
FMPSD-2011,ORIF OF COMMINUTED MANDIBLE,11000,47789-00-01,services
FMPSD-2015,ARTERIAL ANASTOMOSIS OF FREE FLAP,11000,45562-00-00,services
FMPSD-2016,VENOUS ANASTRMOSIS FOR FREE FLAP,11000,45562-00-00,services
FMPSD-2018,VASCULAR EXPLORATION OF DONOR SITE FOR FREE FLAP,11000,45562-00-00,services
FMPSDF0027,ORIF ZYGOMATIC ARCH,11000,47765-00-01,services
205200067,MILORA HCT,51.5,99999999999999,pharamcy
FMSUR-3029,AORTA BI-FERMORAL BYPASS,11000,32708-01-00,services
FMSUR-3056,OPEN REMOVAL OF F.B IN BLOOD VESSELS,11000,35360-01-00,services
FMURO-0199,URETRO-COLIC DIVERSION,11000,90366-00-00,services
205200069,MILORA HCT,51.5,99999999999999,pharamcy
FMURO-2093,EXPLORATION FOR SUPRA RENAL MASS AND OPEN BIOPSY,11000,36537-01-01,services
FMODT-0082,GRADE III MALOCCL. IST DEPOSIT,10978,963,services
FMODT-0104,GRADE V MALOCCL. 2ND DEPOSIT,10978,963,services
FMANA-0027,TRACHEAL SUCTION PROCEDURE-DAY,55,90162-00-00,services
FMXRY-0231,CAROTID ATERY BILATERAL 1ST.RN,10912,59970-02-00,Radiology
FMDNTP0037,COMPLETEL DENT.VITAL.TYPE II,10676,711,services
FMXRY-0986,BILATERAL ABLATION OF VARICOSE VEINS,10593,32520-00-00,Radiology
FMXRY-0958,VARICOCELE EMBOLIZATION-BILATERAL,10549,35321-06-00,Radiology
FMDER-0001,REFERRAL FROM OTHER DOCTOR-OP,55,83600-00-20,services
FMORT-0692,VASCULARISED MUSCLE PEDICLE TRANSFER,10511,47966-01-00,services
FMENTE6035,FITTING OF SIGNIA HEARING AID,10450,96092-00-41,services
FMNEU-0117,ANEURYSM SURGERY (POST.CIRCULA TION),10395,99999-99-99,services
FMIVF-0020,IVF-GIFT COMBINED,10313,13215-00-00,services
FMPSD-2021,HARVESTING CLAVARIAN BONE GRAFT,10313,99999-99-99,services
FMORT-9906,CLOSED RED. OF DIST. COMM. FX RTIBIA ILZAROV CIRCLR FRME FX.,10252,47564-00-01,services
FMCAT-0044,CORONARY STENTING PTCA SV (2 STENTS),10197,38306-01-00,services
FMCAT-0046,CORONARY STENTING PTCA DV (1 STENT),10197,38306-00-00,services
FMSUR-3028,DISTAL INFRAPOPLITEAL BY-PASSES,10192,99999-99-99,services
FMURO-0084,ANTI-INCONTINENCE OPERATIONS,10192,99999-99-99,services
FMURO-0105,URETERORENOSCOPY + OPN SURGERY (URETER STONE),10192,36806-02-00,services
FMURO-0128,POST TRAUMATIC OPEN URETHROPLA STY,10192,37342-00-00,services
FMDNTO0001,GRADE I - MALOCCLUSION TOTAL,10164,963,services
FMDNTO0018,GRADE V MALOCCL. 1ST DEPOSIT,10164,963,services
FMDNTO0027,GRADE VII MALOCCL. 2ND DEPOSIT,10164,99999-99-99,services
FMORW-0004,ORTHOSIS IV,10164,96092-00-00,services
FMORW-0124,MILWAIKEE BRACE ORTHOP. -LARGE,10164,97823-00-00,services
FMDNTO0067,MALOCCLUSION,10142,963,services
FMODT-0117,MALOCCLUSION,10142,963,services
FMPDS-0095,LAPAROSCOPIC REPAIR OF MORGAGNI HERNIA,10142,30601-00-00,services
FMPDS-0103,LAPAROSCOPIC NISSEN FUNDOPLICATION AND GASTROSTOMY,10142,30527-02-00,services
FMPDS-0104,LAPAROSCOPIC HELLER CARDIOMYOTOMY & ENDOSCOPY,10142,30532-00-00,services
FMOPTA0026,REFRACTION,55,96043-00-01,services
FMPDS-0112,RIGHT DIAPHRAGMATIC HERNIA REPAIR,10142,30601-00-00,services
MS-C-000317,"CONNECTOR STR.SD.ARM LL 3/8X3/8"" DISP.",58.975,46453,supplies
205200066,MILORA HCT,60.15,99999999999999,pharamcy
FMONC-0018,RADIATION (FULL COST),10010,99999-99-92,services
FMORT-0655,VASCULRIZED BONE GRAFTING ILIAC CREST,10010,50393-00-00,services
