Service Code,Service Description,Price,Gross/Net,Discount %,Yes/No,MCA Category Code,Service Category Description,Nphies Code,Nphies Description
1112011,CONSULTATION - VISITING DOCTORS,750.0,Gross,15.0,yes,11.0,Portal Professional Fees,NP Code: 83600-00-00,Office Assessment  for diagnosis  treatment  and counselling a new or established patient by General Practitioner
1112012,CONSULTATION 1ST SPECIALIST,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112013,CONSULTATION FEE - SENIOR CONSULTANT DERMATOLOGIST,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83700-00-00,Unlisted services yet to be defined.
1112014,CONSULTATION FEE - VISITING DOCTOR,750.0,Gross,15.0,yes,11.0,Portal Professional Fees,NP Code: 83700-00-00,Unlisted services yet to be defined.
1112015,CONSULTATION FEE,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83700-00-00,Unlisted services yet to be defined.
1112016,DENTAL CONSULTANT CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 97014-00-00,Dental consultation
1112017,DENTAL SPECIALIST CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 97014-00-00,Dental consultation
1112018,DERMATOLOGY CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112019,DIABETIC EDUCATION,140.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 95550-14-00,"Allied health intervention, diabetes education"
1112020,DIETITIAN CONSULTATION ,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-01-00,"Assessment of regulated healthcare professionals licensed to assess, diagnose, and treat nutritional problems."
1112021,SECA TEST BY DIETITIAN,150.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-01-00,"Assessment of regulated healthcare professionals licensed to assess, diagnose, and treat nutritional problems."
1112022,ENDOCRINOLOGY CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112023,ENT SPECIALIST CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112024,FAMILY THERAPY ,140.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 96102-00-00,Family/carer-focussed therapy
1112025,FOLLOW UP (IVF) WITHIN 7 DAYS,0.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112026,FOLLOW-UP CONSULTATION (WITHIN 14 DAYS),0.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-50,Secondary follow up treatment with the same condition within the mandated timelines Consultant
1112027,FREE FOLLOW UP ( DENTAL ),0.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-40,Secondary follow up treatment with the same condition within the mandated timelines for specialist
1112028,GASTROENTEROLOGY CONSULTATION ,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112029,GYNAECOLOGY CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112030,INPATIENT VISIT - NEURO SURGEON,140.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-02-70,Assessment  for diagnosis  treatment and counselling of a new or established Inpatient by Consultant
1112031,INTERNAL MEDICINE CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-02-70,Assessment  for diagnosis  treatment and counselling of a new or established Inpatient by Consultant
1112032,INTERVENTIONAL RADIOLOGY CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-01-60,Assessment by Licensed Radiologist
1112033,IVF CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-20,Office Assessment  for diagnosis and treatment  and counselling of a new or established patient by Consultant
1112034,IVF CONSULTATION FOLLOW UP VISIT,0.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-20,Office Assessment  for diagnosis and treatment  and counselling of a new or established patient by Consultant
1112035,NEPHROLOGY CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112036,NEURO SURGERY CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112037,NEUROLOGY CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112038,ONCOLOGY CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112039,OPHTHALMOLOGY CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112040,ORTHODONTIST CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112041,ORTHOPAEDIC CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112042,OUTSIDE CONSULTATION CONSULTANT,750.0,Gross,15.0,yes,11.0,Portal Professional Fees,NP Code: 83600-00-20,Office Assessment  for diagnosis and treatment  and counselling of a new or established patient by Consultant
1112043,OUTSIDE CONSULTATION SPECIALIST,450.0,Gross,15.0,yes,11.0,Portal Professional Fees,NP Code: 83600-00-20,Office Assessment  for diagnosis and treatment  and counselling of a new or established patient by Consultant
1112044,PAEDIATRIC CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112045,PEDIATRIC CARDIOLOGY CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-01-20,Assessment by Licensed Cardiopulmonologist
1112046,PEDIATRIC SURGERY CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112047,PSYCHIATRIC CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-01-70,"Assessment by Licensed Psychiatrist for an adult (age, 18 and above)"
1112048,PSYCHIATRIC FOLLOW-UP (WITHIN 7 DAYS),0.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-40,Secondary follow up treatment with the same condition within the mandated timelines for specialist
1112049,PSYCHO THERAPY (PER SESSION),140.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-01-70,"Assessment by Licensed Psychiatrist for an adult (age, 18 and above)"
1112050,RHEUMATOLOGY  CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112051,SURGERY CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112052,UROLOGY CONSULTATION,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-00-10,Office Assessment  for diagnosis  treatment and counselling of a new or established patient by Specialist
1112053,CONSULTANT OR SPECIALIST CALL BY NAME FOR DELIVERY REQUESTED BY THE PATIENT,1000.0,Gross,15.0,yes,11.0,Portal Professional Fees,NP Code: 83600-03-60,Telemedicine Assessment  for diagnosis  treatment  and counselling of a new or established patient by Consultant
1112057,PREANESTHESIA CLINIC CONSULTATION,0.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 96037-00-00,"Other assessment, consultation or evaluation"
1112058,CONSULTATION FOR OPD SERVICES,180.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 96037-00-00,"Other assessment, consultation or evaluation"
1112059,HOME VISIT / NURSE,200.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83620-00-00,"Include  all medical services and transportation - Supportive services: includes Physiotherapy, Speech Therapy, Occupational Therapy, Respiratory Therapy. Exclude medication, consumables and equipment which will be paid separately. Billed on daily basis each day is for 8 hours work"
1112060,HOME VISIT / G.P. WITH NURSE,300.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83620-00-50,Home Assessment  for diagnosis  treatment  and counselling of a new or established patient by General Practitioner
1112061,HOME VISIT / SPECIALIST WITH NURSE,400.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 96237-00-40,Comprehensive mental health assessment - Home visit - Established Patient
1112062,HOME VISIT / CONSULTANT WITH NURSE,500.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83620-00-00,"Include  all medical services and transportation - Supportive services: includes Physiotherapy, Speech Therapy, Occupational Therapy, Respiratory Therapy. Exclude medication, consumables and equipment which will be paid separately. Billed on daily basis each day is for 8 hours work"
1112066,HOME VISIT / GENERAL PRACTITIONER,150.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83620-00-50,Home Assessment  for diagnosis  treatment  and counselling of a new or established patient by General Practitioner
1112067,HOME VISIT / VACCINATION,150.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 92157-00-00,"Vaccination against viral diseases, not elsewhere classified"
FMERDA0023,HOME VISIT - CONSULTANT ON DUTY,400.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83620-00-70,Home Assessment  for diagnosis  treatment  and counselling of a new or established patient by Consultant
FMERDA0024,HOME VISIT - CONSULTANT OFF DUTY,440.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83620-00-70,Home Assessment  for diagnosis  treatment  and counselling of a new or established patient by Consultant
FMERDA0077,HOME VISIT - SPECIALIST ON DUTY,275.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 96028-00-00,Home management assessment
FMERDA0078,HOME VISIT - SPECIALIST OFF DUTY,275.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83620-00-60,Home Assessment  for diagnosis  treatment  and counselling of a new or established patient by Specialist
SGHTELC,TELE MEDICINE CONSULTANT,150.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-03-60,Telemedicine Assessment  for diagnosis  treatment  and counselling of a new or established patient by Consultant
SGHTELE,TELE MEDICINE SPECIALIST,100.0,Net,0.0,no,11.0,Portal Professional Fees,NP Code: 83600-03-50,Telemedicine Assessment  for diagnosis  treatment  and counselling of a new or established patient by Specialist
2142001,PHYSIOTHERAPY  (PER PROCEDURE),60.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142002,PHYSIOTHERAPY HYDROTHERAPY,60.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142003,PHYSIOTHERAPY EXERCISES,60.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142004,PHYSIOTHERAPY CRYOTHERAPY,60.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142005,PHYSIOTHERAPY MUSCLE STIMULATION,60.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142006,PHYSIOTHERAPY MASSAGE,60.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142007,PHYSIOTHERAPY HOT PACKS,60.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142008,NERVE CONDUCTION,450.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 11012-01-00,Conduction studies on 1 nerve
2142009,PHYSIOTHERAPY ULTRASOUND,60.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142010,PHYSIOTHERAPY WAX,60.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142011,PHYSIOTHERAPY SHORTWAVE DIATHERMY,60.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142012,PHYSIOTHERAPY TRACTION,60.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142013,PHYSIOTHERAPY ULTRA VIOLET,60.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142014,PHYSIOTHERAPY STEAM INHALATION,60.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142015,PHYSIOTHERAPY OTHERS,60.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142016,PHYSIOTHERAPY CHEST,60.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142017,PHYSIOTHERAPY LAZER,60.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142018,PHYSIOTHERAPY INTEREFERENTIAL,60.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142019,PHYSIOTHERAPY TENS,60.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142020,PHYSIOTHERAPY RUSSIAN CURRENT,60.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142021,SHOCK WAVE THERAPY,200.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 96155-00-00,"Stimulation therapy, not elsewhere classified"
2142022,SCANNER LASER,125.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 96155-00-00,"Stimulation therapy, not elsewhere classified"
2142023,MAGNA THERAPY,100.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 96155-00-00,"Stimulation therapy, not elsewhere classified"
2142024,VASOTRAIN,200.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 96152-00-00,Biofeedback
2142025,HYDROTHERAPY (WHOLE BODY),100.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 96153-00-00,Hydrotherapy
2142026,HYDROTHERAPY (PART OF BODY),50.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 96153-00-00,Hydrotherapy
2142027,OCCUPATIONAL THERAPY (MORE THAN ONE PART),200.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-02-00,"Allied health intervention, occupational therapy"
2142028,OCCUPATIONAL THERAPY (ONE PART),150.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-02-00,"Allied health intervention, occupational therapy"
2142029,OCCUPATIONAL THERAPY & PHYSIOTHERAPY (ONE SITTING),275.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-02-00,"Allied health intervention, occupational therapy"
2142030,OCCUPATIONAL THERAPY (SPEECH / SWALLOWING),413.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-02-00,"Allied health intervention, occupational therapy"
2142031,PHYSIOTHERAPY  SESSION (MULTIPLE MODALITIES),280.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142033,PHYSIOTHERAPY INITIAL EVALUATION,250.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142034,PHYSIOTHERAPY RE- EVALUATION,150.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 95550-03-00,"Allied health intervention, physiotherapy"
2142035,EXERCISE ONLINE (6 SESSIONS)+DIETITIAN (3 SESSIONS),999.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 83600-01-00,"Assessment of regulated healthcare professionals licensed to assess, diagnose, and treat nutritional problems."
FMHC-0062,Home Visit - Physiotherapist  Physiotherapy / Visit + evaluation (Transportation + Providing Servi,200.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 83620-00-80,"Bundled Base Payment of home care (Simple)  .Includes all medical services and transportation - Supportive services: includes Physiotherapy, Speech Therapy, Occupational Therapy, Respiratory Therapy . Exclude medication, consumables and equipment which will be paid separately"
FMHC-0063,HOME PHYSIOTHERPY OF HEMIPLEGIA ( 1 SESSION ),280.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 83620-00-10,to be billed per seeion
FMHC-0064,HOME PHYSIOTHERPY OF HEMIPLEGIA ( 6 SESSION ),1650.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 83620-00-10,to be billed per seeion
FMHC-0065,HOME PHYSIOTHERPY OF HEMIPLEGIA (12 SESSION/MONTH ),3300.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 83620-00-10,to be billed per seeion
FMHC-0066,HOME PHYSIOTHERPY FACIAL PALSY ( 1SESSION ),200.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 83620-00-10,to be billed per seeion
FMHC-0067,HOME PHYSIOTHERPY FACIAL PALSY (6 SESSIONS ),1500.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 83620-00-10,to be billed per seeion
FMHC-0068,HOME PHYSIOTHERPY FACIAL PALSY ( 12 SESSION /MONTH ),2400.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 83620-00-10,to be billed per seeion
FMHC-0069,HOME PHYSIOTHERPY CEREBERAL PALSY ( 1 SESSION,280.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 83620-00-10,to be billed per seeion
FMHC-0070,HOME PHYSIOTHERPY CEREBERAL PALSY( 6 SESSIONS),1650.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 83620-00-10,to be billed per seeion
FMHC-0071,HOME PHYSIOTHERPY CEREBERAL PALSY( 12 SESSION),3300.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 83620-00-10,to be billed per seeion
FMNEU-4001,POST STROKE CARE HOME VISIT (OTHER CONSULTATION),500.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 83620-00-80,"Bundled Base Payment of home care (Simple)  .Includes all medical services and transportation - Supportive services: includes Physiotherapy, Speech Therapy, Occupational Therapy, Respiratory Therapy . Exclude medication, consumables and equipment which will be paid separately"
FMPTD-2601,HIGH INTENSITY SCANNING LASER,175.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 96234-00-00,"Technology-assisted intervention, not elsewhere classified"
FMPTD-2602,RADIOFREQUANCY SESSION,385.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 96234-00-00,"Technology-assisted intervention, not elsewhere classified"
FMPTD-2603,DECONGESTIVE THERAPY SESSION,165.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 96234-00-00,"Technology-assisted intervention, not elsewhere classified"
FMPTD-2604,MULTILAYER DECONGESTIVE LYMPHATIC COMPRESSION,385.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 96234-00-00,"Technology-assisted intervention, not elsewhere classified"
FMPTD-2605,KINESIOTAPE,110.0,Gross,15.0,yes,14.0,Portal Physiotherapy,NP Code: 99999-99-99,Unlisted Procedure
01-1434-2019,Vita D 1000 IU,33.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0102210482,Envona,286.2,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0102210483,Lamotrine,33.35,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0102210484,DIOSTAR 80 mg film-coated tablet,22.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0102210485,DIOSTAR 160 mg film-coated tablet,24.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0102210486,Eylea 40 mg/ml Solution for injection in pre-filled syringe,3028.6,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0103210571,IMBRUVICA,24030.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0104210660,INEGY 20-10MG TABLETS,191.7,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0104210661,INEGY 40-10MG TABLET,223.65,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0106210758,Evenity,1809.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0107210839,Stablix 0.5 ml Ampules,110.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0108210894,D-Vital,22.3,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0108210895,UNIVIT-E 100MG CAPSULE,7.75,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0109200145,Birato,5280.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0109211000,Veklury,1769.65,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0109211003,Reblozyl,24346.9,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0109211004,Reblozyl,8114.45,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0109211005,Ceftriaxone Jodas,21.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0110200175,Hyrimoz,2098.638,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0110200176,Hyrimoz,2098.638,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0112211405,Darista,1721.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0112211406,Darista,1080.6,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0201221544,RELIPAN,20.75,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0201221547,Amstar,42.2,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0202210487,OLCONTRO,51.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0202210488,OLCONTRO,38.7,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0205200066,MILORA HCT,60.15,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0205200067,MILORA HCT,51.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0205200068,MILORA HCT,60.15,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0205200069,MILORA HCT,51.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0205200070,VERTEX,51.45,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0205200071,VERTEX,87.249,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0206210759,Gizlan,29.65,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0206210760,Gizlan,29.65,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0206210761,TADOXEL,111.1,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0206210762,TADOXEL 80 MG/4 ML,444.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0206210763,Divinusmet,59.7,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0206210764,Divinusmet,116.1,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0208210900,Divido Combo,101.1,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0209211006,Vapress,20.9,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0212200305,Xoria,110.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0212211410,Firazyr 30 mg per 3 ml,5070.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0301221548,Gemcitabine TBM,242.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0301221550,Rozlytrek,6747.25,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0301221551,Evrysdi 60 mg/80ml,46543.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0301221552,Rozlytrek,40488.1,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0302210489,ZOCOR 20MG TAB,66.95,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0302210490,ZOCOR 40MG TAB,66.95,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0302210491,COZAAR,45.35,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0302210492,ZOCOR 10MG TAB,66.95,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0303210580,Ribex,26.65,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0303210581,Ribex,21.3,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0303210582,CO-Ribex,29.85,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0303210583,CO-Ribex,28.9,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0303210584,CO-Ribex,24.55,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0305210706,Rybelsus,1370.15,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0305210707,Rybelsus,456.7,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
0305210708,Rybelsus,1370.15,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
