S/No,ItemCode,Name,price of 1/2/2021,GMDN 1,GMDN 2,GMDN 3
2496.0,MS-S-009018,STEM STD 16 REVISION CORAIL. JOH. & JOH. # L98016,14850.0,33581,,
2499.0,MS-S-009027,STEM REVISION COLLARED SIZE 12 STANDARD. JOH. & JOH. # L98012,14850.0,33710,,
2818.0,MS-S-010490,"STEM FEMORAL CEMENTLESS COATED HIP SYSTEM CORAIL REVISION SIZE 13 STANDARD. JOH,JOH # L98013",14850.0,34203,,
2927.0,MS-T-000972,TIBIAL TRAY SIZE 2 CEMENTED ROTATING. JOH. & JOH. # 1294-35-120,14850.0,58716,,
420.0,MS-D-000087,DEVICE ASD OCCLUDER FIGULLA FLEX SIZE 24,14520.0,10760,,
,17021,MESH PHYSIO 15X20CM ETHICON# PHY1520R / COVIDIEN# SYM2015,14345.1,61423,,
822.0,MS-L-000078,LEAD EPICARDIAL BIPOLAR CASPSURE EPI,14108.0,64561,,
258.0,MS-C-001362,CENTERPIECE 16X23MM T2 ALTITUDE SOFAMOR # 9391623,13976.0,34170,,
627.0,MS-G-000687,GRAFT POSTERIOR TIBIALIS TENDON MIN. LENGTH DIAMETER 7.5 MM 230. LIFENET # FPOST.TIBIAL,13750.0,60501,,
,39953,HEART VALVE AORTIC SIZE 25MM SORIN #R5-025/ART25LFA,13343.25,60240,,
2238.0,MS-S-007912,STENT GRAFT VASCULAR EPTFE 9FR 8X80MM BARD#FVL08080 BARD # FVL08080,13200.0,35281,,
2373.0,MS-S-008641,"STENT VASCUFLEX MULTI-LOC-MULTIPLE STENT DELIVER SYSTEM FOR PERIPHERAL SPOT STENTING,SHORT SELF-EXPA",13167.0,57959,,
2206.0,MS-S-005849,STEM FEMORAL SIZE 12.5MM X 150MM BOWED. JOH. & JOH. # 1987-16-211,13022.0,33175,,
1840.0,MS-S-003822,STENT BIOSS LIM BIFURCATION  DRUG ELUTING ALL SIZES,12953.0,56284,,
88.0,MS-B-000958,"BALLOON EXPANDABLE COVERED STENT ATRIUM AVANTA V12 7FR, 7X59MM MAQUET #85335",12694.0,62965,,
2827.0,MS-S-010550,STEM PROXIMAL CEMENTLESS PROSTHESIS RECONSTRUCTION  D 14MMX D12MM L210.LINK #172-921/14,12664.0,33701,,
1600.0,MS-R-000712,REMORAL COMPONENT SIZE 6 LEFT. SMITH&NEPHEW # 71420106,12375.0,61573,,
2089.0,MS-S-005319,STENT  CAROTID X. ACT FREESTYLE 40X8-6MM TAPERED ABBOTT# XRX04008T,12375.0,45851,,
2478.0,MS-S-008957,STEM STD 11 REVISION CORAIL. JOH. & JOH. # L98011,12375.0,33581,,
,MS-V-000113,VALVE MITRAL ATS STANDARD 29MM MEDTRONIC #500DM29,12116.54,60244,,
571.0,MS-F-000316,FILTER NEUROPROTECTION SYSTEM ROBIN OTW / RX TYPE BALTON # SDN,11715.0,44865,,
,MS-S-002238,STENT CORONARY DRUG ELUTED 3.00X38MMMEDTRONIC#RSINT30038X,11643.75,56285,,
,MS-S-002915,STENT CORONARY DRUG ELUTED 3.5X34MM MEDTRONIC #RSINT35034,11643.75,56285,,
,MS-S-003415,STENT CORONARY DRUG SIROLIMUS ELUTING ORSIRO 2.5X13 BIOTRONIK#364476,11643.75,58760,,
,MS-S-005130,STENT CORONARY DRUG SIROLIMUS ELUTING ORSIRO,11643.75,58771,,
,MS-N-000547,NAILANATOMICALFEMORAL10x400MMTITANIUMMICROMED#3.5105.400,11629.09,56643,,
,MS-G-000359,"GLUE ONYX KIT18 PACKAGED, AVM TUMOR F/ EMBOLIZATION MEDTRONIC No.EV-105-7000-060",11612.7,MS-G-000359,,
716.0,MS-H-000584,HUMERUS FRACT STEM COMPR 12MM PPS BIOMET # 12-113562,11554.0,48090,,
2705.0,MS-S-009628,STEM HUMERAL FRACTURE COMPREHENSIVE SHOULDER SYSTEM 10MMX122MM LONG. BIOMET # 12-113560,11554.0,48090,,
2772.0,MS-S-009777,STEM HUMERAL FRACTURE W/MACRO BOND SIZE 10MM. ZIMMER # 11-113560,11554.0,48090,,
415.0,MS-C-003965,"CUP ACETABULAR RECONSTRUCTION CEMENTED PROTRUSIO CAGE 58MM OD 53MM ID RIGHT. JOH,JOH # 1011-73-000",11550.0,56642,,
570.0,MS-F-000313,FILTER WIRE EMBOSHIELD  NAV6 EPS LG ABBOTT #22443-19,11550.0,44841,,
,MS-C-003834,CUFF DVT CALF MEDIUM DR.LIFE # DS022,11385.0,44784,,
640.0,MS-G-000753,GRAFT VASCULAR 8MM/60CM FUSION BIOLINE STRAIGHT EXTERNALLY SUPPORTED . MAQUET # M00201503068B0,11220.0,35281,,
199.0,MS-B-001927,BONE GRAFT CREST WEDGE (ACF)9MM THICKNESS #MTF ;400401,11138.0,58890,,
1559.0,MS-R-000393,ROD POSTERIOR 6.0X80MM SOFAMOR DANEK #79810080,11138.0,64253,,
1580.0,MS-R-000474,ROD POSTERIOR 90MM SOFAMOR DANEK # 79810090,11138.0,64253,,
1590.0,MS-R-000539,ROD 60MM POSTERIOR TRANSITION SOFAMOR DANEK # 79810060,11138.0,64253,,
1757.0,MS-S-002061,STENT SELF EXPANDABLE STENTYS B.BRAUN DES ALL SIZES,11138.0,48160,,
760.0,MS-I-000248,INSERT MODULAR 46MM DUAL MOBILITY STRYKER # 626-00-46F,11031.0,43167,,
,MS-M-000196,MACHINE OXYGEN CONCENTRATOR EVERFLO PHILIPS #1020008-UK,10994.78,31321,,
,MS-S-008885,SEALER OPEN CURVED LARGE JAW MEDTRONIC # LF4418,10994.78,61478,,
,MS-P-001109,PLATE DISTAL TIBIAL 2.7/3.5 L 10HOLE SYNTHES #239.912,10979.28,61573,,
,MS-P-001578,PLATE LCP DISTAL TIBIAL 2.7/3.5 L 10HOLE SYNTHES #239.913,10979.28,61573,,
2611.0,MS-S-009379,"STENT TIGRIS,DIFFERENT SIZES#GORE MEDICAL USA#PHBXXXX2 GORE # PHBXXXX2",10973.0,46689,,
2193.0,MS-S-005828,STEM 15MMX140MM STRAIGHT DISTAL TAPERED J&J # 1976-15-140,10808.0,34190,,
2194.0,MS-S-005829,STEM 14MMX140MM STRAIGHT DISTAL TAPERED J&J # 1976-14-140,10808.0,34190,,
1398.0,MS-P-003736,PLATE LOCKING 4.5X247L X8 HOLE PROXI-FEMPLR  . SYNTHES # 242.808,10770.0,61573,,
,17791,STENT CORONARY DRUG ELUTED 2.5 X12MM  # ENSP25012X MEDTRONIC,10758.83,56285,,
,MS-S-000012,STENT TAXUS DRUG ELUTING (ALL SIZES),10730.88,56304,,
23.0,MS-B-000302,BIPOLAR HEMI ARTHROPLASTY DIFFERENT SIZES,10725.0,33695,,
77.0,MS-B-000780,BALLOON DRUG ELUTING PTA PASEO-18 LUX BIOTRONIC ALL SIZES,10725.0,62218,,
584.0,MS-F-000591,FEMORAL PS CEMENTED SIZE 4 RIGHT. JOH. & JOH. # 1504-10-204,10725.0,44855,,
585.0,MS-F-000614,FEMORAL POSTERIOR STABILIZED SIZE 7 RIGHT CEMENTED ATTUNE. JOH. & JOH. # 1504-10-207,10725.0,44855,,
611.0,MS-G-000360,GRAFT VASCULAR 7MM X 80CM FUSION BIOLINE STRAIGHT DOUBLE LAYERS MAQUET#M00201503087B0,10725.0,35281,,
2645.0,MS-S-009440,"STENT PERIPHERAL SYSTEM PRIME XIENCE BTK EVEROLIMUS ELUTING,FREESIZES MEDISERV # 1012646-38",10725.0,47932,,
592.0,MS-F-000684,FIBULA SHAFT BONE GRAFT 10MM L12-13MM W.FREEZE DRIED.  MTF  # 400751,10534.0,47938,58890.0,
,MS-M-000100,MESH PHYSIO 15X20CM ETHICON# PHY1520R /COVIDIEN# SYM2015,10432.8,61423,,
,18206,STENT CORONARY DRUG SIROLIMUS ELUTING ORSIRO 2.75X35 BIOTRONIK #391236,10328.47,58760,,
,20086,STENT DRUG ELUTING 2.75 X 26 MM,10316.52,56285,,
1216.0,MS-P-001676,PLATE MATRIX MESH NEURO 1008100 SYNTHES #04.503.084,10217.0,46642,,
259.0,MS-C-001410,CAGE 5.5MM INTRABODY OSSEOFIX ALPHATEC SPINE #21298-45,10044.0,61230,61958.0,
122.0,MS-B-001210,BALLOON DRUG COATED LUTONIX CORONARY DCB DIFF. SIZES BARD #9020,9975.0,17521,,
631.0,MS-G-000701,GRAFT VASCULAR FUSION PTFE RINGED 8MM X 80MM MAQUET # 503088,9950.0,35281,,
572.0,MS-F-000334,FEMORAL POSTERIOR STABILIZED CEMENTED SIZE 5 LEFT SIGMA J&J # 1960-40-500,9938.0,44855,,
578.0,MS-F-000561,FEMORAL POSTERIOR SIZE 4 LEFT STABILIZED CEMENTED SMITH&NEPHEW # 1960-50-400,9938.0,61271,,
581.0,MS-F-000571,FEMORAL COMPONENT SIZE 5 RIGHT IMPLANT POSTERIOR.STAB. SMITH&NEPHEW # 171421115,9938.0,35668,,
591.0,MS-F-000667,FEMORAL POSTERIOR STABILIZED CEMENTED SIZE 5 RIGHT. JOH. & JOH. # 1960-50-500,9938.0,44855,,
1149.0,MS-N-001578,NON-LUGED NON-POROUS FEM LT SZ 2.5 SIGMA PS JOH. & JOH. # JOLOP196040250,9938.0,32841,,
853.0,MS-M-000324,MESH PLATE 100X100MM 0.4MM MALLEABLE MATRIXNEURO SYNTHES# 04.503.083,9916.0,46580,,
79.0,MS-B-000806,BONE GRAFT GENEX 10CC OSTEOCONDUCTION+OSTEOINDUCTION BIOCOMPOSITES #900-010,9900.0,43999,,
645.0,MS-H-000047,HIP TOTAL REPLACEMENT CEMENTED DIFFERENT SIZES,9900.0,61940,,
1337.0,MS-P-002656,PROSTHESIS PENILE MALLEABLE DIFF. SIZE COLOPLAST # 519250 /519260 /519270,9900.0,36251,,
1507.0,MS-P-004667,PENILE PROSTHSIS TACTRA  DIFFERENTS SIZE. BOSTON SCIENTIFIC CORPORATION #720080XX,9900.0,36251,,
1525.0,MS-R-000166,RING ANNULOPLASTY 33MM DURAN ANCORE CHORDIAL GUIDE 620R,9900.0,45577,,
2161.0,MS-S-005782,STEM SIZE 4 ACCOLADE II 132 DEG. STRYKER # 6720-0435,9900.0,13180,,
2201.0,MS-S-005841,STENT SELF EXPANDABLE F/ SFA FULL POPLITIAL LIFESTENT DIFF. SIZES BARD #EV1C,9900.0,57959,,
2807.0,MS-S-010397,STEM FEMORAL HIP SYSTEM COATED CORIAL REVISION 12/14 AMT 135 STANDARD COLLAR SIZE 14.JOH. & JOH. #L9,9900.0,34203,,
,39707,PLATE DISTAL FIBULA 6 HOLES CHM # 3.7029.606,9862.256,61573,,
118.0,MS-B-001198,BOLT LOCKING 20MMX95MMX95MM CEMENTLESS J&J # 1975-20-095,9818.0,16077,,
302.0,MS-C-002088,CUP COMBI F/HIP SIZE 44 LINK # 182-001/44,9818.0,35661,,
387.0,MS-C-003810,CUP COMBI PF LARGE 54MM. LINK # 182-001/54,9818.0,56642,,
782.0,MS-I-000630,INSERT CUP COMBI PF SMALL 46MM. LINK # 182-001/46,9818.0,48090,,
,MS-R-000306,RING MITRAL ANNULOPLASTY SIZE 30MM CARBOMEDICS/MEDTRONIC No.AR-730/638RL30,9660.0,99999,,
117.0,MS-B-001191,BONEGRAFT WEDGE FLIXER OSTEOTECH 15 X 15 X40MM # 60000215INT,9636.0,16966,,
304.0,MS-C-002093,CUP COMBI F/HIP SIZE 54 LINK # 182-001/54,9625.0,35661,,
539.0,MS-E-000574,EXTENTION PIECE RS 25MM FOR BONE.,9625.0,42308,,
567.0,MS-F-000291,FIXATOR EXTERNAL DISTAL RADIUS #MO-110D,9625.0,64739,,
1270.0,MS-P-002513,"PATCH DURA SUBSTITUTE 3X3"" DUREPAIR MEDTRONIC # 61105",9625.0,32327,,
2205.0,MS-S-005848,STEM 115MM X 12MM UNIVERSAL. JOH. & JOH. # 86-7426,9625.0,13180,,
126.0,MS-B-001220,BONE GRAFT 10CC PUTTY LIFENET # TPUT10,9603.0,46543,,
1166.0,MS-O-000204,OPTIUM DBM PUTY 10CC LIFENET HEALTH AMICO MEDICAL INSTRUMENT CO. # TPUT10,9603.0,47257,,
1555.0,MS-R-000379,"ROD CROSSLINK, CERVICAL.MEDIUM SOFAMOR DANEK #7752536",9570.0,64253,,
800.0,MS-K-000129,KIT STIMULAN 10CC W. PAST BIOCOMPOSITES # 600-010,9529.0,47967,,
159.0,MS-B-001745,BONE GRAFT PUTTY 10CC . LIFENET # T43110INT,9455.0,61884,,
1556.0,MS-R-000382,RING MITRAL MEMO 3D SIZE 28MM SORIN #ICV 0968,9433.0,45577,,
1557.0,MS-R-000383,RING MITRAL MEMO 3D SIZE 30MM SORIN #ICV 0969,9433.0,45577,,
1558.0,MS-R-000384,RING MITRAL MEMO 3D SIZE 32MM SORIN #ICV 0970,9433.0,45577,,
1219.0,MS-P-001786,PLATE HUMERAL PHILOS LONG PROXIMAL DIAPHYEAL 3.5MM 10HOLES SYNTHES #241.923,9407.0,46647,,
,MS-B-000506,BLOODLINE 5008 SYSTEM FRESENIUS#F00000384,9389.52,33309,,
2167.0,MS-S-005799,STENT BIOMIME DES LONG LENGTH  MORPH DRUG ELUTIN ALL SIZES MERIL LIFE # BIO22513,9256.0,56284,,
281.0,MS-C-001823,COR-KNOT MINIMAL INVASIVE KIT W/ 5MM APPLICATOR AND 12 QUICK LOAD PETER SURGICAL#030925,9249.0,45213,,
608.0,MS-G-000330,GRAFT FLIXENE GRADUATED WALL TAPER 4-7MM X 35CM PTFE ATRIUM # 25129,9240.0,35281,,
,MS-B-000669,BALLOON DRUG ELUTING IN-PACT FALCON ALL SIZES INVATEC # 072-FL-2002B12,9222.885,47732,,
2992.0,MS-V-000149,VALVE PROGRAMMABLE BURR HOLE CODMAN #82-3184,9210.0,44856,,
69.0,MS-B-000546,BASIC VPAP AUTO 25 EASY BREATHE MACHINE W/ FULL MASK RESMED #26101,9117.0,60711,,
180.0,MS-B-001799,BONE GRAFT PINNACLES GRITION REVISION AUGMENT 20MM 54MM/56MM. JOH. & JOH. # 1217-20-354,9075.0,61780,,
810.0,MS-K-000220,KNEE BRACE UNLOADER ONE W/ SMART DOSING RIGHT MEDIAL OSSUR#B-240518713/712,9075.0,41065,,
2942.0,MS-T-001417,TIBIAL FB CEMENTED BASE SIZE 5 . JOH. & JOH. # 1506-00-005,9075.0,58716,,
2950.0,MS-T-001467,TIBIAL BASE PLATE FIXED BEARING SIZE 7 CEMENTED ATTUNE. JOH. & JOH. # 1506-00-007,9075.0,58716,,
54.0,MS-B-000482,BALLOON CATHETER RELIANT MEDTRONIC#AB46,9048.0,17184,,
165.0,MS-B-001760,BONE ACCELL CONNEXUS 10CC Sea spine # 20-3000-100,8952.0,43999,,
565.0,MS-F-000281,FIBER REUSABLE SLIMLINE 365 MICRON LUMENIS #0642-148-60,8910.0,62184,,
566.0,MS-F-000282,FIBER REUSABLE SLIMLINE 550 MICRON LUMENIS #0624-149-60,8910.0,63527,,
,18386,STENT CORONARY DRUG SIROLIMUS ELUTING ORSIRO 2.25X26 BIOTRONIK # 264489,8893.962,99999,,
614.0,MS-G-000374,GRAFT VASCULAR 8 MM X 60 CM FUSION STRAIGHT LOT. MAQUET # M002015010680,8869.0,35281,,
610.0,MS-G-000357,GELPOINT PATH TRANSANAL ACCESS PLATFORM APPLIED MED# CN011,8848.0,63391,,
2854.0,MS-S-010689,STEM MODULAR CEMENTLESS 280MM. LINK #15-2952/09,8807.0,34203,,
2858.0,MS-S-010741,STEM MODULAR 240MM CEMENTLESS  LINK #15-2952/08,8807.0,13180,,
370.0,MS-C-003714,CUP PF 52MM MEDIUM. LINK # 182-001/52,8663.0,56642,,
554.0,MS-F-000187,FEMORAL POSTERIOR STABILIZED CEMENTED 2.5 RIGHT SIGMA DEPUY J&J #1960-50-250,8663.0,44855,,
555.0,MS-F-000188,FEMORAL POSTERIOR STABILIZED CEMENTED 2.5 LEFT SIGMA DEPUY J&J #1960-40-250,8663.0,44855,,
557.0,MS-F-000216,FEMORAL POSTERIOR STABILIZED CEMENTED SIZE 3 LEFT J & J #1960-40-300,8663.0,34203,,
569.0,MS-F-000307,FEMORAL PS CEMENTED SIZE 4 LEFT J&J # 196040400,8663.0,38156,,
573.0,MS-F-000335,FEMORAL POSTERIOR SIZE 2 LEFT STABILIZED CEMENTED J&J # 1960-40-200,8663.0,61271,,
583.0,MS-F-000579,FEMORAL CEMENTED POSTERIOR STABILIZED 2 R. JOH. & JOH. # 1960-50-200,8663.0,61940,,
588.0,MS-F-000655,FEMORAL POSTERIOR STABILIZED CEMENTED SIZE 1.5 L. JOH. & JOH. # 1960-40-150,8663.0,44855,,
742.0,MS-I-000035,IMPLANT FEMORAL POSTERIOR STABILIZED CEMENTED SIZE 3 RIGHT DEPUY SYNTHES SIGMA J&J# 1960-50-300,8663.0,52747,,
1253.0,MS-P-002290,PROBE BALL TIP 175MM SOFAMOR DANEK # PSP2001,8663.0,61325,,
2370.0,MS-S-008633,"STENT EXPANDABLE SMARTFLEX OPEN ALL SIZES,SF0610MV#CORDIS CORDIS # SF06120MV",8663.0,63844,,
183.0,MS-B-001819,BONE GRAFT ILIAC CREST (TRICORTICAL) 25MM WEDGE HEIGHT-PRESERVON. LIFENET # PICW2.5,8634.0,16966,,
,17786,STENT CORONARY DRUG ELUTED 3.5 X 22 MM #  MEDTRONIC /RSINT35022X,8607.06,56285,,
,17796,STENT CORONARY DRUG ELUTED 2.25X20MM TAXUS#(H749389402022,8607.06,56285,,
307.0,MS-C-002107,CEMENTLESS PROSTHESIS SYSTEM SIZE 3 LENGTH 210 . LINK # 172-921/18,8580.0,58951,,
1272.0,MS-P-002519,PROBE SURGEON CONTROLLED MEDTRONIC # SPK1004 MEDTRONIC # SPK1004,8580.0,35723,,
636.0,MS-G-000737,GRAFT VASCULAR FILIXIENE GRADUATED WALL PTFF WITH DOUBLE SILDER GDS 4-7MMX45CM. MAQUET # 25138,8567.0,35281,,
1629.0,MS-R-000745,RADIAL STEM MODULAR WITH SCREW EXPLOR 9X30MM. BIOMET # 11-210064,8544.0,33701,,
2799.0,MS-S-010342,STEM RADIAL WITH SCREW MODULAR SIZE 6MMX24MM LENGTH. ZIMMER # 11-210061,8544.0,45039,,
2817.0,MS-S-010456,STEM RADIAL MODULAR WITH SCREW 8MMX28MM LENGTH.ZIMMER BIOMET # 11-210063,8544.0,33701,,
2860.0,MS-S-010750,STEM RADIAL MODULAR EXPLOR WITH SCREW 7MMX26MM LENGTH ZIMMER BIOMET #11-210062,8544.0,33701,,
,SME1403,CPAP MASK ADULT SIZE # TAIWAN,8534.61,37591,,
909.0,MS-N-001015,NECK SEGMENT WITHOUT COLLAR CEMENTLESS 12/14MM X 65MM / 126 LINK # 172-964/26,8448.0,61467,,
1504.0,MS-P-004658,PLATE LCP DISTAL HUMERAL LE  8HOLES L194 SST .SYNTHES #02.104.028,8393.0,46647,,
273.0,MS-C-001715,CATHETER VENTRICULAR MICROSENSOR KIT CODMAN #826633,8363.0,64442,,
