SER,PACKAGE CODE ,CATEGORY,SUB-CATEGORY,SERVICE DESCRIPTION,الـوصـــــــــــــــــــف ,Admission Days (LOS),Unnamed: 7,SNC GROSS PRICE FOR ALL CLASSES 10% decrease
21.0,1011021.0,E.N.T.,NOSE SURG.,ORO-ANTRAL FISTULA REPAIR,إصلاح ناصور فمي – جيب أنفي,0,1,7841.0
22.0,1011022.0,E.N.T.,NOSE SURG.,POSTERIOR NASAL PACK UNDER GENERAL ANESTHESIA ,حشو خلفي لنزيف الأنف تحت مخدر عام,0,D/C,2183.0
23.0,1011023.0,E.N.T.,NOSE SURG.,REMOVAL OF ANTRAL FOREIGN BODY,إزالة جسم غريب من الجيب الأنفي,0,1,3791.0
24.0,1011024.0,E.N.T.,NOSE SURG.,REVISION OF RHINOPLASTY (MEDIUM),اعادة تجميل انف متوسط,0,1,4050.0
25.0,1011025.0,E.N.T.,NOSE SURG.,RHINOPLASTY,تقويم الأنف ,0,2,12938.0
26.0,1011026.0,E.N.T.,NOSE SURG.,RHINOPLASTY (MEDIUM),تجميل انف متوسط,0,1,6248.0
27.0,1011027.0,E.N.T.,NOSE SURG.,SEPTOPLASTY,تقويم الحاجز الأنفي ,0,1,6008.0
28.0,1011028.0,E.N.T.,NOSE SURG.,SEPTORHINOPLASTY,تجميل الأنف و تقويم الحاجز الأنفي ,0,2,11880.0
29.0,1011029.0,E.N.T.,NOSE SURG.,SUBMUCOUS DIATHERMY + TURBINECTOMY,كي لغضاريف الأنف و إستئصال جزئي لها ,0,1,4715.0
30.0,1011030.0,E.N.T.,NOSE SURG.,SUBMUCOUS RESECTION OF NASAL SPECTUM (MEDIUM),اسئصال حاجز انفي من تحت المخاطية,0,1,3876.0
31.0,1011031.0,E.N.T.,NOSE SURG.,UNILATERAL SINSUS PUNCTURE G.A.,بذل جيب أنفي ناحية واحدة ( م. ع. ),0,D/C,2031.0
32.0,1012001.0,E.N.T.,THROAT SURG.    ,ADENOIDECTOMY,إستئصال لحمية بسقف الحلق,0,1,2226.0
33.0,1012002.0,E.N.T.,THROAT SURG.    ,ADENOTONSILECTOMY,استئصال اللوزتين و اللحمية,0,1,4917.0
34.0,1012003.0,E.N.T.,THROAT SURG.    ,BRONCHOSCOPY,منظار للشعب الهوائية,0,D/C,5346.0
35.0,1012004.0,E.N.T.,THROAT SURG.    ,CLEFT PALATE REPAIR,عملية تصليح الحلق الأرنبي,0,2,11405.0
36.0,1012005.0,E.N.T.,THROAT SURG.    ,ESOPHAGOSCOPY,منظار للبلعوم,0,D/C,2913.0
37.0,1012006.0,E.N.T.,THROAT SURG.    ,HYPOPHARYNGOSCOPY ,تنظيرالبلعوم السفلي,0,D/C,2888.0
38.0,1012007.0,E.N.T.,THROAT SURG.    ,HYPOPHARYNGOSCOPY & FOREIGN BODY REMOVAL ,إزالة جسم غريب من المرئ,0,1,4715.0
39.0,1012008.0,E.N.T.,THROAT SURG.    ,INCISION & DRAINAGE OF QUINSY UNDER G.A.,فتحة خراج تحت اللوزة مخدر عام,0,D/C,2183.0
40.0,1012009.0,E.N.T.,THROAT SURG.    ,L.A.U.P. / LASER ASSISTED UVULOPALATOPLASTY,إيقاف الشخير بالليزر,0,1,6489.0
41.0,1012010.0,E.N.T.,THROAT SURG.    ,LARYNX LASER SURGERY,الجراحة بالليزر للحنجرة,0,1,6873.0
42.0,1012011.0,E.N.T.,THROAT SURG.    ,LASER TONSILLECTOMY,استئصال اللوز بالليزر,0,1,4131.0
43.0,1012012.0,E.N.T.,THROAT SURG.    ,LYMPH NODE BIOPSY ,أخذ عينة من غدة ليمفاوية ,0,1,5589.0
44.0,1012013.0,E.N.T.,THROAT SURG.    ,MICROLARYNGOSCOPY,منظار ميكروسكوبي للحنجرة,0,D/C,2183.0
45.0,1012014.0,E.N.T.,THROAT SURG.    ,MICROLARYNGOSURGERY,جراحة ميكروسكوبية للحنجرة ,0,2,7209.0
46.0,1012015.0,E.N.T.,THROAT SURG.    ,PAN-ENDOSCOPY (TRIPLE PROCEDURE),منظار شامل,0,1,4034.0
47.0,1012016.0,E.N.T.,THROAT SURG.    ,PLASTIC SURGERY OF THROAT ,جراحة  تجميل للحلق,0,1,9504.0
48.0,1012017.0,E.N.T.,THROAT SURG.    ,REMOVAL OF SUBMANDIBULAR GLAND STONE (MEDIUM),استئصال الغدة تحت الفك السفلي,0,1,3605.0
49.0,1012018.0,E.N.T.,THROAT SURG.    ,RESECTION OF SUBMANDIBULAR GLAND ,إستئصال غدة لعابية تحت الفك,0,1,6585.0
50.0,1012019.0,E.N.T.,THROAT SURG.    ,THROAT FOREIGN BODY REMOVAL G.A.,إستئصال جسم غريب من الحلق تحت مخدر عام,0,D/C,1980.0
51.0,1012020.0,E.N.T.,THROAT SURG.    ,TONSILLECTOMY, إستئصال اللوزتين للكبار ,0,1,3985.0
52.0,1012021.0,E.N.T.,THROAT SURG.    ,TRACHEOSTOMY,شق الحنجرة,0,1,11405.0
53.0,1012022.0,E.N.T.,THROAT SURG.    ,TUMOR SURGERY OF THROAT ,جراحة استئصال الأورام بالحلق,0,2,10930.0
54.0,1012023.0,E.N.T.,THROAT SURG.    ,UVULOPALATOPHARYNGOPLASTY (SNORING SURGERY),جراحة الشخير,0,1,5672.0
55.0,1013001.0,E.N.T.,EAR SURG.,BAT EAR SURGERY,عملية تجميل صوان الأذن,0,1,10930.0
56.0,1013002.0,E.N.T.,EAR SURG.,BILATERAL MYRINGOTOMY (G.A.),شق طبلة الأذنين ( مخدر عام ),0,1,3743.0
57.0,1013003.0,E.N.T.,EAR SURG.,CORTICAL MASTOIDECTOMY,إستئصال قشرة النتوء الحلمي ,0,1,3265.0
58.0,1013004.0,E.N.T.,EAR SURG.,EAR FOREIGN BODY REMOVAL UNDER G.A.,إزالة جسم غريب من الأذن تحت مخدر عام,0,D/C,1980.0
59.0,1013005.0,E.N.T.,EAR SURG.,ENDOLYMPHATIC SHUNT,عملية الدوار,0,2,12685.0
60.0,1013006.0,E.N.T.,EAR SURG.,EXPLORATORY TYMPANOTOMY,إستكشاف الأذن الوسطى,0,1,8554.0
61.0,1013007.0,E.N.T.,EAR SURG.,FACIAL NERVE SURGERY,جراحة العصب السابع,0,2,13155.0
62.0,1013008.0,E.N.T.,EAR SURG.,IMPLANTABLE HEARING AID,زرع سماعة بالاذن,0,2,9362.0
63.0,1013009.0,E.N.T.,EAR SURG.,INCISION & DRAINAGE OF EXTERNAL EAR ABSCESS,فتح خراج لقناة الأذن الخارجية,0,D/C,1980.0
64.0,1013010.0,E.N.T.,EAR SURG.,LABYRINTHECTOMY,إستئصال الأذن الداخلية,0,2,12215.0
65.0,1013011.0,E.N.T.,EAR SURG.,LASER EAR SURGERY,جراحة الأذن بالليزر,0,1,9362.0
66.0,1013012.0,E.N.T.,EAR SURG.,MASTOID ABSCESS DRAINAGE UNDER G.A.,فتح خراج خلف الأذن تحت مخدر عام,0,D/C,1980.0
67.0,1013013.0,E.N.T.,EAR SURG.,MYRINGOPLASTY,ترقيع طبلة الأذن ,0,1,8079.0
68.0,1013014.0,E.N.T.,EAR SURG.,MYRINGOTOMY & GROMMET (G.A.) BILATERAL,شق طبلة الأذنين مع تركيب الأنابيب تحت مخدر عام,0,D/C,5020.0
69.0,1013015.0,E.N.T.,EAR SURG.,MYRINGOTOMY & GROMMET (G.A.) UNILATERAL ,شق طبلة أذن واحدة مع تركيب أنابيب تحت مخدر ,0,D/C,3985.0
70.0,1013016.0,E.N.T.,EAR SURG.,OSSICULOPLASTY,إصلاح عظيمات السمع,0,2,10930.0
71.0,1013017.0,E.N.T.,EAR SURG.,PLASTIC SURGERY OF EAR LOBULE,تجميل شحمة الأذن,0,1,4715.0
72.0,1013018.0,E.N.T.,EAR SURG.,PRE AURICLAR  FISTULA EXCISION ,إستئصال ناصور أمام الأذن,0,2,9029.0
73.0,1013019.0,E.N.T.,EAR SURG.,RADICAL MASTOIDECTOMY,إستئصال النتوء الحلمي كلياً,0,2,13155.0
74.0,1013020.0,E.N.T.,EAR SURG.,STAPEDECTOMY,إستئصال عظمة الركاب,0,2,13155.0
75.0,1013021.0,E.N.T.,EAR SURG.,SUCTION CLEARANCE UNDER G.A.,تنظيف الأذن تحت مخدر عام,0,D/C,2183.0
76.0,1013022.0,E.N.T.,EAR SURG.,TYMPANOPLASTY ,ترقيع طبلة الاذن,0,1,9029.0
77.0,1013023.0,E.N.T.,EAR SURG.,TYMPANOPLASTY + MASTOIDECTOMY,ترقيع طبلة الأذن مع إستئصال النتوء الحلمي,0,2,11405.0
78.0,1013024.0,E.N.T.,EAR SURG.,TYMPANOPLASTY  SECOND STAGE OF TWO STAGES ,عملية تكميلية لترقيع طبلة الأذن,0,2,6969.0
79.0,1013025.0,E.N.T.,EAR SURG.,UNILATERAL MYRINGOTOMY (G.A.),بذل ارتشاح خلف طبلة الأذن ( تحت مخدر عام ),0,D/C,1879.0
80.0,1013026.0,E.N.T.,EAR SURG.,VESTIBULAR NEURECTOMY ,قطع عصب الإتزان,0,2,17583.0
81.0,1014001.0,E.N.T.,HEAD & NECK SURG.,BLOCK NECK DISSECTION ,استئصال أورام الرقبة اللمفاوية,0,3,21114.0
82.0,1014002.0,E.N.T.,HEAD & NECK SURG.,BRANCHIAL FISTULECTOMY,استئصال ناصور رقبة,0,2,22032.0
83.0,1014003.0,E.N.T.,HEAD & NECK SURG.,PARTIAL LARYNGECTOMY,استئصال جزئي للحنجرة ,0,2,17595.0
84.0,1014004.0,E.N.T.,HEAD & NECK SURG.,SUPERFICIAL PAROTIDECTOMY,استئصال جزئي للغدة اللعابية,0,2,17901.0
85.0,1014005.0,E.N.T.,HEAD & NECK SURG.,THYROGLOSSAL CYST EXCISION ,استئصال خويصلة بالرقبة,0,2,12685.0
86.0,1014006.0,E.N.T.,HEAD & NECK SURG.,TOTAL LARYNGECTOMY ,استئصال كامل الحنجرة,0,2,17108.0
87.0,1014007.0,E.N.T.,HEAD & NECK SURG.,TOTAL PAROTIDECTOMY,استئصال كامل للغدة اللعابية,0,2,22032.0
88.0,2011001.0,GENERAL SURG.,MINOR SURG,ANAL DILATATION (UNDER G.A.), توسيع الشرج ( تحت البنج العام ),0,1,3312.0
89.0,2011002.0,GENERAL SURG.,MINOR SURG,ANESTHESIA (G.A OR SEDATION)  FOR  PROCEDURE,التخدير (العام أو التخدير الجزئي) لإجراء عملية,0,D/C,1574.0
90.0,2011003.0,GENERAL SURG.,MINOR SURG,CIRCUMCISION (ADULT) UNDER GA, ختان بالغ ( تحت التخدير العام ),0,D/C,2976.0
91.0,2011004.0,GENERAL SURG.,MINOR SURG,CIRCUMCISION (ADULT) UNDER LA, ختان بالغ ( تحت المخدر الموضعى ),0,D/C,1572.0
92.0,2011005.0,GENERAL SURG.,MINOR SURG,CIRCUMCISION (LESS THAN ONE YEAR), طهارة اقل من سنة,0,D/C,725.0
93.0,2011006.0,GENERAL SURG.,MINOR SURG,DERMOID CYST EXCISION,استئصال كيس دهني بالجلد تحت مخدر عام,0,1,2930.0
94.0,2011007.0,GENERAL SURG.,MINOR SURG,DIVISION OF TONGUE TIE UNDER L.A., تقسيم لعقدة اللسان تحت مخدر موضعي,0,D/C,2484.0
95.0,2011008.0,GENERAL SURG.,MINOR SURG,ENDOSCOPIC POLYPECTOMY, استئصال بوليب عبر المنظار الهضمى,0,D/C,2913.0
96.0,2011009.0,GENERAL SURG.,MINOR SURG,EXCISION OF BREAST LUMP / BIOPSY UNDER G.A. (WITHOUT HISTOPATHOLOGY),عملية إزالة كتلة من الصدر - مبلغ شامل,0,1,2930.0
97.0,2011010.0,GENERAL SURG.,MINOR SURG,EXCISION OF BREAST LUMP / LUMPECTOMY - MULTIPLE UNDER G.A.,عملية إزالة كتلة من الصدر - مبلغ شامل,0,D/C,3645.0
98.0,2011011.0,GENERAL SURG.,MINOR SURG,EXCISION OF SIMPLE CYST OR LIPOMA UNDER G.A. + HISTOPATHOLOGY ,استئصال كيس دهني تحت مخدر كلي مع عينة باثولوجي,0,D/C,3767.0
99.0,2011012.0,GENERAL SURG.,MINOR SURG,EXCISION OF SIMPLE OR SMALL LIPOMA UNDER G.A.,استئصال كيس دهني صغير تحت مخدر كلي,0,D/C,2913.0
100.0,2011013.0,GENERAL SURG.,MINOR SURG,EXCISION OF SIMPLE OR SMALL LIPOMA UNDER L.A.,استئصال كيس دهني صغير تحت مخدر موضعي,0,0,1828.0
101.0,2011014.0,GENERAL SURG.,MINOR SURG,EXCISION OF SIMPLE TUMOUR OR CHRONIC ABCESS OF BREAST,عملية إزالة كتلة من الصدر - مبلغ شامل,0,D/C,2930.0
102.0,2011015.0,GENERAL SURG.,MINOR SURG,EXCISION OF SIMPLE TUMOURS OR CHRONIC BREAS ABSCESS,استئصال ورم بسيط أو خراج مزمن بالثدي,0,D/C,3548.0
103.0,2011016.0,,MINOR SURG,EXCISION OF SINGLE / MULTIPLE NEUROFIBROMA,إزالة  الورم العصبي المفرد / المتعدد,0,D/C,5286.0
104.0,2011017.0,GENERAL SURG.,MINOR SURG,I & D LARGE OR DEEP ABSESS UNDER G.A.,فتح و تفريغ خراج عميق تحت مخدر كلي,0,D/C,3402.0
105.0,2011018.0,GENERAL SURG.,MINOR SURG,INGROWING TOE NAIL UNDER G.A.,استئصال ظافر اصبع القدم تحت مخدر كلي,0,D/C,3402.0
106.0,2011019.0,GENERAL SURG.,MINOR SURG,LOW IMPERFORATED ANUS, فتح الشرج الغير منثقب ( المنخفض ),0,D/C,5768.0
107.0,2011020.0,GENERAL SURG.,MINOR SURG,PERCUTANEOUS LIVER BIOPSY WITH US, خزعة من الكبد عبر الجلد بمساعدة الموجات فوق الصوتية,0,D/C,2888.0
108.0,2011021.0,GENERAL SURG.,MINOR SURG,PERIANL ABSCESS (UNDER G.A.), فتح خراج حول الشرج ( تحت التخدير العام ),0,D/C,4617.0
109.0,2011022.0,GENERAL SURG.,MINOR SURG,RELEASE OF TONGUE TIE UNDER G.A., فك عقدة اللسان ( تحت التخدير العام ),0,D/C,3888.0
110.0,2011023.0,GENERAL SURG.,MINOR SURG,REMOVAL OF FOREIGN BODY UNDER L.A., استخراج جسم غريب  ( تحت التخدير العام ),0,D/C,2733.0
111.0,2011024.0,GENERAL SURG.,MINOR SURG,REMOVAL OF THROMBOSED PILES OR EXCISION OF PERIANAL SKIN TAGS, استئصال باسور متخثر مع زوائد جلدية حول الشرج ,0,D/C,4617.0
112.0,2011025.0,GENERAL SURG.,MINOR SURG,REMOVAL SUB-MANDIBULAR SALIVARY STONES (DUCT STONE), استئصال حصاه من قناة الغدة اللعابية تحت الفك,0,D/C,4617.0
113.0,2011026.0,GENERAL SURG.,MINOR SURG,SCLEROTHERAPY OESOPHAGEAL, تصليب دوالى المرىء,0,D/C,3402.0
114.0,2011027.0,GENERAL SURG.,MINOR SURG,SINGLE BALLOON ENTEROSCOPY,بالون واحد انترسكوبي,0,D/C,3645.0
115.0,2011028.0,GENERAL SURG.,MINOR SURG,SUTURING LARGE WOUND UNDER G.A., خياطة جرح كبير ( تحت التخدير العام ),0,D/C,3402.0
116.0,2011029.0,GENERAL SURG.,MINOR SURG,THORACOCENTESIS,شفط السوائل من القفص الصدري بواسطة ابرة,0,0,1080.0
117.0,2012001.0,GENERAL SURG.,MEDIUM SURG,ACHALSIA OF CARDIA,تضيق فتحة المرىء السفلى,0,1,8910.0
118.0,2012002.0,GENERAL SURG.,MEDIUM SURG,ADHESIOLYSIS,إزالة الإلتصاقات,0,1,6088.0
119.0,2012003.0,GENERAL SURG.,MEDIUM SURG,AMPUTATION IN CASE OF LIMBS GANGRENE, بتر الطرف بسبب التموت فيه ,0,2,10455.0
120.0,2012004.0,GENERAL SURG.,MEDIUM SURG,ANAL FISSURECTOMY, استئصال شق شرجى مزمن,0,1,6210.0
121.0,2012005.0,GENERAL SURG.,MEDIUM SURG,APPENDECTOMY , استئصال الزائدة الدودية الملتهبة,0,1,6469.0
122.0,2012006.0,GENERAL SURG.,MEDIUM SURG,CLOSURE OF COLOSTOMY WITH ANASTOMOSIS, اغلاق شرج مضاد للطبيعة مع مغاغرة معوية,0,1,7570.0
123.0,2012007.0,GENERAL SURG.,MEDIUM SURG,CORRECTION OF BURIED PENIS OR CONCEALED PENIS,اصلاح قضيب مدفون جراحيا,0,1,22950.0
124.0,2012008.0,GENERAL SURG.,MEDIUM SURG,DIAGONSTIC ERCP, منظار تشخيصي للقنوات المرارية والبنكرياس,0,D/C,4658.0
125.0,2012009.0,GENERAL SURG.,MEDIUM SURG,ENDOSCOPIC SPHINCTEROTOMY, خزع معصرة اودي بالمنظار الهضمى,0,D/C,5225.0
126.0,2012010.0,GENERAL SURG.,MEDIUM SURG,ENDOSCOPIC SPHINCTEROTOMY & DRAIN INSERTION, خزع المعدة بالمنظار مع وضع مفجر,0,D/C,6368.0
127.0,2012011.0,GENERAL SURG.,MEDIUM SURG,ENDOSCOPIC SPHINCTEROTOMY & STONE CRUSHING, خزع المعدة بالمنظار مع تفتيت الحصاه,0,D/C,7841.0
128.0,2012012.0,GENERAL SURG.,MEDIUM SURG,ENDOSCOPIC SPHINCTEROTOMY & STONE EXTRACTION, خزع المعدة بالمنظار مع استخراج الحصاه,0,D/C,6368.0
129.0,2012013.0,GENERAL SURG.,MEDIUM SURG,EPIGASTRIC HERNIA REPAIR, اصلاح فتاق شرشوفى (فوق المعدة),0,1,7570.0
130.0,2012014.0,GENERAL SURG.,MEDIUM SURG,EXCISION OF BIG OR MULTIPLE LIPOMA UNDER G.A., تقميم المعدة القولوية,0,1,4617.0
131.0,2012015.0,GENERAL SURG.,MEDIUM SURG,EXCISION OF BIG OR MULTIPLE LIPOMA UNDER G.A. + HISTOPATHOLOGY, استئصال البواسير,0,1,5225.0
132.0,2012016.0,GENERAL SURG.,MEDIUM SURG,EXCISION OF SUBMANDIBULAR GLAND, استئصال الغدة تحت الفك جراحة,0,1,7570.0
133.0,2012017.0,GENERAL SURG.,MEDIUM SURG,"GASTROSTOMY, COLOSTOMY (WITHOUT CONSUMABLES)", تقميم المعدة / القولون,0,2,9623.0
134.0,2012018.0,GENERAL SURG.,MEDIUM SURG,HAEMORRHOIDECTOMY, استئصال البواسير الشرجية,0,1,6857.0
135.0,2012019.0,GENERAL SURG.,MEDIUM SURG,HAEMORRHOIDECTOMY BY STAPPLER, استئصال بواسير بواسطة مشك سلكى,0,1,8798.0
136.0,2012020.0,GENERAL SURG.,MEDIUM SURG,HYDROCELE, استئصال قيلة فى الخصية,0,1,6368.0
137.0,2012021.0,GENERAL SURG.,MEDIUM SURG,"INGUINAL, UMBILICAL OR FEMORAL HERNIA", استئصال فتق (اربى/شرى/فخدى),0,1,7504.0
138.0,2012022.0,GENERAL SURG.,MEDIUM SURG,LAPARASCOPIC APPENDECTOMY,استئصال الزائدة الدودية بالمنظار البطنى,0,1,10092.0
139.0,2012023.0,GENERAL SURG.,MEDIUM SURG,LAPARASCOPY (DIAGNOSTIC),منظار بطنى تشخيصى,0,1,6969.0
140.0,2012024.0,GENERAL SURG.,MEDIUM SURG,LAPARASCOPY (DIAGNOSTIC) + BIOPSY,منظار بطنى تشخيصى واخذ عينة,0,1,8412.0
141.0,2012025.0,GENERAL SURG.,MEDIUM SURG,MASTECTOMY FOR GYNAECOMASTIA IN MALES UNI OR BILATERAL, استئصال الثدى عند الرجال مع فحص نسيجى,0,1,6056.0
142.0,2012026.0,GENERAL SURG.,MEDIUM SURG,ORCHIDECTOMY, استئصال الخصية,0,1,5225.0
143.0,2012027.0,GENERAL SURG.,MEDIUM SURG,PARTIAL MASTECTOMY WITH HISTOPATHOLOGY, استئصال جزئى للثدى مع فحص نسيجى,0,1,6368.0
144.0,2012028.0,GENERAL SURG.,MEDIUM SURG,PEDIATRIC COLONOSCOPY,تنظير كولون عند الأطفال,0,2,6408.0
145.0,2012029.0,GENERAL SURG.,MEDIUM SURG,PEDIATRIC ENDOSCOPY,تنظير هضمي علوي عند الأطفال,0,2,5607.0
146.0,2012030.0,GENERAL SURG.,MEDIUM SURG,PILONIDAL SINUS, استئصال الناسور العصعصى,0,2,6857.0
147.0,2012031.0,GENERAL SURG.,MEDIUM SURG,POST HAEMORRHOIDECTOMY STRICTURE ANUS, اصلاح تضيق بالشرج بعد عملية البواسير,0,2,7209.0
148.0,2012032.0,GENERAL SURG.,MEDIUM SURG,REMOVAL OF FOREIGN BODY UNDER G.A.,ازالة جسم غريب تحت مخدر عام ,0,1,4617.0
149.0,2012033.0,GENERAL SURG.,MEDIUM SURG,SIMPLE LOW ANAL FISTULA, اصلاح الناسور الشرجى المنخفض البسيط,0,2,6368.0
150.0,2012034.0,GENERAL SURG.,MEDIUM SURG,SMALL INCISIONAL HERNIA WITHOR W/O HERNIOPLASTY, اصلاح فتق جراحى صغير,0,2,6969.0
151.0,2012035.0,GENERAL SURG.,MEDIUM SURG,SPERMATOCELE, اصلاح قيلة منوية,0,1,6729.0
152.0,2012036.0,GENERAL SURG.,MEDIUM SURG,THERAPEUTIC ERCP, منظار علاجي للقنوات المرارية والبنكرياس,0,D/C,5607.0
153.0,2012037.0,GENERAL SURG.,MEDIUM SURG,THYROGLOSSAL CYST OF FISTULA, الكيسة او الناسور الدرقى اللسانى,0,1,9623.0
154.0,2012038.0,GENERAL SURG.,MEDIUM SURG,UNDESCENDED TESTIS WITHIN THE INGUINAL CANAL, اصلاح الخصية الهاجرة فى القناة الاربية,0,1,10217.0
155.0,2012039.0,GENERAL SURG.,MEDIUM SURG,VARICOCELES, استئصال دوالى الحبل المئوى,0,1,6368.0
156.0,2012040.0,GENERAL SURG.,MEDIUM SURG,VARICOSE VEINS STRIPPING  (BILATERAL), استئصال دوالى الساقين ( طرفين ),0,1,11127.0
157.0,2012041.0,GENERAL SURG.,MEDIUM SURG,VARICOSE VEINS STRIPPING  (UNILATERAL), استئصال دوالى الساقين ( طرف واحد ),0,1,8151.0
158.0,2013001.0,GENERAL SURG.,MAJOR SURG,ACUTE PERITONITIS/LAPAROTOMY, فتح بطن بسب بريتونى حاد,0,2,11880.0
159.0,2013002.0,GENERAL SURG.,MAJOR SURG,BILATERAL HERNIA REPAIR,اصلاح فتق اربى / الجانبين,0,1,8554.0
160.0,2013003.0,GENERAL SURG.,MAJOR SURG,BOWEL ANASTOMOSIS RESECTION, استئصال ومفاغرة معوية,0,2,12920.0
161.0,2013004.0,GENERAL SURG.,MAJOR SURG,CHOLECYSTECTOMY, استئصال المرارة,0,2,14361.0
162.0,2013005.0,GENERAL SURG.,MAJOR SURG,CHOLECYSTECTOMY AND OPERATION OF BILLIARY PASSAGES, استئصال المرارة واصلاح الطرق الجامعة,0,2,15525.0
163.0,2013006.0,GENERAL SURG.,MAJOR SURG,CHOLECYSTECTOMY LAPARASCOPIC ,استئصال المرارة بالمنظار البطنى,0,2,16302.0
164.0,2013007.0,GENERAL SURG.,MAJOR SURG,CHOLECYSTODUODUOSTOMY,مفاغرة مرارية إثناعشرية,0,2,13311.0
165.0,2013008.0,GENERAL SURG.,MAJOR SURG,COMPLETE RECTAL PROLAPSE, اصلاح هبوط الشرج التام,0,2,12276.0
166.0,2013009.0,GENERAL SURG.,MAJOR SURG,CONGENITAL INTESTINAL STRICTURE , اصلاح تضيق الامعاء الخلقي,0,2,11088.0
167.0,2013010.0,GENERAL SURG.,MAJOR SURG,CONGENITAL PYLORIC STENOSIS, اصلاح تضيق البواب الخلقى,0,2,11088.0
168.0,2013011.0,GENERAL SURG.,MAJOR SURG,CREATION OF A.V. FISTULA, تركيب وصلة ال اى في,0,2,12920.0
169.0,2013012.0,GENERAL SURG.,MAJOR SURG,DIAPHRAGMATIC HERNIA, اصلاح الفتوق الحجامية العادية,0,2,11880.0
170.0,2013013.0,GENERAL SURG.,MAJOR SURG,ENUCLEATION OF THYROID CYST, استئصال كيسة درقية,0,2,11088.0
171.0,2013014.0,GENERAL SURG.,MAJOR SURG,EXCISION OF HEPATIC CYST, استئصال كيسة كبدية,0,2,11088.0
172.0,2013015.0,GENERAL SURG.,MAJOR SURG,FAECAL FISTULA, اصلاح الناسور البرازى,0,2,11088.0
173.0,2013016.0,GENERAL SURG.,MAJOR SURG,INTESTINAL VOLVULOUS, اصلاح انفتال الامعاء,0,2,11088.0
174.0,2013017.0,GENERAL SURG.,MAJOR SURG,LAPARTOMY WITH/WITHOUT PROCEDURE , فتح البطن الاستقصائى,0,2,11088.0
