Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,PACKAGES ,Admission Days (LOS),Unnamed: 6,Unnamed: 7,A+ / A / B+ / B
19.0,1011026,E.N.T.,NOSE SURG.,RHINOPLASTY / MEDIUM,0,1,,6594.9
10.0,1011027,E.N.T.,NOSE SURG.,SEPTOPLASTY,0,1,,6341.25
20.0,1011028,E.N.T.,NOSE SURG.,SEPTORHINOPLASTY,0,2,,12540.0
21.0,1011029,E.N.T.,NOSE SURG.,TURBINECTOMY WITH SUBMUCOUS DIATHERMY,0,1,,4976.099999999999
11.0,1011030,E.N.T.,NOSE SURG.,SUBMUCOUS RESECTION OF NASAL SPETUM,0,1,,4091.1749999999997
22.0,1011031,E.N.T.,NOSE SURG.,SINSUS PUNCTURE / UNILATERAL (U.G.A.),0,D/C,,2143.2
23.0,1012001,E.N.T.,THROAT SURG.    ,ADENOIDECTOMY,0,1,,2348.875
12.0,1012002,E.N.T.,THROAT SURG.    ,ADENOTONSILECTOMY,0,1,,5189.375
24.0,1012003,E.N.T.,THROAT SURG.    ,BRONCHOSCOPY,0,D/C,,5643.0
25.0,1012004,E.N.T.,THROAT SURG.    ,CLEFT PALATE REPAIR,0,2,,12038.4
13.0,1012005,E.N.T.,THROAT SURG.    ,ESOPHAGOSCOPY,0,D/C,,3074.58
26.0,1012006,E.N.T.,THROAT SURG.    ,HYPOPHARYNGOSCOPY DIAGNOSTIC,0,D/C,,3048.075
27.0,1012007,E.N.T.,THROAT SURG.    ,HYPOPHARYNGOSCOPY THERAPUTIC /  FOREIGN BODY REMOVAL ,0,1,,4976.099999999999
14.0,1012008,E.N.T.,THROAT SURG.    ,QUINSY INCISION WITH DRAINAGE (U.G.A.),0,D/C,,2303.9399999999996
28.0,1012009,E.N.T.,THROAT SURG.    ,LASER ASSISTED UVULOPALATOPLASTY (L.A.U.P.) ,0,1,,6848.549999999999
29.0,1012010,E.N.T.,THROAT SURG.    ,LARYNX LASER SURGERY,0,1,,7254.389999999999
15.0,1012011,E.N.T.,THROAT SURG.    ,TONSILLECTOMY / LASER ,0,1,,4360.5
30.0,1012012,E.N.T.,THROAT SURG.    ,LYMPH NODE BIOPSY ,0,1,,5899.5
31.0,1012013,E.N.T.,THROAT SURG.    ,MICRO-LARYNGOSCOPY,0,D/C,,2303.9399999999996
16.0,1012014,E.N.T.,THROAT SURG.    ,MICRO-LARYNGOSURGERY,0,2,,7609.5
32.0,1012015,E.N.T.,THROAT SURG.    ,"PAN-ENDOSCOPY, TRIPLE PROCEDURE",0,1,,4257.9
33.0,1012016,E.N.T.,THROAT SURG.    ,THROAT PLASTIC SURGERY,0,1,,10032.0
17.0,1012017,E.N.T.,THROAT SURG.    ,SUBMANDIBULAR GLAND STONE REMOVAL / MEDIUM,0,1,,3804.75
34.0,1012018,E.N.T.,THROAT SURG.    ,SUBMANDIBULAR GLAND RESECTION,0,1,,6950.01
35.0,1012019,E.N.T.,THROAT SURG.    ,THROAT FOREIGN BODY REMOVAL (U.G.A.),0,D/C,,2089.62
18.0,1012020,E.N.T.,THROAT SURG.    ,TONSILLECTOMY,0,1,,4206.125
36.0,1012021,E.N.T.,THROAT SURG.    ,TRACHEOSTOMY,0,1,,12038.4
37.0,1012022,E.N.T.,THROAT SURG.    ,THROAT TUMOR SURGERY,0,2,,11536.8
19.0,1012023,E.N.T.,THROAT SURG.    ,UVULO-PALATO-PHARYNGOPLASTY / SNORING SURGERY,0,1,,5986.139999999999
38.0,1013001,E.N.T.,EAR SURG.,PROMINANT EAR SURGERY,0,1,,11536.8
39.0,1013002,E.N.T.,EAR SURG.,MYRINGOTOMY / BILATERAL (U.G.A.),0,1,,3950.1
20.0,1013003,E.N.T.,EAR SURG.,CORTICAL MASTOIDECTOMY,0,1,,3445.6499999999996
40.0,1013004,E.N.T.,EAR SURG.,EAR FOREIGN BODY REMOVAL (U.G.A.),0,D/C,,2089.62
41.0,1013005,E.N.T.,EAR SURG.,ENDOLYMPHATIC SHUNT,0,2,,13389.3
21.0,1013006,E.N.T.,EAR SURG.,EXPLORATORY TYMPANOTOMY,0,1,,9028.8
42.0,1013007,E.N.T.,EAR SURG.,FACIAL NERVE SURGERY,0,2,,13885.199999999999
43.0,1013008,E.N.T.,EAR SURG.,HEARING AID / IMPLANTABLE ,0,2,,9881.52
22.0,1013009,E.N.T.,EAR SURG.,EXTERNAL EAR ABSCESS INCISION WITH DRAINAGE,0,D/C,,2089.62
44.0,1013010,E.N.T.,EAR SURG.,LABYRINTHECTOMY,0,2,,12893.4
45.0,1013011,E.N.T.,EAR SURG.,LASER EAR SURGERY,0,1,,9881.52
23.0,1013012,E.N.T.,EAR SURG.,MASTOID ABSCESS DRAINAGE UNDER (U.G.A.),0,D/C,,2089.62
46.0,1013013,E.N.T.,EAR SURG.,MYRINGOPLASTY,0,1,,8527.199999999999
47.0,1013014,E.N.T.,EAR SURG.,MYRINGOTOMY WITH GROMMET (U.G.A.) / BILATERAL,0,D/C,,5298.625
24.0,1013015,E.N.T.,EAR SURG.,MYRINGOTOMY WITH GROMMET (U.G.A.) / UNILATERAL ,0,D/C,,4206.125
48.0,1013016,E.N.T.,EAR SURG.,OSSICULOPLASTY,0,2,,11536.8
49.0,1013017,E.N.T.,EAR SURG.,EAR LOBULE PLASTIC SURGERY,0,1,,4976.099999999999
25.0,1013018,E.N.T.,EAR SURG.,PRE-AURICLAR  FISTULA EXCISION ,0,2,,9530.4
50.0,1013019,E.N.T.,EAR SURG.,RADICAL MASTOIDECTOMY,0,2,,13885.199999999999
51.0,1013020,E.N.T.,EAR SURG.,STAPEDECTOMY,0,2,,13885.199999999999
26.0,1013021,E.N.T.,EAR SURG.,SUCTION CLEARANCE UNDER (U.G.A.),0,D/C,,2303.9399999999996
52.0,1013022,E.N.T.,EAR SURG.,TYMPANOPLASTY ,0,1,,9530.4
53.0,1013023,E.N.T.,EAR SURG.,TYMPANOPLASTY WITH MASTOIDECTOMY,0,2,,12038.4
27.0,1013024,E.N.T.,EAR SURG.,TYMPANOPLASTY SECOND STAGE,0,2,,7355.849999999999
54.0,1013025,E.N.T.,EAR SURG.,UNILATERAL MYRINGOTOMY (U.G.A.),0,D/C,,1982.4599999999996
55.0,1013026,E.N.T.,EAR SURG.,VESTIBULAR NEURECTOMY ,0,2,,18559.2
28.0,1014001,E.N.T.,HEAD & NECK SURG.,NECK DISSECTION / BLOCK,0,3,,22287.0
56.0,1014002,E.N.T.,HEAD & NECK SURG.,BRANCHIAL FISTULECTOMY,0,2,,23256.0
57.0,1014003,E.N.T.,HEAD & NECK SURG.,PARTIAL LARYNGECTOMY,0,2,,18572.5
29.0,1014004,E.N.T.,HEAD & NECK SURG.,SUPERFICIAL PAROTIDECTOMY,0,2,,18895.5
58.0,1014005,E.N.T.,HEAD & NECK SURG.,THYROGLOSSAL CYST EXCISION ,0,2,,13389.3
59.0,1014006,E.N.T.,HEAD & NECK SURG.,TOTAL LARYNGECTOMY ,0,2,,18057.6
30.0,1014007,E.N.T.,HEAD & NECK SURG.,TOTAL PAROTIDECTOMY,0,2,,23256.0
60.0,2011001,GENERAL SURG.,MINOR SURG,ANAL DILATATION (U.G.A.),0,1,,3495.9999999999995
61.0,2011002,GENERAL SURG.,MINOR SURG,ANESTHESIA (G.A OR SEDATION)  FOR  PROCEDURE,0,D/C,,1660.5999999999997
31.0,2011003,GENERAL SURG.,MINOR SURG,CIRCUMCISION (ADULT) (U.G.A.),0,D/C,,3140.9374999999995
62.0,2011004,GENERAL SURG.,MINOR SURG,CIRCUMCISION (ADULT) (U.L.A.),0,D/C,,1658.6999999999998
63.0,2011005,GENERAL SURG.,MINOR SURG,CIRCUMCISION (LESS THAN ONE YEAR),0,D/C,,764.7499999999999
32.0,2011006,GENERAL SURG.,MINOR SURG,DERMOID CYST EXCISION,0,1,,3092.25
64.0,2011007,GENERAL SURG.,MINOR SURG,DIVISION OF TONGUE TIE (U.L.A.),0,D/C,,2622.0
65.0,2011008,GENERAL SURG.,MINOR SURG,ENDOSCOPIC POLYPECTOMY,0,D/C,,3074.58
33.0,2011009,GENERAL SURG.,MINOR SURG,EXCISION OF BREAST LUMP FOR BIOPSY (U.G.A.) (WITHOUT HISTOPATHOLOGY),0,1,,3092.25
66.0,2011010,GENERAL SURG.,MINOR SURG,EXCISION OF BREAST LUMP / LUMPECTOMY - MULTIPLE OR SINGLE (U.G.A.),0,D/C,,3847.5
67.0,2011011,GENERAL SURG.,MINOR SURG,EXCISION OF SIMPLE CYST OR LIPOMA (U.G.A.) WITH HISTOPATHOLOGY ,0,D/C,,3975.75
34.0,2011012,GENERAL SURG.,MINOR SURG,EXCISION OF SIMPLE OR SMALL LIPOMA UNDER (U.G.A.),0,D/C,,3074.58
68.0,2011013,GENERAL SURG.,MINOR SURG,EXCISION OF SIMPLE OR SMALL LIPOMA UNDER (U.L.A.),0,0,,1928.8799999999999
69.0,2011014,GENERAL SURG.,MINOR SURG,EXCISION OF SIMPLE TUMOUR / CHRONIC ABCESS OF BREAST,0,D/C,,3092.25
35.0,2011015,GENERAL SURG.,MINOR SURG,EXCISION OF SIMPLE TUMOURS OR CHRONIC BREAS ABSCESS,0,D/C,,3744.8999999999996
70.0,2011016,GENERAL SURG.,MINOR SURG,EXCISION OF SINGLE / MULTIPLE NEUROFIBROMA,0,D/C,,5578.875
71.0,2011017,GENERAL SURG.,MINOR SURG,INCISION WITH DRAINAGE LARGE OR DEEP ABSESS UNDER G.A.,0,D/C,,3591.0
36.0,2011018,GENERAL SURG.,MINOR SURG,EXCISION OF INGROWING TOE NAIL (U.G.A.),0,D/C,,3591.0
72.0,2011019,GENERAL SURG.,MINOR SURG,IMPERFORATED ANUS / LOW ,0,D/C,,6087.599999999999
73.0,2011020,GENERAL SURG.,MINOR SURG,PERCUTANEOUS LIVER BIOPSY,0,D/C,,3048.075
37.0,2011021,GENERAL SURG.,MINOR SURG,PERIANAL ABSCESS (U.G.A.),0,D/C,,4873.5
74.0,2011022,GENERAL SURG.,MINOR SURG,TONGUE TIE RELEASE (U.G.A.),0,D/C,,4104.0
75.0,2011023,GENERAL SURG.,MINOR SURG,FOREIGN BODY REMOVAL (U.L.A.),0,D/C,,2884.2
38.0,2011024,GENERAL SURG.,MINOR SURG,THROMBOSED PILES OR EXCISION OF PERIANAL SKIN TAGS REMOVAL,0,D/C,,4873.5
76.0,2011025,GENERAL SURG.,MINOR SURG,SUB-MANDIBULAR SALIVARY GLAND STONE REMOVAL,0,D/C,,4873.5
77.0,2011026,GENERAL SURG.,MINOR SURG,OESOPHAGEAL SCLEROTHERAPY ,0,D/C,,3591.0
39.0,2011027,GENERAL SURG.,MINOR SURG,ENTEROSCOPY SINGLE BALLOON ,0,D/C,,3847.5
78.0,2011028,GENERAL SURG.,MINOR SURG,SUTURING LARGE WOUND (U.G.A.),0,D/C,,3591.0
79.0,2011029,GENERAL SURG.,MINOR SURG,THORACOCENTESIS,0,0,,1140.0
40.0,2012001,GENERAL SURG.,MEDIUM SURG,ACHALSIA OF CARDIA,0,1,,9405.0
80.0,2012002,GENERAL SURG.,MEDIUM SURG,ADHESIOLYSIS / OPEN,0,1,,6425.799999999999
81.0,2012003,GENERAL SURG.,MEDIUM SURG,AMPUTATION / LIMB GANGRENE,0,2,,11035.199999999999
41.0,2012004,GENERAL SURG.,MEDIUM SURG,ANAL FISSURECTOMY,0,1,,6554.999999999999
82.0,2012005,GENERAL SURG.,MEDIUM SURG,APPENDECTOMY ,0,1,,6828.124999999999
83.0,2012006,GENERAL SURG.,MEDIUM SURG,COLOSTOMY CLOSURE WITH ANASTOMOSIS,0,1,,7989.974999999999
42.0,2012007,GENERAL SURG.,MEDIUM SURG,BURIED PENIS OR CONCEALED PENIS CORRECTION,0,1,,24225.0
84.0,2012008,GENERAL SURG.,MEDIUM SURG,ERCP DIAGONSTIC ,0,D/C,,4916.25
85.0,2012009,GENERAL SURG.,MEDIUM SURG,ENDOSCOPIC SPHINCTEROTOMY,0,D/C,,5514.75
43.0,2012010,GENERAL SURG.,MEDIUM SURG,ENDOSCOPIC SPHINCTEROTOMY WITH DRAIN INSERTION,0,D/C,,6721.724999999999
86.0,2012011,GENERAL SURG.,MEDIUM SURG,ENDOSCOPIC SPHINCTEROTOMY WITH STONE CRUSHING,0,D/C,,8276.4
87.0,2012012,GENERAL SURG.,MEDIUM SURG,ENDOSCOPIC SPHINCTEROTOMY WITH STONE EXTRACTION,0,D/C,,6721.724999999999
44.0,2012013,GENERAL SURG.,MEDIUM SURG,EPIGASTRIC HERNIA REPAIR / OPEN,0,1,,7989.974999999999
88.0,2012014,GENERAL SURG.,MEDIUM SURG,EXCISION OF BIG OR MULTIPLE LIPOMA (U.L.A.),0,1,,4873.5
89.0,2012015,GENERAL SURG.,MEDIUM SURG,EXCISION OF BIG OR MULTIPLE LIPOMA (U.G.A.),0,1,,5514.75
45.0,2012016,GENERAL SURG.,MEDIUM SURG,EXCISION OF SUBMANDIBULAR GLAND,0,1,,7989.974999999999
90.0,2012017,GENERAL SURG.,MEDIUM SURG,"GASTROSTOMY, COLOSTOMY (WITHOUT CONSUMABLES)",0,2,,10157.4
91.0,2012018,GENERAL SURG.,MEDIUM SURG,HAEMORRHOIDECTOMY / SURGICAL,0,1,,7237.812499999999
46.0,2012019,GENERAL SURG.,MEDIUM SURG,HAEMORRHOIDECTOMY BY STAPPLER,0,1,,9286.25
92.0,2012020,GENERAL SURG.,MEDIUM SURG,HYDROCELE,0,1,,6721.724999999999
93.0,2012021,GENERAL SURG.,MEDIUM SURG,"INGUINAL, UMBILICAL OR FEMORAL HERNIA",0,1,,7920.625
47.0,2012022,GENERAL SURG.,MEDIUM SURG,APPENDECTOMY / LAPARASCOPIC ,0,1,,10651.875
94.0,2012023,GENERAL SURG.,MEDIUM SURG,LAPARASCOPY / DIAGNOSTIC,0,1,,7355.849999999999
95.0,2012024,GENERAL SURG.,MEDIUM SURG,LAPARASCOPY (DIAGNOSTIC) WITH BIOPSY,0,1,,8878.32
48.0,2012025,GENERAL SURG.,MEDIUM SURG,MASTECTOMY / GYNAECOMASTIA - MALES (UNI OR BILATERAL),0,1,,6391.9800000000005
96.0,2012026,GENERAL SURG.,MEDIUM SURG,ORCHIDECTOMY,0,1,,5514.75
97.0,2012027,GENERAL SURG.,MEDIUM SURG,MASTECTOMY / PARTIAL WITH HISTOPATHOLOGY,0,1,,6721.724999999999
49.0,2012028,GENERAL SURG.,MEDIUM SURG,COLONOSCOPY / PEDIATRIC ,0,2,,6764.0
98.0,2012029,GENERAL SURG.,MEDIUM SURG,ENDOSCOPY / PEDIATRIC ,0,2,,5918.5
99.0,2012030,GENERAL SURG.,MEDIUM SURG,PILONIDAL SINUS,0,2,,7237.812499999999
50.0,2012031,GENERAL SURG.,MEDIUM SURG,POST HAEMORRHOIDECTOMY ANUS STRICTURE ,0,2,,7609.5
100.0,2012032,GENERAL SURG.,MEDIUM SURG,REMOVAL OF FOREIGN BODY (U.G.A.),0,1,,4873.5
101.0,2012033,GENERAL SURG.,MEDIUM SURG,ANAL FISTULA / LOW - SIMPLE ,0,2,,6721.724999999999
51.0,2012034,GENERAL SURG.,MEDIUM SURG,INCISIONAL HERNIA WITH OR W/O HERNIOPLASTY,0,2,,7355.849999999999
102.0,2012035,GENERAL SURG.,MEDIUM SURG,SPERMATOCELE,0,1,,7102.2
103.0,2012036,GENERAL SURG.,MEDIUM SURG,ERCP / THERAPEUTIC ,0,D/C,,5918.5
52.0,2012037,GENERAL SURG.,MEDIUM SURG,THYROGLOSSAL CYST / FISTULA,0,1,,10157.4
104.0,2012038,GENERAL SURG.,MEDIUM SURG,UNDESCENDED TESTIS WITHIN THE INGUINAL CANAL,0,1,,10784.4
105.0,2012039,GENERAL SURG.,MEDIUM SURG,VARICOCELES,0,1,,6721.724999999999
53.0,2012040,GENERAL SURG.,MEDIUM SURG,VARICOSE VEINS STRIPPING  (BILATERAL),0,1,,11744.374999999998
106.0,2012041,GENERAL SURG.,MEDIUM SURG,VARICOSE VEINS STRIPPING  (UNILATERAL),0,1,,8603.4375
107.0,2013001,GENERAL SURG.,MAJOR SURG,ACUTE PERITONITIS / LAPAROTOMY,0,2,,12540.0
54.0,2013002,GENERAL SURG.,MAJOR SURG,HERNIA REPAIR BILATERAL,0,1,,9028.8
108.0,2013003,GENERAL SURG.,MAJOR SURG,BOWEL RESECTION AND ANASTOMOSIS ,0,2,,13637.25
109.0,2013004,GENERAL SURG.,MAJOR SURG,CHOLECYSTECTOMY,0,2,,15158.437499999998
55.0,2013005,GENERAL SURG.,MAJOR SURG,CHOLECYSTECTOMY WITH BILLIARY TRACT EXPLORATION / OPEN,0,2,,16387.5
110.0,2013006,GENERAL SURG.,MAJOR SURG,CHOLECYSTECTOMY / LAPARASCOPIC ,0,2,,17206.875
111.0,2013007,GENERAL SURG.,MAJOR SURG,CHOLECYSTODUODUOSTOMY,0,2,,14050.5
56.0,2013008,GENERAL SURG.,MAJOR SURG,RECTAL PROLAPSE / COMPLETE ,0,2,,12958.0
112.0,2013009,GENERAL SURG.,MAJOR SURG,INTESTINAL STRICTURE / CONGENITAL,0,2,,11704.0
113.0,2013010,GENERAL SURG.,MAJOR SURG,PYLORIC STENOSIS / CONGENITAL ,0,2,,11704.0
57.0,2013011,GENERAL SURG.,MAJOR SURG,A.V. FISTULA CREATION,0,2,,13637.25
114.0,2013012,GENERAL SURG.,MAJOR SURG,DIAPHRAGMATIC HERNIA REPAIR,0,2,,12540.0
115.0,2013013,GENERAL SURG.,MAJOR SURG,THYROID CYST ENUCLEATION,0,2,,11704.0
58.0,2013014,GENERAL SURG.,MAJOR SURG,HEPATIC CYST EXCISION,0,2,,11704.0
116.0,2013015,GENERAL SURG.,MAJOR SURG,FAECAL FISTULA,0,2,,11704.0
117.0,2013016,GENERAL SURG.,MAJOR SURG,INTESTINAL VOLVULOUS,0,2,,11704.0
59.0,2013017,GENERAL SURG.,MAJOR SURG,LAPARTOMY WITH/WITHOUT PROCEDURE ,0,2,,11704.0
118.0,2013018,GENERAL SURG.,MAJOR SURG,LIVER ABSCESS WITH DRAINAGE,0,2,,11704.0
119.0,2013019,GENERAL SURG.,MAJOR SURG,PARTIAL GASTRECTOMY,0,2,,11704.0
60.0,2013020,GENERAL SURG.,MAJOR SURG,PARTIAL THYROIDECTOMY (SUB-TOTAL),0,2,,10032.0
120.0,2013021,GENERAL SURG.,MAJOR SURG,PEG TUBE INSERTION / EXCHANGE,0,2,,10032.0
121.0,2013022,GENERAL SURG.,MAJOR SURG,MASTECTOMY / RADICAL ,0,2,,10032.0
61.0,2013023,GENERAL SURG.,MAJOR SURG,RECURRENT HERNIA,0,2,,11704.0
122.0,2013024,GENERAL SURG.,MAJOR SURG,REPAIR OF GASTRIC / INTESTINAL PERFORATION ,0,2,,11704.0
123.0,2013025,GENERAL SURG.,MAJOR SURG,BOWEL REPAIR,0,2,,11704.0
62.0,2013026,GENERAL SURG.,MAJOR SURG,SPLENECTOMY,0,2,,11704.0
124.0,2013027,GENERAL SURG.,MAJOR SURG,FISTULA / SURGICAL REVISION,0,1,,7102.2
125.0,2013028,GENERAL SURG.,MAJOR SURG,THERAPEUTIC ERCP WITH LITHOTRIPSY WITH STENT,0,1,,8360.0
63.0,2013029,GENERAL SURG.,MAJOR SURG,THERAPEUTIC ERCP WITH LITHOTRIPSY WITHOUT STENT,0,1,,7942.0
126.0,2013030,GENERAL SURG.,MAJOR SURG,STRIPPING OF LSV WITH MULTIPLE LIGATION OF PERFORATES (UNILATERAL) (TRENDLENBERG OPERATION),0,2,,10032.0
127.0,2013031,GENERAL SURG.,MAJOR SURG,HERNIA REPAIR / UNILATERAL ,0,1,,6341.25
64.0,2013032,GENERAL SURG.,MAJOR SURG,VAGOTOMY WITH/WITHOUT GASTROENTEROSTOMY,0,2,,11704.0
128.0,2014001,GENERAL SURG.,FINE MAJOR SURG,ADRENALECTOMY / BILATERAL,0,3,,38554.799999999996
129.0,2014002,GENERAL SURG.,FINE MAJOR SURG,ADRENALECTOMY / PARTIAL,0,3,,30780.0
65.0,2014003,GENERAL SURG.,FINE MAJOR SURG,ADRENALECTOMY / LAPARASCOPIC ,0,3,,22206.25
130.0,2014004,GENERAL SURG.,FINE MAJOR SURG,ASSISTED EXTENDED HEMICOLECTOMY / LAPARASCOPIC ,0,3,,28300.5
131.0,2014005,GENERAL SURG.,FINE MAJOR SURG,ANAL FISTULA / BRANCHING AND HIGH ,0,2,,7989.974999999999
66.0,2014006,GENERAL SURG.,FINE MAJOR SURG,CHOLECYSTECTOMY WITH CBD EXPLORATION / LAPARASCOPY ,0,2,,18653.25
132.0,2014007,GENERAL SURG.,FINE MAJOR SURG,ADHESIOLYSIS / LAPARASCOPIC,0,2,,21802.5
133.0,2014008,GENERAL SURG.,FINE MAJOR SURG,EMBOLECTOMY,0,2,,18057.6
67.0,2014009,GENERAL SURG.,FINE MAJOR SURG,END COLOSTOMY / LAPARASCOPIC ,0,2,,12540.0
134.0,2014010,GENERAL SURG.,FINE MAJOR SURG,GASTRIC BY-PASS - LAPARASCOPIIC ,0,2,,26647.5
135.0,2014011,GENERAL SURG.,FINE MAJOR SURG,HERNIA WITH MESH LAPARASCOPIC ,0,2,,17556.0
68.0,2014012,GENERAL SURG.,FINE MAJOR SURG,HERNIA / LAPARASCOPIC ,0,2,,15620.849999999999
136.0,2014013,GENERAL SURG.,FINE MAJOR SURG,HERNIA REPAIR BILATERAL / LAPARASCOPIC ,0,2,,21923.625
137.0,2014014,GENERAL SURG.,FINE MAJOR SURG,HIATUS HERNIA / LAPRASCOPIC ,0,2,,25194.0
69.0,2014015,GENERAL SURG.,FINE MAJOR SURG,HIATUS HERNIA  / SURGICAL-OPEN,0,2,,14877.0
138.0,2014016,GENERAL SURG.,FINE MAJOR SURG,INTESTINAL RESECTION AND ANASTOMOSIS / LAPARASCOPIC ,0,2,,17556.0
139.0,2014017,GENERAL SURG.,FINE MAJOR SURG,INTRAGASTRIC BALLOON REMOVAL,0,D/C,,2622.0
70.0,2014018,GENERAL SURG.,FINE MAJOR SURG,INTRAGASTRIC BALLOON INSERTION,0,1,,14877.0
140.0,2014019,GENERAL SURG.,FINE MAJOR SURG,LEFT HEMICOLECTOMY,0,3,,18057.6
141.0,2014020,GENERAL SURG.,FINE MAJOR SURG,HERNOPLASTY WITH MESH (LICHTENSTEIN REPAIR),0,2,,12038.4
71.0,2014021,GENERAL SURG.,FINE MAJOR SURG,MESENTRIC LYMPH NODE BIOPSY / LAPARASCOPIC,0,2,,15083.625
142.0,2014022,GENERAL SURG.,FINE MAJOR SURG,NISSEN FUNDOPLICATION / LAPARASCOPIC ,0,3,,18392.0
143.0,2014023,GENERAL SURG.,FINE MAJOR SURG,OVARIAN CYSTECTOMY / LAPARASCOPIC ,0,1,,9279.6
72.0,2014024,GENERAL SURG.,FINE MAJOR SURG,PARATHYROIDECTOMY / TOTAL,0,3,,36525.6
144.0,2014025,GENERAL SURG.,FINE MAJOR SURG,PARATHYROIDECTOMY / PARTIAL,0,2,,12665.4
145.0,2014026,GENERAL SURG.,FINE MAJOR SURG,PAROTIDECTOMY,0,2,,17054.399999999998
73.0,2014027,GENERAL SURG.,FINE MAJOR SURG,PERFURATED DUODENAL ULCER / LAPRASCOPIC  ,0,3,,20106.75
146.0,2014028,GENERAL SURG.,FINE MAJOR SURG,PILONIDAL SINUS WITH RECONSTRUCTION FLAP,0,2,,12038.4
147.0,2014029,GENERAL SURG.,FINE MAJOR SURG,ORAL MALIGNANCY / RADICAL SURGERY,0,2,,17054.399999999998
74.0,2014030,GENERAL SURG.,FINE MAJOR SURG,REPAIR OF EPIGASTRIC HERNIA BILATERAL / LAPARASCOPIC ,0,2,,18308.399999999998
148.0,2014031,GENERAL SURG.,FINE MAJOR SURG,REPAIR OF EPIGASTRIC HERNIA UNILATERAL / LAPARASCOPIC ,0,2,,12540.0
149.0,2014032,GENERAL SURG.,FINE MAJOR SURG,REPAIR OF INCISIONAL HERNIA / LAPARASCOPIC ,0,2,,20106.75
75.0,2014033,GENERAL SURG.,FINE MAJOR SURG,REPAIR OF PARAUMBILICAL HERNIA / LAPRASCOPIC ,0,2,,20106.75
150.0,2014034,GENERAL SURG.,FINE MAJOR SURG,RESCTION OF DIVERTICULAM / LAPARASCOPIC ,0,3,,17556.0
151.0,2014035,GENERAL SURG.,FINE MAJOR SURG,RIGHT HEMICOLECTOMY,0,3,,17054.399999999998
