PC_PRVSRVCODE,PC_PRVSRVDESC,PC_STRTDATE,PC_ORPRICE
MS-T-000031,TUBE ENDOTRACH 7.0MM CUFFED ORAL NASAL #107-70/100/199/070/112480MM7.0,2021-01-01,16.54
MS-S-000148,"SWAB GUAZE 5X5CMX2"" 8PLY PLAIN STERILE",2021-01-01,4.08
MS-S-000115,SUTURE PROLENE 3-0 BLUE 45CM ETHICON/COVIDIEN #W8684/SP-684,2021-01-01,44.410000000000004
MS-S-000140,SUTURE VICRYL PLUS 3-0 VIOLET 70CM ETHICON/COVIDIEN #VCP311H/GL-222,2021-01-01,115.5
MS-S-000130,SUTURE VICRYL O ETHICON #VCP247H,2021-01-01,36.75
MS-S-004708,SCREW LOCKING 2.4×22MM SELF TAPPING IRENE #T50092422,2021-01-01,363.83
MS-D-000004,DIAPER INFANT MEDIUM 5~9 KGS SIZE#3,2021-01-01,8.84
MS-D-000019,DRESSING SURGICAL MEPORE STR.8X10CM HARTMANN#900 873 0/305-11,2021-01-01,1.8800000000000001
MS-S-000139,SUTURE VICRYL 3/0 ETHICON #V904H/COVIDIEN#L12,2021-01-01,73.5
MS-A-000003,AIRWAY GUEDEL SIZE 02 ADULT GREEN 70MM STER.DISP.#1-1504-70,2021-01-01,3.5
MS-C-000035,CATHETER SUCTION 8CHX14CM W/CONTROL,2021-01-01,1.47
MS-P-004637,PLATE LOCKING CLAVICLE 3.5MM SUPERIOR ANTERIOR 7 HOLES X110 MM R.  SYANAHMED #A94380711,2021-01-01,1741.07
MS-C-000016,CATHETER FOLEY BALLOON 2WAY 14CH 30ML LATEX STERILE NUBENCO USA.,2021-01-01,43.02
MS-S-000107,SUTURE MERSILK 0 BLACK 75CM CURVED 30MM ETHICON/COVIDIEN #W334H/GS-824,2021-01-01,31.970000000000002
MS-S-001978,SCREW MATNEU 1.5X4MM SELF DRILLING SYNTHES #04.503.104.01C,2021-01-01,942.85
MS-W-000005,WOUND DRAINAGE CH14 MEDINORM #50-11-505/50-22-505E,2021-01-01,138.55
MS-A-000009,APRON PLASTIC WHITE LARGE DISPOSABLE,2021-01-01,0.37
MS-C-000091,"COTTON APPLICATOR 6"" STERILE",2021-01-01,0.2
MS-I-000001,ICE PACK COLD/HOT REUSABLE MEDIUM/3M #1570,2021-01-01,85.26
MS-P-004643,PLATE GOLD STRAIGHT 1.5MMX23 HOLES. OSTEONIC #FST307M20A,2021-01-01,1907.4
MS-S-008922,SCREW BONE LOCKING 4.8X35MM . SANATMETAL # 932148035,2021-01-01,373.01
MS-S-010456,STEM RADIAL MODULAR WITH SCREW 8MMX28MM LENGTH.ZIMMER BIOMET # 11-210063,2021-01-01,8155.35
MS-N-000008,NEEDLE SPINAL G20X3.5 TERUMO #SN*2090,2021-01-01,22.05
MS-S-000118,SUTURE PROLENE 4/0 ETHICON #W8683 / COVIDIEN #SP683,2021-01-01,114.42
MS-O-000002,OPSITE WTRPROOF B/PROOF ADHESIVE DRES. 15.5X8.5CM #4466/3589,2021-01-01,6.98
MS-S-000116,SUTURE PROLENE 3-0 BLUE 75CM ETHICON/COVIDIEN #W621/SP-622,2021-01-01,91.34
MS-T-000012,"TONGUE DEPRESSOR 6"" STERILE",2021-01-01,0.37
SG3J,ALAA MONIR SALEH,2021-01-01,4691.95
5-5112-18,DALACIN C 300MG CAPSULE  X 16,2021-01-01,12.3
MS-B-000055,BANDAGE DELTA ROLL ORTHO UNDERCAST 6CMX3M HARTMANN #9320481,2021-01-01,21.92
MS-S-000089,STAPLER PROXIMATE SKIN #PMW35/D&G 8037-12,2021-01-01,213.15
MS-S-008923,SCREW BONE LOCKING 4.8X45MM . SANATMETAL # 932148045,2021-01-01,373.01
MS-S-000061,"SCALP VEIN SET G23X3/4"" BUTTERFLY STERILE #404766/4/SV23BL",2021-01-01,2.5
FMORT-0823,ORIF ELBOW / OLECRANON,2021-01-01,4126.0
MS-S-004707,SCREW LOCKING 2.4×20MM SELF TAPPING IRENE #T50092420,2021-01-01,363.83
MS-B-000997,BLADE ST OSCIL 8.5 X 38 X 0.4MM #5071127,2021-01-01,888.3000000000001
SMH2636,SUTURE VICRYL 10/0 CS ULTIMA ETHICON #V960G/W1702,2021-01-01,368.13
MS-D-000022,DRESSING SURGI.MEPORE STER.9X25CM MOLNLYCKE#671200-08/30514,2021-01-01,13.38
MS-O-000004,OPSITE WTRPROOF B/PROOF ADHE.DRES. 6.5X5CM #4463/20461/3582,2021-01-01,46.26
MS-P-000054,PAMPERS ADULT SIZE LARGE #60044/HARTMAN#1698440,2021-01-01,4.23
SMO10441,NAIL FEMORAL FWDA STEEL 11X400MM SANATMETAL #SAN-257311400,2021-01-01,3410.4
ADMISSION001,FOR ADMISSION,2021-01-01,1.0
ER86,MURHAF MOUAFAK KHAWAJKIEH,2021-01-01,160.0
LB-C-000008,CONTAINER URINE 24 HRS,2021-01-01,7.88
MS-S-000133,SUTURE VICRYL PLUS 1 VIOLET 70CM ETHICON/COVIDIEN #VCP353H-W9368-VCP359/CL-803,2021-01-01,53.29
MS-S-000064,SHAMPOO HAIR 10ML SACHET W/SGH LOGO,2021-01-01,0.0
2019-0140124-193383,HYDROGEN PEROXIDE 3% 50ML,2021-01-01,10.0
MS-W-000004,WOUND DRAINAGE CH12 MEDINORM #50-11-504/50-22-504E,2021-01-01,136.36
MS-B-000051,"BANDAGE FIBREGLASS WHITE 5"" 3M #82005/J&J #6825/4794/25204",2021-01-01,82.59
MS-P-000907,PLATE COMPRES. NARROW DCP 7 HOLES HIPOKRAT#4330106,2021-01-01,338.66
MS-O-000005,OPSITE WTRPROOF B/PROOF ADHESIVE DRES. 9.5X8.5CM #4464/3586,2021-01-01,71.46000000000001
MS-H-000630,HEAD RADIAL MODULAR 10MM HEIGHT X20MM. ZIMMER BIOMET # 11-210022,2021-01-01,6078.45
MS-S-003997C,SPLINT DYNACAST PRELUDE SYNTHETIC 12.5CM X 4.6M SMITH & NEPHEW #WS-1054,2021-01-01,1.05
MS-S-004705,SCREW LOCKING 2.4×16MM SELF TAPPING IRENE #T50092416,2021-01-01,363.83
MS-B-000998,BLADE ST OSCIL 5 X 30 X.6MM #5071135,2021-01-01,888.3000000000001
MS-S-000121,SUTURE PROLENE 5-0 BLUE 45CM ETHICON/COVIDIEN #W527/SP1635/SP661/D&G 3414-23,2021-01-01,75.04
MS-B-000014,BLOOD ADMINISTRATION TRANSFU.SET W/O AIRVENT#7007,2021-01-01,170.64000000000001
2019-0140134CODE6-193387,HYDROGEN PEROXIDE 6% 60ML X 1,2020-12-01,10.0
MS-S-000144,SWAB ALCOHOL STERILE,2020-12-01,0.18
MS-U-000004,URINAL MALE PLASTIC DISPOSABLE #13554-0030/JM-U3015,2020-12-01,74.43
MS-N-000002,"NEEDLE HYPO 18GX1.5"" STERILE TERUMO #NN*1838R",2020-12-01,0.32
MS-B-000044,BANDAGE ELASTIC 10CM LENKELAST #50414462/19462,2020-12-01,38.88
OLDSMA240,SWAB ALCOHOL STERILE,2020-12-01,1.2
OLDSME1029,MASK FACE SURGEON BLUE SURGIKOS/TECNOL #48100-,2020-12-01,15.4
MS-F-000291,FIXATOR EXTERNAL DISTAL RADIUS #MO-110D,2020-12-01,13321.880000000001
FMORCR0002,MINOR C ARM - 90 MIN - UNDER OR,2020-12-01,1490.0
OLDSMA2000,DRESSING WOUND ADHESIVE 15.5X8.5CM WTRPROOF B/PROOF OPSITE #4466,2020-12-01,7.32
MS-D-000017,DRESSING SURGICAL MEPORE STERILE 10X30CM LOHMANN #30515,2020-12-01,7.36
MS-S-003998C,SPLINT DYNACAST PRELUDE SYNTHETIC 7.5CM X 4.6M SMITH & NEPHEW #WS-1052,2020-12-01,857.8000000000001
MS-B-000001,BANDAGE POP GYPSONA 5X270CM #62-7070/91180/3323901,2020-12-01,22.34
MS-S-000488,SUTURE VICRYL 2/0 ETHICON #VCP999H/W9350 / COV # CL-801,2020-12-01,222.36
SMH2682,SUTURE MONOCRYL 3/0 EHTICON #W3664,2020-12-01,107.26
FMINTR0007,ABG HEPARINIZED SYRINGE,2020-12-01,103.26
OLDSMA1997,"BAND AID SPOTS 7/8X7/8"" #4930",2020-12-01,0.3
OLDSML1521,"NEEDLE HYPO 23GX1"" STERILE DISP. BD #5145/TERUMO",2020-12-01,1.4000000000000001
OLDSMT1012,CANNULA IV VENFLON G22,2020-12-01,12.72
MS-G-000226,GLOVES SURGEON 6.5 STERILE POWDER FREE,2020-12-01,9.84
MS-T-000852C,TAPE SURGICAL OP 10X50CM HARTMANN #258-348-1,2020-12-01,30.740000000000002
3034,PSA,2020-12-01,361.0
-0090,PANORAMA,2020-12-01,287.0
-0430,ARTHROSCOPY OF KNEE - SURGICAL,2020-12-01,2361.0
MS-B-000047,BANDAGE ELASTIC 7.5/8CMX5YDS LENKELAST #19461,2020-12-01,6.72
MS-P-000020,PEN MARKER F/SURGICAL SKIN W/RGULR.TIP&RULER STER.POREX#9550,2020-12-01,42.63
MS-E-000011,"EXTENSION SET 32"" W/2 PORT/ABBOTT #4522-48/4612/MG-V5404",2020-12-01,86.04
MS-B-000043,BANDAGE COTTON GAUZE ELASTIC WHITE 8CMX4M HARTMANN #3031124,2020-12-01,6.09
MS-B-000046,BANDAGE ELASTIC 15CM LENKELAST #50419464,2020-12-01,32.18
MS-C-000036,CATHETER SUCTION 10CHX53CM W/CONTROL,2020-12-01,1.47
MS-M-000001,MASK FACE SURGEON BLUE TIE ON,2020-12-01,1.49
MS-S-000093,"STERISTRIP 1/4X4"" 3M/HARTMAN #546/540684-1",2020-12-01,49.550000000000004
MS-S-000151,SYRINGE 3ML W/O NEEDLE STERILE TERUMO/BD #SS*03L/9586,2020-12-01,0.88
SMI8908,EXTRACTOR MUCUS 10FR STERILE PHASCO #G5010/ME6101,2020-12-01,66.15
368-212-2017,FORMIT XR 750 MG 60TABLETS,2020-12-01,38.4
MS-D-000134,DRILL BIT SENTINEL  SIZE 11 MM LINVATEC #S8511,2020-12-01,4767.900000000001
SMT1359,PATTIES SURGICAL 1/2X1/2 CODMAN #80-1400/#60-06,2020-12-01,81.05
MS-S-000149,SYRINGE 10ML LUER LOCK W/O NEEDLE STERILE TERUMO/BD #SS*10L/9604/300912,2020-12-01,1.4000000000000001
MS-B-000036,"BAND AID SPOTS 7/8X7/8"" #4930",2020-12-01,0.14
MS-B-000054,BANDAGE DELTA ROLL ORTHO UNDERCAST 20CMX2.75M HARTMANN #9320511,2020-12-01,77.27
MS-E-000002,ELECTRODE ECG PREGELLED ADULT STERILE DISP 3M / VERSA TRODE,2020-12-01,0.7000000000000001
MS-S-007899C,SOLUTION ANTISEPTIC POVIDONE IODINE 10% 240ML,2020-12-01,53.29
MS-B-000041,BANDAGE COTTON GAUZE 10CMX4M HARTMANN #3031133,2020-12-01,8.61
MS-C-000005,CAP SURGEON F/DOCTORS HOOD,2020-12-01,1.26
MS-B-000010,BLADE SURGICAL CARBON SIZE #11 STERILE,2020-12-01,7.29
P17FENTA2J,FENTANYL 0.05MG/ML 10ML AMP (10),2020-12-01,13.6
189-334-15,MEPRA 1GM POWDER IV VIAL X 10,2020-12-01,263.94
SMO11683,SCREW LOCKING 3.5X26MM IRINE# T50093526,2020-12-01,509.3
MS-D-001080,DRESSING BURN FREE STERILE 30X30 EUROMED # #1212,2020-12-01,4253.88
MS-S-000142,SUTURE VICRYL 5-0 VIOLET 45CM ETHICON/COVIDIEN #W9982/GL-885,2020-12-01,35.0
MS-S-000092,"STERISTRIP 1.5X4"" 3M #1547",2020-12-01,95.94
LB-C-000006,CONTAINER SPECIMEN 120ML W/COVER STERILE,2020-12-01,0.47000000000000003
MS-B-000053,BANDAGE DELTA ROLL ORTHO UNDERCAST 15CMX2.75M HARTMANN #9320501,2020-12-01,26.46
MS-S-000096,STOPCOCK 3 WAY DISCOFIX #4624-3/4614-4/401-0000,2020-12-01,9.93
MS-S-000002,SYRINGE 50/60ML W/O NEEDLE STERILE TERUMO/BD #SS*50LE/9663,2020-12-01,27.63
SME1429,MASK LARYNGEAL DISPOSABLE SIZE1.0 FLEXICARE#038-94-310,2020-12-01,118.0
P09RESOU1W,BENEPROTEIN RESOURCE INSTANT POWDER 227G,2020-12-01,78.0
MS-B-000052,BANDAGE DELTA ROLL ORTHO UNDERCAST 10CMX2.75M HARTMANN #9320491,2020-12-01,38.57
MS-C-000051,CUP MEDICINE 1 OZ,2020-12-01,0.34
FMORT-9942,ARTHROSCOPIC BONE DRILL OF OSTEO,2020-12-01,2684.78
MS-B-000057,BANDAGE POP GYPSONA 15CMX270CM,2020-12-01,31.41
SG2P,MMOHAMED ALI HASAN KATRY,2020-12-01,130.0
MS-F-000722,FINGER COSMETIC THERMOPLASTIC # OPC-00037,2020-12-01,1914.5
MS-S-000062,"SCALP VEIN SET G25X3/4"" BUTTERFLY STERILE TERUMO #SV-25BL/404765/6",2020-12-01,2.45
MS-A-000005,AIRWAY GUEDEL SIZE 04 ADULT RED 90MM STER.DISP.#1-1504-90,2020-12-01,10.5
MS-B-000011,BLADE SURGICAL CARBON SIZE #15 STERILE,2020-12-01,7.29
MS-C-000088,CANNULA IV VENFLON 20G W/PORT,2020-12-01,4.04
MS-E-000003,ELECTRODE ECG PREGELLED PEDIATRIC STERILE DISPOSABLE #P40SG/12876,2020-12-01,1.18
MS-G-000228,GLOVES SURGEON 7.5 STERILE POWDER FREE,2020-12-01,9.870000000000001
MS-N-000004,"NEEDLE HYPO 22GX1.5"" STERILE TERUMO/BD #NN*2238R/301000",2020-12-01,0.34
MS-S-000007,SYRINGE TUBERCULIN 1ML 25~29G TERUMO #SS+01T2516/9623/601036,2020-12-01,0.66
MS-S-000150,SYRINGE 20ML W/O NEEDLE STERILE TERUMO/BD #SS*20L/300629,2020-12-01,1.19
MS-S-001882C,SODIUM CHLORIDE 0.9% 1000ML W/SCREW CAP F/IRRIGATION,2020-12-01,82.71000000000001
MS-T-000400C,"TAPE DURAPORE/TRANSPORE DERMICEL 1""X10YDS 3M #1538-1",2020-12-01,6.42
MS-C-000032,CATHETER SUCTION 14CHX22CM W/CONTROL,2020-12-01,1.47
SMC1040,WOUND DRAINAGE CH12 MEDINORM #50-11-504/50-22-504E,2020-12-01,95.55
MS-B-000038,BANDAGE COTTON GUAZE 10CMX4M HARTMANN #3040356,2020-12-01,13.700000000000001
OLDSMW0971,CONTAINER SPECIMEN 120ML W/COVER STERILE,2020-12-01,0.5
MS-S-002353,SUTURE PROLINE 10/0 ETHICON #W1713,2020-12-01,834.59
MS-D-000018,DRESSING SURG.MEPORE STR.6X7CM MOLN.#670800/L#30510/9008700,2020-12-01,2.7800000000000002
MS-S-000001,SYRINGE 50/60ML CATHETER TIP STERILE BD #9664/EURO JECT,2020-12-01,4.24
MS-S-000657,SUTURE PDS II PLUS 5/0 45CM #W9863T,2020-12-01,31.63
MS-W-000203,WIRE KIRSCHENER WITH TROCAR POINT 1.8X290MM TIPMED  #80268,2020-12-01,55.83
P04TARGE1JC,PARACETAMOL 10MG/ML SOLUTION 100ML X 1,2020-12-01,15.25
P14ATACU1J,ATACURE 50MG/5ML AMPOULE  X 5,2020-12-01,9.38
MS-T-000409C,"TAPE DURAPORE DERMICEL 2""X10YDS 3M #1538-2/HART#900 426 1",2020-12-01,16.32
MS-S-000006,"SYRINGE INSULIN 1ML 100U 29GX0.5"" TERUMO/BD #SS*10M2913/320909/324812",2020-12-01,1.18
MS-S-000004,SYRINGE 5ML W/O NEEDLE STERILE TERUMO/BD #SS*05L/302187,2020-12-01,0.98
P16REVER4+,RREVERSIBLE WRIST ADJUSTABLE FUTURO (10770EN),2020-12-01,104.0
MS-A-000007,AIRWAY NASO PHARYNGEAL 7.0MM PORTEX #100/210/070,2020-12-01,95.92
MS-A-000014,ARM SLING STRAP MEDIUM SCOTT #1203-02/1204-DZ03,2020-12-01,90.34
MS-B-000009,BLADE SURGICAL CARBON SIZE #10 STERILE,2020-12-01,7.29
MS-B-000042,BANDAGE COTTON GAUZE ELASTIC WHITE 6CMX4M HARTMANN #3030116,2020-12-01,6.390000000000001
MS-C-000049,COVER OVERSHOES NON WOVEN,2020-12-01,0.59
MS-C-000089,CANNULA IV VENFLON 22G W/PORT,2020-12-01,24.48
MS-G-000227,GLOVES SURGEON 7.0 STERILE POWDER FREE,2020-12-01,9.84
MS-N-000003,"NEEDLE HYPO 20GX1.5"" STERILE TERUMO/BD #NN*2038R/301300",2020-12-01,0.34
MS-T-000398C,"TAPE DURAPORE DERMICEL 3""X10YDS DAMAD #876058/4/ 3M#1538-3",2020-12-01,61.39
MS-U-000003,UNDERPAD BLUE 60X80CM DISP.,2020-12-01,1.92
FMORCR0001,MINOR C ARM - 30 MIN - UNDER OR,2020-12-01,830.0
MS-B-000006,BLADE RAZOR DOUBLE EDGE SHAVE PREP PH-4415B,2020-12-01,22.080000000000002
A0001,ACCU-CHEK SOFTCLIX LANCETS X 200,2020-12-01,3.12
MS-C-000087,CANNULA IV VENFLON 18G W/PORT,2020-12-01,5.44
MS-D-000021,DRESSING SURG.COSM.STER.9X20CM MOLN#671100/30513/900 875 0,2020-12-01,3.2600000000000002
OLDSMQ1175,SYRINGE 10ML W/OUT NEEDLE  STERILE BD #9604,2020-12-01,6.16
P09FONTA2Q,FONTACTIV DIABEST LIQUID 200GM X 1,2020-12-01,40.0
7022,UREA,2020-12-01,484.0
SME1136,GELFOAM SPONGE SZ.50 80X62.5X10MM UPJOHN#0323-01/CURO#CS010,2020-12-01,213.15
SMD3583,SPLINT DYNACAST PRELUDE SYNTHETIC 5CMX4.6M S&N #66000221,2020-12-01,1.55
MS-H-000058C,HYPAFIX DRESSING SHEET 20CMX10M,2020-12-01,19.23
MS-N-000005,"NEEDLE HYPO 23GX1"" STERILE TERUMO #NN*2325R/NN*2332R",2020-12-01,0.34
MS-A-000001,ADAPTOR MALE LUER LOCK MEDINORM #15-00-310/4074-1,2020-12-01,1.47
MS-D-000121C,DISINFECTANT ALCHOLIC SKINDESS ISOPROPYL SPRAY/B.D.SC 200ML,2020-12-01,0.08
P01MAGNS9J,MAGNESIUM SULPH 10% 20ML  AMPOULE X 20,2020-12-01,3.0
-0028,LUMBAR SPINE AP LAT OBL.,2020-12-01,346.0
-2112,CALCIUM,2020-12-01,120.0
0018,ANTI-TISSUE TRANSGLUTAMINASE(IGA),2020-12-01,1572.0
MS-C-000004,CAP NURSE BOUFFANT ROUND GREEN LARGE J&J #4221,2020-12-01,0.44
MS-G-000229,GLOVES SURGEON 8.0 STERILE POWDER FREE,2020-12-01,9.84
MS-A-000013,ARM SLING STRAP LARGE SCOTT #1203-03/80/0-01,2020-12-01,85.26
MS-S-001221,STOCKING ANTI-EMBOLISM THIGH LARGE S2 HARTMANN #997352/1/BSN#4638900-06,2020-12-01,135.88
1-734-13,GLYCOPHOS AMPOULE 20ML X 1,2020-12-01,28.71
NS86,KHALIL AHMED KAYLU,2020-12-01,5287.59
MS-T-000033,TUBE ENDOTRACH 7.5MM CUFFED ORAL NASAL PORTEX #100/199/075/107-75/112480,2020-12-01,74.43
FMANA-0051,CAPNOGRAPH II PER 30 MINUTES,2020-12-01,255.43
MS-N-000006,"NEEDLE HYPO 25GX5/8"" STERILE TERUMO/BD #NN*2516R/5122",2020-12-01,0.28
MS-B-000012,BLADE SURGICAL CARBON SIZE #20 STERILE,2020-12-01,2.43
MS-D-000020,DRESSING SURGICAL MEPORE STERILE 9X15CM,2020-12-01,2.23
URO-0035,PLASMA KINETICS EVAPORATION PROSTATECTOMY,2020-11-12,24000.0
URO-0036,LASER ENUCLEATION & RESECTION OF PROSTATECTOMY,2020-11-12,34000.0
9-468-16,PETHIDINE 50MG /1ML  AMPOULE   X  10,2020-11-01,3.77
SG3H,AYMAN AHMED AL DAHSHAN,2020-11-01,1074.42
SMO12094,SCREW CAN. PART. THRD. CANNULATED 3.5X40MM IRINE# T56033540,2020-11-01,656.46
SMQ3143,SUPRAPUBIC  BLADR.DRAINAGE SET CH10 UROTECH #SU-111030,2020-11-01,744.0
MS-N-001507,NAIL TIBIA 4.0MM LOCKING SCREW FOR NAVIGATOR 4.0X38MM IRENE # T42154038,2020-11-01,237.48000000000002
MS-B-001828,BLADE DERMATOME . HUMECA # 5D80BL-10,2020-11-01,506.24
SMO12090,SCREW CAN. PART. THRD. CANNULATED 3.5X20MM IRINE# T56033520,2020-11-01,966.6700000000001
SMD3555,CERVICAL COLLAR,2020-11-01,87.5
MS-S-010688,STEM MODULAR CEMENTLESS 160MM LINK #15-2952/06,2020-11-01,4221.8
MS-H-000045,SCREW LOCKING 3.5X26  # T50093526,2020-11-01,490.25
MS-S-004329,SCREW CORTICAL 2.7X30 IRENE # T50012730 / T50022730,2020-11-01,165.20000000000002
MS-P-001991,PLATE T LOCKING VOLAR 2.4/2.7 5 HOLES×65(4+5) R # A68080245,2020-11-01,1845.27
MS-S-000943,SCREW LOCKING 3.5X45MM SELF TAPPING IRENE #T500935045,2020-11-01,138.9
MS-S-003084,SCREW LOCKING 3.5MM 3.5X16 T50039516#,2020-11-01,490.25
MS-P-001939,PLATE LOCKING HUMERUS DISTAL MEDIAL 2.7/3.5 7 HOLES×110MM L # A71570711,2020-11-01,2996.03
SMO11666,PLATE RECONSTRUCTION LCP 3.5MM 14X10X166 IRINE #A72091416,2020-11-01,1744.79
SMH2851,MESH ULTRA PRO 10X15CM ETHICON #UMN3,2020-11-01,588.0
SMO10256,SCREW F/BONE LOCK.6.5X80/32MM SANATMETAL #SAN-224065080,2020-11-01,693.0
FMPSDJ0041,MICROSURGERY PROCEDURE ,2020-11-01,15081.52
MS-R-000744,RADIAL HEAD EXPLOR 12X22MM. BIOMET # 11-210032,2020-11-01,6231.900000000001
MS-P-002528,PLATE LOCKING RECONS CALVICLE 3.5MM 7 HOLE 110MM L IRENE # T725707110,2020-11-01,1776.58
SMF3063,SODIUM CHLORIDE 0.9% 2000ML F/IRRIGATION ABBOTT #7972-07,2020-11-01,77.0
MS-N-001492,NAIL TIBIA NAVIGATOR 9X330MM IRENE # T421290330,2020-11-01,2171.4900000000002
MS-S-004690,SCREW LOCKING 2.7×24MM SELF TAPPING IRENE #T50092724,2020-11-01,396.90000000000003
MS-S-008776,SCREW LOCKING 2.7X6MM (SELF-TAPPING). IRENE # T50092706,2020-11-01,411.08
SMI7947,STENT TAXUS DRUG ELUTING (ALL SIZES),2020-11-01,8259.56
SMH1515,SHEARS ENDO AUTOSUTURE #176607/176643,2020-11-01,1197.0
SMH2651,STAPLER PROTACK 5MM DISP.AUTOSUTURE #174006.,2020-11-01,1890.0
MS-F-000280,FIBER REUSABLE SLIMLINE 200 MICRON LUMENIS # 0644-023-01,2020-11-01,9450.0
MS-S-010625,SCREW LOCKING VORTEX 2.7X16MM ANGLE VARIABLE .SANATMETAL #267527016,2020-11-01,932.54
MS-S-004692,SCREW LOCKING 2.7×28MM SELF TAPPING IRENE #T50092728,2020-11-01,396.90000000000003
MS-S-004693,SCREW LOCKING 2.7×30MM SELF TAPPING IRENE #T50092730,2020-11-01,793.8000000000001
MS-S-004689,SCREW LOCKING 2.7×22MM SELF TAPPING IRENE #T50092722,2020-11-01,575.51
MS-S-001428,SUTURE PDS II 4/0 90CM # W9109T/ W9109H/COVIDIEN # 623131 / # PDP9109H,2020-11-01,187.85
MS-M-000627,MODULAR JOINT COMP.SMALL RIGHT D=60MM  LINK #15-2816/11,2020-11-01,16021.5
MS-S-010689,STEM MODULAR CEMENTLESS 280MM. LINK #15-2952/09,2020-11-01,5032.5
FMANA-0015,NITROUS OXIDE (N2O/30 MINS),2020-11-01,157.61
MS-N-001491,NAIL TIBIA NAVIGATOR,2020-11-01,2077.08
MS-S-008468,SCREW LOCKING 4.0MM*32MM,2020-11-01,257.95
MS-S008469,SCREW LOCKING 4.0MM*36MM,2020-11-01,257.95
SMO10255,SCREW F/BONE LOCK.6.5X75/32MM SANATMETAL #SAN-224065075,2020-11-01,720.3000000000001
SMO10561,WASHER SANATEMETAL #SAN-932999015,2020-11-01,22.61
FMORT-0821,OPEN REDUCTION OF INT. FIX. SUPRACONDYLE,2020-11-01,3929.35
P14SEDAL2J,SEDALERT 200MCG VIAL X 1,2020-11-01,83.25
2112,CALCIUM,2020-11-01,120.0
MS-S008471,SCREW LOCKING 4.0MM*44MM,2020-11-01,257.95
FMPN-0001,INJECTION OR ASPIRATION OF MAJOR JOINT/BURSA,2020-11-01,6239.13
FMPN-0009,GENICULAR NERVE BLOCKS,2020-11-01,3739.13
MS-N-001505,NAIL TIBIA 4.0MM LOCKING SCREW FOR NAVIGATOR 4.0X34MM IRENE # T42154034,2020-11-01,237.48000000000002
MS-N-001528,NAIL TIBIA 5.0MM LOCKING SCREW FOR NAVIGATOR 5.0X40MM IRENE # T42155040,2020-11-01,237.48000000000002
