Department,Service Code,Service Description,Final Price,Type,NPHIES Code (Hyphenated )
Radiology ,FMXRAY1401,IR. Veriscose vein ablation (one limb),16500.0,PKG,32520-00-00
Radiology ,FMXRAY1402,IR. Veriscose vein ablation (Two limbs),22000.0,PKG,32520-00-00
Radiology ,FMXRAY1403,IR. PROSTATIC ARTERY EMBOLIZATION (PAE),55000.0,PKG,35321-06-00
Radiology ,FMXRAY1404,IR. VARICOCELE EMBOLIZATION/COILING (UNILATERAL),25300.0,PKG,35321-07-01
Radiology ,FMXRAY1405,IR. VARICOCELE EMBOLIZATION/COILING (BILATERAL),30800.0,PKG,35321-07-02
Radiology ,FMXRAY1406,IR. UTERINE ARTERY EMBOLIZATION (UAE),38500.0,PKG,35303-06-00
Radiology ,FMXRAY1407,IR. SPLENIC ARTERY EMBOLIZATION,55000.0,PKG,35303-06-00
Radiology ,FMXRAY1408,IR. NERVE ROOT INJECTION OR ASPIRATION,4400.0,PKG,60503-00-11
Radiology ,FMXRAY1409,IR. PAIN BLOCK-UNILATERAL,5500.0,PKG,92512-99-01
Radiology ,FMXRAY1410,IR. PAIN BLOCK-BILATERAL,7700.0,PKG,92512-99-02
Radiology ,FMXRAY1411,IR. US guided BIOPSY (SOFT TISSUE),5500.0,PKG,83620-00-00
Radiology ,FMXRAY1412,IR. US guided DRAINAGE,5500.0,PKG,90908-00-11
Radiology ,FMXRAY1413,IR. US guided Dranage Catheter Exchange,3850.0,PKG,90908-00-11
Radiology ,FMXRAY1414,IR. US guided FNA,3850.0,PKG,90908-00-11
Radiology ,FMXRAY1415,IR. CT guided BIOPSY,7180.8,PKG,90908-00-11
Radiology ,FMXRAY1416,IR. CT guided DRAINAGE,6050.0,PKG,99999-99-92
Radiology ,FMXRAY1417,IR. CT guided ASPIRATION,4400.0,PKG,99999-99-92
Radiology ,FMXRAY1418,IR. Bone biopsy (limbes),16500.0,PKG,30081-00-00
Radiology ,FMXRAY1419,IR. TRANSRECTAL PROSTATIC BIOPSY (TRUS Biopsy),4950.0,PKG,32099-00-00
Radiology ,FMXRAY1420,IR. CHEMOEMBOLIZATION,33000.0,PKG,35321-10-00
Radiology ,FMXRAY1421,IR. CT guided RFA TUMOR (BONE),33000.0,PKG,99999-99-92
Radiology ,FMXRAY1422,IR. US guided RFA TUMOR (SOFT TISSUE),38500.0,PKG,90908-00-11
Radiology ,FMXRAY1423,IR. FALLOPIAN TUBES RECANALIZATION,16500.0,PKG,59712-00-00
Radiology ,FMXRAY1424,IR. FULL PACKAGE UL OR LL SCLEROTHERAPY (UNILATERAL),5500.0,PKG,32500-00-01
Radiology ,FMXRAY1425,IR. FULL PACKAGE UL OR LL SCLEROTHERAPY (BILATERAL),7700.0,PKG,32500-00-02
Radiology ,FMXRAY1426,IR. IVC FILTER IMPLEMENTATION,24200.0,PKG,35330-00-01
Radiology ,FMXRAY1427,IR. IVC FILTER REMOVAL OR RETRIEVAL,18700.0,PKG,35331-00-01
Radiology ,FMXRAY1428,IR. RETREIVAL (OTHER),16500.0,PKG,99999-99-92
Radiology ,FMXRAY1429,IR. FLOURO guided INJECTION,1100.0,PKG,60503-00-11
Radiology ,FMXRAY1430,IR. US guided INJECTION,1100.0,PKG,90908-00-11
Radiology ,FMXRAY1431,IR. Myelogram,22000.0,PKG,59724-00-00
Radiology ,FMXRAY1432,IR. ARTHOGRAM,2750.0,PKG,59751-00-00
Radiology ,FMXRAY1433,IR. PULMONARY MECHANICAL THROMBECTOMY,71500.0,PKG,90230-00-00
Radiology ,FMXRAY1434,IR. PULMONARY CATHETER DIRECTED THROMBOLYSIS,71500.0,PKG,35321-04-00
Radiology ,FMXRAY1435,IR. TUMOR RADIO-EMBOLIZATION,176000.0,PKG,35321-10-00
Radiology ,FMXRAY1436,IR. HEPATIC MAPING,49500.0,PKG,83700-00-00
Radiology ,FMXRAY1437,IR. Neuro. Diagnostic cerebral angiogram,38500.0,PKG,59970-02-00
Radiology ,FMXRAY1438,IR. Neuro. ACUTE STROKE THROMBECTOMY,132000.0,PKG,90230-00-00
Radiology ,FMXRAY1439,IR. Neuro. INTRACRANIAL ANGIOPLASTY,55000.0,PKG,35303-06-00
Radiology ,FMXRAY1440,IR. Neuro. INTRACRANIAL ANGIOPLASTY + STENTING,99000.0,PKG,35309-06-00
Radiology ,FMXRAY1441,IR. Neuro. INTRACRANIAL ANEURYSM COILING (2 COILS),132000.0,PKG,35412-00-00
Radiology ,FMXRAY1442,IR. Neuro. INTRACRANIAL ANEURYSM COILING (5 COILS),198000.0,PKG,35321-02-00
Radiology ,FMXRAY1443,IR. Neuro. BRAIN ANEURYSM FLOW DIVERTER,198000.0,PKG,35309-06-00
Radiology ,FMXRAY1444,IR. Neuro. Carotid/vertebral angioplasty+STENTING,66000.0,PKG,35307-00-00
Radiology ,FMXRAY1445,IR. Neuro. Carotid/vertebral angioplasty,49500.0,PKG,35303-06-00
Radiology ,FMXRAY1446,IR. Neuro. AVM EMBOLIZATION (1 SESSION),165000.0,PKG,35412-00-00
Radiology ,FMXRAY1447,IR. Neuro. TUMOR EMBOLIZATION,165000.0,PKG,35321-10-00
Radiology ,FMXRAY1448,IR. Neuro. Spine AVM Embolization,165000.0,PKG,40318-00-00
Radiology ,FMXRAY1449,IR. Neuro. BLEEDING EMBOLIZATION,165000.0,PKG,99999-99-99
Radiology ,FMXRAY1450,IR. Neuro. EACH ADDITIONAL COIL/STENT,38500.0,PKG,99999-99-99
Radiology ,FMXRAY1451,"IR. Neuro. Additional PRECIPITATED POLYMER (Onyx, Phil)",22000.0,PKG,90223-01-00
Radiology ,FMXRAY1452,IR. Neuro. VERTEBROPLASTY / KYPHOPLASTY,77000.0,PKG,35400-00-00
Radiology ,FMXRAY1453,IR. Neuro. Spinal bone biopsy,27500.0,PKG,30081-00-00
Radiology ,FMXRAY1454,IR. OUTSIDE CONSULTATION VISIT (INTERVENTIONAL CONS.),1100.0,PKG,83600-01-60
Cardiology,FMCAR - 3091,VSD device closure (ventricular septal defect) without Device or Delivery System - Pediatric,50000.0,PKG,38751-02-00
Cardiology,FMCAR - 3092,PERICARDIECTOMY,25000.0,PKG,38447-00-00
Cardiology,FMCAR-2900,CABG & Tissue Aortic Valve Replacement,61850.0,PKG,"38497-04-00
38553-03-00"
Cardiology,FMCAR-2901,CABG & Mechanical Aortic Valve,67850.0,PKG,"38497-04-00 
38553-03-00"
Cardiology,FMCAR-2902,CABG & Tissue Mitral Valve,64850.0,PKG,"38497-04-00 
38480-01-00"
Cardiology,FMCAR-2903,CABG & Mechanical Mitral Valve,68850.0,PKG,"38497-04-00 
38480-01-00"
Cardiology,FMCAR-3000,Coronary Bypass (CABG),60000.0,PKG,38497-04-00
Cardiology,FMCAR-3003,THORACIC ENDOVASCULAR AORTIC REPAIR WITHOUT IMPLANT(TEVAR),60000.0,PKG,385620300
Cardiology,FMCAR-3004,Unilateral Endovenous adhesive ablation + Venseal Device,23000.0,PKG,32520-00-00
Cardiology,FMCAR-3005,CABG & Double Tissue Valve,83850.0,PKG,"38497-04-00 
38553-03-00"
Cardiology,FMCAR-3006,CABG & Double Mechanical Valve,88850.0,PKG,"38497-04-00 
38553-03-00"
Cardiology,FMCAR-3007,CABG & Mitral Valve Repair (No Ring),59850.0,PKG,"38497-04-00 
38480-01-00"
Cardiology,FMCAR-3008,CABG & Mitral Valve Repair (With Ring),61850.0,PKG,"38497-04-00 
38480-01-00"
Cardiology,FMCAR-3009,Aortic Mechanical Valve,62850.0,PKG,38488-00-00
Cardiology,FMCAR-3010,Aortic Tissue Valve,59850.0,PKG,38489-01-00
Cardiology,FMCAR-3011,Mitral Mechanical Valve,62850.0,PKG,38488-02-00
Cardiology,FMCAR-3012,Mitral Tissue Valve,59850.0,PKG,38489-02-00
Cardiology,FMCAR-3013,Double Mechanical Valve,85850.0,PKG,38653-06-00
Cardiology,FMCAR-3014,Double Tissue Valve,74850.0,PKG,38653-06-00
Cardiology,FMCAR-3015,Mitral Valve Repair (No Ring),49850.0,PKG,38475-00-00
Cardiology,FMCAR-3016,Mitral Valve Repair (With Ring),49850.0,PKG,38477-00-00
Cardiology,FMCAR-3017,Mitral & Tricuspid Valve Repair (No ring),49850.0,PKG,34818-00-01
Cardiology,FMCAR-3018,Mitral & Tricuspid Valve Repair (With ring),54850.0,PKG,34818-00-01
Cardiology,FMCAR-3019,Ring Each,4150.0,PKG,90223-01-00
Cardiology,FMCAR-3020,Ligation Patent Ductus (Pediatric),15850.0,PKG,38700-01-00
Cardiology,FMCAR-3021,Ligation Patent Ductus (Adult),30850.0,PKG,38700-00-00
Cardiology,FMCAR-3022,Blalock - Taussing Shunt,18850.0,PKG,38733-00-00
Cardiology,FMCAR-3023,"Simple Open Congenital A.S.D., V.S.V and P.V.",41850.0,PKG,38715-02-00
Cardiology,FMCAR-3024,Mitral Balloon Valvuloplasty,54850.0,PKG,38485-01-00
Cardiology,FMCAR-3025,"Bypass, In-situ, Femoro-Tibial Artery",69850.0,PKG,11268129
Cardiology,FMCAR-3026,"Pulmonary balloon valvuloplasty Consumable (catheter, balloon, wires, sheath) 3000SR",25000.0,PKG,38270-03-00
Cardiology,FMCAR-3027,"Radiofrequency Pulmonary valve Perforation Consumable (hotwire, cautery cable, nykaneing catheter, rent of baylis machine)",150000.0,PKG,38456-18-00
Cardiology,FMCAR-3028,Balloon atrial septostomy Consumable (rashkined or z5 balloon) 2000SR,20000.0,PKG,38270-00-00
Cardiology,FMCAR-3029,"Pulmonary artery dilatation w/without stenting (excluding stent cost) Consumable (catheter, wire, sheath, balloon) 3500SR",30000.0,PKG,38270-03-00
Cardiology,FMCAR-3030,"RVOT stenting (ventricular outflow tract) Consumable (sheath, wire, catheter, balloon and stent)",45000.0,PKG,34824-00-00
Cardiology,FMCAR-3031,"LAA device closure (left atrial appendage) Consumable (sheath, wire, catheter, long sheath and device)",70000.0,PKG,96219-00-00
Cardiology,FMCAR-3032,"ASD device closure (atrial septal defect) Consumable (sheath, wire, catheter, long sheath and device)",140000.0,PKG,38742-00-00
Cardiology,FMCAR-3033,"PDA device closure (patent ductus arteriosus) Consumable (sheath, wire, catheter, long sheath and device)",30000.0,PKG,38700-00-00
Cardiology,FMCAR-3034,"PDA coil closure (patent ductus arteriosus) Consumable (sheath, wire, catheter and coil)",20000.0,PKG,38700-00-00
Cardiology,FMCAR-3035,"VSD device closure (ventricular septal defect) Consumable (sheath, wire, catheter, long sheath and device)",45000.0,PKG,38751-02-00
Cardiology,FMCAR-3036,"PDA stenting (patent ductus arteriosus) Consumable (sheath, wire, catheter, delivery catheter and stent)",40000.0,PKG,38700-00-00
Cardiology,FMCAR-3037,"Melody valve implantation Consumable (sheath, wire, catheter, long sheath and valve)",140000.0,PKG,38490-00-00
Cardiology,FMCAR-3038,Catheterization Left Heart ( Day Case ),9929.7,PKG,38203-00-00
Cardiology,FMCAR-3039,Catheterization Left Heart + Graft ( Day Case ),11500.0,PKG,38203-00-00
Cardiology,FMCAR-3040,Catheterization Right + Left Heart ( Day Case ),13000.0,PKG,38200-00-00
Cardiology,FMCAR-3041,Catheterization Right Heart ( Day Case ),7400.0,PKG,38200-00-00
Cardiology,FMCAR-3042,Catheterization Right Heart with Shunt ( Day Case ),8600.0,PKG,38200-00-00
Cardiology,FMCAR-3044,"PTCA (Percutaneous Transluminal Coronary Angioplasty) – SV ,(One Day CCU + One Day Ward)",18500.0,PKG,38300-00-00
Cardiology,FMCAR-3045,"PTCA (Percutaneous Transluminal Coronary Angioplasty) – DV , (One Day CCU + One Day Ward)",41800.0,PKG,38303-00-00
Cardiology,FMCAR-3046,"PTCA (Percutaneous Transluminal Coronary Agioplasty) – SV + Stent , (Price is WITHOUT STENT) (One Day CCU + One Day Ward)",38000.0,PKG,38306-00-00
Cardiology,FMCAR-3047,"PTCA (Percutaneous Transluminal Coronary Angioplasty) – SV + 2 Stent , (Price is WITHOUT STENT) (One Day CCU + Three Days Ward)",43000.0,PKG,38312-01-00
Cardiology,FMCAR-3048,"PTCA (Percutaneous Transluminal Coronary Angioplasty) – SV + 3 Stent , (Price is WITHOUT STENT) (One Day CCU + Four Days Ward)",48000.0,PKG,35307-01-00
Cardiology,FMCAR-3049,"PTCA (Percutaneous Transluminal Coronary Angioplasty) – DV + Stent , (Price is WITHOUT STENT) (One Day CCU + Three Days Ward)",45000.0,PKG,38318-00-00
Cardiology,FMCAR-3050,"PTCA (Percutaneous Transluminal Coronary Angioplasty) – DV + 2 Stent , (Price is WITHOUT STENT) (One Day CCU + Three Days Ward)",50000.0,PKG,38318-01-00
Cardiology,FMCAR-3051,"PTCA (Percutaneous Transluminal Coronary Angioplasty) – DV + 3 Stent , (Price is WITHOUT STENT) (One Day CCU + Three Days Ward)",55000.0,PKG,35307-01-00
Cardiology,FMCAR-3052,"PTCA (Percutaneous Transluminal Coronary Angioplasty) – TV + Stent , (Price is WITHOUT STENT) (One Day CCU + Three Days Ward)",52000.0,PKG,35309-06-00
Cardiology,FMCAR-3053,"PTCA (Percutaneous Transluminal Coronary Angioplasty) – TV + 2 Stent , (Price is WITHOUT STENT) (One Day CCU + Three Days Ward)",57000.0,PKG,35309-07-00
Cardiology,FMCAR-3054,"PTCA (Percutaneous Transluminal Coronary Angioplasty) – TV + 3 Stent , (Price is WITHOUT STENT) (One Day CCU + Three Days Ward)",63000.0,PKG,35309-07-00
Cardiology,FMCAR-3055,Bypass Operation,58000.0,PKG,90201-00-00
Cardiology,FMCAR-3056,Intra Aortic Baloon Insertion,12500.0,PKG,38362-00-00
Cardiology,FMCAR-3057,"PTCA (Percutaneous Transluminal Coronary Angioplasty) – SV + 4 Stents , (Price is WITHOUT STENT) (One Day CCU + Four Days Ward)",53000.0,PKG,38300-00-00
Cardiology,FMCAR-3058,"PTCA (Percutaneous Transluminal Coronary Angioplasty) – TV + 4 Stents , (Price is WITHOUT STENT) (One Day CCU + Four Days Ward)",68000.0,PKG,38300-00-00
Cardiology,FMCAR-3059,"PTCA (Percutaneous Transluminal Coronary Angioplasty) – DV + 4 Stents , (Price is WITHOUT STENT) (One Day CCU + Four Days Ward)",60000.0,PKG,38300-00-00
Cardiology,FMCAR-3060,"PTCA (Percutaneous Transluminal Coronary Angioplasty) – TV + 5 Stents , (Price is WITHOUT STENT) (One Day CCU + Four Days Ward)",73000.0,PKG,38300-00-00
Cardiology,FMCAR-3061,"PTCA (Percutaneous Transluminal Coronary Angioplasty) – DV + 5 Stents , (One Day CCU + Four Days Ward) Excluding the price of the Stents",65000.0,PKG,38300-00-00
Cardiology,FMCAR-3062,PTCA Single Vessel & Drug Eluting Balloon (One Day CCU + One Day Ward) Excluding the price of the drug eluting balloon,30000.0,PKG,38300-00-00
Cardiology,FMCAR-3063,Use of suction device (Export Catheter I Primary PCI),12000.0,PKG,90223-01-00
Cardiology,FMCAR-3064,Renal Angiogram both Renal Arteries,6000.0,PKG,59970-03-00
Cardiology,FMCAR-3065,Permanent Pacemaket Biventricular,70000.0,PKG,90223-01-00
Cardiology,FMCAR-3067,Permanent Pacemaker Biventricular Plus ICD (CRTD),80000.0,PKG,38368-00-00
Cardiology,FMCAR-3070,EP study and ablation for atrial flutter and/or SVT (AVNRT and AVRT),65000.0,PKG,38209-00-00
Cardiology,FMCAR-3071,Atrial Fibrillation using a cryotherapy,120000.0,PKG,38287-02-00
Cardiology,FMCAR-3072,Diagnostic EP study,35000.0,PKG,38209-00-00
Cardiology,FMCAR-3073,EP study and ablation for atrial tachycardia or WPW,65000.0,PKG,38213-00-00
Cardiology,FMCAR-3075,Excision of Mediastinal Mass / Cyst Sternotomy,57600.0,PKG,38446-03-00
Cardiology,FMCAR-3076,Thoracotomy drainage loculated collection empyema or effusion,40800.0,PKG,38415-00-00
Cardiology,FMCAR-3077,Aortic valve replacement tissue rapid deployment valve excluding valve.,65000.0,PKG,38489-01-00
Cardiology,FMCAR-3078,Ascending aortic aneurysm resection- excluding graft,60000.0,PKG,38550-00-00
Cardiology,FMCAR-3079,Aortic root aneurysm resection- Bentall procedure excluding graft,60000.0,PKG,38553-00-00
Cardiology,FMCAR-3080,TAVI: trans catheter aortic valve implantation ( trans apical) excluding valve,70000.0,PKG,38488-08-00
Cardiology,FMCAR-3081,TAVI: trans catheter aortic valve implantation (trans femoral)excluding valve,50000.0,PKG,38488-08-00
Cardiology,FMCAR-3082,VATS therapeutic -,30000.0,PKG,38450-01-00
Cardiology,FMCAR-3083,Pacemaker endocarditis – surgical removal,60000.0,PKG,38353-02-00
Cardiology,FMCAR-3084,Native valve endocarditis – valve replacement excluding valve,70000.0,PKG,38493-00-00
Cardiology,FMCAR-3085,Prosthetic valve endocarditis – valve replacement excluding valve,85000.0,PKG,"38553-03-00 
38493-00-00"
Cardiology,FMCAR-3086,Rigid bronchoscopy + procedure pediatric (F.B removal or biopsy),20000.0,PKG,"41889-05-01 
41895-02-01
"
Cardiology,FMCAR-3087,Rigid oesphagoscopy + procedure in pediatric age group (removal of ingested F.B or biopsy),15000.0,PKG,30473-04-00
Cardiology,FMCAR-3088,Rib resection or chest wall resection one or more ribs without mesh closure,25000.0,PKG,90603-03-00
Cardiology,FMCAR-3089,"Rib fixation by plates and screws for flail segments (not including the plates, scowrs",25000.0,PKG,47471-00-01
Cardiology,FMCAR-3093,Rotablation Angioplasty ,120000.0,PKG,90218-00-00
Cardiology,FMCAR-3094,Coronary Artery Chronic Total Occlusion (CTO) ,130000.0,PKG,38309-00-00
Cardiology,FMCAR-3095,Percutaneous Ventricular Assist Device (Impella),150000.0,PKG,90218-02-00
Cardiology,FMCAR-3096,Shockwave Intravascular Lithotripsy (IVL) System,75000.0,PKG,92199-00-00
Cardiology,FMCAR-9978,Permanent pacemaker dual chamber implantation,40250.0,PKG,38353-00-00
CARDIOLOGY,FMCAT-0042 ,Diagnostic EP study and ablation of Slow pathways (conventional kit) ,92500.0,PKG,38209-00-00
CARDIOLOGY,FMCAT-0045 ,Device infection removal of the device ,4000.0,PKG,38353-02-00
CARDIOLOGY,FMCAT-0047 ,"Permanent pacemaker implantation, Single",66000.0,PKG,38353-00-00
CARDIOLOGY,FMCAT-0050,Biventricular ICD implantation ,88000.0,PKG,38368-00-00
CARDIOLOGY,FMCAT-0051 ,Cardiac Device Lead Revision ,39000.0,PKG,38353-01-00
CARDIOLOGY,FMCAT-0052 ,Subcutaneous ICD implantation,77000.0,PKG,38390-00-00
CARDIOLOGY,FMCAT-0053  ,Leadless Pacemaker insertion ,75000.0,PKG,38353-00-00
CARDIOLOGY,FMCAT-0054,Ablation using 3D mapping system (add-on to FMCAT-0042 ),24500.0,PKG,38287-01-00
CARDIOLOGY,FMCAT-0055,Trans-septal Puncture using BRK needle+ sheath  for left sided procedures ( Add-on to FMCAT-0042),24500.0,PKG,38748-01-00
CARDIOLOGY,FMCAT-0056,Use of Intra-cardiac Echocardiography Catheter ,50000.0,PKG,38456-00-00
Cardiology,FMCTS-0115,MAZE PROCEDURE(SURGICAL ABLATION OF ATRIAL FIBRILLATION),75000.0,PKG,382870300
Cardiology,FMCAR-3043,Temporary Pacemaker ( Day Case ),9000.0,PKG,38456-25-00
Cardiology,FMCAR-3066,Permanent Pacemaker Dual Chamber,60000.0,PKG,38353-00-00
Cardiology,FMCAR-3068,Implantation of ICD Single,80437.5,PKG,90203-08-00
Cardiology,FMCAR-3069,Implantation of ICD Double,75000.0,PKG,38368-00-00
Cardiology,FMCAR-3074,Implantation or explantation of loop recorder (not including the price of the device),12000.0,PKG,90223-01-00
Dental,FMDNT-3000,INCISION & DRAINAGE UNDER LA (MINOR),1200.0,PKG,30223-02-10
Dental,FMDNT-3001,INCISION & DRAINAGE UNDER LA (COMPLICATED),2500.0,PKG,45054-00-00
Dental,FMDNT-3002,INCISION & DRAINAGE UNDER GA,6000.0,PKG,"30223-02-20 
83670-00-60"
Dental,FMDNT-3003,CLOSURE OROANTRAL FISTULA UNDER LA (MINOR),3500.0,PKG,41722-00-00
Dental,FMDNT-3004,CLOSURE OROANTRAL FISTULA UNDER GA (MAJOR),12000.0,PKG,"41722-00-00 
83670-00-60"
Dental,FMDNT-3005,ENUCLEATION OF CYSTIC LESION + HISTOPATHOLOGY,12000.0,PKG,83700-00-00
Dental,FMDNT-3006,ENUCLEATION OF CYSTIC LESION + HISTOPATHOLOGY + BONE GRAFT,22000.0,PKG,83700-00-00
Dental,FMDNT-3007,General Anesthesia for pediatric dental treatment (medium),2000.0,PKG,949
Dental,FMDNT-3008,General Anesthesia for pediatric dental treatment (major),3000.0,PKG,949
Dental,FMDNT-3009,General Anesthesia for pediatric dental treatment (fine major),4000.0,PKG,949
Dental & Maxillofacial, FMDNTC108, Arthrocentesis (two side),9000.0,PKG,392
Dental & Maxillofacial,DNT-0001,I & D FACIAL ABSCESS L.A.,5000.0,PKG,97379-00-00
Dental & Maxillofacial,DNT-0002,REMOVAL OF ARCH BARS & WIRES,12000.0,PKG,45823-00-00
Dental & Maxillofacial,DNT-0003,REMOVAL OF FACIAL FOREIGN BODIES,12000.0,PKG,92087-00-00
Dental & Maxillofacial,DNT-0004,CLOSURE OF  FACIAL LACERATION,12000.0,PKG,97377-00-00
Dental & Maxillofacial,DNT-0005,EXCISION OF MINOR SALIVARY GLAND ( MUCOCELE ),12000.0,PKG,90138-00-00
Dental & Maxillofacial,DNT-0006,REMOVAL OF SALIVARY STONE,12000.0,PKG,30266-02-00
Dental & Maxillofacial,DNT-0007,FRENECTOMY LIP / TONGUE G.A.,12000.0,PKG,30278-00-00
Dental & Maxillofacial,DNT-0008,I & D FACIAL ABSCESS  G.A.,15000.0,PKG,97379-00-00
Dental & Maxillofacial,DNT-0009,CLOSED REDUCTION OF NASAL BONE FRACTURES,15000.0,PKG,47738-00-00
Dental & Maxillofacial,DNT-0010,CLOSURE OF DEEP/MULTIPLE FACIAL LACERATIONG.A,15000.0,PKG,30035-00-10
Dental & Maxillofacial,DNT-0011,EXCISION OF LOCALIZED ORAL TUMOR WITH HISTOPATHOLOGY,15000.0,PKG,90141-01-00
Dental & Maxillofacial,DNT-0012,CLOSED REDUCTION OF MIDFACE FRACTURES,20000.0,PKG,90681-00-00
Dental & Maxillofacial,DNT-0013,CLOSURE OF ORO-ANTRAL FISTULA,20000.0,PKG,41722-00-00
Dental & Maxillofacial,DNT-0014,ORIF FRONTAL BONE FRACTURES,30000.0,PKG,90530-00-00
Dental & Maxillofacial,DNT-0015,ORIF - MIDFACE FRACTURES  - UNILATERAL,30000.0,PKG,90530-02-00
Dental & Maxillofacial,DNT-0016,ORIF - MANDIBULAR CONDYLE FRACTURE,30000.0,PKG,47789-00-01
Dental & Maxillofacial,DNT-0017,CLOSED REDUCTION OF MANDIBULAR  FRACTURE  & IMF,30000.0,PKG,47756-00-01
Dental & Maxillofacial,DNT-0018,REDUCTION & FIXATION OF ALVEOLAR BONE FRACTURE,30000.0,PKG,90530-00-00
