HCP Name,S. Type,Code,Provider Service Description,Price,Discount 
SGH Madina,CONSULTATION,1112022,ENDOCRINOLOGY CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112023,ENT SPECIALIST CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112025,FOLLOW UP (IVF) WITHIN 7 DAYS,0.0,0.0
SGH Madina,CONSULTATION,1112026,FOLLOW-UP CONSULTATION (WITHIN 14 DAYS),0.0,0.0
SGH Madina,CONSULTATION,1112027,FREE FOLLOW UP ( DENTAL ),0.0,0.0
SGH Madina,CONSULTATION,1112024,FAMILY THERAPY ,140.0,0.0
SGH Madina,CONSULTATION,1112028,GASTROENTEROLOGY CONSULTATION ,140.0,0.0
SGH Madina,CONSULTATION,1112029,GYNAECOLOGY CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112030,INPATIENT VISIT - NEURO SURGEON,140.0,0.0
SGH Madina,CONSULTATION,1112031,INTERNAL MEDICINE CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112032,INTERVENTIONAL RADIOLOGY CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112034,IVF CONSULTATION FOLLOW UP VISIT,0.0,0.0
SGH Madina,CONSULTATION,1112033,IVF CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112035,NEPHROLOGY CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112036,NEURO SURGERY CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112037,NEUROLOGY CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112038,ONCOLOGY CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112039,OPHTHALMOLOGY CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112040,ORTHODONTIST CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112042,OUTSIDE CONSULTATION CONSULTANT,750.0,0.2
SGH Madina,CONSULTATION,1112041,ORTHOPAEDIC CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112044,PAEDIATRIC CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112045,PEDIATRIC CARDIOLOGY CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112046,PEDIATRIC SURGERY CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112047,PSYCHIATRIC CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112048,PSYCHIATRIC FOLLOW-UP (WITHIN 7 DAYS),0.0,0.0
SGH Madina,CONSULTATION,1112049,PSYCHO THERAPY (PER SESSION),140.0,0.0
SGH Madina,CONSULTATION,1112050,RHEUMATOLOGY  CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112051,SURGERY CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112052,UROLOGY CONSULTATION,140.0,0.0
SGH Madina,CONSULTATION,1112053,CONSULTANT OR SPECIALIST CALL BY NAME FOR DELIVERY REQUESTED BY THE PATIENT,1000.0,0.2
SGH Madina,CONSULTATION,1112020,DIETITIAN CONSULTATION ,140.0,0.0
SGH Madina,CONSULTATION,1112058,CONSULTATION FOR OPD SERVICES,140.0,0.0
SGH Madina,CONSULTATION,1112057,PREANESTHESIA CLINIC CONSULTATION,0.0,0.0
SGH Madina,CONSULTATION,1112021,SECA TEST BY DIETITIAN,150.0,0.0
SGH Madina,CONSULTATION,1112066,HOME VISIT / GENERAL PRACTITIONER,150.0,0.0
SGH Madina,CONSULTATION,1112067,HOME VISIT / VACCINATION,150.0,0.0
SGH Madina,CONSULTATION,SGHTELC,TELE MEDICINE CONSULTANT,150.0,0.0
SGH Madina,CONSULTATION,1112062,HOME VISIT / CONSULTANT WITH NURSE,500.0,0.0
SGH Madina,CONSULTATION,1112059,HOME VISIT / NURSE,200.0,0.0
SGH Madina,CONSULTATION,1112060,HOME VISIT / G.P. WITH NURSE,300.0,0.0
SGH Madina,CONSULTATION,1112061,HOME VISIT / SPECIALIST WITH NURSE,400.0,0.0
SGH Madina,CONSULTATION,1112043,OUTSIDE CONSULTATION SPECIALIST,450.0,0.2
SGH Madina,ROOM & BOARD,2112001,ACCOMODATION / SUITE PER DAY (BED ONLY),1200.0,0.2
SGH Madina,ROOM & BOARD,2112002,ACCOMODATION / PRIVATE PER DAY (BED ONLY),400.0,0.2
SGH Madina,ROOM & BOARD,2112003,ACCOMODATION / SEMI-PRIVATE PER DAY (BED ONLY),280.0,0.2
SGH Madina,ROOM & BOARD,2112004,ACCOMODATION / PAEDIATRIC WARD (BED ONLY),280.0,0.2
SGH Madina,ROOM & BOARD,2112005,ACCOMODATION / INFANT INCUBATOR (BED ONLY),280.0,0.2
SGH Madina,ROOM & BOARD,2112006,ACCOMODATION / NURSERY (BED ONLY),200.0,0.2
SGH Madina,ROOM & BOARD,2112007,ACCOMODATION / INTENSIVE CARE UNIT (ICU) (BED ONLY),1600.0,0.2
SGH Madina,ROOM & BOARD,2112008,ACCOMODATION / SUITE ROOM ICU PER DAY (BED ONLY),2800.0,0.2
SGH Madina,ROOM & BOARD,2112009,CACCOMODATION / CARDIAC CARE UNIT (CCU) (BED ONLY),1600.0,0.2
SGH Madina,ROOM & BOARD,2112010,ACCOMODATION / PEDIATRIC ICU (PICU) (BED ONLY),1600.0,0.2
SGH Madina,ROOM & BOARD,2112011,ACCOMODATION / NICU - PER DAY  (BED ONLY),1600.0,0.2
SGH Madina,ROOM & BOARD,2112012,ACCOMODATION / NICU INTERMEDIATE CARE (CRIB) (BED ONLY),800.0,0.2
SGH Madina,ROOM & BOARD,2112013,ACCOMODATION / NICU - ISOLATION PER DAY (BED ONLY),1600.0,0.2
SGH Madina,ROOM & BOARD,2112014,ACCOMODATION / ISOLATION ROOM / ADULT (BED ONLY),400.0,0.2
SGH Madina,ROOM & BOARD,2112015,HEAD OXYGEN BOX (NEO-NATAL CARE),130.0,0.2
SGH Madina,ROOM & BOARD,2112016,ROOM DIFFERENCE (SEMI PVT - PVT),120.0,0.2
SGH Madina,ROOM & BOARD,2112017,ROOM DIFFERENCE (SEMI PVT - SUITE),920.0,0.2
SGH Madina,ROOM & BOARD,2112018,ROOM DIFFERENCE (PVT - SUITE),800.0,0.2
SGH Madina,ROOM & BOARD,2112019,NURSING CARE / WARD PER DAY ,150.0,0.2
SGH Madina,ROOM & BOARD,2112020,NURSING CARE / ICU PER DAY ,250.0,0.2
SGH Madina,ROOM & BOARD,2112021,SPECIAL NURSE 24 HOURS,800.0,0.2
SGH Madina,ROOM & BOARD,2112022,NURSE AIDE 24 HRS,500.0,0.2
SGH Madina,ROOM & BOARD,2112023,COMPANION CHARGES WITH ADULT PER DAY ,200.0,0.2
SGH Madina,ROOM & BOARD,2112024,COMPANION CHARGES WITH CHILD PER DAY ,150.0,0.2
SGH Madina,ROOM & BOARD,2112025,DISPOSABLES WARD,157.0,0.2
SGH Madina,ROOM & BOARD,2112026,DISPOSABLES I.C.U.,300.0,0.2
SGH Madina,ROOM & BOARD,2112027,DISPOSABLES  NICU,300.0,0.2
SGH Madina,ROOM & BOARD,2112028,ISOLATION DISPOSABLES PER DAY ,400.0,0.2
SGH Madina,ROOM & BOARD,2112029,EXTRA LUNCH/DINNER TRAY,40.0,0.2
SGH Madina,ROOM & BOARD,2112030,TELEPHONE CHARGES ,0.0,0.2
SGH Madina,GENERAL ,3112001,EMERGENCY ROOM FEES FOR OBSERVATION (1-3 HOURS),200.0,0.2
SGH Madina,GENERAL ,3112002,OBSERVATION ROOM ER 3- 6 HOUR,150.0,0.2
SGH Madina,GENERAL ,3112003,OBSERVATION ROOM ER MORE THAN 6 HOUR,200.0,0.2
SGH Madina,GENERAL ,3112004,I.M. / S.C. INJECTION,15.0,0.2
SGH Madina,GENERAL ,3112005,I.V. INJECTION,25.0,0.2
SGH Madina,GENERAL ,3112006,I.V. FLUID INFUSION / REHYDRATION 250CC I.V.,40.0,0.2
SGH Madina,GENERAL ,3112007,I.V. FLUID INFUSION / REHYDRATION 500CC I.V. ,60.0,0.2
SGH Madina,GENERAL ,3112008,I.V. FLUID INFUSION / REHYDRATION 1000CC ,85.0,0.2
SGH Madina,GENERAL ,3112009,PRE-EMPLOYMENT CHECK UP,350.0,0.2
SGH Madina,GENERAL ,3112010,MEDICAL CHECK-UP PROGRAM 1 DAY ,1000.0,0.2
SGH Madina,GENERAL ,3112011,MEDICAL CHECK-UP PROGRAM 2 DAYS ,2750.0,0.2
SGH Madina,GENERAL ,3112012,MEDICAL CHECK-UP PROGRAM - CHILDREN,750.0,0.2
SGH Madina,GENERAL ,3112013,AMBULANCE FEE LESS THAN 50 KMS,400.0,0.2
SGH Madina,GENERAL ,3112014,AMBULANCE FEE MORE THAN 50 KMS LESS THAN 100 KMS,750.0,0.2
SGH Madina,GENERAL ,3112015,AMBULANCE FEE MORE THAN 100 KMS LESS THAN 250 KMS,1500.0,0.2
SGH Madina,GENERAL ,3112016,AMBULANCE FEE MORE THAN 250 KMS LESS THAN 500 KMS,6000.0,0.2
SGH Madina,GENERAL ,3112017,AMBULANCE WITH NURSE TO DAMMAM AIRPORT,1000.0,0.2
SGH Madina,GENERAL ,3112018,GENERAL PRACTITIONER  BY AMBULANCE W/NURSE (DAMMAM),300.0,0.2
SGH Madina,GENERAL ,3112019,SPECIALIST BY AMBULANCE W/NURSE (DAMMAM),400.0,0.2
SGH Madina,GENERAL ,3112020,NURSE ESCORT (DAMMAM),200.0,0.2
SGH Madina,GENERAL ,3112021,NURSE ESCORT TO PHILIPPINES / INDIA,3500.0,0.2
SGH Madina,GENERAL ,3112022,ORTHOFIX,1200.0,0.2
SGH Madina,GENERAL ,3112023,ORTHOFIX RENTAL (PER DAY),35.0,0.2
SGH Madina,GENERAL ,3112024,MORTUARY RENT PER DAY,300.0,0.2
SGH Madina,GENERAL ,3112025,MEDICAL REPORT,100.0,0.2
SGH Madina,GENERAL ,3112026,CODE BLUE,800.0,0.2
SGH Madina,GENERAL ,3112027,BLOOD WARMER,100.0,0.2
SGH Madina,GENERAL ,3112028,MEDICAL ESCORT (MIDDLE EAST),10000.0,0.2
SGH Madina,GENERAL ,3112029,MEDICAL ESCORT (EUROPE & INDIA),12000.0,0.2
SGH Madina,GENERAL ,3112030,MEDICAL ESCORT (U.S.A. & FAR EAST),18000.0,0.2
SGH Madina,GENERAL ,3112031,DRESSING MAJOR,90.0,0.2
SGH Madina,GENERAL ,3112032,DRESSING MEDIUM,65.0,0.2
SGH Madina,GENERAL ,3112033,DRESSING MINOR,45.0,0.2
SGH Madina,GENERAL ,3112034,BURN DRESSING MINOR (LESS THAN 5%),125.0,0.2
SGH Madina,GENERAL ,3112035,BURN DRESSING MEDIUM (FROM 5% TO 25%),375.0,0.2
SGH Madina,GENERAL ,3112036,BURN DRESSING MAJOR (MORE THAN 25%),400.0,0.2
SGH Madina,GENERAL ,3112037,SLING,50.0,0.2
SGH Madina,GENERAL ,3112038,ELASTIC BANDAGE,50.0,0.2
SGH Madina,GENERAL ,3112039,BANDAGE AC,60.0,0.2
SGH Madina,GENERAL ,3112040,NEBULIZER,50.0,0.2
SGH Madina,GENERAL ,3112041,STOMACH WASH,350.0,0.2
SGH Madina,GENERAL ,3112042,ENEMA,50.0,0.2
SGH Madina,GENERAL ,3112043,E.K.G. / E.C.G. WITH REPORT,200.0,0.2
SGH Madina,GENERAL ,3112044,TREADMILL EXERCISE TEST (STRESS TEST),800.0,0.2
SGH Madina,GENERAL ,3112045,ECHO CARDIOGRAM,750.0,0.2
SGH Madina,GENERAL ,3112046,DEFIBRILLATOR,170.0,0.2
SGH Madina,GENERAL ,3112047,ELECTRONIC MONITORING,170.0,0.2
SGH Madina,GENERAL ,3112048,PACE MAKER,170.0,0.2
SGH Madina,GENERAL ,3112049,CALORIC TEST WITH ELECTROSTAGMOGRAM,500.0,0.2
SGH Madina,GENERAL ,3112050,E.E.G.,900.0,0.2
SGH Madina,GENERAL ,3112051,E.C.T. (ELECTRO CONVULSIVE THERAPY),975.0,0.2
SGH Madina,GENERAL ,3112052,AMBULATORY BLOOD PRESSURE MONITOR,400.0,0.2
SGH Madina,GENERAL ,3112053,IMPEDENCE METER,170.0,0.2
SGH Madina,GENERAL ,3112054,CHEST DRAINAGE SET,500.0,0.2
SGH Madina,GENERAL ,3112055,INTRA-COSTAL DRAINAGE SET,675.0,0.2
SGH Madina,GENERAL ,3112056,CUTDOWN INFUSION LINE,340.0,0.2
SGH Madina,GENERAL ,3112057,HUMIDIFIER PER DAY,170.0,0.2
SGH Madina,GENERAL ,3112058,LOCAL INJECTION,85.0,0.2
SGH Madina,GENERAL ,3112059,EAR PIERCING,85.0,0.2
SGH Madina,GENERAL ,3112060,DIAGNOSTIC THORACOCENTESIS,170.0,0.2
SGH Madina,GENERAL ,3112061,LUMBAR PUNCTURE W/O LABORATORY TEST(S.PUNCTURE),250.0,0.2
SGH Madina,GENERAL ,3112062,COMEDON EXTRACTION,325.0,0.2
SGH Madina,GENERAL ,3112063,TUBIGRIP,35.0,0.2
SGH Madina,GENERAL,3112064,HOLTER MONITORING FOR 48 HOURS,1400.0,0.2
SGH Madina,GENERAL,3112065,BLOOD PRESSURE MONITORING 24 HOURS,650.0,0.2
SGH Madina,GENERAL,3112066,PAEDIATRIC ECHOCARDOGRAPHY,1500.0,0.2
SGH Madina,GENERAL,3112067,DOBUTAMIN ECHO,2000.0,0.2
SGH Madina,GENERAL,3112068,TRANSESOPHAGAL ECHO,2000.0,0.2
SGH Madina,GENERAL,3112069,EEG UNDER ANAESTHESIA,1750.0,0.2
SGH Madina,GENERAL ,3112070,UMBILICAL DRIP THRU UMBILICAL VEINS FOR NEONATES,450.0,0.2
SGH Madina,GENERAL ,3112071,LUMBAR PUNCTURE FOR NEONATES,250.0,0.2
SGH Madina,GENERAL ,3112072,SUBDURAL TAP,450.0,0.2
SGH Madina,GENERAL ,3112073,JEJUNAL BIOPSY,500.0,0.2
SGH Madina,GENERAL ,3112074,SKIN TEST,500.0,0.2
SGH Madina,GENERAL ,3112075,P.F.T. & EXERCISE TEST,170.0,0.2
SGH Madina,GENERAL ,3112076,PHOTO THERAPY W/O BLOOD (PER DAY),170.0,0.2
SGH Madina,GENERAL ,3112077,DOUBLE PHOTO THERAPY W/O BLOOD PER DAY,325.0,0.2
SGH Madina,GENERAL ,3112078,TRIPLE PHOTO THERAPY W/O BLOOD PER DAY,450.0,0.2
SGH Madina,GENERAL ,3112079,NASAL SUCTION,85.0,0.2
SGH Madina,GENERAL ,3112080,OXYGEN TENT,400.0,0.2
SGH Madina,GENERAL ,3112081,BONE MARROW ASPIRATION,1170.0,0.2
SGH Madina,GENERAL ,3112082,"BONE MARROW BIOPSY, NEEDLE (INCL. LAB TESTS) ",2200.0,0.2
SGH Madina,GENERAL ,3112083,ABDOMINAL PARACENTHESIS,325.0,0.2
SGH Madina,GENERAL,3112084,ESOHAGEAL MANOMETRY STUDY,3500.0,0.2
SGH Madina,GENERAL,3112085,ANORECTAL MANOMETRY STUDY,2500.0,0.2
SGH Madina,GENERAL,3112086,BIOFEEDBACK / 1 SESSION,850.0,0.2
SGH Madina,GENERAL,3112087,BIOFEEDBACK / 4 SESSIONS,2000.0,0.2
SGH Madina,GENERAL,3112088,BONE BIOPSY,1170.0,0.2
SGH Madina,GENERAL,3112089,INJECTION BOTOX AS PROPHYLACTIC FOR MIGRAINE,1000.0,0.2
SGH Madina,GENERAL,3112090,INCISION AND DRAINAGE,125.0,0.2
SGH Madina,GENERAL,3112091,SUTURING MINOR,125.0,0.2
SGH Madina,GENERAL,3112092,SUTURING MAJOR,250.0,0.2
SGH Madina,GENERAL,3112093,EXTRACTION OF NAIL & DRESSING,170.0,0.2
SGH Madina,GENERAL,3112094,REMOVAL OF FOREIGN BODY SUPERFICIAL,170.0,0.2
SGH Madina,GENERAL,3112095,REMOVAL OF FOREIGN BODY DEEP W/SCREEN,350.0,0.2
SGH Madina,GENERAL,3112096,LOCAL ANAESTHESIA SMALL AREA,75.0,0.2
SGH Madina,GENERAL,3112097,LOCAL ANAESTHESIA LARGE AREA,250.0,0.2
SGH Madina,GENERAL,3112098,CIRCUMCISION NEW BORN 1 DAY  - 3 MONTHS WITH LAB TESTS,400.0,0.2
SGH Madina,GENERAL,3112099,CIRCUMCISION 3 MONTHS - 1 YEAR  WITH LAB TEST,650.0,0.2
SGH Madina,GENERAL,3112100,CIRCUMCISION 1 YEAR - 10 YEARS WITH LAB TESTS,800.0,0.2
SGH Madina,GENERAL,3112101,CATHETERIZATION,75.0,0.2
SGH Madina,GENERAL,3112102,FOLLEY CATHETERIZATION,85.0,0.2
SGH Madina,GENERAL,3112103,PILES TREATMENT BY RUBBER BAND APPLICATOR (PILES/ELASTIC),1500.0,0.2
SGH Madina,GENERAL,3112104,SCROTTAL SUPPORT ,75.0,0.2
SGH Madina,GENERAL,3112105,TRU CUT BIOPSY,1800.0,0.2
SGH Madina,GENERAL,3112106,INCISION & DRAINAGE OF SMALL ABSCESS,250.0,0.2
SGH Madina,GENERAL,3112107,INCISION & DRAINAGE OF BIG ABSCESS,500.0,0.2
SGH Madina,GENERAL,3112108,EXTRACTION OF INGROWING TOE NAIL,500.0,0.2
SGH Madina,GENERAL,3112109,EXCISION OF SIMPLE OR SMALL LIPOMA UNDER L.A.,2160.0,0.2
SGH Madina,GENERAL,3112110,MULTIFIRE GIA STAPLER,1100.0,0.2
SGH Madina,GENERAL,3112111,WOUND CARE DRESSING SIMPLE / PEDIA,100.0,0.2
SGH Madina,GENERAL,3112112,WOUND CARE DRESSING MEDIUM / PEDIA,200.0,0.2
SGH Madina,GENERAL,3112113,WOUND CARE DRESSING COMPLEX COMPLICATED / PEDIA,300.0,0.2
SGH Madina,GENERAL,3112114,T.C.C. FIRST APPLICATION ,600.0,0.2
SGH Madina,GENERAL,3112115,T.C.C. WEEKLY FOLLOW UP SESSIONS ,200.0,0.2
SGH Madina,GENERAL,3112116,TOE PRESURE,150.0,0.2
SGH Madina,GENERAL,3112117,TCPO2,300.0,0.2
SGH Madina,GENERAL,3112118,ADVANCED VENUS ULCER/ PER DRESSING,300.0,0.2
SGH Madina,GENERAL,3112119,VASCULAR DOPPLER STUDY,100.0,0.2
SGH Madina,VACCINE,4112001,INJECTION,40.0,0.2
SGH Madina,VACCINE,4112002,ACT HIB VACCINE,130.0,0.05
SGH Madina,VACCINE,4112003,ACTACEL VACCINE,260.0,0.05
SGH Madina,VACCINE,4112004,ANEXATE INJECTION,195.0,0.05
SGH Madina,VACCINE,4112005,ANTI SCORPION INJECTION,200.0,0.05
SGH Madina,VACCINE,4112006,ANTI SNAKE SERUM AMP.,390.0,0.05
SGH Madina,VACCINE,4112007,ARAMEN INJECTION,370.0,0.05
SGH Madina,VACCINE,4112008,ARAPENTA,120.0,0.05
SGH Madina,VACCINE,4112009,AVAXIM VACCINE,165.0,0.05
SGH Madina,VACCINE,4112010,B.C.G. VACCINATION,35.0,0.05
SGH Madina,VACCINE,4112011,BOOSTRIX,100.0,0.05
SGH Madina,VACCINE,4112012,CLOPIXOL DEPOT INJECTION,60.0,0.05
SGH Madina,VACCINE,4112013,D.P.T. VACCINATION,55.0,0.05
SGH Madina,VACCINE,4112014,DESFERAL INJECTION,55.0,0.05
SGH Madina,VACCINE,4112015,DOBUTREX INJECTION,90.0,0.05
SGH Madina,VACCINE,4112016,DT PAEDIA,15.0,0.05
SGH Madina,VACCINE,4112017,EPREX 2000 IU,195.0,0.05
SGH Madina,VACCINE,4112018,HAVRIX ADULT,260.0,0.05
SGH Madina,VACCINE,4112019,HEPATECT (2ML) VACCINATION,715.0,0.05
SGH Madina,VACCINE,4112020,HEPATITIS VACCINATION,130.0,0.05
SGH Madina,VACCINE,4112021,HIBREX 10 MG VACCINE,170.0,0.05
SGH Madina,VACCINE,4112022,HUMULIN N INJECTION,110.0,0.05
SGH Madina,VACCINE,4112023,HUMULIN R INJECTION,110.0,0.05
SGH Madina,VACCINE,4112024,INFANRIX 0.5 ML SYRINGE,150.0,0.05
SGH Madina,VACCINE,4112025,INFANRIX HEXA VACCINE,390.0,0.05
SGH Madina,VACCINE,4112026,INFANRIX HIB VACCINE,195.0,0.05
SGH Madina,VACCINE,4112027,INFLUVAC - FLUARIX,50.0,0.05
SGH Madina,VACCINE,4112028,M.M.R. VACCINATION,140.0,0.05
SGH Madina,VACCINE,4112029,MEASLES VACCINATION,85.0,0.05
SGH Madina,VACCINE,4112030,MENACTRA INJECTION,370.0,0.05
SGH Madina,VACCINE,4112031,MOMMAN,600.0,0.05
SGH Madina,VACCINE,4112032,OKAVAX VIAL,375.0,0.05
SGH Madina,VACCINE,4112033,P.P.D.(VACCINE),40.0,0.05
SGH Madina,VACCINE,4112034,PANTOZOL INJECTION,145.0,0.05
SGH Madina,VACCINE,4112035,PARVOLEX INJECTION,130.0,0.05
SGH Madina,VACCINE,4112036,PEDIACEL VACCINE,250.0,0.05
SGH Madina,VACCINE,4112037,PNEUMO 23 VACCINE,110.0,0.05
SGH Madina,VACCINE,4112038,POLIO VACCINATION,55.0,0.05
SGH Madina,VACCINE,4112039,PREVENAR VACCINE,585.0,0.05
SGH Madina,VACCINE,4112040,RABIS VACCINE (ANTI-RABIS),200.0,0.05
SGH Madina,VACCINE,4112041,RHESUS FACTOR  VACCINATION,600.0,0.05
SGH Madina,VACCINE,4112042,ROTA VIRUS VACCINE,415.0,0.05
SGH Madina,VACCINE,4112043,RUDIVAX VACCINE,25.0,0.05
SGH Madina,VACCINE,4112044,SYNFLORIX VACCINE,300.0,0.05
SGH Madina,VACCINE,4112045,TETANUS TAXOID,25.0,0.05
SGH Madina,VACCINE,4112046,TETRACT HIB VACCINE,130.0,0.05
SGH Madina,VACCINE,4112047,TPN,975.0,0.05
SGH Madina,VACCINE,4112048,TRITANRIX HB + HIBERIX INJECTION,160.0,0.05
SGH Madina,VACCINE,4112049,TRITANRIX HB10 VACCINE VIAL,120.0,0.05
SGH Madina,VACCINE,4112050,TWINRIX ADULT VACCINE,195.0,0.05
SGH Madina,VACCINE,4112051,TYPHOID VACC.,90.0,0.05
SGH Madina,VACCINE,4112052,VACCINATION - MENINGITIS MENCEVAX,110.0,0.05
SGH Madina,VACCINE,4112053,VARILRIX VACCINE,285.0,0.05
SGH Madina,VACCINE,4112054,VARIVAX VIAL,350.0,0.05
SGH Madina,VACCINE,4112055,VAXIGRIP,40.0,0.05
SGH Madina,SURGERY,5112001,OPERATION FINE MAJOR - DOCTOR FEES,4500.0,0.2
SGH Madina,SURGERY,5112002,OPERATION MAJOR - DOCTOR FEES ,4000.0,0.2
SGH Madina,SURGERY,5112003,OPERATION MEDIUM - DOCTOR FEES,3500.0,0.2
SGH Madina,SURGERY,5112004,OPERATION MINOR - DOCTOR FEES,2500.0,0.2
SGH Madina,SURGERY,5112005,OPERATION SIMPLE - DOCTOR FEES,1500.0,0.2
SGH Madina,SURGERY,5112006,OPERATION ROOM CHARGES FINE MAJOR,750.0,0.2
SGH Madina,SURGERY,5112007,OPERATION ROOM CHARGES MAJOR,600.0,0.2
SGH Madina,SURGERY,5112008,OPERATION ROOM CHARGES MEDIUM,500.0,0.2
SGH Madina,SURGERY,5112009,OPERATION ROOM CHARGES MINOR,400.0,0.2
SGH Madina,SURGERY,5112010,OPERATION ROOM CHARGES SIMPLE,350.0,0.2
SGH Madina,SURGERY,5112011,ANAESTHESIOLOGIST FEE FINE MAJOR OPERATION,750.0,0.2
SGH Madina,SURGERY,5112012,ANAESTHESIOLOGIST FEE MAJOR OPERATION,600.0,0.2
SGH Madina,SURGERY,5112013,ANAESTHESIOLOGIST FEE  MEDIUM OPERATION,500.0,0.2
SGH Madina,SURGERY,5112014,ANAESTHESIOLOGIST FEE MINOR OPERATION,400.0,0.2
SGH Madina,SURGERY,5112015,ANAESTHESIOLOGIST FEE SIMPLE OPERATION,350.0,0.2
SGH Madina,SURGERY,5112016,DISPOSABLES OR FINE MAJOR,750.0,0.2
SGH Madina,SURGERY,5112017,DISPOSABLES OR MAJOR,600.0,0.2
SGH Madina,SURGERY,5112018,DISPOSABLES OR MEDIUM,500.0,0.2
SGH Madina,SURGERY,5112019,DISPOSABLES OR MINOR,400.0,0.2
SGH Madina,SURGERY,5112020,DISPOSABLES OR SIMPLE,350.0,0.2
SGH Madina,SURGERY,5112021,ANAESTHESIA FINE MAJOR,750.0,0.2
SGH Madina,SURGERY,5112022,ANAESTHESIA MAJOR,600.0,0.2
SGH Madina,SURGERY,5112023,ANAESTHESIA MEDIUM,500.0,0.2
SGH Madina,SURGERY,5112024,ANAESTHESIA MINOR,400.0,0.2
SGH Madina,SURGERY,5112025,ANAESTHESIA SIMPLE,350.0,0.2
SGH Madina,SURGERY,5112026,LOCAL ANAESTHESIA FEES - SMALL AREA,100.0,0.2
SGH Madina,SURGERY,5112027,LOCAL ANAESTHESIA FEES - LARGE AREA,550.0,0.2
SGH Madina,SURGERY,5112028,EPIDURAL INCLUDING ANAESTHESIOLOGIST FEE,1300.0,0.2
SGH Madina,SURGERY,5112029,ANAESTHIA FEES - SPINAL,900.0,0.2
SGH Madina,ORTHOPAEDIC ,6112001,PLASTER JACKET - GIBSONA,1150.0,0.2
SGH Madina,ORTHOPAEDIC ,6112002,ABOVE KNEE POP - GIBSONA,550.0,0.2
SGH Madina,ORTHOPAEDIC ,6112003,BELOW KNEE POP - GIBSONA,550.0,0.2
SGH Madina,ORTHOPAEDIC ,6112004,BELOW ELBOW POP - GIBSONA,550.0,0.2
SGH Madina,ORTHOPAEDIC ,6112005,ABOVE ELBOW POP - GIBSONA,550.0,0.2
SGH Madina,ORTHOPAEDIC ,6112006,UNILATERAL HIP SPICA - GIBSONA,800.0,0.2
SGH Madina,ORTHOPAEDIC ,6112007,BILATERAL HIP SPICA - GIBSONA,1150.0,0.2
