Unified Codes,Unified Descr.,LOS, SBS Codes,type,Gross Price,Unnamed: 6
DNT-0026,Orif - Mandibular Fracture  - Unilateral,3,47777-00-01,PKG,37000,
DNT-0027,Midface Osteotomy Le Fort  I,2,45753-00-00,PKG,37000,
DNT-0028,Superficial Parotidectomy,,30253-00-00,services,9256,
DNT-0029,Primary Repair Of Cleft Lip Or Palate,2,45677-00-00,PKG,37000,
DNT-0030,Secondary Repair Of Cleft Lip Or Palate,,83700-00-00,services,13216,
DNT-0031,Orbital Reconstruction,,359,services,20840,
DNT-0032,Orif - Mandibular Fracture  - Bilateral,3,47789-00-02,PKG,50000,
DNT-0033,Facial Bone Grafting & Reconstruction,3,45647-00-00,PKG,50000,
DNT-0034,Midface Osteotomy Le Fort  Ii,2,45753-00-00,PKG,50000,
DNT-0035,Reconstruction Of Maxillary Cleft - Unilateral,,366,services,28898,
DNT-0036,Mandibular Osteotomy,,322,services,23773,
DNT-0037,Excision Of Parotid Gland,3,30247-00-00,PKG,50000,
DNT-0038,Revision Of Cleft Lip Or Palate Repair,,83700-00-00,services,13216,
DNT-0039,Mandibular Condylectomy,,99999-99-91,services,13216,
DNT-0040,Excision Of Benign Tumor Mandible Or Maxillary Bone,4,45825-01-00,PKG,60000,
DNT-0042,Reconstruction Of Maxillary Cleft - Bilateral,2,52122-03-00,PKG,65000,
DNT-0043,Excision Of Malignant Tumour Mandible Or Maxillary Bone,4,30241-00-01,PKG,65000,
DNT-0044,Excision Of Huge Maxillary Cyst +Intranasal Antrostomy - 3 Days,3,45825-01-00,PKG,44000,
DNT-0045,Fronto-Basal Repair - 5 Days,5,90007-01-00,PKG,40000,
END-0004,Colposcopy With Biopsy,,35614-00-00,services,588,
ENT-0003,Excision of uvula - GA,,41810-01-00,PKG,3681.9089999999997,
ENT-0004,Nasal cautherization,,41677-00-00,PKG,1472.7636,
ENT-0005,Partial inf.turbinectomy (unilateral),,41689-00-00,PKG,1840.9544999999998,
ENT-0006,Suction clearance of the ear – A.O.M,,90111-00-01,PKG,1196.620425,
ENT-0007,Bil.Linear Caute Inferior Turbinate,,41674-00-00,PKG,1840.9544999999998,
ENT-0009,NASOPHARYNGOSCOPY WITH BIOPSY,(1day),41764-02-00,PKG,4143.975,
ENT-0011,Upper R.T. Endoscopy for biopsy,,30473-01-00,PKG,2209.1454,
ENT-0012,Excision Of Lumps From Head & Neck,,31235-01-10,PKG,2761.43175,
ENT-0014,AURAL POLYPECTOMY,,41506-00-01,PKG,3681.9089999999997,
ENT-0015,Removal of benign tumors of the vocal cords,,41864-00-00,PKG,4602.38625,
ENT-0017,S.M.D,,41671-00-00,PKG,1840.9544999999998,
ENT-0018,Drainage of abscess in neck,,30223-01-00,PKG,1840.9544999999998,
ENT-0021,Myringotomy and insertion of ear grommets- Unilateral,,41632-00-00,PKG,2269.1454,
ENT-0024,REMOVAL of Foreign body from oesophagus,,30478-10-00,PKG,2761.43175,
ENT-0026,S.M.R Submucus resection,,41671-01-00,PKG,4602.38625,
ENT-0029,Intra nasal antrostomy (bilateral),,41716-02-00,PKG,4602.38625,
ENT-0033,Cordopexy,,90160-00-00,PKG,6600,
ENT-0034,Functional Endoscopy Sinus Surgery Grade 1 (F.E.S.S.),,41764-01-00,PKG,6600,
ENT-0035,Laser Assited Uveloplatoplasty (LAUP),,41786-00-00,PKG,8580,
ENT-0036,Microscopic Laryngoscopy & biopsy OR Polypectomy,,41864-00-00,PKG,5522.8635,
ENT-0038,Functional Endoscopy Sinus Surgery Grade 2 (F.E.S.S.),,41764-01-00,PKG,8580,
ENT-0039,Functional Endoscopy Sinus Surgery Grade 3 (F.E.S.S.),,41716-01-00,PKG,9900,
ENT-0040,Correction of Deviated Nasal Septum,,41671-02-00,PKG,5522.8635,
ENT-0042,External frontal operation,,41746-00-00,PKG,11045.727,
ENT-0043,External ethmoid operation,,41749-00-00,PKG,11045.727,
ENT-0045,Operation on vocal cords e.g woodman,,41867-00-00,PKG,13807.15875,
ENT-0046,Arytenoidectomy,,41867-00-00,PKG,12886.6815,
ENT-0049,Foreign body removal from trachea,,41886-00-00,PKG,4602.38625,
ENT-0050,Turbinectomy Bilateral (2000 For Unilateral Turbinectomy) (1-2 Days).,2,41689-03-00,PKG,3461.535,
ENT-0054,ENDOSCOPIC TRANSPHENOIDAL HYPOPHYSECTOMY,(2 days),41752-03-00,PKG,41433.225,
ENT-0056,ENDOSCOPIC ASSISTED ADENOIDECTOMY 2 days,,41801-00-00,PKG,3036,
ENT-0058,PARTIAL EAR RECONSTRUCTION UNDER G/A,(2 days),41801-00-00,PKG,16000,
EXDER-0009,Erbium Small Area,,30190-00-10,services,1120,
EXDER-0010,Erbium Medium Area,,99999-99-99,services,3190,
EXDER-0011,Erbium Large Area,,99999-99-99,services,4245,
EXDER-0012,Erbium Extra Large Area,,90676-00-00,services,5295,
EXDER-0015,Vascular Laser - Large Area,,45027-02-00,services,2640,
EXENT-0024,Control Of Epistaxsis By Ant. & Post Pack (G.A),,83700-00-00,services,3770,
EXENT-0032,CONTROL OF GHE AFTER ADENOIDECTOMY OUTSIDE SGH (L.A.),,83700-00-00,services,709,
EXOBG-0012,LABIAL CYST EXCISION G.A.,,83700-00-00,services,714,
EXOBG-0016,C & S Skin,,73050-41-30,services,450,
EXURO-0016,POST-OP.REG.URETHRAL DLTN. FORURETHRAL STRUCTURE USING MTL G,,37303-00-00,services,670,
FM002-0049,Freckles Removal -1 Laser Session,,30190-00-10,services,500,
FM002-0050,Melasma Laser Treatment - 1 Session,,30190-00-10,services,500,
FM002-0051,Pink Lip - 1 Laser Session,,30190-00-10,services,500,
FM39099998,Medical Supervision-Nursery,,83610-02-70,services,158,
FMACUA0002,Acupuncture Therapy,,93173-00-00,services,507,
FMACUA0006,HYPNOSIS,,96103-00-00,services,335,
FMACUA0017,Acupuncture Therapy - 10 Sessions,,93173-00-00,services,2621,
FMACUA0018,Acupuncture Therapy -7 Sessions,,93173-00-00,services,2300,
FMACUA0019,Acupuncture Therapy -5 Sessions,,93173-00-00,services,1652,
FMACUA0020,Moxibustion / Stick,,99999-99-99,services,403,
FMACUA0021,CUPPING - AREA,,83600-01-90,services,236,
FMACUA0022,TRIGGER POINT STIMULATION,,93173-00-00,services,335,
FMACUA0023,Transnerve Stimulation,,96155-00-00,services,523,
FMACUA0024,Sleep Inducing Acupuncture,,93173-00-00,services,523,
FMACUA0025,ACUPUNCTURE MEDEL,,93173-00-00,services,80,
FMACUA0026,Acupuncture For Obescity,,93173-00-00,services,959,
FMACUA0028,DEPILATION H REMOVAL 30 MINS,,93173-00-00,services,556,
FMADM-0001,LOST PIN CARD,,83700-00-00,services,729,
FMADM-0015,WHEELCHAIR RENT/WK.(DEP SR 500,,83700-00-00,services,552,
FMADM-0016,CRUTCHES RENTAL - PER WEEK,,83700-00-00,services,175,
FMADM-0068,PMC + RADIOLOGY,,83700-00-00,services,7909,
FMADM-0069,PMC + RADIOLOGY + PATHOLOGY,,83700-00-00,services,9230,
FMADM-0540,DISPOSABLES OR MINOR,,99999-99-99,services,        420,
FMADM-0541,DISPOSABLES OR MEDIUM,,99999-99-99,services,        525,
FMADM-0542,DISPOSABLES OR MAJOR,,99999-99-99,services,        788,
FMADM-0543,ISOLATION DISPOSABLES PER DAY,,99999-99-99,services,        420,
FMADM-0544,DISPOSABLES  NICU,,99999-99-99,services,        315,
FMADM-0545,DISPOSABLES I.C.U.,,99999-99-99,services,        315,
FMADM-0546,DISPOSABLES WARD,,99999-99-99,services,        165,
FMADM-1005,Home Visit Fee,,83620-00-00,services,530,
FMADM-1011,24-hour Security Escort/ Companion For Patients With Psychaitric Needs,,83610-04-50,services,1000,
FMADM-9910,TRANSITIONAL I.C.U.,,99999-99-99,ACCOMMODATION,324.42,
FMADM-9915,Class Difference ( From Second To First ),,83610-01-10,services,504,
FMADM-9918,ROOM DIFFERENT. FROM 2NT TO ROYALSUITE,,83610-01-80,services,3657.915,
FMADM-9920,ESCORT ACCOMODATION,,83610-04-50,services,487.71,
FMANA-0005,C.P.R. 3RD FORTHE DAY,,92052-00-00,services,1050,
FMANA-0007,PERICARDIAL TAP,,38359-00-00,services,1559,
FMANA-0008,AXILLARY PLEXUS - ANESTHESIA,,18254-00-01,services,793,
FMANA-0009,BRACHIAL PLEXUS - ANESTHESIA,,18254-00-01,services,793,
FMANA-0010,Spinal Anesthesia,,99999-99-99,services,227,
FMANA-0013,EPIDURAL ANALGESIA (LABOUR -  PAIN RELIEF),,92506-99-00,services,2063,
FMANA-0014,Oxygen (O2) Per Hour,,83700-00-00,services,121,
FMANA-0015,NITROUS OXIDE (N2O/30 MINS),,92044-00-00,services,168,
FMANA-0016,ENFLURANE (ETHRANE) PER CC,,83700-00-00,services,53,
FMANA-0020,ARTIFICIAL VENTILATION / HOUR,,83700-00-00,services,289,
FMANA-0022,SUPRA-PUBIC CATHETERIZATION,,37011-00-00,services,793,
FMANA-0024,SWAN GAUZE CATHETER (PULMONARY CATHETER),,92058-01-00,services,3838,
FMANA-0025,EXTERNAL CARDIAC PACING,,99999-99-99,services,5114,
FMANA-0029,Icu Daily Rate,,92519-10-00,services,2361.7575,
FMANA-0031,Mask Ganaesthesia,,99999-99-99,services,560.6415,
FMANA-0032,Local Anaesthesia Assistant/Hr,,92514-10-00,services,240,
FMANA-0033,HALOTHANE PER CC,,92514-99-00,services,61,
FMANA-0036,I.V. REGIONAL ANAESTHESIA,,92519-99-00,services,501.644,
FMANA-0037,FORANE INHALATION PER CC,,83700-00-00,services,79,
FMANA-0038,PULSE OXIMETER MONITOR  (OXYGEN MONITORING),,73050-14-60,services,110,
FMANA-0039,LUMBAR SYMPATHETIC BLOCK,,18296-00-00,CST,12716,
FMANA-0042,MODERATE RISK ANESTHESIA,,92500-00-00,services,1307,
FMANA-0043,High Risk Anesthesia,,83670-00-60,services,2588,
FMANA-0046,NORMOCAP 200 PER HOUR,,83700-00-00,services,179,
FMANA-0047,NORMOCAP 200 PER 30 MINUTES,,83700-00-00,services,110,
FMANA-0049,CELL SAVER MACHINE,,83700-00-00,services,1307,
FMANA-0051,CAPNOGRAPH II PER 30 MINUTES,,11503-11-00,services,289,
FMANA-0052,NITROUS OXIDE-FULL TANK,,83700-00-00,services,1181,
FMANA-0053,NITROUS OXIDE - 3/4 TANK,,83700-00-00,services,903,
FMANA-0054,Nitrous Oxide - 1/2 Tank,,92210-00-00,services,456,
FMANA-0055,NITROUS OXIDE - 1/4 TANK,,83700-00-00,services,352,
FMANA-0056,BICORE MONITORING/DAY (PULM.),,11600-01-00,services,1307,
FMANA-0058,SEVOFURANE PER ML.,,99999-99-99,services,74,
FMANA-0060,INTER SCALAENE BLOCK,,92514-99-00,services,3082,
FMANA-0061,SUPRA CLAVICULAR BLOCK,,83700-00-00,services,2588,
FMANA-0062,Use Of Zeus Monitoring,,92056-00-00,services,187,
FMANA-0067,Peripheral Nerve Block Procedure Ultrasound Guided,,83700-00-00,services,824,
FMANA-0069,Patient Controlled Analegesia ,,18286-02-01,services,1100,
FMANA-0070,Postoperative Pain Management,,18286-02-01,services,1100,
FMANA-0071,"I.V Medication Under Monitoring For Chronic Pain Management (Neuropathic Pain ,Headache ,Fibromyalgia ....)",,18286-02-01,services,1100,
FMANA-0234,C.P.R. 2ND FOR THE DAY,,92052-00-00,services,1559,
FMANA-0235,C.P.R. 1ST FOR THE DAY,,92052-00-00,services,2588,
FMANA-9902,Anaesthetic Doctor,,83670-00-60,services,452,
FMANA-9917,Anasthesia In Mri In The Mri Room,,92515-99-00,services,1157,
FMANAP0018,Arterial Line,,34524-00-00,services,793,
FMANAP0050,I.V. Sedation,,92519-90-00,services,349,
FMANAPC001,EPIDURAL BLOCK,,92508-99-00,services,1855,
FMANAPC002,STELLATE BLOCK,,92509-99-00,services,3644,
FMANAPC007,ELECTRICAL,,83700-00-00,services,7355,
FMANAPC008,PRESS NEEDLE FOR OBESITY,,83700-00-00,services,233,
FMBED-00025,Stroke Unit - Accommodation,,83610-03-80,services,1900,
FMC1618,SET FOR FEEDING PUMP,,99999-99-99,CST,178,
FMCAR-0002,Ecg -Cardiology,,11713-00-00,services,150,
FMCAR-0003,Ecg With Ergometry,,11700-00-00,services,1593,
FMCAR-0004,Echo Cardiogram (2D + M Mode ),,55113-00-00,services,1346,
FMCAR-0005,Echo Cardiogram 2D + M Mode + Doppler (Full Study),,55113-00-00,services,1782,
FMCAR-0006,24 Hours Ecg Monitoring (Holter ),,11709-00-00,services,1100,
FMCAR-0007,Treadmill Exercise Stress Ecg,,11712-00-00,services,1100,
FMCAR-0010,Venous Duplex,,90911-00-00,services,493,
FMCAR-0011,SURFACE PACEMAKER(NON-INVASIVE,,38353-00-00,services,3351,
FMCAR-0013,Pericardiocentsis,,38359-00-00,services,4690,
FMCAR-0018,Portable Echo Screening,,55113-00-00,services,1329,
FMCAR-0020,24 Hours Ambulatory Bp Monitoring,,92001-00-10,services,774,
FMCAR-0021,48 HOURS AMBULATORY BP MONITORING,,11708-00-00,services,1329,
FMCAR-0023,Thallium W/O Exercise (Cardiology ),,61458-00-00,services,4550,
FMCAR-0024,Thallium W/Pharmacological Stress (Cardio),,11712-00-00,PKG,2761.43175,
FMCAR-0025,Ppm Interrogation,,11718-00-00,services,428,
FMCAR-0026,PROCEDURE CD COPY,,83700-00-00,services,37,
FMCAR-0100,Tilt Table Test (Ttt),,83700-00-00,services,2470,
FMCAR-0550,PULMONARY ARTERY BAND,,38715-00-00,PKG,75000,
FMCAR-0551,GLENN SHUNT,,61320-00-00,PKG,95000,
FMCAR-0553,COARCTATION REPAIR,,38488-03-00,services,18141,
FMCAR-0554,TGA REPAIR,,61320-00-00,PKG,130000,
FMCAR-0555,Double Outlet Right Ventricle (DORV) REPAIR,,90223-01-00,PKG,100000,
FMCAR-0556,Total anomalous pulmonary venous drainage repair (TAPVD) REPAIR,,90223-01-00,PKG,95000,
FMCAR-0557,CHEST CLOSURE,,90223-01-00,PKG,20000,
FMCAR-0558,Atrioventricular Canal (AVC) REPAIR ,,90223-01-00,PKG,100000,
FMCAR-0559,BALLON ANGIOPLASTY  FOR CRITICAL COARCTATION OF AORTIA ,,38300-01-00,PKG,48000,
FMCAR-0560,BALLON ANGIOOPLASTY  FOR PERIPHERAL PULMONARY STENOSIS ,,38300-01-00,PKG,28000,
FMCAR-0561,COARCTATION OF AORTIA STENTING ,,90223-01-00,PKG,45000,
FMCAR-0562,PERIPHERAL PULMONARY STENOSIS STENTING ,,90223-01-00,PKG,40000,
FMCAR-0563,BALLOON ARTERIALSEPTOSTOMY ,,38739-00-00,PKG,28000,
FMCAR-0564,MULTIPLE AORTIC COLLATERAL OCCLUSION,,38700-03-00,PKG,30000,
FMCAR-0565,VENOUS COLLATERAL OCCCLUSION,,38700-03-00,PKG,34000,
FMCAR-0566,PULMONARY ATERIOVENOUS FISTULA OCCLUSION ,,90223-01-00,PKG,58000,
FMCAR-0567,FONTAN STENTING ,,90223-01-00,PKG,52000,
FMCAR-0568,ARTEREIOVENOUS FISTULA OCCLUSION ,,90223-01-00,PKG,50000,
FMCAR-0569,ADDITIONAL BALLOON,,90223-01-00,PKG,5000,
FMCAR-0570,ADDITIONAL STENT,,90223-01-00,services,12500,
FMCAR-0571,ADDITIONAL OCCLUDER ASD,,90223-01-00,PKG,22000,
FMCAR-0572,ADDITIONAL PDA DEVICE ,,90223-01-00,PKG,16000,
FMCAR-0573,EXTRA DRAG ADMISSION ARD /DAY ,,90223-01-00,services,1000,
FMCAR-0574,TETRALOGY OF FALLOT REPAIR ,,90223-01-00,PKG,95000,
FMCAR-0575,VSD REPAIR ,,90223-01-00,PKG,95000,
FMCAR-0576,BALLON ANGIOOPLASTY  FOR NON CRITICAL COARCTATION OF AORTIA ,,90223-01-00,PKG,30000,
FMCAR-0577,BALLON VALVULOPLASTY  FOR CRITICAL AORTIC STENOSIS ,,90223-01-00,PKG,48000,
FMCAR-0578,VSD DEVICE,,90223-01-00,PKG,60000,
FMCAR-0579,FOREIGN BODY REMOVAL FROM THE HEARTOR LUNG OR BLOOD VESSELS ,,90223-01-00,PKG,36000,
FMCAR-0580,ASD REPAIR,,90223-01-00,PKG,75000,
FMCAR-1000,Day Care Supervision,,83610-00-30,services,359,
FMCAR-1002,Reprograming Of Permanet Pacemaker,1,90203-05-00,PKG,6798.33,
FMCAR-1008,Programing Of Ppm (Crt - Ddd - Icd),,90203-05-00,services,600,
FMCAR-1009,Programing Of Ppm Vvi,,90203-05-00,services,500,
fmcar-1010,Hemodynamic Monitoring,,61417-00-00,services,1800,
FMCAR-2900,Cabg & Tissue Aortic Valve Replacement,7,38497-04-00,PKG,61850,
FMCAR-2901,Cabg & Mechanical Aortic Valve,7,38497-04-00,PKG,67850,
FMCAR-2902,Cabg & Tissue Mitral Valve,7,38497-04-00,PKG,64850,
FMCAR-2903,Cabg & Mechanical Mitral Valve,7,38497-04-00,PKG,68850,
FMCAR-3000,Coronary Bypass (Cabg),7,38497-04-00,PKG,45706.89375,
FMCAR-3002,Insertion of  Cardiac Resynchronisation Therapy-Defibrillator  (CRT-D) with Implant,5,38393-00-00,PKG,120000,
FMCAR-3003,Thoracic Endovascular Aortic Repair Without Implant(Tevar),5,38562-03-00,PKG,60000,
FMCAR-3004,Unilateral Endovenous Adhesive Ablation + Venseal Device,1,32520-00-00,PKG,23000,
FMCAR-3005,Cabg & Double Tissue Valve,7,38497-04-00,PKG,83850,
FMCAR-3006,Cabg & Double Mechanical Valve,7,38497-04-00,PKG,88850,
FMCAR-3007,CABG & Mitral Valve Repair (No Ring),,90201-00-00,PKG,44000,
FMCAR-3008,Cabg & Mitral Valve Repair (With Ring),7,38497-04-00,PKG,61850,
FMCAR-3009,Aortic Mechanical Valve,7 for the CABG  operation ,38488-00-00,PKG,62850,
FMCAR-3010,Aortic Tissue Valve,7 for the CABG  operation ,38489-01-00,PKG,59850,
FMCAR-3011,Mitral Mechanical Valve,7 for the CABG  operation ,38488-02-00,PKG,62850,
FMCAR-3012,Mitral Tissue Valve,7 for the CABG  operation,38489-02-00,PKG,59850,
FMCAR-3013,Double Mechanical Valve,7 for the CABG  operation,38653-06-00,PKG,85850,
FMCAR-3014,Double Tissue Valve,7 for the CABG  operation,38653-06-00,PKG,74850,
FMCAR-3015,Mitral Valve Repair (No Ring),7 for the CABG  operation,38475-00-00,PKG,49850,
FMCAR-3016,Mitral Valve Repair (With Ring),7 for the CABG  operation,38477-00-00,PKG,49850,
FMCAR-3017,Mitral & Tricuspid Valve Repair (No Ring),7 for the CABG  operation,34818-00-01,PKG,49850,
FMCAR-3018,Mitral & Tricuspid Valve Repair (With Ring),7 for the CABG  operation,34818-00-01,PKG,54850,
FMCAR-3019,Ring Each,(1day),90223-01-00,PKG,4150,
FMCAR-3020,Ligation Patent Ductus (Pediatric),2,38700-01-00,PKG,15850,
FMCAR-3021,Ligation Patent Ductus (Adult),,38700-01-00,PKG,27614.3175,
FMCAR-3022,Blalock - Taussing Shunt,2,38733-00-00,PKG,18850,
FMCAR-3023,"Simple Open Congenital A.S.D., V.S.V And P.V.",2,38715-02-00,PKG,41850,
FMCAR-3024,Mitral Balloon Valvuloplasty,2,38485-01-00,PKG,54850,
FMCAR-3025,"Bypass, In-Situ, Femoro-Tibial Artery",,32745-00-00,PKG,41619.09,
FMCAR-3026,"Pulmonary Balloon Valvuloplasty Consumable (Catheter, Balloon, Wires, Sheath) 3000Sr",2,38270-03-00,PKG,25000,
FMCAR-3027,"Radiofrequency Pulmonary Valve Perforation Consumable (Hotwire, Cautery Cable, Nykaneing Catheter, Rent Of Baylis Machine)",2,38456-18-00,PKG,150000,
FMCAR-3028,Balloon Atrial Septostomy Consumable (Rashkined Or Z5 Balloon) 2000Sr,2,38270-00-00,PKG,20000,
FMCAR-3029,"Pulmonary Artery Dilatation W/Without Stenting (Excluding Stent Cost) Consumable (Catheter, Wire, Sheath, Balloon) 3500Sr",1,38270-03-00,PKG,30000,
FMCAR-3030,"Rvot Stenting (Ventricular Outflow Tract) Consumable (Sheath, Wire, Catheter, Balloon And Stent)",3,34824-00-00,PKG,45000,
FMCAR-3031,"Laa Device Closure (Left Atrial Appendage) Consumable (Sheath, Wire, Catheter, Long Sheath And Device)",2,96219-00-00,PKG,70000,
FMCAR-3032,"Asd Device Closure (Atrial Septal Defect) Consumable (Sheath, Wire, Catheter, Long Sheath And Device)",1,38742-00-00,PKG,140000,
FMCAR-3033,"Pda Device Closure (Patent Ductus Arteriosus) Consumable (Sheath, Wire, Catheter, Long Sheath And Device)",1,38700-00-00,PKG,30000,
FMCAR-3034,"Pda Coil Closure (Patent Ductus Arteriosus) Consumable (Sheath, Wire, Catheter And Coil)",1,38700-00-00,PKG,20000,
FMCAR-3035,"Vsd Device Closure (Ventricular Septal Defect) Consumable (Sheath, Wire, Catheter, Long Sheath And Device)",,38751-02-00,PKG,40000,
FMCAR-3036,"Pda Stenting (Patent Ductus Arteriosus) Consumable (Sheath, Wire, Catheter, Delivery Catheter And Stent)",1,38700-00-00,PKG,40000,
FMCAR-3037,"Melody Valve Implantation Consumable (Sheath, Wire, Catheter, Long Sheath And Valve)",2,38490-00-00,PKG,140000,
FMCAR-3038,Catheterization Left Heart ( Day Case ),,38203-00-00,services,4092,
FMCAR-3039,Catheterization Left Heart + Graft ( Day Case ),DAY CASE,38203-00-00,PKG,11500,
FMCAR-3040,Catheterization Right + Left Heart ( Day Case ),DAY CASE,38200-00-00,PKG,13000,
FMCAR-3041,Catheterization Right Heart ( Day Case ),DAY CASE,38200-00-00,PKG,7400,
FMCAR-3042,Catheterization Right Heart With Shunt ( Day Case ),DAY CASE,38200-00-00,PKG,8600,
FMCAR-3043,Temporary Pacemaker ( Day Case ),,38256-01-00,services,5236,
FMCAR-3044,"Ptca (Percutaneous Transluminal Coronary Angioplasty) – Sv ,(One Day Ccu + One Day Ward)",,38306-00-00,PKG,20640,
FMCAR-3045,"Ptca (Percutaneous Transluminal Coronary Angioplasty) – Dv , (One Day Ccu + One Day Ward)",,38303-00-00,PKG,25440,
FMCAR-3046,Ptca (Percutaneous Transluminal Coronary Agioplasty) – Sv + Stent ,,38306-00-00,PKG,29640,
FMCAR-3047,"Ptca (Percutaneous Transluminal Coronary Angioplasty) – Sv + 2 Stent ,  (One Day Ccu + Three Days Ward)",,38306-01-00,PKG,38640,
FMCAR-3048,"Ptca (Percutaneous Transluminal Coronary Angioplasty) – Sv + 3 Stent , (Price Is Without Stent) (One Day Ccu + Four Days Ward)",5,35307-01-00,PKG,48000,
FMCAR-3049,"Ptca (Percutaneous Transluminal Coronary Angioplasty) – Dv + Stent ,  (One Day Ccu + Three Days Ward)",,38303-00-00,PKG,34440,
FMCAR-3050,"Ptca (Percutaneous Transluminal Coronary Angioplasty) – Dv + 2 Stent ,  (One Day Ccu + Three Days Ward)",,38306-02-00,PKG,43440,
FMCAR-3051,"Ptca (Percutaneous Transluminal Coronary Angioplasty) – Dv + 3 Stent , (One Day Ccu + Three Days Ward)",,38306-02-00,PKG,52440,
FMCAR-3052,"Ptca (Percutaneous Transluminal Coronary Angioplasty) – Tv + Stent , (Price Is Without Stent) (One Day Ccu + Three Days Ward)",4,35309-06-00,PKG,52000,
FMCAR-3053,"Ptca (Percutaneous Transluminal Coronary Angioplasty) – Tv + 2 Stent , (Price Is Without Stent) (One Day Ccu + Three Days Ward)",4,35309-07-00,PKG,57000,
FMCAR-3054,"Ptca (Percutaneous Transluminal Coronary Angioplasty) – Tv + 3 Stent , (Price Is Without Stent) (One Day Ccu + Three Days Ward)",4,35309-07-00,PKG,63000,
FMCAR-3055,Bypass Operation,1,90201-00-00,PKG,58000,
FMCAR-3056,Intra Aortic Baloon Insertion,,38609-00-00,PKG,7281.909,
