Department,3,DESC,LOS,Type,NPHIES Code (Hyphenated )2,Riyadh,Discount,Riyadh.1
consumable,17538,MASK LARYNGEAL SIZE 4 DISPOSABLE #321400000,0,consumable,45036,126.132,0.03,
consumable,17539,MASK LARYNGEAL SZ 3 CHILD 30-50KG DISP. #100/220/300,0,consumable,99999,110.4,0.03,
consumable,17556,CATHETER DOUBLE LUMEN CVC 7FR 20CM #ZKDND7F/20,0,consumable,99999,276,0.03,
consumable,17571,ADMISSION KIT BLUE F/MALE PATIENT,0,consumable,33961,22.08,0.03,
consumable,17592,CABLE PACING TEMPORARY MYOCARDIAL LEAD #TME66Z/45041-02,0,consumable,99999,1328.25,0.03,
consumable,17601,SYRINGE 50/60ML CATHETER TIP STERILE #9664,0,consumable,64940,5.52,0.03,
consumable,17605,GELFOAM SPONGE STERILE 12-7MM NDC #0009-0315-02,0,consumable,48170,276,0.03,
consumable,17609,PLATE LOCKING HUMERUS LATERAL DISTAL 2.7/3.5TYP II 3 holes?65mm LL # A71770306,0,consumable,61573,3000.517,0.03,
consumable,17634,MASK FACE SURGEON BLUE TIE ON,0,consumable,35177,0.345,0.03,
consumable,17644,DIAPER INFANT MEDIUM (5 -9 KG),0,consumable,99999,3.6984,0.03,
consumable,17670,INFLATION DEVICE KIT #1003326/91600012/AC2205P,0,consumable,47489,552,0.03,
consumable,17686,ID BAND ADULT #JM-B3403,0,consumable,99999,0.9246,0.03,
consumable,17762,NEBULIZER MISTY PEDIATRIC #64095/1484/8906,0,consumable,31309,17.5398,0.03,
consumable,17763,SPONGE LAP PREWASHED 45x45CM 12PLY X-RAY DETECTABLE STERILE,0,consumable,13692,17.93138,0.03,
consumable,17765,BANDAGE COTTON GAUZE 10CMx4M,0,consumable,47011,11.04,0.03,
consumable,17786,STENT CORONARY DRUG ELUTED 3.5 X 22 MM #  MEDTRONIC /RSINT35022X,0,consumable,56285,8607.06,0.03,
consumable,17791,STENT CORONARY DRUG ELUTED 2.5 X12MM  # ENSP25012X MEDTRONIC,0,consumable,56285,10758.83,0.03,
consumable,17796,STENT CORONARY DRUG ELUTED 2.25X20MM TAXUS#(H749389402022,0,consumable,56285,8607.06,0.03,
consumable,17808,SOLUTION ALPHADINE 10% POV. ODINES,0,consumable,13913,657.4838,0.03,
consumable,17856,SCREW CORTICAL TITANIUM 3.5X40MM IRINE#T50003540,0,consumable,56642,53.79413,0.03,
consumable,18101,CATHETER FOLEY BALLOON 2WAY 16FR 30ML SILICONE.,0,consumable,32031,51.3498,0.03,
consumable,18130,CATHETEREMBOLECTOMY4CH80CMRUSCH#337000/300480/54148,0,consumable,58174,1526.887,0.03,
consumable,18136,DRESSING SURGICAL 9x15CM MOLNLYCKE #67100/072590,0,consumable,64853,4.347,0.03,
consumable,18137,BANDAGE ELASTIC 10CMx5YDS LENKELAST,0,consumable,10284,11.04,0.03,
consumable,18175,SUCTION TUBE 270/260CM BOTH SIDES W/CONNECTOR,0,consumable,34923,22.08,0.03,
consumable,18206,STENT CORONARY DRUG SIROLIMUS ELUTING ORSIRO 2.75X35 BIOTRONIK #391236,0,consumable,58760,10328.47,0.03,
consumable,18210,DRESSING SURGICAL 9x20CM MOLNLYCKE #30513/671100,0,consumable,64853,5.796,0.03,
consumable,18268,SCREW LOCKING 2.7?14MM SELF TAPPING IRENE #T50092714,0,consumable,56642,322.2268,0.03,
consumable,18351,BLOOD ADMINISTRATION SET #JM-S2422/TB-A200B,0,consumable,38569,11.04,0.03,
consumable,18358,DRESSING SURGICAL 6x7CM MOLNLYCKE #30510/670800,0,consumable,64853,1.1592,0.03,
consumable,18386,STENT CORONARY DRUG SIROLIMUS ELUTING ORSIRO 2.25X26 BIOTRONIK # 264489,0,consumable,99999,8893.962,0.03,
consumable,18459,DIAPER INFANT SMALL (3-6 KG),0,consumable,35008,3.3534,0.03,
consumable,18462,BANDAGE ELASTIC 15CMx5YDS LENKELAST,0,consumable,34864,11.9922,0.03,
consumable,18473,BANDAGE DELTA ROLL 10CMx2.75M #51693,0,consumable,58963,11.04,0.03,
consumable,18474,BANDAGE DELTA ROLL 15CMx2.75M #51694,0,consumable,58963,11.04,0.03,
consumable,18495,DIAPERS ADULT SIZE LARGE,0,consumable,11239,5.52,0.03,
consumable,18498,STOCKING ANTI-EMBOLISM THIGH LARGE LENGTH 31-36CM,0,consumable,30878,55.2,0.03,
consumable,18499,WOUND DRAINAGE 14CH MEDINORM #50-11-505/50-22-505E,0,consumable,11305,55.2,0.03,
consumable,18501,URINAL MALE PLASTIC DISPOSABLE #JM-U3015/13554-0030,0,consumable,40955,16.56,0.03,
consumable,18502,BEDPAN PLASTIC DISPOSABLE,0,consumable,10335,16.56,0.03,
consumable,18503,URINE METER/UREOFIX 500 #441500/0/40-0010/M06450,0,consumable,32072,49.68,0.03,
consumable,18511,BANDAGE POP GYPSONA 15x270CM,0,consumable,99999,26.0544,0.03,
consumable,18515,BAG URINE DRAINAGE 2000ML NON STERILE,0,consumable,58917,7.2036,0.03,
consumable,18537,BAG COLOSTOMY W/GUM 38-63MM DRAINABLE UNIDRESS #62446/8900/22771/3630.,0,consumable,37716,46.23,0.03,
consumable,18541,DRAPE TOWEL SURGICAL 50x75CM STERILE #706300,0,consumable,62934,11.04,0.03,
consumable,18548,SODIUM CHLORIDE 0.9% F/IRRIGATION 2000ML.,0,consumable,64871,95.151,0.03,
consumable,18561,SODIUM CHLORIDE 0.9% F/IRRIGATION 1000ML W/SCREW CAP.,0,consumable,64871,20.286,0.03,
consumable,18570,DRESSING IV CANNULA FIXATION 6x7/7x9CM #1623W/4923/691505,0,consumable,58300,2.3736,0.03,
consumable,18573,"STENT URETERAL JJ BIOSOFT 6 FR X 26 CM ,COLOPLAST # BCAA64",0,consumable,47035,1690.673,0.03,
consumable,18579,GOWN SURGEON XXL BARRIER #JM-G2070/580/2652,0,consumable,35091,16.56,0.03,
consumable,18584,"DRAPE STERILE 48x118"""" F/ZEISS OPMI MD #326071-0000/326070/4862UK",0,consumable,62934,634.317,0.03,
consumable,18616,TUBE FEEDING 8FRx50CM #JM-C2558,0,consumable,99999,1.9872,0.03,
consumable,18629,SCREW ROUND DELTA TAPERED INTERFERENCE 10x28MM ARTHREX # AR-5028P-10,0,consumable,56642,3227.648,0.03,
consumable,18663,SUTURE ANCHOR 5.5x14.7MM CORK SCREW ARTHREX #AR-1927BCF,0,consumable,99999,3108.105,0.03,
consumable,18667,CATHETER THORACIC W/TROCAR 32CH 40CM,0,consumable,99999,55.2,0.03,
consumable,18668,CATHETER TROCAR CHESTDRAIN 28CH 40CM ARGYLE #8888-561068/211-28,0,consumable,99999,55.2,0.03,
consumable,18677,"CATHETER SUCTION 12CHx22"""" W/CONTROL",0,consumable,10749,1.9596,0.03,
consumable,18678,CATHETER SUCTION 10CHx53CM W/CONTROL,0,consumable,10749,2.2356,0.03,
consumable,18691,UNDERPAD BLUE 60X80CM DISP.,0,consumable,61850,4.30353,0.03,
consumable,18699,COTTON ROLL 500GM,0,consumable,58232,59.77125,0.03,
consumable,18704,BAG FILTRATE 10LTR #5029011 FMC,0,consumable,58868,239.085,0.03,
consumable,18714,CANNULA IV VENFLON 24G W/O PORT,0,consumable,64574,7.3002,0.03,
consumable,18725,"SPONGE LAP PREWASHED DETECTABLE RING 18X18""X4-PLY STER #6022",0,consumable,99999,17.39343,0.03,
consumable,18727,SYRINGE 10ML W/O NEEDLE STERILE #SS*10L/9604,0,consumable,64940,1.2696,0.03,
consumable,18729,SYRINGE 3ML W/O NEEDLE STERILE #SS*03L/9586,0,consumable,64940,0.7314,0.03,
consumable,18732,SYRINGE 50/60ML W/O NEEDLE STERILE #SS*50LZ/9663,0,consumable,64940,18.1608,0.03,
consumable,18736,MASK OXYGEN N/REBREATHER ADULT SALTER LAB #8130/1102/64060,0,consumable,57813,16.56,0.03,
consumable,18737,SYRINGE 20ML W/O NEEDLE STERILE #SS*20L,0,consumable,64940,1.9044,0.03,
consumable,18738,INFUSIONSETINTRAFIXDISPOSABLEB/BRAUN,0,consumable,99999,4.3608,0.03,
consumable,18740,"CATHETER SUCTION 14CHx22"""" W/CONTROL",0,consumable,10749,1.9044,0.03,
consumable,18747,TUBING PERFUSOR MACHINE B.BRAUN #,0,consumable,99999,22.08,0.03,
consumable,18750,SYRINGE TUBERCULIN 1ML 25-29G TERUMO #SS+01T2516,0,consumable,32592,0.7452,0.03,
consumable,18792,CARTRIDGE ACT MEDTRONIC/HEMOCHRON #402-03/JACT+.,0,consumable,45792,46.368,0.03,
consumable,18814,SCREW LOCKING 3.5 X 30MM CHM # 3.5200.030,0,consumable,99999,986.2256,0.03,
consumable,18817,ELECTRODE ECG PREGELLED ADULT STERILE #T716/JM-MDF400/2222,0,consumable,35035,1.2144,0.03,
consumable,18819,SUTURE ANCHOR BIO COMPOSITE 4.5X14MM ARTHREX # AR-1927BCF-45,0,consumable,65038,4781.7,0.03,
consumable,18822,MASK OXYGEN ADULT W/NEBULIZER SALTER LABS #8924/1483,0,consumable,35171,11.04,0.03,
consumable,18823,MASK OXYGEN W/CONNECTOR ADULT #JM-Y1003M,0,consumable,57813,19.7616,0.03,
consumable,18835,"SCREW LOCKING NAIL 5X35MM, CHM # 3.5159.035",0,consumable,47875,2561.625,0.03,
consumable,18837,TRANSDUCER SINGLE KIT DISPOSABLE BD #682002.,0,consumable,45275,367.3698,0.03,
consumable,18841,"WIRE GUIDE 0.35x150/145CM ""J"" TIP #007042/SCH38025",0,consumable,99999,165.6,0.03,
consumable,18844,TUBING RESPIRATORY SYSTEM INTERSURGICAL #2010/70156/1780/7,0,consumable,37704,138.7452,0.03,
consumable,18846,CATHETER MOUNT ELBOW 7.6MM/15FR W/PORT #3520/3508/03861316/440001000,0,consumable,99999,22.08,0.03,
consumable,18856,CATHETER EMBOLECTOMY 3CH 80CM RUSCH #337000/54138/300380,0,consumable,58174,1526.887,0.03,
consumable,18859,TUBE FEEDING 6FRx48CM #JM-C2556,0,consumable,14221,1.9872,0.03,
consumable,18875,"TAPE DURAPORE DERMICEL 2""X10YDS 3M #1538-2/HART#900 426 1",0,consumable,34831,46.05903,0.03,
consumable,18902,UNDERPAD BLUE 60x90CM DISPOSABLE,0,consumable,61850,3.5466,0.03,
consumable,18912,"SPONGELAPPREWASHED18x18""4-PLYSTERILEX-RAYDETECTABLERING",0,consumable,99999,7.1622,0.03,
consumable,18994,"TROCAR K-WIRE TIP 1X250MM, CHM # 311025",0,consumable,35685,179.3138,0.03,
consumable,19031,VALVE MITRAL TISSUE MOSAIC CINCH 31MM MEDTRONIC# 310C31,0,consumable,99999,38424.38,0.03,
consumable,19038,WIRE GUIDE COUGAR XT 0.014X190CM J TIP,0,consumable,35094,1494.281,0.03,
consumable,19057,WIRE KIRSCHNER 2.0X300MM IRINE #E06032,0,consumable,35685,60.5464,0.03,
consumable,19092,CATHETER INTRA AORTIC BALLOON 7.5/8FR 40CC DATASCOPE #0684-00-0480-01/IAB-04840U.,0,consumable,99999,5739.034,0.03,
consumable,19138,DIAPER INFANT 1/SMALL BOY (3-6 KG),0,consumable,35008,2.511801,0.03,
consumable,19142,BANDAGE ELASTIC LENKELAST 10CM #50414462/19462,0,consumable,99999,11.25733,0.03,
consumable,19144,BANDAGE ELASTIC LENKELAST 15CM #50419464,0,consumable,99999,20.02337,0.03,
consumable,19159,BANDAGE DELTA ROLL ORTHO UNDERCAST 15CMX2.75M HARTMANN #9320501,0,consumable,58963,15.24594,0.03,
consumable,19192,SUTURE MERSILK 0  75CM CURVD 30MM ETHICON #W334H/D&G 1123-61,0,consumable,34601,35.86275,0.03,
consumable,19194,SUTURE SILK 2-0 ETHICON #W667H/CE3732,0,consumable,99999,41.83988,0.03,
consumable,19229,"TAPE DURAPORE DERMICEL 3""X10YDS DAMAD #876058/4/ 3M#1538-3",0,consumable,16866,147.6682,0.03,
consumable,19234,SUTURE PROLENE 3/0 ETHICON #W621/D&G 3490-41,0,consumable,99999,72.90598,0.03,
consumable,19248,MESH PROLENE 30X30CM 1 ETHICON #PML1,0,consumable,99999,1690.673,0.03,
consumable,19273,SET ADMN DOSIFIX PEDIA 150ML SPAIN #403701/4 /DFP-87-F,0,consumable,47534,28.39134,0.03,
consumable,19279,"CATHETER SUCTION 16CHX22"" W/CONTROL BD #02-3069",0,consumable,16779,2.988563,0.03,
consumable,19281,AIRWAY GUEDEL SIZE 02 ADULT GREEN 70MM STER.DISP.#1-1504-70,0,consumable,42424,11.35654,0.03,
consumable,19303,TUBE STOMACH CH16 W/MANDRIN #15-5712/ST-2416,0,consumable,59038,14.94281,0.03,
consumable,19324,MASK OXYGEN PEDIA.W/1.8MTR TUBING/JM-Y1002M/INTER#1196/1043,0,consumable,35173,10.75883,0.03,
consumable,19362,PROLENE MESH SIZE 15X15CM,0,consumable,99999,838.3788,0.03,
consumable,19371,SUTURE SILK 0 ETHICON #W782H,0,consumable,99999,35.86275,0.03,
consumable,19429,CLOTH WHITE F/WRAPPING DEAD BODIES 100% COTTON 150CMX20YDS,0,consumable,14077,8.2386,0.03,
consumable,19434,SUTURE MONOCRYL PLUS 4/0 LENGTH 45CM. W/NDL ETHICON # MCP496H,0,consumable,99999,107.5883,0.03,
consumable,19442,"SWAB GAUZE 4""x4"" 8PLY PLAIN NON-STERILE",0,consumable,33722,0.207,0.03,
consumable,19489,URINAL MALE PLASTIC DISP. BAXTER #13554-0030/JM-U3015,0,consumable,99999,23.9085,0.03,
consumable,19495,COVER STERILE F/CAMERA 13X250CM KARL STORZ #538X/31401,0,consumable,17977,86.19163,0.03,
consumable,19609,SHROUD KIT ADULT DISP,0,consumable,99999,358.6275,0.03,
consumable,19626,GOWN SURGICAL LARGE STERILE DISPOSIBLE # 3M-7692,0,consumable,99999,50.80556,0.03,
consumable,19627,GOWN SURGEON X-LARGE STERILE,0,consumable,99999,49.99968,0.03,
consumable,19632,GOWN SURGEON XXL/XL BARRIER.,0,consumable,99999,47.817,0.03,
consumable,19659,SODIUM CHLORIDE 0.9% 1000ML WITH SCREW CAP FOR IRRIGATION.,0,consumable,99999,45.50584,0.03,
consumable,19664,GLYCINE 1.5% SOL. IRRIGATION 2000ML #FBG-E-0507-2000,0,consumable,37207,119.5425,0.03,
consumable,19679,SUTURE VICRYL 4/0 ETHICON #W9067,0,consumable,99999,56.82873,0.03,
consumable,19764,SUCTION TUBE BOTH SIDES 7.0MM W/CON#68.30.30/TUB#8888-283044,0,consumable,99999,29.64244,0.03,
consumable,19806,DRAIN CHEST 2 BTL.SET STRL.DKNTL#A-8000/COVIDIEN#8888-571299,0,consumable,37475,1070.134,0.03,
consumable,19827,AIRWAY NASOPHARYNGEAL SIZE 8 PORTEX #100/210/080,0,consumable,42422,143.451,0.03,
consumable,19859,TRANSDUCER DOUBLE KIT DISP. OHMEDA BD #071-682032,0,consumable,14119,747.1406,0.03,
consumable,19924,FILTER FILTRA GUARD F/RESUSITOR #MP01805/1544000/1944.,0,consumable,31245,39.0816,0.03,
consumable,19934,BALLOON MAVERICK 1.5X15 TM,0,consumable,47732,2647.013,0.03,
consumable,19935,CATHETER FOLEY BALLOON 2WAY 14FR 5ML SILICONE.,0,consumable,32031,45.471,0.03,
consumable,19943,BALLOON MAVERICK 2.0X20MM BOSTON #302752020,0,consumable,47732,2647.013,0.03,
consumable,19947,CATHETER MALE URI DRAIN CONTROL HPD X-LARGE SMMP 705548,0,consumable,34924,26.11474,0.03,
consumable,19970,STOPCOCK 3 WAY CONNECTER 10CM EXTENTION #4631-8/394995,0,consumable,32172,6.003,0.03,
consumable,19975,"CONNECTOR STRAIGHT 3/8x3/8"" GISH #EC2130S/CP7161",0,consumable,60538,119.5425,0.03,
consumable,19976,CATHETER GUIDING 6FR JL4 #LA6JL40/1981507/007-060002,0,consumable,44088,1112.832,0.03,
consumable,19977,CONNECTOR STRAIGHT 1/2 X 1/2 # EC2135S,0,consumable,60538,119.5425,0.03,
consumable,19998,MOUTH PIECE UNIVERSAL T-KIT #1485,0,consumable,44545,22.08,0.03,
consumable,20017,BALLOON DILATOR URETERAL KIT 5FR 75CM BOSTON/ALLWIN #225-100/UBD5/4,0,consumable,34926,1699.056,0.03,
consumable,20028,FILTER1.2µmPARENTERALNUTRITIONLIPIPORNEO#NLF1E/NLF2E/VM0090IP,0,consumable,35072,95.151,0.03,
consumable,20030,OXYGEN T-KIT RECOVERY 40% #1040013/1040001.,0,consumable,60856,42.2832,0.03,
consumable,20033,STENT URETERAL DOUBLE PIGTAIL 4.5/26CM,0,consumable,99999,1195.425,0.03,
consumable,20086,STENT DRUG ELUTING 2.75 X 26 MM,0,consumable,56285,10316.52,0.03,
consumable,20109,MASK OXYGEN W/CONNECTOR ADULT #8110/1115/OCTURNO #1041/3031,0,consumable,58810,10.75883,0.03,
consumable,20110,ELECTRODE ECG PREGELLED ADULT STERILE DISP 3M,0,consumable,62250,2.595286,0.03,
consumable,20111,ELECTRODE ECG PREGELLED PEDIATRIC STERILE DISP BIPOLAR#716,0,consumable,42489,2.689706,0.03,
consumable,20158,CANNULA NASAL ADULT OXYGEN AIRLIFE SALTER LAB#1600/INTR1161,0,consumable,99999,9.5634,0.03,
consumable,20161,"SYRINGE TUBERCULIN 1ML 27G/29GX0.5"" BD #9623/601036",0,consumable,63096,1.74293,0.03,
consumable,20174,"NEEDLE SPINAL 22Gx3.5"" STERILE BD #5181",0,consumable,46096,37.92306,0.03,
consumable,20177,BLOOD ADMINISTRATION TRANSFU.SET W/O AIRVENT#7007,0,consumable,38569,16.10849,0.03,
consumable,20195,SET SOLUTION ADMINISTRATION FOR INFUSION PUMP PA200L TERUMO,0,consumable,46846,29.88563,0.03,
consumable,20206,"CATHETER SUC.14CHX22""W/CONT.STER.MAERSK#07032182/1180-851147",0,consumable,10749,2.988563,0.03,
consumable,20208,"EXTENSION SET 32"" W/2 PORT/ABBOTT #4522-48/4612/MG-V5404",0,consumable,12170,20.79578,0.03,
consumable,20209,INFUSION SET WITH REGULATOR DISPO.INTR.B/BRAUN #402962/3(JM-S2407)/LL60006,0,consumable,36244,5.379413,0.03,
consumable,20214,SYRINGE 20ML W/O NEEDLE STERILE BD #300629/THERUMO SS*20L,0,consumable,36279,2.633481,0.03,
consumable,20215,MASK OXYGEN PEDIA NON-REBREATHING AIRLIFE INTERSURGICAL#1102,0,consumable,35177,17.45321,0.03,
consumable,20216,MASK OXYGEN ADULT NON-REBREATHING INTERSURGICAL #1102,0,consumable,35177,15.6003,0.03,
consumable,20218,NEBULIZER MISTY PEDIATRIC #64095/8906/1484,0,consumable,31309,16.73595,0.03,
consumable,20236,MASK FACE PARTICULATE RESPIRATOR N95#093-3395/1860.,0,consumable,64822,58.1532,0.03,
consumable,20252,SOLUTION MULTIBIC 2KMMOL 5000ML #9670201,0,consumable,99999,522.3024,0.03,
consumable,20254,SOLUTION ALCOHOL HANDRUB 500ML HY,0,consumable,99999,22.08,0.03,
consumable,20428,MULTIFILTRATE KIT 4 CVVHDF600 #5038931,0,consumable,44057,1856.486,0.03,
consumable,20508,CATHETER TRIPLE LUMEN CVC 7FR 20CM 14G #MC3L-8S/ML-37020-A,0,consumable,10729,220.8,0.03,
consumable,20509,TRANSDUCERDOUBLEKITDISPOSABLEBD#682032,0,consumable,45275,635.6418,0.03,
consumable,20512,CATHETER VENOUS DUAL STAGE 34/46FR MEDTRONIC #91246/RDS-41134/4936,0,consumable,34905,788.256,0.03,
consumable,20551,CATHETER PERITONEAL CSF MEDTRONIC/BMI #43522/03105M,0,consumable,45694,1168.474,0.03,
consumable,20552,CATHETER VENTRICULAR CSF MEDTRONIC #41101/01101,0,consumable,61798,1430.784,0.03,
consumable,20580,ELECTRODES PREATTACHED LEADWIRE #2269T/13952A-B/13953D,0,consumable,35035,11.04,0.03,
consumable,20586,"CATHETER SUCTION 8CHx14"""" W/CONTROL",0,consumable,10749,1.9734,0.03,
consumable,20892,VALVE CSF FLOW CONTROL 16MM BURR HOLE MEDTRONIC #42544.,0,consumable,35965,2928.415,0.03,
consumable,21502,SCREW LOCKING 3.5MM 3.5X10 T50093510,0,consumable,56642,1350.83,0.03,
consumable,21582,MESH PROLENE 15X15CM ETHICON # PVMM1.,0,consumable,99999,2220.103,0.03,
consumable,21597,CARTRIDGE PROXIMATE RELOAD UNIT 75MM#TCR75,0,consumable,64256,1528.819,0.03,
consumable,21598,STAPLER PROXIMATE LINEAR CUTTER 55MM #TLC55,0,consumable,59870,1987.2,0.03,
consumable,21599,STAPLER PROXIMATE LINEAR CUTTER TITANIUM #TLC75,0,consumable,59870,1987.2,0.03,
consumable,21612,SUTURE MERSILK BLACK 0 75CM ETHICON #W552,0,consumable,34601,44.16,0.03,
consumable,21614,SCALPEL BLADE SIZE #11 W/HANDLE STERILE.,0,consumable,63270,10.833,0.03,
consumable,21635,SUTURE PROLENE 4/0 90CM ETHICON/PETER #W8761/20S151/EH7585H,0,consumable,99999,55.2,0.03,
consumable,21649,SUTURE CHROMIC GUT 0 45CM ENDOLOOP #EJ10G/EL10G,0,consumable,99999,802.1664,0.03,
consumable,21656,CLIP MEDIUM PREMIUM TITANIUM S AUTOSUTURE #134031/MCM20,0,consumable,35798,1656,0.03,
consumable,21657,CLIP SMALL PREMIUM TITANIUM S AUTOSUTURE #MCS20/134046,0,consumable,35798,1656,0.03,
consumable,21666,SUTURE PROLENE BLUE 7/0 60CM ETHICON/PETER #W8702/20SO5A,0,consumable,61353,165.6,0.03,
consumable,21797,PLATE 3.5MM LCP DISTAL HUMERUS 7X80 IRINE #A70990708,0,consumable,61573,4291.695,0.03,
consumable,22151,SYRINGE 50ML W/NEEDLE F/PERFURSOR MACH.B.BRAUN#8728810/PIC#79005-50-50,0,consumable,47017,5.678269,0.03,
consumable,22152,CATHETER DUAL LUMEN KIT 11.5FRX13.5CM KIMAL#13817-005/13817-009,0,consumable,61630,1075.883,0.03,
consumable,22187,POWDER FOR BABY,0,consumable,61949,149.4281,0.03,
consumable,22195,CANNULA IV VENFLON G22,0,consumable,64574,6.849169,0.03,
consumable,22196,CANNULA IV VENFLON G20,0,consumable,99999,5.678269,0.03,
consumable,22198,CANNULA IV VENFLON 16G,0,consumable,99999,7.770263,0.03,
consumable,22213,WATER STERILE F/INJECTION 1000ML IV SET,0,consumable,58672,50.80556,0.03,
consumable,22216,WATER STERILE F/INJECTION 500ML IV.,0,consumable,44707,25.39425,0.03,
consumable,22273,CARTRIDGE ACT MEDTRONIC #402-03,0,consumable,56195,107.5883,0.03,
consumable,22283,TISSUE FACIAL W/OUT LOGO 2 PLY,0,consumable,15107,6.574838,0.03,
consumable,22284,ADMISSION KIT BLUE (MALE),0,consumable,33961,45.42615,0.03,
consumable,22359,SHOWER GEL DETOLL 300ML,0,consumable,61949,89.65688,0.03,
consumable,22425,SUTURE VICRYL PLUS 2-0 70CM ROUND BODY ETHICON #VCP317H/W9121,0,consumable,63492,55.2,0.03,
consumable,22430,SUTURE MERSILK BLACK 0 75CM CURVED 30MM ETHICON #W334H/D&G 1123-61,0,consumable,34601,22.08,0.03,
consumable,22442,SUTURE PROLENE BLUE 3/0 45CM ETHICON #W8684/DW9422R.,0,consumable,61353,46.2714,0.03,
consumable,22523,BLADE RAZOR DOUBLE EDGE SHAVE,0,consumable,37521,5.4372,0.03,
consumable,22672,"NEEDLE HYPO 23Gx11/4"" STERILE #NN*2332R",0,consumable,59230,0.3726,0.03,
consumable,22759,PLATE SCOTCH ADULT 3M DISPOSABLE #1149/83-122-67/400-2700/1201,0,consumable,99999,16.56,0.03,
consumable,22835,"BAG SPECIMEN RETREIVE 4x6"" ETHICON #POUCH/EP236",0,consumable,45130,1510.272,0.03,
consumable,22848,STAPLER PROXIMATE SKIN #PMW35/D&G 8037-12,0,consumable,35884,165.6,0.03,
consumable,22861,SUTURE VICRYL 3/0 75CM VIOLET ETHICON #W9114/VCP311H/D&G 9813-41,0,consumable,63492,55.2,0.03,
consumable,22866,"SURGICAL HAEMOSTAT 2x3"" #W1913T/1953",0,consumable,38771,276,0.03,
consumable,22867,"SURGICAL HAEMOSTAT 10x20CM (4x8"") ETHICON #W1912/1902GB.",0,consumable,38771,928.5882,0.03,
consumable,22874,SUTURE VICRYL VIOLET 2 75CM ETHICON #W9252/D&G 9836-81.,0,consumable,63492,64.0872,0.03,
consumable,22876,SUTURE VICRYL 2/0 ETHICON #W9150/D&G 9833-51/9832-51,0,consumable,17471,44.16,0.03,
consumable,22882,SCALPEL BLADE SIZE #22 W/HANDLE STERILE,0,consumable,37445,11.04,0.03,
consumable,22883,SCALPEL BLADE SIZE #15 W/HANDLE STERILE,0,consumable,63270,18.5058,0.03,
consumable,22964,SUTURE VICRYL VIOLET UNDYED 5/0 45CM ETHICON #W9982.,0,consumable,63492,92.2116,0.03,
consumable,22965,SUTURE PROLENE BLUE 4/0 45CM ETHICON #W525/D&G 4414-33,0,consumable,61353,35.466,0.03,
consumable,22968,STOPCOCK 3 WAY DISCOFIX OHMEDA #394601,0,consumable,35375,3.4776,0.03,
consumable,24023,CARTRIDGE PROXIMATE RELOAD UNIT 55MM #TCR55,0,consumable,64256,1430.122,0.03,
consumable,24092,SUTURE VICRYL PLUS 1 VIOLET 70CM ETHICON #VCP353H/W9368/VCP359.,0,consumable,44829,86.1672,0.03,
