Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,FMPDS-0037,ANAL FISS.EXCIS.SPHINCTEROTOMY,90338-00-00,Service,,2728,2728,Current Price
,,,,Physiotherapy,FMPTD-0078,LOCOMOTION THERAPHY(1 SESSION),96130-00-00,Service,,355,355,Current Price
,,,,ENT,FMENTN0005,Rhinoscopy,41764-00-00,Service,,141,141,Current Price
,,,,Internal Medicine,FMENDE-0027,Foreign Body Removal,99999-99-99,Service,,609,609,Current Price
,,,,Pediatrics,FMPDT-0181,Spirometry,11500-00-00,Service,,237,237,Current Price
,,,,Radiology ,FMXRAY1521,Dexa (Bmd) (1) Segment,12306-00-00,Service,,550,550,Current Price
,,,,Physiotherapy,FMPTD-0051,NERVE CONDUCTION - 1 NERVE,11012-01-00,Service,,174,174,Current Price
,,,,LABORATORY,FMLAB-2092,Vanillylmandelic Acid (Vma),73050-38-30,Service,,368,368,Current Price
,,,,Physiotherapy,FMPTD-0067,WALKER RENTAL,96024-00-00,Service,,289,289,Current Price
,,,,LABORATORY,FMLABM0304,COVID 19 - RAPID ANTIGEN TEST( RAT),73100-26-20,Service,,70,70,Current Price
,,,,Physiotherapy,FMPTD-0118,Mechanical Ventilator 24 Hours,92209-00-00,Service,,836,836,Current Price
,,,,Dental,FMDNT-1015,Removal of a tooth or part(s) thereof,97311-01-00,Service, ,273,273,Current Price
,,,,LABORATORY,FMLAB-2036,Fructosamine,73050-16-80,Service, ,281,281,Current Price
,,,,OB & GYNE,FMOBG-0073,Episiotomy - Local Anaesthesia,90472-00-00,Service,,303,303,Current Price
,,,,Dermatology ,FMDER-0004,Skin Biopsy,30071-00-00,Service,,800,800,Current Price
,,,,Dental,FMDNT-1019,Surgical removal of a tooth or tooth fragment not requiring removal of bone or tooth division,97321-07-10,Service, ,420,420,Current Price
,,,,OB & GYNE,FMOBG-0222,Implanon Insertion,14203-00-00,Service,,508,508,Current Price
,,,,PAEDIATRICS/SUG,FMPDS-0155,Intralesional Injection,30207-00-00,Service,,133,133,Current Price
,,,,ENT,FMENT-3143,Tracheostomy,41881-00-00,PKG,2 Days,4000,4000,Current Price
,,,,Orthopedics,FMORT-1024,Major Joint Injection Or Bursae,50124-01-31,Service,Day Case,563,563,Current Price
,,,,Ophthalmology,FMOPTI0006,Lacrimal Duct Probing,42615-01-00,Service,1 Day,342,342,Current Price
,,,,Plastic Surgery,MTPSD-0022,Removal Of Stitches (G.A.),92200-00-00,Service,,355,355,Current Price
,,,,ENT,FMENTL0015,Indirect Laryngoscopy Using Endoscope,41849-00-00,Service,,233,233,Current Price
,,,,Laboratory,FMLABM0126,HLA TYPING (DR+DQ)(CLASS II),73100-28-40,Service, ,1182,1182,Current Price
,,,,Orthopedics,FMORT-1043,Plantar Fascia Injection,18360-01-01,Service,Day Case,1519,1519,Current Price
,,,,Physiotherapy,FMPTD-0093,ANTENATAL & POSTNATAL EXS.,96129-00-00,Service,,173,173,Current Price
,,,,ORTHOPAEDIC WORKSHOP,FMORW-0135,High Dorso-Lumbar Support,96092-00-00,Service,,440,440,Current Price
,,,,Physiotherapy,FMPTD-0058,FACIAL NERVE CONDUCT. 2 SIDES,11015-00-00,Service,,337,337,Current Price
,,,,Emergency,FMERDA0095,Triage Cardiac Profiler,92204-00-00,Service,,709,709,Current Price
,,,,OB & GYNE,FMOBG-0071,Induction Of Labour,90465-02-00,Service,,368,368,Current Price
,,,,LABORATORY,FMLAB-9234,HBV-DNA (QUANTITATIVE BY PCR),73050-61-50,Service,,1977,1977,Current Price
,,,,LABORATORY,FMLAB-6019,Stool Afb,73050-40-20,Service,,235,235,Current Price
,,,,LABORATORY,FMLAB-1015,Blood Group & Rh Typing,73250-00-90,Service,,101,101,Current Price
,,,,internal medicine,FMINT-0074,Peack Flow Meter,83700-00-00,Service,,18,18,Current Price
,,,,UROLOGY,FMURO-3122,Radical Nephrectomy,36528-01-00,PKG,7 Days,16568.5905,16568.5905,Current Price
,,,,LABORATORY,FMLAB-2079,Urine Bile Pigments,73050-04-30,Service,,110,110,Current Price
,,,,endoscopy,FMENDE0012,END.CHOLANGIOPANCREATOGRAPHY,30484-00-00,Service,,2965,2965,Current Price
,,,,LABORATORY,FMLAB-6006,Ear Swab C/S,73050-40-90,Service,,350,350,Current Price
,,,,Surgery,SUR-0137,Lumpectomy + histopath,32000-03-00,PKG,3 Days,4602.38625,4602.38625,Current Price
,,,,LABORATORY,FMLAB-1066,Reticulocyte Count,73100-01-30,Service,,161,161,Current Price
,,,,Endoscopy,FMENDE0014,Endoscopic Cholangiography,30484-01-00,Service,,2273,2273,Current Price
,,,,LABORATORY,FMLABM0112,ANTI-MUSK ABS,73200-08-80,Service, ,909,909,Current Price
,,,,Laboratory,FMLAB-9730,STRIATED MUSCLE ABS,73200-06-40,Service,,361,361,Current Price
,,,,LABORATORY,FMLAB-9309,Vancomycin Level,73300-03-40,Service,,700,700,Current Price
,,,,LABORATORY,FMLAB-9275,Vitamin B1 (Thiamine),73050-34-70,Service,,438,438,Current Price
,,,,Laboratory,FMLABM0109,CBFB/MYHII (INV16) (FISH),83700-00-00,Service, ,1418,1418,Current Price
,,,,Physiotherapy,FMPTD-0084,Aspiration Joint,50124-00-01,Service,,137,137,Current Price
,,,,Radiology ,FMXRAY1134,Ct. Cardiac (Coronary Angiography Protocol),57360-00-00,Service,,2640,2640,Current Price
,,,,LABORATORY,FMLAB-1021,Bone Marrow Trephine Sampling,30084-00-00,Service,,480,480,Current Price
,,,,,FMMOR-0001,MORGUE PER DAY,83700-00-00,Service,,150,150,Current Price
,,,,Physiotherapy,FMPTD-0092,PREOPERATIVE & POSTOPERATIVE EXS.,96129-00-00,Service,,139,139,Current Price
,,,,LABORATORY,FMLAB-9172,Bilirubin (Amniotic Fluid),73050-04-30,Service,,235,235,Current Price
,,,,LABORATORY,FMLAB-5049,Rpr Or Vdrl,73100-18-70,Service,,133,133,Current Price
,,,,Radiology ,FMXRAY1299,Us. Msk (Shoulder),55808-00-01,Service,,550,550,Current Price
,,,,LABORATORY,FMLAB-8070,Slide Review,73200-07-10,Service,,405,405,Current Price
,,,,Laboratory,FMLABM0136,THIOPURINE METHYL TRANSFERASE ENZYME ACTIVITY (TPMT),73000-00-20,Service, ,237,237,Current Price
,,,,LABORATORY,FMLAB-9244,Lupus Anticoagulant Abs.,73100-08-80,Service,,957,957,Current Price
,,,,Psychiatry ,FMPSYA0010,Trial Making,96238-00-00,Service,,174,174,Current Price
,,,,LABORATORY,FMLAB-9262,Polio Virus Abs.,73050-39-70,Service,,380,380,Current Price
,,,,LABORATORY,FMLAB-1014,Anti-Thrombin Iii,73100-03-90,Service,,265,265,Current Price
,,,,LABORATORY,FMLAB-9182,Immunophenotyping,73100-29-20,Service,,2199,2199,Current Price
,,,,LABORATORY,FMLAB-9734,T3 Abs,73050-36-50,Service,,420.79,420.79,Current Price
,,,,ENT,FMENTN2012,Control Of Epistaxis By Elect. Cauterization - Bilateral,41674-00-00,Service,,942,942,Current Price
,,,,Radiology ,FMXRAY1282,Fluroscopy. Venography Upp/Low Extr. (1 Side),59718-00-00,Service,,880,880,Current Price
,,,,LABORATORY,FMLAB-9736,T4 Abs,73050-35-30,Service,,429.16,429.16,Current Price
,,,,LABORATORY,FMLAB-9685,Alpha 1-Antitrypsin (F),73050-01-60,Service,,435.13,435.13,Current Price
,,,,Dental,FMDNT-1030,Surgical removal of a tooth or tooth fragment requiring removal of bone,97324-01-00,Service, ,788,788,Current Price
,,,,Orthopedics,FMORT-0593,Lumbar Percutaneous Rhizotomy Level Ii,40330-00-00,Service,,2426,2426,Current Price
,,,,ONCOLOGY/NUCLEAR MED,FMONC-0051,Radio Surgery Olfactory Grove,15600-00-00,Service,,12604,12604,Current Price
,,,,UROLOGY,FMURO-3075,Nephrolithotomy,36540-00-01,PKG,6 Days,11413.9179,11413.9179,Current Price
,,,,UROLOGY,FMURO-0188,Removal Of Tape,37340-00-00,Service,,2659,2659,Current Price
,,,,INTERNAL MEDICINE,FMINTR0014,Abg Extraction,13842-00-00,Service,,95,95,Current Price
,,,,Plastic Surgery,MTPSD-0034,Slim Fraft Of Burn Upto 5% (G.A.),45439-00-00,Service,,1890,1890,Current Price
,,,,Ophthalmology,FMOPTA0010,Fundus Photography,96188-00-00,Service,,155,155,Current Price
,,,,Cardiology,FMCARS0006,Transesophageal Echocardiography (Tee),55118-00-00,Service,,2127,2127,Current Price
,,,,Orthopedics,FMORT-0140,Arthrotomy For Removal Of Prosthesis At Ankle,90606-01-00,PKG,1 DAY,10800,10800,Current Price
,,,,Plastic Surgery,MTPSD-0038,Finger Tip Reconstruction For One Finger (G.A.),30026-00-10,Service,,945,945,Current Price
,,,,ENT,FMENTE5004,Hearing Aid Fitting,96092-00-41,Service,,216,216,Current Price
,,,,OB & GYNE,MTOBG-0007,CERVICAL BIOPSY,35608-02-00,Service,,1211,1211,Current Price
,,,,Physiotherapy,FMPTD-0027,OCCUPATIONAL THERAPY - OP,95550-02-00,Service,,131,131,Current Price
,,,,Laboratory,FMLAB-6051,MINIMAL INHIBITORY CONC (MIC),83700-00-00,Service,,169,169,Current Price
,,,,LABORATORY,FMLAB-7061,Er Profile (Iii): Troponin + Ck+ Ckmb,73050-37-20,Service,,886,886,Current Price
,,,,LABORATORY,FMLAB-1029,Clotting Factor X,73100-03-20,Service, ,321,321,Current Price
,,,,Physiotherapy,FMPTD-0126,Tense,96155-00-00,Service,,184,184,Current Price
,,,,INTERNAL MEDICINE,FMINT-0068,Blood Sugar Test,73050-15-60,Service,,68,68,Current Price
,,,,Laboratory,FMLABM0069,URINE METABOLIC STUDY,73000-00-00,Service, ,709,709,Current Price
,,,,Radiology ,FMXRAY1314,Doppler. Both Carotid Arteries,55274-00-00,Service,,880,880,Current Price
,,,,Radiology ,FMXRAY1320,Doppler. Upper Limb Arter. (Right),55248-00-00,Service,,880,880,Current Price
,,,,ORTHOPAEDIC WORKSHOP,FMORW-0127,Rom Hinged Knee Brace,96092-00-00,Service,,1167,1167,Current Price
,,,,ICU,FMICU-0013,TWIN PUMP AMBU BAG /USE,99999-99-99,Service,,63,63,Current Price
,,,,Physiotherapy,FMPTD-0048,EMG NECK AREA & 1 ARM,11012-00-00,Service,,541,541,Current Price
,,,,Orthopedics,FMORT-1025,Minor Joint Injection,50124-01-10,Service,Day Case,680,680,Current Price
,,,,Pediatrics,FMPDT-0173,Glucostrip,96164-00-00,Service,,32,32,Current Price
,,,,Dermatology ,FMDER-0263,Celulitis Mesotheraphy Small Area,90660-00-00,Service,,851,851,Current Price
,,,,ONCOLOGY/NUCLEAR MED,FMONC-0024,Intrathecal Chemotherapy,96198-00-00,Service,,478,478,Current Price
,,,,LABORATORY,FMLAB-1052,Filtered Packed Rbcs,73100-01-10,Service,,550,550,Current Price
,,,,Urology,FMURO-0212,FLEXIBLE URETERO RENOSCOPY,36803-00-00,Service, ,5501,5501,Current Price
,,,,Urology,FMURO-0213,BILATERAL FLEXIBLE URETERO RENOSCOPY,36803-00-00,Service, ,5501,5501,Current Price
,,,,Orthopedics,FMORT-0327,Amputation Of Toe,44338-00-01,PKG,Day Case,11430,11430,Current Price
,,,,Orthopedics,FMORT-0567,Finger Splint,96092-00-00,Service,,110,110,Current Price
,,,,Physiotherapy,FMPTD-2094,INTERFERNIAL - OP,96155-00-00,Service,,206,206,Current Price
,,,,Orthopedics,FMORT-9000,C.P. Program - 2 Session (P.D),99999-99-99,Service,,364,364,Current Price
,,,,LABORATORY,FMLAB-5041,Herpes Virus Igg (Total),73100-23-10,Service,,583,583,Current Price
,,,,ENT,FMENTN2064,Nasal Sinuscopy With Biopsy,41764-01-00,Service,,535,535,Current Price
,,,,Orthopedics,FMORT-0569,Hammock Pelvic Traction,47480-00-01,Service,,593,593,Current Price
,,,,Orthopedics,FMORT-0611,Fracture Medial And Lateral Malleolus,47600-00-01,Service,,3058,3058,Current Price
,,,,Dental,FMDNT-1020,Surgical removal of a tooth or tooth fragment requiring both removal of bone and tooth division,97324-01-00,Service, ,1200,1200,Current Price
,,,,Radiology ,FMXRAY1289,Us. Abdomen And Pelvis (Viscera),55036-00-00,Service,,385,385,Current Price
,,,,Physiotherapy,FMPTD-0007,ULTRASOUND - OP,90908-00-00,Service,,210,210,Current Price
,,,,Laboratory,FMLABM0156,GABA-B-RECEPTOR 1 ABS (SERUM),73250-00-20,Service, ,303,303,Current Price
,,,,Laboratory,FMLABM0111,PDGFRB(5q32) (FISH),73350-02-50,Service, ,2343,2343,Current Price
,,,,,FMCAT-0025,PER CARDIAL SINTHESIS,38359-00-00,Service,2 DAYS,1980,1980,Current Price
,,,,LABORATORY,FMLAB-2015,Calcium,73050-05-50,Service,,114,114,Current Price
,,,,Orthopedics,FMORT-0676,Meniscus Repair Knee,90598-00-01,Service,,5501,5501,Current Price
,,,,LABORATORY,FMLAB-9024,Buccal Smear (J),73200-05-30,Service,,450,450,Current Price
,,,,Room & Board,FMRMB-9904,Isolation,83610-00-90,Service,,1000,1000,Current Price
,,,,Laboratory,FMLAB-4023,N-ACETYLPROCAINAMIDE (NAPA) / PROCAINAMIDE,73300-02-50,Service,,723,723,Current Price
,,,,LABORATORY,FMLAB-1056,Peroxidase Stain,73050-04-80,Service,,473,473,Current Price
,,,,Physiotherapy,FMPTD-0046,EMG LUMBAR AREA & 1 LEG,11012-00-00,Service,,541,541,Current Price
,,,,Laboratory,FMLAB-9984,Saccharomyces Cerevisiae Abs,73250-00-20,Service,,1193,1193,Current Price
,,,,Laboratory,FMLAB-9586,MENINGITIS SCREEN,73100-25-10,Service,,561,561,Current Price
,,,,Laboratory,FMLAB-0871,FRACTIONAL EXCRETION OF UREA,73050-37-50,Service, ,506,506,Current Price
,,,,ICU,FMICU-0010,ABDOMINAL TAPPING,30406-00-00,Service,,446,446,Current Price
,,,,Physiotherapy,FMPTD-0073,Interferntial Compct.W/Suction,96155-00-00,Service,,216,216,Current Price
,,,,PEDIATRIC,FMPDT-0028,Heat Crib From 1 To 4 Hrs.,92178-00-90,Service,,51,51,Current Price
,,,,Laboratory,FMLAB-1119,STRONGYLOIDES IgG ABS,73250-00-20,Service, ,687,687,Current Price
,,,,LABORATORY,FMLAB-5052,Schistosoma Abs. (Bilharzial Abs),73250-00-20,Service,,735,735,Current Price
,,,,LABORATORY,FMLAB-2005,Alkaline Phosphatase,73100-07-70,Service,,132,132,Current Price
,,,,LABORATORY,FMLAB-3033,Stimulated Growth Hormone,73000-02-60,Service,,791.37,791.37,Current Price
,,,,Orthopedics,FMORT-0272,Recession Of Tendon Of Hand,47963-02-01,PKG,1 DAY,9840,9840,Current Price
,,,,E. N. T.,FMENTL0027,SPEECH ASSESTMENT,96012-00-00,Service,,393,393,Current Price
,,,,Orthopedics,FMORT-1045,Spastic Muscle Injection,18360-01-01,Service,Day Case,1759,1759,Current Price
,,,,Physiotherapy,FMPTD-2060,POLIO TREATMENT,99999-99-99,Service,,216,216,Current Price
,,,,Radiology ,FMXRAY1079,Mri Lumber Spine Without Contrast,90901-08-20,Service,,900,1200,Current Price
,,,,Dental,FMDNTF0015,Child. Ketac Filling 1 Surface,97572-01-00,Service,,250,250,Current Price
,,,,Endoscopy,FMENDE0044,Endoscopic brush cytology,90331-00-00,Service,,534,534,Current Price
,,,,Psychiatry ,FMPSYB0001,Behavioral Therapy X 8 Session,96101-00-00,Service,,2407,2407,Current Price
,,,,Dental,FMDNTX0002,Bitewing X-Ray,97022-00-10,Service,,100,100,Current Price
,,,,Dental,FMDNTX0004,Pediatric X-Ray,97022-00-10,Service,,100,100,Current Price
,,,,Radiology ,FMXRAY1345,W.H. Mammography 2D + Us,55070-00-00,Service,,825,825,Current Price
,,,,ONCOLOGY/NUCLEAR MED,FMONC-0005,Oncology Doctor Supervision Charges,83600-00-10,Service,,1732,1732,Current Price
,,,,Dermatology ,FMDER-0034,Trichogram,99999-99-99,Service,,389,389,Current Price
,,,,Psychiatry ,FMPSYC0003,Quality Of Life For Children With Learning,96110-00-00,Service,,237,237,Current Price
,,,,Orthopedics,FMORT-0409,Removal Of Simple Benign Bone Or Soft Tissue,30241-00-01,PKG,Day Case,6660,6660,Current Price
,,,,Psychiatry ,FMPSYA0035,Back Deprss`N Inventory Test,96236-00-00,Service,,248,248,Current Price
,,,,Psychiatry ,FMPSYB0006,Group Therapy Under Anaesth`A,14224-00-00,Service,,540,540,Current Price
,,,,ORTHOPAEDIC WORKSHOP,FMORW-0009,Orthosis Viii,96092-00-00,Service,,101,101,Current Price
,,,,ORTHOPAEDIC WORKSHOP,FMORW-0088,Correction Of Heal 1 Cm,99999-99-99,Service,,101,101,Current Price
,,,,LABORATORY,FMLAB-9621,Osteoporosis Screen,73050-26-30,Service,,1242,1242,Current Price
,,,,Plastic Surgery,FMPSDJ0033,Moderate Lession Of Port Wine Stain & Haemagioma,45030-00-00,Service,,1929,1929,Current Price
,,,,LABORATORY,FMLAB-1017,Blood Film For Filaria,73050-43-50,Service,,110,110,Current Price
,,,,Dermatology ,FMDER-0029,Lesion Smear,99999-99-99,Service,,110,110,Current Price
,,,,ENT,FMENTE0002,Audiometry - Pure Tone,11306-00-00,Service,,310.81,310.81,Current Price
,,,,ENT,FMENTE0003,Audiometry - Speech,11306-00-00,Service,,310.81,310.81,Current Price
,,,,LABORATORY,FMLAB-6026,Wound Swab C/S,73050-40-90,Service,,350,350,Current Price
,,,,Ophthalmology,FMOPTH0008,Laser For Retinopathy 1 Setting,90080-00-01,Service,,1713,1713,Current Price
,,,,Physiotherapy,FMPTD-0016,Manual Massage - Total - Op,96162-00-00,Service,,216,216,Current Price
,,,,Radiology ,FMXRAY1294,Us. Soft Tissue (One Area),55844-00-00,Service,,495,495,Current Price
,,,,LABORATORY,FMLAB-2051,Total Ige,73050-14-20,Service,,588,588,Current Price
,,,,ORTHOPAEDIC WORKSHOP,FMORW-0170,Sinovial One,50124-01-10,Service,,1773,1773,Current Price
,,,,Psychiatry ,FMPSYB0011,Day Hospital Psychiatric Sess.,96177-00-00,Service,,922,922,Current Price
,,,,UROLOGY,FMURO-0058,Diagnostic Sonography,90908-00-11,Service,,714,714,Current Price
,,,,Physiotherapy,FMPTD-2077,HYDROTHERAPY POOL(1 TREATMENT),96153-00-00,Service,,275,275,Current Price
,,,,LABORATORY,FMLAB-6018,Stool C/S,73050-40-10,Service,,363,363,Current Price
,,,,LABORATORY,FMLAB-9190,Vitamin A (Retinol),73050-38-60,Service,,1038,1038,Current Price
,,,,Radiology ,FMXRAY1298,Us. Penile Soft Tissue,55048-00-00,Service,,495,495,Current Price
,,,,LABORATORY,FMLAB-5293,Listeria Dna By Pcr,73100-24-60,Service,,649,649,Current Price
,,,,Physiotherapy,FMPTD-2069,ELECTROTHERAPY,30195-07-10,Service,,225,225,Current Price
,,,,Psychiatry ,FMPSYA0011,Bender Gestalt,96180-00-00,Service,,248,248,Current Price
,,,,Psychiatry ,FMPSYA0012,Benton Visual Retention Test,96037-00-00,Service,,248,248,Current Price
,,,,LABORATORY,FMLAB-5010,Toxoplasma Abs (Igm),73100-26-60,Service,,340,340,Current Price
,,,,LABORATORY,FMLAB-5067,Anti-Cmv (Igg & Igm),73100-20-70,Service,,781,781,Current Price
,,,,Psychiatry ,FMPSYA0055,Anorexia Nervosa Scale (A.N.S.),96180-00-00,Service,,249,249,Current Price
,,,,Psychiatry ,FMPSYA0054,Bulimia Nervosa Scale (B.N.S.),96237-00-00,Service,,249,249,Current Price
,,,,Psychiatry ,FMPSYA0053,Eating Disorder Test (E.D.T.),96026-00-00,Service,,249,249,Current Price
,,,,LABORATORY,FMLAB-9370,Anti Platelets Abs,73100-10-50,Service,,4069,4069,Current Price
,,,,Physiotherapy,FMPTD-0101,ELECTROMANETIC THERAPY,96155-00-00,Service,,394,394,Current Price
,,,,Orthopedics,FMORT-0707,Menerva Cast,96092-00-00,Service,,1649,1649,Current Price
,,,,Physiotherapy,FMPTD-2119,Use Of Swimming Pool,96129-00-00,Service,,110,110,Current Price
,,,,Radiology ,FMXRAY1142,Ct. Spine (Cervical Region),56220-00-00,Service,,600,900,Current Price
,,,,Orthopedics,FMORT-0674,Tigges Bandage,96092-00-00,Service,,1460,1460,Current Price
,,,,Psychiatry ,FMPSYB0019,Ect Pckg Op W/ Anaes. Day Care,14224-00-00,Service,,1804,1804,Current Price
,,,,LABORATORY,FMLAB-6266,Axilla Swab C/S,73050-40-30,Service,,472.5,472.5,Current Price
,,,,Plastic Surgery,MTPSD-0023,Removal Of Warty Lesion,30189-01-00,Service,,955,955,Current Price
,,,,LABORATORY,FMLAB-2066,Semen Fructose,73050-13-60,Service,,400,400,Current Price
,,,,ENT,FMENTN2045,Septoplasty,45638-00-00,PKG,2 Days,6443.34075,6443.34075,Current Price
,,,,SURGERY,FMSUR-3162,Parotidectomy,30247-00-00,PKG,5 Days,11966.204249999999,11966.204249999999,Current Price
,,,,NEPHROLOGY,FMNEP-0037,O2 Oxygen Session,92044-00-00,Service,,113,113,Current Price
,,,,Radiology ,FMXRAY1341,W.H. Breast Us (2 Sides),55076-00-00,Service,,550,550,Current Price
,,,,Radiology ,FMXRAY1486,Nm. Thyroid (Diagnostic Tc99M Scan And Uptake),12518-00-00,Service,,2530,2530,Current Price
,,,,LABORATORY,FMLAB-9565,Ldh Isoenzyme,73050-21-90,Service,,414,414,Current Price
,,,,OB & GYNE,FMOBG-0143,ENDOMETRIAL PREMESTRUAL CURR. (WITH OR W/THOUT ANAESTHESIA),35640-01-00,Service,,589,589,Current Price
,,,,Dermatology ,FMDER-0126,Narrow Band Regional 2Nd Course 15 Sessions,14050-02-00,Service,,1344,1344,Current Price
,,,,Nursing,FMNUR-9002,Clinical Pharmacy / Medication preparation,83700-00-00,Service,,89,89,Current Price
,,,,Dermatology ,FMDER-0053,Topical Application - Vitiligo Lotion,99999-99-99,Service,,125,125,Current Price
,,,,Ophthalmology,FMOPTA0014,RETRUBULBER ANAESTHESIA,92509-99-00,Service,,451,451,Current Price
,,,,Dental,FMDNT-1017,Removal of plaque and/or stain,97111-00-00,Service, ,537,537,Current Price
,,,,LABORATORY,FMLAB-5006,Anti-Cmv Igm,73100-20-80,Service,,764,764,Current Price
,,,,Orthopedics,FMORT-9905,Reduction And Correction Of Simple Fracture,99999-99-99,Service,,2868,2868,Current Price
,,,,Dental,FMDNTF0007,Composite Filling Compound,97511-01-00,Service,,500,500,Current Price
,,,,Physiotherapy,FMPTD-2083,C.P.M. MACHINE,95550-03-00,Service,,147,147,Current Price
,,,,Physiotherapy,FMPTD-2085,HYDROTHERAPY FOR HAND OR FOOT,96153-00-00,Service,,147,147,Current Price
,,,,ORTHOPAEDIC WORKSHOP,FMORW-0054,Tricot Tube,96092-00-00,Service,,66,66,Current Price
,,,,Orthopedics,FMORT-0113,Debridement Of Compound Fract. At Tibia & Fibula,90580-00-01,PKG,1 DAY,8820,8820,Current Price
,,,,Psychiatry ,FMPSYB0002,Behavioral Therapy X 4 Session,96101-00-00,Service,,1514,1514,Current Price
,,,,ENT,FMENTE0006,SPECIAL TEST BATTERY,99999-99-99,Service,,571,571,Current Price
,,,,ENT,FMENTN2005,INCISION & DRAINAGE OF SEPTAL,30223-02-00,Service,,1278,1278,Current Price
,,,,Psychiatry ,FMPSYB0016,Conjoint Family Therapy Sess.,96102-00-00,Service,,262,262,Current Price
,,,,LABORATORY,FMLAB-9105,Oxalate (U),73050-26-40,Service,,1113,1113,Current Price
,,,,NEPHROLOGY,FMNEP-0024,Sudden Use Of Ecg Monitoring,11708-00-00,Service,,121,121,Current Price
,,,,Urology,FMURO-0187,EXPLORATION OF SCROTAL HEMATOMA,37604-00-00,Service,,4240,4240,Current Price
,,,,LABORATORY,FMLAB-6007,Fungus Culture & Sensitivity,73050-41-40,Service,,318,318,Current Price
,,,,Psychiatry ,FMPSYA0033,M.M.P.I.,92204-00-00,Service,,602,602,Current Price
,,,,Psychiatry ,FMPSYA0028,Weisler - Bellevue Test,92204-00-00,Service,,602,602,Current Price
,,,,Physiotherapy,FMPTD-2126,SHORT WAVE THERAPY,96155-00-00,Service,,143,143,Current Price
,,,,LABORATORY,FMLAB-4005,Benzodiazepines,73300-06-70,Service,,636,636,Current Price
,,,,LABORATORY,FMLAB-4004,Barbiturates,73300-06-60,Service,,636,636,Current Price
,,,,Psychiatry ,FMPSYB0034,(1) Session Of Biofeedback,96152-00-00,Service,,265,265,Current Price
