SERVICE CODE,CATEGORY,SUB-CATEGORY,SERVICE DESCRIPTION,TCS /TOTAL CARE SAUDI
8123067,RADIOLOGY,MRI,MRI LEG WITH CONTRAST,1200
8123068,RADIOLOGY,MRI,MRI LEG  ,1200
8123069,RADIOLOGY,MRI,MRI SACRO ILIAC JOINT,1200
8124001,RADIOLOGY,CT SCAN ,CT SCAN ,800
8124002,RADIOLOGY,CT SCAN ,CT SCAN ADDITIONAL ORGAN,800
8124003,RADIOLOGY,CT SCAN ,CT SCAN WITH CONTRAST,800
8124005,RADIOLOGY,CT SCAN ,CT SCAN PELVIMETRY,800
8124006,RADIOLOGY,CT SCAN ,CT SCAN FOR MEASURING THE LIMBS,800
8124007,RADIOLOGY,CT SCAN ,CT SCAN KUB,800
8124010,RADIOLOGY,CT SCAN ,CT VIRTUAL COLONOGRAPHY & POLYP DETECTION WITH CONTRAST,800
8124011,RADIOLOGY,CT SCAN ,CT VIRTUAL BRONCHOSCOPY WITH CONTRAST,800
8124015,RADIOLOGY,CT SCAN ,CT SIALOGRAM WITH CONTRAST ,800
8124017,RADIOLOGY,CT SCAN ,CT HEAD/BRAIN ,800
8124018,RADIOLOGY,CT SCAN ,CT HEAD/BRAIN WITH CONTRAST,800
8124019,RADIOLOGY,CT SCAN ,CT NECK WITH CONTRAST,800
8124020,RADIOLOGY,CT SCAN ,CT NECK ,800
8124025,RADIOLOGY,CT SCAN ,CT CHEST WITH CONTRAST,800
8124026,RADIOLOGY,CT SCAN ,CT CHEST ,800
8124027,RADIOLOGY,CT SCAN ,CT ABDOMEN WITH CONTRAST,800
8124028,RADIOLOGY,CT SCAN ,CT ABDOMEN ,800
8124029,RADIOLOGY,CT SCAN ,CT PLEVIS WITH CONTRAST,800
8124030,RADIOLOGY,CT SCAN ,CT PELVIS ,800
8124031,RADIOLOGY,CT SCAN ,CT SHOULDER OR HUMERUS OR ELBOW WITH CONTRAST ,800
8124032,RADIOLOGY,CT SCAN ,CT SHOULDER OR HUMERUS OR ELBOW  ,800
8124033,RADIOLOGY,CT SCAN ,CT FOREARM OR WRIST OR HAND WITH CONTRAST ,800
8124034,RADIOLOGY,CT SCAN ,CT FOREARM OR WRIST OR HAND ,800
8124035,RADIOLOGY,CT SCAN ,CT HIP OR FEMUR OR KNEE WITH CONTRAST,800
8124036,RADIOLOGY,CT SCAN ,CT HIP OR FEMUR OR KNEE ,800
8124037,RADIOLOGY,CT SCAN ,CT LEG OR ANKLE OR FOOT WITH CONRAST,800
8124038,RADIOLOGY,CT SCAN ,CT LEG OR ANKLE OR FOOT,800
8124039,RADIOLOGY,CT SCAN ,CT FACIAL BONE WITH CONTRAST,800
8124040,RADIOLOGY,CT SCAN ,CT FACIAL BONE ,800
8124041,RADIOLOGY,CT SCAN ,CT C. SPINE ,800
8124042,RADIOLOGY,CT SCAN ,CT DORSAL SPINE,800
8124043,RADIOLOGY,CT SCAN ,CT LUMBER SPINE,800
8124046,RADIOLOGY,CT SCAN ,CT PITUITARY GLAND WITH CONTRAST,800
8124047,RADIOLOGY,CT SCAN ,CT ORBIT WITH CONTRAST,800
8124048,RADIOLOGY,CT SCAN ,CT ORBIT  ,800
8124049,RADIOLOGY,CT SCAN ,CT PNS WITH CONTRAST,800
8124050,RADIOLOGY,CT SCAN ,CT PNS ,800
8124064,RADIOLOGY,CT SCAN ,CT TEMPORAL BONE,800
8124065,RADIOLOGY,CT SCAN ,CT TEMPORAL BONE WITH CONTRAST,800
8124023,RADIOLOGY,CT SCAN ,CT ABDOMEN & PELVIS WITH CONTRAST,1000
8124024,RADIOLOGY,CT SCAN ,CT ABDOMEN & PELVIS,1000
8124021,RADIOLOGY,CT SCAN ,CT CHEST & ABDOMEN & PELVIS ,1600
8124022,RADIOLOGY,CT SCAN ,CT CHEST & ABDOMEN & PELVIS WITH CONTRAST,1600
1112001,CONSULTATION,CONSULTATION,GENERAL PRACTITIONER'S CONSULTION (E.R.),125
1112002,CONSULTATION,CONSULTATION,ER DIFFERENCE - GP & CONSULTANT,125
1112003,CONSULTATION,CONSULTATION,CONSULTANT'S CONSULTATION (OPD),125
1112004,CONSULTATION,CONSULTATION,INPATIENT DOCTOR CONSULTATION REFERRED,125
1112005,CONSULTATION,CONSULTATION,INPATIENT DOCTOR'S DAILY VISIT  ,125
1112006,CONSULTATION,CONSULTATION,BARIATRIC CONSULTATION,125
1112007,CONSULTATION,CONSULTATION,CARDIOLOGY CONSULTANT CONSULTATION,125
1112008,CONSULTATION,CONSULTATION,SPECIALIST CONSULTAION (OPD),125
1112009,CONSULTATION,CONSULTATION,COLO-RECTAL SURGERY CONSULTATION,125
1112010,CONSULTATION,CONSULTATION,CONSULTATION - INTERVENTIONAL CARDIOLOGIST,125
1112011,CONSULTATION,CONSULTATION,CONSULTATION - VISITING DOCTORS,750
1112012,CONSULTATION,CONSULTATION,CONSULTATION 1ST SPECIALIST,125
1112013,CONSULTATION,CONSULTATION,CONSULTATION FEE - SENIOR CONSULTANT DERMATOLOGIST,125
1112014,CONSULTATION,CONSULTATION,CONSULTATION FEE - VISITING DOCTOR ,750
1112015,CONSULTATION,CONSULTATION,CONSULTATION FEE (SKINCARE),125
1112016,CONSULTATION,CONSULTATION,DENTAL CONSULTANT CONSULTATION,125
1112017,CONSULTATION,CONSULTATION,DENTAL SPECIALIST CONSULTATION,125
1112018,CONSULTATION,CONSULTATION,DERMATOLOGY CONSULTATION,125
1112019,CONSULTATION,CONSULTATION,DIABETIC EDUCATION WITH BLOOD SUGAR TEST,125
1112020,CONSULTATION,CONSULTATION,DIETITIAN CONSULTATION ,125
1112022,CONSULTATION,CONSULTATION,ENDOCRINOLOGY CONSULTATION,125
1112023,CONSULTATION,CONSULTATION,ENT SPECIALIST CONSULTATION,125
1112024,CONSULTATION,CONSULTATION,FAMILY THERAPY ,125
1112025,CONSULTATION,CONSULTATION,FOLLOW UP (IVF) WITHIN 7 DAYS,125
1112026,CONSULTATION,CONSULTATION,FOLLOW-UP CONSULTATION (WITHIN 14 DAYS),0
1112027,CONSULTATION,CONSULTATION,FREE FOLLOW UP ( DENTAL ),0
1112028,CONSULTATION,CONSULTATION,GASTROENTEROLOGY CONSULTATION ,125
1112029,CONSULTATION,CONSULTATION,GYNAECOLOGY CONSULTATION,125
1112030,CONSULTATION,CONSULTATION,INPATIENT VISIT - NEURO SURGEON,125
1112031,CONSULTATION,CONSULTATION,INTERNAL MEDICINE CONSULTATION,125
1112032,CONSULTATION,CONSULTATION,INTERVENTIONAL RADIOLOGY CONSULTATION,125
1112033,CONSULTATION,CONSULTATION,IVF CONSULTATION,125
1112034,CONSULTATION,CONSULTATION,IVF CONSULTATION FOLLOW UP VISIT,125
1112035,CONSULTATION,CONSULTATION,NEPHROLOGY CONSULTATION,125
1112036,CONSULTATION,CONSULTATION,NEURO SURGERY CONSULTATION,125
1112037,CONSULTATION,CONSULTATION,NEUROLOGY CONSULTATION,125
1112038,CONSULTATION,CONSULTATION,ONCOLOGY CONSULTATION,125
1112039,CONSULTATION,CONSULTATION,OPHTHALMOLOGY CONSULTATION,125
1112040,CONSULTATION,CONSULTATION,ORTHODONTIST CONSULTATION,125
1112041,CONSULTATION,CONSULTATION,ORTHOPAEDIC CONSULTATION,125
1112042,CONSULTATION,CONSULTATION,OUTSIDE CONSULTATION CONSULTANT,750
1112043,CONSULTATION,CONSULTATION,OUTSIDE CONSULTATION SPECIALIST,450
1112044,CONSULTATION,CONSULTATION,PAEDIATRIC CONSULTATION,125
1112045,CONSULTATION,CONSULTATION,PEDIATRIC CARDIOLOGY CONSULTATION,125
1112046,CONSULTATION,CONSULTATION,PEDIATRIC SURGERY CONSULTATION,125
1112047,CONSULTATION,CONSULTATION,PSYCHIATRIC CONSULTATION,125
1112048,CONSULTATION,CONSULTATION,PSYCHIATRIC FOLLOW-UP (WITHIN 7 DAYS),125
1112049,CONSULTATION,CONSULTATION,PSYCHO THERAPY (PER SESSION),125
1112050,CONSULTATION,CONSULTATION,RHEUMATOLOGY  CONSULTATION,125
1112051,CONSULTATION,CONSULTATION,SURGERY CONSULTATION,125
1112052,CONSULTATION,CONSULTATION,UROLOGY CONSULTATION,125
1112053,CONSULTATION,CONSULTATION,CONSULTANT OR SPECIALIST CALL BY NAME FOR DELIVERY REQUESTED BY THE PATIENT,950
1112054,OBS/GYN ,OBS/GYN SERVICES ,ANC PACKAGE DEAL - FULL PAYMENT - NET,4750
1112055,OBS/GYN ,OBS/GYN SERVICES ,ANC PACKAGE DEAL - FIRST INSTALLMENT - NET,2969
1112056,OBS/GYN ,OBS/GYN SERVICES ,ANC PAKAGE  DEAL - SECOND INSTALLMENT- NET,1782
2112001,ROOM & BOARD,ACCOMODATION,ACCOMODATION / SUITE PER DAY (BED ONLY),1140
2112002,ROOM & BOARD,ACCOMODATION,ACCOMODATION / PRIVATE PER DAY (BED ONLY),380
2112003,ROOM & BOARD,ACCOMODATION,ACCOMODATION / SEMI-PRIVATE PER DAY (BED ONLY),266
2112004,ROOM & BOARD,ACCOMODATION,ACCOMODATION / PAEDIATRIC WARD (BED ONLY),266
2112005,ROOM & BOARD,ACCOMODATION,ACCOMODATION / INFANT INCUBATOR (BED ONLY),266
2112006,ROOM & BOARD,ACCOMODATION,ACCOMODATION / NURSERY (BED ONLY),190
2112008,ROOM & BOARD,ACCOMODATION,ACCOMODATION / SUITE ROOM ICU PER DAY (BED ONLY),2660
2112012,ROOM & BOARD,ACCOMODATION,ACCOMODATION / NICU INTERMEDIATE CARE (CRIB) (BED ONLY),760
2112013,ROOM & BOARD,ACCOMODATION,ACCOMODATION / NICU - ISOLATION PER DAY (BED ONLY),1520
2112014,ROOM & BOARD,ACCOMODATION,ACCOMODATION / ISOLATION ROOM / ADULT (BED ONLY),380
2112015,ROOM & BOARD,ACCOMODATION,HEAD OXYGEN BOX (NEO-NATAL CARE),124
2112016,ROOM & BOARD,ACCOMODATION,ROOM DIFFERENCE (SEMI PVT - PVT),114
2112017,ROOM & BOARD,ACCOMODATION,ROOM DIFFERENCE (SEMI PVT - SUITE),874
2112018,ROOM & BOARD,ACCOMODATION,ROOM DIFFERENCE (PVT - SUITE),760
2112019,ROOM & BOARD,ACCOMODATION,NURSING CARE / WARD PER DAY ,143
2112020,ROOM & BOARD,ACCOMODATION,NURSING CARE / ICU PER DAY ,238
2112021,ROOM & BOARD,ACCOMODATION,SPECIAL NURSE 24 HOURS,760
2112022,ROOM & BOARD,ACCOMODATION,NURSE AIDE 24 HRS,475
2112023,ROOM & BOARD,ACCOMODATION,COMPANION CHARGES WITH ADULT PER DAY ,190
2112024,ROOM & BOARD,ACCOMODATION,COMPANION CHARGES WITH CHILD PER DAY ,143
2112025,ROOM & BOARD,ACCOMODATION,DISPOSABLES WARD,149
2112026,ROOM & BOARD,ACCOMODATION,DISPOSABLES I.C.U.,285
2112027,ROOM & BOARD,ACCOMODATION,DISPOSABLES  NICU,285
2112028,ROOM & BOARD,ACCOMODATION,ISOLATION DISPOSABLES PER DAY ,380
2112029,ROOM & BOARD,ACCOMODATION,EXTRA LUNCH/DINNER TRAY,38
2112030,ROOM & BOARD,ACCOMODATION,TELEPHONE CHARGES ,0
2122001,ENT,ENT SERVICES ,ALTERNATE BINAURAL LOUDNESS BALANCING (ABLB),143
2122002,ENT,ENT SERVICES ,ANTERIOR NASAL PACK (L.A.),475
2122003,ENT,ENT SERVICES ,AUDIOLOGICAL ASSESSMENT,475
2122004,ENT,ENT SERVICES ,AUDIOLOGICAL ASSESSMENT WITH ABR,1425
2122005,ENT,ENT SERVICES ,AUDITORY BRAINSTEM RESPONSE (ABR) ,1425
2122006,ENT,ENT SERVICES ,CANALITH REPOSITIONING,760
2122007,ENT,ENT SERVICES ,CHEMICAL CAUTRY,72
2122008,ENT,ENT SERVICES ,CRYOTONSILLECTOMY,570
2122009,ENT,ENT SERVICES ,CRYOTURBINECTOMY,285
2122010,ENT,ENT SERVICES ,DP-OTO-ECUASTIC EMISSION,333
2122011,ENT,ENT SERVICES ,EAR WASH / SUCTION OF IMPACTED CERUMEN / UNILATERAL,48
2122012,ENT,ENT SERVICES ,EAR WASH / SUCTION OF IMPACTED CERUMEN / BILATERAL,95
2122013,ENT,ENT SERVICES ,ELECTRICAL CAUTRY,167
2122014,ENT,ENT SERVICES ,EPISTAXIS NASAL PACK,143
2122015,ENT,ENT SERVICES ,EUSTACHIAN TUBE FUNCTION,143
2122016,ENT,ENT SERVICES ,FINE NEEDLE ASPIRATION CYTOLOGY,404
2122017,ENT,ENT SERVICES ,FLEXIBLE ENDOSCOPY + PRINT,475
2122018,ENT,ENT SERVICES ,FLEXIBLE ENDOSCOPY + STROBOSCOPY ,713
2122019,ENT,ENT SERVICES ,FLEXIBLE OESOPHOAGOSCOPY,1188
2122020,ENT,ENT SERVICES ,FOREIGN BODY REMOVAL - NOSE / EAR,95
2122021, ENT,ENT SERVICES ,FOREIGN BODY REMOVAL L.A. (THROAT),285
2122022,ENT,ENT SERVICES ,FREXIBLE NASAL ENDOSCOPY,190
2122023,ENT,ENT SERVICES ,INCISION + DRAINAGE OF QUINZY (L.A),570
2122024,ENT,ENT SERVICES ,INCISION AND DRAINAGE ,238
2122025,ENT,ENT SERVICES ,INTRA TYMPANIC STEROID INJECTION (ITSI),2375
2122026,ENT,ENT SERVICES ,LARYNGO-BRONOSCOPY/DIAGNOSTIC,665
2122027,ENT,ENT SERVICES ,LARYNGO-BRONOSCOPY/DIAGNOSTIC + BIOPSY,950
2122028,ENT,ENT SERVICES ,LARYNGO-BRONOSCOPY/DIAGNOSTIC + FILM,808
2122029,ENT,ENT SERVICES ,MASTOID ABSCESS DRAINAGE (L.A.),570
2122030,ENT,ENT SERVICES ,MYRINGOTOMY & GROMMET - OPD,570
2122031,ENT,ENT SERVICES ,MYRINGOTOMY (LOCAL),238
2122032,ENT,ENT SERVICES ,NASAL IRRIGATION DEVICE,1425
2122033,ENT,ENT SERVICES ,NOSE/SINUS WASH,48
2122034,ENT,ENT SERVICES ,OTO ACOUSTIC EMISSION OAE,475
2122035,ENT,ENT SERVICES ,OTOCOUSTIC EMISSION,285
2122036,ENT,ENT SERVICES ,POST OPERATIVE FOLLOW UP ENDOSCOPY,190
2122037,ENT,ENT SERVICES ,POSTERIOR NASAL PACK (L.A.),713
2122038,ENT,ENT SERVICES ,PURE TONE AUDIOMETRY,95
2122039,ENT,ENT SERVICES ,PURE TONE AUDIOMETRY (AIR & BONE),285
2122040,ENT,ENT SERVICES ,PURE TONE AUDIOMETRY (AIR & BONE) / FOLLOW UP ,143
2122041,ENT,ENT SERVICES ,PURE TONE AUDIOMETRY + SPEECH,285
2122042,ENT,ENT SERVICES ,REPEATED EAR DRESSING FOR OTITIS EXTERNA EACH,72
2122043,ENT,ENT SERVICES ,RIGID ENDOSCOPY + PRINT,333
2122044,ENT,ENT SERVICES ,RIGID ENDOSCOPY + STROBOSCOPY,570
2122045,ENT,ENT SERVICES ,RIGID NASAL ENDOSCOPY,190
2122046,ENT,ENT SERVICES ,SCREENING AUDIOMETRY,95
2122047,ENT,ENT SERVICES ,SINSUS PUNCTURE,238
2122048,ENT,ENT SERVICES ,SINUS ENDOSCOPY  (ONE TIME) / FOLLOW UP ,95
2122049,ENT,ENT SERVICES ,SOMNOPLASTY PALATE - CLINIC,3325
2122050,ENT,ENT SERVICES ,SOMNOPLASTY PALATE - SECOND,2375
2122051,ENT,ENT SERVICES ,SOMNOPLASTY TOUNGE - CLINIC (1ST STAGE),6175
2122052,ENT,ENT SERVICES ,SOMNOPLASTY TOUNGE - CLINIC (2ND STAGE),2850
2122053,ENT,ENT SERVICES ,STRENGER TEST,143
2122054,ENT,ENT SERVICES ,SUCTION CLEARANCE,48
2122055,ENT,ENT SERVICES ,TONE DECAY TEST,143
2122056,ENT,ENT SERVICES ,TYMPANOMETRY,95
2122057,ENT,ENT SERVICES ,TYMPANOMETRY / FOLLOW UP ,143
2122058,ENT,ENT SERVICES ,TYMPANOMETRY + ACUASTIC REFLEXES,285
2122059,ENT,ENT SERVICES ,VESTIBLUAR TEST BATERY,6650
2122060,ENT,ENT SERVICES ,VESTIBULAR ABSCESS DRAINAGE,285
2122061,ENT,ENT SERVICES ,VESTIBULAR POSITIONING TEST,570
2122062,ENT,ENT SERVICES ,VESTIBULAR REHABILATION,48
2122063,ENT,ENT SERVICES ,VIDEO RHINOSCOPY ,570
2122064,ENT,ENT SERVICES ,VIDEO LARYNGOSCOPY,570
2122065,ENT,ENT SERVICES ,VEDIO NYSTAGMOGRAPHY (VNG),1425
2132001,UROLOGY,UROLOGY SERVICES ,CYSTOSCOPY WITH BIOPSY ,665
2132002,UROLOGY,UROLOGY SERVICES ,FLEXIBLE / RIGID CYSTOSCOPY,1663
2132003,UROLOGY,UROLOGY SERVICES ,CYSTOLYSIS IRRIGATION - BLADDER WASH,38
2132004,UROLOGY,UROLOGY SERVICES ,CYSTOSCOPY + RETROGRADE URETERIC CATHER UNDER G.A.,1235
2132005,UROLOGY,UROLOGY SERVICES ,REMOVAL OF URINERY CATHETER,48
2132006,UROLOGY,UROLOGY SERVICES ,PENILE DOPPLER TEST,808
2132007,UROLOGY,UROLOGY SERVICES ,UROFLOWMETRY ,190
2132008,UROLOGY,UROLOGY SERVICES ,CYSTOMETRY,1045
2132009,UROLOGY,UROLOGY SERVICES ,CYSTOMETRY AND URETHRAL PRESSURE STUDY,1330
2132010,UROLOGY,UROLOGY SERVICES ,"CYSTOMETRY, URETHRAL PRESSURE STUDY & EMG",1615
2132011,UROLOGY,UROLOGY SERVICES ,VIDEO URODYNAMICS,1995
2132012,UROLOGY,UROLOGY SERVICES ,INTRA CORPORAL INJECTION WITH DRUG,262
2132013,UROLOGY,UROLOGY SERVICES ,DIVERTICULAM - EXCISION OF BLADDER,1995
2132014,UROLOGY,UROLOGY SERVICES ,SPS CHANGING (SUPRAPUBIC CATHETHER CHANGING),238
2132015,UROLOGY,UROLOGY SERVICES ,SUPRAPUBIC CATHETER,238
2132016,UROLOGY,UROLOGY SERVICES ,URETHERAL SWAB CULTURE,208
2132017,UROLOGY,UROLOGY SERVICES ,URETHRAL DILATION BY METAL DILATORS,713
2132018,UROLOGY,UROLOGY SERVICES ,URINARY STENT REMOVAL (CLINIC PROCEDURE ULA),2375
2142001,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY  (PER PROCEDURE),57
2142002,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY HYDROTHERAPY,57
2142003,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY EXERCISES,57
2142004,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY CRYOTHERAPY,57
2142005,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY MUSCLE STIMULATION,57
2142006,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY MASSAGE,57
2142007,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY HOT PACKS,57
2142008,PHYSICAL THERAPY,PHYSIOTHERAPY,NERVE CONDUCTION,428
2142009,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY ULTRASOUND,57
2142010,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY WAX,57
2142011,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY SHORTWAVE DIATHERMY,57
2142012,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY TRACTION,57
2142013,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY ULTRA VIOLET,57
2142014,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY STEAM INHALATION,57
2142015,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY OTHERS,57
2142016,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY CHEST,57
2142017,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY LAZER,57
2142018,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY INTEREFERENTIAL,57
2142019,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY TENS,57
2142020,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY RUSSIAN CURRENT,57
2142021,PHYSICAL THERAPY,PHYSIOTHERAPY,SHOCK WAVE THERAPY,190
2142022,PHYSICAL THERAPY,PHYSIOTHERAPY,SCANNER LASER,119
2142023,PHYSICAL THERAPY,PHYSIOTHERAPY,MAGNA THERAPY,95
2142024,PHYSICAL THERAPY,PHYSIOTHERAPY,VASOTRAIN,190
2142025,PHYSICAL THERAPY,PHYSIOTHERAPY,HYDROTHERAPY (WHOLE BODY),95
2142026,PHYSICAL THERAPY,PHYSIOTHERAPY,HYDROTHERAPY (PART OF BODY),48
2142027,PHYSICAL THERAPY,PHYSIOTHERAPY,OCCUPATIONAL THERAPY (MORE THAN ONE PART),190
2142028,PHYSICAL THERAPY,PHYSIOTHERAPY,OCCUPATIONAL THERAPY (ONE PART),143
2142029,PHYSICAL THERAPY,PHYSIOTHERAPY,OCCUPATIONAL THERAPY & PHYSIOTHERAPY (ONE SITTING),262
2142030,PHYSICAL THERAPY,PHYSIOTHERAPY,OCCUPATIONAL THERAPY (SPEECH / SWALLOWING),392
2152001,RESPIRATORY,RESPIRATORY THERAPY,FLEXIBLE BRONCHOSCOPY,3325
2152002,RESPIRATORY,RESPIRATORY THERAPY,CHEST PHYSIO. &  POSTURAL DRAINAGE,43
2152003,RESPIRATORY,RESPIRATORY THERAPY,AIR MIST THERAPY,34
2152004,RESPIRATORY,RESPIRATORY THERAPY,PULMONARY FUNCTION TEST,323
