PACKAGE CODE ,CATEGORY,SUB-CATEGORY,PACKAGES,Admission Days (LOS) ICU,Admission Days (LOS) WORD,NEW PRICE,3
1014004,E.N.T.,HEAD & NECK SURG.,SUPERFICIAL PAROTIDECTOMY,0,2,19695.0,87
1014005,E.N.T.,HEAD & NECK SURG.,THYROGLOSSAL CYST EXCISION ,0,2,13635.0,88
1014006,E.N.T.,HEAD & NECK SURG.,TOTAL LARYNGECTOMY ,0,2,18180.0,89
1014007,E.N.T.,HEAD & NECK SURG.,TOTAL PAROTIDECTOMY,0,2,24240.0,90
2011001,GENERAL SURG.,MINOR SURG,ANAL DILATATION (U.G.A.),0,1,3264.0,91
2011002,GENERAL SURG.,MINOR SURG,ANESTHESIA (G.A OR SEDATION)  FOR  PROCEDURE,0,D/C,1750.0,92
2011003,GENERAL SURG.,MINOR SURG,CIRCUMCISION (ADULT) (U.G.A.),0,D/C,2932.5,93
2011004,GENERAL SURG.,MINOR SURG,CIRCUMCISION (ADULT) (U.L.A.),0,D/C,1530.0,94
2011005,GENERAL SURG.,MINOR SURG,CIRCUMCISION (LESS THAN ONE YEAR),0,D/C,714.0,95
2011006,GENERAL SURG.,MINOR SURG,DERMOID CYST EXCISION,0,1,3255.0,96
2011007,GENERAL SURG.,MINOR SURG,DIVISION OF TONGUE TIE (U.L.A.),0,D/C,2760.0,97
2011008,GENERAL SURG.,MINOR SURG,ENDOSCOPIC POLYPECTOMY,0,D/C,2958.0,98
2011009,GENERAL SURG.,MINOR SURG,EXCISION OF BREAST LUMP FOR BIOPSY (U.G.A.) (WITHOUT HISTOPATHOLOGY),0,1,3255.0,99
2011010,GENERAL SURG.,MINOR SURG,EXCISION OF BREAST LUMP / LUMPECTOMY - MULTIPLE OR SINGLE (U.G.A.),0,D/C,4050.0,100
2011011,GENERAL SURG.,MINOR SURG,EXCISION OF SIMPLE CYST OR LIPOMA (U.G.A.) WITH HISTOPATHOLOGY ,0,D/C,3913.75,101
2011012,GENERAL SURG.,MINOR SURG,EXCISION OF SIMPLE OR SMALL LIPOMA UNDER (U.G.A.),0,D/C,2958.0,102
2011013,GENERAL SURG.,MINOR SURG,EXCISION OF SIMPLE OR SMALL LIPOMA UNDER (U.L.A.),0,0,1836.0,103
2011014,GENERAL SURG.,MINOR SURG,EXCISION OF SIMPLE TUMOUR / CHRONIC ABCESS OF BREAST,0,D/C,3255.0,104
2011015,GENERAL SURG.,MINOR SURG,EXCISION OF SIMPLE TUMOURS OR CHRONIC BREAS ABSCESS,0,D/C,3686.5,105
2011016,GENERAL SURG.,MINOR SURG,EXCISION OF SINGLE / MULTIPLE NEUROFIBROMA,0,D/C,5872.5,106
2011017,GENERAL SURG.,MINOR SURG,INCISION WITH DRAINAGE LARGE OR DEEP ABSESS UNDER G.A.,0,D/C,3535.0,107
2011018,GENERAL SURG.,MINOR SURG,EXCISION OF INGROWING TOE NAIL (U.G.A.),0,D/C,3535.0,108
2011019,GENERAL SURG.,MINOR SURG,IMPERFORATED ANUS / LOW ,0,D/C,6060.0,109
2011020,GENERAL SURG.,MINOR SURG,PERCUTANEOUS LIVER BIOPSY,0,D/C,2932.5,110
2011021,GENERAL SURG.,MINOR SURG,PERIANAL ABSCESS (U.G.A.),0,D/C,4797.5,111
2011022,GENERAL SURG.,MINOR SURG,TONGUE TIE RELEASE (U.G.A.),0,D/C,4040.0,112
2011023,GENERAL SURG.,MINOR SURG,FOREIGN BODY REMOVAL (U.L.A.),0,D/C,2777.5,113
2011024,GENERAL SURG.,MINOR SURG,THROMBOSED PILES OR EXCISION OF PERIANAL SKIN TAGS REMOVAL,0,D/C,4797.5,114
2011025,GENERAL SURG.,MINOR SURG,SUB-MANDIBULAR SALIVARY GLAND STONE REMOVAL,0,D/C,4797.5,115
2011026,GENERAL SURG.,MINOR SURG,OESOPHAGEAL SCLEROTHERAPY ,0,D/C,3535.0,116
2011027,GENERAL SURG.,MINOR SURG,ENTEROSCOPY SINGLE BALLOON ,0,D/C,4050.0,117
2011028,GENERAL SURG.,MINOR SURG,SUTURING LARGE WOUND (U.G.A.),0,D/C,3535.0,118
2011029,GENERAL SURG.,MINOR SURG,THORACOCENTESIS,0,0,1200.0,119
2012001,GENERAL SURG.,MEDIUM SURG,ACHALSIA OF CARDIA,0,1,9900.0,120
2012002,GENERAL SURG.,MEDIUM SURG,ADHESIOLYSIS / OPEN,0,1,6764.0,121
2012003,GENERAL SURG.,MEDIUM SURG,AMPUTATION / LIMB GANGRENE,0,2,11110.0,122
2012004,GENERAL SURG.,MEDIUM SURG,ANAL FISSURECTOMY,0,1,6120.0,123
2012005,GENERAL SURG.,MEDIUM SURG,APPENDECTOMY ,0,1,6375.0,124
2012006,GENERAL SURG.,MEDIUM SURG,COLOSTOMY CLOSURE WITH ANASTOMOSIS,0,1,7953.75,125
2012007,GENERAL SURG.,MEDIUM SURG,BURIED PENIS OR CONCEALED PENIS CORRECTION,0,1,25500.0,126
2012008,GENERAL SURG.,MEDIUM SURG,ERCP DIAGONSTIC ,0,D/C,4590.0,127
2012009,GENERAL SURG.,MEDIUM SURG,ENDOSCOPIC SPHINCTEROTOMY,0,D/C,5428.75,128
2012010,GENERAL SURG.,MEDIUM SURG,ENDOSCOPIC SPHINCTEROTOMY WITH DRAIN INSERTION,0,D/C,6691.25,129
2012011,GENERAL SURG.,MEDIUM SURG,ENDOSCOPIC SPHINCTEROTOMY WITH STONE CRUSHING,0,D/C,8332.5,130
2012012,GENERAL SURG.,MEDIUM SURG,ENDOSCOPIC SPHINCTEROTOMY WITH STONE EXTRACTION,0,D/C,6691.25,131
2012013,GENERAL SURG.,MEDIUM SURG,EPIGASTRIC HERNIA REPAIR / OPEN,0,1,7953.75,132
2012014,GENERAL SURG.,MEDIUM SURG,EXCISION OF BIG OR MULTIPLE LIPOMA (U.L.A.),0,1,4797.5,133
2012015,GENERAL SURG.,MEDIUM SURG,EXCISION OF BIG OR MULTIPLE LIPOMA (U.G.A.),0,1,5428.75,134
2012016,GENERAL SURG.,MEDIUM SURG,EXCISION OF SUBMANDIBULAR GLAND,0,1,7953.75,135
2012017,GENERAL SURG.,MEDIUM SURG,"GASTROSTOMY, COLOSTOMY (WITHOUT CONSUMABLES)",0,2,10226.25,136
2012018,GENERAL SURG.,MEDIUM SURG,HAEMORRHOIDECTOMY / SURGICAL,0,1,6757.5,137
2012019,GENERAL SURG.,MEDIUM SURG,HAEMORRHOIDECTOMY BY STAPPLER,0,1,8670.0,138
2012020,GENERAL SURG.,MEDIUM SURG,HYDROCELE,0,1,6691.25,139
2012021,GENERAL SURG.,MEDIUM SURG,"INGUINAL, UMBILICAL OR FEMORAL HERNIA",0,1,7395.0,140
2012022,GENERAL SURG.,MEDIUM SURG,APPENDECTOMY / LAPARASCOPIC ,0,1,9945.0,141
2012023,GENERAL SURG.,MEDIUM SURG,LAPARASCOPY / DIAGNOSTIC,0,1,7322.5,142
2012024,GENERAL SURG.,MEDIUM SURG,LAPARASCOPY (DIAGNOSTIC) WITH BIOPSY,0,1,8938.5,143
2012025,GENERAL SURG.,MEDIUM SURG,MASTECTOMY / GYNAECOMASTIA - MALES (UNI OR BILATERAL),0,1,6363.0,144
2012026,GENERAL SURG.,MEDIUM SURG,ORCHIDECTOMY,0,1,5428.75,145
2012027,GENERAL SURG.,MEDIUM SURG,MASTECTOMY / PARTIAL WITH HISTOPATHOLOGY,0,1,6691.25,146
2012028,GENERAL SURG.,MEDIUM SURG,COLONOSCOPY / PEDIATRIC ,0,2,7120.0,147
2012029,GENERAL SURG.,MEDIUM SURG,ENDOSCOPY / PEDIATRIC ,0,2,6230.0,148
2012030,GENERAL SURG.,MEDIUM SURG,PILONIDAL SINUS,0,2,6757.5,149
2012031,GENERAL SURG.,MEDIUM SURG,POST HAEMORRHOIDECTOMY ANUS STRICTURE ,0,2,7575.0,150
2012032,GENERAL SURG.,MEDIUM SURG,REMOVAL OF FOREIGN BODY (U.G.A.),0,1,4797.5,151
2012033,GENERAL SURG.,MEDIUM SURG,ANAL FISTULA / LOW - SIMPLE ,0,2,6691.25,152
2012034,GENERAL SURG.,MEDIUM SURG,INCISIONAL HERNIA WITH OR W/O HERNIOPLASTY,0,2,7322.5,153
2012035,GENERAL SURG.,MEDIUM SURG,SPERMATOCELE,0,1,7070.0,154
2012036,GENERAL SURG.,MEDIUM SURG,ERCP / THERAPEUTIC ,0,D/C,6230.0,155
2012037,GENERAL SURG.,MEDIUM SURG,THYROGLOSSAL CYST / FISTULA,0,1,10226.25,156
2012038,GENERAL SURG.,MEDIUM SURG,UNDESCENDED TESTIS WITHIN THE INGUINAL CANAL,0,1,10857.5,157
2012039,GENERAL SURG.,MEDIUM SURG,VARICOCELES,0,1,6691.25,158
2012040,GENERAL SURG.,MEDIUM SURG,VARICOSE VEINS STRIPPING  (BILATERAL),0,1,10965.0,159
2012041,GENERAL SURG.,MEDIUM SURG,VARICOSE VEINS STRIPPING  (UNILATERAL),0,1,8032.5,160
2013001,GENERAL SURG.,MAJOR SURG,ACUTE PERITONITIS / LAPAROTOMY,0,2,12120.0,161
2013002,GENERAL SURG.,MAJOR SURG,HERNIA REPAIR BILATERAL,0,1,9090.0,162
2013003,GENERAL SURG.,MAJOR SURG,BOWEL RESECTION AND ANASTOMOSIS ,0,2,13382.5,163
2013004,GENERAL SURG.,MAJOR SURG,CHOLECYSTECTOMY,0,2,10250.0,164
2013005,GENERAL SURG.,MAJOR SURG,CHOLECYSTECTOMY WITH BILLIARY TRACT EXPLORATION / OPEN,0,2,15300.0,165
2013006,GENERAL SURG.,MAJOR SURG,CHOLECYSTECTOMY / LAPARASCOPIC ,0,2,16065.0,166
2013007,GENERAL SURG.,MAJOR SURG,CHOLECYSTODUODUOSTOMY,0,2,14790.0,167
2013008,GENERAL SURG.,MAJOR SURG,RECTAL PROLAPSE / COMPLETE ,0,2,13003.75,168
2013009,GENERAL SURG.,MAJOR SURG,INTESTINAL STRICTURE / CONGENITAL,0,2,12120.0,169
2013010,GENERAL SURG.,MAJOR SURG,PYLORIC STENOSIS / CONGENITAL ,0,2,12120.0,170
2013011,GENERAL SURG.,MAJOR SURG,A.V. FISTULA CREATION,0,2,14140.0,171
2013012,GENERAL SURG.,MAJOR SURG,DIAPHRAGMATIC HERNIA REPAIR,0,2,12751.25,172
2013013,GENERAL SURG.,MAJOR SURG,THYROID CYST ENUCLEATION,0,2,12120.0,173
2013014,GENERAL SURG.,MAJOR SURG,HEPATIC CYST EXCISION,0,2,12120.0,174
2013015,GENERAL SURG.,MAJOR SURG,FAECAL FISTULA,0,2,12120.0,175
2013016,GENERAL SURG.,MAJOR SURG,INTESTINAL VOLVULOUS,0,2,12120.0,176
2013017,GENERAL SURG.,MAJOR SURG,LAPARTOMY WITH/WITHOUT PROCEDURE ,0,2,12120.0,177
2013018,GENERAL SURG.,MAJOR SURG,LIVER ABSCESS WITH DRAINAGE,0,2,12120.0,178
2013019,GENERAL SURG.,MAJOR SURG,PARTIAL GASTRECTOMY,0,2,12120.0,179
2013020,GENERAL SURG.,MAJOR SURG,PARTIAL THYROIDECTOMY (SUB-TOTAL),0,2,10226.25,180
2013021,GENERAL SURG.,MAJOR SURG,PEG TUBE INSERTION / EXCHANGE,0,2,10560.0,181
2013022,GENERAL SURG.,MAJOR SURG,MASTECTOMY / RADICAL ,0,2,10560.0,182
2013023,GENERAL SURG.,MAJOR SURG,RECURRENT HERNIA,0,2,11220.0,183
2013024,GENERAL SURG.,MAJOR SURG,REPAIR OF GASTRIC / INTESTINAL PERFORATION ,0,2,12120.0,184
2013025,GENERAL SURG.,MAJOR SURG,BOWEL REPAIR,0,2,12120.0,185
2013026,GENERAL SURG.,MAJOR SURG,SPLENECTOMY,0,2,12120.0,186
2013027,GENERAL SURG.,MAJOR SURG,FISTULA / SURGICAL REVISION,0,1,7070.0,187
2013028,GENERAL SURG.,MAJOR SURG,THERAPEUTIC ERCP WITH LITHOTRIPSY WITH STENT,0,1,8800.0,188
2013029,GENERAL SURG.,MAJOR SURG,THERAPEUTIC ERCP WITH LITHOTRIPSY WITHOUT STENT,0,1,8360.0,189
2013030,GENERAL SURG.,MAJOR SURG,STRIPPING OF LSV WITH MULTIPLE LIGATION OF PERFORATES (UNILATERAL) (TRENDLENBERG OPERATION),0,2,10100.0,190
2013031,GENERAL SURG.,MAJOR SURG,HERNIA REPAIR / UNILATERAL ,0,1,6312.5,191
2013032,GENERAL SURG.,MAJOR SURG,VAGOTOMY WITH/WITHOUT GASTROENTEROSTOMY,0,2,12120.0,192
2014001,GENERAL SURG.,FINE MAJOR SURG,ADRENALECTOMY / BILATERAL,0,3,38380.0,193
2014002,GENERAL SURG.,FINE MAJOR SURG,ADRENALECTOMY / PARTIAL,0,3,30300.0,194
2014003,GENERAL SURG.,FINE MAJOR SURG,ADRENALECTOMY / LAPARASCOPIC ,0,3,23375.0,195
2014004,GENERAL SURG.,FINE MAJOR SURG,ASSISTED EXTENDED HEMICOLECTOMY / LAPARASCOPIC ,0,3,27775.0,196
2014005,GENERAL SURG.,FINE MAJOR SURG,ANAL FISTULA / BRANCHING AND HIGH ,0,2,7953.75,197
2014006,GENERAL SURG.,FINE MAJOR SURG,CHOLECYSTECTOMY WITH CBD EXPLORATION / LAPARASCOPY ,0,2,19442.5,198
2014007,GENERAL SURG.,FINE MAJOR SURG,ADHESIOLYSIS / LAPARASCOPIC,0,2,22725.0,199
2014008,GENERAL SURG.,FINE MAJOR SURG,EMBOLECTOMY,0,2,18180.0,200
2014009,GENERAL SURG.,FINE MAJOR SURG,END COLOSTOMY / LAPARASCOPIC ,0,2,13200.0,201
2014010,GENERAL SURG.,FINE MAJOR SURG,GASTRIC BY-PASS - LAPARASCOPIIC ,0,2,27775.0,202
2014011,GENERAL SURG.,FINE MAJOR SURG,HERNIA WITH MESH LAPARASCOPIC ,0,2,17675.0,203
2014012,GENERAL SURG.,FINE MAJOR SURG,HERNIA / LAPARASCOPIC ,0,2,15907.5,204
2014013,GENERAL SURG.,FINE MAJOR SURG,HERNIA REPAIR BILATERAL / LAPARASCOPIC ,0,2,22851.25,205
2014014,GENERAL SURG.,FINE MAJOR SURG,HIATUS HERNIA / LAPRASCOPIC ,0,2,26260.0,206
2014015,GENERAL SURG.,FINE MAJOR SURG,HIATUS HERNIA  / SURGICAL-OPEN,0,2,15150.0,207
2014016,GENERAL SURG.,FINE MAJOR SURG,INTESTINAL RESECTION AND ANASTOMOSIS / LAPARASCOPIC ,0,2,15300.0,208
2014017,GENERAL SURG.,FINE MAJOR SURG,INTRAGASTRIC BALLOON REMOVAL,0,D/C,2760.0,209
2014018,GENERAL SURG.,FINE MAJOR SURG,INTRAGASTRIC BALLOON INSERTION,0,1,15660.0,210
2014019,GENERAL SURG.,FINE MAJOR SURG,LEFT HEMICOLECTOMY,0,3,18180.0,211
2014020,GENERAL SURG.,FINE MAJOR SURG,HERNOPLASTY WITH MESH (LICHTENSTEIN REPAIR),0,2,12120.0,212
2014021,GENERAL SURG.,FINE MAJOR SURG,MESENTRIC LYMPH NODE BIOPSY / LAPARASCOPIC,0,2,15877.5,213
2014022,GENERAL SURG.,FINE MAJOR SURG,NISSEN FUNDOPLICATION / LAPARASCOPIC ,0,3,19360.0,214
2014023,GENERAL SURG.,FINE MAJOR SURG,OVARIAN CYSTECTOMY / LAPARASCOPIC ,0,1,9342.5,215
2014024,GENERAL SURG.,FINE MAJOR SURG,PARATHYROIDECTOMY / TOTAL,0,3,36360.0,216
2014025,GENERAL SURG.,FINE MAJOR SURG,PARATHYROIDECTOMY / PARTIAL,0,2,13332.0,217
2014026,GENERAL SURG.,FINE MAJOR SURG,PAROTIDECTOMY,0,2,17170.0,218
2014027,GENERAL SURG.,FINE MAJOR SURG,PERFURATED DUODENAL ULCER / LAPRASCOPIC  ,0,3,20957.5,219
2014028,GENERAL SURG.,FINE MAJOR SURG,PILONIDAL SINUS WITH RECONSTRUCTION FLAP,0,2,12120.0,220
2014029,GENERAL SURG.,FINE MAJOR SURG,ORAL MALIGNANCY / RADICAL SURGERY,0,2,17170.0,221
2014030,GENERAL SURG.,FINE MAJOR SURG,REPAIR OF EPIGASTRIC HERNIA BILATERAL / LAPARASCOPIC ,0,2,18432.5,222
2014031,GENERAL SURG.,FINE MAJOR SURG,REPAIR OF EPIGASTRIC HERNIA UNILATERAL / LAPARASCOPIC ,0,2,12625.0,223
2014032,GENERAL SURG.,FINE MAJOR SURG,REPAIR OF INCISIONAL HERNIA / LAPARASCOPIC ,0,2,20957.5,224
2014033,GENERAL SURG.,FINE MAJOR SURG,REPAIR OF PARAUMBILICAL HERNIA / LAPRASCOPIC ,0,2,20957.5,225
2014034,GENERAL SURG.,FINE MAJOR SURG,RESCTION OF DIVERTICULAM / LAPARASCOPIC ,0,3,17675.0,226
2014035,GENERAL SURG.,FINE MAJOR SURG,RIGHT HEMICOLECTOMY,0,3,17170.0,227
2014036,GENERAL SURG.,FINE MAJOR SURG,APPENDECTOMY / SILS,0,1,10560.0,228
2014037,GENERAL SURG.,FINE MAJOR SURG,CHOLECYSTECTOMY / SILS ,0,1,15660.0,229
2014038,GENERAL SURG.,FINE MAJOR SURG,HERNIOPLASTY / SILS TAPP ,0,1,17600.0,230
2014039,GENERAL SURG.,FINE MAJOR SURG,VARICOCELECTOMY / SILS ,0,1,9680.0,231
2014040,GENERAL SURG.,FINE MAJOR SURG,SPLENECTOMY LAPARASCOPIC ,0,3,27775.0,232
2014041,GENERAL SURG.,FINE MAJOR SURG,STRANGULATED HERNIA WITH BOWEL RESECTION AND ANASTOMOSIS,0,2,14645.0,233
2014042,GENERAL SURG.,FINE MAJOR SURG,STRANGULATED HERNIA W/O RESECTION ANASTOMOSIS,0,2,12751.25,234
2014043,GENERAL SURG.,FINE MAJOR SURG,SUBFASCIAL ENDOSCOPIC PERFORATED STAPLING  / LAPARASCOPIC ,0,2,11110.0,235
2014044,GENERAL SURG.,FINE MAJOR SURG,INTESTINAL CANCER SURGERY,0,3,19947.5,236
2014045,GENERAL SURG.,FINE MAJOR SURG,THYROIDECTOMY / TOTAL,0,2,12877.5,237
2014046,GENERAL SURG.,FINE MAJOR SURG,PELVIC EXACENTRATION / TOTAL ,0,3,28280.0,238
2014047,GENERAL SURG.,FINE MAJOR SURG,PANCREATECTOMY / TOTAL/PARTIAL (WHIPPLE PROCEDURE),0,3,24745.0,239
2014048,GENERAL SURG.,FINE MAJOR SURG,STRIPPING OF LSV WITH MULTIPLE LIGATION OF PERFORATES (BILATERAL) (TRENDLENBERG OPERATION),0,3,17675.0,240
2014049,GENERAL SURG.,FINE MAJOR SURG,VARICOCELECTOMY  / LAPARASCOPIC ,0,1,9342.5,241
2014050,GENERAL SURG.,FINE MAJOR SURG,VENTRAL HERNIA REPAIR  / LAPRASCOPIC  ,0,2,20957.5,242
