code,description,type
11261,Pulmonary dilator,medical-devices
11262,"Rectal dilator, reusable",medical-devices
11263,"Tracheal surgery dilator, reusable",medical-devices
11264,Fallopian tube dilator,medical-devices
11265,"Urethral dilator, reusable",medical-devices
11266,"Fixed-diameter cervical dilator, reusable",medical-devices
11267,Vaginal dilator,medical-devices
11268,"Vascular dilator, reusable",medical-devices
11289,Dissection kit,medical-devices
11290,Open-surgery dissector,medical-devices
11301,Closed-wound/centesis drainage receptacle,medical-devices
11305,Closed-wound drain,medical-devices
11307,Biliary T drain,medical-devices
11313,Dressing jar,medical-devices
11330,Biopsy drill bit,medical-devices
11332,"Cannulated surgical drill bit, reusable",medical-devices
11334,"Automatic cranial perforator, reusable",medical-devices
10003,"Abdominal binder, single-use",medical-devices
10014,Acupuncture kit,medical-devices
10024,Adaptometer,medical-devices
10025,Adenotome,medical-devices
10035,"Skin surface device adhesive, non-sterile",medical-devices
10051,Environmental air sampling kit,medical-devices
10058,Airway obstruction forceps,medical-devices
10082,Dental amalgam mixer,medical-devices
10089,"Amniotome, reusable",medical-devices
10098,Ampule opener,medical-devices
10149,Anaesthetist's stool,medical-devices
10153,"Ankle binder, single-use",medical-devices
10156,"Anoscope, reusable",medical-devices
10164,Apex cardiograph,medical-devices
10182,Arm bath,medical-devices
10190,Arrhythmia simulator,medical-devices
10201,Dental articulator,medical-devices
10226,Atomizer,medical-devices
10234,Rotating pneumatic tourniquet system,medical-devices
10243,Baby care kit,medical-devices
10266,Ballistocardiograph,medical-devices
10284,"Pressure bandage, non-latex, single-use",medical-devices
10286,Scultetus bandage,medical-devices
10289,Traction bandage,medical-devices
10297,Metabolic measurement trolley,medical-devices
10298,Bowl/basin stand,medical-devices
10304,Bath boot,medical-devices
10306,Bathing pillow,medical-devices
10316,Portable sitting bathtub,medical-devices
10326,Bed board,medical-devices
10335,Bedpan cover,medical-devices
10336,Bedpan rack,medical-devices
10338,Bedpan warming cabinet,medical-devices
10348,"Flotation therapy bed, adult",medical-devices
10363,Ventilation rocking bed,medical-devices
10383,Bicycle ergometer,medical-devices
10385,Bicycle exerciser,medical-devices
10403,Ultrasound aspiration biopsy procedure kit,medical-devices
10405,Seizure bite block,medical-devices
10406,Bladder irrigation kit,medical-devices
10408,Blade jar,medical-devices
10414,"Blanket warming cabinet, steam-heat",medical-devices
10415,"Bed blanket, reusable",medical-devices
10416,Rescue blanket,medical-devices
10417,"Infant blanket, reusable",medical-devices
10431,Electromagnetic blood flowmeter,medical-devices
10455,Bone cutter,medical-devices
10458,Orthopaedic bone staple driver,medical-devices
10480,Maternity brassiere,medical-devices
10481,"Postsurgical brassiere, non-antimicrobial",medical-devices
10483,"Breast binder, single-use",medical-devices
10484,"Nipple pad/ring, single-use",medical-devices
10516,"Burn kit, non-medicated",medical-devices
10520,"Cranial bur, reusable",medical-devices
10522,"Podiatric bur, reusable",medical-devices
10531,Bedside cabinet,medical-devices
10532,Dental cabinet,medical-devices
10535,Medicine cabinet,medical-devices
10551,Ophthalmic fundus camera,medical-devices
10558,Oscilloscope camera,medical-devices
10574,Cyclodialysis cannula,medical-devices
10575,Lacrimal procedural cannula,medical-devices
10614,Direct Fick cardiac output unit,medical-devices
10615,Thermal-dilution cardiac output unit,medical-devices
10642,Isolation room trolley,medical-devices
10647,"Cardiopulmonary resuscitation trolley, equipped",medical-devices
10667,Cast boot,medical-devices
10668,"Cast shoe, reusable",medical-devices
12097,"Infant limb immobilizer, reusable",medical-devices
12099,Knee immobilizer,medical-devices
12101,"Shoulder immobilizer, reusable",medical-devices
12102,"Wrist immobilizer, reusable",medical-devices
12103,Impedance cardiograph,medical-devices
12132,"Syringe-loaded injector, manual, professional",medical-devices
12135,Insect bite/sting kit,medical-devices
12143,Instrument tray,medical-devices
12144,Hysteroscopic insufflator,medical-devices
12155,Intrauterine haemostatic balloon catheter,medical-devices
12170,Intravenous administration tubing extension set,medical-devices
12223,Bucket liner,medical-devices
12229,Kinesthesiometer,medical-devices
12235,"Scalpel handle, reusable",medical-devices
12236,"Surgical instrument containment holder, single-use, sterile",medical-devices
12245,Ear knife,medical-devices
12250,Paraffin wax knife,medical-devices
12253,Skin grafting knife,medical-devices
12255,Tonsil knife,medical-devices
12276,Fixed examination/treatment light,medical-devices
12282,Operating light,medical-devices
12291,Rigid optical laparoscope,medical-devices
12292,"Laryngectomy tube, sterile",medical-devices
12294,Laryngostroboscope,medical-devices
11442,Electronystagmograph electrode,medical-devices
11444,"Electroconvulsive therapy system electrode/lead, single-use",medical-devices
11452,Nasopharyngeal electrode,medical-devices
11460,Electroretinograph electrode,medical-devices
11461,"Sweat-induction iontophoresis system electrode, single-use",medical-devices
11467,Electroencephalograph,medical-devices
11474,Electromyograph,medical-devices
11479,Electronystagmograph,medical-devices
11480,Electrooculograph,medical-devices
11482,Electroretinograph,medical-devices
11484,Electroconvulsive therapy system,medical-devices
11487,Electrostatic voltage detector,medical-devices
11490,Electrosurgical system generator,medical-devices
11507,Neurosurgical bone flap elevator,medical-devices
11522,"Emesis bowl, reusable",medical-devices
11531,Endometrial biopsy kit,medical-devices
11578,Endoscope-light transformer,medical-devices
11583,"Enema tip, single-use",medical-devices
11585,ENT examination/treatment system,medical-devices
11588,Incontinence sensor/alarm,medical-devices
11606,Ether anaesthesia dropper,medical-devices
11614,Evoked-potential graphic recording system,medical-devices
11638,Trapeze bar exerciser,medical-devices
11653,Eye wash cup,medical-devices
11655,Eye irrigation kit,medical-devices
11661,Eye pad,medical-devices
11675,Enteral feeding bag/bottle,medical-devices
11700,Fibrillator,medical-devices
11703,"Callous file/rasp, reusable",medical-devices
11704,Filiform urethral bougie,medical-devices
11711,Non-respiratory device ambient air filter,medical-devices
11719,Finger-stall,medical-devices
11744,Respiratory gas flow timer,medical-devices
11761,Fluxmeter,medical-devices
11772,"Footstool, conductive",medical-devices
11775,"Open-surgery biopsy forceps, reusable",medical-devices
11791,"Dressing/utility forceps, scissors-like, reusable",medical-devices
11792,Sterilizer transfer forceps,medical-devices
11799,Forceps jar,medical-devices
11850,Gasometer,medical-devices
11880,Autopsy glove,medical-devices
11885,Utility glove,medical-devices
11894,Gonioscope,medical-devices
11902,"Surgical gown, reusable",medical-devices
11905,"Patient gown, reusable",medical-devices
11937,Gustometer,medical-devices
11950,"Percussion hammer, manual, reusable",medical-devices
11961,"Face splash shield, single-use",medical-devices
11973,"Cardiopulmonary bypass system heat exchanger, reusable",medical-devices
11989,Electric pad whole-body heating system pad,medical-devices
11991,Heel stirrup,medical-devices
12009,His bundle detector,medical-devices
12030,Ether anaesthesia hook,medical-devices
12032,"Intrauterine device removal hook, reusable",medical-devices
12036,Eye muscle hook,medical-devices
12042,Hot water bottle,medical-devices
12050,Heated respiratory humidifier,medical-devices
12061,"Hyperbaric chamber, stationary",medical-devices
12082,Ice bag,medical-devices
12095,Arm immobilizer,medical-devices
12096,Elbow immobilizer,medical-devices
12535,"Medical equipment drape, single-use",medical-devices
12538,ENT surgical microscope,medical-devices
12542,Midstream urine specimen container IVD,medical-devices
12551,Obstetrical mirror,medical-devices
12552,Posture mirror,medical-devices
12554,"Aerosol tent, adult",medical-devices
12557,Oxygen administration face tent,medical-devices
12570,Moleskin,medical-devices
12662,Respiration monitor,medical-devices
12692,Myograph,medical-devices
12695,"Nail clippers, reusable",medical-devices
12696,"Orthopaedic implant inserter/extractor, reusable",medical-devices
13100,"Intravenous pressure infusor, manual",medical-devices
13116,Electronic thermometer probe cover,medical-devices
13120,"Lacrimal probe, reusable",medical-devices
13180,"Orthopaedic prosthesis implantation instrument, reusable",medical-devices
13187,Dental pulp analysis system,medical-devices
13201,Cardiac output dye dilution pump,medical-devices
13209,Enteral feeding pump,medical-devices
13215,"General-purpose infusion pump, line-powered",medical-devices
13217,Syringe pump,medical-devices
13220,Cardiac output unit infusion/withdrawal pump,medical-devices
13232,Corneoscleral punch,medical-devices
13235,Pupillograph,medical-devices
13236,"Pupillometer, line-powered",medical-devices
13274,Video cassette recorder,medical-devices
13291,Plastic surgery file/rasp,medical-devices
13299,"Power line receptacle tester, electrical",medical-devices
13300,"Power line receptacle tester, mechanical",medical-devices
13314,Refrigerator alarm,medical-devices
13316,Morgue refrigerator,medical-devices
13340,Line cord resistance tester,medical-devices
13356,Wheelchair/chair occupant restraint/support,medical-devices
13366,"Pulmonary resuscitator, pneumatic, reusable",medical-devices
13369,"Dressing-supportive tube/strip, single-use",medical-devices
12699,Epistaxsis balloon,medical-devices
12716,"Nebulizing system, heated",medical-devices
12719,Ultrasonic nebulizing system,medical-devices
12726,"Needle holder, reusable",medical-devices
12732,Airway needle,medical-devices
12739,Cholangiography needle,medical-devices
12740,"Dental syringe needle, single-use",medical-devices
12741,Haemodialysis needle,medical-devices
12747,Intra-arterial needle,medical-devices
12750,"Spring-loaded pneumoperitoneum needle, single-use",medical-devices
12779,"Infant feeding bottle, reusable",medical-devices
12800,Oncometer,medical-devices
12804,Ophthalmodiaphanoscope,medical-devices
12805,Ophthalmodiastimeter,medical-devices
12810,Ophthalmoleukoscope,medical-devices
12811,Bench-top keratometer,medical-devices
12820,Ophthalmotropometer,medical-devices
12839,Oscilloscope,medical-devices
12844,Orthopaedic osteotome,medical-devices
12846,Plastic surgery osteotome,medical-devices
12849,"Otoscope, direct",medical-devices
12855,"Oxygen administration kit, sterile",medical-devices
12861,Laboratory instrument gas monitor/regulator,medical-devices
12873,Stationary oxygen concentrator,medical-devices
12875,Oxygen administration tubing,medical-devices
12893,"Oxygen administration tent, adult",medical-devices
12935,Percussion pad,medical-devices
12955,Papanicolaou smear kit,medical-devices
12963,Pass-through cabinet,medical-devices
12980,Pelvimeter,medical-devices
12990,"Amniotic membrane perforator, reusable",medical-devices
12991,Ear lobe perforator,medical-devices
12996,Perineal irrigation kit,medical-devices
13017,Phonocardiograph,medical-devices
13039,Middle ear pick,medical-devices
13056,Limb plethysmograph,medical-devices
13085,Polygraph,medical-devices
13088,Portable bathing bath,medical-devices
13090,Body posture chart,medical-devices
12301,"Colonic lavage system, powered-flow",medical-devices
12304,Oral lavage system,medical-devices
12313,Leg bath,medical-devices
12319,"Lens loop, reusable",medical-devices
12326,"Manually-adjusted lensmeter, line-powered",medical-devices
12330,"Mobile patient lifting system, battery-powered",medical-devices
12351,Reflective dental light,medical-devices
12352,Fibreoptic dental light,medical-devices
12379,Lithotrite,medical-devices
12391,Wearable multiple physiological parameter recorder,medical-devices
12404,Lumbar puncture kit,medical-devices
12408,Lung simulator,medical-devices
12442,"Corneal marker, single-use",medical-devices
12463,"Breast pump support kit, single-use, sterile",medical-devices
12500,Medical bag,medical-devices
12501,Medical chart holder,medical-devices
12505,"Medicine cup, single-use",medical-devices
12506,Oral medicine dropper,medical-devices
12507,Medicine tray,medical-devices
12516,Magnetic metal detector,medical-devices
12518,Photographic metal detector,medical-devices
12519,Ultrasound metal detector,medical-devices
12524,Metreurynter,medical-devices
13810,Clavicle strap,medical-devices
13818,Portable stretcher,medical-devices
13837,Peritoneal catheter stylet,medical-devices
13839,"Urological catheter stylet, transurethral",medical-devices
13846,Secretion suction kit,medical-devices
13892,"Suture kit, medicated",medical-devices
13894,Suture removal kit,medical-devices
13895,Operative-site suture holder,medical-devices
13898,"Catgut suture, plain",medical-devices
13900,Cotton suture,medical-devices
13902,Linen suture,medical-devices
13904,"Metallic suture, multifilament",medical-devices
13906,"Polyester suture, non-bioabsorbable, multifilament",medical-devices
13907,"Polyolefin suture, multifilament",medical-devices
13909,"Polyolefin suture, monofilament",medical-devices
13910,"Silk suture, sterile",medical-devices
13913,Antiseptic swab,medical-devices
13946,T-binder,medical-devices
13951,Anaesthesia instrument table,medical-devices
13953,Autopsy table,medical-devices
13959,Instrument table,medical-devices
13964,"Physical therapy table, non-powered",medical-devices
13970,Tachistoscope,medical-devices
13983,Umbilical cord tape,medical-devices
13371,Viscera retention paddle,medical-devices
13380,Hand-held dental retractor,medical-devices
13399,Ring cutter,medical-devices
13459,Blood weighing scale,medical-devices
13472,Scarifier,medical-devices
13481,"Bandage scissors, reusable",medical-devices
13486,Corneal scissors,medical-devices
13487,Enucleation scissors,medical-devices
13488,"Intraocular scissors, conventional-hinge, reusable",medical-devices
13489,Ophthalmic suture scissors,medical-devices
13495,Nasal scissors,medical-devices
13496,Neurosurgical scissors,medical-devices
13501,Rectal scissors,medical-devices
13502,Suture scissors,medical-devices
13507,Sclerotome,medical-devices
13509,Gallstone scoop,medical-devices
13514,Bedside screen,medical-devices
13527,"Scrub suit, reusable",medical-devices
13532,Mastoid searcher,medical-devices
13538,Respiratory oxygen sensor,medical-devices
13543,Pylorus separator,medical-devices
13544,Toe separator,medical-devices
13551,Knife sharpener,medical-devices
13552,Needle sharpener,medical-devices
13565,Bunion shield,medical-devices
13570,Wound shield,medical-devices
13575,"Shoe cover, conductive, non-sterile",medical-devices
13576,Non-conductive shoe,medical-devices
13578,Conductive shoe,medical-devices
13583,Shroud kit,medical-devices
13586,Arteriovenous shunt,medical-devices
13589,Peritoneovenous shunt,medical-devices
13607,Sitz bath chair,medical-devices
13609,"Sitz bath, powered",medical-devices
13614,Skin graft mesher,medical-devices
13622,Suspension arm sling,medical-devices
13623,Knee sling,medical-devices
13624,Leg sling,medical-devices
13632,Tonsil snare,medical-devices
13634,Fracture sock,medical-devices
13635,Stump sock,medical-devices
13643,"Urethral sound, reusable",medical-devices
13644,"Uterine sound, reusable",medical-devices
13671,Sphygmograph,medical-devices
13673,Spine board,medical-devices
13680,Diagnostic spirometer,medical-devices
13692,"Sponge bowl, reusable",medical-devices
13693,Surgical sponge-counting rack,medical-devices
13698,Dissection sponge,medical-devices
13701,Germicidal sponge,medical-devices
13702,Neurosurgical sponge,medical-devices
13704,Ophthalmic sponge,medical-devices
13708,Cast spreader,medical-devices
13709,"Rib spreader, reusable",medical-devices
13725,Physical therapy steam bath,medical-devices
13730,Sterilization/disinfection container,medical-devices
13732,Biological sterilization indicator,medical-devices
13735,"Sterilization packaging, single-use",medical-devices
13740,Ethylene oxide sterilizer,medical-devices
13754,Electronic stethoscope,medical-devices
13755,Mechanical stethoscope,medical-devices
13756,Ultrasound stethoscope,medical-devices
13763,Acupuncture electrical stimulation system,medical-devices
14152,"Cranial trephine, reusable",medical-devices
14187,"Colonic lavage nozzle, non-sterile, single-use",medical-devices
14189,Culture tube,medical-devices
14194,Enema tube,medical-devices
14221,Nasogastric feeding tube,medical-devices
14239,High-pressure medical gas tubing,medical-devices
14285,Ureterotome,medical-devices
14286,"Urethral bougie, reusable",medical-devices
14290,Urinal cover,medical-devices
14301,Urological irrigation kit,medical-devices
14302,Urine strainer,medical-devices
14307,Urodynamic measurement system,medical-devices
14322,Vagina moulding kit,medical-devices
14323,Vaginometer,medical-devices
14337,"PEEP valve, reusable",medical-devices
14339,Valvulotome,medical-devices
14345,Vectorcardiograph,medical-devices
14359,Ventilator IMV controller,medical-devices
14361,Neonatal intensive-care ventilator,medical-devices
14367,Vessel depressor,medical-devices
14379,Viscerotome,medical-devices
14380,Visual field plotter,medical-devices
14386,Vitrectomy system generator,medical-devices
14389,Voltmeter,medical-devices
15128,Sweat-induction iontophoresis system,medical-devices
15132,"Cell morphology analyser IVD, manual",medical-devices
15133,Laboratory diluter,medical-devices
15134,Paraffin wax dispenser,medical-devices
15137,"Gastro-oesophageal pH/impedance catheter, sterile",medical-devices
15139,Laboratory evaporator,medical-devices
15145,Basic laboratory freezer,medical-devices
15154,Mortuary lift,medical-devices
15155,"Inoculating loop IVD, manual",medical-devices
15157,Cryostat microtome,medical-devices
15158,Rotary microtome,medical-devices
15159,Sliding microtome,medical-devices
15160,Ultramicrotome,medical-devices
14426,Contaminated waste receptacle,medical-devices
14427,Kick bucket,medical-devices
14429,Hydro-massage turbine,medical-devices
14435,Deionization water purification system,medical-devices
14437,Reverse-osmosis water purification system,medical-devices
14438,Ultraviolet water purification system,medical-devices
14450,Hydrotherapy bath/tank,medical-devices
14457,Wire ligature,medical-devices
14462,"Wound irrigation kit, sterile",medical-devices
14465,"Wrist binder, single-use",medical-devices
14473,X-ray film cassette holder,medical-devices
14475,X-ray film dryer,medical-devices
15015,Oxygen breath analyser,medical-devices
15023,Femoral artery/vein access catheter,medical-devices
15026,Moist-cold pack,medical-devices
15028,"Cricothyrotomy kit, reusable",medical-devices
15038,Rib guillotine,medical-devices
15041,Umbilical ligator,medical-devices
15047,Gauze packer,medical-devices
15048,Intraocular pressure-reducing system,medical-devices
15053,Wheelchair-accessible platform scale,medical-devices
15056,"Shoe cover, non-conductive, non-sterile",medical-devices
15057,Flexible fibreoptic sigmoidoscope,medical-devices
15058,Rigid sigmoidoscope,medical-devices
15071,"Catheter-tip transducer, pressure",medical-devices
15074,Rigid bronchoscope,medical-devices
15076,"Rigid intubation laryngoscope, reusable",medical-devices
15078,Laboratory apron,medical-devices
15105,Laboratory heating block,medical-devices
15107,Tissue flotation bath,medical-devices
15110,Microscope slide maker IVD,medical-devices
15111,Burette,medical-devices
15115,Blood bank centrifuge,medical-devices
15117,"Low-speed floor centrifuge, refrigerated",medical-devices
15126,"Colony counter IVD, manual",medical-devices
13990,Temperature telemetric monitoring system,medical-devices
13997,Thyroid tenaculum,medical-devices
13998,Uterine tenaculum,medical-devices
13999,Tenotome,medical-devices
14025,Thermometer kit,medical-devices
14027,Thermometer shaker,medical-devices
14034,"Continuous electronic patient thermometer, battery-powered",medical-devices
14035,Intermittent electronic patient thermometer,medical-devices
14066,"Tongue depressor, surgical",medical-devices
14070,Tonsillectome,medical-devices
14074,Pneumatic tourniquet system,medical-devices
14077,Surgical towel,medical-devices
14082,Tracheal tube cuff,medical-devices
14089,"Tracheostomy tube cannula, single-use",medical-devices
14090,Tracheostomy care kit,medical-devices
14093,Tracheostoma button,medical-devices
14094,Tracheostomy tube cuff,medical-devices
14099,"Tracheostomy kit, single-use",medical-devices
14105,Static powered traction system,medical-devices
14106,Intermittent traction system,medical-devices
14119,"Invasive-pressure external transducer, reusable",medical-devices
14144,Tremograph,medical-devices
14147,Bone trephine,medical-devices
14148,"Corneal trephine, reusable",medical-devices
15836,"Hamper cover, single-use",medical-devices
15837,Hamper liner,medical-devices
15839,Hamper,medical-devices
15841,Public address paging system,medical-devices
15863,Voltage alarm,medical-devices
15896,General-purpose casework,medical-devices
15897,Laboratory casework,medical-devices
15899,Nursing station casework,medical-devices
15900,Patient room casework,medical-devices
15901,Pharmacy casework,medical-devices
15909,"Shower curtain, antimicrobial",medical-devices
15911,"Shower curtain, non-antimicrobial, reusable",medical-devices
15914,Eye bank freezer,medical-devices
15920,Eye bank refrigerator,medical-devices
15921,"Food refrigerator, reach-in",medical-devices
15922,"Food refrigerator, walk-in",medical-devices
15927,Direction sign,medical-devices
15928,Safety sign,medical-devices
15930,"Wall covering, antibacterial",medical-devices
15931,Laundry washing machine,medical-devices
15934,Examination/treatment room sink system,medical-devices
15935,Laboratory sink system,medical-devices
15936,Surgical scrub sink system,medical-devices
15939,Dental automated x-ray film processor,medical-devices
15163,"Nephelometry/turbidimetry analyser IVD, manual",medical-devices
15164,pH meter IVD,medical-devices
15169,Laboratory refractometer,medical-devices
15172,Explosion-proof refrigerator,medical-devices
15175,"Laboratory scale, electronic",medical-devices
15178,Laboratory shaker,medical-devices
15180,Autopsy/dissection sink system,medical-devices
15186,Test tube rack,medical-devices
15193,Ultrahigh-speed floor centrifuge,medical-devices
15200,Intracardiac oximeter,medical-devices
15270,Sump drain,medical-devices
15275,Bone awl,medical-devices
15276,Ampule,medical-devices
15281,Surgical scrub sponge,medical-devices
15283,Laboratory syringe filter,medical-devices
15286,Angiographic syringe,medical-devices
15288,Entoptoscope,medical-devices
15290,Rigid nephroscope,medical-devices
15313,Culdocentesis kit,medical-devices
15316,Arthrogram kit,medical-devices
15321,"Coupling gel, non-sterile",medical-devices
15325,Patient positioning vacuum pad,medical-devices
15593,"Bed pillow, reusable",medical-devices
15599,Microscope slide stainer IVD,medical-devices
15615,Central vacuum pump,medical-devices
15620,Intravenous track/carrier system,medical-devices
15622,Uterine injector,medical-devices
15624,"Tracheostomy tube dressing, sterile",medical-devices
15630,Vaginoscope,medical-devices
15652,Loupe,medical-devices
15660,Overbed light,medical-devices
15676,"Nasal snare, reusable",medical-devices
15677,Uterine elevator,medical-devices
15679,Tine test needle,medical-devices
15682,Centrifuge bucket/tube holder,medical-devices
15687,Microscope slide coverslip IVD,medical-devices
15688,Cerebrospinal fluid shunt filter,medical-devices
15695,Acupuncture chart,medical-devices
15702,Walking aid tip,medical-devices
15712,Rubber dam clamp,medical-devices
15713,Dental rongeur,medical-devices
15723,"Ophthalmic chair, line-powered",medical-devices
15726,Radiographic stretcher,medical-devices
15732,"Birthing bed/table, powered",medical-devices
15733,Surgical scrub station,medical-devices
15743,"Specimen container mailer, insulated",medical-devices
15749,Cranial bur hole cover,medical-devices
15750,Pill crusher/splitter,medical-devices
15752,Infant heat shield,medical-devices
15772,Surgical instrument maintenance lubricant,medical-devices
15774,Cast cutter blade,medical-devices
15778,"Clamp jaw cover, sterile",medical-devices
15779,Animal cage,medical-devices
15783,Stationary electric high-frequency ventilator,medical-devices
15787,Sphincteroscope,medical-devices
15794,"Scleral buckling device, bioabsorbable",medical-devices
15795,Radioisotope cardiac output unit,medical-devices
15799,"Food tray, reusable",medical-devices
15808,Evacuated intravenous fluid container,medical-devices
15819,X-ray film cutter,medical-devices
15826,Diplopiometer,medical-devices
15827,Soap dispenser,medical-devices
15828,Drying rack,medical-devices
16158,Mercury manual sphygmomanometer,medical-devices
16160,Anaphylactic kit,medical-devices
16163,Cardioplegia solution administration kit,medical-devices
16166,Transcutaneous bilirubinometer,medical-devices
16168,"Flotation therapy bed, neonatal",medical-devices
16172,Ethylene oxide/steam sterilizer,medical-devices
16173,"Automatic-inflation electronic sphygmomanometer, non-portable",medical-devices
16174,"Manual-inflation electronic sphygmomanometer, non-portable",medical-devices
16176,Body exhaust system,medical-devices
16177,Dye-dilution cardiac output unit,medical-devices
16181,Dental articulation paper,medical-devices
16184,"Dental polishing cup, reusable",medical-devices
16187,"Dental appliance fabrication material, ceramic",medical-devices
16189,Dental casting wax,medical-devices
16195,"Dental matrix band, reusable",medical-devices
16196,Dental restorative material dispenser,medical-devices
16197,"Mouth gag, non-adjustable",medical-devices
16204,Orthodontic wire,medical-devices
16205,Dental x-ray film holder,medical-devices
16210,"Hand/finger splint, single-use",medical-devices
16216,"Cubicle curtain, single-use",medical-devices
16219,Hypothermia-prevention cap,medical-devices
16221,Walker tray,medical-devices
16224,"Suture cutter, reusable",medical-devices
16227,Endocervical aspirator,medical-devices
16231,"Electrocardiograph, professional, multichannel",medical-devices
16469,Manual expandable cervical dilator,medical-devices
16473,Dental amalgam mercury dispenser,medical-devices
16476,Nystagmus inducing optokinetic drum,medical-devices
16477,Fire blanket,medical-devices
16480,Dental root elevator,medical-devices
16497,Reverse-image mirror,medical-devices
16500,Compression/pressure glove,medical-devices
16513,Adult whole-body immobilizer,medical-devices
16520,Tonsil scissors,medical-devices
16522,Cardiokymograph,medical-devices
16529,Medication spray bottle,medical-devices
16532,Autopsy station,medical-devices
16266,"Medication transfer needle, filtering",medical-devices
16283,"Drying rack, thin-layer chromatography plate",medical-devices
16291,Sweat specimen container IVD,medical-devices
16308,"Tongue scraper, single-use",medical-devices
16317,Visual paging system,medical-devices
16320,Pathology incinerator,medical-devices
16327,Laboratory environmental chamber,medical-devices
16330,Ultrasound pachymeter,medical-devices
16335,Anaerobic chamber,medical-devices
16339,Ethylene oxide dosimeter,medical-devices
16340,"Cast cutter, line-powered",medical-devices
16341,Cast cutting shears,medical-devices
16342,Anomaloscope,medical-devices
16343,Antistammering device,medical-devices
16345,Exophthalmometer,medical-devices
16347,"Keratoscope, powered",medical-devices
16349,Surgical instrument container system,medical-devices
16350,"Dental impression tray, single-use",medical-devices
16352,Gingival retraction kit,medical-devices
16355,Endodontic apex locator,medical-devices
16367,Dental amalgam,medical-devices
16370,"Dental wedge, reusable",medical-devices
16379,Bleeding time kit,medical-devices
16384,Blood tube mixer IVD,medical-devices
16400,Middle ear chisel,medical-devices
16405,Apheresis system,medical-devices
16413,"Corneal bur, rust ring removal, reusable",medical-devices
16414,Ophthalmic tonometer calibrator,medical-devices
16429,"Cholangiopancreatography catheter, single-use",medical-devices
16431,Intrapartum pressure monitoring catheter,medical-devices
16438,Microscope light source,medical-devices
16449,Cannula clamp,medical-devices
16460,"Dental amalgam condenser, reusable",medical-devices
