HCP Name,;,Department,S. Type,Code,Provider Service Description,LOS
SGH Jeddah ,2012041,SUR,PD,2012041,VARICOSE VEINS STRIPPING  (UNILATERAL),1
SGH Jeddah ,2013001,SUR,PD,2013001,ACUTE PERITONITIS / LAPAROTOMY,2
SGH Jeddah ,2013002,SUR,PD,2013002,HERNIA REPAIR BILATERAL,1
SGH Jeddah ,2013003,SUR,PD,2013003,BOWEL RESECTION AND ANASTOMOSIS ,2
SGH Jeddah ,2013004,SUR,PD,2013004,CHOLECYSTECTOMY,2
SGH Jeddah ,2013005,SUR,PD,2013005,CHOLECYSTECTOMY WITH BILLIARY TRACT EXPLORATION / OPEN,2
SGH Jeddah ,2013006,SUR,PD,2013006,CHOLECYSTECTOMY / LAPARASCOPIC ,2
SGH Jeddah ,2013007,SUR,PD,2013007,CHOLECYSTODUODUOSTOMY,2
SGH Jeddah ,2013008,SUR,PD,2013008,RECTAL PROLAPSE / COMPLETE ,2
SGH Jeddah ,2013009,SUR,PD,2013009,INTESTINAL STRICTURE / CONGENITAL,2
SGH Jeddah ,2013010,SUR,PD,2013010,PYLORIC STENOSIS / CONGENITAL ,2
SGH Jeddah ,2013011,SUR,PD,2013011,A.V. FISTULA CREATION,2
SGH Jeddah ,2013012,SUR,PD,2013012,DIAPHRAGMATIC HERNIA REPAIR,2
SGH Jeddah ,2013013,SUR,PD,2013013,THYROID CYST ENUCLEATION,2
SGH Jeddah ,2013014,SUR,PD,2013014,HEPATIC CYST EXCISION,2
SGH Jeddah ,2013015,SUR,PD,2013015,FAECAL FISTULA,2
SGH Jeddah ,2013016,SUR,PD,2013016,INTESTINAL VOLVULOUS,2
SGH Jeddah ,2013017,SUR,PD,2013017,LAPARTOMY WITH/WITHOUT PROCEDURE ,2
SGH Jeddah ,2013018,SUR,PD,2013018,LIVER ABSCESS WITH DRAINAGE,2
SGH Jeddah ,2013019,SUR,PD,2013019,PARTIAL GASTRECTOMY,2
SGH Jeddah ,2013020,SUR,PD,2013020,PARTIAL THYROIDECTOMY (SUB-TOTAL),2
SGH Jeddah ,2013021,SUR,PD,2013021,PEG TUBE INSERTION / EXCHANGE,2
SGH Jeddah ,2013022,SUR,PD,2013022,MASTECTOMY / RADICAL ,2
SGH Jeddah ,2013023,SUR,PD,2013023,RECURRENT HERNIA,2
SGH Jeddah ,2013024,SUR,PD,2013024,REPAIR OF GASTRIC / INTESTINAL PERFORATION ,2
SGH Jeddah ,2013025,SUR,PD,2013025,BOWEL REPAIR,2
SGH Jeddah ,2013026,SUR,PD,2013026,SPLENECTOMY,2
SGH Jeddah ,2013027,SUR,PD,2013027,FISTULA / SURGICAL REVISION,1
SGH Jeddah ,2013028,SUR,PD,2013028,THERAPEUTIC ERCP WITH LITHOTRIPSY WITH STENT,1
SGH Jeddah ,2013029,SUR,PD,2013029,THERAPEUTIC ERCP WITH LITHOTRIPSY WITHOUT STENT,1
SGH Jeddah ,2013030,SUR,PD,2013030,STRIPPING OF LSV WITH MULTIPLE LIGATION OF PERFORATES (UNILATERAL) (TRENDLENBERG OPERATION),2
SGH Jeddah ,2013031,SUR,PD,2013031,HERNIA REPAIR / UNILATERAL ,1
SGH Jeddah ,2013032,SUR,PD,2013032,VAGOTOMY WITH/WITHOUT GASTROENTEROSTOMY,2
SGH Jeddah ,2014001,SUR,PD,2014001,ADRENALECTOMY / BILATERAL,3
SGH Jeddah ,2014002,SUR,PD,2014002,ADRENALECTOMY / PARTIAL,3
SGH Jeddah ,2014003,SUR,PD,2014003,ADRENALECTOMY / LAPARASCOPIC ,3
SGH Jeddah ,2014004,SUR,PD,2014004,ASSISTED EXTENDED HEMICOLECTOMY / LAPARASCOPIC ,3
SGH Jeddah ,2014005,SUR,PD,2014005,ANAL FISTULA / BRANCHING AND HIGH ,2
SGH Jeddah ,2014006,SUR,PD,2014006,CHOLECYSTECTOMY WITH CBD EXPLORATION / LAPARASCOPY ,2
SGH Jeddah ,2014007,SUR,PD,2014007,ADHESIOLYSIS / LAPARASCOPIC,2
SGH Jeddah ,2014008,SUR,PD,2014008,EMBOLECTOMY,2
SGH Jeddah ,2014009,SUR,PD,2014009,END COLOSTOMY / LAPARASCOPIC ,2
SGH Jeddah ,2013033,SUR,PD,2013033,HERNIA REPAIR / PEDIATRIC,2
SGH Jeddah ,2013034,SUR,PD,2013034,HERNIA REPAIR / LAPAROSCOPIC PEDIATRIC,2
SGH Jeddah ,2014010,SUR,PD,2014010,GASTRIC BY-PASS - LAPARASCOPIIC ,2
SGH Jeddah ,2014011,SUR,PD,2014011,HERNIA WITH MESH LAPARASCOPIC ,2
SGH Jeddah ,2014012,SUR,PD,2014012,HERNIA / LAPARASCOPIC ,2
SGH Jeddah ,2014013,SUR,PD,2014013,HERNIA REPAIR BILATERAL / LAPARASCOPIC ,2
SGH Jeddah ,2014014,SUR,PD,2014014,HIATUS HERNIA / LAPRASCOPIC ,2
SGH Jeddah ,2014015,SUR,PD,2014015,HIATUS HERNIA  / SURGICAL-OPEN,2
SGH Jeddah ,2014016,SUR,PD,2014016,INTESTINAL RESECTION AND ANASTOMOSIS / LAPARASCOPIC ,2
SGH Jeddah ,2014017,SUR,PD,2014017,INTRAGASTRIC BALLOON REMOVAL,D/C
SGH Jeddah ,2014018,SUR,PD,2014018,INTRAGASTRIC BALLOON INSERTION,1
SGH Jeddah ,2014019,SUR,PD,2014019,LEFT HEMICOLECTOMY,3
SGH Jeddah ,2014020,SUR,PD,2014020,HERNOPLASTY WITH MESH (LICHTENSTEIN REPAIR),2
SGH Jeddah ,2014021,SUR,PD,2014021,MESENTRIC LYMPH NODE BIOPSY / LAPARASCOPIC,2
SGH Jeddah ,2014022,SUR,PD,2014022,NISSEN FUNDOPLICATION / LAPARASCOPIC ,3
SGH Jeddah ,2014023,SUR,PD,2014023,OVARIAN CYSTECTOMY / LAPARASCOPIC ,1
SGH Jeddah ,2014024,SUR,PD,2014024,PARATHYROIDECTOMY / TOTAL,3
SGH Jeddah ,2014025,SUR,PD,2014025,PARATHYROIDECTOMY / PARTIAL,2
SGH Jeddah ,2014026,SUR,PD,2014026,PAROTIDECTOMY,2
SGH Jeddah ,2014027,SUR,PD,2014027,PERFURATED DUODENAL ULCER / LAPRASCOPIC  ,3
SGH Jeddah ,2014028,SUR,PD,2014028,PILONIDAL SINUS WITH RECONSTRUCTION FLAP,2
SGH Jeddah ,2014029,SUR,PD,2014029,ORAL MALIGNANCY / RADICAL SURGERY,2
SGH Jeddah ,2014030,SUR,PD,2014030,REPAIR OF EPIGASTRIC HERNIA BILATERAL / LAPARASCOPIC ,2
SGH Jeddah ,2014031,SUR,PD,2014031,REPAIR OF EPIGASTRIC HERNIA UNILATERAL / LAPARASCOPIC ,2
SGH Jeddah ,2014032,SUR,PD,2014032,REPAIR OF INCISIONAL HERNIA / LAPARASCOPIC ,2
SGH Jeddah ,2014033,SUR,PD,2014033,REPAIR OF PARAUMBILICAL HERNIA / LAPRASCOPIC ,2
SGH Jeddah ,2014034,SUR,PD,2014034,RESCTION OF DIVERTICULAM / LAPARASCOPIC ,3
SGH Jeddah ,2014035,SUR,PD,2014035,RIGHT HEMICOLECTOMY,3
SGH Jeddah ,2014036,SUR,PD,2014036,APPENDECTOMY / SILS,1
SGH Jeddah ,2014037,SUR,PD,2014037,CHOLECYSTECTOMY / SILS ,1
SGH Jeddah ,2014038,SUR,PD,2014038,HERNIOPLASTY / SILS TAPP ,1
SGH Jeddah ,2014039,SUR,PD,2014039,VARICOCELECTOMY / SILS ,1
SGH Jeddah ,2014040,SUR,PD,2014040,SPLENECTOMY LAPARASCOPIC ,3
SGH Jeddah ,2014041,SUR,PD,2014041,STRANGULATED HERNIA WITH BOWEL RESECTION AND ANASTOMOSIS,2
SGH Jeddah ,2014042,SUR,PD,2014042,STRANGULATED HERNIA W/O RESECTION ANASTOMOSIS,2
SGH Jeddah ,2014043,SUR,PD,2014043,SUBFASCIAL ENDOSCOPIC PERFORATED STAPLING  / LAPARASCOPIC ,2
SGH Jeddah ,2014044,SUR,PD,2014044,INTESTINAL CANCER SURGERY,3
SGH Jeddah ,2014045,SUR,PD,2014045,THYROIDECTOMY / TOTAL,2
SGH Jeddah ,2014046,SUR,PD,2014046,PELVIC EXACENTRATION / TOTAL ,3
SGH Jeddah ,2014047,SUR,PD,2014047,PANCREATECTOMY / TOTAL/PARTIAL (WHIPPLE PROCEDURE),3
SGH Jeddah ,2014048,SUR,PD,2014048,STRIPPING OF LSV WITH MULTIPLE LIGATION OF PERFORATES (BILATERAL) (TRENDLENBERG OPERATION),3
SGH Jeddah ,2014049,SUR,PD,2014049,VARICOCELECTOMY  / LAPARASCOPIC ,1
SGH Jeddah ,2014050,SUR,PD,2014050,VENTRAL HERNIA REPAIR  / LAPRASCOPIC  ,2
SGH Jeddah ,2014051,SUR,PD,2014051,PRE-OPERATIVE INVESTIGATION,0
SGH Jeddah ,2015001,SUR,PD,2015001,ABDOMINAL PROCTOPEXY WITH RESECTION,2
SGH Jeddah ,2015002,SUR,PD,2015002,ABDOMINAL PROCTOPEXY WITHOUT RESECTION,2
SGH Jeddah ,2015003,SUR,PD,2015003,ABDOMINOPERINEAL RESECTION OF RECTUM,2
SGH Jeddah ,2015004,SUR,PD,2015004,ANAL FISTULOTOMY OR FISTULECTOMY / COMPLEX,1
SGH Jeddah ,2015005,SUR,PD,2015005,ANAL SPHENCTER REPAIR / FEACAL INCONTINENCE,1
SGH Jeddah ,2015006,SUR,PD,2015006,ANOPLASTY,1
SGH Jeddah ,2015007,SUR,PD,2015007,ANORECTAL AGENESIS WITH OR WITHOUT FISTULA OR CLOACAL MALFORMATIONS,2
SGH Jeddah ,2015008,SUR,PD,2015008,ANTERIOR RESECTION OF BOWEL / RECTUM,4
SGH Jeddah ,2015009,SUR,PD,2015009,ANTERIOR RESECTION OF RECTUM WITH OR WITHOUT TEMPORARY STOMA,4
SGH Jeddah ,2015010,SUR,PD,2015010,BOWEL RESCETION FOR COMLICATED DIVERTICULOSIS,4
SGH Jeddah ,2015011,SUR,PD,2015011,CECECTOMY,2
SGH Jeddah ,2015012,SUR,PD,2015012,CECOSTOMY,2
SGH Jeddah ,2015013,SUR,PD,2015013,CLOSURE OF LARGE INTESTINAL STOMA,2
SGH Jeddah ,2015014,SUR,PD,2015014,CLOSURE OF SMALL INTESTINAL STOMA,2
SGH Jeddah ,2015015,SUR,PD,2015015,COLOSTOMY,1
SGH Jeddah ,2015016,SUR,PD,2015016,COLOVAGINAL FISTULA REPAIR,2
SGH Jeddah ,2015017,SUR,PD,2015017,DUODENAL OBSTRUCTION REPAIR / NEONATAL,2
SGH Jeddah ,2015018,SUR,PD,2015018,EXCISION OF THROMBOTIC HAEMORRHOIDS,1
SGH Jeddah ,2015019,SUR,PD,2015019,CLOSURE OF POSITERIOR ANAL FISSURE WITH A FLAP ,1
SGH Jeddah ,2015020,SUR,PD,2015020,GASTRECTOMY / LAPAROSCOPIC / COMPLICATED,3
SGH Jeddah ,2015021,SUR,PD,2015021,GASTRECTOMY / SUBTOTAL-PARTIAL  / LAPAROSCOPIC / COMPLICATED,3
SGH Jeddah ,2015022,SUR,PD,2015022,ILEO-CECAL RESECTION,2
SGH Jeddah ,2015023,SUR,PD,2015023,ILEO-ANAL POUCH CREATION / LAPAROSCOPIC / COMPLICATED,3
SGH Jeddah ,2015024,SUR,PD,2015024,ILEOSTOMY,1
SGH Jeddah ,2015025,SUR,PD,2015025,INCISION OF PERIANAL ABSCESS / HIGH - COMPLEX,1
SGH Jeddah ,2015026,SUR,PD,2015026,INCISION OF PERIANAL ABSCESS / LOW - SIMPLE,1
SGH Jeddah ,2015027,SUR,PD,2015027,ABDOMINAL EXPLORATION / LAPARASCOPIC ,1
SGH Jeddah ,2015028,SUR,PD,2015028,COLOSTOMY / LAPARASCOPIC ,2
SGH Jeddah ,2015029,SUR,PD,2015029,ILEO-CECAL RESECTION / LAPARASCOPIC ,2
