TARIFF,SERVICE_NAMEE,CODE,NAME,DEPARTMENT_NAME,OP_PRICE,IP_PRICE
MALATH,CONSULTATIONS,DRDE061311,MAHA ALA ELMESELLAWY,DERMATOLOGY,120.0,120
MALATH,CONSULTATIONS,EDAN091223,THAMER NOUH  ,ANAESTHESIA,120.0,120
MALATH,CONSULTATIONS,EDAN091423,AHMED  ELDEMERDASH,ANAESTHESIA,120.0,120
MALATH,CONSULTATIONS,EDCA090698,MANSOUR BDR AL MOTERY,CARDIOLOGY,115.0,115
MALATH,CONSULTATIONS,EDCA090777,FAHAD MUBARAK AL HABSHAN,PEDIATRIC,120.0,120
MALATH,CONSULTATIONS,EDCA091413,TARIQ  ALHOGBANI,CARDIOLOGY,120.0,120
MALATH,CONSULTATIONS,EDCR090341,HASSAN  A.OSMAN,CARDIOLOGY,115.0,115
MALATH,CONSULTATIONS,EDCR090443,MOHAMAD SALAH  EL DIN HAMOUDA,CARDIOLOGY,115.0,0
MALATH,CONSULTATIONS,EDCR090677,AHMED MOHAMMED AL MASRY  ,CARDIOLOGY,115.0,115
MALATH,CONSULTATIONS,EDCR091184,KHALID HUSSAIN ALSAYED OSMAN  ,CARDIOLOGY,115.0,115
MALATH,CONSULTATIONS,EDCS020937,CARLO DE VICENTIIS,CARDIO THORACIC SURGERY,400.0,400
MALATH,CONSULTATIONS,EDCS090657,SEWAILEM TALIE ALMUTAIRY,CARDIO THORACIC SURGERY,120.0,120
MALATH,CONSULTATIONS,EDCS090789,MOHAMED  ADEL,CARDIO THORACIC SURGERY,115.0,115
MALATH,CONSULTATIONS,EDCS091151,WALID ABDULAZIZ ALAYADHI  ,CARDIO THORACIC SURGERY,240.0,120
MALATH,CONSULTATIONS,EDCS091218,NASSER AL KHAMEES  ,CARDIO THORACIC SURGERY,120.0,120
MALATH,CONSULTATIONS,EDCS091219,TURKI AL BACKER  ,CARDIO THORACIC SURGERY,120.0,120
MALATH,CONSULTATIONS,EDCS091227,NASSER ALJERAYED  ,CARDIO THORACIC SURGERY,120.0,120
MALATH,CONSULTATIONS,EDCS091421,SAMI  AL NASSAR,CARDIO THORACIC SURGERY,120.0,120
MALATH,CONSULTATIONS,EDDE091457,FARES  ALKHAYAL,DERMATOLOGY,120.0,120
MALATH,CONSULTATIONS,EDDE100945,DALIA YOUSRY OTHMAN,DERMATOLOGY,115.0,115
MALATH,CONSULTATIONS,EDDL091428,AZZA MOUMTAZ  ALMATT,DENTAL,120.0,120
MALATH,CONSULTATIONS,EDDL091465,MOHAMMED ABDULAZIZ ALBWARDI,DENTAL,120.0,120
MALATH,CONSULTATIONS,EDDL100568,MOHAMMAD BILAL ,DENTAL,115.0,115
MALATH,CONSULTATIONS,EDDL101429,ARSLAN ZAFAR  IQBAL,DENTAL,120.0,120
MALATH,CONSULTATIONS,EDDM070731,MAX  PETER,DENTAL,400.0,400
MALATH,CONSULTATIONS,EDDM090390,MEDHAT  AL HUSSEINY,DENTAL,300.0,300
MALATH,CONSULTATIONS,EDDM091098,BISHI BIN ABDULLAH ALQARNI  ,DENTAL,120.0,120
MALATH,CONSULTATIONS,EDDM091208,FAISAL SAAD ALSUHAIM  ,DENTAL,120.0,120
MALATH,CONSULTATIONS,EDDM091243,MESAAD SAID BAHATHEQ  ,DENTAL,120.0,120
MALATH,CONSULTATIONS,EDDM100702,HAMMAM  KHWAGAH,DENTAL,400.0,400
MALATH,CONSULTATIONS,EDEN070867,ROBERT  DENNERLEIN,E. N. T.,400.0,400
MALATH,CONSULTATIONS,EDEN091302,AHMED MOHAMMED FAISAL ALMUTAIRI  ,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,EDEN091327,RAJAB AL ZAHRANI  ,E. N. T.,120.0,120
MALATH,CONSULTATIONS,EDEN091454,AMAL  BIN HAZZAA,E. N. T.,120.0,120
MALATH,CONSULTATIONS,EDEN091459,YAZEED  ALSHAWI,E. N. T.,120.0,120
MALATH,CONSULTATIONS,EDET090711,KHAIRY ABO AL NASSER  ,E. N. T.,115.0,115
MALATH,CONSULTATIONS,EDET091146,IMAN JAMAL ADEEB ALMASHHARAWI  ,E. N. T.,115.0,115
MALATH,CONSULTATIONS,EDET091235,ABDULAZIZ ABDULRAHMAN ALQAHTANI  ,E. N. T.,120.0,120
MALATH,CONSULTATIONS,EDET091468,JABIR  ALHARBI,E. N. T.,120.0,120
MALATH,CONSULTATIONS,EDGS011442,ABDULLAH  ALMUNIFI,SURGERY CLINIC,120.0,120
MALATH,CONSULTATIONS,EDGS070956,MARTIN  BUSING,SURGERY CLINIC,400.0,400
MALATH,CONSULTATIONS,EDGS091405,NUHA  ALSALEH,SURGERY CLINIC,120.0,120
MALATH,CONSULTATIONS,EDGS091406,BASHER  MURAD,SURGERY CLINIC,120.0,120
MALATH,CONSULTATIONS,EDHE091260,ABDULAZIZ ALABDULAALY  ,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,EDIM011365,IBRAHIM MOHAMMAD ALRUZUG  ,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,EDIM090591,MOHAMMED  ABDALLAH,INTERNAL MEDICINE,115.0,115
MALATH,CONSULTATIONS,EDIM091144,EMAD TURKY  ,INTERNAL MEDICINE,115.0,0
MALATH,CONSULTATIONS,EDIM091229,MOHAMMED ALGHOBAIN  ,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,EDIM091257,FADI ALJAMAAN  ,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,EDIM091299,EYAD ADEL MAKKAWY  ,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,EDIM091328,BADER ALI SALEEM ALMEHMADI  ,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,EDIM091329,KHALID ALI SAAD ALONAZI  ,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,EDIM091430,GOLSHAN KADRY HAMED ARAFAT,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,EDIM091458,MOHAMMED  ABU SOUDAH,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,EDIM091463,AFAF  ALSHAMARI,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,EDMX091323,EMTENAN ABDUL RAHMAN AL MAJID  ,DENTAL,120.0,120
MALATH,CONSULTATIONS,EDNE090267,AHMED  ANDIJANI,NEUROLOGY,120.0,120
MALATH,CONSULTATIONS,EDNE091138,WALEED SALEH ALMANGOUR  ,NEUROLOGY,100.0,100
MALATH,CONSULTATIONS,EDNE091226,MAHMOUD MOHAMED SABRY  ,NEUROLOGY,120.0,120
MALATH,CONSULTATIONS,EDNE091227,SULTAN MOHAMMED ALQAHTANI,NEUROLOGY,120.0,120
MALATH,CONSULTATIONS,EDNP091228,MOHAMMED  SAAD ALKHOWAITER  ,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,EDNP091452,YASSIN  ALHAMAD,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,EDNR090817,HELMUTH STEINMETZ  ,NEUROLOGY,400.0,400
MALATH,CONSULTATIONS,EDNR091375,ADEL MOHAMED OTHMAN  ,NEUROLOGY,120.0,120
MALATH,CONSULTATIONS,EDNR091389,HEBA MOHAMMED ZAMIL  ,NEUROLOGY,120.0,120
MALATH,CONSULTATIONS,EDNR091407,SALEEM  ALBALAWY,NEUROLOGY,120.0,120
MALATH,CONSULTATIONS,EDNR091455,ANWAR  YANBAWI,ANAESTHESIA,120.0,120
MALATH,CONSULTATIONS,EDNS020899,JORN ANDRE  HORACZEK,NEUROSURGERY,400.0,400
MALATH,CONSULTATIONS,EDNS090823,AHMED AL KHANY  ,NEUROSURGERY,500.0,500
MALATH,CONSULTATIONS,EDNS091305,OTHMAN MOSA  AL HAMMAD,NEUROSURGERY,120.0,120
MALATH,CONSULTATIONS,EDNS091411,FAHAD  ALOTAIBI,NEUROSURGERY,120.0,120
MALATH,CONSULTATIONS,EDNS091456,MOHAMED  BAFAQEH,NEUROSURGERY,120.0,120
MALATH,CONSULTATIONS,EDOB011441,SALWA  ALTHAQAFI,OBSTETRICS & GYNE,120.0,120
MALATH,CONSULTATIONS,EDOB091350,JAMAL AL SUBHI  ,OBSTETRICS & GYNE,120.0,120
MALATH,CONSULTATIONS,EDOB091377,YAZEED ALYOUSEF  ,OBSTETRICS & GYNE,120.0,120
MALATH,CONSULTATIONS,EDOB091382,NAWAL AHMED MOHAMMED ASSIRI,OBSTETRICS & GYNE,120.0,120
MALATH,CONSULTATIONS,EDOG036101,HODA EL SAYED MOHAMAD EL BEISHY,OBSTETRICS & GYNE,500.0,500
MALATH,CONSULTATIONS,EDOG091097,HASSAN ABDULLAH ALGARNY  ,OBSTETRICS & GYNE,120.0,120
MALATH,CONSULTATIONS,EDOG091220,AHMED MOHAMMED SALEH  ,OBSTETRICS & GYNE,120.0,120
MALATH,CONSULTATIONS,EDOG091259,NADA ALAYED  ,OBSTETRICS & GYNE,120.0,120
MALATH,CONSULTATIONS,EDOG100701,AZIZA NASIF ,OBSTETRICS & GYNE,115.0,115
MALATH,CONSULTATIONS,EDON091395,KHOLOUD FALAH ZEIDAN AL AZMI,DENTAL,120.0,120
MALATH,CONSULTATIONS,EDOP011436,SAEED  KABAAN,ORTHOPAEDIC,120.0,120
MALATH,CONSULTATIONS,EDOP011437,AL BARA  ALTWAIJRI,ORTHOPAEDIC,120.0,120
MALATH,CONSULTATIONS,EDOP071043,YOUSSRY MOHAMED KAMAL ELHAWARY  ,ORTHOPAEDIC,400.0,400
MALATH,CONSULTATIONS,EDOP090675,GUIDO ALEXANDER WAHLER,ORTHOPAEDIC,400.0,400
MALATH,CONSULTATIONS,EDOP090975,GERARD  BOLLINI,ORTHOPAEDIC,400.0,400
MALATH,CONSULTATIONS,EDOP091129,ABDUL ELAH ABAD AL TOWERKI  ,OPTHALMOLOGY,400.0,400
MALATH,CONSULTATIONS,EDOP091217,AFAF ABDULLAH ABDULRAHMAN KHATLAN  ,OPTHALMOLOGY,120.0,120
MALATH,CONSULTATIONS,EDOP091255,MOHAMMED HUMMADI  ,OPTHALMOLOGY,100.0,100
MALATH,CONSULTATIONS,EDOP091262,MOHAMMED MOSHHOOR  ,OPTHALMOLOGY,120.0,120
MALATH,CONSULTATIONS,EDOP091331,WALEED AHMAD ALSHAAFI  ,ORTHOPAEDIC,120.0,120
MALATH,CONSULTATIONS,EDOP091362,ABDULMAJEED ABDULLAH ALZAKI  ,ORTHOPAEDIC,120.0,120
MALATH,CONSULTATIONS,EDOP091394,OSAMA SALEH ALSHAYA,ORTHOPAEDIC,120.0,120
MALATH,CONSULTATIONS,EDOP091408,KHALID ALABBASI,ORTHOPAEDIC,120.0,120
MALATH,CONSULTATIONS,EDOP091412,MOHAMMED  AL SHOULI,ORTHOPAEDIC,120.0,120
MALATH,CONSULTATIONS,EDOP091469,WALEED  ALHOSHAN,ORTHOPAEDIC,120.0,120
MALATH,CONSULTATIONS,EDOR090470,MOHAMMED  ELRAKAYBI,ORTHOPAEDIC,115.0,115
MALATH,CONSULTATIONS,EDOR090644,WAZZAN SALEH ALJAHANI,ORTHOPAEDIC,115.0,115
MALATH,CONSULTATIONS,EDOR091149,MAHER GHURMALLAH ALZAHRANI  ,ORTHOPAEDIC,120.0,120
MALATH,CONSULTATIONS,EDOR091161,IBRAHIM AHMED SINNY ASSIRI  ,ORTHOPAEDIC,120.0,120
MALATH,CONSULTATIONS,EDOS101392,FATIMAH ZAKI  AL NASSERULLAH,DENTAL,120.0,120
MALATH,CONSULTATIONS,EDOT011438,WAFI  ALANZI,OPTHALMOLOGY,120.0,120
MALATH,CONSULTATIONS,EDOT090764,MANAR  ALNAJJAR,PEDIATRIC,115.0,115
MALATH,CONSULTATIONS,EDOT091388,MUTLAQ ALOTAIBI  ,OPTHALMOLOGY,120.0,120
MALATH,CONSULTATIONS,EDOT091396,MAANI  NUSAIR,OPTHALMOLOGY,120.0,120
MALATH,CONSULTATIONS,EDOT091448,HASSAN  ALKWIKBI,OPTHALMOLOGY,120.0,120
MALATH,CONSULTATIONS,EDOT091451,mohammed  alenezi,OPTHALMOLOGY,120.0,120
MALATH,CONSULTATIONS,EDPA081069,MOHAMED  AHMED,PEDIATRIC,100.0,100
MALATH,CONSULTATIONS,EDPA091007,FAHAD ABDU BASHIRI  ,PEDIATRIC,1000.0,1000
MALATH,CONSULTATIONS,EDPA091012,MAGED AL FADHL  ,PEDIATRIC,1000.0,1000
MALATH,CONSULTATIONS,EDPA091017,ALI ABDU NASIR  ,PEDIATRIC,1000.0,1000
MALATH,CONSULTATIONS,EDPA091051,MALAK  ALGHAMDI,PEDIATRIC,1000.0,1000
MALATH,CONSULTATIONS,EDPA091052,ALI AHMED AL SHEHRI  ,PEDIATRIC,120.0,120
MALATH,CONSULTATIONS,EDPA091053,AYED MOHAMMED AL ENAZI  ,PEDIATRIC,100.0,100
MALATH,CONSULTATIONS,EDPA091148,HAYA ALSUBIA  ,PEDIATRIC,115.0,115
MALATH,CONSULTATIONS,EDPA091263,MOSLAH JABARI  ,PEDIATRIC,120.0,120
MALATH,CONSULTATIONS,EDPA091264,RIYAD ALKHLAFI  ,PEDIATRIC,120.0,120
MALATH,CONSULTATIONS,EDPA101018,SAMER JAKMOUR  ,PEDIATRIC,115.0,115
MALATH,CONSULTATIONS,EDPC090801,DR. MOHAMMED HUSSEIN ALGHAMDI  ,PEDIATRIC,120.0,120
MALATH,CONSULTATIONS,EDPE011443,BASHAYER  ALRASHEED,PEDIATRIC,120.0,120
MALATH,CONSULTATIONS,EDPE090460,SAEED ALI ALGHWERY,PEDIATRIC,115.0,400
MALATH,CONSULTATIONS,EDPE090855,ABDULHAKIM AL OTAY  ,PEDIATRIC,120.0,120
MALATH,CONSULTATIONS,EDPE090964,YASEN FAYEZ ALLAYET,PEDIATRIC,115.0,115
MALATH,CONSULTATIONS,EDPE091357,KHALID ALI SAED ALGHAMDI  ,PEDIATRIC,500.0,500
MALATH,CONSULTATIONS,EDPE091361,ABDULLA SAEED MOSLEH AL SHAMRANI  ,PEDIATRIC,500.0,500
MALATH,CONSULTATIONS,EDPE091380,ABDULLAH YAHYA ALFAIFI  ,PEDIATRIC,120.0,120
MALATH,CONSULTATIONS,EDPE091383,ABDULLAH FADEL ALSHEHRI,PEDIATRIC,120.0,120
MALATH,CONSULTATIONS,EDPE091418,FAHAD  ALSOHIME,PEDIATRIC,120.0,120
MALATH,CONSULTATIONS,EDPE091446,FAWAZ  HAMDAN,PEDIATRIC,120.0,120
MALATH,CONSULTATIONS,EDPL090804,ADNAN GELIDAN  ,PLASTIC SURGERY,115.0,115
MALATH,CONSULTATIONS,EDPL091242,MOHAMMED SALEH  MANSOUR SHAMIKH,PLASTIC SURGERY,120.0,120
MALATH,CONSULTATIONS,EDPL091349,FATEMA SULEIMAN AL SUBHI  ,PLASTIC SURGERY,120.0,120
MALATH,CONSULTATIONS,EDPL091354,ABDULAZIZ SALEH AMODUMEEGH  ,PLASTIC SURGERY,120.0,120
MALATH,CONSULTATIONS,EDPL100700,TONY  NASSAR,PLASTIC SURGERY,115.0,115
MALATH,CONSULTATIONS,EDPS090773,TARIQ ALTOKHAIS ,PEDIATRIC,120.0,120
MALATH,CONSULTATIONS,EDPS090861,MOHAMMED KHABTI AL GHAMDI,PEDIATRIC,115.0,115
MALATH,CONSULTATIONS,EDPS091410,ZAKARIA SOBHY  HABIB,PEDIATRIC,120.0,120
MALATH,CONSULTATIONS,EDPY090707,MAHER ABDALLAH BAGHDAD,PSYCHIATRY,300.0,300
MALATH,CONSULTATIONS,EDSR091171,NAIF ABDULLAH ALENAZI  ,SURGERY CLINIC,240.0,120
MALATH,CONSULTATIONS,EDSR091206,MONEER EID  AL MADNI  ,SURGERY CLINIC,115.0,115
MALATH,CONSULTATIONS,EDSR091224,TALAL ALTUWAIJRI  ,SURGERY CLINIC,120.0,120
MALATH,CONSULTATIONS,EDSR091297,ABDULLAH SAAD ALFOZAN  ,SURGERY CLINIC,120.0,120
MALATH,CONSULTATIONS,EDUR091426,MOHAMMAD DHAFER ABDULLAH  ASIRI,UROLOGY CLINIC,120.0,120
MALATH,CONSULTATIONS,EDUR091427,MOATH MANSOUR  BINHAZZA,UROLOGY CLINIC,120.0,120
MALATH,CONSULTATIONS,EDVS090818,MARTIN STORCK  ,SURGERY CLINIC,400.0,400
MALATH,CONSULTATIONS,EDVS091376,NASHWAN AHMED ALATTAB  ,SURGERY CLINIC,120.0,120
MALATH,CONSULTATIONS,EDVS091384,MAHMOUD SALAH SALAH,SURGERY CLINIC,120.0,120
MALATH,CONSULTATIONS,EDXR010605,MOHAMMAD ALMIGUEL ,X-RAY,500.0,500
MALATH,CONSULTATIONS,EDXR091420,RIYADH  AL OKAILI,X-RAY,120.0,120
MALATH,CONSULTATIONS,EDXR091424,ABDULLAH IBRAHIM  ALAWAD,X-RAY,120.0,120
MALATH,CONSULTATIONS,EDXY091417,MOHAMMED ABDULRAHMAN  ALSHAIKH,X-RAY,120.0,120
MALATH,CONSULTATIONS,ERER011210,AHMED MOHAMED ELHADIDY,EMERGENCY,115.0,115
MALATH,CONSULTATIONS,ERER011275,AHMED ABDULHALIM AHMED ELSENOUSI,EMERGENCY,120.0,120
MALATH,CONSULTATIONS,ERER031059,HEBA NASSER ALI BEKHIT,EMERGENCY,100.0,100
MALATH,CONSULTATIONS,ERER031111,NOSHEEN MUSTAFA JAMAL,EMERGENCY,115.0,115
MALATH,CONSULTATIONS,ERER031143,ABUBAKR ABDELRAHMAN HASSAN,EMERGENCY,115.0,115
MALATH,CONSULTATIONS,ERER050835,AHMED HASSAN AZZAM,EMERGENCY,115.0,115
MALATH,CONSULTATIONS,ERER060609,KASHIF AHMED BUTT,EMERGENCY,75.0,75
MALATH,CONSULTATIONS,ERER060742,TAHA ABDULQADER SALEH,EMERGENCY,115.0,115
MALATH,CONSULTATIONS,ETAU011203,MARWA MAHMOUD BAHGAT IBRAHIM,E. N. T.,115.0,115
MALATH,CONSULTATIONS,ETEN010629,KHALED ABD EL BAREY ELSAYED,E. N. T.,115.0,115
MALATH,CONSULTATIONS,ETEN011398,AHMED NABIL ABDEL HAMID AHMED,E. N. T.,120.0,120
MALATH,CONSULTATIONS,ETEN030786,ABDELRAHMAN ATTEF WAHBA,E. N. T.,115.0,115
MALATH,CONSULTATIONS,ICUI011341,DIANA ADEL MITRY ABADIER,INTENSIVE CARE UNIT,120.0,120
MALATH,CONSULTATIONS,ICUI011363,WALEED  RAJAB,INTENSIVE CARE UNIT,120.0,120
MALATH,CONSULTATIONS,IMCU031096,MAGED MOHAMED ALI GHAZAL,INTERNAL MEDICINE,100.0,100
MALATH,CONSULTATIONS,IMEN010982,BAASIM ATIYAH GABALLAH ATTA,INTERNAL MEDICINE,115.0,115
MALATH,CONSULTATIONS,IMGA011320,HOSSAMELDIN ABDELMONEM MOUSSA NASR,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,IMGA090602,MAGED THARWAT EL GHANNAM,INTERNAL MEDICINE,115.0,115
MALATH,CONSULTATIONS,IMIM011293,RASHA MOHAMED HENDY MOHAMED,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,IMIM011373,MOHAMMED AHMED ABDULLAH,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,IMIM011386,ABDALLAH  ALBALSHA,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,IMIM011390,MUSHABBAB  ALMOFREH,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,IMIM031073,EMAN HAMDY ABDELAZIZ ELMOGY,INTERNAL MEDICINE,100.0,100
MALATH,CONSULTATIONS,IMIM031371,MENATULLAH MAHMOUD BAGHAT,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,IMIM031444,SHERAZ  ALI,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,IMIM040490,MAMDOUH ABDEL RAHEEM,INTERNAL MEDICINE,115.0,115
MALATH,CONSULTATIONS,IMIM050523,MARYAM  ZAFAR,INTERNAL MEDICINE,115.0,115
MALATH,CONSULTATIONS,IMIM061200,UZMA JALIL ,INTERNAL MEDICINE,115.0,115
MALATH,CONSULTATIONS,IMNP010732,AHMAD NASR ALGHITANY,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,IMNP011367,MOHAMMED  MAHER,INTERNAL MEDICINE,120.0,120
MALATH,CONSULTATIONS,IMNP031091,AHMED MOHAMED ABDELHAMID ELSHARKAWY,INTERNAL MEDICINE,100.0,100
MALATH,CONSULTATIONS,LBLA010006,MANSOUR IBRAHIM SAYED,LABORATORY,115.0,115
MALATH,CONSULTATIONS,NENR031358,HAMADA ABDELTAWAB SALAMA,NEUROLOGY,120.0,120
MALATH,CONSULTATIONS,NENR031414,NEVEN GALAL TWALA,NEUROLOGY,120.0,120
MALATH,CONSULTATIONS,NENR061356,RAFA OMER  ALTAYEB,NEUROLOGY,120.0,120
MALATH,CONSULTATIONS,NUNS010674,MOHAMMED ADEL YEHIA,NEUROSURGERY,115.0,115
MALATH,CONSULTATIONS,NUNS011286,MOHAMMAD ABDELKHALEK HASAN,NEUROSURGERY,120.0,120
MALATH,CONSULTATIONS,NUNS011366,AHMED  ASSEM,NEUROSURGERY,120.0,120
MALATH,CONSULTATIONS,NUNS011379,SAFWAT ABOUHASHEM MOHAMED ABOUHASHEM,NEUROSURGERY,120.0,120
MALATH,CONSULTATIONS,OGDR010763,MOHAMED LOTFY EL SAYED,OBSTETRICS & GYNE,115.0,115
MALATH,CONSULTATIONS,OGOB011306,AISHA AZIZ USMAN HAMEED,OBSTETRICS & GYNE,120.0,120
MALATH,CONSULTATIONS,OGOB011432,AYMAN SAAD ZAGLOUL,OBSTETRICS & GYNE,120.0,120
MALATH,CONSULTATIONS,OGOB011440,EMAN ALI ALFAHAR,OBSTETRICS & GYNE,120.0,120
MALATH,CONSULTATIONS,OGOB011473,NOUREEN RIZWAN,OBSTETRICS & GYNE,100.0,0
MALATH,CONSULTATIONS,OGOB030690,SHAHENAZ  BEREES,OBSTETRICS & GYNE,115.0,115
MALATH,CONSULTATIONS,OGOB040420,IMAN MOHD MAHMOUD SHARARA,OBSTETRICS & GYNE,115.0,115
MALATH,CONSULTATIONS,OGOB061126,MARWA AHMED ABOUELSOUD EMARA,OBSTETRICS & GYNE,115.0,115
MALATH,CONSULTATIONS,OGOB080898,MONA ABDELSALAM ELSSEDDIQ  ,OBSTETRICS & GYNE,115.0,115
MALATH,CONSULTATIONS,ONON010578,WALEED HAMMAM ABD MANAF MOSA,ONCOLOGY/NUCLEAR MED,115.0,115
MALATH,CONSULTATIONS,ONON011453,NAGWA  SAYED,ONCOLOGY/NUCLEAR MED,120.0,120
MALATH,CONSULTATIONS,OPOT031003,RANIA IBRAHIM ABOELELA,OPTHALMOLOGY,115.0,115
MALATH,CONSULTATIONS,OROP010001,KHALED  BATTERJEE,ORTHOPAEDIC,350.0,350
MALATH,CONSULTATIONS,OROP010847,HAZEM FARID ABDELSADEK,ORTHOPAEDIC,115.0,115
MALATH,CONSULTATIONS,OROP011088,AHMED FAHEEM OTHMAN SALEM,ORTHOPAEDIC,100.0,100
MALATH,CONSULTATIONS,OROP011285,MAHMOUD ABDELMONSEF GHONEEM,ORTHOPAEDIC,120.0,120
MALATH,CONSULTATIONS,OROP031047,MOHAMED  ABDELLATIF,ORTHOPAEDIC,115.0,115
MALATH,CONSULTATIONS,OROP031050,MOHAMED BADAWI ELFEKI,ORTHOPAEDIC,115.0,115
MALATH,CONSULTATIONS,OROP031055,EHAB MOHAMED MOUNIR MAHGOUB,ORTHOPAEDIC,100.0,100
MALATH,CONSULTATIONS,OROP036114,SAAD IBRAHIM MOHAMMED,ORTHOPAEDIC,115.0,115
MALATH,CONSULTATIONS,OROP040419,MOHAMED FAWZI MOHAMED EMAM,ORTHOPAEDIC,115.0,115
MALATH,CONSULTATIONS,PAPE010695,NABIL BASSUONI  SHEHATA,PEDIATRIC,115.0,115
MALATH,CONSULTATIONS,PAPE010943,RAMY MOSTAFA IBRAHIM,PEDIATRIC,345.0,115
MALATH,CONSULTATIONS,PAPE011249,MANAL SAID AHMED ABDELHAMID,PEDIATRIC,120.0,120
MALATH,CONSULTATIONS,PAPE011283,KAREEM MAHMOUD ABOELSEOUD,PEDIATRIC,120.0,120
MALATH,CONSULTATIONS,PAPE011284,ASHRAF MOHAMMAD IBRAHIM ABDO,PEDIATRIC,120.0,120
MALATH,CONSULTATIONS,PAPE011287,HEBATALLAH MOHAMED HELMY MOSTAFA,PEDIATRIC,120.0,120
MALATH,CONSULTATIONS,PAPE011308,MOHAMMED ABDEL GABER ABD EL NAEEM,PEDIATRIC,120.0,120
MALATH,CONSULTATIONS,PAPE011360,ABEER ATEEF AL ASHMAWY,PEDIATRIC,120.0,120
MALATH,CONSULTATIONS,PAPE030691,SAMIRA MOHAMED ABDELLATIF,PEDIATRIC,115.0,115
MALATH,CONSULTATIONS,PAPE030722,TAMER ABDELHAMID AHMED,PEDIATRIC,115.0,115
MALATH,CONSULTATIONS,PAPE030753,NAMRA KHALED ,PEDIATRIC,115.0,115
MALATH,CONSULTATIONS,PAPE030758,MONA OMAR ABDULQAYYUM,PEDIATRIC,115.0,115
MALATH,CONSULTATIONS,PAPE030919,MOHAMED ELSAID RASHED ELFEKY,PEDIATRIC,115.0,115
MALATH,CONSULTATIONS,PAPE031016,ALYAA ALY FATHY MOSTAFA,PEDIATRIC,115.0,115
