SERVICE CODE,SERVICE DESCRIPTION,CATEGORY,gowth
8123012,MRI ARTHROGRAPHY WITH CONTRAST,RADIOLOGY,1300.0
8123013,MRI OF THE PITUITARY GLAND WITH CONTRAST,RADIOLOGY,1300.0
8123014,MRI OF TMJ,RADIOLOGY,1300.0
8123015,MRI BRAIN,RADIOLOGY,1300.0
8123016,MRI BRAIN WITH CONTRAST,RADIOLOGY,1300.0
8123017,MRI NECK WITH CONTRAST,RADIOLOGY,1300.0
8123018,MRI NECK ,RADIOLOGY,1300.0
8123019,MRI ORBIT WITH CONTRAST,RADIOLOGY,1300.0
8123020,MRI ORBIT ,RADIOLOGY,1300.0
8123021,MRI CHEST WITH CONTRAST,RADIOLOGY,1300.0
8123022,MRI CHEST ,RADIOLOGY,1300.0
8123023,MRI ABDOMEN WITH CONTRAST,RADIOLOGY,1300.0
8123024,MRI ABDOMEN ,RADIOLOGY,1300.0
8123025,MRI PLEVIS WITH CONTRAST,RADIOLOGY,1300.0
8123026,MRI PELVIS ,RADIOLOGY,1300.0
8123027,MRI SHOULDER WITH CONTRAST,RADIOLOGY,1300.0
8123028,MRI SHOULDER,RADIOLOGY,1300.0
8123029,MRI ELBOW WITH CONTRAST,RADIOLOGY,1300.0
8123030,MRI ELBOW ,RADIOLOGY,1300.0
8123031,MRI WRIST/HAND WITH CONTRAST,RADIOLOGY,1300.0
8123032,MRI WRIST/HAND ,RADIOLOGY,1300.0
8123033,MRI KNEE WITH CONTRAST,RADIOLOGY,1300.0
8123034,MRI KNEE ,RADIOLOGY,1300.0
8123035,MRI ANKLE/FOOT WITH CONTRAST,RADIOLOGY,1300.0
8123036,MRI ANKLE/FOOT ,RADIOLOGY,1300.0
8123037,MRI C. SPINE WITH CONTRAST,RADIOLOGY,1300.0
8123038,MRI C. SPINE,RADIOLOGY,1300.0
8123039,MRI DORSAL SPINE WITH CONTRAST,RADIOLOGY,1300.0
8123040,MRI DORSAL SPINE,RADIOLOGY,1300.0
8123041,MRI LUMBER SPINE WITH CONTRAST,RADIOLOGY,1300.0
8123042,MRI LUMBER SPINE ,RADIOLOGY,1300.0
8123043,MRI BRACHIAL PLEXUS,RADIOLOGY,1300.0
8123044,MRI BREAST WITH CONTRAST,RADIOLOGY,1300.0
8123045,MRI BREAST ,RADIOLOGY,1300.0
8123060,MRI ARM ,RADIOLOGY,1300.0
8123061,MRI FOREARM WITH CONTRAST,RADIOLOGY,1300.0
8123062,MRI FOREARM ,RADIOLOGY,1300.0
8123063,MRI HIP JOINT WITH CONTRAST,RADIOLOGY,1300.0
8123064,MRI HIP JOINT ,RADIOLOGY,1300.0
8123065,MRI FEMUR WITH CONTRAST,RADIOLOGY,1300.0
8123066,MRI FEMUR,RADIOLOGY,1300.0
8123067,MRI LEG WITH CONTRAST,RADIOLOGY,1300.0
8123068,MRI LEG  ,RADIOLOGY,1300.0
8123069,MRI SACRO ILIAC JOINT,RADIOLOGY,1300.0
8123070,MRI CARDIAC,RADIOLOGY,1300.0
8124001,CT SCAN ,RADIOLOGY,900.0
8124002,CT SCAN ADDITIONAL ORGAN,RADIOLOGY,900.0
8124003,CT SCAN WITH CONTRAST,RADIOLOGY,900.0
8124004,CT SCAN GUIDED BIOPSY,RADIOLOGY / INTERVENATIONAL,900.0
8124005,CT SCAN PELVIMETRY,RADIOLOGY,900.0
8124006,CT SCAN FOR MEASURING THE LIMBS,RADIOLOGY,900.0
8124007,CT SCAN KUB,RADIOLOGY,900.0
8124009,CT BRAIN PERFUSION STUDIES WITH CONTRAST,RADIOLOGY,900.0
8124010,CT VIRTUAL COLONOGRAPHY & POLYP DETECTION WITH CONTRAST,RADIOLOGY,900.0
8124011,CT VIRTUAL BRONCHOSCOPY WITH CONTRAST,RADIOLOGY,900.0
8124015,CT SIALOGRAM WITH CONTRAST ,RADIOLOGY,900.0
8124017,CT HEAD/BRAIN ,RADIOLOGY,900.0
8124018,CT HEAD/BRAIN WITH CONTRAST,RADIOLOGY,900.0
8124019,CT NECK WITH CONTRAST,RADIOLOGY,900.0
8124020,CT NECK ,RADIOLOGY,900.0
8124024,CT ABDOMEN & PELVIS,RADIOLOGY,900.0
8124025,CT CHEST WITH CONTRAST,RADIOLOGY,900.0
8124026,CT CHEST ,RADIOLOGY,900.0
8124027,CT ABDOMEN WITH CONTRAST,RADIOLOGY,900.0
8124028,CT ABDOMEN ,RADIOLOGY,900.0
8124029,CT PLEVIS WITH CONTRAST,RADIOLOGY,900.0
8124030,CT PELVIS ,RADIOLOGY,900.0
8124031,CT SHOULDER OR HUMERUS OR ELBOW WITH CONTRAST ,RADIOLOGY,900.0
8124032,CT SHOULDER OR HUMERUS OR ELBOW  ,RADIOLOGY,900.0
8124033,CT FOREARM OR WRIST OR HAND WITH CONTRAST ,RADIOLOGY,900.0
8124034,CT FOREARM OR WRIST OR HAND ,RADIOLOGY,900.0
8124035,CT HIP OR FEMUR OR KNEE WITH CONTRAST,RADIOLOGY,900.0
8124036,CT HIP OR FEMUR OR KNEE ,RADIOLOGY,900.0
8124037,CT LEG OR ANKLE OR FOOT WITH CONRAST,RADIOLOGY,900.0
8124038,CT LEG OR ANKLE OR FOOT,RADIOLOGY,900.0
8124039,CT FACIAL BONE WITH CONTRAST,RADIOLOGY,900.0
8124040,CT FACIAL BONE ,RADIOLOGY,900.0
8124041,CT C. SPINE ,RADIOLOGY,900.0
8124042,CT DORSAL SPINE,RADIOLOGY,900.0
8124043,CT LUMBER SPINE,RADIOLOGY,900.0
8124046,CT PITUITARY GLAND WITH CONTRAST,RADIOLOGY,900.0
8124047,CT ORBIT WITH CONTRAST,RADIOLOGY,900.0
8124048,CT ORBIT  ,RADIOLOGY,900.0
8124049,CT PNS WITH CONTRAST,RADIOLOGY,900.0
8124050,CT PNS ,RADIOLOGY,900.0
8124064,CT TEMPORAL BONE,RADIOLOGY,900.0
8124065,CT TEMPORAL BONE WITH CONTRAST,RADIOLOGY,900.0
2014051,PRE-OPERATIVE INVESTIGATION,GENERAL SURG.,400.0
1112024,FAMILY THERAPY ,CONSULTATION,712.5
1112026,FOLLOW-UP CONSULTATION (WITHIN 14 DAYS),CONSULTATION,0.0
1112027,FREE FOLLOW UP ( DENTAL ),CONSULTATION,0.0
1112042,OUTSIDE CONSULTATION CONSULTANT,CONSULTATION,475.0
1112043,OUTSIDE CONSULTATION SPECIALIST,CONSULTATION,332.5
1112053,CONSULTANT OR SPECIALIST CALL BY NAME FOR DELIVERY REQUESTED BY THE PATIENT,CONSULTATION,950.0
2112001,ACCOMODATION / SUITE PER DAY (BED ONLY),ROOM & BOARD,1140.0
2112002,ACCOMODATION / PRIVATE PER DAY (BED ONLY),ROOM & BOARD,380.0
2112003,ACCOMODATION / SEMI-PRIVATE PER DAY (BED ONLY),ROOM & BOARD,266.0
2112004,ACCOMODATION / PAEDIATRIC WARD (BED ONLY),ROOM & BOARD,266.0
2112005,ACCOMODATION / INFANT INCUBATOR (BED ONLY),ROOM & BOARD,266.0
2112006,ACCOMODATION / NURSERY (BED ONLY),ROOM & BOARD,190.0
2112007,ACCOMODATION / INTENSIVE CARE UNIT (ICU) (BED ONLY),ROOM & BOARD,1520.0
2112008,ACCOMODATION / SUITE ROOM ICU PER DAY (BED ONLY),ROOM & BOARD,2660.0
2112009,CACCOMODATION / CARDIAC CARE UNIT (CCU) (BED ONLY),ROOM & BOARD,1520.0
2112010,ACCOMODATION / PEDIATRIC ICU (PICU) (BED ONLY),ROOM & BOARD,1520.0
2112011,ACCOMODATION / NICU - PER DAY  (BED ONLY),ROOM & BOARD,1520.0
2112012,ACCOMODATION / NICU INTERMEDIATE CARE (CRIB) (BED ONLY),ROOM & BOARD,760.0
2112013,ACCOMODATION / NICU - ISOLATION PER DAY (BED ONLY),ROOM & BOARD,1520.0
2112014,ACCOMODATION / ISOLATION ROOM / ADULT (BED ONLY),ROOM & BOARD,380.0
2112015,HEAD OXYGEN BOX (NEO-NATAL CARE),ROOM & BOARD,123.5
2112016,ROOM DIFFERENCE (SEMI PVT - PVT),ROOM & BOARD,114.0
2112017,ROOM DIFFERENCE (SEMI PVT - SUITE),ROOM & BOARD,874.0
2112018,ROOM DIFFERENCE (PVT - SUITE),ROOM & BOARD,760.0
2112019,NURSING CARE / WARD PER DAY ,ROOM & BOARD,142.5
2112020,NURSING CARE / ICU PER DAY ,ROOM & BOARD,237.5
2112021,SPECIAL NURSE 24 HOURS,ROOM & BOARD,760.0
2112022,NURSE AIDE 24 HRS,ROOM & BOARD,475.0
2112023,COMPANION CHARGES WITH ADULT PER DAY ,ROOM & BOARD,190.0
2112024,COMPANION CHARGES WITH CHILD PER DAY ,ROOM & BOARD,142.5
2112025,DISPOSABLES WARD,ROOM & BOARD,148.4375
2112026,DISPOSABLES I.C.U.,ROOM & BOARD,285.0
2112027,DISPOSABLES  NICU,ROOM & BOARD,285.0
2112028,ISOLATION DISPOSABLES PER DAY ,ROOM & BOARD,380.0
2112029,EXTRA LUNCH/DINNER TRAY,ROOM & BOARD,38.0
2112030,TELEPHONE CHARGES ,ROOM & BOARD,0.0
3112001,EMERGENCY ROOM FEES FOR OBSERVATION (1-3 HOURS),GENERAL ,190.0
3112002,OBSERVATION ROOM ER 3- 6 HOUR,GENERAL ,142.5
3112003,OBSERVATION ROOM ER MORE THAN 6 HOUR,GENERAL ,190.0
3112004,I.M. / S.C. INJECTION,GENERAL ,14.25
3112005,I.V. INJECTION,GENERAL ,23.75
3112006,I.V. FLUID INFUSION / REHYDRATION 250CC I.V.,GENERAL ,38.0
3112007,I.V. FLUID INFUSION / REHYDRATION 500CC I.V. ,GENERAL ,57.0
3112008,I.V. FLUID INFUSION / REHYDRATION 1000CC ,GENERAL ,80.75
3112009,PRE-EMPLOYMENT CHECK UP,GENERAL ,332.5
3112010,MEDICAL CHECK-UP PROGRAM 1 DAY ,GENERAL ,950.0
3112011,MEDICAL CHECK-UP PROGRAM 2 DAYS ,GENERAL ,2612.5
3112012,MEDICAL CHECK-UP PROGRAM - CHILDREN,GENERAL ,712.5
3112013,AMBULANCE FEE LESS THAN 50 KMS,GENERAL ,380.0
3112014,AMBULANCE FEE MORE THAN 50 KMS LESS THAN 100 KMS,GENERAL ,712.5
3112015,AMBULANCE FEE MORE THAN 100 KMS LESS THAN 250 KMS,GENERAL ,1425.0
3112016,AMBULANCE FEE MORE THAN 250 KMS LESS THAN 500 KMS,GENERAL ,5700.0
3112017,AMBULANCE WITH NURSE TO DAMMAM AIRPORT,GENERAL ,950.0
3112018,GENERAL PRACTITIONER  BY AMBULANCE W/NURSE (DAMMAM),GENERAL ,285.0
3112019,SPECIALIST BY AMBULANCE W/NURSE (DAMMAM),GENERAL ,380.0
3112020,NURSE ESCORT (DAMMAM),GENERAL ,190.0
3112021,NURSE ESCORT TO PHILIPPINES / INDIA,GENERAL ,3325.0
3112022,ORTHOFIX,GENERAL ,1140.0
3112023,ORTHOFIX RENTAL (PER DAY),GENERAL ,33.25
3112024,MORTUARY RENT PER DAY,GENERAL ,285.0
3112025,MEDICAL REPORT,GENERAL ,95.0
3112026,CODE BLUE,GENERAL ,760.0
3112027,BLOOD WARMER,GENERAL ,95.0
3112028,MEDICAL ESCORT (MIDDLE EAST),GENERAL ,9500.0
3112029,MEDICAL ESCORT (EUROPE & INDIA),GENERAL ,11400.0
3112030,MEDICAL ESCORT (U.S.A. & FAR EAST),GENERAL ,17100.0
3112031,DRESSING MAJOR,GENERAL ,85.5
3112032,DRESSING MEDIUM,GENERAL ,61.75
3112033,DRESSING MINOR,GENERAL ,42.75
3112034,BURN DRESSING MINOR (LESS THAN 5%),GENERAL ,118.75
3112035,BURN DRESSING MEDIUM (FROM 5% TO 25%),GENERAL ,356.25
3112036,BURN DRESSING MAJOR (MORE THAN 25%),GENERAL ,380.0
3112037,SLING,GENERAL ,47.5
3112038,ELASTIC BANDAGE,GENERAL ,47.5
3112039,BANDAGE AC,GENERAL ,57.0
3112040,NEBULIZER,GENERAL ,47.5
3112041,STOMACH WASH,GENERAL ,332.5
3112042,ENEMA,GENERAL ,47.5
3112043,E.K.G. / E.C.G. WITH REPORT,GENERAL ,190.0
3112044,TREADMILL EXERCISE TEST (STRESS TEST),GENERAL ,760.0
3112045,ECHO CARDIOGRAM,GENERAL ,712.5
3112046,DEFIBRILLATOR,GENERAL ,161.5
3112047,ELECTRONIC MONITORING,GENERAL ,161.5
3112048,PACE MAKER,GENERAL ,161.5
3112049,CALORIC TEST WITH ELECTROSTAGMOGRAM,GENERAL ,475.0
3112050,E.E.G.,GENERAL ,855.0
3112051,E.C.T. (ELECTRO CONVULSIVE THERAPY),GENERAL ,926.25
3112052,AMBULATORY BLOOD PRESSURE MONITOR,GENERAL ,380.0
3112053,IMPEDENCE METER,GENERAL ,161.5
3112054,CHEST DRAINAGE SET,GENERAL ,475.0
3112055,INTRA-COSTAL DRAINAGE SET,GENERAL ,641.25
3112056,CUTDOWN INFUSION LINE,GENERAL ,323.0
3112057,HUMIDIFIER PER DAY,GENERAL ,161.5
3112058,LOCAL INJECTION,GENERAL ,80.75
3112059,EAR PIERCING,GENERAL ,80.75
3112060,DIAGNOSTIC THORACOCENTESIS,GENERAL ,161.5
3112061,LUMBAR PUNCTURE W/O LABORATORY TEST(S.PUNCTURE),GENERAL ,237.5
3112062,COMEDON EXTRACTION,GENERAL ,308.75
3112063,TUBIGRIP,GENERAL ,33.25
3112064,HOLTER MONITORING FOR 48 HOURS,GENERAL,1330.0
3112065,BLOOD PRESSURE MONITORING 24 HOURS,GENERAL,617.5
3112066,PAEDIATRIC ECHOCARDOGRAPHY,GENERAL,1425.0
3112067,DOBUTAMIN ECHO,GENERAL,1900.0
3112068,TRANSESOPHAGAL ECHO,GENERAL,1900.0
3112069,EEG UNDER ANAESTHESIA,GENERAL,1662.5
3112070,UMBILICAL DRIP THRU UMBILICAL VEINS FOR NEONATES,GENERAL ,427.5
3112071,LUMBAR PUNCTURE FOR NEONATES,GENERAL ,237.5
3112072,SUBDURAL TAP,GENERAL ,427.5
3112073,JEJUNAL BIOPSY,GENERAL ,475.0
3112074,SKIN TEST,GENERAL ,475.0
3112075,P.F.T. & EXERCISE TEST,GENERAL ,161.5
3112076,PHOTO THERAPY W/O BLOOD (PER DAY),GENERAL ,161.5
3112077,DOUBLE PHOTO THERAPY W/O BLOOD PER DAY,GENERAL ,308.75
3112078,TRIPLE PHOTO THERAPY W/O BLOOD PER DAY,GENERAL ,427.5
3112079,NASAL SUCTION,GENERAL ,80.75
3112080,OXYGEN TENT,GENERAL ,380.0
3112081,BONE MARROW ASPIRATION,GENERAL ,1111.5
3112082,"BONE MARROW BIOPSY, NEEDLE (INCL. LAB TESTS) ",GENERAL ,2090.0
3112083,ABDOMINAL PARACENTHESIS,GENERAL ,308.75
3112084,ESOHAGEAL MANOMETRY STUDY,GENERAL,3325.0
3112085,ANORECTAL MANOMETRY STUDY,GENERAL,2375.0
3112086,BIOFEEDBACK / 1 SESSION,GENERAL,807.5
3112087,BIOFEEDBACK / 4 SESSIONS,GENERAL,1900.0
3112088,BONE BIOPSY,GENERAL,1111.5
3112089,INJECTION BOTOX AS PROPHYLACTIC FOR MIGRAINE,GENERAL,950.0
3112090,INCISION AND DRAINAGE,GENERAL,118.75
3112091,SUTURING MINOR,GENERAL,118.75
3112092,SUTURING MAJOR,GENERAL,237.5
3112093,EXTRACTION OF NAIL & DRESSING,GENERAL,161.5
3112094,REMOVAL OF FOREIGN BODY SUPERFICIAL,GENERAL,161.5
3112095,REMOVAL OF FOREIGN BODY DEEP W/SCREEN,GENERAL,332.5
3112096,LOCAL ANAESTHESIA SMALL AREA,GENERAL,71.25
3112097,LOCAL ANAESTHESIA LARGE AREA,GENERAL,237.5
3112098,CIRCUMCISION NEW BORN 1 DAY  - 3 MONTHS WITH LAB TESTS,GENERAL,380.0
3112099,CIRCUMCISION 3 MONTHS - 1 YEAR  WITH LAB TEST,GENERAL,617.5
3112100,CIRCUMCISION 1 YEAR - 10 YEARS WITH LAB TESTS,GENERAL,760.0
3112101,CATHETERIZATION,GENERAL,71.25
3112102,FOLLEY CATHETERIZATION,GENERAL,80.75
3112103,PILES TREATMENT BY RUBBER BAND APPLICATOR (PILES/ELASTIC),GENERAL,1425.0
3112104,SCROTTAL SUPPORT ,GENERAL,71.25
3112105,TRU CUT BIOPSY,GENERAL,1710.0
3112106,INCISION & DRAINAGE OF SMALL ABSCESS,GENERAL,237.5
3112107,INCISION & DRAINAGE OF BIG ABSCESS,GENERAL,475.0
3112108,EXTRACTION OF INGROWING TOE NAIL,GENERAL,475.0
3112109,EXCISION OF SIMPLE OR SMALL LIPOMA UNDER L.A.,GENERAL,2052.0
3112110,MULTIFIRE GIA STAPLER,GENERAL,1045.0
3112111,WOUND CARE DRESSING SIMPLE / PEDIA,GENERAL,95.0
3112112,WOUND CARE DRESSING MEDIUM / PEDIA,GENERAL,190.0
3112113,WOUND CARE DRESSING COMPLEX COMPLICATED / PEDIA,GENERAL,285.0
3112114,T.C.C. FIRST APPLICATION ,GENERAL,570.0
3112115,T.C.C. WEEKLY FOLLOW UP SESSIONS ,GENERAL,190.0
3112116,TOE PRESURE,GENERAL,142.5
3112117,TCPO2,GENERAL,285.0
3112118,ADVANCED VENUS ULCER/ PER DRESSING,GENERAL,285.0
3112119,VASCULAR DOPPLER STUDY,GENERAL,95.0
4112001,INJECTION,VACCINE,38.0
4112002,ACT HIB VACCINE,VACCINE,123.5
4112003,ACTACEL VACCINE,VACCINE,247.0
4112004,ANEXATE INJECTION,VACCINE,185.25
4112005,ANTI SCORPION INJECTION,VACCINE,190.0
4112006,ANTI SNAKE SERUM AMP.,VACCINE,370.5
4112007,ARAMEN INJECTION,VACCINE,351.5
4112008,ARAPENTA,VACCINE,114.0
4112009,AVAXIM VACCINE,VACCINE,156.75
4112010,B.C.G. VACCINATION,VACCINE,33.25
4112011,BOOSTRIX,VACCINE,95.0
4112012,CLOPIXOL DEPOT INJECTION,VACCINE,57.0
4112013,D.P.T. VACCINATION,VACCINE,52.25
4112014,DESFERAL INJECTION,VACCINE,52.25
4112015,DOBUTREX INJECTION,VACCINE,85.5
4112016,DT PAEDIA,VACCINE,14.25
4112017,EPREX 2000 IU,VACCINE,185.25
4112018,HAVRIX ADULT,VACCINE,247.0
4112019,HEPATECT (2ML) VACCINATION,VACCINE,679.25
4112020,HEPATITIS VACCINATION,VACCINE,123.5
4112021,HIBREX 10 MG VACCINE,VACCINE,161.5
4112022,HUMULIN N INJECTION,VACCINE,104.5
4112023,HUMULIN R INJECTION,VACCINE,104.5
4112024,INFANRIX 0.5 ML SYRINGE,VACCINE,142.5
4112025,INFANRIX HEXA VACCINE,VACCINE,370.5
4112026,INFANRIX HIB VACCINE,VACCINE,185.25
4112027,INFLUVAC - FLUARIX,VACCINE,47.5
4112028,M.M.R. VACCINATION,VACCINE,133.0
4112029,MEASLES VACCINATION,VACCINE,80.75
4112030,MENACTRA INJECTION,VACCINE,351.5
4112031,MOMMAN,VACCINE,570.0
4112032,OKAVAX VIAL,VACCINE,356.25
4112033,P.P.D.(VACCINE),VACCINE,38.0
4112034,PANTOZOL INJECTION,VACCINE,137.75
4112035,PARVOLEX INJECTION,VACCINE,123.5
4112036,PEDIACEL VACCINE,VACCINE,237.5
4112037,PNEUMO 23 VACCINE,VACCINE,104.5
4112038,POLIO VACCINATION,VACCINE,52.25
4112039,PREVENAR VACCINE,VACCINE,555.75
4112040,RABIS VACCINE (ANTI-RABIS),VACCINE,190.0
4112041,RHESUS FACTOR  VACCINATION,VACCINE,570.0
4112042,ROTA VIRUS VACCINE,VACCINE,394.25
4112043,RUDIVAX VACCINE,VACCINE,23.75
4112044,SYNFLORIX VACCINE,VACCINE,285.0
4112045,TETANUS TAXOID,VACCINE,23.75
4112046,TETRACT HIB VACCINE,VACCINE,123.5
4112047,TPN,VACCINE,926.25
4112048,TRITANRIX HB + HIBERIX INJECTION,VACCINE,152.0
4112049,TRITANRIX HB10 VACCINE VIAL,VACCINE,114.0
4112050,TWINRIX ADULT VACCINE,VACCINE,185.25
4112051,TYPHOID VACC.,VACCINE,85.5
4112052,VACCINATION - MENINGITIS MENCEVAX,VACCINE,104.5
4112053,VARILRIX VACCINE,VACCINE,270.75
4112054,VARIVAX VIAL,VACCINE,332.5
4112055,VAXIGRIP,VACCINE,38.0
5112001,OPERATION FINE MAJOR - DOCTOR FEES,SURGERY,4275.0
5112002,OPERATION MAJOR - DOCTOR FEES ,SURGERY,3800.0
5112003,OPERATION MEDIUM - DOCTOR FEES,SURGERY,3325.0
5112004,OPERATION MINOR - DOCTOR FEES,SURGERY,2375.0
5112005,OPERATION SIMPLE - DOCTOR FEES,SURGERY,1425.0
5112006,OPERATION ROOM CHARGES FINE MAJOR,SURGERY,712.5
5112007,OPERATION ROOM CHARGES MAJOR,SURGERY,570.0
5112008,OPERATION ROOM CHARGES MEDIUM,SURGERY,475.0
5112009,OPERATION ROOM CHARGES MINOR,SURGERY,380.0
5112010,OPERATION ROOM CHARGES SIMPLE,SURGERY,332.5
5112011,ANAESTHESIOLOGIST FEE FINE MAJOR OPERATION,SURGERY,712.5
5112012,ANAESTHESIOLOGIST FEE MAJOR OPERATION,SURGERY,570.0
5112013,ANAESTHESIOLOGIST FEE  MEDIUM OPERATION,SURGERY,475.0
5112014,ANAESTHESIOLOGIST FEE MINOR OPERATION,SURGERY,380.0
5112015,ANAESTHESIOLOGIST FEE SIMPLE OPERATION,SURGERY,332.5
5112016,DISPOSABLES OR FINE MAJOR,SURGERY,712.5
5112017,DISPOSABLES OR MAJOR,SURGERY,570.0
5112018,DISPOSABLES OR MEDIUM,SURGERY,475.0
5112019,DISPOSABLES OR MINOR,SURGERY,380.0
5112020,DISPOSABLES OR SIMPLE,SURGERY,332.5
5112021,ANAESTHESIA FINE MAJOR,SURGERY,712.5
5112022,ANAESTHESIA MAJOR,SURGERY,570.0
5112023,ANAESTHESIA MEDIUM,SURGERY,475.0
5112024,ANAESTHESIA MINOR,SURGERY,380.0
5112025,ANAESTHESIA SIMPLE,SURGERY,332.5
5112026,LOCAL ANAESTHESIA FEES - SMALL AREA,SURGERY,95.0
5112027,LOCAL ANAESTHESIA FEES - LARGE AREA,SURGERY,522.5
5112028,EPIDURAL INCLUDING ANAESTHESIOLOGIST FEE,SURGERY,1235.0
5112029,ANAESTHIA FEES - SPINAL,SURGERY,855.0
6112001,PLASTER JACKET - GIBSONA,ORTHOPAEDIC ,1092.5
6112002,ABOVE KNEE POP - GIBSONA,ORTHOPAEDIC ,522.5
6112003,BELOW KNEE POP - GIBSONA,ORTHOPAEDIC ,522.5
6112004,BELOW ELBOW POP - GIBSONA,ORTHOPAEDIC ,522.5
6112005,ABOVE ELBOW POP - GIBSONA,ORTHOPAEDIC ,522.5
6112006,UNILATERAL HIP SPICA - GIBSONA,ORTHOPAEDIC ,760.0
6112007,BILATERAL HIP SPICA - GIBSONA,ORTHOPAEDIC ,1092.5
6112008,PLASTER SPICA - (ONE LEG/ARM),ORTHOPAEDIC ,760.0
6112009,PLASTER CAST REMOVAL,ORTHOPAEDIC ,85.5
6112010,REMOVAL OF K-WIRE,ORTHOPAEDIC ,380.0
6112011,KNEE IMMOBILIZER,ORTHOPAEDIC ,237.5
6112012,CERVICAL TRACTION,ORTHOPAEDIC ,80.75
6112013,SKIN TRACTION,ORTHOPAEDIC ,427.5
6112014,HALTER TRACTION,ORTHOPAEDIC ,427.5
6112015,MEASUREMENT OF COMPARTMENTAL PRESSURE,ORTHOPAEDIC ,1425.0
6112016,ASPIRATION FROM JOINTS,ORTHOPAEDIC ,166.25
6112017,INJECTION INTO JOINTS,ORTHOPAEDIC ,118.75
