Unified Code,Unified Description,Type,SBS V2,LOS,Discount 3 years contract,Price 2026
FMXRAY1724,CT ANGIOGRAPHY (CTA) FOR LOWER LIMB,CT,57350-07-01,-,0.0,1854.1
FMXRAY1553,Ct Angiography (Ctv) For Lower Limb,CT,57350-07-01,-,0.0,1854.1
FMXRAY1552,Ct Angiography (Ctv) For Upper Limb,CT,57350-01-00,-,0.0,1854.1
FMXRAY1706,CT BRAIN ANGIOGRAPHY (CTA),CT,59970-02-00,-,0.0,1854.1
FMXRAY1547,Ct Brain Angiography (Ctv),CT,59970-02-00,-,0.0,1854.1
FMXRAY1551,"CT CHEST, ABDOMEN, PELVIS WITH CONTRAST (CAP Protocol)",CT,56807-00-00,-,0.0,1854.1
FMXRAY-135,CT LEG OR ANKLE OR FOOT WITH CONRAST,CT,56625-00-01,-,0.0,872.0
FMXRAY1705,CT NECK ANGIOGRAPHY (CTA),CT,57350-00-00,-,0.0,1854.1
FMXRAY1548,Ct Neck Angiography (Ctv),CT,57350-00-00,-,0.0,1854.1
FMXRAY-1501,CT PELVIMETRY,CT,57201-00-00,-,0.0,872.0
FMXRAY1683,Ct Pns With Contrast,CT,56022-01-00,-,0.0,872.0
FMXRAY-1517,CT WHOLE BODY W/CONTRAST,CT,61425-00-00,-,0.0,1648.1
FMXRAY1138,Ct. Abdomen & Pelvis (Kub Protocol),CT,56501-00-00,-,0.0,1264.4
FMXRAY1137,Ct. Abdomen & Pelvis (Renal Or Suprarenal Protocol),CT,56501-00-00,-,0.0,1264.4
FMXRAY1136,Ct. Abdomen & Pelvis (Triphasic Liver Protocol),CT,56501-00-00,-,0.0,1264.4
FMXRAY1139,Ct. Abdomen & Pelvis (Urography Protocol),CT,56501-00-00,-,0.0,1264.4
FMXRAY1140,Ct. Abdomen & Pelvis (Virtual Colonoscopy Protocol),CT,56501-00-00,-,0.0,1264.4
FMXRAY1135,CT. ABDOMEN & PELVIS WITH ORAL & IV CONTRAST,CT,56507-00-00,-,0.0,1264.4
FMXRAY1162,Ct. Angiography (Cta & Ctv) For Lower Limb,CT,57350-07-02,-,0.0,1854.1
FMXRAY1161,Ct. Angiography (Cta & Ctv) For Upper Limb,CT,57350-01-00,-,0.0,1854.1
FMXRAY1124,Ct. Brain Angiography (Cta & Ctv),CT,59970-02-00,-,0.0,1854.1
FMXRAY1125,Ct. Brain Angiography (Perfusion Protocol),CT,59970-02-00,-,0.0,1854.1
FMXRAY1115,Ct. Brain With Contrast (Standard Protocol),CT,56007-00-00,-,0.0,872.0
FMXRAY1116,Ct. Brain With Contrast (Trauma Protocol),CT,56007-00-00,-,0.0,872.0
FMXRAY1114,CT. BRAIN WITHOUT CONTRAST (Standard protocol),CT,56001-00-00,-,0.0,872.0
FMXRAY1134,Ct. Cardiac (Coronary Angiography Protocol),CT,57360-00-00,-,0.0,1854.1
FMXRAY1130,Ct. Chest (Virtual Bronchoscopy Protocol),CT,56301-00-00,-,0.0,872.0
FMXRAY1132,Ct. Chest Angiography (Pulmonary Angiography Protocol),CT,57350-02-00,-,0.0,1854.1
FMXRAY1131,Ct. Chest Angiography (Thoracic Aorta Protocol),CT,57350-02-00,-,0.0,1854.1
FMXRAY1129,CT. CHEST WITH CONTRAST (Mediastinum protocol),CT,56307-00-00,-,0.0,872.0
FMXRAY1128,CT. CHEST WITHOUT CONTRAST (HRCT protocol),CT,56301-00-00,-,0.0,872.0
FMXRAY1133,CT. CRADIAC (CALCIUM SCORING PROTOCOL),CT,56301-00-00,-,0.0,1854.1
FMXRAY1555,Ct. Mako Preoperative (Left),CT,56619-00-01,-,0.0,872.0
FMXRAY1554,Ct. Mako Preoperative (Right),CT,56619-00-01,-,0.0,872.0
FMXRAY1152,Ct. Msk (Ankle Joint Protocol),CT,56619-00-01,-,0.0,872.0
FMXRAY1153,Ct. Msk (Clavicle Bone Protocol),CT,56619-00-01,-,0.0,872.0
FMXRAY1147,Ct. Msk (Elbow Joint Protocol),CT,56619-00-01,-,0.0,872.0
FMXRAY1160,Ct. Msk (Foot Bones Protocol),CT,56619-00-01,-,0.0,872.0
FMXRAY1155,Ct. Msk (Forearm Bones Protocol),CT,56619-00-01,-,0.0,872.0
FMXRAY1156,Ct. Msk (Hand Bones Protocol),CT,56619-00-01,-,0.0,872.0
FMXRAY1150,Ct. Msk (Hip Joint Protocol),CT,56619-00-01,-,0.0,872.0
FMXRAY1154,Ct. Msk (Humerous Bone Protocol),CT,56619-00-01,-,0.0,872.0
FMXRAY1151,Ct. Msk (Knee Joint Protocol),CT,56619-00-01,-,0.0,872.0
FMXRAY1159,Ct. Msk (Leg Bones Protocol),CT,56619-00-01,-,0.0,872.0
FMXRAY1157,Ct. Msk (Pelvic Bone Protocol),CT,56409-00-00,-,0.0,872.0
FMXRAY1149,Ct. Msk (Sacroiliac Joint Protocol),CT,56619-00-01,-,0.0,872.0
FMXRAY1146,Ct. Msk (Shoulder Joint Protocol),CT,56619-00-01,-,0.0,872.0
FMXRAY1148,Ct. Msk (Wrist Joint Protocol),CT,56619-00-01,-,0.0,872.0
FMXRAY1158,Ct. Msk Femur Bone Protocol),CT,56619-00-01,-,0.0,872.0
FMXRAY1127,Ct. Neck Angiography (Cta & Ctv),CT,57350-00-00,-,0.0,1854.1
FMXRAY1126,Ct. Neck With Contrast,CT,56101-00-00,-,0.0,872.0
FMXRAY1163,Ct. Scout (Leg Length),CT,56619-00-01,-,0.0,872.0
FMXRAY1121,Ct. Skull (Facial Bones Protocol),CT,56022-00-00,-,0.0,872.0
FMXRAY1119,Ct. Skull (Orbits Protocol),CT,56013-01-00,-,0.0,872.0
FMXRAY1120,Ct. Skull (P.N.S. Protocol),CT,56022-01-00,-,0.0,872.0
FMXRAY1118,Ct. Skull (Petrous Bone Protocol),CT,56016-00-00,-,0.0,872.0
FMXRAY1117,Ct. Skull (Sella Protocol),CT,56001-00-00,-,0.0,872.0
FMXRAY1122,Ct. Skull (Tmj Protocol),CT,56022-00-00,-,0.0,872.0
FMXRAY1142,Ct. Spine (Cervical Region),CT,56220-00-00,-,0.0,872.0
FMXRAY1143,Ct. Spine (Dorsal Region),CT,56221-00-00,-,0.0,872.0
FMXRAY1144,CT. SPINE (LUMBO-SACRAL REGION),CT,90912-00-00,-,0.0,872.0
FMXRAY1145,CT. SPINE (WHOLE),CT,61425-00-00,-,0.0,1751.6
FMXRAY1907,CT.ABDOMEN OR PELVIS W/ W/O CONT.,CT,56401-00-00,-,0.0,872.0
FMXRAY1906,CT.UPPER ABDOMEN OR PELVIS,CT,56401-00-00,-,0.0,872.0
FMXRAY-1511,ORGANS OF THE THROAT,CT,56101-00-00,-,0.0,872.0
FMXRAY1612,OSTEO-CT,CT,12309-00-00,-,0.0,872.0
FMXRAY1642,Vct- Ct Angio Lower Limbs Ra00422029,CT,57350-07-01,-,0.0,1854.1
FMXRAY1650,Cta Head & Neck With Contrast (CT angiography for brain and carotid vessels) - Excluding Contrast Charges,CT,57350-00-00,-,0.0,1854.1
392,Drainage of abscess,Dental,96215-00-10,-,0.15,100.9
250,Active non-surgical periodontal therapy   per quadrant,Dental,97281-00-00,-,0.15,878.2
821,Active removable appliance   per arch,Dental,97821-00-00,-,0.15,1330.4
768,Adding tooth to partial denture to replace an extracted or decoronated tooth   per tooth,Dental,97768-00-00,-,0.15,154.5
877,"Addition to removable appliance   clasp, spring or tooth",Dental,97877-01-00,-,0.15,154.5
524,Adhesive restoration   four surfaces   anterior tooth   direct,Dental,97521-02-00,-,0.15,693.5
534,Adhesive restoration   four surfaces   posterior tooth   direct,Dental,97521-02-00,-,0.15,432.6
521,Adhesive restoration   one surface   anterior tooth   direct,Dental,97521-01-00,-,0.15,346.1
531,Adhesive restoration   one surface   posterior tooth   direct,Dental,97521-01-00,-,0.15,346.1
523,Adhesive restoration   three surfaces   anterior tooth   direct,Dental,97521-02-00,-,0.15,515.9
533,Adhesive restoration   three surfaces   posterior tooth   direct,Dental,97521-02-00,-,0.15,515.9
522,Adhesive restoration   two surfaces   anterior tooth   direct,Dental,97521-02-00,-,0.15,403.8
532,Adhesive restoration   two surfaces   posterior tooth   direct,Dental,97521-02-00,-,0.15,405.3
526,Adhesive restoration   veneer   anterior tooth   direct,Dental,97582-01-00,-,0.15,346.1
741,Adjustment of a denture,Dental,97741-00-00,-,0.15,154.5
331,Alveolectomy – per segment,Dental,97331-00-10,-,0.15,412.0
432,Apicectomy – per root,Dental,97432-00-00,-,0.15,807.6
153,Bi-maxillary mouthguard   indirect,Dental,97153-00-00,-,0.15,1056.7
051,Biopsy of tissue,Dental,50200-00-01,-,0.15,258.0
118,"Bleaching, external – per tooth",Dental,97118-00-00,-,0.15,206.0
119,"Bleaching, home application – per arch",Dental,97119-00-00,-,0.15,154.5
117,"Bleaching, internal – per tooth",Dental,97117-00-00,-,0.15,309.0
862,Bonding of attachment for application of orthodontic force,Dental,97862-00-00,-,0.15,360.5
642,Bridge pontic – direct – per pontic,Dental,97642-00-00,-,0.15,618.0
643,Bridge pontic – indirect – per pontic,Dental,97643-00-30,-,0.15,618.0
081,Cephalometric analysis – excluding radiographs ,Dental,97081-00-00,-,0.15,416.0
775,Characterisation of denture base,Dental,97719-01-30,-,0.15,206.0
753,Cleaning and polishing of pre-existing denture,Dental,97753-00-00,-,0.15,113.3
416,Complete chemo-mechanical preparation of root canal   each additional canal,Dental,97416-00-00,-,0.15,222.1
415,Complete chemo-mechanical preparation of root canal   one canal,Dental,97415-00-00,-,0.15,444.2
881,Complete course of orthodontic treatment,Dental,97881-00-10,-,0.15,1545.1
712,Complete mandibular denture,Dental,97712-00-00,-,0.15,230.6
719,Complete maxillary and mandibular dentures,Dental,97719-00-00,-,0.15,453.5
711,Complete maxillary denture,Dental,97711-00-00,-,0.15,230.6
090,Cone Beam Volumetric Tomography analysis and/or interpretation – temporomandibular joints only,Dental,97083-00-40,-,0.15,505.0
399,Control of reactionary or secondary post-operative haemorrhage,Dental,97399-00-00,-,0.15,82.4
587,Crown – metallic – minimal tooth preparation – preformed,Dental,97618-04-00,-,0.15,669.5
586,Crown – metallic – with tooth preparation – preformed,Dental,97618-04-00,-,0.15,860.7
588,Crown – tooth-coloured – preformed,Dental,97631-00-00,-,0.15,908.5
754,Denture base modification,Dental,97754-00-00,-,0.15,154.5
165,Desensitising procedure – per appointment,Dental,97165-01-00,-,0.15,353.3
071,Diagnostic model – per model,Dental,97071-00-00,-,0.15,353.0
678,Diagnostic template,Dental,97678-00-00,-,0.15,798.7
411,Direct pulp capping,Dental,97411-00-00,-,0.15,82.4
843,Expansion appliance   fixed   per arch,Dental,97843-00-00,-,0.15,2494.0
419,Extirpation of pulp or debridement of root canal(s) – emergency or palliative,Dental,97419-00-00,-,0.15,100.9
851,Extraoral appliance,Dental,97851-00-00,-,0.15,360.5
161,Fissure and/or tooth surface sealing – per tooth,Dental,97161-00-00,-,0.15,252.4
664,Fitting of bar for denture   per abutment,Dental,97664-00-00,-,0.15,257.5
391,Frenectomy,Dental,30278-02-00,-,0.15,412.0
611,Full crown   acrylic resin   indirect,Dental,97611-01-00,-,0.15,721.0
618,Full crown   metallic   indirect,Dental,97618-00-00,-,0.15,2269.9
613,Full crown   non-metallic   indirect,Dental,97613-07-00,-,0.15,1711.1
615,Full crown   veneered   indirect,Dental,97615-10-00,-,0.15,860.7
671,Full crown attached to osseointegrated implant   non-metallic   indirect,Dental,97671-00-00,-,0.15,1236.1
824,Functional orthopaedic appliance   prefabricated,Dental,97823-00-10,-,0.15,1660.0
823,Functional orthopaedic appliance – custom fabrication,Dental,97823-00-00,-,0.15,515.0
231,Gingivectomy – per tooth,Dental,97231-00-00,-,0.15,206.0
438,Hemisection,Dental,97438-00-00,-,0.15,824.0
736,Immediate tooth replacement – per tooth,Dental,97736-00-00,-,0.15,206.0
776,Impression   dental appliance repair/modification,Dental,97719-01-10,-,0.15,151.4
778,Inlay for denture tooth,Dental,97778-00-00,-,0.15,154.5
688,Insertion of one-stage endosseous implant – per implant,Dental,45846-00-00,-,0.15,4120.2
022,Intraoral periapical or bitewing radiograph – per exposure,Dental,97022-00-10,-,0.15,86.0
025,"Intraoral radiograph – occlusal, maxillary, mandibular – per exposure",Dental,97022-00-10,-,0.15,177.0
361,Mandible – relocation following dislocation,Dental,47000-00-01,-,0.15,526.4
247,Maxillary sinus augmentation – lateral wall approach – per sinus,Dental,45849-00-10,-,0.15,618.0
246,Maxillary sinus augmentation – trans-alveolar technique – per sinus,Dental,45849-00-30,-,0.15,669.5
739,Metal backing   per backing,Dental,97739-00-00,-,0.15,257.5
716,Metal palate or plate,Dental,97716-00-00,-,0.15,1660.0
514,Metallic restoration   four surfaces   direct,Dental,97511-02-00,-,0.15,526.4
511,Metallic restoration   one surface   direct,Dental,97511-01-00,-,0.15,267.1
541,Metallic restoration   one surface   indirect,Dental,97541-01-00,-,0.15,878.2
513,Metallic restoration   three surfaces   direct,Dental,97511-02-00,-,0.15,438.0
512,Metallic restoration   two surfaces   direct,Dental,97511-02-00,-,0.15,353.1
846,Minor tooth guidance   fixed,Dental,97846-01-00,-,0.15,360.5
968,Occlusal adjustment following occlusal analysis – per appointment,Dental,97968-00-00,-,0.15,690.8
732,Occlusal rest   per rest,Dental,97732-00-00,-,0.15,154.5
965,Occlusal splint,Dental,97965-00-00,-,0.15,360.5
871,Orthodontic adjustment,Dental,97871-00-00,-,0.15,257.5
244,Osseous graft   block,Dental,97244-00-00,-,0.15,824.0
243,Osseous graft   per tooth or implant,Dental,97234-00-00,-,0.15,1030.1
242,Osseous surgery – per tooth or implant,Dental,97233-00-10,-,0.15,824.0
734,Overlays   per tooth,Dental,97734-00-00,-,0.15,206.0
911,Palliative care,Dental,97911-00-00,-,0.15,82.4
037,Panoramic radiograph – per exposure,Dental,57960-00-00,-,0.15,262.0
728,Partial mandibular denture – cast metal framework,Dental,97728-00-00,-,0.15,123.6
722,Partial mandibular denture – resin base,Dental,97722-00-00,-,0.15,790.9
727,Partial maxillary denture – cast metal framework,Dental,97727-00-00,-,0.15,103.0
721,Partial maxillary denture – resin base,Dental,97721-00-00,-,0.15,790.9
845,Passive appliance   fixed,Dental,97845-00-00,-,0.15,515.0
811,Passive removable appliance   per arch,Dental,97811-00-00,-,0.15,833.9
232,Periodontal flap surgery   per tooth,Dental,97232-00-10,-,0.15,309.0
238,Periodontal surgery for crown lengthening   per tooth,Dental,97238-00-00,-,0.15,257.5
575,Pin retention – per pin,Dental,97575-00-00,-,0.15,87.3
625,Post and core for crown   indirect,Dental,97625-10-00,-,0.15,151.4
629,Post and root cap   indirect,Dental,97629-00-00,-,0.15,177.5
986,Post-operative care not otherwise included,Dental,97986-00-00,-,0.15,103.0
645,Precision or magnetic attachment,Dental,97645-00-00,-,0.15,360.5
735,Precision or magnetic denture attachment,Dental,97735-00-00,-,0.15,206.0
627,Preliminary restoration for crown   direct,Dental,97627-00-00,-,0.15,206.0
151,Provision of a mouthguard   indirect,Dental,97151-00-00,-,0.15,412.0
572,Provisional (intermediate/temporary) restoration – per tooth,Dental,97572-01-00,-,0.15,85.6
632,Provisional bridge pontic – per pontic,Dental,97632-00-00,-,0.15,154.5
714,Provisional complete mandibular denture,Dental,97714-00-10,-,0.15,154.5
715,Provisional complete maxillary and mandibular dentures,Dental,97715-00-10,-,0.15,154.5
713,Provisional complete maxillary denture,Dental,97713-00-20,-,0.15,154.5
631,Provisional crown – per tooth,Dental,97631-00-00,-,0.15,353.1
724,Provisional partial mandibular denture,Dental,97722-00-00,-,0.15,123.6
723,Provisional partial maxillary denture,Dental,97721-00-00,-,0.15,123.6
414,Pulpotomy,Dental,97414-00-00,-,0.15,438.0
766,Reattaching existing tooth on denture – per tooth,Dental,97766-01-00,-,0.15,123.6
761,Reattaching pre-existing clasp to denture,Dental,97761-00-00,-,0.15,154.5
872,Reattachment of passive appliance – fixed,Dental,97872-00-10,-,0.15,257.5
652,Recementing bridge or splint – per abutment,Dental,97652-00-00,-,0.15,206.0
651,Recementing crown or veneer,Dental,97651-00-00,-,0.15,85.6
596,Recementing of indirect restoration,Dental,97596-00-10,-,0.15,51.5
964,Registration and mounting of models for occlusal analysis ,Dental,97964-00-00,-,0.15,206.0
751,Relining   complete denture   direct,Dental,97743-00-10,-,0.15,133.9
752,Relining   partial denture   direct,Dental,97743-00-15,-,0.15,353.1
743,Relining – complete denture – processed,Dental,97743-00-20,-,0.15,1056.7
744,Relining – partial denture – processed,Dental,97743-00-25,-,0.15,740.2
878,Relining – removable appliance – processed,Dental,97878-00-00,-,0.15,206.0
745,Remodelling – complete denture,Dental,97745-00-00,-,0.15,133.9
746,Remodelling – partial denture,Dental,97746-00-00,-,0.15,133.9
311,Removal of a tooth or part(s) thereof,Dental,97311-01-00,-,0.15,261.8
656,Removal of bridge or splint,Dental,97656-00-00,-,0.15,261.8
114,Removal of calculus – first appointment,Dental,97281-00-10,-,0.15,515.9
115,Removal of calculus – subsequent appointment,Dental,97115-00-00,-,0.15,100.9
655,Removal of crown,Dental,97655-00-00,-,0.15,85.6
341,Removal of hyperplastic tissue,Dental,97341-00-00,-,0.15,504.7
663,Removal of implant and/or retention device,Dental,97663-00-00,-,0.15,1009.4
595,Removal of indirect restoration,Dental,97595-00-00,-,0.15,353.3
874,Removal of passive appliance – fixed,Dental,97874-00-10,-,0.15,559.0
111,Removal of plaque and/or stain,Dental,97111-00-00,-,0.15,261.8
451,Removal of root filling – per canal,Dental,97451-00-00,-,0.15,100.9
371,"Removal of tumour, cyst or scar – cutaneous, subcutaneous or in mucous membrane",Dental,90141-01-10,-,0.15,412.0
373,"Removal of tumour, cyst or scar involving muscle, bone or other deep tissue",Dental,90141-01-30,-,0.15,618.0
659,"Repair of crown, bridge or splint – direct",Dental,97659-00-00,-,0.15,257.5
658,"Repair of crown, bridge or splint – indirect",Dental,97658-00-00,-,0.15,257.5
873,Repair of passive appliance – fixed,Dental,97873-00-10,-,0.15,257.5
876,"Repair of removable appliance – clasp, spring or tooth",Dental,97876-00-00,-,0.15,154.5
875,Repair of removable appliance – resin base,Dental,97875-00-00,-,0.15,154.5
769,Repair or addition to metal casting,Dental,97769-00-00,-,0.15,133.9
763,Repairing broken base of a complete denture,Dental,97764-00-00,-,0.15,704.9
764,Repairing broken base of a partial denture,Dental,97765-00-00,-,0.15,526.4
762,Replacing/adding clasp to denture – per clasp,Dental,97762-00-00,-,0.15,267.1
765,Replacing/adding new tooth on denture – per tooth,Dental,97766-01-00,-,0.15,50.8
384,Repositioning of displaced tooth/teeth   per tooth,Dental,97384-00-00,-,0.15,206.0
737,Resilient lining,Dental,97737-00-00,-,0.15,154.5
731,Retainer   per tooth,Dental,97731-00-00,-,0.15,123.6
649,Retainer for bonded fixture   indirect   per tooth,Dental,97649-00-00,-,0.15,309.0
418,Root canal obturation – each additional canal,Dental,97418-00-00,-,0.15,111.0
417,Root canal obturation – one canal,Dental,97417-00-00,-,0.15,113.3
314,Sectional removal of a tooth or part(s) thereof,Dental,97314-01-00,-,0.15,346.1
943,Sedation   inhalation   per 30 minutes or part thereof,Dental,92515-99-00,-,0.15,463.5
942,Sedation – intravenous – per 30 minutes or part thereof,Dental,92515-99-00,-,0.15,454.3
644,Semi-fixed attachment,Dental,97644-00-00,-,0.15,309.0
386,Splinting of displaced tooth/teeth   per tooth,Dental,97386-01-00,-,0.15,154.5
393,Surgery involving the maxillary antrum,Dental,41716-06-00,-,0.15,515.0
382,Surgical exposure and attachment of device for orthodontic traction,Dental,97382-00-00,-,0.15,412.0
381,Surgical exposure of unerupted tooth – per tooth,Dental,97381-00-00,-,0.15,302.8
779,Surgical guide for an immediate denture,Dental,97779-01-00,-,0.15,257.5
679,Surgical implant guide,Dental,97679-00-00,-,0.15,515.0
322,Surgical removal of a tooth or tooth fragment not requiring removal of bone or tooth division,Dental,97321-05-00,-,0.15,403.8
324,Surgical removal of a tooth or tooth fragment requiring both removal of bone and tooth division,Dental,97321-02-00,-,0.15,1013.3
323,Surgical removal of a tooth or tooth fragment requiring removal of bone,Dental,97321-01-00,-,0.15,757.1
385,Surgical repositioning of unerupted tooth – per tooth,Dental,97385-00-00,-,0.15,257.5
233,Surgical treatment of peri-implant disease - per implant,Dental,97260-02-00,-,0.15,515.0
771,Tissue conditioning preparatory to impressions – per application,Dental,97771-00-00,-,0.15,309.0
733,Tooth/teeth (partial denture),Dental,97765-00-00,-,0.15,123.6
121,"Topical application of remineralisation and/or cariostatic agents, one treatment",Dental,97121-01-00,-,0.15,261.8
213,Treatment of acute periodontal infection – per appointment,Dental,97213-00-00,-,0.15,497.4
344,Vestibuloplasty,Dental,45837-00-00,-,0.15,669.5
738,Wrought bar,Dental,97738-00-00,-,0.15,257.5
014,Consultation,Dental,97014-00-00,-,0.15,190.75
337,Reduction of fibrous tuberosity,Dental,45829-00-01,-,0.15,1656.1
FMDNTS0044,Alveoloplasty One Jaw,Dental,97331-00-10,-,0.15,4589.4
FMDNTS0110,Arch Bar Maxilla Or Mandible,Dental,97719-00-00,-,0.15,1203.4
036,"Cephalometric radiograph – lateral, antero-posterior, postero-anterior or submento-vertex – per exposure",Dental,57902-00-00,-,0.15,212.0
026,Cone Beam Volumetric Tomography   scan acquisition   per appointment,Dental,97083-00-20,-,0.15,681.0
075,Diagnostic modelling,Dental,97071-00-00,-,0.15,545.0
841,Fixed palatal or lingual arch appliance,Dental,97841-00-00,-,0.15,681.4
354,Fracture of maxilla or mandible – with external fixation,Dental,52420-00-10,-,0.15,2255.8
359,Fracture of the maxilla or mandible requiring open reduction,Dental,47774-00-01,-,0.15,7515.9
355,Fracture of zygoma,Dental,47762-01-01,-,0.15,2480.1
831,Full arch banding   per arch,Dental,97831-00-00,-,0.15,247.2
235,"Gingival graft – per tooth, implant or extraction socket",Dental,97271-02-00,-,0.15,370.8
FMDNTS0022,Incision & Drainage Intra-Oral Abscess (Superficial),Dental,30223-01-00,-,0.15,231.0
FMDNTM0015,Local Treatment Of Oral Lesion Large,Dental,97989-00-10,-,0.15,309.0
FMDNTM0014,Local Treatment Of Oral Lesion Medium,Dental,97989-00-10,-,0.15,309.0
FMDNTM0013,Local Treatment Of Oral Lesion Small,Dental,97989-00-10,-,0.15,135.2
FMDNTS0116,Open Reduction Intra-Oral Int.,Dental,47774-00-01,-,0.15,2781.1
FMDNTS0117,Open Reduction Intra-Oral Post,Dental,47774-00-01,-,0.15,4171.7
332,Ostectomy – per jaw,Dental,45720-02-00,-,0.15,3304.2
365,Osteotomy – maxilla,Dental,45720-01-00,-,0.15,8272.4
FMDNTS0296,Osteotomy Of Maxilla (Localized Anterior),Dental,45720-01-00,-,0.15,6117.4
FMDNTS0298,Osteotomy Of Maxilla (Segmental Anterior),Dental,45720-01-00,-,0.15,6884.2
829,Partial banding   per arch,Dental,97829-00-00,-,0.15,309.0
842,Partial banding for inter-maxillary elastics (vertical and/or cross elastics),Dental,97842-00-00,-,0.15,309.0
061,Pulp testing   per appointment,Dental,97061-00-00,-,0.15,19.0
833,Removal of banding – per arch,Dental,97833-00-10,-,0.15,123.6
453,Removal or bypassing fractured endodontic instrument,Dental,97453-00-00,-,0.15,185.4
377,Removal or repair of soft tissue (not elsewhere defined),Dental,97377-00-20,-,0.15,667.7
FMDNTS0060,Ridge Augementation,Dental,45841-00-00,-,0.15,6117.4
FMDNTS3079,Service Charges For Invasalign System Compliance Indicator,Dental,97989-00-10,-,0.15,476.1
981,Splinting and stabilisation – direct – per tooth,Dental,97981-00-00,-,0.15,3304.2
375,Surgery to salivary duct,Dental,30255-00-00,-,0.15,831.3
378,Surgical removal of foreign body,Dental,30064-00-00,-,0.15,831.3
554,Tooth-coloured restoration   four surfaces   indirect,Dental,97551-05-00,-,0.15,1236.1
553,Tooth-coloured restoration   three surfaces   indirect,Dental,97551-05-00,-,0.15,1050.7
552,Tooth-coloured restoration   two surfaces   indirect,Dental,97551-05-00,-,0.15,1001.6
122,"Topical remineralisation and/or cariostatic agents, home application – per arch",Dental,97121-01-00,-,0.15,252.1
FMLAB-2316,FIBROMAX TEST,lab,73350-07-03,-,0.15,2004.5
FMLAB-2093,Glucose Activation Test - Glucose tolerance test GTT,lab,66542-00-20,-,0.15,81.8
FMLAB-7019,"Or Profile Above 40 Yrs (Cbc,Abo&Rh,Hcv,Hbsag,Hiv,Urea,Sgpt,Alk.Phos,Crea,Ggt,Ldh,Rbs,Esr,Na,K",Lab,73000-00-00,-,0.15,1691.9
FMLAB-7016,"OR Profile I (Child Up To 6 Yrs) (Cbc, Abo Gr & Rh, Na, K, Bleeding Time,Clottingtime, Hcv, Hbs Ag)",Lab,73000-00-00,-,0.15,718.5
FMLAB-7017,"OR Profile II Below 40 Yrs: [Cbc, Pt, Creatinine, Alt, Hbs Ag, Hiv, Hcv Ab, Rbs ]",Lab,73000-00-00,-,0.15,989.4
