Department,ServiceCode,Service Description,LOS,Type,NPHIES Code (Hyphenated )2, price vip & A,Price 2022 ( B-C-Referral)
Emergency,FMERDA0141,Iv Fluids - Ongoing Infusion, ,Service,96199-19-00,93.5,84.15
LABORATORY,FMLAB-2007,Amylase, ,Service,73050-03-00,147.62,134.2
LABORATORY,FMLAB-7017,"Or Profile Ii Below 40 Yrs: [Cbc, Pt, Creatinine, Alt, Hbs Ag, Hiv, Hcv Ab, Rbs ]", ,Service,73000-00-20,1365,1228.5
Home Care ,FMHC-0018,I.M. Injection (Service + Disposables + Kits), ,Service,83620-00-00,130,117
Cardiology,FMCARS0021,Echo Full Study -Cardiology, ,Service,55118-00-00,2585,2326.5
LABORATORY,FMLAB-3022,Psa (Total), ,Service,73050-30-20,254.1,231
LABORATORY,FMLAB-3016,Beta Hcg, ,Service,73000-01-70,254.1,231
LABORATORY,FMLAB-9154,Ionized Calcium, ,Service,73050-05-40,456.17,414.7
Dental,FMDNTR0022,Remove Old Root Three Canals, ,Service,97451-00-00,630,567
LABORATORY,FMLAB-2058,Occult Blood In Stool, ,Service,73050-04-80,72.6,66
Radiology ,FMXRAY1260,X-Ray Portable Charge, ,Service,96093-00-00,275,247.5
LABORATORY,FMLAB-2017,"Cholesterol, Total", ,Service,73050-23-60,121,110
Pediatrics,FMPDT-0036,Bcg Vaccination And Consultation, ,Service,99999-99-99,1015,913.5
LABORATORY,FMLAB-2005,Alkaline Phosphatase, ,Service,73100-07-70,96.8,88
LABORATORY,FMLAB-1084,D-Dimer, ,Service,73100-05-50,1034,940
LABORATORY,FMLAB-9786,Zinc ( Urine ), ,Service,73050-39-10,1135,1021.5
INTERNAL MEDICINE,FMINTR0019,Suctioning, ,Service,13400-00-00,205,184.5
LABORATORY,FMLAB-2014,Creatine Kinase Isoenzyme (Ck-Mb), ,Service,73050-09-60,145.2,132
Dermatology ,FMDER-0090,Subcutaneous Injection, ,Service,90660-00-00,84.7,77
LABORATORY,FMLAB-1035,Cross Matching, ,Service,73250-01-60,145.2,132
LABORATORY,FMLAB-2041,Fasting Blood Glucose (Fbs), ,Service,73050-15-50,135,121.5
Ophthalmology,FMOPTA0005,Prescription For Glasses, ,Service,96024-00-00,135.52,123.2
Ophthalmology,FMOPTA0026,Refraction Test, ,Service,96043-00-01,65,58.5
LABORATORY,FMLAB-5043,Hiv, ,Service,73100-22-70,425,382.5
Radiology ,FMXRAY1237,X-Ray Both Knees Ap & Lat., ,Service,57518-01-12,385.99,350.9
Radiology ,FMXRAY1566,Us Pelvis, ,Service,55065-00-00,1035,931.5
LABORATORY,FMLAB-6009,Hvs (High Vaginal Swab) C/S, ,Service,73050-40-80,308.55,280.5
LABORATORY,FMLAB-2051,Total Ige, ,Service,73050-14-20,335.17,304.7
Radiology ,FMXRAY1195,X-Ray Lumbar Spine Ap & Lateral, ,Service,58106-00-00,440,396
Radiology ,FMXRAY1252,X-Ray Chest Pa & Lat. Views, ,Service,58500-00-20,278.3,253
Radiology ,FMXRAY1559,X-Ray Feet Ap & Lat. & Obl., ,Service,57518-04-21,650,585
LABORATORY,FMLAB-3048,Procalcitonin( So ) La99900943, ,Service,73050-29-80,935.712,842.1408
Physiotherapy,FMPTD-2073,TOTAL BODY PT (4 PROCS), ,Service,95550-03-00,1005,904.5
LABORATORY,FMLAB-9694,Pth Intact, ,Service,73050-26-70,1030,927
OB & GYNE,FMOBG-0016,Antenatal (Ctg)Monitoring/Hr, ,Service,16514-01-00,147.62,134.2
Room & Board,FMRMB-9902,Secondclass, ,Service,83610-00-70,330,300
LABORATORY,FMLAB-7022,Renal Profile, ,Service,73000-00-70,835,751.5
Radiology ,FMXRAY1232,X-Ray Knee Ap & Lat., ,Service,57518-01-11,440,396
Dental,FMDNTN0067,Adhesive Restoration One Surface Posterior Tooth Direct, ,Service,97521-01-00,360,324
Radiology ,FMXRAY1236,X-Ray Both Knees Ap Standing, ,Service,57518-01-11,212.96,193.6
LABORATORY,FMLAB-3021,Prolactin (Prl), ,Service,73050-29-90,254.1,231
LABORATORY,Fmlab-9912,Neonatal Metabolic Screen Test, ,Service,92204-00-00,907.5,816.75
LABORATORY,FMLAB-5033,Hbs Ag, ,Service,73050-48-90,151.25,137.5
Radiology ,FMXRAY1196,X-Ray Lumbar Spine Ap & Lat & Obl., ,Service,58106-00-00,550,495
Room & Board,FMRMB-9904,Isolation, ,Service,83610-00-90,2000,1800
LABORATORY,FMLAB-3034,Psa (Free), ,Service,73050-30-30,436.81,397.1
Radiology ,FMXRAY1522,Dexa (Bmd) (2) Segments, ,Service,12306-00-00,660.66,600.6
LABORATORY,FMLAB-6003,Blood C/S, ,Service,73050-40-00,296.45,269.5
Radiology ,FMXRAY1189,X-Ray Cervical Spine Ap & Lat., ,Service,58100-00-00,260.15,236.5
Room & Board,FMRMB-9906,Nicu, ,Service,83610-03-60,2600,2340
Anaesthia ,FMICU-0007,Ecg Portable, ,Service,11708-00-00,141.57,128.7
LABORATORY,FMLAB-5050,Rheumatoid Factor (Rf), ,Service,73100-17-80,193.6,176
LABORATORY,FMLAB-3029,"Thyroid Profile (Tsh, Ft3, Ft4)", ,Service,73050-35-50,592.9,539
Radiology ,FMXRAY1343,W.H. Transvaginal Us, ,Service,55065-00-10,660,594
Physiotherapy,FMPTD-0023,HYDROTHERAPY, ,Service,96153-00-00,244.42,222.2
LABORATORY,FMLAB-9065,Free T3, ,Service,73050-36-50,257.73,234.3
Radiology ,FMXRAY1001,Mri Brain Without Contrast (Standard Protocol), ,Service,90901-00-10,1760,1584
LABORATORY,FMLAB-2013,Ck (Cpk), ,Service,73050-09-40,147.62,134.2
Dental,FMDNTR0006,Root Canal Treatment Infected Tooth 3 Roots Or More, ,Service,97416-00-00,2400,2160
Dermatology ,FMDER-0139,Liquid Nirtogen Application - Medium, ,Service,90676-00-00,300,270
Radiology ,FMXRAY1291,Us. Thyroid Gland, ,Service,55032-00-00,500,450
Radiology ,FMXRAY1304,Us. Msk (Muscles), ,Service,90908-00-00,660,594
Radiology ,FMXRAY1203,X-Ray Shoulder Ap & Axial, ,Service,57700-00-21,440,396
LABORATORY,FMLAB-6017,Sputum C/S, ,Service,73400-01-30,308.55,280.5
LABORATORY,FMLAB-7019,"Or Profile Above 40 Yrs (Cbc,Abo&Rh,Hcv,Hbsag,Hiv,Urea,Sgpt,Alk.Phos,Crea,Ggt,Ldh,Rbs,Esr,Na,K", ,Service,73000-00-20,2170,1953
Home Care ,FMHC-0056,Crepe Bandage ( Big ), ,Service,83620-00-00,130,117
Nursing,FMICU-0008,Air Matress Per Day Fmnur-0040, ,Service,83700-00-00,165,150
Radiology ,FMXRAY1079,Mri Lumber Spine Without Contrast, ,Service,90901-08-20,3340,3006
LABORATORY,FMLAB-2008,Bicarbonate, ,Service,73050-06-40,257.73,234.3
LABORATORY,FMLAB-7016,"Or Profile I (Child Up To 6 Yrs) (Cbc, Abo Gr & Rh, Na, K, Bleeding Time,Clottingtime, Hcv, Hbs Ag)", ,Service,73000-00-20,1500,1350
Radiology ,FMXRAY1641,Pelvis (2 Views), ,Service,57715-00-00,216,194.4
Radiology ,FMXRAY1242,X-Ray Ankle Ap & Lat. & Obl., ,Service,57518-03-21,289.19,262.9
Dental,FMDNTM0006,Gum Treatment Quad. (Severe), ,Service,97281-00-10,976.47,887.7
ENT,FMENTE3002,Ear Wash - Bilateral, ,Service,41647-01-00,244.42,222.2
LABORATORY,FMLAB-5007,Anti-Rubella Igg, ,Service,73100-25-90,205.7,187
LABORATORY,ARAMCO-0002,Aramco Pre-Employment Package, ,Service,73000-00-20,1000.8,900.72
Radiology ,FMXRAY1135,Ct. Abdomen & Pelvis With Oral & Iv Contrast, ,Service,56507-00-00,3315,2983.5
Emergency,FMERDA0076,11 Leads E.C.G., ,Service,11700-00-00,122.21,111.1
ENT,FMENTE0001,Audiometry (Pure Tone + Speech ), ,Service,11306-00-00,469.48,426.8
ENT,FMENTE0013,Otoacoustic Emission Test, ,Service,11332-02-00,456.17,414.7
Dermatology ,FMDER-0138,Liquid Nirtogen Application - Small, ,Service,90676-00-00,185,166.5
Radiology ,FMXRAY1099,Mri Knee (1 Side), ,Service,90901-07-11,1760,1584
Dental,FMDNTM0005,Gum Treatment Quad. (Moderate), ,Service,97281-00-10,809.49,735.9
Radiology ,FMXRAY1525,W.H. Us. Obstetric + 3D/4D Anamoly Scan, ,Service,55700-02-00,1200,1080
LABORATORY,FMLAB-1013,Antibody Screening, ,Service,73250-00-20,219.01,199.1
LABORATORY,FMLAB-5087,Anti Ccp (Cyclic Citrollinated Peptide ), ,Service,73100-12-80,1595,1450
LABORATORY,FMLAB-1052,Filtered Packed Rbcs, ,Service,73100-01-10,2698.3,2453
Dental,FMDNTR0004,Root Canal Treatment Infected Tooth 1 Root, ,Service,97415-00-00,1370,1233
LABORATORY,fmlab-1305,Gestational Diabetes Confirmation (Ogtt / 100 Grs) Four Tests, ,Service,66542-00-20,475.2945,427.76505
Plastic Surgery,FMPSDH0010,Wound Dressing Moderate, ,Service,30055-00-00,129.47,117.7
Ophthalmology,MTOPT-0038,Optical Coherent Tomography (Oct) - One Eye, ,Service,11219-00-11,580,522
LABORATORY,FMLAB-4010,"Drug Screen (Amph,Cann,Opi & Barbi)", ,Service,73300-04-50,2145,1930.5
LABORATORY,FMLAB-2063,Pregnancy Test Serum, ,Service,73150-01-00,121,110
ENT,FMENTN2063,Nasal Endoscopy, ,Service,41764-00-00,116.16,105.6
LABORATORY,FMLAB-8009,Histopath/Biopsy (Small Specimen), ,Service,73200-06-40,1260,1134
Room & Board,FMRMB-9909,Picu, ,Service,83610-03-10,2500,2250
LABORATORY,FMLAB-5001,Anti Nuclear Ab (A.N.A) By Immunofluorescence, ,Service,73100-10-70,522.5,475
LABORATORY,FMLAB-2037,Gamma-Glutamyl Transferase (Ggt), ,Service,73050-15-40,325,292.5
Cardiology,FMCAR-0005,Echo Cardiogram 2D + M Mode + Doppler (Full Study), ,Service,55113-00-00,1130.14,1027.4
Dental,FMDNTR0012,Pulpotomy (Children), ,Service,97414-00-00,411.4,374
INTERNAL MEDICINE,FMINT-0075,Nebulizer /Ventolin, ,Service,92043-00-00,118.58,107.8
Radiology ,FMXRAY1330,Doppler. Lower Limb Vein (Left), ,Service,55244-00-00,1413.5,1272.15
Radiology ,FMXRAY1140,Ct. Abdomen & Pelvis (Virtual Colonoscopy Protocol), ,Service,56549-01-00,2250,2025
Dermatology ,FMDER-0094,Wound Dressing - Large, ,Service,30055-00-30,90.75,82.5
ENT,FMENTE5004,Hearing Aid Fitting, ,Service,96092-00-41,174.24,158.4
Pediatrics,FMPDT-0010,Cardiac Monitor For 24 Hrs, ,Service,92056-00-00,775,697.5
LABORATORY,FMLAB-1066,Reticulocyte Count, ,Service,73100-01-30,269.5,245
Radiology ,FMXRAY1174,X-Ray Nasopharrynx Lateral, ,Service,57942-00-00,275,247.5
Radiology ,FMXRAY1075,Mri Cervical Spine Without Contrast, ,Service,90901-03-10,1760,1584
LABORATORY,FMLAB-9059,Extractable Nuclear Abs (Ena) (Anti Rnp & Anti Sm), ,Service,73100-10-70,1910,1719
Radiology ,FMXRAY1213,X-Ray Wrist Pa. & Lateral, ,Service,57506-03-11,440,396
Dermatology ,FMDER-0092,Wound Dressing - Small, ,Service,30055-00-10,90.75,82.5
LABORATORY,FMLAB-6026,Wound Swab C/S, ,Service,73050-40-90,308.55,280.5
LABORATORY,FMLAB-2054,Ldh (Lactate Dehydrogenase), ,Service,73050-21-80,257.73,234.3
Radiology ,FMXRAY1218,X-Ray Hand Ap & Lat. & Obl., ,Service,57506-04-21,550,495
Radiology ,FMXRAY1567,Us Urinary Tract (Kub), ,Service,55038-00-00,572,514.8
Dental,FMDNTS0004,Simple Extraction (Decidious), ,Service,97311-01-00,315,283.5
Radiology ,FMXRAY1331,Doppler. Lower Limb Vein. (2 Sides), ,Service,55244-01-00,994.62,904.2
Dental,FMDNTX0001,Periapical X-Ray, ,Service,97022-00-10,84.7,77
Radiology ,FMXRAY1214,X-Ray Wrist Pa. & Lat. & Oblique, ,Service,57506-03-21,550,495
Pediatrics,FMPDT-0090,Nasogastric Tube Insertion Up To 3 Yrs Max. 34 Hrs, ,Service,92036-00-00,170,153
LABORATORY,FMLAB-9093,Anti Thyroid Peroxidase Abs (Tpo), ,Service,73100-17-20,1280,1152
Dental,FMDNTS0007,Simple Extraction Of Remaining Root, ,Service,97311-01-00,735,661.5
LABORATORY,FMLAB-5065,Hbs Ag & Hcv Abs, ,Service,73100-23-80,469.48,426.8
Dermatology ,FMDER-0093,Wound Dressing - Medium, ,Service,30055-00-20,52.03,47.3
ENT,FMENTE0005,Tympanometry, ,Service,11324-00-01,296.45,269.5
NEPHROLOGY,FMNEP-0035,Ecg - Nephrology, ,Service,11700-00-00,200,180
LABORATORY,FMLAB-5017,Hcv Ab, ,Service,73100-23-80,495,445.5
Radiology ,FMXRAY1208,X-Ray Elbow Ap & Lat., ,Service,57506-01-11,205.7,187
Pediatrics,FMPDT-0013,Urine Bag, ,Service,11900-00-00,85,76.5
Medication,fmvas-0093,Tpn Administration, ,Service,96098-00-00,1152,1036.8
Emergency,FMERDA0026,Cardiac Monitoring (Per 30 Min), ,Service,92056-00-00,173.3710007,157.6100006
LABORATORY,FMLAB-1654,Mrsa Screening, ,Service,73050-58-30,1248,1123.2
LABORATORY,FMLAB-2097,Lactic Acid, ,Service,73050-21-70,385,346.5
Radiology ,FMXRAY1222,X-Ray Fingers Ap & Lat. & Obl., ,Service,57506-04-21,440,396
Radiology ,FMXRAY1241,X-Ray Ankle Ap & Lat., ,Service,57518-03-11,212.96,193.6
LABORATORY,FMLAB-3012,Follicle Stimulating Hormone (Fsh), ,Service,73050-16-90,465,418.5
LABORATORY,FMLAB-9914,Calprotectin Fecal, ,Service,73050-27-10,3788.4,3444
ENT,FMENTN0006,Allergy Prick Test, ,Service,12000-00-00,487.63,443.3
LABORATORY,FMLAB-1043,Fresh Frozen Plasma (Ffp), ,Service,73250-02-00,1185.8,1078
Pediatrics,FMPDT-0038,Measles Vaccination Including Consultation, ,Service,92153-00-00,147.62,134.2
Plastic Surgery,FMPSDH0009,Wound Dressing Major, ,Service,30055-00-30,174.24,158.4
ENT,FMENTE3001,Ear Wash - Unilateral, ,Service,41647-00-00,154.88,140.8
LABORATORY,FMLAB-9184,Helicobacter Abs, ,Service,73100-22-20,742.5,668.25
Radiology ,FMXRAY1348,W.H. Mammography With Contrast Enhanced, ,Service,59303-00-00,1320,1188
Radiology ,FMXRAY1257,X-Ray Abdomen Erect, ,Service,58900-00-90,205.7,187
LABORATORY,FMLAB-3019,Luteinising Hormone (Lh), ,Service,73050-17-00,425,382.5
Dermatology ,FMDER-0140,Liquid Nirtogen Application - Large, ,Service,90676-00-00,520,468
LABORATORY,FMLAB-1044,Hemoglobin, ,Service,73050-18-00,180,162
Dental,FMDNTR0005,Root Canal Treatment Infected Tooth 2 Roots, ,Service,97416-00-00,1905,1714.5
Radiology ,FMXRAY1626,X-Ray Leg - 3 Views, ,Service,57518-02-01,240,216
LABORATORY,FMLAB-9542,Igf 1, ,Service,73050-17-10,1100,990
Physiotherapy,FMPTD-2083,C.P.M. MACHINE, ,Service,95550-03-00,122.21,111.1
Home Care ,FMHC-0029,Vital Sign, ,Service,83620-00-00,39,35.1
Dermatology ,FMDER-0144,Intralesional Injection - Small Area, ,Service,30207-00-00,200,180
LABORATORY,FMLAB-2018,Hdl Cholesterol, ,Service,73050-23-60,145.2,132
LABORATORY,FMLAB-7018,"Or Profile Iii-Major (Up To 40 Yrs): (Cbc, Abo&Rh, Pt, Esr, K, Na, Rbs,Hiv, Hcv, Cross Matching )", ,Service,73000-00-20,2065,1858.5
LABORATORY,FMLAB-2070,Total Protein, ,Service,73050-30-70,110.11,100.1
Radiology ,FMXRAY1084,Mri Shoulder Both, ,Service,90901-07-12,3190,2871
Radiology ,FMXRAY1204,X-Ray Shoulder Ap Int. & Ext. Rotation, ,Service,57700-00-11,550,495
Radiology ,FMXRAY1233,X-Ray Knee Ap & Lat. & Special.View, ,Service,57518-01-21,550,495
Radiology ,FMXRAY1192,X-Ray Thoracic Spine Ap & Lat., ,Service,55036-00-00,440,396
Radiology ,FMXRAY1231,X-Ray Femur Ap & Lat., ,Service,57518-00-11,440,396
Radiology ,FMXRAY1622,Ultrasound One Breast, ,Service,55070-00-00,600,540
Radiology ,FMXRAY1569,Us Scrotal & Inguinal Ultrasound, ,Service,55048-00-00,500,450
Home Care ,FMHC-0053,Skin Sensitivity Test, ,Service,83620-00-00,39,35.1
LABORATORY,FMLAB-9233,Anti Endomysium Antibodies Iga, ,Service,73050-14-21,820,738
LABORATORY,FMLAB-2123,Food Panel 20 Ige, ,Service,12018-00-00,1828.8,1645.92
Radiology ,FMXRAY1190,X-Ray Cervical Spine Ap & Lat. & Oblique, ,Service,58100-00-00,326.7,297
LABORATORY,FMLAB-7006,Cardiac Enzymes Panel, ,Service,73050-09-40,654.61,595.1
Cardiology,FMCAR-0007,Treadmill Exercise Stress Ecg, ,Service,11712-00-00,830,747
Dermatology ,FMDER-0160,Electrocautery - Medium Area, ,Service,30189-01-00,372.68,338.8
Dermatology ,FMDER-0301,Linear Shockwave Therapy - One Session, ,Service,96155-00-00,2670,2403
LABORATORY,fmlab-1311,Rpr For Syphilis, ,Service,73100-18-80,112.8,101.52
Radiology ,FMXRAY1246,X-Ray Foot Ap & Obl., ,Service,57518-04-11,440,396
Dental,FMDNTP0013,Porcelain Crown (Type Iii), ,Service,97615-10-00,2254.23,2049.3
Radiology ,FMXRAY1292,Us. Neck Soft Tissue, ,Service,90908-00-00,500,450
Radiology ,FMXRAY1614,Spine (1 Segment ) Flex/Ext., ,Service,58108-00-00,238.37,216.7
Radiology ,FMXRAY1212,X-Ray Forearm Ap. & Lat., ,Service,57506-02-01,440,396
Emergency,FMERDC002X,Home Visit - Nurse Per Houre, ,Service,83620-00-70,400,360
LABORATORY,FMLAB-5002,Asot (Antistreptolysin O Titer), ,Service,73100-18-60,205.7,187
Emergency,FMERD-9944,Emergency Pulmonary Function Test (Portable / Disposable) Device, ,Service,11503-16-00,360,324
Psychiatry ,FMPSYC0028,Parents Assessment Behavioral Of Child, ,Service,96102-00-00,435,391.5
LABORATORY,FMLAB-5011,Anti- Ds Dna, ,Service,73100-12-90,660,600
Dental,FMDNTR0009,Rct And Filling Three Roots, ,Service,97416-00-00,3520,3168
Plastic Surgery,FMPSD-0011,Repair Of Cut Wound, ,Service,30026-00-10,532.4,484
ENT,FMENT-0145,Nasogastric Tube Insertion, ,Service,92036-00-00,350,315
LABORATORY,FMLAB-6041,Aerobic Blood C/S, ,Service,73050-40-40,240,216
Emergency,FMERDA0114,Covid 19 Rapid Antigen Test, ,Service,83700-00-00,170,153
ONCOLOGY/NUCLEAR MED,FMONC-0002,Chemotheraphy 1 Day Treatment In Clinic Or Ward, ,Service,96206-00-00,621.7419678,565.2199707
LABORATORY,fmlab-1302,Anti-Hbs Quantitative With Titre, ,Service,73100-23-80,300,270
Radiology ,FMXRAY1314,Doppler. Both Carotid Arteries, ,Service,55274-00-00,744.15,676.5
LABORATORY,FMLAB-1042,Fibrinogen, ,Service,73100-05-80,219.01,199.1
LABORATORY,FMLAB-6018,Stool C/S, ,Service,73050-40-10,308.55,280.5
Dermatology ,FMDER-0042,Electro-Cautery Per/Unit, ,Service,99999-99-99,84.7,77
ONCOLOGY/NUCLEAR MED,FMONC-0005,Oncology Doctor Supervision Charges, ,Service,83600-00-10,1983.19,1802.9
OB & GYNE,FMOBG-1200,Antenatal Care Package, ,Service,83700-00-00,1725,1552.5
Radiology ,FMXRAY1332,Doppler. Scrotal & Testicular, ,Service,90911-00-00,756.8,681.12
LABORATORY,FMLAB-3028,Total Testosterone, ,Service,73050-34-40,550,495
Ophthalmology,FMOPTA0004,Fundus Examination, ,Service,42503-00-01,170,153
Psychiatry ,FMPSYB0061,Hypnotherapy Session 1, ,Service,96103-00-00,925,832.5
LABORATORY,FMLAB-1016,Bleeding Time, ,Service,73100-00-00,110,99
Emergency,FMERDA0124,Back Slab Short - Below Knee, ,Service,96092-00-00,150,135
Radiology ,FMXRAY1225,X-Ray Hip-Unilateral Ap/Lauenstein, ,Service,57712-00-11,440,396
Physiotherapy,FMPTD-0104,Nebulization, ,Service,92043-00-00,495,450
Radiology ,FMXRAY1202,X-Ray Shoulder Ap., ,Service,57700-00-11,275,247.5
Dermatology ,FMDER-0145,Intralesional Injection -Medium Area, ,Service,30207-00-00,505,454.5
Radiology ,FMXRAY1254,X-Ray Chest Pa & Lat. & Obl., ,Service,58500-00-30,550,495
LABORATORY,FMLAB-5022,Brucella Abs.(Agglutination Titer), ,Service,73100-19-90,300,270
