Department,ServiceCode,Service Description (Unified),Type,NPHIES Code (Hyphenated )2,LOS,Class B,Class A & VIP,Comment
Dental,FMDNTS0178,Grafting Soft Tissue (Small),service,97271-02-00,,2918.3,2918.3,Current Price
Dental,FMDNTM0004,Gum Treatment Quad. (Mild),service,97281-00-10,,589.6,589.6,Current Price
Dental,FMDNTM0005,Gum Treatment Quad. (Moderate),service,97281-00-10,,735.9,735.9,Current Price
Dental,FMDNTM0006,Gum Treatment Quad. (Severe),service,97281-00-10,,887.7,887.7,Current Price
Dental,FMDNTS0197,I.M.Z. Implant Titanium 2Nd Stage,service,97661-00-00,,735.9,735.9,Current Price
Dental,FMDNTS0192,Immediate T Implant Ant. (G),service,45846-00-00,,3355,3355,Current Price
Dental,FMDNTS0016,Impacted 3Rd Molar Severe Case,service,97324-01-10,,2918.3,2918.3,Current Price
Dental,FMDNTS0024,Incision & Drainage Extra-Oral Abscess,service,96215-00-10,,933.9,933.9,Current Price
Dental,FMDNTS0025,Incision & Drainage Intra-Oral Abscess (Children),service,96215-00-10,,134.2,134.2,Current Price
Dental,FMDNTS0023,Incision & Drainage Intra-Oral Abscess (Deep),service,96215-00-20,,735.9,735.9,Current Price
Dental,FMDNTS0022,Incision & Drainage Intra-Oral Abscess (Superficial),service,30223-01-00,,374,374,Current Price
Dental,FMDNTP0017,Inlay Metallic,service,97541-01-00,,735.9,735.9,Current Price
Dental,FMDNTP0018,Inlay Metallic 2 Surfaces,service,97541-01-00,,887.7,887.7,Current Price
Dental,FMDNL-0019,Inlay/Onlay Cast Core + Post,service,97625-10-00,,128.7,128.7,Current Price
Dental,FMDNTS0195,Insertion Of I.M.Z. Implant 2Nd Stage,service,45847-00-10,,298.1,298.1,Current Price
Dental,FMDNTS0026,Irrigation Or Change Drain Of Abscess/Socket,service,96215-00-10,,70.4,70.4,Current Price
Dental,FMDNL-0021,Isosit Cast Non-Pre Metal,service,97613-02-00,,193.6,193.6,Current Price
Dental,FMDNTP0005,Isosit Jacket Crown,service,97615-10-00,,589.6,589.6,Current Price
Dental,FMDNTP0006,Isosit Veneer Crown,service,97615-10-00,,735.9,735.9,Current Price
Dental,FMDNL-0016,Jacket Crown Acrylic,service,97611-01-00,,443.3,443.3,Current Price
Dental,FMDNL-0017,"Jacket Crown, Isosit",service,97613-01-00,,100.1,100.1,Current Price
Dental,FMDNL-0018,"Jacket Crown, Porcelain",service,97613-01-00,,128.7,128.7,Current Price
Dental,FMDNTF0013,Ketac Filling One Surface,service,97572-01-00,,298.1,298.1,Current Price
Dental,FMDNTF0014,Ketac Filling Two Surface,service,97572-01-00,,374,374,Current Price
Dental,FMDNTM0015,Local Treatment Of Large,service,97989-00-10,,298.1,298.1,Current Price
Dental,FMDNTM0014,Local Treatment Of Oral Lesion Medium,service,97989-00-10,,298.1,298.1,Current Price
Dental,FMDNTM0013,Local Treatment Of Oral Lesion Small,service,97989-00-10,,152.9,152.9,Current Price
Dental,FMDNTS0070,Manipulation Of Dislocated Tmj,service,47000-00-01,,887.7,887.7,Current Price
Dental,FMDNTS0352,Manipulation Of Dislocated Tmj (Moderate),service,47000-00-01,,887.7,887.7,Current Price
Dental,FMDNTP0085,Metal Post,service,97625-20-00,,363,363,Current Price
Dental,FMDNTP0007,Metalic Casting Crown,service,97613-04-00,,735.9,735.9,Current Price
Dental,FMDNTP0058,Mouth Gaurd,service,97151-00-00,,887.7,887.7,Current Price
Dental,FMDNTS0073,"Myofacial Pain Disfunction Sydrome, P.D",service,45865-00-00,,5304.2,5304.2,Current Price
Dental,FMDNTO0052,Night Guard,service,97965-00-00,,735.9,735.9,Current Price
Dental,FMDNTS0009,Normal External Lower 3Rd Molar,service,97311-01-00,,519.2,519.2,Current Price
Dental,FMDNTS0008,Normal External Upper 3Rd Mollar,service,97311-01-00,,443.3,443.3,Current Price
Dental,FMDNTX0003,Occlusal X-Ray,service,97025-00-00,,152.9,152.9,Current Price
Dental,FMDNTM0016,Occlussal Adjustment,service,97961-00-00,,589.6,589.6,Current Price
Dental,FMDNTP0063,One Surface Ceramic Filling,service,97521-01-00,,298.1,298.1,Current Price
Dental,FMDNTS0121,OPEN REDUC. EXTRA-ORAL SEVERE,service,47774-00-01,,6635.2,6635.2,Current Price
Dental,FMDNTS0117,Open Reduction Intra-Oral Post,service,47774-00-01,,3979.8,3979.8,Current Price
Dental,FMDNTS0021,Operculectomy,service,90675-00-00,,589.6,589.6,Current Price
Dental,FMDNTR0026,Orthodontic Deposit One,service,97963-00-00,,1202.3,1202.3,Current Price
Dental,FMDNTR0027,Orthodontic Deposit Two,service,97862-00-00,,1202.3,1202.3,Current Price
Dental,FMDNTS0297,Osteotomy Of Maxilla (Localized Posterior),service,45720-01-00,,5841,5841,Current Price
Dental,FMDNTS0298,Osteotomy Of Maxilla (Segmental Anterior),service,45720-01-00,,7300.7,7300.7,Current Price
Dental,FMDNTS0072,"Pain And Clicking Tmj, P.D",service,50115-00-00,,3979.8,3979.8,Current Price
Dental,FMDNTX0007,Panoramic & Cephalometric,service,57960-00-00,,298.1,298.1,Current Price
Dental,FMDNTX0005,Panoramic X-Ray,service,57960-00-00,,228.8,228.8,Current Price
Dental,FMDNTP0032,Partial Denture Acrylic 1 Tooth,service,97765-00-00,,443.3,443.3,Current Price
Dental,FMDNTP0033,Partial Denture Acrylic 2 Teeth,service,97765-00-00,,665.5,665.5,Current Price
Dental,FMDNTP0034,Partial Denture Acrylic 3 Teeth,service,97765-00-00,,887.7,887.7,Current Price
Dental,FMDNTP0035,Partial Denture Acrylic Extra Teeth,service,97765-00-00,,228.8,228.8,Current Price
Dental,FMDNL-0007,Partial Denture First Tooth,service,97727-00-00,,70.4,70.4,Current Price
Dental,FMDNTX0004,Pediatric X-Ray,service,97022-00-10,,77,77,Current Price
Dental,FMDNTX0001,Periapical X-Ray,service,97022-00-10,,77,77,Current Price
Dental,FMDNTM0002,Polishing,service,97111-00-00,,228.8,228.8,Current Price
Dental,FMDNTP0016,Porcelain Crown Precious Metal,service,97613-07-00,,2918.3,2918.3,Current Price
Dental,FMDNTP0008,Porcelain Facing Jacket,service,97631-00-00,,887.7,887.7,Current Price
Dental,FMDNL-0040,Porcelain W/Non-Precious Metal,service,97613-04-00,,193.6,193.6,Current Price
Dental,FMDNL-0039,Porcelain With Precious Metal,service,97613-04-00,,321.2,321.2,Current Price
Dental,FMDNTR0012,Pulpotomy (Children),service,97414-00-00,,374,374,Current Price
Dental,FMDNTR0010,Rct Decidious Molar,service,97421-00-00,,671,671,Current Price
Dental,FMDNTR0011,Rct Decidious Teeth,service,97421-00-00,,537.9,537.9,Current Price
Dental,FMDNTR0013,Ready-Made Post,service,97625-20-00,,152.9,152.9,Current Price
Dental,FMDNTF0005,Reinforcement Each Pin,service,97575-00-00,,77,77,Current Price
Dental,FMDNL-0047,Reline (Upper & Lower),service,97743-00-20,,128.7,128.7,Current Price
Dental,FMDNL-0053,Reline (Upper Or Lower),service,97743-00-20,,70.4,70.4,Current Price
Dental,FMDNTP0049,Relining Of Complete Denture,service,97743-00-20,,887.7,887.7,Current Price
Dental,FMDNTP0047,Relining Of Partial Denture,service,97743-00-20,,298.1,298.1,Current Price
Dental,FMDNTP0048,Relining Of Upper/Lower Denture,service,97743-00-20,,589.6,589.6,Current Price
Dental,FMDNTP0025,Removal Of Bridge,service,97656-00-00,,228.8,228.8,Current Price
Dental,FMDNT00038,Removal Of Fixed Appliance,service,97874-00-10,,361.9,361.9,Current Price
Dental,FMDNTR0020,Remove Old Root One Canal,service,97451-00-00,,735.9,735.9,Current Price
Dental,FMDNL-0009,Repair Full Or Partial Denture,service,97764-00-00,,59.4,59.4,Current Price
Dental,FMDNTP0051,Repair Of Broken Denture,service,97764-00-00,,589.6,589.6,Current Price
Dental,FMDNTP0050,Repair Of Broken Partial Denture,service,97764-00-00,,443.3,443.3,Current Price
Dental,FMDNTP0053,Repair Of Casting Clasp,service,97876-00-00,,374,374,Current Price
Dental,FMDNTP0052,Repair Of Clasp,service,97762-00-00,,228.8,228.8,Current Price
Dental,FMDNL-0050,Retainer,service,97731-00-00,,193.6,193.6,Current Price
Dental,FMDNTO0030,Retainer Upper Or Lower,service,97649-00-00,,700.7,700.7,Current Price
Dental,FMDNTS0060,Ridge Augementation,service,45841-00-00,,5841,5841,Current Price
Dental,FMDNTR0001,Root Canal Treatment 1 Root,service,97415-00-00,,443.3,443.3,Current Price
Dental,FMDNTR0002,Root Canal Treatment 2 Roots,service,97416-00-00,,735.9,735.9,Current Price
Dental,FMDNTR0003,Root Canal Treatment 3 Or More,service,97416-00-00,,887.7,887.7,Current Price
Dental,FMDNTR0004,Root Canal Treatment Infected Tooth 1 Root,service,97415-00-00,,735.9,735.9,Current Price
Dental,FMDNTM0007,Root Planning Curretage Quad,service,97222-00-00,,735.9,735.9,Current Price
Dental,FMDNTM0001,Scaling,service,97281-00-10,,228.8,228.8,Current Price
Dental,FMDNTM0003,Scaling And Polishing,service,97281-00-10,,443.3,443.3,Current Price
Dental,FMDNTS3079,Service Charges For Invasalign System Compliance Indicator,service,97989-00-10,,380.6,380.6,Current Price
Dental,FMDNTS0004,Simple Extraction (Decidious),service,97311-01-00,,152.9,152.9,Current Price
Dental,FMDNTS0005,Simple Extraction (Permanent Teeth),service,97311-01-00,,228.8,228.8,Current Price
Dental,FMDNTS0006,Simple Extraction (Pre Or Post Molar),service,97311-01-00,,298.1,298.1,Current Price
Dental,FMDNTS0007,Simple Extraction Of Remaining Root,service,97311-01-00,,374,374,Current Price
Dental,FMDNTM0010,Sliding Flap Operation 1/4 Jaw,service,97232-00-10,,887.7,887.7,Current Price
Dental,FMDNTM0017,Smoothing Of Sharp Edge,service,97113-00-00,,152.9,152.9,Current Price
Dental,FMDNTO0034,Space Maintainer Simple,service,97845-00-00,,700.7,700.7,Current Price
Dental,FMDNTP0076,Space Mainteiner Pedo (Compound),service,97845-00-00,,963.6,963.6,Current Price
Dental,FMDNTP0075,Space Mainteiner Pedo (Simple),service,97845-00-00,,600.6,600.6,Current Price
Dental,FMDNL-0023,Splint - Acrylic,service,97772-00-00,,128.7,128.7,Current Price
Dental,FMDNTP0060,Splint - Acrylic I,service,97772-00-00,,735.9,735.9,Current Price
Dental,FMDNTS0091,Stiches For Superficial Wound,service,97399-00-00,,735.9,735.9,Current Price
Dental,FMDNTS0127,Stitches Removal (Large),service,92200-00-00,,245.3,245.3,Current Price
Dental,FMDNTS0125,Stitches Removal (Small),service,92138-00-00,,123.2,123.2,Current Price
Dental,FMDNTP0068,Study Model,service,97071-00-00,,298.1,298.1,Current Price
Dental,FMDNL-0027,Study Models,service,97071-00-00,,128.7,128.7,Current Price
Dental,FMDNTS0214,Subperior Steal Implant Partial 2Nd Stage,service,97661-00-00,,152.9,152.9,Current Price
Dental,FMDNTS0012,Surface Tissue Impacted Upper 3Rd Molar,service,97321-07-10,,887.7,887.7,Current Price
Dental,FMDNTS0160,Surgery Model,service,83700-00-00,,671,671,Current Price
Dental,FMDNTS0011,Surgery Removal Of Remaining Root,service,97321-07-10,,735.9,735.9,Current Price
Dental,FMDNTS0090,Surgical Excision Of Malignant Tumour Large,service,90141-01-30,,9284,9284,Current Price
Dental,FMDNTS0010,Surgical External Of Normal Tooth,service,97321-07-10,,589.6,589.6,Current Price
Dental,fmden-0104,Surgical Extraction - Simple,service,97311-01-00,,589.6,589.6,Current Price
Dental,FMDNTP0001,Temporary Acrylic Crown,service,97611-01-00,,152.9,152.9,Current Price
Dental,FMDNTF0009,Temporary Filling,service,97572-01-00,,77,77,Current Price
Dental,FMDNTP0003,Temporary Metalic Crown,service,97618-01-00,,443.3,443.3,Current Price
Dental,FMDNTP0002,Temporary Ready Made Crown,service,97631-00-00,,298.1,298.1,Current Price
Dental,FMDNTP0065,Three Surfaces Ceramic Filling,service,97521-02-00,,589.6,589.6,Current Price
Dental,FMDNTP0064,Two Surfaces Ceramic Filling,service,97521-02-00,,443.3,443.3,Current Price
Dental,FMDNTP0039,Upper/Lower Dental Vitallium Type I,service,97989-00-10,,5841,5841,Current Price
Dental,FMDNTP0040,Upper/Lower Denture Vitalium Type Ii,service,97989-00-10,,7300.7,7300.7,Current Price
Dental,FMDNTP0041,Upper/Lower Denture Vitalium Type Iii,service,97989-00-10,,8752.7,8752.7,Current Price
Dental,FMDNTP0070,Veneer Cerec Filling,service,97521-01-00,,298.1,298.1,Current Price
Dental,FMDNL-0041,Veneer Crown Cast Porcelain,service,97631-00-00,,163.9,163.9,Current Price
Dental,FMDNL-0029,Veneer Crown Cast W/ Acrylic Face,service,97582-01-00,,128.7,128.7,Current Price
Dental,FMDNL-0030,Veneer Crown Cast W/ Isosit Face,service,97631-00-00,,128.7,128.7,Current Price
Dental,FMDNTP0067,Vener Cerec Filling,service,97582-01-00,,298.1,298.1,Current Price
Dental,FMDNTS0058,Vestibuloplasty One Jaw,service,45837-00-00,,2918.3,2918.3,Current Price
Dental,FMDNTP0046,Vitalium Bar,service,97762-00-00,,735.9,735.9,Current Price
Dental,FMDNTP0045,Vitalium Clasp,service,97761-00-00,,443.3,443.3,Current Price
Dental & Maxillofacial,FMDNTC0009,Caldwell-Luc Operation,PKG,41710-00-00,3 DAYS,6352.5,6352.5,Current Price
Dental & Maxillofacial,DNT-0006,Removal Of Salivary Stone,PKG,30266-02-00,Day Case,3206.5,3206.5,Current Price
Dental & Maxillofacial,FMDNTS0126,Stitches Removal (Medium),service,92200-00-00,,181.5,181.5,Current Price
Dermatology ,FMDER-0106,Acne Removal - European Facial,service,99999-99-99,,776.6,776.6,Current Price
Dermatology ,FMDER-0046,Acne Surgery (Comedone Extraction),service,99999-99-99,,356.4,356.4,Current Price
Dermatology ,FMACUA0026,Acupuncture For Obescity,service,93173-00-00,,484,484,Current Price
Dermatology ,FMACUA0002,Acupuncture Therapy,service,93173-00-00,,245.3,245.3,Current Price
Dermatology ,FMACUA0019,Acupuncture Therapy -5 Sessions,service,93173-00-00,,847,847,Current Price
Dermatology ,FMDER-0208,Age Jeunesse Eye Wrinkle - One Session,service,90676-00-00,,356.4,356.4,Current Price
Dermatology ,FMDER-0210,Age Jeunesse Face Wrinkle - One Session,service,90676-00-00,,635.8,635.8,Current Price
Dermatology ,FMDER-4003,Aha Peeling Application - Small Area,service,45019-00-00,,140.8,140.8,Current Price
Dermatology ,FMDER-0151,Allergic Shots I,service,90676-00-00,,105.6,105.6,Current Price
Dermatology ,FMDER-0152,Allergic Shots Ii,service,90676-00-00,,140.8,140.8,Current Price
Dermatology ,FMDER-0056,Alopecia Lotion 5% - 100Cc,service,90676-00-00,,2912.8,2912.8,Current Price
Dermatology ,FMDER-0262,Alopecia Mesotheraphy - Large Area,service,90676-00-00,,679.8,679.8,Current Price
Dermatology ,FMDER-0260,Alopecia Mesotheraphy - Small Area,service,90676-00-00,,339.9,339.9,Current Price
Dermatology ,FMDER-0261,Alopecia Mesotherapy - Medium Area,service,90660-00-00,,510.4,510.4,Current Price
Dermatology ,FMDER-0015,BASAL CELL CARCINOMA,service,99999-99-99,,3910.5,3910.5,Current Price
Dermatology ,FMDER-0174,Bleaching - Arms,service,99999-99-99,,158.4,158.4,Current Price
Dermatology ,FMDER-0173,Bleaching - Face,service,99999-99-99,,88,88,Current Price
Dermatology ,FMDER-0175,Bleaching - Legs,service,99999-99-99,,234.3,234.3,Current Price
Dermatology ,FMDER-0176,Bleaching - Trunk,service,99999-99-99,,298.1,298.1,Current Price
Dermatology ,FMDER-0177,Bleaching - Whole Body,service,99999-99-99,,374,374,Current Price
Dermatology ,MTDER-0016,Blister Suction Device,service,30223-01-00,,338.8,338.8,Current Price
Dermatology ,FMDER-0205,Blister Transformation - Medium Area,service,30055-00-00,,974.6,974.6,Current Price
Dermatology ,FMDER-0204,Blister Transformation - Small Area,service,99999-99-99,,700.7,700.7,Current Price
Dermatology ,FMDER-4050,Botox Injection - One Session,service,90676-00-00,,420,420,Current Price
Dermatology ,FMDER-4008,Botox Injection - Palms,service,90676-00-00,,420,420,Current Price
Dermatology ,FMDER-0238,Botox Injection -Superfacial Wrinkle,service,90676-00-00,,963.6,963.6,Current Price
Dermatology ,FMDER-0240,Botox Injection -Test Dose,service,18360-01-01,,280.5,280.5,Current Price
Dermatology ,FMDER-0239,Botox Injection -Test Dose - Hyperhydrosis,service,90676-00-00,,280.5,280.5,Current Price
Dermatology ,FMDER-0028,Buccal Smear,service,73200-05-30,,82.5,82.5,Current Price
