Service Code,Service Name, Price,NPHIES ID,2022 Prices,2023 prices
FMOBG-0036,ABDOMINAL HYSTERECTOMY,3609,35653-01-00,4376.417759999999,4682.7670032
FMOBG-0120,ABDOMINAL LIPOIDECTOMY,4961,30165-00-00,6015.90704,6437.0205328
FMOBG-0121,ABDOMINAL LIPOIDECTOMY + FREE  UMBILICAL TRANSPLANT,3473,99999-99-99,4211.49872,4506.3036304
FMOBG-0182,ABDOMINAL METROPLASTY,3150,90435-01-00,3819.816,4087.20312
FMPSDF0008,ABDOMINAL OR PECTORAL FLAP TO  A FINGER (1ST STAGE),1915,45221-01-00,2322.2056,2484.759992
FMPSDF0006,ABDOMINAL OR PECTORAL FLAP TO  THUMB (1ST STAGE),2900,45221-01-00,3516.656,3762.8219200000003
FMPSDF0007,ABDOMINAL OR PECTORAL FLAP TO  THUMB (2ND STAGE),1160,45224-01-00,1406.6624,1505.128768
FMPSDF0009,ABDOMINAL OR PECTORAL FLAPS TO A FINGER (2ND STAGE),645,45206-07-01,782.1528,836.903496
OBG-0038,Abdominal Panhysterectomy,18000,35653-01-00,21827.52,23355.4464
FMINT-0006,ABDOMINAL PARACENTESIS,370,30406-00-00,448.67679999999996,480.08417599999996
FMSUR-0288,ABDOMINAL RECTOPEXY,2400,99999-99-99,2910.336,3114.05952
OBG-0047,Abdominal Sling for Prolapse,28300,35571-00-00,34317.712,36719.95184
FMICU-0010,ABDOMINAL TAPPING,400,30406-00-00,485.056,519.00992
FMICU-0015,ABDOMINAL TAPPING,400,13815-00-00,485.056,519.00992
FMIVF-0031,ABDOMINAL ULTRASOUND,703,55036-00-00,852.48592,912.1599344
FMSUR-0101,ABDOMINO-PERINEAL RESECTN OF  RECTUM,5564,99999-99-99,6747.12896,7219.427987200001
FMPSDD0006,ABDOMINOPLASTY,3850,30165-00-00,4668.664,4995.47048
FMPTD-0120,ABG EXTRACTION,40,99999-99-99,48.5056,51.900992
FMPTD-0116,ABG HEPARINIZED SYRINGE,25,96129-00-00,30.316,32.43812
FMURO-2002,ABLATION OF POSTERIOR            URETHRAL VALVE,2352,99999-99-99,2852.1292799999997,3051.7783296
FMORT-0366,ABOVE ELBOW CIRCULAR CAST,710,96092-00-00,860.9744,921.242608
FMORW-0013,ABOVE ELBOW ORTH. W/O COVER,560,96092-00-31,679.0784,726.613888
FMORW-0098,ABOVE ELBOW ORTHO. W/ COVER,460,96092-00-00,557.8144,596.861408
FMORW-0097,ABOVE ELBOW ORTHO. W/O COVER,390,96092-00-00,472.9296,506.034672
FMORW-0026,ABOVE ELBOW ORTHOSIS W/O COVER UP TO 10 YEARS OF AGE,785,96092-00-00,951.9223999999999,1018.556968
FMORT-0362,ABOVE ELBOW SLAB,400,96092-00-00,485.056,519.00992
FMSUR-0228,ABOVE KNEE AMPUTATION,2780,99999-99-99,3371.1391999999996,3607.118944
VAS-0027,Above Knee Amputation,19000,44367-00-00,23040.16,24652.9712
FMVAS-0005,ABOVE KNEE AMPUTATION (vas),3292,99999-99-99,3992.01088,4271.4516416
FMORT-0368,ABOVE KNEE CAST,590,96092-00-00,715.4576,765.539632
FMORW-0106,ABOVE KNEE ORT. 3-10YRS W/ COV,675,96092-00-00,818.5319999999999,875.82924
FMORW-0108,ABOVE KNEE ORT.3-10YRS W/COVER,755,96092-00-00,915.5432,979.631224
FMORW-0107,ABOVE KNEE ORT.3-10YRS W/O COV,755,96092-00-00,915.5432,979.631224
FMORW-0105,ABOVE KNEE ORTH. 3 YRS W/O COV,1040,96092-00-00,1261.1455999999998,1349.425792
FMORW-0021,ABOVE KNEE ORTHO. UPTO 10 YRS.,5395,96092-00-00,6542.1928,7000.146296
FMORW-0019,ABOVE KNEE ORTHOSIS 3 YRS,785,96092-00-00,951.9223999999999,1018.556968
FMORW-0020,ABOVE KNEE ORTHOSIS 3-10 YRS.,1860,96092-00-31,2255.5103999999997,2413.396128
FMORW-0064,ABOVE KNEE ORTHOSIS THERMOPLAS T FREE KNEE,13845,96092-00-00,16789.000799999998,17964.230856
FMORW-0119,ABOVE KNEE ORTHOSIS W/2 JOINTS,4845,96092-00-00,5875.2408,6286.507656
FMORW-0118,ABOVE KNEE OTHOSIS W/ 1 JOINT,3240,96092-00-00,3928.9536,4203.9803520000005
FMORW-0052,ABOVE KNEE PROSTHESIS FREE     KNEE,43030,96092-00-00,52179.8992,55832.492144
FMORW-0051,ABOVE KNEE PROSTHESIS KNEE     ADJUSTABLE,39960,96092-00-00,48457.094399999994,51849.091007999996
FMORW-0050,ABOVE KNEE PROSTHESIS WITH TEH LINA KNEE,46105,96092-00-00,55908.767199999995,59822.380904
FMORT-0364,ABOVE KNEE SLAB,500,96092-00-00,606.3199999999999,648.7624
FMENTE0050,ABR NUEROTOLOGY,2133,99999-99-99,2586.56112,2767.6203984
SUR-0001,Abscess Drainage GA,1650,99999-99-99,2000.856,2140.91592
FMSUR-0004,ABSCESS INCISION (SUPERFICIAL),155,99999-99-99,187.95919999999998,201.116344
MTSUR-0001,ABSCESS INCISION (SUPERFICIAL),220,99999-99-99,266.7808,285.455456
FMERDA0002,ABSCESS INCISION DEEP,220,30223-01-20,266.7808,285.455456
MTSUR-0002,ABSCESS INCISION DEEP,675,99999-99-99,818.5319999999999,875.82924
FMCARS0009,ABULATORY BP MONITORING,7500,11708-00-00,9094.8,9731.436
FMORW-0081,ABV.KNEE ORTH.UP-10YRS W/COVER,1480,96092-00-00,1794.7071999999998,1920.3367039999998
FMORW-0080,ABV.KNEE ORTH.UP-10YRS.W/O COV,1185,96092-00-00,1436.9784,1537.566888
FMORT-0637,ACETABULUM RECONSTRUCTION,2320,90552-00-01,2813.3248,3010.257536
FMLAB-4001,ACETAMINOPHEN,460,73300-03-60,557.8144,596.861408
FMLAB-9336,ACETYCHOLINESTERASE (Amniotic Fluid),440,73050-00-20,533.5616,570.910912
FMLAB-9003,ACETYLCOLINE ESTERASE,516,73050-00-20,625.7222399999999,669.5227967999999
FMLAB-9004,ACETYLCOLINE RECEPTOR ANTIBODIES,1052,73050-00-20,1275.6972799999999,1364.9960896
FMSUR-0145,ACHALSIA OF CARDIA,4172,99999-99-99,5059.13408,5413.2734656
ORT-0042,Achilles Tendon Length,6000,49727-00-00,7275.839999999999,7785.1488
FMORT-0295,ACHILLOOTENOTOMY,1740,49718-01-00,2109.9936,2257.693152
FMORT-0309,ACHILLORAPHY,2215,99999-99-99,2685.9975999999997,2874.0174319999996
FMORT-0634,ACL RECONSTRUCTION FOR ARTHRO- SCOPY GRADE 1,1105,49539-00-01,1339.9671999999998,1433.764904
ORT-0048,ACL Reconstruction of Knee Ligament,11000,49542-01-01,13339.039999999999,14272.7728
FMDER-0046,ACNE SURGERY COMEDONE EXTRACT,390,31205-00-10,472.9296,506.034672
FMDNL-0031,ACR. PART. DENT. 2 TEETHS,140,99999-99-99,169.7696,181.653472
FMDNL-0045,ACR.PART.DENT.8 TEETHS1/2 DEN,220,99999-99-99,266.7808,285.455456
FMXRY-0012,ACROMIO CLAVICULAR JOINT,250,57700-00-11,303.15999999999997,324.3812
FMDNTP0031,ACRYLIC DENT. UPPER/LOWER III,3473,99999-99-99,4211.49872,4506.3036304
FMDNTP0029,ACRYLIC DENTURE UPPER/LOWER  I,1740,97719-00-00,2109.9936,2257.693152
FMDNTP0030,ACRYLIC DENTURE UPPER/LOWER II,2310,97722-00-00,2801.1983999999998,2997.282288
FMDNL-0048,ACRYLIC JACKET CROWN,85,99999-99-99,103.0744,110.289608
FMDNL-0054,ACRYLIC JACKET CROWN,85,99999-99-99,103.0744,110.289608
FMDNTP0004,ACRYLIC JACKET CROWN,475,97611-01-00,576.004,616.32428
FMNEU-0014,ACRYLIC MATERIALS,760,99999-99-99,921.6064,986.1188480000001
FMLAB-9005,ACTH-ADRENOCORTICOTROPHIC HORMONE,384,30097-00-00,465.65376,498.2495232
FMLAB-9334,ACTIN ABS,340,73100-13-30,412.2976,441.158432
FMLAB-9992,ACTIVATED PROTEIN C RESISTANCE APC,548,73100-20-20,664.52672,711.0435904
FMDNTO0032,ACTIVATOR,3300,97575-00-00,4001.712,4281.83184
FMODT-0032,ACTIVATOR,2667,99999-99-99,3234.1108799999997,3460.4986415999997
FMDER-0103,ACU BLITZ ACUPUNCTURE THERAPY  10 SESSIONS,1635,93173-00-00,1982.6663999999998,2121.453048
FMDER-0105,ACU BLITZ ACUPUNCTURE THERAPY  5 SESSIONS,825,93173-00-00,1000.428,1070.45796
FMDER-0104,ACU BLITZ ACUPUNCTURE THERAPY  7 SESSIONS,1155,93173-00-00,1400.5991999999999,1498.641144
FMPTD-0109,ACUPUNTURE FOR OBESITY,210,96153-00-00,254.65439999999998,272.480208
FMLAB-5066,ACUTE HEPATITIS PROFILE,748,99999-99-99,907.05472,970.5485504000001
SUR-0081,Acute Peritonitis / Laparotomy,8800,30373-00-00,10671.232,11418.21824
FMOPTB0013,ACUVUE DISPOSABLE LENSES BOX,155,83700-00-00,187.95919999999998,201.116344
FMOPTB0014,ACUVUE REGISTRATION CARD,255,99999-99-99,309.22319999999996,330.86882399999996
FMXRY-0104,ADDITIONAL CHARGE EACH FILM,100,83700-00-00,121.264,129.75248
FMORT-0225,ADDITIONAL CHARGES OF ANY TWO OPERATIONS,1930,99999-99-99,2340.3952,2504.2228640000003
FMPDT-2000,ADDITIONAL FEE FOR COMPLCATED,1410,99999-99-99,1709.8224,1829.509968
FMENT-2000,ADDITIONAL FEE FOR COMPLICATED,1485,99999-99-99,1800.7703999999999,1926.824328
FMNEP-2000,ADDITIONAL FEE FOR COMPLICATED,1410,99999-99-99,1709.8224,1829.509968
FMNUM-2000,ADDITIONAL FEE FOR COMPLICATED,1485,99999-99-99,1800.7703999999999,1926.824328
MTNEU-0014,ADDITIONAL FEE FOR COMPLICATED CASE,640,99999-99-99,776.0896,830.415872
FMPSD-2000,ADDITIONAL FEE FOR COMPLICATED OPERATIONS,1160,83700-00-00,1406.6624,1505.128768
FMOBG-2000,ADDITIONAL FEE FOR COMPLICATEDOPERATION,1311,99999-99-99,1589.7710399999999,1701.0550128
FMORT-2000,ADDITIONAL FEE FOR COMPLICATEDOPERATIONS,1485,83700-00-00,1800.7703999999999,1926.824328
FMDNT-2000,ADDITIONAL FEE FOR COMPLICATEDOPERATIONS G.A.,1555,99999-99-99,1885.6552,2017.6510640000001
FMDNTP0088,ADDITIONAL FIBEROPTIC POST,242,97981-00-00,293.45887999999997,314.0010016
FMDNTP0086,ADDITIONAL METAL POST,477,97241-00-00,578.42928,618.9193296
FMXRY-0903,ADDITIONAL POSITION,332,99999-99-92,402.59648,430.7782336
FMDNTP0021,ADDITIONAL POST,475,97597-00-00,576.004,616.32428
FMXRY-0316,ADDITIONAL SEGMENT,1000,56233-00-00,1212.6399999999999,1297.5248
FMDNL-0044,ADDITIONAL TOOTH,50,99999-99-99,60.632,64.87624
FMENTL0022,ADDITIONAL USE OF LASER,725,41861-00-00,879.164,940.7054800000001
FMDNTX0006,ADDITIONAL X-RAY,70,99999-99-99,84.8848,90.826736
FMDER-0137,ADD'L FEE FOR COM.OR OVER 3HRS,760,99999-99-99,921.6064,986.1188480000001
FMENTS0021,ADD'L FEE FOR COM.OR OVER 3HRS,585,99999-99-99,709.3944,759.0520080000001
FMINT-0032,ADD'L FEE FOR COM.OR OVER 3HRS,720,99999-99-99,873.1007999999999,934.217856
FMNEP-0030,ADD'L FEE FOR COM.OR OVER 3HRS,720,99999-99-99,873.1007999999999,934.217856
FMNUM-0013,ADD'L FEE FOR COM.OR OVER 3HRS,640,99999-99-99,776.0896,830.415872
FMOBG-0179,ADD'L FEE FOR COM.OR OVER 3HRS,592,99999-99-99,717.88288,768.1346816
FMONC-0025,ADD'L FEE FOR COM.OR OVER 3HRS,640,99999-99-99,776.0896,830.415872
FMORT-0645,ADD'L FEE FOR COM.OR OVER 3HRS,830,99999-99-99,1006.4911999999999,1076.945584
FMPDT-0164,ADD'L FEE FOR COM.OR OVER 3HRS,640,99999-99-99,776.0896,830.415872
FMDNTS0236,ADD'L FEE FOR COMP.PROC./ 3HRS,755,83610-00-50,915.5432,979.631224
FMDNTS0003,ADD'L FEE FOR COMPL. OP. - GA,1555,99999-99-99,1885.6552,2017.6510640000001
FMDNTS0002,ADDL FEE FOR COMPL. OP. -LA,950,99999-99-99,1152.008,1232.64856
FMENTN2066,ADDT'L CODE FOR PHOTO,65,99999-99-92,78.82159999999999,84.339112
FMORT-0296,ADDUCTIONTENOTOMY OF HIP,1510,50375-01-00,1831.0864,1959.262448
FMLAB-9277,ADENO VIRUS ABS. (CSF S),424,99999-99-99,514.15936,550.1505152
FMLAB-9339,ADENO VIRUS ANTIGEN DTECTION,752,73100-19-00,911.90528,975.7386496
ENT-0016,Adenoidectomy,3000,41801-00-00,3637.9199999999996,3892.5744
FMENTP0003,ADENOIDECTOMY,1045,41801-00-00,1267.2087999999999,1355.9134159999999
MTENT-0002,ADENOIDECTOMY,1100,99999-99-99,1333.904,1427.27728
MTENT-0132,ADENOIDECTOMY + BIL. MYINGOTOMY+ GROMMETS INSERTION,2550,99999-99-99,3092.232,3308.68824
FMLABM0057,ADENOSINE DESAMINASE / ENZYME ACTIVITY,948,99999-99-99,1149.5827199999999,1230.0535104
FMENTP0005,ADENOTONSILLECTOMY,1480,41789-01-00,1794.7071999999998,1920.3367039999998
FMLAB-9340,ADH  (Vasopressin)  OSMOLALITY,660,73050-38-50,800.3424,856.3663680000001
FMPSYC0007,ADHD,300,99999-99-99,363.792,389.25744
FMOBG-0199,ADHESIOLYSIS- MILD,1575,35633-00-00,1909.908,2043.60156
FMOBG-0197,ADHESIOLYSIS-EXCESSIVE,3150,35633-00-00,3819.816,4087.20312
FMOBG-0198,ADHESIOLYSIS-MODERATE,2363,30378-00-00,2865.46832,3066.0511024
FMSUR-0285,ADJ. NEDDLE FOR GASTRIC BANDING,140,99999-99-99,169.7696,181.653472
FMSUR-0274,ADJ. SILICONE GASTRIC BANDING,2765,99999-99-99,3352.9496,3587.656072
FMLAB-9341,ADRENAL  CORTEX ABS,400,73250-00-20,485.056,519.00992
SUR-0101,Adrenalectomy,14000,36500-01-00,16976.96,18165.3472
FMINTR0014,ADULT ABG EXTRACTION,115,99999-99-99,139.4536,149.215352
FMPTD-0123,ADULT ABG EXTRACTION,70,95550-03-00,84.8848,90.826736
FMINTR0009,ADULT MECHANICAL VENTILATOR (24 HRS),865,99999-99-99,1048.9335999999998,1122.3589519999998
FMPTD-0127,ADULT MECHANICAL VENTILATOR ICU (24 HOURS),340,99999-99-99,412.2976,441.158432
FMPTD-0122,ADULT TRACHEOSTOMY MASK,30,99999-99-99,36.3792,38.925744
FMOPTJ0002,ADV.OF 1 EXT OCUL MUSCLE,1740,42833-00-00,2109.9936,2257.693152
HCPTD-0305,ADVANCED PHYSIOTHERAPY - 12 SESSIONS,7000,99999-99-99,8488.48,9082.6736
HCPTD-0400,ADVANCED PHYSIOTHERAPY - 6 SESSIONS,3600,99999-99-99,4365.504,4671.08928
FMORT-0271,ADVANCEMENT OF TENDON OF HAND,2215,99999-99-99,2685.9975999999997,2874.0174319999996
FMPTD-0114,AERODYNE HEATER FOR MECHANICAL NEBULIZATION 24 HRS,120,99999-99-99,145.5168,155.702976
FMLAB-6001,AFB (ACID FAST BACILLI) SMEAR,152,73200-07-10,184.32128,197.22376960000003
FMLAB-3003,AFP (ALPHA FETO PROTEIN),638,73050-01-70,773.66432,827.8208224
FMDER-0208,AGE JEUNESSE EYE WRINKLE PER   TREATMENT,390,99999-99-99,472.9296,506.034672
FMDER-0211,AGE JEUNESSE FACE WRINGKLE PD  (6 TREATMENT),2645,83700-00-00,3207.4328,3431.953096
FMDER-0210,AGE JEUNESSE FACE WRINGKLE PER TREATMENT,675,99999-99-99,818.5319999999999,875.82924
FMDER-0209,AGE JEUNESSE WRINGKLE PD(6TREA TMENT),1480,99999-99-99,1794.7071999999998,1920.3367039999998
FMPSDJ0030,AGE JUENESSE EYE ZONE,260,99999-99-99,315.28639999999996,337.356448
FMPSDJ0031,AGE JUENESSE SKIN OF THE FACE,675,83700-00-00,818.5319999999999,875.82924
FMDER-4003,AHA PEELING APPLICATION SMALL  AREA,155,45019-00-00,187.95919999999998,201.116344
FMICU-0008,AIR MATRESS PER DAY,85,99999-99-99,103.0744,110.289608
FMNUR-0040,AIR MATRESS PER DAY,80,99999-99-99,97.0112,103.801984
FMERDA0059,AIRWAY,60,90179-02-00,72.7584,77.851488
FMNUR-0021,AIRWAY,15,90179-02-00,18.1896,19.462872
FMINT-0058,AIRWAY RESISTENCE  CONDUCTANE,280,11503-13-00,339.5392,363.306944
FMLAB-2003,ALBUMIN,125,73050-00-80,151.57999999999998,162.1906
FMLAB-4002,ALCOHOL (ETHANOL) (Serum ORUrine),315,73300-04-10,381.98159999999996,408.720312
FMLAB-9007,ALDOLASE,264,73050-01-30,320.13696,342.5465472
FMLABM0045,ALDOSTERONE (S OR U),744,99999-99-99,902.20416,965.3584512000001
FMLAB-9342,ALDOSTERONE 18-GLUCOCORTICOID,424,73050-01-40,514.15936,550.1505152
FMOPTE0019,ALK EXCIM.FOR HIGH MYOPIA/EYE,2780,99999-99-99,3371.1391999999996,3607.118944
FMLAB-2005,ALKALINE PHOSPHATASE,115,73100-07-70,139.4536,149.215352
FMLAB-9270,ALKALINE PHOSPHATASE ISO ENZYMES,1125,73050-27-80,1364.22,1459.7154
FMLAB-9620,ALKALINE PHOSPHATASE-BONE (OSTASE),400,13760-00-00,485.056,519.00992
FMPDT-0087,ALLERGY INHALATION PROVOCATION TSTEACH LLGNINCL.CRTL PTNT,180,11503-17-00,218.27519999999998,233.554464
FMPDT-0086,ALLERGY NASAL-PROVOCATION TEST EACH ALLERGNINCL.CONTROL PTNT,145,12000-00-00,175.8328,188.141096
FMENTE0041,ALLERGY PRICK TEST,475,41701-00-00,576.004,616.32428
FMENTN0006,ALLERGY PRICK TEST,475,99999-99-99,576.004,616.32428
FMENTN006,ALLERGY PRICK TEST,445,99999-99-99,539.6247999999999,577.3985359999999
FMPDT-0020,ALLERGY SKIN TEST (PRICK TEST) 1-5 ALLERGIES,215,12000-00-00,260.7176,278.96783200000004
FMPDT-0021,ALLERGY SKIN TEST (PRICK TEST) SIX AND MORE ALLERGIES,290,12000-00-00,351.6656,376.282192
FMDER-0054,ALOPECIA LOTION 2% - 100CC,1315,99999-99-99,1594.6216,1706.245112
FMDER-0055,ALOPECIA LOTION 3% - 100CC,1960,45019-00-00,2376.7744,2543.148608
FMDER-0056,ALOPECIA LOTION 5% - 100CC,3075,99999-99-99,3728.868,3989.8887600000003
FMDER-0262,ALOPECIA MESOTHERAPHY LARGE AREA,730,13706-03-00,885.2271999999999,947.193104
FMDER-0260,ALOPECIA MESOTHERAPHY SMALL AREA,370,30071-00-00,448.67679999999996,480.08417599999996
FMDER-0261,ALOPECIA MESOTHERAPY MEDIUM AREA,550,13706-03-00,666.952,713.63864
FMLAB-9346,ALPHA 1 ANTI -TRYPSIN (S.U.),168,73050-01-50,203.72351999999998,217.9841664
FMLAB-9347,ALPHA 1 GLYCOPROTEIN,100,73050-01-90,121.264,129.75248
FMLAB-9685,ALPHA 1-ANTITRYPSIN  (F),349,73050-30-40,423.21135999999996,452.8361552
FMLAB-9348,ALPHA 2 GLYCOPROTEIN,100,73100-11-60,121.264,129.75248
FMLAB-9349,ALPHA 2 MACROGLOBULIN,100,73050-39-70,121.264,129.75248
FMLAB-9344,ALPHA AMYLASE (S.U),104,73050-03-00,126.11456,134.9425792
FMLAB-9010,ALPHA-1-ANTITRYPSIN,496,73050-01-50,601.46944,643.5723008
FMLAB-9011,ALPHA-1-ANTITRYPSIN PHENOTYPE,424,73050-01-60,514.15936,550.1505152
FMLAB-9321,ALPHA-GLUCOSIDASE,220,73050-01-50,266.7808,285.455456
FMLAB-9351,ALPHA-MANNOSIDASE,180,73050-11-60,218.27519999999998,233.554464
FMLABM0010,ALUMINUM,390,99999-99-99,472.9296,506.034672
FMLAB-9354,ALVEOLAR BASAL MEMBRANE ABS,310,73050-39-70,375.91839999999996,402.232688
FMDNTS0043,ALVEOLOPLASTY 1/2 JAW,1819,97331-00-00,2205.79216,2360.1976112
FMDNTS0042,ALVEOLOPLASTY LOCALIZED,1410,97331-00-00,1709.8224,1829.509968
FMDNTS0044,ALVEOLOPLASTY ONE JAW,3368,97331-00-00,4084.17152,4370.0635264
FMDNTF0004,AMALGAM CORE,475,97417-00-00,576.004,616.32428
FMDNTF0003,AMALGAM FILLING > 2 S,410,97512-01-00,497.1824,531.985168
FMDNTF0001,AMALGAM FILLING ONE S,255,97511-01-00,309.22319999999996,330.86882399999996
FMDNTF0002,AMALGAM FILLING TWO S,320,97512-01-00,388.0448,415.207936
FMERDC0015,AMBULACE W/DOCTOR G.P.  NURSE,1690,83520-00-00,2049.3615999999997,2192.816912
FMERDC0018,AMBULACE W/W/OUT NURSE(RETURN  MEDINA) - MERCEDES BENZ,2810,83520-00-00,3407.5184,3646.044688
FMERDA0087,AMBULANCE FOR ARAMCO PATIENT - W/ AND W/O NURSE IN JEDDAH,135,83500-00-20,163.7064,175.165848
FMERDA0086,AMBULANCE FOR ARAMCO PATIENT - W/ DOCTOR IN JEDDAH,395,83500-00-80,478.9928,512.522296
FMERDC0024,AMBULANCE TO ABHA-KHAMIS DOCTO R PLUS NURSE,7870,83500-00-80,9543.4768,10211.520176000002
FMERDC0023,AMBULANCE TO ABHA-KHAMIS WITH  NURSE,5340,83500-00-80,6475.4976,6928.782432
FMERDC0021,AMBULANCE TO DURRAT AL AROUS   WITH NURSE,640,83500-00-80,776.0896,830.415872
FMERDC0025,AMBULANCE TO KONFUDA WITH      NURSE,2290,83500-00-80,2776.9456,2971.3317920000004
FMERDC0026,AMBULANCE TO KUNFUDA DOCTOR    NURSE,3560,83500-00-80,4316.9983999999995,4619.188287999999
