Unified Code,Unified Description,Type,SBS V2,LOS,2025 Price,Discount 3 years contract,2026 Price,2027 Price
FMXRAY1435,Ir. Tumor Radio-Embolization,PKG,35321-02-00,3 DAYS + 2 days ICU,95000.0,0.0,104500.0,113905.0
FMCAR-3491,PULSED FIELD ABLATION FOR CARDIAC ARRHYTHMIA – Inclusive PKG,PKG,5,38287-01-00,95000.0,0.0,95000.0,
FMXRAY1441,IR. Neuro. INTRACRANIAL ANEURYSM COILING (2 COILS),PKG,35412-00-00,5,81000.0,0.0,89100.0,97119.0
FMNEU-3483,Anterolateral Thoraco Or Lumber Approach With Stabilization – Three Levels Including Implants,PKG,40351-00-00,2,88350.0,0.0,88350.0,
FMXRAY1440,Ir. Neuro. Intracranial Angioplasty + Stenting,PKG,35321-02-00,3 DAYS + 2 days ICU,80000.0,0.0,88000.0,95920.0
FMNEU-3306,Craniotomy And Exesion Of Deep Sealed / Skull Base Brain Tumor,PKG,40600-03-00,4 INCLUDING ICU ,80000.0,0.0,88000.0,95920.0
FMXRAY1384,Ir. Stenting Of Aorta (Evar) excluding implant,PKG,35321-11-00,4,80000.0,0.0,88000.0,95920.0
FMCAR-3032,"Asd Device Closure (Atrial Septal Defect) Consumable (Sheath, Wire, Catheter, Long Sheath And Device)",PKG,38742-02-00,2,79050.0,0.0,86955.0,94781.0
FMCAR-0555,Double Outlet Right Ventricle (DORV) REPAIR,PKG,90223-01-00,4 days ,85500.0,0.0,85500.0,
FMCAR-0554,TGA REPAIR,PKG,61320-00-00,4 days ,85500.0,0.0,85500.0,
FMORT-0224,REVISN OF TOTAL HIP REPLACEMNT (INCLUDE IMPLANT)  including implant,PKG,49324-00-00,day case,76446.0,0.0,84091.0,91659.0
FMNEU-3480,Anterior Thoracic Corpectomy And Stabilization - Three Levels Including Implants,PKG,40348-00-00,2,83600.0,0.0,83600.0,
FMORT-0762,CORRECTION AND POSTERIOR INSTRUMENTATION OF SCOLIOSIS  including implant,PKG,90011-02-00,2,75888.0,0.0,83477.0,90990.0
FMXRAY1448,Ir. Neuro. Spine Avm Embolization,PKG,40318-00-00,5,75417.0,0.0,82959.0,90425.0
FMORT-0683,EXPLORATION AND REPAIR OF BRAC HIAL FLEXUS.,PKG,39300-00-00,2,75330.0,0.0,82863.0,90321.0
FMXRAY1443,Ir. Neuro. Brain Aneurysm Flow Diverter,PKG,35309-06-00,5,75248.25,0.0,82773.0,90223.0
CAT-1102,Pediatric Atrioventricular Septal Defect with Tetralogy of Fallot Repair (4days ICU),PKG,4days ICU,38742-02-00,80750.0,0.0,80750.0,
FMNEU-3398,Crainiotomy And Surgical Excision Of Supratentorial Cranial Arterio-Venous Malformation,PKG,39806-00-00,4 INCLUDING ICU ,73248.0,0.0,80573.0,87824.0
FMORT-0194,DORSO-LUMBAR SPINAL FUSION W/ HARRINGTON ROD LONG SEGMENT  including implant,PKG,48681-00-00,1,72726.0,0.0,79999.0,87198.0
FMNEU-3477,Anterior Cervical Corpectomy And Stabilization - Three Levels Including Implants,PKG,40315-00-00,2,79325.0,0.0,79325.0,
FMNEU-0204,Microneurosurgical Cervical Discectomy And Fusion Four Level,PKG,40333-01-00,2,72000.0,0.0,79200.0,86328.0
FMSUR-4000,WHIPPLES OPERATION(CANCER HEAD OF PANCREAS),PKG,30584-00-00,9,71148.0,0.0,78263.0,85306.0
NEU-0055,STAGE 1 - SACRAL NEUROMODULATION IMPLANTATION ( INCLUDE ELECTRODE ),PKG,39134-01-00,day case,70894.0,0.0,77983.0,85002.0
MS-S-011524,STENT AORTIC STENT ILIAC PARALLEL D SHAPE PROXIMAL W/ BUTTOM UP SET LOMBARD# 01-AA(...),consumables / Implants,46777,,77350.0,0.0,77350.0,
FMORT-0193,DORSAL SPINAL FUSION (POSTERIOR SCOLOSIS CORRECTION)  including implant,PKG,48642-00-00,2,70308.0,0.0,77339.0,84299.0
FMORT-0690,SPINAL FUSION WITH MICOMED SYS TEM  including implant,PKG,48660-00-00,2,70308.0,0.0,77339.0,84299.0
FMORW-0043,Upperarm Prosthesis (Myoelectr Ic 4 Channels),Service,96092-00-00,-,70232.0,0.15,77255.0,84208.0
FMXRAY1449,Ir. Neuro. Bleeding Embolization,PKG,60503-00-11,4 INCLUDING ICU ,70137.81,0.0,77152.0,84095.0
FMCAR-3071,Atrial Fibrillation Using A Cryotherapy,PKG,38287-02-00,1,70000.0,0.0,77000.0,83930.0
FMNEU-3328,Craniotomy And Excision Of Foramen Mangum Tumour,PKG,39640-00-00,3,70000.0,0.0,77000.0,83930.0
fmxray1680,Transjugular Intrahepatic Portosystemic Shunt (Tips) Placement - 4 Days,PKG,90334-00-00,1,70000.0,0.0,77000.0,83930.0
FMNEU-3482,Anterolateral Thoraco Or Lumber Approach With Stabilization – Two Levels Including Implants,PKG,40351-00-00,2,76000.0,0.0,76000.0,
FMNEU-3486,Posteriolateral Thoracic Or Lumbar Corpectomy - Three Levels - Including Implants,PKG,40351-00-00,2,76000.0,0.0,76000.0,
FMNEU-3327,Craniotomy And Excision Of Clival Tumour,PKG,39640-00-00,4 INCLUDING ICU ,69000.0,0.0,75900.0,82731.0
FMSUR-3351,"Obliteration Of Cerebral Aneurysms By Coils – Medium Aneurysms (5 To 10 Mm) Including The Basic Microcatheter, Microguide Wire And The First Coil",PKG,35412-00-00,3,69000.0,0.0,75900.0,82731.0
FMORT-0686,REVISION OF TOTAL KNEE REPLACE MENT (INCLUDE IMPLANT)  including implant,PKG,49527-00-01,2,68250.0,0.0,75075.0,81832.0
FMSUR-5040,"Laparoscopic total gastrectomy with D2 coeliac lymphadenectomy, esophagojejunostomy, and jejunojejunostomy.",PKG,30521-00-00,1 ICU + 4 WARD,68000.0,0.0,74800.0,81532.0
FMCAR-3006,Cabg & Double Mechanical Valve,PKG,38497-04-00,7,67970.0,0.0,74767.0,81496.0
FMORW-0042,Upperarm Prosthesis (Myoelectr Ic 2 Channels),Service,96092-00-00,-,67810.0,0.15,74591.0,81304.0
FMORT-1052,REVISION OF SPINAL FUSION ( MULTIPLE LEVEL )  including implant,PKG,50620-00-00,2,65400.0,0.0,71940.0,78415.0
FMNEU-3440,Micrvascular Decompression For Hemifacial Spasm,PKG,41569-00-00,2,65000.0,0.0,71500.0,77935.0
FMCAR-3067,Permanent Pacemaker Biventricular Plus Icd (Crtd),PKG,38393-00-00,3,65000.0,0.0,71500.0,77935.0
ORT-2027,TOTAL HIP REPLACEMENT - Unilateral ( ROBOTIC SYSTEM ) W/ PROSTHESIS,PKG,49542-00-01,4,65000.0,0.0,71500.0,77935.0
FMCAR-3091,Vsd Device Closure (Ventricular Septal Defect) Without Device Or Delivery System - Pediatric,PKG,38751-02-00,1,65000.0,0.0,71500.0,77935.0
FMORT-0763,ANTERIOR RELEASE & INSTRUMENTATION FOR SCOLIOSIS  including implant,PKG,40351-00-00,2,64800.0,0.0,71280.0,77695.0
FMNEU-3479,Anterior Thoracic Corpectomy And Stabilization - Two Levels Including Implants,PKG,40348-00-00,2,71250.0,0.0,71250.0,
FMCAR-0556,Total anomalous pulmonary venous drainage repair (TAPVD) REPAIR,PKG,90223-01-00,4 days ,71250.0,0.0,71250.0,
FMNEU-6749,Radiofrequency ablation for epileptic focus - Inclusive PKG,PKG,2 days ,40801-00-00,71250.0,0.0,71250.0,
FMCAR-0558,Atrioventricular Canal (AVC) REPAIR ,PKG,90223-01-00,4 days ,70300.0,0.0,70300.0,
FMNEU-3383,Craniotomy And Excision Of C-P Angle Tumour,PKG,90007-02-00,4 INCLUDING ICU,63000.0,0.0,69300.0,75537.0
FMNEU-3451,INSERTION OF VAGUS NERVE STIMULATOR (VNS) - (STIMULATOR ELECTRODES + BATTERY + IMPLANTS NOT INCLUDED),PKG,39138-00-00,2,63000.0,0.0,69300.0,75537.0
FMNEU-3441,Micrvascular Decompression Of Trigeminal Nerve,PKG,90016-01-00,2,63000.0,0.0,69300.0,75537.0
FMORT-0764,POSTERIOR CORRECTION AND FIXATION KYPHOSIS  including implant,PKG,48678-00-00,day case,63000.0,0.0,69300.0,75537.0
FMCAR-3085,Prosthetic Valve Endocarditis – Valve Replacement Excluding Valve,PKG,38553-03-00,8,63000.0,0.0,69300.0,75537.0
FMORT-0767,ANT.RESECTION OF ONE VERTEBRA W/FIXATION  including implant,PKG,48639-00-00,2,62700.0,0.0,68970.0,75177.0
CAR-0027,SINGLE VALVE REPLACEMENT +VALVE COST,PKG,38488-01-00,1 ICU + 1 WARD,62017.0,0.0,68219.0,74358.0
FMCAR-3013,Double Mechanical Valve,PKG,38653-06-00,7 for the CABG  operation,62000.0,0.0,68200.0,74338.0
FMNEU-3481,Anterolateral Thoraco Or Lumber Approach With Stabilization – One Level W/Out Implant,PKG,40351-00-00,2,61698.0,0.0,67868.0,73976.0
FMORT-0749,COMBINED ANTERIOR & POSTERIOR FIXATION ( DORSO-LUMBAR )  including implant,PKG,48678-00-00,2,61566.0,0.0,67723.0,73818.0
FMCAT-0047,"Permanent Pacemaker Implantation, Single",PKG,38353-00-00,6,61380.0,0.0,67518.0,73595.0
VAS-0029,INTRACRANIAL ANGIOPLASTY FOR VASOSPASM,PKG,35303-06-00,4,61000.0,0.0,67100.0,73139.0
FMORT-0746,COMBINED ANTERIOR AND POSTERIOR OR CERVICAL FIXATION  including implant,PKG,48684-00-00,2,60822.0,0.0,66904.0,72926.0
FMCAR-3005,Cabg & Double Tissue Valve,PKG,38497-04-00,7,60261.0,0.0,66287.0,72253.0
FMNEU-33600,custom made cranioplasty with customized titanium mesh,PKG,40600-01-00,4,60000.0,0.0,66000.0,71940.0
FMCAT-0050,Biventricular Icd Implantation ,PKG,38368-00-00,5,60000.0,0.0,66000.0,71940.0
FMCAR-3003,THORACIC ENDOVASCULAR AORTIC REPAIR WITHOUT IMPLANT(TEVAR),PKG,33116-00-00,5,60000.0,0.0,66000.0,71940.0
FMCAR-3035,VSD device closure (ventricular septal defect) without Device or Delivery System - Adult - Day case,PKG,38751-02-00,1,60000.0,0.0,66000.0,71940.0
FMNEU-0203,Microneurosurgical Cervical Discectomy And Fusion Three Level,PKG,40333-01-00,2,60000.0,0.0,66000.0,71940.0
FMORT-0698,DORSAL EPIPHYSIODESIS OF CONGI NITAL SCOLIOSIS  including implant,PKG,48509-00-01,4,59148.0,0.0,65063.0,70918.0
FMSUR-3349,"Obliteration Of Cerebral Aneurysms By Coils – Small Aneurysms (<5 Mm) Including The Basic Microcatheter, Microguide Wire And The First",PKG,35412-00-00,2,59000.0,0.0,64900.0,70741.0
FMCAR-2030,Pulmonary Embolism - THROMBUS ASPIRATION USING ANGIOVAC (EkoSonic System) - Inclusive PKG,PKG,38640-00-00,5,64600.0,0.0,64600.0,
SUR-10019,Biliary atresia kasai repair,PKG,4 days ,43978-00-00,63650.0,0.0,63650.0,
URO-0115,ARTIFICIAL MALE SPHINCTER + DEVICE,PKG,37387-00-00,4,57173.0,0.0,62890.0,68550.0
FMCAT-0042,Diagnostic Ep Study And Ablation Of Slow Pathways (Conventional Kit) ,PKG,38287-01-00,4,57000.0,0.0,62700.0,68343.0
FMCAR-3014,Double Tissue Valve,PKG,38653-06-00,7 for the CABG  operation,57000.0,0.0,62700.0,68343.0
FMCAR-3069,Implantation Of Icd Double,PKG,38368-00-00,2,57000.0,0.0,62700.0,68343.0
FMXRAY1588,IR. Bleeding Embolization (OTHERS),PKG,35321-02-00,3 DAYS + 2 days ICU,57000.0,0.0,62700.0,68343.0
FMNEU-3593,Revision Spinal Fixation + Adjustment Of Spinal Implant (Cer/Th/Lum)-Three Level,PKG,50616-00-00,3,61750.0,0.0,61750.0,
ORT-2028,TOTAL KNEE REPLACEMENT - Unilateral ( ROBOTIC SYSTEM ) W/ PROSTHESIS - Inclusive PKG,PKG,49518-00-00,4  days ,61750.0,0.0,61750.0,
FMCAR-3094,Coronary Artery Chronic Total Occlusion (Cto) - Inclusive package,PKG,38309-00-00,3 days ,61750.0,0.0,61750.0,
FMNEU-8745,Renal Denervation - Inclusive PKG ,PKG,1,39327-01-00,61750.0,0.0,61750.0,
FMNEU-3478,Anterior Thoracic Corpectomy And Stabilization - One Level W/Out Implant,PKG,40348-00-00,2,56057.0,0.0,61663.0,67212.0
FMSUR-7207,LAMINECTOPLASTY L LAMINECTOMY FOR SPINAL TUMOR DIFUSE (GLIOMA EPENDYMOMA),PKG,40312-00-00,3,55820.0,0.0,61402.0,66928.0
FMNEU-3396,Aneurysm -Clipping without coils,PKG,39800-00-00,8,55000.0,0.0,60500.0,65945.0
FMCAR-3060,"Ptca (Percutaneous Transluminal Coronary Angioplasty) – Tv + 5 Stents , (One Day Ccu + Four Days Ward)",PKG,38300-00-00,5,55000.0,0.0,60500.0,65945.0
FMNEU-1999,Encephaloduroarteriosynangiosis,PKG,40109-00-00,4,55000.0,0.0,60500.0,65945.0
FMNEU-3401,Endovascular Intervention For Cerebro-Vascular Lesion,PKG,35412-00-00,3 INCLUDING ICU,55000.0,0.0,60500.0,65945.0
FMNEU-3434,Fronto-Orbital Advancement For Craniosynostois,PKG,45593-02-01,4,55000.0,0.0,60500.0,65945.0
FMCAR-3000,CABG WITHOUT CATH.,PKG,90201-00-00,10,54894.0,0.0,60383.0,65818.0
FMORW-0039,Forearm Prosthesis Electric (Myoelectric),Service,96092-00-00,-,54496.0,0.15,59946.0,65341.0
FMNEU-3391,Craniotomy Excision Of Deep Cerebellar Tumour,PKG,90007-02-00,4 including ICU ,54000.0,0.0,59400.0,64746.0
FMNEU-3388,Craniotomy Excision Of Parasagittal Tumour,PKG,90007-02-00,4,54000.0,0.0,59400.0,64746.0
FMNEU-3393,Endoscopic Excision Of Intra-Ventricular Tumour,PKG,39712-03-00,2,54000.0,0.0,59400.0,64746.0
FMNEU-3445,Insertion Of Motor Cortex Stimulator (Stimulator Electrodes + Battery + Implants Not Included),PKG,90007-01-00,1,54000.0,0.0,59400.0,64746.0
FMNEU-3389,CRANIOTOMY EXCISION OF SKULL BASE TUMOUR,PKG,43987-02-00,6,53158.0,0.0,58474.0,63736.0
FMCAR-3065,Permanent Pacemaket Biventricular,PKG,90223-01-00,3,53000.0,0.0,58300.0,63547.0
FMNEU-3387,Craniotomy Excision Of Deep Cerebral Tumour,PKG,90007-02-00,4 including ICU ,52000.0,0.0,57200.0,62348.0
FMSUR-3354,"Embolization Of Cranial And Spinal Arteriovenous Malformations By Glue And Coils 3-6 Nedal Injections Including The Basic Microcatheter, Microguide Wire And The First Coil",PKG,35412-00-00,3,52000.0,0.0,57200.0,62348.0
FMXRAY1981,EXTRACRANIAL  STENTING,PKG,59970-02-00,2,52000.0,0.0,57200.0,62348.0
FMCAR-3031,"Laa Device Closure (Left Atrial Appendage) Consumable (Sheath, Wire, Catheter, Long Sheath And Device)",PKG,96219-00-00,2,52000.0,0.0,57200.0,62348.0
FMCAR-3012,Mitral Tissue Valve,PKG,38489-02-00,7 for the CABG  operation,52000.0,0.0,57200.0,62348.0
FMNEU-3592,Revision Spinal Fixation + Adjustment Of Spinal Implant (Cer/Th/Lum) - Two Level,PKG,50616-00-00,3,57000.0,0.0,57000.0,
FMNEU-3476,Anterior Cervical Corpectomy And Stabilization - Two Levels Including Implants,PKG,40315-00-00,2,57000.0,0.0,57000.0,
FMCAR-9652,Minimally Invasive CABG - Inclusive PKG,PKG,3,38497-04-00,57000.0,0.0,57000.0,
FMCAR-1101,PEDIATRIC VENTRICULAR  SEPTAL DEFECT (VSD) REPAIR  (2 DAYS ICU),PKG,(2 DAYS ICU),38751-02-00,57000.0,0.0,57000.0,
FMXRAY1447,IR. Neuro. TUMOR EMBOLIZATION,PKG,90230-00-00,3 DAYS + 2 days ICU,51150.0,0.0,56265.0,61329.0
FMCAR-3058,"Ptca (Percutaneous Transluminal Coronary Angioplasty) – Tv + 4 Stents , (One Day Ccu + Four Days Ward)",PKG,38300-00-00,5,51000.0,0.0,56100.0,61149.0
FMNEU-3485,Posteriolateral Thoracic Or Lumbar Corpectomy - Two Levels - Including Implants,PKG,40351-00-00,2,55100.0,0.0,55100.0,
FMCAR-9648,PFO (Patent foramen ovale) Occluder insertion – Inclusive PKG,PKG,3,96221-01-00,55100.0,0.0,55100.0,
FMNEU-3515,Anterior Cervical Discectomy And Plate Fixation - 3 Levels - W/Out Implant,PKG,40333-01-00,3,50000.0,0.0,55000.0,59950.0
FMCAR-2901,Cabg & Mechanical Aortic Valve,PKG,38497-04-00,7,50000.0,0.0,55000.0,59950.0
FMCAR-2903,Cabg & Mechanical Mitral Valve,PKG,38497-04-00,7,50000.0,0.0,55000.0,59950.0
FMNEU-3369,ENDOSCOPIC EVACUATION OF INTRACEREBRAL HEMATOMA,PKG,90007-02-00,5,50000.0,0.0,55000.0,59950.0
FMCAR-3070,Ep Study And Ablation For Atrial Flutter And/Or Svt (Avnrt And Avrt),PKG,38209-00-00,2,50000.0,0.0,55000.0,59950.0
FMCAR-3073,Ep Study And Ablation For Atrial Tachycardia Or Wpw,PKG,38213-00-00,3,50000.0,0.0,55000.0,59950.0
FMORT-0738,LUMBAR LAMINOTOMY / LAMINECTOMY ( MULTIPLE LEVEL ),PKG,40300-01-00,1,50000.0,0.0,55000.0,59950.0
FMCAR-3084,Native Valve Endocarditis – Valve Replacement Excluding Valve,PKG,38493-00-00,8,50000.0,0.0,55000.0,59950.0
FMCAR-3080,Tavi: Trans Catheter Aortic Valve Implantation ( Trans Apical) Excluding Valve,PKG,38488-08-00,3,50000.0,0.0,55000.0,59950.0
FMORT-0434,TOTAL KNEE REPLACEMENT (UNILATERALL)/hinged  including implant,PKG,49518-00-00,1,50000.0,0.0,55000.0,59950.0
FMORT-0699,CERVICAL POSTERIOR DECOMPRESSI ON WITH PLATTING (MULTIPLE LEVEL)  including implant,PKG,40335-00-00,2,49400.0,0.0,54340.0,59231.0
FMSUR-6796,Femoral Endarterectomy with Vein Patch Repair - Inclusive PKG,PKG,4,90229-00-00,54150.0,0.0,54150.0,
FMCAR-3052,"Ptca (Percutaneous Transluminal Coronary Angioplasty) – Tv + Stent , (One Day Ccu + Three Days Ward)",PKG,35309-06-00,4,49197.75,0.0,54118.0,58988.0
FMCAR-3061,"Ptca (Percutaneous Transluminal Coronary Angioplasty) – Dv + 5 Stents , (One Day Ccu + Four Days Ward)",PKG,38300-00-00,5,49000.0,0.0,53900.0,58751.0
FMCAR-0553,COARCTATION AORTA REPAIR INCLUSIVE PACKAGE,PKG,38706-00-00,4  days ,53200.0,0.0,53200.0,
FMORT-0669,RETRO PERITONIAL ANTERIOR SPINAL FIXATION  including implant,PKG,48684-00-00,2,47988.0,0.0,52787.0,57538.0
FMORT-0680,REVISION OF SPINAL FUSION ( ONE LEVEL )  including implant,PKG,50620-00-00,2,47988.0,0.0,52787.0,57538.0
FMORT-1051,ANTERIOR THORACIC SPINAL FUSION  including implant,PKG,48660-00-00,2,47709.0,0.0,52480.0,57203.0
FMORT-0768,RESECTION OF SPINAL CORD TOMOUR,PKG,40309-00-00,2,47709.0,0.0,52480.0,57203.0
FMNEU-3773,Vagal Nerve Stimulator ( Excluding The Implants ),PKG,39134-01-00,1,47660.0,0.0,52426.0,57144.0
FMORT-0352,VERTEBROTOMY - TRANSTHORACIC  including implant,PKG,48639-00-00,2,47600.0,0.0,52360.0,57072.0
FMORT-0353,VERTEBROTOMY RETROPERITONEAL,PKG,48639-00-00,1,47600.0,0.0,52360.0,57072.0
FMORT-2023,Reverse Total Shoulder Arthroplasty - 4 Days ( Adult or Pediatric) - Inclusive PKG,PKG,4,90595-00-00,52250.0,0.0,52250.0,
FMNEU-3591,Revision Spinal Fixation + Adjustment Of Spinal Implant (Cer/Th/Lum) - One Level,PKG,50616-00-00,3,52250.0,0.0,52250.0,
FMCAR-0551,BIDIRECTIONAL CAVOPULMONARY ANASTOMOSIS (GLENN SHUNT) ,PKG,38733-01-00,4 days ,52250.0,0.0,52250.0,
FMCAT-0054,Ep Study + Ablation Using 3D Mapping System - Inclusive PKG,PKG,2,38287-01-00,52250.0,0.0,52250.0,
FMORT-0198,REFUSION OF SPINE (CORRECTION OF PSEUDO-ARTHROSIS OF SPINE)  including implant,PKG,48660-00-00,2,47300.0,0.0,52030.0,56713.0
FMCAR-3054,"Ptca (Percutaneous Transluminal Coronary Angioplasty) – Tv + 3 Stent , (One Day Ccu + Three Days Ward)",PKG,35309-07-00,4,47000.0,0.0,51700.0,56353.0
FMSUR-3353,"Embolization Of Cranial And Spinal Arteriovenous Malformations By Glue And Coils 1-3 Nedal Injections Including The Basic Microcatheter, Microguide Wire And First Coil",PKG,35321-10-00,2,47000.0,0.0,51700.0,56353.0
FMNEU-3416,Microscopic Brain Excision Of Epileptic Focus,PKG,39700-00-00,2,46877.0,0.0,51565.0,56206.0
FMXRAY7017,HEAD & NECK MALFORMATION EMBOLIZATION,Radiology,35321-03-00,-,46595.0,0.15,51255.0,55867.0
FMCAR-3007,CABG & Mitral Valve Repair (No Ring),PKG,38497-04-00,7,46000.0,0.0,50600.0,55154.0
FMCAR-3008,Cabg & Mitral Valve Repair (With Ring),PKG,38497-04-00,7,46000.0,0.0,50600.0,55154.0
FMCAR-2900,Cabg & Tissue Aortic Valve Replacement,PKG,38497-04-00,7,46000.0,0.0,50600.0,55154.0
FMCAR-2902,Cabg & Tissue Mitral Valve,PKG,38497-04-00,7,46000.0,0.0,50600.0,55154.0
FMNEU-0206,Microneurosurgical Cervical Discectomy And Fusion Two Level,PKG,40333-01-00,2,46000.0,0.0,50600.0,55154.0
FMORT-0760,HEMIVERTEBRA EXCISION  including implant,PKG,48639-00-00,1,45942.0,0.0,50536.0,55084.0
FMNEU-3572,Percutaneous Fixation Without Screw With Out Implant - One Level,PKG,90011-02-00,2,45052.0,0.0,49557.0,54017.0
FMINT-0018,HEMODIALYSIS TYPE C2 (72SE),Service,13100-00-00,-,45044.81,0.15,49549.0,54009.0
FMCAR-3077,Aortic valve replacement tissue rapid deployment valve excluding valve.,PKG,38488-01-00,8,45000.0,0.0,49500.0,53955.0
FMXRAY1377,IR. ANGIOPLASTY AND STENTING OF RENAL ARTERY (BI LATERAL),PKG,35309-06-00,2,45000.0,0.0,49500.0,53955.0
FMCAR-3059,"Ptca (Percutaneous Transluminal Coronary Angioplasty) – Dv + 4 Stents , (One Day Ccu + Four Days Ward)",PKG,38300-00-00,5,45000.0,0.0,49500.0,53955.0
Fmsur-3375,Laparoscopic Distal Gastrectomy With Extended D1 Lymphadenectomy ,PKG,30523-00-00,4,45000.0,0.0,49500.0,53955.0
FMCAR-3066,Permanent Pacemaker Dual Chamber,PKG,38353-00-00,3,45000.0,0.0,49500.0,53955.0
FMCAR-0567,FONTAN STENTING (Fontan Procedure),PKG,90223-01-00,4 days ,49400.0,0.0,49400.0,
FMORT-0602,FRACTURE PELVIC GR.III(POST & ANTERIOR COLUMN)  including implant,PKG,47489-01-01,1,44826.0,0.0,49309.0,53746.0
FMCAR-3015,Mitral Valve Repair (No Ring),PKG,38475-00-00,7 for the CABG  operation,44367.0,0.0,48804.0,53196.0
FMCAR-3016,Mitral Valve Repair (With Ring),PKG,38477-00-00,7 for the CABG  operation,44367.0,0.0,48804.0,53196.0
FMCAR-3079,Aortic Root Aneurysm Resection- Bentall Procedure Excluding Graft,PKG,38553-00-00,3,44000.0,0.0,48400.0,52756.0
FMXRAY1439,IR. Neuro. INTRACRANIAL ANGIOPLASTY,PKG,35303-06-00,2,44000.0,0.0,48400.0,52756.0
FMCAR-3083,Pacemaker Endocarditis – Surgical Removal,PKG,38353-02-00,3,44000.0,0.0,48400.0,52756.0
FMNEU-3522,Lateral Or Posterolateral Approach And Thoracic Discectomy - 1 Level,PKG,40300-00-00,3,43925.0,0.0,48318.0,52666.0
FMCAR-3051,"Ptca (Percutaneous Transluminal Coronary Angioplasty) – Dv + 3 Stent , (One Day Ccu + Three Days Ward)",PKG,38306-02-00,4,43700.0,0.0,48070.0,52396.0
FMCAR-3049,Ptca (Percutaneous Transluminal Coronary Angioplasty) – Dv + Stent ,PKG,38303-00-00,4,43412.25,0.0,47753.0,52051.0
FMORT-0672,CERV.POST. OPEN REDUC.INTERNAL FIXATION + FUSION  including implant,PKG,47699-01-00,2,43338.0,0.0,47672.0,51962.0
FMORT-0191,ATLAS AXIS SPINAL FUSION  including implant,PKG,48660-00-00,2,43152.0,0.0,47467.0,51739.0
FMCAR-3053,"Ptca (Percutaneous Transluminal Coronary Angioplasty) – Tv + 2 Stent , (One Day Ccu + Three Days Ward)",PKG,35309-07-00,4,43000.0,0.0,47300.0,51557.0
