WIPRO CODE,NAME,price 
MS-A-000138,ANKLE FOOT ORTHOSIS ABOVE KNEE,1650
MS-A-000029,ANTERIOR CERVICAL PLATE 45MM # 876-145,7412
SMI9922,"AORTEC CANNULA 7MM/21FR W/CON # RA-1137,CALMID",1444
SMI9926,"AORTEC ROOT CANNULA W/VENT LINE #AR-11114,CALMED",867
MS-A-000126,APPLICATOR ARISTA AH 3G EUROPE FOR HEMOSTATIC # SM0002,3080
MS-A-000127,APPLICATOR ARISTA AH 5G EUROPE FOR HEMOSTATIC# SM0007,3850
MS-A-000128,APPLICATOR FLEXITIP 14CM FOR HEMOSTATIC # AM0004,1980
MS-A-000155,"APPLICATOR STERILE SOLU PREP 2% CHG 35ML , 3M # 100.24",634
SME0009,APRON PLASTIC WHITE DISP.,2
SMY1017,"ARM BOARD FOR CHILD 9""",19
SME1055,ARM SLEEVE STERILE KINIDRAPE #623501,81
SMD1106,ARM SLING MEDIUM SCOTT,145
SMD1270,ARM SLING STRAP ADULT X-LARGE,162
SMD1269,ARM SLING STRAP CHILD SMALL SCOTT #1202-01,184
SMD1107,ARM SLING STRAP LARGE SCOTT #1203-03/80/0-01,176
SMI9566,ARTERIAL FILTERS ADULT GAF40-2BP,2888
MS-A-000124,"ARTICULAR SURFACE LPS-FLEX 14MM , ZIMMER # 5964-32-14",7412
MS-A-000077,ARTICULAR SURFACE LPS-FLEX 9MM ZIMMER #596404009,7412
MS-A-000146,ASPIRATING ABLATOR 30° COOLCUT ARTHREX # AR-9803A-30,4043
MS-A-000497,AVITENE COLLAGEN HEMOSTAT 105004 N/A # 105004,2249
SMA1012,BABY DIAPER INFANT (3-6KG),5
SMA1014,BABY DIAPER LARGE SIZE 10-20KG,7
SMA1013,BABY DIAPER MEDIUM 6 -10KG,7
SMA3496,BABY DIAPER NEONATAL 1-3 KG,2
SMA3440,BABY WET WIPES PKT OF 72/80PCS.,91
MS-B-000898,"BACTERIN , MEDTRONIC # B140117 ¿ 103415",6064
MS-B-000903,BACTERIN CANCELLOUS 4-10 MM X 15CC # MEDTRONIC,15964
MS-B-001185,BAG ACCESS PLASTIC INFUSION ADAPTOR C100 PHASEAL C100 BD # 272515306,337
MS-B-001642,BAG AMBU DISPOSABLE F/PEDIA AMBU # 1,693
MS-B-000967,BAG BSS FOR CENTURION PHACO MACHINE ALCON # 7950176,742
MS-B-000586,BAG COLOSTOMY 32MM DRAINABLE CONVATEC #20911 / 402531,95
MS-B-000468,BAG COLOSTOMY 57MM CONVATEC #402534,95
MS-B-000469,BAG COLOSTOMY 70MM CONVATEC #402535,122
MS-B-000470,BAG COLOSTOMY STOMAHESIVE 57MM CONVATEC#125145,243
MS-B-000471,BAG COLOSTOMY STOMAHESIVE 70MM CONVATEC#400949,270
SME1112,BAG COLOSTOMY W/ GUM 19-64MM DRAINABLE CONV. #22771,270
MS-B-000731,BAG ENDO DETACHABLE 3X6 # RB002,1518
MS-B-001032,"BAG FOR URINE RESERVOIR SIZE 45 MM , CONVATEC # 2984",1386
MS-B-001639,BAG MULTIBIC SOLUTION FRESENIUS # N/A,953
MS-B-000953,BAG RESERVOIR 2 LITER W/15 FR SMD #314-2-12B,162
SMC1021,BAG URINE COLLECTING PAEDIATRIC,3
SMC0018,BAG URINE DRAINAGE 2000ML NONSTERILE DISP.,12
SMO6907,"BALL HEAD 28MM,12/14,49.5MM LINK #128-747",3925
SMO6908,"BALL HEAD 28MM,12/14,53.0MM LINK #128-748",3763
SMO6909,"BALL HEAD 28MM,12/14,60.0MM LINK #128-783",3706
SMO11325,BALL HEAD PROS. 24/46MM LINK #128-743/46,3350
SMO11611,BALL HEAD PROS. 24/49.5MM LINK #120-743/49,4447
SMO11014,BALL HEAD PROS. 28MM LINK #128-748,3331
SMO10969,BALL HEAD PROSTHESIS 28MM H/N-1 46MM LINK#128-746,6738
MS-B-000504,BALLON ULTRA THIN DILAT CAT 12-4-5. 8-120 BOSTON #M001165340,6081
MS-B-001818,"BALLOON BAKRI POSTPARTUM W/RAPID INSILLATION, COOK # J-SOSR-100500",2792
MS-B-001955,BALLOON CATHETER BALT USA # ECL2L 6X12,14149
MS-B-000372,BALLOON CATHETER DILATOR 600MM/18FR ECLIPSE,8855
MS-B-000062,BALLOON CATHETER PTCA ALL SIZES.,2002
MS-B-000482,BALLOON CATHETER RELIANT 12FR MEDTRONIC #AB46,14294
MS-B-000068,BALLOON CAYOTE 4FR ALL SIZES,5458
MS-B-000771,BALLOON CONICAL AMPHIRION DEEP INVATEC#MB-AMC,8422
MS-B-000306,BALLOON DILATOR URETERIC 15FR 4CM # BD4145,3581
MS-B-001210,BALLOON DRUG COATED LUTONIX CORONARY DCB DIFF. SIZES BARD #9020,16707
MS-B-000526,BALLOON DRUG ELUTING 2.0X20MM INVATEC #20020B12,10973
MS-B-000669,BALLOON DRUG ELUTING IN-PACT FALCON ALL SIZES INVATEC # 072-FL-2002B12,10107
MS-B-001802,"BALLOON EXPANDABLE VIABAHN,DIFFERENT SIZES#GORE MEDICAL USA#BXAXXXX2E GORE # BXAXXXX2E",35269
MS-B-000930,"BALLOON IN-PACT FALCON DEB ALL SIZE , MEDTRONIC # FLCP25014B12",12994
MS-B-000069,BALLOON MUSTANG 5FR ALL SIZES/INVATEC#MB-AMR,3908
MS-B-000769,BALLOON PACIFIC XTREME LONG REGULAR INVATEC#MB-PAR,4717
SMI8873,BALLOON PTCA 2.5MMX20MM X1S MEDTRONIC #X1S2520,3658
SMI6316,BALLOON PTCA X1S 1.5X20MM AVE MEDTRONIC #X1S1520,3658
MS-B-001739,"BALLOON STERLING OTW 3.5X40X135CM , BOSTON # H74939031354010",4548
MS-B-001912,"BALLOON STERLING OTW 6X30MM X135CM , BOSTON # H74939031603010",4548
MS-B-001209,BALLOON VENOUS LARGE DIAMETER ATLAS GOLD DIFF. SIZES ATLAS BARD #ATG,6738
SMI8938,BALOON PTCA MAVERICK MONORAIL 2.0X20MM #302752020,3581
MS-B-000416,BAND TR 20CM RADIAL ARTERY HAEMOSTASIS DEVICE TERUMO #XX*RF06,1271
SMA1997,"BAND-AID SPOTS 7/8X7/8"" #4930",1
SMA1112,BAND-AID STRIPS 19X72MM,1
MS-B-000797,BANDAGE CONTACT LENSE 6PK,241
SMA1030,BANDAGE COTTON CONFORMING 10CMX4.5M LOHM.#14413 /DAM#872320/5,7
SME1033,BANDAGE COTTON CONFORMING 6/4CMX4M LOHM#14410 /DAM#872316/1,8
SME1034,BANDAGE COTTON CONFORMING 8CMX4M MOLIL.#14412 /DAM# 872318/9,8
SME1035,BANDAGE COTTON ELASTIC 10CM X4M S&N #3823/931525/2,11
MS-B-001814,"BANDAGE CREPE 4.5MTR X 10CM, LOCAL . # NA",18
MS-B-000081,BANDAGE CREPE 4.5MTR X 15CM,23
MS-B-000082,BANDAGE CREPE 4.5MTR X 7.5CM,15
MS-B-000083,BANDAGE CREPE 4.5MTR X5CM,11
SMA1041,BANDAGE DELTA ROLL 10CMX2.75M LOH #92842 /DAM#325532/8,34
SMA1042,BANDAGE DELTA ROLL 15CMX2.75M LOH#92843,19
SMA1043,BANDAGE DELTA ROLL 20CMX2.75M JJ #51695/92844,49
SMA1040,BANDAGE DELTA ROLL 7.5CMX2.75M LOH#92841 /DAM#325531/9,25
SMA1025,BANDAGE ELASTIC ADH-7.5CMX4.5M TENSOPLAST # 62-4058,19
SMA1015,BANDAGE ELASTIC CRAPE 8CMX4.5M LOHM#19461 /DAM#872202/8,21
SMA1018,BANDAGE ELASTIC CRAPE LENKELAST 15CM #50419464,17
SMA1016,BANDAGE ELASTIC CREPE 10CMX4.5 LOHM # 19462 /DAM#872204/6,18
SMA1017,BANDAGE ELASTIC CREPE 12CM,41
SMD1084,"BANDAGE FIBREGLASS WHITE 2"" 3M #82002/S&N #4791",135
SMD1085,"BANDAGE FIBREGLASS WHITE 3"" 3M #82003/S&N #4792",141
SMD1086,"BANDAGE FIBREGLASS WHITE 4""3M #82004/S& N #4793/25203",176
SMD1087,"BANDAGE FIBREGLASS WHITE 5"" 3M #82005/J&J #6825/4797/25204",216
SMA0035,BANDAGE GAUZE COTTON 10CM X 4M #1-008-044,19
SMA0032,BANDAGE GAUZE COTTON 4CMX4M,12
SMA0034,BANDAGE GAUZE COTTON 7.5/8CMX4M LOH.#14412 / 1-008-0042,15
SMD1026,BANDAGE POP GYPSONA 10CM X 270CM #62-7072,69
SMD1027,BANDAGE POP GYPSONA 15CM #62-7074,26
SMD1024,BANDAGE POP GYPSONA 5CMX270CM #62-7070,11
SMA1244,BANDAGE TRIANGULAR 90X90 127CM # 874 100/7,73
SMA1134,BANDAGE TUB .F/HEAD 4R HARTMANN #427114/8/ (LOHMAN),364
SMA1135,BANDAGE TUBULAR F/HEAD 5R HARTMANN #427115/7 (LO RL,364
MS-B-001179,BASE F/ COLOSTOMY BAG STOMAHESIVE 32MM CONVATEC # 125142,216
MS-B-001031,"BASE FOR URINE RESERVOIR SIZE 45 MM , CONVATEC # 125144",1040
SMY1282,BATH SITZ PORTABLE,155
MS-B-001842,"BEARING HUMERAL 44-36MM, BIOMET # XL-115363",3735
MS-B-001180,BEARING PS FEMORAL COMPLETE FIXED LEFT MEDIUM SMALL LINK #ORT-LIN-318-413/26,13613
SMC1034,BEDPAN PLASTIC RE-USABLE .,472
SMI9987,"BELLOW & WATER TRAP,SENSORMEDICS#766897",2310
MS-B-001883,"BENCH MARK 6F 071MP+ BER SELECT,PENUMBRA #BMK6F95MBER120",11406
MS-B-000507,BI-BAG 5008S 900GM FRESENIUS#5060801,456
SMD3697,BILATERAL A.F.O SPLINT .,5054
MS-B-001810,"BIO 1-QUIQSET 15CC, SBM SAS # QUICK26240",14294
MS-B-001043,BIOCOMPOSITE PUSH LOCK 4.5MMX28MM ARTHREX# AR-1922BCM,4750
SMY6956,BIOLOGICAL INDICATOR STEAM STERILIZATION #1292E,3465
MS-B-001812,"BIPOLAR HEAD 56MM, CHM # 21510056",10395
MS-B-000147,BIT DRILL 1.1MM W/STOP L44.5/8M SYN#317.18,2310
MS-B-000620,BIT DRILL 1.5MM X 50/12MM SYNTHES #03.503.412,2305
MS-B-000534,BIT DRILL 1.5X90MM 2-FLUTE SYNTHES #03.503.551,2734
MS-B-000906,"BIT DRILL 1.8 MM , SYNTHES # 310.508",1551
MS-B-001821,"BIT DRILL STAINLESS STEEL 3.2MM, MEDTRONIC # 7756131",5134
MS-B-001733,BIT DRILL Y-KNOT 1.8MM CONMED # Y18D,2310
MS-B-000677,BLADE DERMATOME ZIMMER #00-8800-000-10  ,2665
MS-B-001160,BLADE F/ LARYNGOSCOPE DIS. CURVED MACINTOSH SIZE 1 ; TIMESCO # DS-3940-157,270
MS-B-001159,BLADE F/ LARYNGOSCOPE DIS. STRAIGHT MILLER SIZE 2 ;TIMESCO # DS-3940-185-15,310
MS-B-000783,BLADE F/LARYNGOSCOP MILLAR DISPOABLE SIZE 00,310
MS-B-001136,BLADE F/LARYNGOSCOPE DISP. CURVED MACINTOSH SIZE 2 # 7042000,270
MS-B-000420,BLADE F/LARYNGOSCOPE DISPOSABLE CURVED MACINTOSH SIZE 3 #7043000,270
MS-B-000421,BLADE F/LARYNGOSCOPE DISPOSABLE CURVED MACINTOSH SIZE 4 #7044000,270
MS-B-000782,BLADE F/LARYNGOSCOPE DISPOSABLE MILLER SIZE 0,310
MS-B-000772,BLADE F/LARYNGOSCOPE DISPOSABLE MILLER SIZE 1,310
MS-B-001140,"BLADE F/NAIL PROXIMATE FEMORAL 100MM , SYNTHES # 04.027.035S",5446
MS-B-001139,"BLADE F/NAIL PROXIMATE FEMORAL 110MM , SYNTHES # 04.027.037S",9531
MS-B-000738,BLADE F/SURGICAL HAIR REMOVAL CLIPPER 3M #9660,297
MS-B-001844,"BLADE HELICAL TFNA PERFORATED, L100MM, SYNTHES # 04.038.400S",9463
MS-B-001008,BLADE OSCIL 25.4 X 95 X 0.9MM # 5071-121,1716
MS-B-000999,BLADE OSCIL FINE 5.5 X 25.5 X 0.6MM #5071246,4043
MS-B-001203,BLADE OSCILLATOR 12.7 X 90 X 0.89 MM CONMED # 507158300,1999
MS-B-001206,BLADE OSCILLATOR 19.5 X 41 X 0.4 MM CONMED # 507113200,1202
MS-B-001202,"BLADE OSCILLATOR 19.5 X 90 X 1.2 MM , CONMED # 507118400",2103
MS-B-001205,BLADE OSCILLATOR 25.4 X 95 X 1.0 MM CONMED # 507153800,2799
SMR0011,BLADE RAZOR DOUBLE EDGE SHAVE PREP,17
MS-B-000484,BLADE SABRE 4.0MMx13CM ARTHREX #AR-8400SR,3465
MS-B-000572,BLADE SAW 1.47MM F/OSCILATING SAW SYN #42230211,1650
MS-B-000910,BLADE SAW 116 / 95 X 19 X 1.19 SYNTHES # 05.002.002S,2022
MS-B-000909,"BLADE SAW 17.8 X 15.2/4 X .0.6MM LEFT,SYNTHES # 03.000.403S",4104
MS-B-000307,BLADE SAW DISP RAPID ACTION 90/19/1.27MM AESCULAP #GE241SU,1532
MS-B-001635,BLADE SAW DISPOSABLES KIT TIBIAL ACL . ARTHREX # AR-1898S,2071
MS-B-001789,"BLADE SAW FOR KNEE, MICRO PORT # BLD-506",2195
MS-B-000733,BLADE SAW FOR STERNUM 34/0.7/1.1 MM AESCULAP #GC761R,1217
MS-B-001797,"BLADE SAW IMPLANTCAST GERMANY, CHM # 42230212",1650
MS-B-000965,"BLADE SAW KMS 90 X 25.4 X 1.24 , KOMET # KMS2513.55 S",1980
MS-B-001754,BLADE SAW NARROW WRIGHT # BLB506,2195
MS-B-001811,"BLADE SAW OSSILATING, WRIGHT # BLD-202",2195
SMB1018,BLADE SCALPEL # 15 W/HANDLE STERILE DISP. FEATHER,15
SMB1017,BLADE SCALPEL # 22 STERILE DISP,27
SMB0086,BLADE SCALPEL #12 W/HANDLE STERILE FEATHER,15
SMB1024,BLADE SCALPEL 11 W/HANDLE STERILE DISP. FEATHER,15
SMB1355,BLADE SCALPEL 22 STERILE DISP W/HANDLE #09538,31
MS-B-000375,BLADE SCALPEL SIZE 10 STER. DISP/TROUGE TRO6310,18
MS-B-000897,BLADE SHAVER 4.0 MM # SIMEX,3465
MS-B-001211,BLADE SHAVER 4.0MMx13CM EXCALIBUR ARTHREX #AR-8400EX,1624
MS-B-000866,BLADE SHAVER 4.2MM GREAT WHITE LINVATEC/CONMED #9299A,2503
MS-B-000293,BLADE SHAVER 4.2MM STRAIGHT LINVATEC/CONMED #9247A,2599
MS-B-000360,BLADE SHAVER 5.0MMx13CM ARTHREX #AR-8500DS/4010017409,3080
MS-B-000976,BLADE SHAVER AGGRESSIVE RESECTOR FULL RADIUS 4.2 MM TEKNO #1142,2503
MS-B-000914,BLADE SHAVER AGGRESSIVE RESECTOR FULL RADIUS 5.5 MM # TEKNO,4043
MS-B-000917,BLADE SHAVER BURR 5.0MMx13CM OVAL 8FLUTE ARTHREX #AR-8500OBE,2888
MS-B-000974,"BLADE SHAVER BURR,OVAL,SJ,10FLUTE 3.0MMX7CM ARTHREX # AR-7300OBT",2599
MS-B-000921,BLADE SHAVER EXCALIBUR 3.8MM X 13CM #AR-8380EX,37249
MS-B-001178,BLADE SHAVER EXCALIBUR 5.5 MM ARTHREX # AR-8550EX,2842
SMB1014,BLADE SKIN GRAFT KNIFE #HG-215-01-Q/KNI-3680,924
SMB1003,BLADE SURGICAL #10 CARBON STRL,3
SMB1004,BLADE SURGICAL #11 CARBON FEATHER / MARTIN#10-155-11,3
SMB1005,BLADE SURGICAL #15CARBON STLSTER MARTIN#10-155-15/FEATHER,3
SMB1002,BLADE SURGICAL #20 CARBON STER DISP MARTIN #10--155--20,3
MS-B-000785,BLADES KERATOME ANCHOR 2.8MM ANGLED #AB202A,427
MS-B-000990,BLANKET WARMING ADULT FULL BODY PORTEX # SW-2001,982
MS-B-000991,BLANKET WARMING PEDIA FULL BODY PORTEX # SW-2002,982
MS-B-000992,BLANKET WARMING PEDIA UNDERBODY PORTEX # SW¿2009,1271
MS-B-000993,BLANKET WARMING SMALL UPPERBODY PORTEX # SW2010,982
MS-B-000918,BLOCKS ATLANTIC W/GENTAMYCIN HANS BIOMED #ABG¿123,7681
SML1573,BLOOD LINE ARTERIAL +VENOUS F/DILOUGE B.BRAUN#7034628,203
SMI9357,BLOOD LINE ARTERIAL +VENOUS F/FRESINIUS M.E. #BL021032S,203
MS-B-000506,BLOODLINE 5008 SYSTEM FRESENIUS#F00000384,456
MS-B-000945,"BLUNT ELASTIC STAY HOOK SET F/PENILE 5 MM , COLOPLAST # QB3312",2926
MS-B-000413,BOLT 12MM TIPMED #042662,203
MS-B-000496,BOLT CANNULATED LONG TIPMED #043836,1444
MS-B-000434,BOLT CANNULATED MEDIUM ORT-TIPMED# 42693,698
MS-B-001758,BOLT COMORESSION CHM # 3.1941.001,2888
MS-B-001212,BOLT EXPANSION 61MM PROSTHESIS MP RECONSTRUCTION . LINK # 172-947/58,4813
MS-B-000030,BOLT FIXER W/CUT HIPOKRAT #500100910000,3423
MS-B-000432,BOLT SLOTTED ORT-TIPMED# 42709,698
MS-B-000433,BOLTS 30MM ORT-TIPMED# 42686,270
MS-B-000435,BOLTS M6-16MM ORT-TIPMED# 42679,161
MS-B-000324,BONE CANCELLOUS CHIPS 15CC 4-10MM INTEGRA #03-0400-150,9062
MS-B-000658,BONE CEMENT DEPUY CMN 1GM 40G 1/BOX #3315040#,1964
MS-B-000486,BONE CEMENT GENTAFIX 140GR GENTAFIX T040140G,2888
MS-B-000872,BONE CEMENT HI-FATIGUE G1 X 40GM ZIMMER #112114001,2888
MS-B-000437,BONE CEMENT HV-RTM SOFAMOR #C01A,2657
MS-B-001793,"BONE CEMENT ORTHOSAM MED VICSOSTY 3GM, CHM # C040341G",1980
MS-B-000964,"BONE CEMENT REGOBACIN 40 X 1 , BIOMET # 3003940001",1320
MS-B-001660,BONE CEMENT SMARTSTGMV ENDURANCE GENT 40G. JOH. & JOH. # 3105-040 #P3335040,1650
MS-B-000811,BONE CEMENT STANDERD VSCOSITY SYNTHES.,2888
MS-B-000332,BONE CEMENT W/GENTAMICIN # TEK-040140G,2888
MS-B-000724,"BONE GRAFON MAGNIFUSE 1CMX5CM,SOFAMOR#7509215INT",25245
MS-B-001220,BONE GRAFT 10CC PUTTY LIFENET # TPUT10,13328
MS-B-001218,BONE GRAFT 5CC OPTIUM DBM PUTTY . LIFENET # TPUT05,9096
MS-B-001098,BONE GRAFT CANCELLOUS 4-10MM SOFAMOR # PCAN15410,7176
MS-B-000672,BONE GRAFT CHRONOS BLOCK 12.5X10 SYNTHES #710.045S,4457
MS-B-000671,"BONE GRAFT CHRONOS BLOCK 20X20X10,SYNTHES#410.047S",6687
MS-B-000806,BONE GRAFT GENEX 10CC OSTEOCONDUCTION+OSTEOINDUCTION BIOCOMPOSITES #900-010,14850
MS-B-000896,BONE GRAFT GENEX 5CC OSTEOCONDUCTION+OSTEOINDUCTION BIOCOMPOSITES #900-005,11406
MS-B-000801,"BONE GRAFT INFUSE X-SMALL 1.4 CC,SOFAMOR# 7510100",34403
MS-B-000781,BONE GRAFT MAGNIFUSE 1.75X5CM SOFAMOR # 7509145INT,34824
MS-B-000732,"BONE GRAFT MAGNIFUSE OST 10CM,SOFAMOR # 7509141INT",42323
MS-B-001745,BONE GRAFT PUTTY 10CC . LIFENET # T43110INT,14182
MS-B-001843,BONE GRAFT WEDGE IMPLANTCAST # TBS14,6738
MS-B-000719,"BONE GRAFTON OST MAGNIFUSE 1.0X10CM,SOFAMOR#7509211INT",34403
SMH1275,BONE WAX ETHICON #W810 /W30E D+G 8332-00,149
SMY1284,BOTTLE CLEANSING AMERICAN #20337-410,27
80-1745,BOTTLE HUMIDIFIER PLASTIC FOR OXYGEN REGULATOR (SHARP. JAPAN),1309
MS-B-000429,BOTTLE PLASTIC HUMIDIFIER DISPOSABLE,513
MS-B-001127,BOTTOM EXTENDED TIGHTROPE 5X20MM #AR-1589RT,3850
SMC1004,BOWL KIDNEY 25CM #WK/DK200,27
MS-B-000759,BRACE HUMERAL ALL SIZE,2079
SMA3379,BREATHING BAIN CIRCUIT ARMST.#4606/6 4605/6 /INTERSUR.#2115/2116/2105,1040
SMI9719,BREATHING CIRCUIT ANESTHETIC ARMST.#1780/7 (SMI5322),405
MS-B-001094,BREATHING CIRCUIT DISPOSABLE VENTSTAR (N) 180 DRAEGER # MP00333 / MP02607,1232
SMI5320,BREATHING CIRCUIT F/VENTILATOR INTERS. #2034/ SM#581-2000/F&P#RT134,607
SMI5322,"BREATHING SYSTEM ADULT#INTER2010/2154,ARM1780/7(SMI9719)",391
SMA3387,BREATHING SYSTEM PEDIA. AYRES + T PIECE INT.#2121 / ARM. 1606/9 1608/8,742
MS-B-001936,BREATHING TUBE & CHAMBER KIT AIRVO FOR HIGH FLOW NASAL CANNULA DEVICE #900PT501 FISHER & PAYKAL,2182
MS-B-000740,"BRUSH CLEANING 1.25MM,SYNTHES# 319.291",2178
SME1026,BRUSH SCRUB MARTIN #54-100-01,44
SME1391,BRUSH SCRUB WITH IODEN 20ML .,48
MS-B-000381,BUBBLE CPAP INFANT DELIVERY SYSTEM F&P #BC161-10,1584
MS-B-001835,"BUR 3.0 DIAMOND PDS-2DM-30, PRIMADO2 # 1000119712",2848
MS-B-001833,"BUR 3.0 ROUND FLUTED PDS-2CM-30, PRIMADO2 # 1000119715",2848
MS-B-001836,"BUR 5.0 DIAMOND PDS-2DM-50, PRIMADO2 # 1000114984",2848
MS-B-001834,"BUR 5.0 ROUND FLUTED PDS-2CM-50, PRIMADO2 # 1000129707",2349
MS-B-001839,"BUR CRANITOME HANDPIECE PDS-CRA-L, PRIMADO2 # 1000114949",2349
MS-B-001838,"BUR CRANITOME HANDPIECE PDS-CRA-M, PRIMADO2 # 1000115006",2349
MS-B-001837,"BUR CRANITOME HANDPIECE PDS-CRA-P, PRIMADO2 # 1000114948",2349
MS-B-000924,BURR ROUND 8 FLUTE 4.0MM X 13CM #AR-8400RBE,12994
MS-B-000344,BUTTON XO W/CONTINOUS LOOP DEFF.SIZE CONMED.,6933
MS-B-000309,BUTTON XO WITH 15MM CONTINUOUS LOOP LINVATEC #T5015,4548
MS-B-000310,BUTTON XO WITH 20MM CONTINUOUS LOOP LINVATEC #T5020,2599
MS-B-000311,BUTTON XO WITH 25MM CONTINUOUS LOOP LINVATEC #T5025,4548
MS-C-003956,"CABLE CONTROL EN-POWER 196CM,CODMAN #ECB000182-00",3850
MS-C-001749,"CABLE DOUBLE W/INTEGRAL CRIMP, SOFAMOR # 826-011",2580
MS-C-001292,CABLE REUSABLE GROUNDING PAD SKINTACT/ERBE #20194-078,2310
MS-C-001597,"CAGE 6 X 11 X 14 MM ITERBODY , SYNTHES # 403-21406L",7277
MS-C-003988,"CAGE 7 DEGREE 14X12X06MM, PRECISION SPINE USA #37-CL-6406",25988
MS-C-003989,"CAGE 7 DEGREE 14X12X07MM,PRECISION SPINE USA #37-CL-6407",24057
MS-C-004065,"CAGE 7 DEGREE WITH PLATE 16X14X09MM,PRECISION SPIN#37-CL-6409",24057
MS-C-004064,"CAGE 7 DEGREE WITH PLATE 16X14X10MM,PRECISION SPIN#37-CL-6410",24057
MS-C-000682,CAGE CAPSTONE 10X22 #2991022INT,12070
MS-C-003777,"CAGE CENTER PIECE 13X26MM, MEDTRONIC # 9391326",33566
MS-C-001086,CAGE CENTER PIECE TZ 13X22MM SOFAMOR # 9391322,33660
MS-C-000854,CAGE CERVICAL 13 X 14MM #KAG05,10973
MS-C-000710,CAGE CERVICAL 5MM#AR1C51516,14294
MS-C-000778,CAGE CERVICAL 6X14X11MM MEDTRONIC #6272416,8692
