Department,ServiceCode,Service Description,LOS,Type,NPHIES Code (Hyphenated )2, price vip & A,Price 2022 ( B-C-Referral)
Endoscopy,PKEND-0004,Endoscopic Ultasound Linear With Fine Needle Aspirate(Fna),1,PKG,90908-00-11,17150,15435
Endoscopy,PKEND-0003,Endoscopic Ultasound Linear With Fine Needle Biopsy(Fnb),1,PKG,30688-00-00,18150,16335
Endoscopy,PKEND-0002,Endoscopic Ultasound Linear (Diagnostic),1,PKG,30688-00-00,12100,10890
Endoscopy,PKEND-0001,Endoscopic Ultasound Radial (Diagnostic),2,PKG,30688-00-00,12100,10890
Orthopedics,ORT-2033,GUIDED GROWTH EPIPHYSIODESIS (Bilateral),3,PKG,48512-00-02,"48512-00-02
",45000
Orthopedics,ORT-2029,Arthroscopy Ankle Surgical Excision Osteochondral Defect Talus/Tibia W/ Drilling,1,PKG,49700-00-01,10000,9000
Orthopedics,ORT-2028,Total Knee Replacement - Unilateral ( Robotic System ) W/ Prosthesis,2,PKG,49518-00-00,69300,62370
Orthopedics,ORT-2027,Total Hip Replacement - Unilateral ( Robotic System ) W/ Prosthesis,2,PKG,49318-00-00,69300,62370
Orthopedics,ORT-0260,Endoscopic Discectomy,2,PKG,40300-00-00,5161.860000000001,4692.6
Orthopedics,ORT-0143,Failed Metal Removal,1,PKG,99999-99-99,5445,4950
Orthopedics,ORT-0131,Acromioclavicular Joint Recnstruction,3,PKG,48921-00-01,20000,18000
Orthopedics,ORT-0123,Surgical Meniscal Sturing - Arthroscopic,1,PKG,49563-00-01,13285,11956.5
Orthopedics,ORT-0122,With Graft Repair Of Flexor Tendon Of Finger (Direct),1,PKG,46411-00-01,12650,11385
Orthopedics,ORT-0121,Ulnar Nerve Transfer,1,PKG,39321-00-00,11415,10273.5
Orthopedics,ORT-0120,Spine Fusion With Implants/Posterior Fusion Without Stephe Plate,3,PKG,48642-00-00,57055,51349.5
Orthopedics,ORT-0119,Repair Of Ruptured Superficial Ligament Knee Or Ankle,1,PKG,49539-01-01,10145,9130.5
Orthopedics,ORT-0118,Orif Of Pelvis,1,PKG,47486-00-01,19020,17118
Orthopedics,ORT-0117,Orif For Recent & Old Neglected Fracture Dislocation Of Shoulder & Hip Joint,1,PKG,47012-01-01,16485,14836.5
Orthopedics,ORT-0116,One Revision Of Tkr Operation Also Applicable To Knee Replacement + Pro,5,PKG,49527-00-01,50715,45643.5
Orthopedics,ORT-0115,One Repair Of Flexor Tendon Of Finger (Direct),1,PKG,46432-00-01,7610,6849
Orthopedics,ORT-0114,"O.R.I.F. For Commuted Or Mal-United Fracture Of The Femur, Tibia, Humerus",1,PKG,47528-00-01,19020,17118
Orthopedics,ORT-0113,O.R.I.F. & Partial Or Total Excision Of Patella,1,PKG,47060-00-01,12680,11412
Orthopedics,ORT-0112,More Repair Of Flexor Tendon Of Finger (Direct),1,PKG,46432-00-01,11415,10273.5
Orthopedics,ORT-0111,Microscopical Nerve Suture,1,PKG,39300-00-00,19020,17118
Orthopedics,ORT-0110,Lumbar Disc Prolapse- Recurrent,2,PKG,40300-00-00,25360,22824
Orthopedics,ORT-0109,Lumbar / Cervival Disectomy,1,PKG,40333-00-00,19020,17118
Orthopedics,ORT-0108,Laminectormy- Cervival Conclusive-Recurrent,2,PKG,45200-00-00,25360,22824
Orthopedics,ORT-0107,Laminectomy- Laser Conclusive,1,PKG,48654-00-00,22825,20542.5
Orthopedics,ORT-0106,G.A. Bone Swelling Biopsy Without Histopath,1,PKG,50200-00-01,5075,4567.5
Orthopedics,ORT-0103,Excision Of Cervical Rib,1,PKG,48406-12-00,6612.65,6011.5
Orthopedics,ORT-0102,External Fixation Large Bones Implant Returnable + F/Ups,1,PKG,50130-00-01,17755,15979.5
Orthopedics,ORT-0101,Diagnostic Arthroscopy,1,PKG,49557-00-01,9958.3,8962.47
Orthopedics,ORT-0100,Cruciate Ligament Reconstruction Without Prothesis,1,PKG,49539-01-01,15865.36875,14278.831875
Orthopedics,ORT-0096,Congenital Dislocation Of Hip (Chd),1,PKG,47048-00-01,19020,17118
Orthopedics,ORT-0094,"Arthroscopy Washout, Trimming, Removal Of Loose Body",1,PKG,49560-00-01,6340,5706
Orthopedics,ORT-0093,Arthroscopy Minisectomy,1,PKG,49560-03-01,10145,9130.5
Orthopedics,ORT-0091,Bone Grafting,1,PKG,48239-00-00,9317,8470
Orthopedics,ORT-0090,Laminectormy-L-Disectomy Recurrent,1,PKG,40300-00-00,19020,17118
Orthopedics,ORT-0088,Laminectormy-Level 2,2,PKG,90604-00-00,21296,19360
Orthopedics,ORT-0087,Laminectormy-Level 1,2,PKG,90024-00-00,17303,15730
Orthopedics,ORT-0086,Hind Quarter Amputation,2,PKG,44373-00-00,21296,19360
Orthopedics,ORT-0081,Acl Reconstruction Grade Ii ( Complete Tear ),3,PKG,49542-01-01,35000,31500
Orthopedics,ORT-0080,Core Tax Band For Crucial Ligament Reconstruction-Pt/Ip,1,PKG,50127-00-01,16485,14836.5
Orthopedics,ORT-0079,Travera Band For Crucial Ligament Reconstruction-Pt/Ip,1,PKG,49509-01-00,16485,14836.5
Orthopedics,ORT-0078,Digital Nerve Suture,1,PKG,39300-00-00,15215,13693.5
Orthopedics,ORT-0077,Clr W/ Ligament Patella Band + P.T./I.P.,1,PKG,49539-00-01,19020,17118
Orthopedics,ORT-0076,Osteotomy,1,PKG,90569-00-01,11446.6,10406
Orthopedics,ORT-0075,Goterex Band,1,PKG,83700-00-00,19020,17118
Orthopedics,ORT-0074,Tra Vera Band,1,PKG,83700-00-00,15572.7,14157
Orthopedics,ORT-0073,Decomposition Of Spine W/ Arthrodesis,3,PKG,50109-00-01,44380,39942
Orthopedics,ORT-0072,Reduction/Fixation-Spinal Injury + Prosthesis + Pt,3,PKG,47702-00-00,38040,34236
Orthopedics,ORT-0071,Nerve Suture,1,PKG,39300-00-00,19020,17118
Orthopedics,ORT-0070,Arthroplasties,1,PKG,50127-00-01,28749.6,26136
Orthopedics,ORT-0069,Tendon Repair/Tendon Transfer,1,PKG,47954-00-01,7986,7260
Orthopedics,ORT-0068,O.R.I.F. Of Fracture Pelvis,2,PKG,47060-00-01,19020,17118
Orthopedics,ORT-0066,Bone Grafting Big Area,1,PKG,48239-00-00,10655,9589.5
Orthopedics,ORT-0065,Close Reduction Of Dislocated Phalenges,DAY CASE,PKG,48406-12-00,2540,2286
Orthopedics,ORT-0064,Ext. Fixation Application Large Bones Implant Returnable,1,PKG,50130-00-01,15980,14382
Orthopedics,ORT-0063,Capsulotomy Of Finger Joints,1,PKG,90570-00-01,4791.6,4356
Orthopedics,ORT-0062,Svnovectomy (Open),1,PKG,50104-00-01,10145,9130.5
Orthopedics,ORT-0061,Surgery Treat Benigh Tumor Of Bone + Bone Grafting,1,PKG,30241-00-01,11415,10273.5
Orthopedics,ORT-0060,Laser Arthroscopy,1,PKG,50100-00-01,7610,6849
Orthopedics,ORT-0059,Excision Cyst/Bone Swelling & Graft,1,PKG,48239-00-00,13310,12100
Orthopedics,ORT-0058,"Excision Of Malignant Tumors, Bone Graft",2,PKG,31205-00-10,19299.5,17545
Orthopedics,ORT-0057,Major Joints Disarticulation,2,PKG,99999-99-99,22627,20570
Orthopedics,ORT-0056,Congenital Dislocation,1,PKG,50130-00-01,13950,12555
Orthopedics,ORT-0055,Excision Cyst/Bone & Graft,1,PKG,30241-00-01,14641,13310
Orthopedics,ORT-0054,Open Of Recurrent Dislocation Shoulder,1,PKG,47012-00-01,15215,13693.5
Orthopedics,ORT-0052,Arthrodesis (Knee/Hip/Tb),1,PKG,49509-01-00,23958,21780
Orthopedics,ORT-0051,Open Reduction-Fracture Dislocation Of Ankle/Wrist/Bone Graft,1,PKG,50104-00-01,12680,11412
Orthopedics,ORT-0050,"Close Reduction Of Simple (Tibia, Fibula, Radius, Ulna)",DAY CASE,PKG,47546-00-01,6340,5706
Orthopedics,ORT-0049,Menisectomy/Exc Cyst Of Knee Joint,1,PKG,49503-00-00,8651.5,7865
Orthopedics,ORT-0048,Close Reduction-Disclocate Phalanges Ga,DAY CASE,PKG,47036-00-01,1905,1714.5
Orthopedics,ORT-0047,"O.R.I.F For Dislocation Of Ankle, Wrist And Below",1,PKG,49560-03-01,13315,11983.5
Orthopedics,ORT-0046,Close Reduction-Simple Fracture G.A.,DAY CASE,PKG,99999-99-99,1996.5,1815
Orthopedics,ORT-0045,Repair- Amputed Finger G.A. + X-Ray,1,PKG,90604-00-00,3194.4,2904
Orthopedics,ORT-0044,Repair-Rsl Of Knee/ Ankle Ligament,1,PKG,39300-00-00,10648,9680
Orthopedics,ORT-0042,Sequestractomy Of Small Bones,1,PKG,90573-00-01,5190.9,4719
Orthopedics,ORT-0041,Closed / Open Reduction & Internal Fixation W/ Plate,1,PKG,90559-00-00,6975,6277.5
Orthopedics,ORT-0040,Achilles Tendon Length,1,PKG,49821-00-00,6655,6050
Orthopedics,ORT-0039,O.R.I.F. For Recent / Old Neglected Fracture Dislocation Of Shoulder & Hip Joint,1,PKG,90595-00-00,14645,13180.5
Orthopedics,ORT-0038,Carpal Tunnel Syndrome Operation,1,PKG,39331-01-01,3993,3630
Orthopedics,ORT-0036,Close Reduction-Fracture Dislocation,DAY CASE,PKG,99999-99-99,5590.2,5082
Orthopedics,ORT-0035,Open Reduction/Internal Fixation-Fracture Screw Plates,1,PKG,48406-03-01,12680,11412
Orthopedics,ORT-0034,Internal Fixation -Fracture Tibia/Fibula/Radius/Ulna,1,PKG,50200-00-01,12577.95,11434.5
Orthopedics,ORT-0032,Close Reduction-Fracture Radius/Ulna,DAY CASE,PKG,49560-00-01,3327.5,3025
Orthopedics,ORT-0031,Repair Of Raptured Superficial Ligament Knee Or Ankle,1,PKG,49539-01-01,7420,6678
Orthopedics,ORT-0030,Close Reduction-Fracture Tibia,1,PKG,50115-00-00,3327.5,3025
Orthopedics,ORT-0029,Fracture Of Coles,1,PKG,47363-00-01,4658.5,4235
Orthopedics,ORT-0028,Repair Of Ligament,1,PKG,46432-00-01,10062.36,9147.6
Orthopedics,ORT-0027,Removal Of Plates Or Nails + Sr 300 Any Extra Nail Or Plate,1,PKG,47930-00-01,6340,5706
Orthopedics,ORT-0026,Plaster Spica Or Jacket,1,PKG,47708-00-00,3460.6,3146
Orthopedics,ORT-0025,"O.R.I.F. With Screw/ Plates Of Tibia, Fibula Or Ulna",1,PKG,47566-01-01,8880,7992
Orthopedics,ORT-0024,Repair Of Lacerated Wound Not Involving Tendon Or Nerve,DAY CASE,PKG,99999-99-99,3045,2740.5
Orthopedics,ORT-0022,Terminalization Of Finger,DAY CASE,PKG,46465-00-01,2395.8,2178
Orthopedics,ORT-0021,G.A. Bone Swelling Biopsy,1,PKG,47564-00-01,3805,3424.5
Orthopedics,ORT-0020,Tendon Shealth Splitting,1,PKG,47363-00-01,3993,3630
Orthopedics,ORT-0019,G.A. 2 K Wire Removal,DAY CASE,PKG,47708-00-00,3580.5,3222.4500000000003
Orthopedics,ORT-0018,Removal Of Ganglion,1,PKG,30107-00-01,3194.4,2904
Orthopedics,ORT-0017,L.A. 2 K Wire Removal,DAY CASE,PKG,47927-00-01,1270,1143
Orthopedics,ORT-0016,G.A. Mobilization Of Frozen Shoulder,1,PKG,50115-00-00,5075,4567.5
Orthopedics,ORT-0015,Change Pop Under Anesthesia,DAY CASE,PKG,92513-99-00,3194.4,2904
Orthopedics,ORT-0014,Reduction Of Fracture & Dislocation Of Finger & Splintage In Er,DAY CASE,PKG,99999-99-99,1905,1714.5
Orthopedics,ORT-0011,Reduction Of Fracture And Dislocation And P.O.P.,DAY CASE,PKG,96092-00-00,3170,2853
Orthopedics,ORT-0010,Excision Of Olecranon Bursa,1,PKG,47300-00-01,4325.75,3932.5
Orthopedics,ORT-0009,Tendon Release Of Finger/Wrist,1,PKG,46363-00-01,3660.25,3327.5
Orthopedics,ORT-0008,Skin And / Or Skeletal Traction On Thoma Splint Or Bobler Spine,DAY CASE,PKG,90531-00-00,2000,1800
Orthopedics,ORT-0007,Pop Foot Deformity Correction,DAY CASE,PKG,99999-99-99,3194.4,2904
Orthopedics,ORT-0005,Arthodeasis Of The Big Toe,1,PKG,46363-00-01,13200,12000
Orthopedics,ORT-0002,Pop Simple Fracture W/O Displacement,DAY CASE,PKG,96092-00-00,1331,1210
Orthopedics,ORT-0001,Fracture Small Bones Of Hand/ Foot +Pop + Xray,DAY CASE,PKG,99999-99-99,1905,1714.5
OB & GYNE,OBG-0044,Caesarian Delivery -  Recurrent ,1,PKG,16520-00-00,19000,17100
OB & GYNE,OBG-0036,Caesarian Delivery -  Iufd Delivery,1,PKG,16520-05-00,19500,17550
OB & GYNE,OBG-0008,D&C Without Histopath,1,PKG,35640-00-00,2822.4,2540.1600000000003
SURGERY,NEU-0051,Brain Tumour ( 2 Days Icu+ 7 Days Ward) (9 Days).,5,PKG,39718-00-00,43861.2,39475.08
NEUROLOGY,NEU-0048,"Exploration & Decompression, Spinal Canal Structures W/ Internal Fixation",0,PKG,40330-00-00,54369,48932.1
NEUROLOGY,NEU-0047,Exploration & Decompression Spinal Canal Structures W/ Internal Fixation5 Days,0,PKG,40330-00-00,46860,42174
NEUROLOGY,NEU-0045,"Additional Interbody Cages, 1 Day Icu",0,PKG,48648-00-00,37123,33410.700000000004
Neurology ,NEU-0043,With Pedical Screw Fixation ( Two Level ) 1 Day Icu,3,PKG,47732-00-01,140000,126000
Neurology ,NEU-0042,With Pedical Screw Fixation ( One Level ) 1 Day Icu,3,PKG,47732-00-01,100000,90000
SURGERY,NEU-0038,Cervical Discectomy Recurrent (4 Days).,4,PKG,40333-00-00,20052,18046.8
Neurology ,NEU-0029,"Endarterectomy, Carotid Vessel",3,PKG,33500-00-00,35000,31500
NEUROSURGERY,NEU-0005,Ventriculo Venous Or Peritoneal Shunt,3,PKG,40003-02-00,20769.21,18692.289
Radiology ,FMXRAY1702,Embolization Second Series +  Guiding Cathers + Wires + High Flow Catheter + Embolization Material ( Particles Or Liquid ),0,PKG,35321-02-00,33600,30240
Radiology ,FMXRAY1701,Uterine Fibroid Embolization + Guiding Cathers + Wires + High Flow Catheter + Embolization Particles,0,PKG,90451-00-00,50400,45360
Radiology ,FMXRAY1700,Cava Filter Implementation,0,PKG,35330-01-01,17497.81,15907.1
Radiology ,FMXRAY1698,Cerebral Thrombolysis,0,PKG,33800-00-01,128700,115830
Radiology ,FMXRAY1684,Intervention guided cholecystostomy,2,PKG,90908-00-11,90908-00-11,18000
Radiology ,FMXRAY1681,Nm-150 Mci Oral I-131 Radioactive Therapy For Thyroid Cancer (Isolation) -Ablative Dose – Single Session,4 (isolation room),PKG,61473-00-00,85000,76500
Radiology ,fmxray1680,Transjugular Intrahepatic Portosystemic Shunt (Tips) Placement - 4 Days,4,PKG,90334-00-00,10500,9450
Radiology ,FMXRAY1454,Ir. Outside Consultation Visit (Interventional Cons.),1,PKG,83600-01-60,1100,990
Radiology ,FMXRAY1453,Ir. Neuro. Spinal Bone Biopsy,1,PKG,30081-00-00,27500,24750
Radiology ,FMXRAY1452,Ir. Neuro. Vertebroplasty / Kyphoplasty,3,PKG,35400-00-00,77000,69300
Radiology ,FMXRAY1451,"Ir. Neuro. Additional Precipitated Polymer (Onyx, Phil)",DAY CASE,PKG,90223-01-00,22000,19800
Radiology ,FMXRAY1450,Ir. Neuro. Each Additional Coil/Stent,DAY CASE,PKG,99999-99-99,38500,34650
Radiology ,FMXRAY1449,Ir. Neuro. Bleeding Embolization,4 INCLUDING ICU ,PKG,99999-99-99,165000,148500
Radiology ,FMXRAY1448,Ir. Neuro. Spine Avm Embolization,5,PKG,40318-00-00,165000,148500
Radiology ,FMXRAY1447,Ir. Neuro. Tumor Embolization,5,PKG,35321-10-00,165000,148500
Radiology ,FMXRAY1446,Ir. Neuro. Avm Embolization (1 Session),4 INCLUDING ICU ,PKG,35412-00-00,114950,104500
Radiology ,FMXRAY1445,Ir. Neuro. Carotid/Vertebral Angioplasty,2,PKG,35303-06-00,49500,44550
Radiology ,FMXRAY1444,Ir. Neuro. Carotid/Vertebral Angioplasty+Stenting,2,PKG,35307-00-00,66000,59400
Radiology ,FMXRAY1443,Ir. Neuro. Brain Aneurysm Flow Diverter,5,PKG,35309-06-00,108900,99000
Radiology ,FMXRAY1442,Ir. Neuro. Intracranial Aneurysm Coiling (5 Coils),5,PKG,35321-02-00,74778,67980
Radiology ,FMXRAY1441,Ir. Neuro. Intracranial Aneurysm Coiling (2 Coils),5,PKG,35412-00-00,132000,118800
Radiology ,FMXRAY1440,Ir. Neuro. Intracranial Angioplasty + Stenting,2,PKG,35309-06-00,99000,89100
Radiology ,FMXRAY1439,Ir. Neuro. Intracranial Angioplasty,2,PKG,35303-06-00,55000,49500
Radiology ,FMXRAY1438,Ir. Neuro. Acute Stroke Thrombectomy,4 INCLUDING ICU ,PKG,90230-00-00,132000,118800
Radiology ,FMXRAY1437,Ir. Neuro. Diagnostic Cerebral Angiogram,DAY CASE,PKG,59970-02-00,38500,34650
Radiology ,FMXRAY1436,Ir. Hepatic Maping,1,PKG,83700-00-00,49500,44550
Radiology ,FMXRAY1435,Ir. Tumor Radio-Embolization,4,PKG,35321-10-00,176000,158400
Radiology ,FMXRAY1434,Ir. Pulmonary Catheter Directed Thrombolysis,3 INCLUDING ICU ,PKG,35321-04-00,71500,64350
Radiology ,FMXRAY1433,Ir. Pulmonary Mechanical Thrombectomy,3 INCLUDING ICU ,PKG,90230-00-00,71500,64350
Radiology ,FMXRAY1432,Ir. Arthogram,DAY CASE,PKG,59751-00-00,2750,2475
Radiology ,FMXRAY1431,Ir. Myelogram,1,PKG,59724-00-00,22000,19800
Radiology ,FMXRAY1430,Ir. Us Guided Injection,DAY CASE,PKG,90908-00-11,1100,990
Radiology ,FMXRAY1429,Ir. Flouro Guided Injection,DAY CASE,PKG,60503-00-11,1100,990
Radiology ,FMXRAY1428,Ir. Retreival (Other),1,PKG,99999-99-92,16500,14850
Radiology ,FMXRAY1427,Ir. Ivc Filter Removal Or Retrieval,1,PKG,35331-00-01,18700,16830
Radiology ,FMXRAY1426,Ir. Ivc Filter Implementation,1,PKG,35330-00-01,24200,21780
Radiology ,FMXRAY1425,Ir. Full Package Ul Or Ll Sclerotherapy (Bilateral),DAY CASE,PKG,32500-00-02,7700,6930
Radiology ,FMXRAY1424,Ir. Full Package Ul Or Ll Sclerotherapy (Unilateral),DAY CASE,PKG,32500-00-01,5500,4950
Radiology ,FMXRAY1423,Ir. Fallopian Tubes Recanalization,1,PKG,59712-00-00,16500,14850
Radiology ,FMXRAY1422,Ir. Us Guided Rfa Tumor (Soft Tissue),1,PKG,90908-00-11,38500,34650
Radiology ,FMXRAY1421,Ir. Ct Guided Rfa Tumor (Bone),2,PKG,99999-99-92,33000,29700
Radiology ,FMXRAY1420,Ir. Chemoembolization,2,PKG,35321-10-00,33000,29700
Radiology ,FMXRAY1419,Ir. Transrectal Prostatic Biopsy (Trus Biopsy),DAY CASE,PKG,32099-00-00,4950,4455
Radiology ,FMXRAY1418,Ir. Bone Biopsy (Limbes),1,PKG,30081-00-00,16500,14850
Radiology ,FMXRAY1417,Ir. Ct Guided Aspiration,1,PKG,99999-99-92,4400,3960
Radiology ,FMXRAY1416,Ir. Ct Guided Drainage,1,PKG,99999-99-92,6050,5445
Radiology ,FMXRAY1415,Ir. Ct Guided Biopsy,DAY CASE,PKG,90908-00-11,1194.27,1085.7
Radiology ,FMXRAY1414,Ir. Us Guided Fna,DAY CASE,PKG,90908-00-11,3850,3465
Radiology ,FMXRAY1413,Ir. Us Guided Dranage Catheter Exchange,DAY CASE,PKG,90908-00-11,3850,3465
Radiology ,FMXRAY1412,Ir. Us Guided Drainage,DAY CASE,PKG,90908-00-11,5500,4950
Radiology ,FMXRAY1411,Ir. Us Guided Biopsy (Soft Tissue),1,PKG,83620-00-00,5500,4950
Radiology ,FMXRAY1410,Ir. Pain Block-Bilateral,DAY CASE,PKG,92512-99-02,7700,6930
Radiology ,FMXRAY1409,Ir. Pain Block-Unilateral,DAY CASE,PKG,92512-99-01,5500,4950
Radiology ,FMXRAY1408,Ir. Nerve Root Injection Or Aspiration,DAY CASE,PKG,60503-00-11,4400,3960
Radiology ,FMXRAY1407,Ir. Splenic Artery Embolization,2,PKG,35303-06-00,55000,49500
Radiology ,FMXRAY1406,Ir. Uterine Artery Embolization (Uae),1,PKG,35303-06-00,38500,34650
Radiology ,FMXRAY1405,Ir. Varicocele Embolization/Coiling (Bilateral),1,PKG,35321-07-02,30800,27720
Radiology ,FMXRAY1404,Ir. Varicocele Embolization/Coiling (Unilateral),1,PKG,35321-07-01,25300,22770
Radiology ,FMXRAY1403,Ir. Prostatic Artery Embolization (Pae),2,PKG,35321-06-00,55000,49500
Radiology ,FMXRAY1402,Ir. Veriscose Vein Ablation (Two Limbs),1,PKG,32520-00-00,22000,19800
Radiology ,FMXRAY1401,Ir. Veriscose Vein Ablation (One Limb),1,PKG,32520-00-00,16500,14850
Radiology ,FMXRAY1400,Ir. Additional Coil / Balloon,DAY CASE,PKG,35321-10-00,5500,4950
Radiology ,FMXRAY1399,Ir. Additional Stent,DAY CASE,PKG,35321-10-00,16500,14850
Radiology ,FMXRAY1398,Ir. Additional Liquid Embolics (Cyanoacrylates) & Pva,1,PKG,90223-01-00,11000,9900
Radiology ,FMXRAY1397,Ir. Gi Stenting,1,PKG,30452-01-00,15400,13860
