Department,ServiceCode,Service Description (Unified),Type,NPHIES Code (Hyphenated )2,LOS,Column7,Class A ,VIP,Comment
Dental,FMDNT-3000,Incision & Drainage Under La (Minor),PKG,30223-02-10,0.0,1200.0,1200.0,1200.0,Service to PKG
Dental,FMDNT-3001,Incision & Drainage Under La (Complicated),PKG,45054-00-00,0.0,2500.0,2500.0,2500.0,Service to PKG
Dental & Maxillofacial,FMDNTC0006,Closure Of Accidental Opening  Of Max. Sinus (Small),PKG,41722-00-01,0.0,3325.0,3325.0,3325.0,Service to PKG
Dental & Maxillofacial,FMDNTC0020,Removal Of Tores Palatinus Sml,PKG,45825-00-00,0.0,3000.0,3000.0,3000.0,Service to PKG
Dental & Maxillofacial,FMDNTC0030,Enucleation Of Mucocele,PKG,30283-00-00,0.0,2000.0,2000.0,2000.0,Service to PKG
Endoscopy,FSSUR-0002,Proctoscopy,Service,32075-00-00,0.0,167.0,167.0,167.0,current Price
ENT,fment-0102,Repeated Ear Dressing For Otitis Externa Each,Service,30055-00-00,0.0,72.0,72.0,72.0,current Price
ENT,fment-0103,Vestibular Abscess Drainage,Service,92514-99-00,0.0,285.0,285.0,285.0,current Price
ENT,fment-0503,Myringotomy With Grommet (U.G.A.) / Bilateral,PKG,41632-01-00,0.0,4700.0,4700.0,4700.0,current Price
ENT,FMENT-3118,Nasal Biopsy,PKG,41761-00-00,0.0,2181.0,2181.0,2181.0,current Price
ENT,FMENT-3120,Oro-Antral Fistula Repair,PKG,41722-00-01,0.0,7916.0,7916.0,7916.0,current Price
ENT,FMENT-3125,Examination Under General Anesthesia,PKG,96037-00-00,0.0,1212.0,1212.0,1212.0,current Price
ENT,FMENT-3133,Larynx Laser Surgery,PKG,90160-00-00,0.0,6861.0,6861.0,6861.0,current Price
ENT,FMENT-3134,Adenoidectomy,PKG,41801-00-00,0.0,2084.0,2084.0,2084.0,current Price
ENT,FMENT-3136,Tonsillectomy,PKG,41789-00-00,0.0,3731.0,3731.0,3731.0,current Price
ENT,FMENT-3139,Esophagoscopy,PKG,30473-03-00,0.0,2811.0,2811.0,2811.0,current Price
ENT,FMENT-3143,Tracheostomy,PKG,41881-00-00,0.0,11514.0,11514.0,11514.0,current Price
ENT,FMENT-3150,Cleft Palate Repair,PKG,45710-00-00,0.0,11514.0,11514.0,11514.0,current Price
NEUROSURGERY,FMNEU-3297,Craniotomy And Elevation Of Depressed Skull Fracture,PKG,39609-01-00,3.0,23417.5,23417.5,23417.5,current Price
ENT,FMENT-3158,Myringoplasty,PKG,41530-00-01,0.0,8156.0,8156.0,8156.0,current Price
ENT,FMENT-3160,Radical Mastoidectomy,PKG,41557-01-01,0.0,13433.0,13433.0,13433.0,current Price
ENT,FMENT-3162,Endolymphatic Shunt,PKG,90281-00-00,0.0,12954.0,12954.0,12954.0,current Price
ENT,FMENT-3163,Labyrinthectomy,PKG,41572-00-01,0.0,12474.0,12474.0,12474.0,current Price
ENT,FMENT-3165,Facial Nerve Surgery,PKG,41569-00-00,0.0,13433.0,13433.0,13433.0,current Price
ENT,FMENT-3166,Ossiculoplasty,PKG,41539-00-01,0.0,11035.0,11035.0,11035.0,current Price
ENT,FMENT-3169,Laser Ear Surgery,PKG,90111-00-01,0.0,9452.0,9452.0,9452.0,current Price
ENT,FMENT-3176,Exploratory Tympanotomy,PKG,41629-00-01,0.0,8636.0,8636.0,8636.0,current Price
ENT,FMENT-3179,Cortical Mastoidectomy,PKG,41545-00-01,0.0,3150.0,3150.0,3150.0,current Price
ENT,FMENT-3181,Partial Laryngectomy,PKG,41840-00-00,0.0,17271.0,17271.0,17271.0,current Price
ENT,FMENT-3184,Total Parotidectomy,PKG,30247-00-00,0.0,23028.0,23028.0,23028.0,current Price
ENT,FMENT-3186,Branchial Fistulectomy,PKG,30289-00-00,0.0,23028.0,23028.0,23028.0,current Price
ENT,FMENTE0005,Tympanometry,Service,11324-00-01,0.0,95.0,95.0,95.0,current Price
ENT,FMENTN2045,Septoplasty,PKG,45638-00-00,0.0,5997.0,5997.0,5997.0,current Price
Internal Medicine,FMENDA0001,Bronchoscopy,PKG,41889-05-01,0.0,5278.0,5278.0,5278.0,current Price
INTERNAL MEDICINE,fmint-2001,Rt Transport Per Hour,Service,99999-99-99,0.0,119.0,119.0,119.0,current Price
INTERNAL MEDICINE,fmint-2002,Small Volume Nebulizer And Incentive Spirometer,Service,92043-00-00,0.0,38.0,38.0,38.0,current Price
LABORATORY,EXOBG-0016,C & S Skin,Service,73050-41-30,0.0,129.0,129.0,129.0,current Price
LABORATORY,FMLAB-1012,Activated Clotting Time,Service,73100-05-00,0.0,38.0,38.0,38.0,current Price
LABORATORY,FMLAB10137,Nt-Pro-Bnp,Service,73050-25-30,0.0,428.0,428.0,428.0,current Price
LABORATORY,FMLAB-1016,Bleeding Time,Service,73100-00-00,0.0,38.0,38.0,38.0,current Price
LABORATORY,FMLAB-1025,Factor V,Service,73100-02-40,0.0,219.0,219.0,219.0,current Price
LABORATORY,FMLAB-1026,Factor Vii,Service,73100-02-50,0.0,219.0,219.0,219.0,current Price
LABORATORY,FMLAB10269,Kappa Light Chains,Service,99999-99-99,0.0,428.0,428.0,428.0,current Price
LABORATORY,FMLAB-1027,Factor Viii,Service,73100-02-70,0.0,475.0,475.0,475.0,current Price
LABORATORY,FMLAB-1030,Factor Xi,Service,73100-03-30,0.0,219.0,219.0,219.0,current Price
LABORATORY,FMLAB-1036,Venesection,Service,13757-00-00,0.0,143.0,143.0,143.0,current Price
LABORATORY,FMLAB-1042,Fibrinogen,Service,73100-05-80,0.0,238.0,238.0,238.0,current Price
LABORATORY,FMLAB-1044,Hemoglobin,Service,73050-18-00,0.0,34.0,34.0,34.0,current Price
LABORATORY,FMLAB-1058,Platelet Count,Service,73100-01-60,0.0,34.0,34.0,34.0,current Price
LABORATORY,FMLAB-1064,Protein S Activity,Service,73100-04-30,0.0,618.0,618.0,618.0,current Price
LABORATORY,FMLAB-1066,Reticulocyte Count,Service,73100-01-30,0.0,34.0,34.0,34.0,current Price
LABORATORY,FMLAB-1084,D-Dimer,Service,73100-05-50,0.0,238.0,238.0,238.0,current Price
LABORATORY,fmlab-1301,Adeno Virus ( Stool),Service,73050-45-50,0.0,62.0,62.0,62.0,current Price
LABORATORY,fmlab-1302,Anti-Hbs Quantitative With Titre,Service,73100-23-80,0.0,238.0,238.0,238.0,current Price
LABORATORY,fmlab-1303,Blood Culture,Service,73050-40-00,0.0,153.0,153.0,153.0,current Price
LABORATORY,fmlab-1304,Cardiolipen Antibodies,Service,73100-11-70,0.0,594.0,594.0,594.0,current Price
LABORATORY,fmlab-1305,Gestational Diabetes Confirmation (Ogtt / 100 Grs) Four Tests,Service,66542-00-20,0.0,333.0,333.0,333.0,current Price
LABORATORY,fmlab-1306,Gestational Diabetes Screening (Ogtt / 50 Grs) One Test,Service,66542-00-20,0.0,119.0,119.0,119.0,current Price
LABORATORY,fmlab-1308,Nasal Swab For Mrsa And S. Aureus By Pcr,Service,99999-99-99,0.0,475.0,475.0,475.0,current Price
LABORATORY,fmlab-1309,Treponemal Pallidum Antibodies,Service,73100-18-80,0.0,361.0,361.0,361.0,current Price
LABORATORY,fmlab-1310,Folate ( Red Cell ),Service,73050-13-50,0.0,570.0,570.0,570.0,current Price
LABORATORY,fmlab-1311,Rpr For Syphilis,Service,73100-18-80,0.0,90.0,90.0,90.0,current Price
LABORATORY,fmlab-1320,Activated Protien C Resistance,Service,73100-04-20,0.0,580.0,580.0,580.0,current Price
LABORATORY,fmlab-1325,Biotin (Vitamin H),Service,73050-38-70,0.0,352.0,352.0,352.0,current Price
LABORATORY,fmlab-1326,Catecholamines(Blood),Service,73050-07-00,0.0,1045.0,1045.0,1045.0,current Price
LABORATORY,fmlab-1328,Cystatin C,Service,73050-10-60,0.0,200.0,200.0,200.0,current Price
LABORATORY,fmlab-1329,Cyto.Bf. Pelvic Fluid,Service,73200-00-00,0.0,357.0,357.0,357.0,current Price
LABORATORY,fmlab-1330,Cyto.Bf. Peritoneal Fluid,Service,73200-00-00,0.0,357.0,357.0,357.0,current Price
LABORATORY,fmlab-1334,Igg4,Service,73050-14-30,0.0,760.0,760.0,760.0,current Price
LABORATORY,fmlab-1335,Influenza A,Service,73050-52-60,0.0,105.0,105.0,105.0,current Price
LABORATORY,fmlab-1336,Interleukin 6,Service,73350-06-00,0.0,703.0,703.0,703.0,current Price
LABORATORY,fmlab-1337,Ki-67 (Mib-1),Service,99999-99-99,0.0,428.0,428.0,428.0,current Price
LABORATORY,fmlab-1338,"Magnesium, 24 Hours Urine",Service,73050-24-00,0.0,190.0,190.0,190.0,current Price
LABORATORY,fmlab-1340,Ribosomal Abs,Service,73100-09-80,0.0,537.0,537.0,537.0,current Price
LABORATORY,fmlab-1342,Brca I & Ii (Breast Cancer I & Ii),Service,73350-00-50,0.0,21375.0,21375.0,21375.0,current Price
LABORATORY,fmlab-1343,C & S Umbilical,Service,73050-40-90,0.0,129.0,129.0,129.0,current Price
LABORATORY,FMLAB-1588,Levetirazetam,Service,73300-01-70,0.0,423.0,423.0,423.0,current Price
LABORATORY,FMLAB-1781,Presepsin,Service,73050-39-70,0.0,333.0,333.0,333.0,current Price
LABORATORY,FMLAB-2003,Albumin,Service,73050-00-80,0.0,68.0,68.0,68.0,current Price
LABORATORY,FMLAB-2005,Alkaline Phosphatase,Service,73100-07-70,0.0,57.0,57.0,57.0,current Price
LABORATORY,FMLAB-2024,Creatinine Clearance,Service,73050-10-00,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-2034,Hemoglobin Electrophoresis,Service,73050-18-00,0.0,238.0,238.0,238.0,current Price
LABORATORY,FMLAB-2035,Lipoprotein Electrophoresis,Service,73050-23-30,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-2036,Fructosamine,Service,73050-16-80,0.0,475.0,475.0,475.0,current Price
LABORATORY,FMLAB-2055,Lipase,Service,73050-23-00,0.0,95.0,95.0,95.0,current Price
LABORATORY,FMLAB-2056,Magnesium (Serum),Service,73050-24-00,0.0,76.0,76.0,76.0,current Price
LABORATORY,FMLAB-2057,Microalbuminuria,Service,73050-00-90,0.0,124.0,124.0,124.0,current Price
LABORATORY,FMLAB-2065,Sgpt (Alt),Service,73050-36-00,0.0,68.0,68.0,68.0,current Price
LABORATORY,FMLAB-2072,Triglycerides,Service,73050-36-20,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-3006,Ca 15-3,Service,73100-13-80,0.0,461.0,461.0,461.0,current Price
LABORATORY,FMLAB-3007,Ca 19-9,Service,73100-13-90,0.0,518.0,518.0,518.0,current Price
LABORATORY,FMLAB-3008,Ca 72-4,Service,73100-13-70,0.0,461.0,461.0,461.0,current Price
LABORATORY,FMLAB-3016,Beta Hcg,Service,73000-01-70,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-3020,Progesterone,Service,73050-29-70,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-3045,LEPTIN,Service,73300-05-60,0.0,509.0,509.0,509.0,current Price
LABORATORY,fmlab-3071,Immunoglobulin D (Igd),Service,73050-61-60,0.0,304.0,304.0,304.0,current Price
LABORATORY,FMLAB-4004,Barbiturates,Service,73300-06-60,0.0,238.0,238.0,238.0,current Price
LABORATORY,FMLAB-4009,Cocaine,Service,73300-07-40,0.0,238.0,238.0,238.0,current Price
LABORATORY,FMLAB-4013,Lithium,Service,73300-01-80,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-4014,Opiates,Service,73300-08-20,0.0,238.0,238.0,238.0,current Price
LABORATORY,FMLAB-5014,Anti-Hav Igm,Service,73100-24-10,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-5030,Hbe Ag,Service,73050-49-10,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-5053,Tpha,Service,73100-18-80,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-6014,Semen Analysis,Service,73400-03-30,0.0,114.0,114.0,114.0,current Price
LABORATORY,FMLAB-6265,Chlamydia Antigen Detection Test,Service,73050-61-60,0.0,238.0,238.0,238.0,current Price
LABORATORY,FMLAB-9005,Acth,Service,73050-00-50,0.0,618.0,618.0,618.0,current Price
LABORATORY,FMLAB-9007,Aldolase,Service,73050-01-30,0.0,214.0,214.0,214.0,current Price
LABORATORY,FMLAB-9027,Calcitonin,Service,73050-05-40,0.0,547.0,547.0,547.0,current Price
LABORATORY,FMLAB-9031,Carotene,Service,73050-06-90,0.0,442.0,442.0,442.0,current Price
LABORATORY,FMLAB-9042,Citrate,Service,73050-08-60,0.0,224.0,224.0,224.0,current Price
LABORATORY,FMLAB-9054,DNA POLYMERASE,Service,73050-03-20,0.0,794.0,794.0,794.0,current Price
LABORATORY,FMLAB-9066,Gastrin,Service,73050-15-10,0.0,395.0,395.0,395.0,current Price
LABORATORY,FMLAB-9069,Gonococcal Abs,Service,73100-19-20,0.0,209.0,209.0,209.0,current Price
LABORATORY,FMLAB-9071,Haptoglobin,Service,73050-17-40,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-9103,OSTEOCALCIN,Service,97044-00-00,0.0,475.0,475.0,475.0,current Price
LABORATORY,FMLAB-9123,SKIN PRICK TEST,Service,73050-39-70,0.0,309.0,309.0,309.0,current Price
LABORATORY,FMLAB-9133,Transferrin,Service,73050-36-10,0.0,300.0,300.0,300.0,current Price
LABORATORY,FMLAB-9140,Vitamin C (Ascorbic Acid),Service,73050-03-80,0.0,689.0,689.0,689.0,current Price
LABORATORY,FMLAB-9154,Ionized Calcium,Service,73050-05-40,0.0,238.0,238.0,238.0,current Price
LABORATORY,FMLAB-9160,Anti Centromere Abs,Service,73250-00-20,0.0,219.0,219.0,219.0,current Price
LABORATORY,FMLAB-9169,Apolipoprotein A1,Service,73050-03-60,0.0,114.0,114.0,114.0,current Price
LABORATORY,FMLAB-9190,Vitamin A (Retinol),Service,73050-38-60,0.0,247.0,247.0,247.0,current Price
LABORATORY,FMLAB-9202,Leptospira Abs,Service,73100-24-50,0.0,713.0,713.0,713.0,current Price
LABORATORY,FMLAB-9205,Pyruvate Kinase,Service,73050-31-80,0.0,124.0,124.0,124.0,current Price
LABORATORY,FMLAB-9208,PLASMINOGEN,Service,73200-06-30,0.0,390.0,390.0,390.0,current Price
LABORATORY,FMLAB-9283,Centromere Abs,Service,73250-00-20,0.0,285.0,285.0,285.0,current Price
LABORATORY,FMLAB-9297,Adenosine Deaminase,Service,73050-00-60,0.0,1668.0,1668.0,1668.0,current Price
LABORATORY,FMLAB-9341,Adrenal Cortex Abs,Service,73250-00-20,0.0,309.0,309.0,309.0,current Price
LABORATORY,FMLAB-9359,Amyloid A,Service,73050-23-11,0.0,399.0,399.0,399.0,current Price
LABORATORY,FMLAB-9361,Androstendione,Service,73050-03-20,0.0,490.0,490.0,490.0,current Price
LABORATORY,FMLAB-9365,Anti Jo-1,Service,73100-10-80,0.0,325.0,325.0,325.0,current Price
LABORATORY,FMLAB-9403,CA 50,Service,73200-05-30,0.0,390.0,390.0,390.0,current Price
LABORATORY,FMLAB-9433,Clostridium Difficile Toxin,Service,73050-59-70,0.0,309.0,309.0,309.0,current Price
LABORATORY,FMLAB-9454,Cytomegalo Virus Igg,Service,73100-20-70,0.0,247.0,247.0,247.0,current Price
LABORATORY,FMLAB-9482,Factor Ii,Service,73100-02-30,0.0,219.0,219.0,219.0,current Price
LABORATORY,FMLAB-9527,Histone Abs,Service,73100-10-70,0.0,561.0,561.0,561.0,current Price
LABORATORY,FMLAB-9542,Igf 1,Service,73050-17-10,0.0,784.0,784.0,784.0,current Price
LABORATORY,FMLAB-9552,Intrinsic Factor Abs,Service,73050-21-00,0.0,380.0,380.0,380.0,current Price
LABORATORY,FMLAB-9572,Lipoprotein A,Service,73050-23-10,0.0,238.0,238.0,238.0,current Price
LABORATORY,FMLAB-9580,CREATINE,Service,73100-12-40,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-9607,Myeloperoxidase Abs (Mpo),Service,73050-25-20,0.0,352.0,352.0,352.0,current Price
LABORATORY,FMLAB-9628,Pancreatic Elastase (Faeces),Service,73050-11-40,0.0,475.0,475.0,475.0,current Price
LABORATORY,FMLAB-9644,PHENOL,Service,73100-18-90,0.0,490.0,490.0,490.0,current Price
LABORATORY,FMLAB-9662,PREGNANDIOL,Service,73100-01-10,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-9694,Pth Intact,Service,73050-26-70,0.0,585.0,585.0,585.0,current Price
LABORATORY,FMLAB-9706,RICKETTSIA ABS,Service,73250-02-10,0.0,684.0,684.0,684.0,current Price
LABORATORY,FMLAB-9715,Scl 70 Abs,Service,73250-00-20,0.0,333.0,333.0,333.0,current Price
LABORATORY,FMLAB-9716,Selenium,Service,73050-32-60,0.0,390.0,390.0,390.0,current Price
LABORATORY,FMLAB-9717,Shigella Abs,Service,73100-26-30,0.0,380.0,380.0,380.0,current Price
LABORATORY,FMLAB-9750,Thyroid Microsomal Abs,Service,73100-17-20,0.0,114.0,114.0,114.0,current Price
LABORATORY,FMLAB-9779,Vitamin K1,Service,73050-38-80,0.0,437.0,437.0,437.0,current Price
LABORATORY,FMLAB-9850,Brain Natriuretic Peptide,Service,73050-25-30,0.0,760.0,760.0,760.0,current Price
LABORATORY,FMLAB-9886,Peripheral Smear,Service,73100-00-30,0.0,62.0,62.0,62.0,current Price
LABORATORY,FMLAB-9911,Urea Breath Test,Service,73050-17-60,0.0,642.0,642.0,642.0,current Price
LABORATORY,FMLAB-9986,Heparin Induced Thrombocytophenia,Service,73100-07-30,0.0,751.0,751.0,751.0,current Price
LABORATORY,FMLAB-9998,Tryptase,Service,73050-20-60,0.0,547.0,547.0,547.0,current Price
LABORATORY,FMLAB-9999,Chromogranin A,Service,73100-14-50,0.0,547.0,547.0,547.0,current Price
LABORATORY,FMLABH0001,Factor Xiii,Service,73100-03-50,0.0,917.0,917.0,917.0,current Price
LABORATORY,FMLABM0142,TRYPSIN,Service,73050-40-90,0.0,404.0,404.0,404.0,current Price
Medication,fmvas-0093,Tpn Administration,Service,96098-00-00,0.0,143.0,143.0,143.0,current Price
NEUROLOGY,fmneu-1017,Somato Sensory Evoked Potential - Both Upper Or Lower Limb,Service,96112-00-00,0.0,1045.0,1045.0,1045.0,current Price
neurology,FMNEU-3769,Spinal Cord Stimulation (excluding implants),PKG,39138-00-00,0.0,32623.0,32623.0,32623.0,current Price
NEUROLOGY,FMNUM-0032,Visual Evoked Potential,Service,92015-00-01,0.0,760.0,760.0,760.0,current Price
Neurology,FMNUR-0088,Infusion Syringe Pump,Service,96199-19-00,0.0,238.0,238.0,238.0,current Price
Neurology ,7112009,F-Relfex - Each Nerve,Service,96052-00-01,0.0,333.0,333.0,333.0,current Price
NEUROSURGERY,FMNEU-3299,Arnold Chiari Decompression Craniectomy,PKG,40106-01-00,0.0,26647.5,26647.5,26647.5,current Price
NEUROSURGERY,FMNEU-3332,Excision Of Skull Vault Tumour,PKG,39330-00-00,0.0,18572.5,18572.5,18572.5,current Price
NEUROSURGERY,FMNEU-3306,Craniotomy And Exesion Of Deep Sealed / Skull Base Brain Tumor,PKG,40600-03-00,0.0,79458.0,79458.0,79458.0,current Price
NEUROSURGERY,FMNEU-3308,Ventriculo-Peritoneal Shunt Insertion,PKG,40003-02-00,0.0,14877.0,14877.0,14877.0,current Price
NEUROSURGERY,FMNEU-3328,Craniotomy And Excision Of Foramen Mangum Tumour,PKG,39640-00-00,0.0,80750.0,80750.0,80750.0,current Price
NEUROSURGERY,FMNEU-3329,Craniotomy And Evacuation Of Acute Subdural Hematoma,PKG,39640-00-00,0.0,29925.0,29925.0,29925.0,current Price
NEUROSURGERY,FMNEU-3330,Excision Of Scalp Swelling Or Tumour,PKG,39703-01-00,0.0,9990.199999999999,9990.2,9990.2,current Price
NEUROSURGERY,FMNEU-3331,Repair Of Scalp Injury Under General Anaesthesia,PKG,30026-00-10,0.0,11704.0,11704.0,11704.0,current Price
NEUROSURGERY,FMNEU-3336,Craniotomy And Evacuation Of Extradural Hematoma,PKG,90007-00-00,0.0,25032.5,25032.5,25032.5,current Price
NEUROSURGERY,FMNEU-3333,Repair Of Simple Skull Fracture,PKG,39606-01-00,0.0,18976.25,18976.25,18976.25,current Price
NEUROSURGERY,FMNEU-3369,Endoscopic Evacuation Of Intracerebral Hematoma,PKG,30223-00-00,0.0,41258.5,41258.5,41258.5,current Price
NEUROSURGERY,FMNEU-3335,Repair Of Skull Fracture With Damaged Brain Tissue,PKG,90007-00-00,0.0,29070.0,29070.0,29070.0,current Price
NEUROSURGERY,FMNEU-3387,Craniotomy Excision Of Deep Cerebral Tumour,PKG,90007-02-00,0.0,61721.5,61721.5,61721.5,current Price
NEUROSURGERY,FMNEU-3337,Craniotomy And Evacuation Of Intracerebral Hematoma,PKG,90007-00-00,0.0,31635.0,31635.0,31635.0,current Price
NEUROSURGERY,FMNEU-3340,Endoscopic Evacuation Of Acute Subdural Hematoma,PKG,90007-00-00,0.0,31635.0,31635.0,31635.0,current Price
NEUROSURGERY,FMNEU-3341,Endoscopic Evacuation Of Chronic Subdural Collection – Unilateral,PKG,90007-00-00,0.0,29070.0,29070.0,29070.0,current Price
NEUROSURGERY,FMNEU-3433,Excision Of Skull Vault Encephalocele,PKG,90007-01-00,0.0,29497.5,29497.5,29497.5,current Price
NEUROSURGERY,FMNEU-3467,Removal Of Occipital Nerve Stimulator (Ons) – Extension Electrodes,PKG,90016-01-00,0.0,20187.5,20187.5,20187.5,current Price
NEUROSURGERY,FMNEU-3360,Cranioplasty,PKG,40600-03-00,0.0,29925.0,29925.0,29925.0,current Price
NEUROSURGERY,FMNEU-3468,Removal Of Occipital Nerve Stimulator (Ons) Electrodes,PKG,90016-01-00,0.0,20187.5,20187.5,20187.5,current Price
NEUROSURGERY,FMNEU-3379,Craniotomy And Biopsy Of Brain Tumour,PKG,90007-00-00,0.0,25840.0,25840.0,25840.0,current Price
NEUROSURGERY,FMNEU-3471,Removal Of Spinal Cord Stimulator (Scs) Electrodes,PKG,90011-01-00,0.0,20187.5,20187.5,20187.5,current Price
NEUROSURGERY,FMNEU-3388,Craniotomy Excision Of Parasagittal Tumour,PKG,90007-02-00,0.0,62567.0,62567.0,62567.0,current Price
NEUROSURGERY,FMNEU-3389,Craniotomy Excision Of Skull Base Tumour,PKG,99999-99-99,0.0,72586.175,72586.18,72586.18,current Price
NEUROSURGERY,FMNEU-3393,Endoscopic Excision Of Intra-Ventricular Tumour,PKG,39712-03-00,0.0,62567.0,62567.0,62567.0,current Price
NEUROSURGERY,FMNEU-3401,Endovascular Intervention For Cerebro-Vascular Lesion,PKG,99999-99-99,0.0,63835.25,63835.25,63835.25,current Price
NEUROSURGERY,FMNEU-3473,Removal Of Vagus Nerve Stimulator (Vns) – Extension Electrodes,PKG,90016-01-00,0.0,20187.5,20187.5,20187.5,current Price
NEUROSURGERY,FMNEU-3422,Endoscopic Management Of Hydrocephalus,PKG,90007-01-00,0.0,37202.0,37202.0,37202.0,current Price
NEUROSURGERY,FMNEU-3500,Posterior Cervical Nerve Root Decompression – One Nerve Root,PKG,40331-00-00,0.0,31207.5,31207.5,31207.5,current Price
NEUROSURGERY,FMNEU-3435,Simple Skull Osteotomy For Craniosynostois,PKG,90569-00-01,0.0,23821.25,23821.25,23821.25,current Price
NEUROSURGERY,FMNEU-3440,Micrvascular Decompression For Hemifacial Spasm,PKG,41569-00-00,0.0,72586.175,72586.18,72586.18,current Price
