Department,ServiceCode,Service Description (Unified),Type,NPHIES Code (Hyphenated )2,LOS,Class B,Class A & VIP,Comment
LABORATORY,FMLAB-1022,Cbc Without Automated Differential,Service,73100-00-90,0,158,158,Current List
LABORATORY,FMLAB-2056,Magnesium (Serum),Service,73050-24-00,0,226,226,Current List
Cardiology,FMCAR-0002,Ecg -Cardiology,Service,11708-00-00,0,109,109,Current List
Physiotherapy,FMPTD-0104,Nebulization,Service,92043-00-00,0,94,94,Current List
LABORATORY,FMLAB-3013,Ferritin,Service,73050-13-10,0,314,314,Current List
LABORATORY,FMLAB-1065,Prothromin Time (Pt) With Inr,Service,73100-08-70,0,85,85,Current List
Emergency,FMERDA0020,I.V. Medication Adminstration,Service,96199-19-00,0,14,14,Current List
Emergency,FMERDA0051,Nasal Tube Suctioning,Service,96157-00-00,0,19,19,Current List
NEPHROLOGY,FMNEP-0038,Nebulizer Session,Service,92043-00-00,0,94,94,Current List
Pediatrics,FMPDT-9998,Medical Supervision,Service,83600-02-10,0,224,224,Current List
LABORATORY,FMLAB-7022,Renal Profile,Service,73000-00-70,0,608,608,Current List
Emergency,FMERDA0073,Nebulizer (Ventoline/ Atrovent),Service,92043-00-00,0,61,61,Current List
LABORATORY,FMLAB-6024,Urine Culture & Sensitivity (C/S),Service,73050-41-10,0,327,327,Current List
Pediatrics,FMPDTO0009,Iv Infusion,Service,96199-19-00,0,19,19,Current List
LABORATORY,FMLAB-1015,Blood Group & Rh Typing,Service,73250-00-90,0,97,97,Current List
LABORATORY,FMLAB-2053,Iron (Fe),Service,73050-21-10,0,118,118,Current List
LABORATORY,FMLAB-2060,Phosphorus In Blood,Service,73050-28-20,0,61,61,Current List
LABORATORY,FMLAB-9211,Troponin I,Service,73050-36-70,0,466,466,Current List
LABORATORY,FMLAB-2011,"Bilirubin, Total",Service,73050-04-30,0,103,103,Current List
Emergency,FMERDA0091,Vital Sign Monitoring Multi Parameter Hourly Rate,Service,11600-03-00,0,121,121,Current List
LABORATORY,FMLAB-2041,Fasting Blood Glucose (Fbs),Service,73050-15-50,0,83,83,Current List
LABORATORY,FMLAB-2068,Stool Analysis,Service,73050-40-10,0,83,83,Current List
LABORATORY,FMLAB-3048,Procalcitonin( So ) La99900943,Service,73050-29-80,0,968,968,Current List
LABORATORY,FMLAB-1054,Partial Thromboplastin Time (Ptt),Service,73100-09-50,0,85,85,Current List
LABORATORY,FMLAB-7007,"Hepatic Profile (Bilirubin Total & Direct, Sgot, Sgpt, Ggt, Alk Phosph, Albumin, Total Protein )",Service,73000-00-90,0,857,857,Current List
Cardiology,FMCAR-9910,Cardiac Monitoring / Day,Service,92056-00-00,0,400,400,Current List
LABORATORY,FMLAB-2057,Microalbuminuria,Service,73050-00-90,0,186,186,Current List
Emergency,FMERDA0069,Tepid Sponge Bath - Tsb,Service,96153-00-00,0,67,67,Current List
Emergency,FMERDA0143,Iv Services,Service,96199-19-00,0,109,109,Current List
LABORATORY,FMLAB-2003,Albumin,Service,73050-00-80,0,130,130,Current List
LABORATORY,FMLAB-3016,Beta Hcg,Service,73000-01-70,0,315,315,Current List
Nursing,FM39099998,Medical Supervision-Nursery,Service,83600-03-00,0,242,242,Current List
LABORATORY,FMLAB-2032,"Electrolytes ( Na,K,Cl )",Service,73050-29-00,0,363,363,Current List
LABORATORY,FMLAB-2055,Lipase,Service,73050-23-00,0,158,158,Current List
LABORATORY,FMLAB-3029,"Thyroid Profile (Tsh, Ft3, Ft4)",Service,73050-35-50,0,869,869,Current List
Physiotherapy,FMPTD-0019,THERAPEUTIC EXERCISES - OP,Service,96129-00-00,0,61,61,Current List
Physiotherapy,FMPTD-0195,TOTAL P.T.5 MODALITIES-OP,Service,95550-03-00,0,315,315,Current List
Dental,FMDNTF0007,Composite Filling Compound,Service,97511-01-00,0,442,442,Current List
Nursing,FMICU-0008,Air Matress Per Day Fmnur-0040,Service,83700-00-00,0,67,67,Current List
INTERNAL MEDICINE,FMINT-0080,Im Injection,Service,96197-19-00,0,7,7,Current List
LABORATORY,FMLAB-3015,Ft4,Service,73050-35-30,0,286,286,Current List
LABORATORY,FMLAB-2013,Ck (Cpk),Service,73050-09-40,0,158,158,Current List
LABORATORY,FMLAB-2010,"Bilirubin, Direct",Service,73050-04-40,0,130,130,Current List
INTERNAL MEDICINE,FMINTR0019,Suctioning,Service,13400-00-00,0,19,19,Current List
Radiology ,FMXRAY1251,X-Ray Chest Pa View,Service,58500-00-10,0,97,97,Current List
INTERNAL MEDICINE,FMINT-0068,Blood Sugar Test,Service,73050-15-60,0,49,49,Current List
Ophthalmology,FMOPTA0005,Prescription For Glasses,Service,96024-00-00,0,121,121,Current List
LABORATORY,FMLAB-2058,Occult Blood In Stool,Service,73050-04-80,0,85,85,Current List
INTERNAL MEDICINE,FMINTR0014,Abg Extraction,Service,13842-00-00,0,25,25,Current List
Physiotherapy,FMPTD-0042,CHEST PHYSIOTHERAPY - IP,Service,96119-00-00,0,120,120,Current List
Emergency,FMERDA0141,Iv Fluids - Ongoing Infusion,Service,96199-19-00,0,85,85,Current List
LABORATORY,FMLAB-9154,Ionized Calcium,Service,73050-05-40,0,535,535,Current List
LABORATORY,FMLAB-1084,D-Dimer,Service,73100-05-50,0,521,521,Current List
LABORATORY,FMLAB-6003,Blood C/S,Service,73050-40-00,0,355,355,Current List
LABORATORY,FMLAB-3021,Prolactin (Prl),Service,73050-29-90,0,314,314,Current List
Physiotherapy,FMPTD-2098,LASER LOW INTENSITY  THERAPY,Service,96155-00-00,0,158,158,Current List
Cardiology,FMCAR-0005,Echo Cardiogram 2D + M Mode + Doppler (Full Study),Service,55113-00-00,0,1029,1029,Current List
Ophthalmology,FMOPTA0004,Fundus Examination,Service,42503-00-01,0,67,67,Current List
Emergency,FMERDA0089,Use Of Pulse Oximeter 30 Mnts.,Service,99999-99-99,0,37,37,Current List
Pediatrics,FMPDT-0136,Oxygen Per 1 Hr,Service,92044-00-00,0,31,31,Current List
LABORATORY,FMLAB-2007,Amylase,Service,73050-03-00,0,158,158,Current List
INTERNAL MEDICINE,FMINTH-0001,Regular Hemodialysis W/ Stand.,Service,13100-00-00,0,636,636,Current List
Emergency,FMERDA0076,11 Leads E.C.G.,Service,11700-00-00,0,109,109,Current List
LABORATORY,FMLAB-2072,Triglycerides,Service,73050-36-20,0,171,171,Current List
LABORATORY,FMLAB-2051,Total Ige,Service,73050-14-20,0,484,484,Current List
LABORATORY,FMLAB-5043,Hiv,Service,73100-22-70,0,385,385,Current List
LABORATORY,FMLAB-6009,Hvs (High Vaginal Swab) C/S,Service,73050-40-80,0,134,134,Current List
LABORATORY,FMLAB-2005,Alkaline Phosphatase,Service,73100-07-70,0,118,118,Current List
LABORATORY,FMLAB-8009,Histopath/Biopsy (Small Specimen),Service,73200-06-40,0,726,726,Current List
OB & GYNE,FMOBG-0016,Antenatal (Ctg)Monitoring/Hr,Service,16514-01-00,0,134,134,Current List
LABORATORY,FMLAB-3022,Psa (Total),Service,73050-30-20,0,437,437,Current List
LABORATORY,FMLAB-5050,Rheumatoid Factor (Rf),Service,73100-17-80,0,206,206,Current List
LABORATORY,FMLAB-2017,"Cholesterol, Total",Service,73050-23-60,0,137,137,Current List
LABORATORY,FMLAB-1013,Antibody Screening,Service,73250-00-20,0,661,661,Current List
Pediatrics,FMPDT-0173,Glucostrip,Service,96164-00-00,0,7,7,Current List
Radiology ,FMXRAY1289,Us. Abdomen And Pelvis (Viscera),Service,55036-00-00,0,668,668,Current List
LABORATORY,FMLAB-2069,Tibc (Total Iron Binding Capacity),Service,73050-21-20,0,121,121,Current List
LABORATORY,FMLAB-7017,"Or Profile Ii Below 40 Yrs: [Cbc, Pt, Creatinine, Alt, Hbs Ag, Hiv, Hcv Ab, Rbs ]",Service,73000-00-20,0,1992,1992,Current List
LABORATORY,FMLAB-1052,Filtered Packed Rbcs,Service,73100-01-10,0,1573,1573,Current List
Physiotherapy,FMPTD-0005,Microwave Op,Service,99999-99-99,0,134,134,Current List
Emergency,FMERD-0001,Ed Consultation,Service,83600-00-10,0,60,160,Current List
LABORATORY,FMLAB-8054,TROPONIN -  I  (HIGH SENSITIVE),Service,73050-37-20,0,466,466,Current List
LABORATORY,FMLAB-5033,Hbs Ag,Service,73050-48-90,0,232,232,Current List
LABORATORY,FMLAB-9137,Vitamin B12 (Cyanocobalamine),Service,73050-10-40,0,545,545,Current List
Medical Supervision,FMSUP-0001,Firstclass - Medical Supervision,Service,83600-03-20,0,242,242,Current List
ENT,FMENTE0005,Tympanometry,Service,11324-00-01,0,267,267,Current List
Room & Board,FMRMB-9902,Secondclass,Service,83610-00-70,0,1452,1452,Current List
Radiology ,FMXRAY1290,Us. Abdomen And Pelvis (Viscera And Abdomenal Wall),Service,55036-00-00,0,668,668,Current List
INTERNAL MEDICINE,FMINT-0075,Nebulizer /Ventolin,Service,92043-00-00,0,109,109,Current List
Physiotherapy,FMPTD-0032,TOTAL PT >3 MODALITIES - OP,Service,95550-03-00,0,315,315,Current List
Physiotherapy,FMPTD-0007,ULTRASOUND - OP,Service,90908-00-00,0,109,109,Current List
Neurology,FMNUR-0088,Infusion Syringe Pump,Service,96199-19-00,0,67,67,Current List
LABORATORY,FMLAB-7006,Cardiac Enzymes Panel,Service,73050-09-40,0,826,826,Current List
LABORATORY,FMLAB-5001,Anti Nuclear Ab (A.N.A) By Immunofluorescence,Service,73100-10-70,0,408,408,Current List
Medical Supervision,FMSUP-00016,Intermediate Class - Medical Supervision,Service,83600-03-20,0,242,242,Current List
LABORATORY,FMLAB-7019,"Or Profile Above 40 Yrs (Cbc,Abo&Rh,Hcv,Hbsag,Hiv,Urea,Sgpt,Alk.Phos,Crea,Ggt,Ldh,Rbs,Esr,Na,K",Service,73000-00-20,0,2902,2902,Current List
ENT,FMENTN2063,Nasal Endoscopy,Service,41764-00-00,0,103,103,Current List
LABORATORY,FMLAB-5017,Hcv Ab,Service,73100-23-80,0,443,443,Current List
LABORATORY,FMLAB-2037,Gamma-Glutamyl Transferase (Ggt),Service,73050-15-40,0,130,130,Current List
Anaesthia ,FMICU-0007,Ecg Portable,Service,11708-00-00,0,128,128,Current List
ORTHOPAEDIC WORKSHOP,FMORW-0010,Orthosis Iv,Service,96092-00-00,0,16033,16033,Current List
LABORATORY,FMLAB-2028,Chloride In Serum,Service,73050-07-70,0,363,363,Current List
NEPHROLOGY,FMNEP-0037,O2 Oxygen Session,Service,92044-00-00,0,43,43,Current List
LABORATORY,FMLAB-6017,Sputum C/S,Service,73400-01-30,0,327,327,Current List
LABORATORY,FMLAB-2054,Ldh (Lactate Dehydrogenase),Service,73050-21-80,0,273,273,Current List
Radiology ,FMXRAY1252,X-Ray Chest Pa & Lat. Views,Service,58500-00-20,0,158,158,Current List
LABORATORY,FMLAB-9145,Zinc(Serum),Service,73050-39-10,0,521,521,Current List
Cardiology,FMCARS0021,Echo Full Study -Cardiology,Service,55118-00-00,0,968,968,Current List
LABORATORY,FMLAB-2031,Serum Electrolyte Test Sodium & Potassium,Service,73000-00-30,0,255,255,Current List
Dental,FMDNTX0005,Panoramic X-Ray,Service,57960-00-00,0,242,242,Current List
ENT,FMENTL0023,Delayed Speech & Language Development,Service,83620-00-00,0,339,339,Current List
LABORATORY,FMLAB-3033,Stimulated Growth Hormone,Service,73000-02-60,0,748,748,Current List
Pediatrics,FMPDT-0016,Im Injection (Up To 4 Yrs),Service,96197-19-00,0,7,7,Current List
Physiotherapy,FMPTD-2073,TOTAL BODY PT (4 PROCS),Service,95550-03-00,0,466,466,Current List
Dermatology ,FMDER-0150,I.M. Injection With Medicine,Service,96197-19-00,0,85,85,Current List
Orthopedics,FMORT-0715,Shock Wave Per Soft Tissue,Service,96155-00-00,0,3025,3025,Current List
ENT,FMENTE0001,Audiometry (Pure Tone + Speech ),Service,11306-00-00,0,424,424,Current List
LABORATORY,FMLAB-1112,Serology Screening Ii,Service,73100-01-10,0,1092,1092,Current List
LABORATORY,FMLAB-5065,Hbs Ag & Hcv Abs,Service,73100-23-80,0,695,695,Current List
Neurology,FMNUM-0026,Routine Eeg,Service,11700-00-00,0,787,787,Current List
Physiotherapy,FMPTD-0009,ELECTRIC STIM. MUSC/NRV - OP,Service,96155-00-00,0,146,146,Current List
LABORATORY,FMLAB-3012,Follicle Stimulating Hormone (Fsh),Service,73050-16-90,0,355,355,Current List
Dermatology ,FMDER-0161,Electrocautery - Large Area,Service,30189-01-00,0,745,745,Current List
Physiotherapy,FMPTD-2124,ULTRASOUND THERAPY,Service,96154-00-00,0,79,79,Current List
Dental,FMDNTF0008,Composite Core,Service,97625-10-00,0,593,593,Current List
LABORATORY,FMLAB-9065,Free T3,Service,73050-36-50,0,286,286,Current List
Physiotherapy,FMPTD-0126,Tense,Service,96155-00-00,0,97,97,Current List
Radiology ,FMXRAY1237,X-Ray Both Knees Ap & Lat.,Service,57518-01-12,0,351,351,Current List
ENT,FMENTE3002,Ear Wash - Bilateral,Service,41647-01-00,0,218,218,Current List
LABORATORY,FMLAB-5084,H.Pylori Ag In Stool,Service,73050-48-70,0,301,301,Current List
Emergency,FMERDA0075,Small Dressing < 10 Cm,Service,30055-00-10,0,25,25,Current List
LABORATORY,FMLAB-3019,Luteinising Hormone (Lh),Service,73050-17-00,0,242,242,Current List
LABORATORY,FMLAB-1066,Reticulocyte Count,Service,73100-01-30,0,49,49,Current List
UROLOGY,FMURO-0129,Uroflowmetery,Service,11900-00-00,0,285,285,Current List
Cardiology,FMCAR-0004,Echo Cardiogram (2D + M Mode ),Service,55113-00-00,0,739,739,Current List
Radiology ,FMXRAY1195,X-Ray Lumbar Spine Ap & Lateral,Service,58106-00-00,0,182,182,Current List
LABORATORY,FMLAB-6018,Stool C/S,Service,73050-40-10,0,327,327,Current List
ENT,FMENTE3001,Ear Wash - Unilateral,Service,41647-00-00,0,140,140,Current List
Anaesthia ,FMANA-0014,Oxygen (O2) Per Hour,Service,92044-00-00,0,73,73,Current List
LABORATORY,FMLAB-5007,Anti-Rubella Igg,Service,73100-25-90,0,212,212,Current List
Physiotherapy,FMPTD-2066,PT SINGLE AREA (3 PROCS),Service,95550-03-00,0,182,182,Current List
LABORATORY,FMLAB-3028,Total Testosterone,Service,73050-34-40,0,314,314,Current List
Dermatology ,FMDER-0140,Liquid Nirtogen Application - Large,Service,90676-00-00,0,297,297,Current List
Dental,FMDNTM0006,Gum Treatment Quad. (Severe),Service,97281-00-10,0,890,890,Current List
Physiotherapy,FMPTD-0020,THERAPEUTIC EXERCISES - IP,Service,96129-00-00,0,109,109,Current List
Emergency,FMERDA0006,Removal Of Stitches,Service,92200-00-00,0,37,37,Current List
Physiotherapy,FMPTD-0015,MANUAL MASSAGE - PARTL. - OP,Service,96162-00-00,0,121,121,Current List
LABORATORY,FMLAB-6026,Wound Swab C/S,Service,73050-40-90,0,327,327,Current List
Dermatology ,FMDER-0139,Liquid Nirtogen Application - Medium,Service,90676-00-00,0,158,158,Current List
LABORATORY,FMLAB-2009,Bilirubin Direct & Total,Service,73050-04-30,0,230,230,Current List
Radiology ,FMXRAY1114,Ct. Brain Without Contrast (Standard Protocol),Service,56001-00-00,0,600,700,Current List
Physiotherapy,FMPTD-0078,LOCOMOTION THERAPHY(1 SESSION),Service,96130-00-00,0,230,230,Current List
Radiology,FMXRAY1247,X-Ray Foot Ap & Lat. & Obl. - Right,Service,57518-04-21,0,255,255,Current List
Dermatology ,FMDER-0090,Subcutaneous Injection,Service,90660-00-00,0,146,146,Current List
Radiology ,FMXRAY1342,W.H. Obstetric Us,Service,55700-02-00,0,429,429,Current List
Radiology ,FMXRAY1189,X-Ray Cervical Spine Ap & Lat.,Service,58100-00-00,0,146,146,Current List
Radiology ,FMXRAY1079,Mri Lumber Spine Without Contrast,Service,90901-08-20,0,900,1000,Current List
Emergency,FMERDA0067,Ordinary Dressing,Service,30055-00-00,0,43,43,Current List
Dermatology ,FMDER-0162,Electrocautery-Extra Large,Service,30195-07-20,0,1465,1465,Current List
Radiology ,FMXRAY1566,Us Pelvis,Service,55065-00-00,0,436,436,Current List
LABORATORY,FMLAB-7018,"Or Profile Iii-Major (Up To 40 Yrs): (Cbc, Abo&Rh, Pt, Esr, K, Na, Rbs,Hiv, Hcv, Cross Matching )",Service,73000-00-20,0,2125,2125,Current List
ENT,FMENTE0013,Otoacoustic Emission Test,Service,11332-02-00,0,412,412,Current List
Physiotherapy,FMPTD-2094,INTERFERNIAL - OP,Service,96155-00-00,0,79,79,Current List
Dental,FMDNTF0006,Composite Filling - Simple,Service,97521-01-00,0,297,297,Current List
Dental,FMDNT-1018,Root canal obturation – one canal,Service,97417-00-00,0,484,484,Current List
LABORATORY,FMLAB-9093,Anti Thyroid Peroxidase Abs (Tpo),Service,73100-17-20,0,382,382,Current List
Dental,FMDNTM0005,Gum Treatment Quad. (Moderate),Service,97281-00-10,0,739,739,Current List
Radiology ,FMXRAY1294,Us. Soft Tissue (One Area),Service,55844-00-00,0,363,363,Current List
Emergency,FMERDA0066,Medium Dressing 15 - 25 Cm,Service,30055-00-20,0,67,67,Current List
LABORATORY,FMLAB-5011,Anti- Ds Dna,Service,73100-12-90,0,505,505,Current List
LABORATORY,FMLAB-2018,Hdl Cholesterol,Service,73050-23-60,0,171,171,Current List
Psychiatry ,FMPSYB0003,Psychotherapy Session,Service,95550-03-00,0,521,521,Current List
Physiotherapy,FMPTD-0045,Physiotherapy Home Visit,Service,95550-03-00,0,424,424,Current List
LABORATORY,FMLAB-2063,Pregnancy Test Serum,Service,73150-01-00,0,315,315,Current List
INTERNAL MEDICINE,FMINT-0072,Oxygen Inhalation,Service,92044-00-00,0,43,43,Current List
Radiology ,FMXRAY1343,W.H. Transvaginal Us,Service,55065-00-10,0,605,605,Current List
Pediatrics,FMPDT-0159,Pulse Oximeter 12 - 24 Hours,Service,11600-03-00,0,339,339,Current List
Ophthalmology,FMOPTA0007,Perimetry (Visual Field),Service,96041-00-00,0,569,569,Current List
Pediatrics,FMPDT-0050,Oral Polio Vaccine,Service,92150-00-00,0,134,134,Current List
Radiology ,FMXRAY1196,X-Ray Lumbar Spine Ap & Lat & Obl.,Service,58106-00-00,0,303,303,Current List
Radiology ,FMXRAY1128,Ct. Chest Without Contrast (Hrct Protocol),Service,60100-00-00,0,600,700,Current List
LABORATORY,FMLAB-9911,Urea Breath Test,Service,73050-17-60,0,303,303,Current List
LABORATORY,FMLAB-3004,Carcinoembryonic Antigen Cea,Service,73050-06-70,0,443,443,Current List
Plastic Surgery,FMPSD-0011,Repair Of Cut Wound,Service,30026-00-10,0,484,484,Current List
LABORATORY,FMLAB-8010,Histopath/Biopsy (Large Specimen),Service,73200-06-90,0,1815,1815,Current List
Cardiology,FMCAR-0007,Treadmill Exercise Stress Ecg,Service,11712-00-00,0,739,739,Current List
Radiology ,FMXRAY1236,X-Ray Both Knees Ap Standing,Service,57518-01-11,0,194,194,Current List
Dental,FMDNTS0011,Surgery Removal Of Remaining Root,Service,97321-07-10,0,739,739,Current List
LABORATORY,FMLAB-7061,Er Profile (Iii): Troponin + Ck+ Ckmb,Service,73050-37-20,0,985,985,Current List
INTERNAL MEDICINE,FMINT-0079,Iv Fluid Injection,Service,96199-19-00,0,85,85,Current List
LABORATORY,FMLAB-1083,Cbc Follow Up (Within One Week),Service,73100-00-90,0,158,158,Current List
LABORATORY,FMLAB-8003,Pap Smear (Cervical Cytology),Service,73200-01-20,0,787,787,Current List
Radiology,FMXRAY1203,X-Ray Shoulder Ap & Axial - Right,Service,57700-00-21,0,146,146,Current List
Physiotherapy,FMPTD-0026,HYDROTHERAPY WITH EXERCISES,Service,96153-00-00,0,242,242,Current List
Physiotherapy,FMPTD-8080,HOT PACK LARGE,Service,22065-00-10,0,79,79,Current List
Radiology ,FMXRAY1689,Tibia/Fibula Ap Lateral,Service,57518-02-01,0,182,182,Current List
ONCOLOGY/NUCLEAR MED,FMONC-0002,Chemotheraphy 1 Day Treatment In Clinic Or Ward,Service,96206-00-00,0,551,551,Current List
Physiotherapy,FMPTD-2121,Use Of A.V.I.Machine For 6 Hrs,Service,95550-03-00,0,242,242,Current List
Pediatrics,FMPDT-0036,Bcg Vaccination And Consultation,Service,99999-99-99,0,67,67,Current List
Radiology,FMXRAY1232,X-Ray Knee Ap & Lat. - Right,Service,57518-01-11,0,146,146,Current List
LABORATORY,FMLAB-3034,Psa (Free),Service,73050-30-30,0,464,464,Current List
Radiology,FMXRAY1242,X-Ray Ankle Ap & Lat. & Obl. - Right,Service,57518-03-21,0,182,182,Current List
LABORATORY,FMLAB-9184,Helicobacter Abs,Service,73100-22-20,0,535,535,Current List
Radiology ,FMXRAY1001,Mri Brain Without Contrast (Standard Protocol),Service,90901-00-10,0,900,1000,Current List
Physiotherapy,FMPTD-2088,ICE / HOT PACK LARGE,Service,22065-00-90,0,79,79,Current List
Radiology ,FMXRAY1003,Mri Brain Stroke Protocol,Service,90901-00-20,0,900,1000,Current List
Dermatology ,FMDER-0138,Liquid Nirtogen Application - Small,Service,90676-00-00,0,146,146,Current List
INTERNAL MEDICINE,FMINTH-0005,Endoscopic Biopsy,Service,30473-01-00,0,134,134,Current List
LABORATORY,FMLAB-5049,Rpr Or Vdrl,Service,73100-18-70,0,118,118,Current List
Physiotherapy,FMPTD-0106,MOVING CUPPING,Service,95550-11-00,0,134,134,Current List
ENT,FMENTE0002,Audiometry - Pure Tone,Service,11306-00-00,0,285,285,Current List
LABORATORY,FMLAB-5002,Asot (Antistreptolysin O Titer),Service,73100-18-60,0,233,233,Current List
Pediatrics,FMPDT-0014,Phototherapy 24 Hrs +Eye Pads,Service,90677-00-00,0,134,134,Current List
NEWBORN,FMNBD-0001,Nicu 24 Hrs,Service,83610-03-60,0,2136,2136,Current List
LABORATORY,FMLAB-0046,LIPID PROFILE NON FASTING SERUM,Service,73000-00-60,0,492,492,Current List
LABORATORY,FMLAB-5087,Anti Ccp (Cyclic Citrollinated Peptide ),Service,73100-12-80,0,423,423,Current List
Psychiatry ,FMPSYC0007,Adhd,Service,96184-00-10,0,224,224,Current List
Radiology ,FMXRAY1075,Mri Cervical Spine Without Contrast,Service,90901-03-10,0,900,1000,Current List
Plastic Surgery,FMPSDH0010,Wound Dressing Moderate,Service,30055-00-00,0,140,140,Current List
Medical Supervision,FMSUP-0002,Secondclass - Medical Supervision,Service,83600-03-20,0,242,242,Current List
LABORATORY,FMLAB-5051,Rota Virus Ag In Stool,Service,73050-49-90,0,339,339,Current List
ORTHOPAEDIC WORKSHOP,FMORW-0006,Orthosis Vi,Service,96092-00-31,0,442,442,Current List
LABORATORY,FMLAB-3007,Ca 19-9,Service,73100-13-90,0,451,451,Current List
ORTHOPAEDIC WORKSHOP,FMORW-0007,Orthosis,Service,96092-00-00,0,2203,2203,Current List
LABORATORY,FMLAB-1507,Turner Syndrome By Fish,Service,73200-05-30,0,1569,1569,Current List
PAEDIATRICS/SUG,FMPDS-0155,Intralesional Injection,Service,30207-00-00,0,146,146,Current List
Radiology,FMXRAY1668,MAMMOGRAPHY BILATERAL,Service,59300-00-00,0,726,726,Current List
SURGERY,FMORDZ0001,Operationtheatre Charges,Service,83670-00-30,0,218,218,Current List
LABORATORY,FMLAB-1043,Fresh Frozen Plasma (Ffp),Service,73250-02-00,0,787,787,Current List
consultation,FMDNT-CONS,Dental Consultation,Service,97014-00-00,0,60,160,Current List
Dental,FMDNT-1015,Removal of a tooth or part(s) thereof,Service,97311-01-00,0,593,593,Current List
Psychiatry ,FMPSYC0029,Iq Test,Service,96184-00-00,0,2368,2368,Current List
ORTHOPEDIC ,FMORT-2325,EXCISION OF PREPATELLAR BURSAE AND BIOPSY,PKG,30107-01-01,1,9200,9200,New
LABORATORY,FMLAB-5009,Toxoplasma Abs (Igg),Service,73100-26-60,0,443,443,Current List
Ophthalmology,FMOPTA0009,Biometry - One Eye,Service,55030-00-21,0,509,509,Current List
Radiology,FMXRAY1218,X-Ray Hand Ap & Lat. & Obl. - Right,Service,57506-04-21,0,255,255,Current List
LABORATORY,FMLAB-7016,"Or Profile I (Child Up To 6 Yrs) (Cbc, Abo Gr & Rh, Na, K, Bleeding Time,Clottingtime, Hcv, Hbs Ag)",Service,73000-00-20,0,808,808,Current List
LABORATORY,FMLAB-2212,PSA (TOTAL & FREE) + RATIO,Service,73050-30-30,0,861,861,Current List
ENT,FMENT-0145,Nasogastric Tube Insertion,Service,92036-00-00,0,182,182,Current List
NEUROLOGY,FMNUM-0046,Emg And Ncv 2 Units,Service,11015-01-00,0,581,581,Current List
Physiotherapy,FMPTD-2077,HYDROTHERAPY POOL(1 TREATMENT),Service,96153-00-00,0,236,236,Current List
LABORATORY,FMLAB-9131,Anti Thyroglobulin Abs,Service,73100-27-50,0,267,267,Current List
